#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR1442--MA0035.3.Gata1	chr11	119352715	119352725	-	0.000	0.000	Merged-chr11-119352857-1
NR2722--MA1104.1.GATA6	chr16	20930011	20930023	-	0.000	0.000	Merged-chr16-20930100-26
NR5710--MA0766.1.GATA5	chr6	129218540	129218547	+	0.000	0.000	Merged-chr6-129218550-1
NR4085--MA0035.3.Gata1	chr2	138245637	138245647	-	0.000	0.000	Merged-chr2-138245729-1
NR7137--MA0482.1.Gata4	chrX	134601054	134601064	+	0.000	0.000	Merged-chrX-134601254-82
NR611--MA0037.3.GATA3	chr1	191391470	191391477	-	0.000	0.000	Merged-chr1-191391579-39
NR2498--MA1104.1.GATA6	chr15	12092216	12092228	-	0.000	0.000	Merged-chr15-12092215-11
NR7060--MA0140.2.GATA1::TAL1	chr9	120057222	120057239	-	0.000	0.000	Merged-chr9-120057282-6
NR1280--MA0035.3.Gata1	chr11	95336986	95336996	-	0.000	0.000	Merged-chr11-95337203-127
NR6264--MA0482.1.Gata4	chr7	128132355	128132365	+	0.000	0.000	Merged-chr7-128132284-5
NR2974--MA0037.3.GATA3	chr17	13655026	13655033	+	0.000	0.000	Merged-chr17-13654932-70
NR1836--MA0140.2.GATA1::TAL1	chr13	33068288	33068305	-	0.000	0.000	Merged-chr13-33068250-9
NR3020--MA0140.2.GATA1::TAL1	chr17	30842622	30842639	+	0.000	0.000	Merged-chr17-30842407-10
NR3730--MA0482.1.Gata4	chr2	18937786	18937796	-	0.000	0.000	Merged-chr2-18937882-20
NR716--MA0482.1.Gata4	chr10	34172903	34172913	-	0.000	0.000	Merged-chr10-34172961-40
NR3193--MA0140.2.GATA1::TAL1	chr17	83990785	83990802	-	0.000	0.000	Merged-chr17-83990876-14
NR1309--MA0037.3.GATA3	chr11	101627409	101627416	-	0.000	0.000	Merged-chr11-101627512-104
NR2203--MA0766.1.GATA5	chr14	27268429	27268436	+	0.000	0.000	Merged-chr14-27268313-23
NR5331--MA0037.3.GATA3	chr5	130255521	130255528	+	0.000	0.000	Merged-chr5-130255429-49
NR1835--MA0035.3.Gata1	chr13	32993665	32993675	+	0.000	0.000	Merged-chr13-32993550-50
NR6639--MA0140.2.GATA1::TAL1	chr8	127973440	127973457	+	0.000	0.000	Merged-chr8-127973425-20
NR3028--MA0482.1.Gata4	chr17	32350601	32350611	+	0.000	0.000	Merged-chr17-32350599-47
NR2697--MA0036.3.GATA2	chr16	10879822	10879832	-	0.000	0.000	Merged-chr16-10879691-17
NR2682--MA1104.1.GATA6	chr16	7419924	7419936	-	0.000	0.000	Merged-chr16-7419949-42
NR4040--MA0482.1.Gata4	chr2	117374271	117374281	+	0.000	0.000	Merged-chr2-117374468-47
NR5726--MA0036.3.GATA2	chr6	129586992	129587002	+	0.000	0.000	Merged-chr6-129586992-7
NR2334--MA1104.1.GATA6	chr14	62342731	62342743	+	0.000	0.000	Merged-chr14-62342844-35
NR1256--MA0037.3.GATA3	chr11	90225057	90225064	-	0.000	0.000	Merged-chr11-90225249-59
NR4879--MA0140.2.GATA1::TAL1	chr4	102955514	102955531	-	0.000	0.000	Merged-chr4-102955684-33
NR262--MA0482.1.Gata4	chr1	128057473	128057483	+	0.000	0.000	Merged-chr1-128057377-21
NR6578--MA1104.1.GATA6	chr8	122533227	122533239	+	0.000	0.000	Merged-chr8-122533289-14
NR1474--MA0037.3.GATA3	chr12	25270024	25270031	+	0.000	0.000	Merged-chr12-25270049-10
NR6389--MA0035.3.Gata1	chr8	33898108	33898118	-	0.000	0.000	Merged-chr8-33898095-27
NR2456--MA1104.1.GATA6	chr14	121313218	121313230	-	0.000	0.000	Merged-chr14-121313397-5
NR5740--MA0035.3.Gata1	chr6	130136665	130136675	+	0.000	0.000	Merged-chr6-130136655-31
NR1617--MA0036.3.GATA2	chr12	97269745	97269755	+	0.000	0.000	Merged-chr12-97269671-1
NR5920--MA0766.1.GATA5	chr7	19086251	19086258	+	0.000	0.000	Merged-chr7-19086207-16
NR1283--MA0140.2.GATA1::TAL1	chr11	95842102	95842119	+	0.000	0.000	Merged-chr11-95842065-49
NR2709--MA0140.2.GATA1::TAL1	chr16	14317424	14317441	-	0.000	0.000	Merged-chr16-14317361-64
NR6448--MA1104.1.GATA6	chr8	84813345	84813357	+	0.000	0.000	Merged-chr8-84813219-19
NR2217--MA1104.1.GATA6	chr14	34549214	34549226	+	0.000	0.000	Merged-chr14-34549308-78
NR2124--MA0035.3.Gata1	chr13	108854219	108854229	-	0.000	0.000	Merged-chr13-108854384-23
NR1312--MA0036.3.GATA2	chr11	101627408	101627418	+	0.000	0.000	Merged-chr11-101627512-104
NR4083--MA1104.1.GATA6	chr2	138245636	138245648	+	0.000	0.000	Merged-chr2-138245729-1
NR4698--MA0482.1.Gata4	chr3	152734251	152734261	-	0.000	0.000	Merged-chr3-152734415-9
NR416--MA0482.1.Gata4	chr1	160843217	160843227	-	0.000	0.000	Merged-chr1-160843034-58
NR2260--MA0037.3.GATA3	chr14	47476788	47476795	+	0.000	0.000	Merged-chr14-47476839-9
NR3311--MA0035.3.Gata1	chr18	55107110	55107120	+	0.000	0.000	Merged-chr18-55107186-34
NR5174--MA0037.3.GATA3	chr5	65795514	65795521	-	0.000	0.000	Merged-chr5-65795420-10
NR5413--MA0036.3.GATA2	chr5	149583075	149583085	+	0.000	0.000	Merged-chr5-149583085-2
NR2288--MA0036.3.GATA2	chr14	54197800	54197810	+	0.000	0.000	Merged-chr14-54197805-29
NR6182--MA0482.1.Gata4	chr7	113419584	113419594	-	0.000	0.000	Merged-chr7-113419557-35
NR3622--MA1104.1.GATA6	chr19	46613395	46613407	-	0.000	0.000	Merged-chr19-46613309-39
NR62--MA0766.1.GATA5	chr1	59238080	59238087	-	0.000	0.000	Merged-chr1-59238219-1
NR6679--MA1104.1.GATA6	chr9	21936765	21936777	-	0.000	0.000	Merged-chr9-21936934-34
NR6265--MA1104.1.GATA6	chr7	128132353	128132365	-	0.000	0.000	Merged-chr7-128132284-5
NR4457--MA0036.3.GATA2	chr3	101800464	101800474	+	0.000	0.000	Merged-chr3-101800601-48
NR3731--MA1104.1.GATA6	chr2	18937786	18937798	+	0.000	0.000	Merged-chr2-18937882-20
NR717--MA1104.1.GATA6	chr10	34172903	34172915	+	0.000	0.000	Merged-chr10-34172961-40
NR419--MA0035.3.Gata1	chr1	160843218	160843228	-	0.000	0.000	Merged-chr1-160843034-58
NR1482--MA0035.3.Gata1	chr12	25394412	25394422	+	0.000	0.000	Merged-chr12-25394494-23
NR1819--MA0035.3.Gata1	chr13	32829188	32829198	-	0.000	0.000	Merged-chr13-32829119-10
NR6498--MA0036.3.GATA2	chr8	105794324	105794334	-	0.000	0.000	Merged-chr8-105794398-26
NR5562--MA0140.2.GATA1::TAL1	chr6	89632277	89632294	+	0.000	0.000	Merged-chr6-89632208-46
NR3029--MA1104.1.GATA6	chr17	32350599	32350611	-	0.000	0.000	Merged-chr17-32350599-47
NR3922--MA0035.3.Gata1	chr2	84887895	84887905	+	0.000	0.000	Merged-chr2-84887926-27
NR5306--MA0766.1.GATA5	chr5	122145603	122145610	-	0.000	0.000	Merged-chr5-122145635-51
NR3919--MA0037.3.GATA3	chr2	84887896	84887903	-	0.000	0.000	Merged-chr2-84887926-27
NR4056--MA0036.3.GATA2	chr2	121457052	121457062	+	0.000	0.000	Merged-chr2-121457132-54
NR3032--MA0035.3.Gata1	chr17	32350600	32350610	+	0.000	0.000	Merged-chr17-32350599-47
NR5763--MA0766.1.GATA5	chr6	132735612	132735619	-	0.000	0.000	Merged-chr6-132735696-3
NR3868--MA0036.3.GATA2	chr2	66185005	66185015	-	0.000	0.000	Merged-chr2-66184903-51
NR5711--MA0035.3.Gata1	chr6	129218538	129218548	-	0.000	0.000	Merged-chr6-129218550-1
NR2028--MA0036.3.GATA2	chr13	95697071	95697081	+	0.000	0.000	Merged-chr13-95697036-46
NR3531--MA0482.1.Gata4	chr19	14286730	14286740	+	0.000	0.000	Merged-chr19-14286604-14
NR5463--MA0482.1.Gata4	chr6	15743688	15743698	+	0.000	0.000	Merged-chr6-15743639-18
NR1631--MA0036.3.GATA2	chr12	98674785	98674795	-	0.000	0.000	Merged-chr12-98674935-52
NR1165--MA0766.1.GATA5	chr11	64899065	64899072	-	0.000	0.000	Merged-chr11-64899021-36
NR4835--MA0037.3.GATA3	chr4	83785597	83785604	-	0.000	0.000	Merged-chr4-83785408-9
NR5275--MA0037.3.GATA3	chr5	105244866	105244873	+	0.000	0.000	Merged-chr5-105244982-37
NR3773--MA0035.3.Gata1	chr2	31180409	31180419	-	0.000	0.000	Merged-chr2-31180309-64
NR2897--MA0037.3.GATA3	chr16	93918466	93918473	-	0.000	0.000	Merged-chr16-93918388-61
NR3791--MA0766.1.GATA5	chr2	38927191	38927198	+	0.000	0.000	Merged-chr2-38927385-1
NR709--MA0037.3.GATA3	chr10	34096576	34096583	+	0.000	0.000	Merged-chr10-34096665-20
NR3534--MA0035.3.Gata1	chr19	14286729	14286739	+	0.000	0.000	Merged-chr19-14286604-14
NR4960--MA0035.3.Gata1	chr4	132783978	132783988	-	0.000	0.000	Merged-chr4-132783946-19
NR1625--MA0482.1.Gata4	chr12	98215672	98215682	-	0.000	0.000	Merged-chr12-98215762-18
NR1437--MA0037.3.GATA3	chr11	119352717	119352724	+	0.000	0.000	Merged-chr11-119352857-1
NR7071--MA0140.2.GATA1::TAL1	chr9	121857607	121857624	+	0.000	0.000	Merged-chr9-121857638-93
NR4974--MA0140.2.GATA1::TAL1	chr4	137866350	137866367	-	0.000	0.000	Merged-chr4-137866445-39
NR1689--MA0037.3.GATA3	chr12	111897202	111897209	-	0.000	0.000	Merged-chr12-111897164-28
NR3608--MA0036.3.GATA2	chr19	41339337	41339347	-	0.000	0.000	Merged-chr19-41339315-54
NR6113--MA0140.2.GATA1::TAL1	chr7	92903842	92903859	-	0.000	0.000	Merged-chr7-92903803-41
NR4529--MA0035.3.Gata1	chr3	127759488	127759498	+	0.000	0.000	Merged-chr3-127759429-25
NR417--MA1104.1.GATA6	chr1	160843217	160843229	+	0.000	0.000	Merged-chr1-160843034-58
NR1480--MA1104.1.GATA6	chr12	25394411	25394423	-	0.000	0.000	Merged-chr12-25394494-23
NR3242--MA0035.3.Gata1	chr18	32398232	32398242	-	0.000	0.000	Merged-chr18-32398270-147
NR1628--MA0035.3.Gata1	chr12	98215673	98215683	-	0.000	0.000	Merged-chr12-98215762-18
NR2458--MA0482.1.Gata4	chr14	121423096	121423106	-	0.000	0.000	Merged-chr14-121422910-45
NR6183--MA1104.1.GATA6	chr7	113419584	113419596	+	0.000	0.000	Merged-chr7-113419557-35
NR3911--MA0140.2.GATA1::TAL1	chr2	83659998	83660015	-	0.000	0.000	Merged-chr2-83659972-2
NR3935--MA0036.3.GATA2	chr2	92192027	92192037	-	0.000	0.000	Merged-chr2-92192158-30
NR2820--MA0766.1.GATA5	chr16	64824834	64824841	-	0.000	0.000	Merged-chr16-64824762-36
NR3788--MA0482.1.Gata4	chr2	38927188	38927198	-	0.000	0.000	Merged-chr2-38927385-1
NR890--MA0035.3.Gata1	chr10	96204410	96204420	+	0.000	0.000	Merged-chr10-96204406-28
NR1551--MA0482.1.Gata4	chr12	73598433	73598443	+	0.000	0.000	Merged-chr12-73598343-51
NR5096--MA0766.1.GATA5	chr5	21248921	21248928	-	0.000	0.000	Merged-chr5-21249086-19
NR5086--MA0036.3.GATA2	chr5	17422755	17422765	+	0.000	0.000	Merged-chr5-17422615-4
NR712--MA0036.3.GATA2	chr10	34096574	34096584	-	0.000	0.000	Merged-chr10-34096665-20
NR1429--MA0037.3.GATA3	chr11	119047026	119047033	+	0.000	0.000	Merged-chr11-119046996-3
NR4806--MA0037.3.GATA3	chr4	53384822	53384829	-	0.000	0.000	Merged-chr4-53384912-31
NR974--MA0766.1.GATA5	chr10	117938873	117938880	-	0.000	0.000	Merged-chr10-117938782-19
NR1649--MA0036.3.GATA2	chr12	104067615	104067625	+	0.000	0.000	Merged-chr12-104067684-35
NR6576--MA0037.3.GATA3	chr8	122533230	122533237	+	0.000	0.000	Merged-chr8-122533289-14
NR940--MA0766.1.GATA5	chr10	111583207	111583214	+	0.000	0.000	Merged-chr10-111583294-13
NR1083--MA0766.1.GATA5	chr11	21549919	21549926	-	0.000	0.000	Merged-chr11-21549629-38
NR5923--MA0482.1.Gata4	chr7	19332941	19332951	+	0.000	0.000	Merged-chr7-19332998-44
NR3532--MA1104.1.GATA6	chr19	14286728	14286740	-	0.000	0.000	Merged-chr19-14286604-14
NR6510--MA0036.3.GATA2	chr8	110859814	110859824	+	0.000	0.000	Merged-chr8-110860019-49
NR1258--MA0766.1.GATA5	chr11	90225057	90225064	-	0.000	0.000	Merged-chr11-90225249-59
NR3656--MA0036.3.GATA2	chr19	55865998	55866008	-	0.000	0.000	Merged-chr19-55866165-31
NR6446--MA0037.3.GATA3	chr8	84813348	84813355	+	0.000	0.000	Merged-chr8-84813219-19
NR4766--MA0037.3.GATA3	chr4	32615369	32615376	-	0.000	0.000	Merged-chr4-32615355-52
NR2215--MA0037.3.GATA3	chr14	34549217	34549224	+	0.000	0.000	Merged-chr14-34549308-78
NR3090--MA0766.1.GATA5	chr17	52150040	52150047	-	0.000	0.000	Merged-chr17-52149947-112
NR4527--MA1104.1.GATA6	chr3	127759487	127759499	-	0.000	0.000	Merged-chr3-127759429-25
NR3499--MA0035.3.Gata1	chr19	5088431	5088441	+	0.000	0.000	Merged-chr19-5088339-71
NR1989--MA0036.3.GATA2	chr13	89965600	89965610	+	0.000	0.000	Merged-chr13-89965778-3
NR1010--MA0035.3.Gata1	chr10	122976186	122976196	-	0.000	0.000	Merged-chr10-122976254-31
NR5140--MA0036.3.GATA2	chr5	37051251	37051261	-	0.000	0.000	Merged-chr5-37051336-115
NR547--MA0140.2.GATA1::TAL1	chr1	180850959	180850976	+	0.000	0.000	Merged-chr1-180850855-72
NR5678--MA0482.1.Gata4	chr6	122274706	122274716	-	0.000	0.000	Merged-chr6-122274694-14
NR5764--MA0035.3.Gata1	chr6	132735611	132735621	+	0.000	0.000	Merged-chr6-132735696-3
NR1626--MA1104.1.GATA6	chr12	98215672	98215684	+	0.000	0.000	Merged-chr12-98215762-18
NR1171--MA0766.1.GATA5	chr11	65806927	65806934	+	0.000	0.000	Merged-chr11-65807044-98
NR4570--MA0037.3.GATA3	chr3	133557018	133557025	+	0.000	0.000	Merged-chr3-133556901-17
NR3507--MA0482.1.Gata4	chr19	9899583	9899593	+	0.000	0.000	Merged-chr19-9899505-60
NR1166--MA0035.3.Gata1	chr11	64899064	64899074	+	0.000	0.000	Merged-chr11-64899021-36
NR390--MA0766.1.GATA5	chr1	155223928	155223935	+	0.000	0.000	Merged-chr1-155224072-96
NR2702--MA0140.2.GATA1::TAL1	chr16	11526680	11526697	-	0.000	0.000	Merged-chr16-11526520-43
NR2762--MA0036.3.GATA2	chr16	32954081	32954091	-	0.000	0.000	Merged-chr16-32954126-18
NR4530--MA0140.2.GATA1::TAL1	chr3	127759490	127759507	+	0.000	0.000	Merged-chr3-127759429-25
NR3620--MA0037.3.GATA3	chr19	46613397	46613404	-	0.000	0.000	Merged-chr19-46613309-39
NR1297--MA0140.2.GATA1::TAL1	chr11	98026915	98026932	-	0.000	0.000	Merged-chr11-98026948-69
NR2900--MA0766.1.GATA5	chr16	93918466	93918473	-	0.000	0.000	Merged-chr16-93918388-61
