#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.up.bed
NR2140--MA0731.1.BCL6B	chr8	66486562	66486578	-	0.000	0.000	Merged-chr8-66486443-62
NR2318--MA0463.1.Bcl6	chr9	124068594	124068607	-	0.000	0.000	Merged-chr9-124068612-53
NR1913--MA0463.1.Bcl6	chr6	136422639	136422652	+	0.000	0.000	Merged-chr6-136422610-10
NR313--MA0731.1.BCL6B	chr10	117677622	117677638	-	0.000	0.000	Merged-chr10-117677545-62
NR1931--MA0463.1.Bcl6	chr6	144679130	144679143	+	0.000	0.000	Merged-chr6-144679049-11
NR836--MA0731.1.BCL6B	chr16	23250854	23250870	+	0.000	0.000	Merged-chr16-23250750-42
NR422--MA0731.1.BCL6B	chr12	12420963	12420979	+	0.000	0.000	Merged-chr12-12421054-45
NR1018--MA0463.1.Bcl6	chr18	68847832	68847845	+	0.000	0.000	Merged-chr18-68847812-21
NR1488--MA0463.1.Bcl6	chr4	54527641	54527654	-	0.000	0.000	Merged-chr4-54527768-19
NR1394--MA0463.1.Bcl6	chr3	126589649	126589662	+	0.000	0.000	Merged-chr3-126589665-27
NR1197--MA0731.1.BCL6B	chr2	103485213	103485229	-	0.000	0.000	Merged-chr2-103485172-63
NR2238--MA0463.1.Bcl6	chr9	48538503	48538516	-	0.000	0.000	Merged-chr9-48538454-59
NR807--MA0463.1.Bcl6	chr15	97606704	97606717	+	0.000	0.000	Merged-chr15-97606857-25
NR1184--MA0463.1.Bcl6	chr2	84827737	84827750	-	0.000	0.000	Merged-chr2-84827743-5
NR828--MA0731.1.BCL6B	chr16	14351039	14351055	+	0.000	0.000	Merged-chr16-14350919-24
NR1963--MA0463.1.Bcl6	chr7	28381221	28381234	+	0.000	0.000	Merged-chr7-28381197-44
NR395--MA0731.1.BCL6B	chr11	97662228	97662244	+	0.000	0.000	Merged-chr11-97662254-27
NR825--MA0463.1.Bcl6	chr16	11577696	11577709	-	0.000	0.000	Merged-chr16-11577786-44
NR1923--MA0731.1.BCL6B	chr6	140657483	140657499	+	0.000	0.000	Merged-chr6-140657459-39
NR20--MA0463.1.Bcl6	chr1	43899091	43899104	+	0.000	0.000	Merged-chr1-43899142-19
NR1068--MA0463.1.Bcl6	chr19	34290522	34290535	+	0.000	0.000	Merged-chr19-34290594-61
NR740--MA0463.1.Bcl6	chr14	118823413	118823426	-	0.000	0.000	Merged-chr14-118823574-15
NR788--MA0731.1.BCL6B	chr15	64246561	64246577	-	0.000	0.000	Merged-chr15-64246637-23
NR2055--MA0463.1.Bcl6	chr7	116484374	116484387	-	0.000	0.000	Merged-chr7-116484434-42
NR400--MA0463.1.Bcl6	chr11	102430374	102430387	-	0.000	0.000	Merged-chr11-102430460-50
NR2342--MA0731.1.BCL6B	chrX	158940984	158941000	+	0.000	0.000	Merged-chrX-158941058-9
NR2288--MA0463.1.Bcl6	chr9	104870756	104870769	+	0.000	0.000	Merged-chr9-104870769-1
NR1892--MA0463.1.Bcl6	chr6	126552063	126552076	+	0.000	0.000	Merged-chr6-126552098-38
NR1740--MA0731.1.BCL6B	chr5	122288737	122288753	-	0.000	0.000	Merged-chr5-122288620-47
NR2246--MA0731.1.BCL6B	chr9	57762915	57762931	+	0.000	0.000	Merged-chr9-57762825-14
NR496--MA0731.1.BCL6B	chr12	98445743	98445759	-	0.000	0.000	Merged-chr12-98445818-15
NR1753--MA0731.1.BCL6B	chr5	134277353	134277369	+	0.000	0.000	Merged-chr5-134277310-4
NR660--MA0463.1.Bcl6	chr14	47277008	47277021	+	0.000	0.000	Merged-chr14-47276879-81
NR114--MA0731.1.BCL6B	chr1	131153224	131153240	-	0.000	0.000	Merged-chr1-131153253-37
NR893--MA0463.1.Bcl6	chr16	90998098	90998111	+	0.000	0.000	Merged-chr16-90997948-16
NR1691--MA0463.1.Bcl6	chr5	92398482	92398495	+	0.000	0.000	Merged-chr5-92398390-31
NR127--MA0731.1.BCL6B	chr1	139179803	139179819	+	0.000	0.000	Merged-chr1-139179878-22
NR544--MA0463.1.Bcl6	chr13	21531118	21531131	-	0.000	0.000	Merged-chr13-21531056-50
NR379--MA0731.1.BCL6B	chr11	77371459	77371475	-	0.000	0.000	Merged-chr11-77371376-39
NR665--MA0463.1.Bcl6	chr14	53991442	53991455	-	0.000	0.000	Merged-chr14-53991550-13
NR683--MA0463.1.Bcl6	chr14	65393682	65393695	-	0.000	0.000	Merged-chr14-65393664-9
NR1575--MA0463.1.Bcl6	chr4	128884559	128884572	-	0.000	0.000	Merged-chr4-128884596-1
NR437--MA0463.1.Bcl6	chr12	33235889	33235902	+	0.000	0.000	Merged-chr12-33235849-22
NR2108--MA0731.1.BCL6B	chr8	13686698	13686714	+	0.000	0.000	Merged-chr8-13686705-81
NR1854--MA0731.1.BCL6B	chr6	97148714	97148730	-	0.000	0.000	Merged-chr6-97148793-82
NR1440--MA0731.1.BCL6B	chr3	152430996	152431012	-	0.000	0.000	Merged-chr3-152430886-16
NR2325--MA0463.1.Bcl6	chrX	12129234	12129247	-	0.000	0.000	Merged-chrX-12129136-2
NR2110--MA0463.1.Bcl6	chr8	18619058	18619071	-	0.000	0.000	Merged-chr8-18619188-46
NR1291--MA0731.1.BCL6B	chr2	181375967	181375983	+	0.000	0.000	Merged-chr2-181375912-7
NR2068--MA0731.1.BCL6B	chr7	128298178	128298194	+	0.000	0.000	Merged-chr7-128298070-48
NR1907--MA0463.1.Bcl6	chr6	134189915	134189928	-	0.000	0.000	Merged-chr6-134189868-22
NR2209--MA0463.1.Bcl6	chr8	128165795	128165808	-	0.000	0.000	Merged-chr8-128165876-22
NR236--MA0463.1.Bcl6	chr10	42897825	42897838	+	0.000	0.000	Merged-chr10-42897771-65
NR1432--MA0731.1.BCL6B	chr3	148511210	148511226	+	0.000	0.000	Merged-chr3-148511126-2
NR160--MA0463.1.Bcl6	chr1	164453819	164453832	+	0.000	0.000	Merged-chr1-164453894-15
NR1267--MA0463.1.Bcl6	chr2	167505401	167505414	-	0.000	0.000	Merged-chr2-167505349-52
NR1943--MA0463.1.Bcl6	chr6	148436699	148436712	+	0.000	0.000	Merged-chr6-148436541-68
NR487--MA0463.1.Bcl6	chr12	91774238	91774251	+	0.000	0.000	Merged-chr12-91774223-2
NR1388--MA0463.1.Bcl6	chr3	121593387	121593400	-	0.000	0.000	Merged-chr3-121593516-30
NR1173--MA0463.1.Bcl6	chr2	75055298	75055311	+	0.000	0.000	Merged-chr2-75055098-51
NR1650--MA0731.1.BCL6B	chr5	35817406	35817422	+	0.000	0.000	Merged-chr5-35817524-2
NR908--MA0463.1.Bcl6	chr17	5814097	5814110	+	0.000	0.000	Merged-chr17-5814048-13
NR297--MA0731.1.BCL6B	chr10	95842886	95842902	-	0.000	0.000	Merged-chr10-95843057-27
NR1809--MA0463.1.Bcl6	chr6	49128445	49128458	-	0.000	0.000	Merged-chr6-49128471-29
NR1934--MA0731.1.BCL6B	chr6	145469503	145469519	+	0.000	0.000	Merged-chr6-145469437-17
NR2129--MA0463.1.Bcl6	chr8	41443766	41443779	-	0.000	0.000	Merged-chr8-41443750-12
NR2169--MA0731.1.BCL6B	chr8	95245170	95245186	-	0.000	0.000	Merged-chr8-95245362-18
NR1520--MA0731.1.BCL6B	chr4	86683518	86683534	+	0.000	0.000	Merged-chr4-86683553-15
NR167--MA0731.1.BCL6B	chr1	167871994	167872010	-	0.000	0.000	Merged-chr1-167872060-3
NR1424--MA0731.1.BCL6B	chr3	144402253	144402269	-	0.000	0.000	Merged-chr3-144402343-18
NR604--MA0463.1.Bcl6	chr13	92671666	92671679	-	0.000	0.000	Merged-chr13-92671922-24
NR192--MA0463.1.Bcl6	chr1	180988027	180988040	+	0.000	0.000	Merged-chr1-180987901-35
NR14--MA0463.1.Bcl6	chr1	30792973	30792986	+	0.000	0.000	Merged-chr1-30793129-16
NR32--MA0463.1.Bcl6	chr1	64527545	64527558	-	0.000	0.000	Merged-chr1-64527761-39
NR861--MA0731.1.BCL6B	chr16	50315648	50315664	-	0.000	0.000	Merged-chr16-50315651-21
NR1747--MA0463.1.Bcl6	chr5	129594207	129594220	+	0.000	0.000	Merged-chr5-129594296-34
NR752--MA0463.1.Bcl6	chr15	9190110	9190123	-	0.000	0.000	Merged-chr15-9190055-23
NR731--MA0731.1.BCL6B	chr14	105632236	105632252	+	0.000	0.000	Merged-chr14-105632232-2
NR770--MA0463.1.Bcl6	chr15	42479767	42479780	-	0.000	0.000	Merged-chr15-42479661-25
NR524--MA0463.1.Bcl6	chr12	117553514	117553527	-	0.000	0.000	Merged-chr12-117553468-60
NR1998--MA0463.1.Bcl6	chr7	75387910	75387923	+	0.000	0.000	Merged-chr7-75388095-45
NR1425--MA0463.1.Bcl6	chr3	146063290	146063303	-	0.000	0.000	Merged-chr3-146063322-20
NR1111--MA0731.1.BCL6B	chr2	25095309	25095325	+	0.000	0.000	Merged-chr2-25095278-14
NR1537--MA0463.1.Bcl6	chr4	101261210	101261223	+	0.000	0.000	Merged-chr4-101261063-33
NR1634--MA0731.1.BCL6B	chr5	16470144	16470160	+	0.000	0.000	Merged-chr5-16470042-54
NR1905--MA0731.1.BCL6B	chr6	134120747	134120763	-	0.000	0.000	Merged-chr6-134120751-43
NR748--MA0463.1.Bcl6	chr14	122754731	122754744	-	0.000	0.000	Merged-chr14-122754701-5
NR64--MA0463.1.Bcl6	chr1	88578415	88578428	-	0.000	0.000	Merged-chr1-88578300-28
NR560--MA0463.1.Bcl6	chr13	44469934	44469947	-	0.000	0.000	Merged-chr13-44469890-10
NR2106--MA0731.1.BCL6B	chr8	12607380	12607396	-	0.000	0.000	Merged-chr8-12607436-37
NR1647--MA0731.1.BCL6B	chr5	30916120	30916136	-	0.000	0.000	Merged-chr5-30915994-18
NR82--MA0463.1.Bcl6	chr1	104986399	104986412	+	0.000	0.000	Merged-chr1-104986299-37
NR1485--MA0731.1.BCL6B	chr4	53278267	53278283	-	0.000	0.000	Merged-chr4-53278272-26
NR1112--MA0463.1.Bcl6	chr2	25228684	25228697	-	0.000	0.000	Merged-chr2-25228680-45
NR2119--MA0731.1.BCL6B	chr8	31176221	31176237	-	0.000	0.000	Merged-chr8-31176190-29
NR561--MA0731.1.BCL6B	chr13	48843577	48843593	+	0.000	0.000	Merged-chr13-48843644-14
NR69--MA0463.1.Bcl6	chr1	91024162	91024175	-	0.000	0.000	Merged-chr1-91024136-16
NR556--MA0463.1.Bcl6	chr13	40418937	40418950	-	0.000	0.000	Merged-chr13-40418835-1
NR328--MA0463.1.Bcl6	chr11	3161066	3161079	+	0.000	0.000	Merged-chr11-3161151-10
NR1587--MA0463.1.Bcl6	chr4	136082046	136082059	-	0.000	0.000	Merged-chr4-136081901-45
NR1229--MA0463.1.Bcl6	chr2	129873720	129873733	+	0.000	0.000	Merged-chr2-129873690-22
NR1225--MA0731.1.BCL6B	chr2	125735759	125735775	-	0.000	0.000	Merged-chr2-125735684-57
NR1682--MA0731.1.BCL6B	chr5	77285928	77285944	+	0.000	0.000	Merged-chr5-77285904-24
NR1605--MA0731.1.BCL6B	chr4	147848496	147848512	-	0.000	0.000	Merged-chr4-147848412-69
NR2010--MA0463.1.Bcl6	chr7	89147009	89147022	+	0.000	0.000	Merged-chr7-89146936-24
NR2216--MA0463.1.Bcl6	chr9	20581378	20581391	-	0.000	0.000	Merged-chr9-20581482-47
NR2122--MA0463.1.Bcl6	chr8	35321526	35321539	-	0.000	0.000	Merged-chr8-35321635-19
NR364--MA0463.1.Bcl6	chr11	62185090	62185103	+	0.000	0.000	Merged-chr11-62185170-13
NR1300--MA0731.1.BCL6B	chr3	31145929	31145945	-	0.000	0.000	Merged-chr3-31145985-42
NR1347--MA0731.1.BCL6B	chr3	84501749	84501765	+	0.000	0.000	Merged-chr3-84501551-10
NR1950--MA0463.1.Bcl6	chr7	12880948	12880961	-	0.000	0.000	Merged-chr7-12881125-51
NR1390--MA0731.1.BCL6B	chr3	121593387	121593403	-	0.000	0.000	Merged-chr3-121593516-30
NR2252--MA0463.1.Bcl6	chr9	63749249	63749262	+	0.000	0.000	Merged-chr9-63749415-13
NR248--MA0463.1.Bcl6	chr10	62449929	62449942	+	0.000	0.000	Merged-chr10-62449839-90
NR784--MA0731.1.BCL6B	chr15	58685161	58685177	+	0.000	0.000	Merged-chr15-58685209-108
NR172--MA0463.1.Bcl6	chr1	170632632	170632645	+	0.000	0.000	Merged-chr1-170632592-34
NR378--MA0463.1.Bcl6	chr11	75655918	75655931	+	0.000	0.000	Merged-chr11-75656010-33
NR1064--MA0463.1.Bcl6	chr19	29064107	29064120	+	0.000	0.000	Merged-chr19-29064177-55
NR1164--MA0731.1.BCL6B	chr2	59441660	59441676	-	0.000	0.000	Merged-chr2-59441702-10
NR1852--MA0463.1.Bcl6	chr6	94690438	94690451	+	0.000	0.000	Merged-chr6-94690537-14
NR2154--MA0463.1.Bcl6	chr8	83131698	83131711	-	0.000	0.000	Merged-chr8-83131891-13
NR1839--MA0463.1.Bcl6	chr6	84617231	84617244	-	0.000	0.000	Merged-chr6-84617241-46
NR835--MA0463.1.Bcl6	chr16	21412734	21412747	-	0.000	0.000	Merged-chr16-21412806-39
NR853--MA0463.1.Bcl6	chr16	44691841	44691854	-	0.000	0.000	Merged-chr16-44691948-13
NR1969--MA0463.1.Bcl6	chr7	39544308	39544321	+	0.000	0.000	Merged-chr7-39544508-62
NR513--MA0463.1.Bcl6	chr12	112623989	112624002	-	0.000	0.000	Merged-chr12-112623897-8
NR2074--MA0463.1.Bcl6	chr7	130533444	130533457	-	0.000	0.000	Merged-chr7-130533557-34
NR898--MA0731.1.BCL6B	chr16	92762111	92762127	+	0.000	0.000	Merged-chr16-92761917-18
NR1790--MA0463.1.Bcl6	chr6	29517502	29517515	-	0.000	0.000	Merged-chr6-29517345-20
NR960--MA0731.1.BCL6B	chr17	80621213	80621229	+	0.000	0.000	Merged-chr17-80621176-31
NR755--MA0463.1.Bcl6	chr15	27796718	27796731	+	0.000	0.000	Merged-chr15-27796764-17
NR973--MA0731.1.BCL6B	chr17	87474187	87474203	+	0.000	0.000	Merged-chr17-87474193-52
NR71--MA0463.1.Bcl6	chr1	91908047	91908060	+	0.000	0.000	Merged-chr1-91908187-5
NR773--MA0463.1.Bcl6	chr15	50261746	50261759	-	0.000	0.000	Merged-chr15-50261633-22
NR1674--MA0463.1.Bcl6	chr5	73557130	73557143	+	0.000	0.000	Merged-chr5-73557249-47
NR1101--MA0463.1.Bcl6	chr2	18403850	18403863	-	0.000	0.000	Merged-chr2-18403900-7
NR1767--MA0731.1.BCL6B	chr5	147323704	147323720	-	0.000	0.000	Merged-chr5-147323630-31
NR2322--MA0731.1.BCL6B	chrX	8252416	8252432	-	0.000	0.000	Merged-chrX-8252507-67
NR1580--MA0463.1.Bcl6	chr4	133162326	133162339	-	0.000	0.000	Merged-chr4-133162474-29
NR791--MA0463.1.Bcl6	chr15	66998608	66998621	-	0.000	0.000	Merged-chr15-66998486-48
NR37--MA0731.1.BCL6B	chr1	69498973	69498989	+	0.000	0.000	Merged-chr1-69499196-51
NR1366--MA0731.1.BCL6B	chr3	101661684	101661700	+	0.000	0.000	Merged-chr3-101661770-28
NR1679--MA0463.1.Bcl6	chr5	77130534	77130547	-	0.000	0.000	Merged-chr5-77130540-43
NR1464--MA0463.1.Bcl6	chr4	11454095	11454108	-	0.000	0.000	Merged-chr4-11453952-20
NR796--MA0463.1.Bcl6	chr15	78579955	78579968	-	0.000	0.000	Merged-chr15-78580091-5
NR335--MA0463.1.Bcl6	chr11	6658428	6658441	-	0.000	0.000	Merged-chr11-6658459-18
NR447--MA0463.1.Bcl6	chr12	52097684	52097697	-	0.000	0.000	Merged-chr12-52097764-52
NR184--MA0731.1.BCL6B	chr1	178182416	178182432	+	0.000	0.000	Merged-chr1-178182458-49
NR29--MA0731.1.BCL6B	chr1	60569185	60569201	-	0.000	0.000	Merged-chr1-60569405-18
NR2261--MA0731.1.BCL6B	chr9	78553225	78553241	-	0.000	0.000	Merged-chr9-78553202-20
NR371--MA0463.1.Bcl6	chr11	70473508	70473521	+	0.000	0.000	Merged-chr11-70473545-6
NR143--MA0463.1.Bcl6	chr1	156710886	156710899	-	0.000	0.000	Merged-chr1-156710970-33
NR2131--MA0731.1.BCL6B	chr8	46210877	46210893	+	0.000	0.000	Merged-chr8-46210944-80
NR1228--MA0731.1.BCL6B	chr2	128698283	128698299	-	0.000	0.000	Merged-chr2-128698451-42
NR795--MA0731.1.BCL6B	chr15	73092882	73092898	-	0.000	0.000	Merged-chr15-73092789-7
NR161--MA0463.1.Bcl6	chr1	164974106	164974119	+	0.000	0.000	Merged-chr1-164974050-5
NR2306--MA0731.1.BCL6B	chr9	114794599	114794615	+	0.000	0.000	Merged-chr9-114794637-24
NR699--MA0731.1.BCL6B	chr14	70076773	70076789	+	0.000	0.000	Merged-chr14-70076912-39
NR304--MA0731.1.BCL6B	chr10	100629912	100629928	-	0.000	0.000	Merged-chr10-100629958-40
NR2031--MA0463.1.Bcl6	chr7	104170073	104170086	-	0.000	0.000	Merged-chr7-104169965-14
NR940--MA0463.1.Bcl6	chr17	44337039	44337052	+	0.000	0.000	Merged-chr17-44337024-21
NR2264--MA0463.1.Bcl6	chr9	80067562	80067575	+	0.000	0.000	Merged-chr9-80067411-128
NR10--MA0463.1.Bcl6	chr1	23321543	23321556	+	0.000	0.000	Merged-chr1-23321414-28
