#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR3299--MA0089.1.MAFG::NFE2L1	chr13	24962227	24962232	-	0.000	0.000	Merged-chr13-24962371-30
NR6750--MA0089.1.MAFG::NFE2L1	chr2	60418457	60418462	-	0.000	0.000	Merged-chr2-60418304-27
NR7551--MA0591.1.Bach1::Mafk	chr2	180822556	180822570	+	0.000	0.000	Merged-chr2-180822678-8
NR8504--MA0496.2.MAFK	chr4	47314182	47314200	+	0.000	0.000	Merged-chr4-47314208-36
NR11799--MA0089.1.MAFG::NFE2L1	chr8	73353510	73353515	-	0.000	0.000	Merged-chr8-73353537-91
NR2529--MA0496.2.MAFK	chr11	118000748	118000766	+	0.000	0.000	Merged-chr11-118000770-19
NR4661--MA0591.1.Bach1::Mafk	chr15	82163819	82163833	+	0.000	0.000	Merged-chr15-82163866-28
NR11180--MA0089.1.MAFG::NFE2L1	chr7	99027423	99027428	+	0.000	0.000	Merged-chr7-99027397-37
NR11205--MA0089.1.MAFG::NFE2L1	chr7	101896630	101896635	-	0.000	0.000	Merged-chr7-101896554-69
NR1513--MA0089.1.MAFG::NFE2L1	chr10	88406050	88406055	-	0.000	0.000	Merged-chr10-88405928-47
NR6561--MA0089.1.MAFG::NFE2L1	chr2	25620559	25620564	-	0.000	0.000	Merged-chr2-25620603-21
NR2218--MA0117.2.Mafb	chr11	79460874	79460885	+	0.000	0.000	Merged-chr11-79460952-43
NR3619--MA0496.2.MAFK	chr13	96697953	96697971	-	0.000	0.000	Merged-chr13-96698036-39
NR6036--MA0659.1.MAFG	chr18	79303644	79303664	-	0.000	0.000	Merged-chr18-79303705-44
NR2775--MA0501.1.MAF::NFE2	chr12	73842444	73842458	+	0.000	0.000	Merged-chr12-73842345-69
NR3197--MA0089.1.MAFG::NFE2L1	chr13	6659457	6659462	+	0.000	0.000	Merged-chr13-6659549-27
NR4993--MA0089.1.MAFG::NFE2L1	chr16	52143291	52143296	-	0.000	0.000	Merged-chr16-52143257-58
NR12221--MA0089.1.MAFG::NFE2L1	chr9	22085404	22085409	-	0.000	0.000	Merged-chr9-22085425-60
NR6808--MA0591.1.Bach1::Mafk	chr2	69802945	69802959	-	0.000	0.000	Merged-chr2-69803068-39
NR669--MA0089.1.MAFG::NFE2L1	chr1	156911171	156911176	-	0.000	0.000	Merged-chr1-156911198-16
NR9549--MA0591.1.Bach1::Mafk	chr5	100622695	100622709	-	0.000	0.000	Merged-chr5-100622533-21
NR615--MA0591.1.Bach1::Mafk	chr1	152010403	152010417	+	0.000	0.000	Merged-chr1-152010502-52
NR2240--MA0089.1.MAFG::NFE2L1	chr11	84813941	84813946	+	0.000	0.000	Merged-chr11-84814104-24
NR7898--MA0496.2.MAFK	chr3	105763607	105763625	-	0.000	0.000	Merged-chr3-105763665-52
NR12147--MA0089.1.MAFG::NFE2L1	chr8	128489613	128489618	-	0.000	0.000	Merged-chr8-128489561-17
NR7994--MA0089.1.MAFG::NFE2L1	chr3	116332015	116332020	+	0.000	0.000	Merged-chr3-116332074-27
NR10364--MA0089.1.MAFG::NFE2L1	chr6	108426895	108426900	+	0.000	0.000	Merged-chr6-108426934-21
NR7952--MA0501.1.MAF::NFE2	chr3	109165414	109165428	-	0.000	0.000	Merged-chr3-109165436-34
NR2568--MA0501.1.MAF::NFE2	chr12	3359625	3359639	-	0.000	0.000	Merged-chr12-3359484-30
NR11250--MA0496.2.MAFK	chr7	104465138	104465156	+	0.000	0.000	Merged-chr7-104465292-53
NR2020--MA0591.1.Bach1::Mafk	chr11	51264661	51264675	+	0.000	0.000	Merged-chr11-51264498-29
NR5369--MA0089.1.MAFG::NFE2L1	chr17	24669586	24669591	-	0.000	0.000	Merged-chr17-24669740-50
NR7896--MA0591.1.Bach1::Mafk	chr3	105763609	105763623	+	0.000	0.000	Merged-chr3-105763665-52
NR11705--MA0591.1.Bach1::Mafk	chr8	40584824	40584838	-	0.000	0.000	Merged-chr8-40584789-43
NR2051--MA0089.1.MAFG::NFE2L1	chr11	55197806	55197811	+	0.000	0.000	Merged-chr11-55197770-39
NR10449--MA0591.1.Bach1::Mafk	chr6	122758925	122758939	-	0.000	0.000	Merged-chr6-122758915-39
NR12363--MA0495.2.MAFF	chr9	62349327	62349347	+	0.000	0.000	Merged-chr9-62349502-36
NR11029--MA0089.1.MAFG::NFE2L1	chr7	66116121	66116126	-	0.000	0.000	Merged-chr7-66116161-49
NR5456--MA0089.1.MAFG::NFE2L1	chr17	44556037	44556042	+	0.000	0.000	Merged-chr17-44556103-15
NR2757--MA0089.1.MAFG::NFE2L1	chr12	71015954	71015959	-	0.000	0.000	Merged-chr12-71015954-124
NR6761--MA0089.1.MAFG::NFE2L1	chr2	62459432	62459437	+	0.000	0.000	Merged-chr2-62459373-5
NR7488--MA0501.1.MAF::NFE2	chr2	173386021	173386035	+	0.000	0.000	Merged-chr2-173385876-50
NR2706--MA0591.1.Bach1::Mafk	chr12	51845107	51845121	+	0.000	0.000	Merged-chr12-51845032-54
NR4383--MA0501.1.MAF::NFE2	chr15	12196836	12196850	+	0.000	0.000	Merged-chr15-12196994-20
NR3380--MA0501.1.MAF::NFE2	chr13	45623915	45623929	-	0.000	0.000	Merged-chr13-45624002-39
NR7478--MA0495.2.MAFF	chr2	172976722	172976742	-	0.000	0.000	Merged-chr2-172976797-9
NR12235--MA0117.2.Mafb	chr9	31386997	31387008	+	0.000	0.000	Merged-chr9-31386923-3
NR9386--MA0089.1.MAFG::NFE2L1	chr5	77094560	77094565	+	0.000	0.000	Merged-chr5-77094655-3
NR1881--MA0591.1.Bach1::Mafk	chr11	4249448	4249462	+	0.000	0.000	Merged-chr11-4249438-7
NR5643--MA0089.1.MAFG::NFE2L1	chr17	86495938	86495943	-	0.000	0.000	Merged-chr17-86495952-1
NR10853--MA0089.1.MAFG::NFE2L1	chr7	24413798	24413803	-	0.000	0.000	Merged-chr7-24413787-50
NR5636--MA0659.1.MAFG	chr17	86188060	86188080	-	0.000	0.000	Merged-chr17-86187981-35
NR5404--MA0591.1.Bach1::Mafk	chr17	29362144	29362158	+	0.000	0.000	Merged-chr17-29362126-13
NR9960--MA0591.1.Bach1::Mafk	chr6	13838632	13838646	+	0.000	0.000	Merged-chr6-13838758-42
NR10091--MA0117.2.Mafb	chr6	53498097	53498108	-	0.000	0.000	Merged-chr6-53498072-40
NR956--MA0089.1.MAFG::NFE2L1	chr1	184751472	184751477	-	0.000	0.000	Merged-chr1-184751461-18
NR8557--MA0089.1.MAFG::NFE2L1	chr4	63939641	63939646	+	0.000	0.000	Merged-chr4-63939569-55
NR12513--MA0591.1.Bach1::Mafk	chr9	83564273	83564287	+	0.000	0.000	Merged-chr9-83564254-44
NR1173--MA0591.1.Bach1::Mafk	chr10	13424689	13424703	+	0.000	0.000	Merged-chr10-13424690-40
NR10779--MA0089.1.MAFG::NFE2L1	chr6	149139141	149139146	-	0.000	0.000	Merged-chr6-149139257-18
NR3801--MA0659.1.MAFG	chr13	114935790	114935810	-	0.000	0.000	Merged-chr13-114935699-10
NR9573--MA0089.1.MAFG::NFE2L1	chr5	103719958	103719963	+	0.000	0.000	Merged-chr5-103720100-12
NR3141--MA0495.2.MAFF	chr12	117403964	117403984	+	0.000	0.000	Merged-chr12-117403786-38
NR52--MA0591.1.Bach1::Mafk	chr1	33454544	33454558	+	0.000	0.000	Merged-chr1-33454547-11
NR2268--MA0659.1.MAFG	chr11	87074101	87074121	-	0.000	0.000	Merged-chr11-87073947-35
NR1232--MA0501.1.MAF::NFE2	chr10	25457256	25457270	-	0.000	0.000	Merged-chr10-25457296-47
NR8859--MA0089.1.MAFG::NFE2L1	chr4	129827884	129827889	+	0.000	0.000	Merged-chr4-129827894-38
NR6851--MA0117.2.Mafb	chr2	79124345	79124356	+	0.000	0.000	Merged-chr2-79124485-40
NR1913--MA0089.1.MAFG::NFE2L1	chr11	16956633	16956638	+	0.000	0.000	Merged-chr11-16956809-36
NR7153--MA0117.2.Mafb	chr2	131254122	131254133	-	0.000	0.000	Merged-chr2-131254013-54
NR10624--MA0117.2.Mafb	chr6	140817082	140817093	+	0.000	0.000	Merged-chr6-140817043-66
NR277--MA0117.2.Mafb	chr1	80728462	80728473	+	0.000	0.000	Merged-chr1-80728475-49
NR4943--MA0591.1.Bach1::Mafk	chr16	43253287	43253301	-	0.000	0.000	Merged-chr16-43253230-31
NR8946--MA0089.1.MAFG::NFE2L1	chr4	143188933	143188938	-	0.000	0.000	Merged-chr4-143188920-11
NR2407--MA0591.1.Bach1::Mafk	chr11	109375549	109375563	+	0.000	0.000	Merged-chr11-109375589-56
NR2373--MA0496.2.MAFK	chr11	106001903	106001921	+	0.000	0.000	Merged-chr11-106001838-18
NR2705--MA0495.2.MAFF	chr12	51845104	51845124	-	0.000	0.000	Merged-chr12-51845032-54
NR11940--MA0496.2.MAFK	chr8	106795005	106795023	+	0.000	0.000	Merged-chr8-106794988-23
NR37--MA0089.1.MAFG::NFE2L1	chr1	23321408	23321413	-	0.000	0.000	Merged-chr1-23321414-28
NR9586--MA0089.1.MAFG::NFE2L1	chr5	105718245	105718250	+	0.000	0.000	Merged-chr5-105718341-55
NR4047--MA0089.1.MAFG::NFE2L1	chr14	60129741	60129746	+	0.000	0.000	Merged-chr14-60129717-50
NR9962--MA0089.1.MAFG::NFE2L1	chr6	15715184	15715189	+	0.000	0.000	Merged-chr6-15715270-33
NR8876--MA0591.1.Bach1::Mafk	chr4	133688451	133688465	-	0.000	0.000	Merged-chr4-133688584-12
NR289--MA0089.1.MAFG::NFE2L1	chr1	82839779	82839784	+	0.000	0.000	Merged-chr1-82839592-65
NR7337--MA0089.1.MAFG::NFE2L1	chr2	153326125	153326130	+	0.000	0.000	Merged-chr2-153325949-22
NR11735--MA0501.1.MAF::NFE2	chr8	64826687	64826701	-	0.000	0.000	Merged-chr8-64826546-37
NR7610--MA0659.1.MAFG	chr3	21917647	21917667	+	0.000	0.000	Merged-chr3-21917648-70
NR3016--MA0501.1.MAF::NFE2	chr12	110389664	110389678	-	0.000	0.000	Merged-chr12-110389691-32
NR397--MA0501.1.MAF::NFE2	chr1	106601140	106601154	+	0.000	0.000	Merged-chr1-106601056-67
NR7492--MA0591.1.Bach1::Mafk	chr2	173647099	173647113	+	0.000	0.000	Merged-chr2-173647246-19
NR3280--MA0089.1.MAFG::NFE2L1	chr13	24413452	24413457	+	0.000	0.000	Merged-chr13-24413373-17
NR11329--MA0089.1.MAFG::NFE2L1	chr7	115075947	115075952	+	0.000	0.000	Merged-chr7-115076033-1
NR7424--MA0089.1.MAFG::NFE2L1	chr2	166740617	166740622	+	0.000	0.000	Merged-chr2-166740656-12
NR12950--MA0495.2.MAFF	chrX	75764228	75764248	-	0.000	0.000	Merged-chrX-75764478-65
NR7109--MA0501.1.MAF::NFE2	chr2	125791849	125791863	+	0.000	0.000	Merged-chr2-125791694-59
NR4955--MA0501.1.MAF::NFE2	chr16	44140578	44140592	+	0.000	0.000	Merged-chr16-44140552-3
NR5706--MA0591.1.Bach1::Mafk	chr18	4292137	4292151	-	0.000	0.000	Merged-chr18-4292169-11
NR4321--MA0089.1.MAFG::NFE2L1	chr14	122011949	122011954	+	0.000	0.000	Merged-chr14-122012077-50
NR8298--MA0591.1.Bach1::Mafk	chr3	152315821	152315835	+	0.000	0.000	Merged-chr3-152315823-29
NR12069--MA0089.1.MAFG::NFE2L1	chr8	124347248	124347253	-	0.000	0.000	Merged-chr8-124347172-50
NR1517--MA0495.2.MAFF	chr10	88783292	88783312	-	0.000	0.000	Merged-chr10-88783253-12
NR2475--MA0591.1.Bach1::Mafk	chr11	115172979	115172993	-	0.000	0.000	Merged-chr11-115173098-6
NR12647--MA0089.1.MAFG::NFE2L1	chr9	100689914	100689919	+	0.000	0.000	Merged-chr9-100689976-48
NR11077--MA0495.2.MAFF	chr7	75575211	75575231	-	0.000	0.000	Merged-chr7-75575378-66
NR1774--MA0659.1.MAFG	chr10	122987857	122987877	-	0.000	0.000	Merged-chr10-122987873-30
NR765--MA0089.1.MAFG::NFE2L1	chr1	165730219	165730224	+	0.000	0.000	Merged-chr1-165730262-25
NR880--MA0495.2.MAFF	chr1	177702851	177702871	+	0.000	0.000	Merged-chr1-177702906-70
NR9786--MA0089.1.MAFG::NFE2L1	chr5	139303792	139303797	+	0.000	0.000	Merged-chr5-139303910-62
NR8366--MA0089.1.MAFG::NFE2L1	chr3	157883998	157884003	+	0.000	0.000	Merged-chr3-157884103-23
NR2076--MA0659.1.MAFG	chr11	60199797	60199817	+	0.000	0.000	Merged-chr11-60199892-26
NR3023--MA0591.1.Bach1::Mafk	chr12	110889190	110889204	-	0.000	0.000	Merged-chr12-110889168-75
NR3393--MA0089.1.MAFG::NFE2L1	chr13	49268013	49268018	-	0.000	0.000	Merged-chr13-49267914-12
NR10473--MA0089.1.MAFG::NFE2L1	chr6	125215542	125215547	-	0.000	0.000	Merged-chr6-125215615-63
NR3394--MA0117.2.Mafb	chr13	49268035	49268046	+	0.000	0.000	Merged-chr13-49267914-12
NR1346--MA0089.1.MAFG::NFE2L1	chr10	59636948	59636953	+	0.000	0.000	Merged-chr10-59636988-40
NR1722--MA0089.1.MAFG::NFE2L1	chr10	117418163	117418168	-	0.000	0.000	Merged-chr10-117417999-69
NR540--MA0495.2.MAFF	chr1	138952343	138952363	-	0.000	0.000	Merged-chr1-138952405-35
NR1532--MA0501.1.MAF::NFE2	chr10	89487169	89487183	+	0.000	0.000	Merged-chr10-89487316-19
NR6563--MA0501.1.MAF::NFE2	chr2	26639282	26639296	+	0.000	0.000	Merged-chr2-26639367-50
NR9505--MA0501.1.MAF::NFE2	chr5	96879089	96879103	+	0.000	0.000	Merged-chr5-96879087-37
NR2651--MA0089.1.MAFG::NFE2L1	chr12	28829700	28829705	-	0.000	0.000	Merged-chr12-28829718-31
NR1647--MA0495.2.MAFF	chr10	107858904	107858924	+	0.000	0.000	Merged-chr10-107858878-12
NR5189--MA0089.1.MAFG::NFE2L1	chr16	91475945	91475950	-	0.000	0.000	Merged-chr16-91475994-53
NR3600--MA0117.2.Mafb	chr13	93340894	93340905	+	0.000	0.000	Merged-chr13-93341062-38
NR9193--MA0089.1.MAFG::NFE2L1	chr5	24100851	24100856	-	0.000	0.000	Merged-chr5-24100850-85
NR9856--MA0591.1.Bach1::Mafk	chr5	147063450	147063464	-	0.000	0.000	Merged-chr5-147063758-85
NR3101--MA0089.1.MAFG::NFE2L1	chr12	115012885	115012890	+	0.000	0.000	Merged-chr12-115012998-22
NR6877--MA0495.2.MAFF	chr2	84660393	84660413	+	0.000	0.000	Merged-chr2-84660480-32
NR10437--MA0659.1.MAFG	chr6	121210700	121210720	+	0.000	0.000	Merged-chr6-121210795-40
NR5798--MA0659.1.MAFG	chr18	32941393	32941413	+	0.000	0.000	Merged-chr18-32941218-63
NR5453--MA0117.2.Mafb	chr17	43518896	43518907	+	0.000	0.000	Merged-chr17-43518847-13
NR7926--MA0089.1.MAFG::NFE2L1	chr3	107061592	107061597	+	0.000	0.000	Merged-chr3-107061699-25
NR6195--MA0501.1.MAF::NFE2	chr19	17124506	17124520	+	0.000	0.000	Merged-chr19-17124535-16
NR9280--MA0089.1.MAFG::NFE2L1	chr5	52786765	52786770	-	0.000	0.000	Merged-chr5-52786683-41
NR9347--MA0117.2.Mafb	chr5	72212861	72212872	+	0.000	0.000	Merged-chr5-72212800-19
NR8150--MA0591.1.Bach1::Mafk	chr3	137962193	137962207	+	0.000	0.000	Merged-chr3-137962071-28
NR1952--MA0501.1.MAF::NFE2	chr11	26601747	26601761	+	0.000	0.000	Merged-chr11-26601843-16
NR773--MA0591.1.Bach1::Mafk	chr1	166360345	166360359	+	0.000	0.000	Merged-chr1-166360361-34
NR7637--MA0089.1.MAFG::NFE2L1	chr3	31056840	31056845	+	0.000	0.000	Merged-chr3-31056991-112
NR1325--MA0501.1.MAF::NFE2	chr10	48433462	48433476	+	0.000	0.000	Merged-chr10-48433479-24
NR6217--MA0089.1.MAFG::NFE2L1	chr19	24174259	24174264	-	0.000	0.000	Merged-chr19-24174214-60
NR5639--MA0496.2.MAFK	chr17	86188061	86188079	-	0.000	0.000	Merged-chr17-86187981-35
NR10083--MA0501.1.MAF::NFE2	chr6	52012749	52012763	-	0.000	0.000	Merged-chr6-52012652-70
NR1651--MA0496.2.MAFK	chr10	107858905	107858923	+	0.000	0.000	Merged-chr10-107858878-12
NR869--MA0659.1.MAFG	chr1	177248866	177248886	+	0.000	0.000	Merged-chr1-177248824-22
NR1244--MA0089.1.MAFG::NFE2L1	chr10	28674043	28674048	-	0.000	0.000	Merged-chr10-28674060-27
NR9285--MA0501.1.MAF::NFE2	chr5	53402180	53402194	+	0.000	0.000	Merged-chr5-53402049-28
NR7609--MA0495.2.MAFF	chr3	21917647	21917667	-	0.000	0.000	Merged-chr3-21917648-70
NR4135--MA0117.2.Mafb	chr14	74918642	74918653	+	0.000	0.000	Merged-chr14-74918775-39
NR9105--MA0591.1.Bach1::Mafk	chr5	8798566	8798580	+	0.000	0.000	Merged-chr5-8798453-77
NR185--MA0089.1.MAFG::NFE2L1	chr1	61203263	61203268	-	0.000	0.000	Merged-chr1-61203375-24
NR12395--MA0496.2.MAFK	chr9	69702280	69702298	+	0.000	0.000	Merged-chr9-69702378-12
NR5954--MA0089.1.MAFG::NFE2L1	chr18	67255730	67255735	-	0.000	0.000	Merged-chr18-67255745-40
NR3612--MA0495.2.MAFF	chr13	96697952	96697972	-	0.000	0.000	Merged-chr13-96698036-39
NR12512--MA0495.2.MAFF	chr9	83564270	83564290	-	0.000	0.000	Merged-chr9-83564254-44
NR10297--MA0089.1.MAFG::NFE2L1	chr6	97387388	97387393	-	0.000	0.000	Merged-chr6-97387514-39
NR10309--MA0089.1.MAFG::NFE2L1	chr6	99057414	99057419	+	0.000	0.000	Merged-chr6-99057290-54
NR8960--MA0117.2.Mafb	chr4	144906688	144906699	-	0.000	0.000	Merged-chr4-144906777-28
NR3370--MA0591.1.Bach1::Mafk	chr13	45623887	45623901	-	0.000	0.000	Merged-chr13-45624002-39
NR10760--MA0089.1.MAFG::NFE2L1	chr6	147484586	147484591	+	0.000	0.000	Merged-chr6-147484715-1
NR6626--MA0496.2.MAFK	chr2	35447542	35447560	+	0.000	0.000	Merged-chr2-35447488-46
NR314--MA0659.1.MAFG	chr1	85895435	85895455	-	0.000	0.000	Merged-chr1-85895487-63
NR78--MA0591.1.Bach1::Mafk	chr1	37585878	37585892	-	0.000	0.000	Merged-chr1-37586082-40
NR7774--MA0591.1.Bach1::Mafk	chr3	87525574	87525588	-	0.000	0.000	Merged-chr3-87525732-56
NR9029--MA0089.1.MAFG::NFE2L1	chr4	148509460	148509465	+	0.000	0.000	Merged-chr4-148509676-49
NR8502--MA0495.2.MAFF	chr4	47314181	47314201	+	0.000	0.000	Merged-chr4-47314208-36
NR3718--MA0089.1.MAFG::NFE2L1	chr13	109212973	109212978	-	0.000	0.000	Merged-chr13-109213117-28
NR4610--MA0659.1.MAFG	chr15	73423157	73423177	+	0.000	0.000	Merged-chr15-73423381-101
NR7108--MA0591.1.Bach1::Mafk	chr2	125791846	125791860	+	0.000	0.000	Merged-chr2-125791694-59
NR2211--MA0659.1.MAFG	chr11	79207637	79207657	+	0.000	0.000	Merged-chr11-79207824-18
NR12383--MA0501.1.MAF::NFE2	chr9	65541879	65541893	+	0.000	0.000	Merged-chr9-65541837-66
NR8477--MA0089.1.MAFG::NFE2L1	chr4	33072995	33073000	-	0.000	0.000	Merged-chr4-33073054-38
NR5779--MA0501.1.MAF::NFE2	chr18	25367711	25367725	-	0.000	0.000	Merged-chr18-25367708-17
NR270--MA0089.1.MAFG::NFE2L1	chr1	75486716	75486721	-	0.000	0.000	Merged-chr1-75486810-6
NR2460--MA0089.1.MAFG::NFE2L1	chr11	114184628	114184633	-	0.000	0.000	Merged-chr11-114184749-1
NR793--MA0117.2.Mafb	chr1	170147737	170147748	-	0.000	0.000	Merged-chr1-170147878-39
NR11005--MA0591.1.Bach1::Mafk	chr7	58584547	58584561	-	0.000	0.000	Merged-chr7-58584520-36
NR8802--MA0501.1.MAF::NFE2	chr4	122872095	122872109	+	0.000	0.000	Merged-chr4-122872187-66
NR7446--MA0501.1.MAF::NFE2	chr2	168591526	168591540	-	0.000	0.000	Merged-chr2-168591388-1
NR7735--MA0089.1.MAFG::NFE2L1	chr3	78890009	78890014	+	0.000	0.000	Merged-chr3-78890015-28
NR2762--MA0089.1.MAFG::NFE2L1	chr12	72748555	72748560	+	0.000	0.000	Merged-chr12-72748579-13
NR2328--MA0591.1.Bach1::Mafk	chr11	96859897	96859911	+	0.000	0.000	Merged-chr11-96859766-18
NR9114--MA0089.1.MAFG::NFE2L1	chr5	10866605	10866610	+	0.000	0.000	Merged-chr5-10866661-52
NR2977--MA0089.1.MAFG::NFE2L1	chr12	105962864	105962869	-	0.000	0.000	Merged-chr12-105963076-63
NR8862--MA0117.2.Mafb	chr4	132883795	132883806	+	0.000	0.000	Merged-chr4-132883673-3
NR12859--MA0117.2.Mafb	chrX	12151874	12151885	+	0.000	0.000	Merged-chrX-12151801-24
NR1345--MA0117.2.Mafb	chr10	59570333	59570344	+	0.000	0.000	Merged-chr10-59570235-1
NR5250--MA0496.2.MAFK	chr16	95893657	95893675	-	0.000	0.000	Merged-chr16-95893684-47
NR498--MA0089.1.MAFG::NFE2L1	chr1	131003551	131003556	-	0.000	0.000	Merged-chr1-131003466-39
NR7239--MA0501.1.MAF::NFE2	chr2	144352565	144352579	+	0.000	0.000	Merged-chr2-144352435-1
NR1898--MA0496.2.MAFK	chr11	5691284	5691302	+	0.000	0.000	Merged-chr11-5691114-14
NR7793--MA0495.2.MAFF	chr3	89727207	89727227	+	0.000	0.000	Merged-chr3-89727230-25
NR9391--MA0089.1.MAFG::NFE2L1	chr5	77367924	77367929	-	0.000	0.000	Merged-chr5-77367800-15
NR3993--MA0089.1.MAFG::NFE2L1	chr14	46578307	46578312	+	0.000	0.000	Merged-chr14-46578431-37
NR1153--MA0089.1.MAFG::NFE2L1	chr10	7826372	7826377	+	0.000	0.000	Merged-chr10-7826287-40
NR10216--MA0496.2.MAFK	chr6	83428485	83428503	-	0.000	0.000	Merged-chr6-83428521-21
NR7412--MA0496.2.MAFK	chr2	165453544	165453562	+	0.000	0.000	Merged-chr2-165453384-56
NR7633--MA0089.1.MAFG::NFE2L1	chr3	28709957	28709962	+	0.000	0.000	Merged-chr3-28710015-15
NR1859--MA0089.1.MAFG::NFE2L1	chr10	130228433	130228438	+	0.000	0.000	Merged-chr10-130228483-35
NR12779--MA0591.1.Bach1::Mafk	chr9	118196753	118196767	+	0.000	0.000	Merged-chr9-118196833-13
NR9503--MA0089.1.MAFG::NFE2L1	chr5	96879054	96879059	-	0.000	0.000	Merged-chr5-96879087-37
