#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR1547--MA0508.2.PRDM1	chr6	143751087	143751096	-	0.000	0.000	Merged-chr6-143751233-79
NR1818--MA0508.2.PRDM1	chr9	90114240	90114249	+	0.000	0.000	Merged-chr9-90114273-148
NR1133--MA0508.2.PRDM1	chr3	89338091	89338100	+	0.000	0.000	Merged-chr3-89337908-44
NR22--MA0508.2.PRDM1	chr1	69790666	69790675	+	0.000	0.000	Merged-chr1-69790561-27
NR1513--MA0508.2.PRDM1	chr6	122669501	122669510	+	0.000	0.000	Merged-chr6-122669601-34
NR1146--MA0508.2.PRDM1	chr3	97009690	97009699	+	0.000	0.000	Merged-chr3-97009584-11
NR1874--MA0508.2.PRDM1	chrX	100476535	100476544	-	0.000	0.000	Merged-chrX-100476611-55
NR841--MA0508.2.PRDM1	chr18	41951239	41951248	+	0.000	0.000	Merged-chr18-41951172-76
NR1093--MA0508.2.PRDM1	chr3	8718383	8718392	+	0.000	0.000	Merged-chr3-8718167-60
NR1744--MA0508.2.PRDM1	chr8	119926565	119926574	-	0.000	0.000	Merged-chr8-119926648-22
NR1539--MA0508.2.PRDM1	chr6	140708293	140708302	-	0.000	0.000	Merged-chr6-140708216-59
NR440--MA0508.2.PRDM1	chr12	119157258	119157267	-	0.000	0.000	Merged-chr12-119157162-44
NR1125--MA0508.2.PRDM1	chr3	81761175	81761184	+	0.000	0.000	Merged-chr3-81761081-32
NR91--MA0508.2.PRDM1	chr1	156206230	156206239	+	0.000	0.000	Merged-chr1-156206326-26
NR820--MA0508.2.PRDM1	chr17	80933884	80933893	+	0.000	0.000	Merged-chr17-80933774-41
NR310--MA0508.2.PRDM1	chr11	83060447	83060456	-	0.000	0.000	Merged-chr11-83060592-20
NR1181--MA0508.2.PRDM1	chr3	136101178	136101187	-	0.000	0.000	Merged-chr3-136100949-106
NR1104--MA0508.2.PRDM1	chr3	51234499	51234508	+	0.000	0.000	Merged-chr3-51234583-28
NR70--MA0508.2.PRDM1	chr1	139454804	139454813	+	0.000	0.000	Merged-chr1-139454784-71
NR1085--MA0508.2.PRDM1	chr2	178733191	178733200	+	0.000	0.000	Merged-chr2-178733229-1
NR1736--MA0508.2.PRDM1	chr8	115064810	115064819	+	0.000	0.000	Merged-chr8-115064848-48
NR1574--MA0508.2.PRDM1	chr7	29819143	29819152	-	0.000	0.000	Merged-chr7-29819042-39
NR1160--MA0508.2.PRDM1	chr3	108382096	108382105	+	0.000	0.000	Merged-chr3-108382142-14
NR302--MA0508.2.PRDM1	chr11	78328290	78328299	-	0.000	0.000	Merged-chr11-78328473-53
NR554--MA0508.2.PRDM1	chr14	55370710	55370719	-	0.000	0.000	Merged-chr14-55370593-10
NR1444--MA0508.2.PRDM1	chr6	15715133	15715142	+	0.000	0.000	Merged-chr6-15715270-33
NR1715--MA0508.2.PRDM1	chr8	84800355	84800364	-	0.000	0.000	Merged-chr8-84800240-35
NR1239--MA0508.2.PRDM1	chr4	59278647	59278656	-	0.000	0.000	Merged-chr4-59278599-46
NR1282--MA0508.2.PRDM1	chr4	132422376	132422385	+	0.000	0.000	Merged-chr4-132422317-46
NR1348--MA0508.2.PRDM1	chr5	62711044	62711053	+	0.000	0.000	Merged-chr5-62711036-55
NR772--MA0508.2.PRDM1	chr17	33824544	33824553	+	0.000	0.000	Merged-chr17-33824550-48
NR1186--MA0508.2.PRDM1	chr3	137865680	137865689	-	0.000	0.000	Merged-chr3-137865594-62
NR947--MA0508.2.PRDM1	chr2	13271433	13271442	-	0.000	0.000	Merged-chr2-13271415-60
NR894--MA0508.2.PRDM1	chr19	6339991	6340000	+	0.000	0.000	Merged-chr19-6340106-35
NR1579--MA0508.2.PRDM1	chr7	34918665	34918674	+	0.000	0.000	Merged-chr7-34918703-8
NR1436--MA0508.2.PRDM1	chr6	5147707	5147716	-	0.000	0.000	Merged-chr6-5147663-1
NR1069--MA0508.2.PRDM1	chr2	157204104	157204113	+	0.000	0.000	Merged-chr2-157204364-118
NR512--MA0508.2.PRDM1	chr13	108854418	108854427	-	0.000	0.000	Merged-chr13-108854384-23
NR350--MA0508.2.PRDM1	chr11	120941236	120941245	-	0.000	0.000	Merged-chr11-120941184-16
NR730--MA0508.2.PRDM1	chr16	93798837	93798846	-	0.000	0.000	Merged-chr16-93798867-39
NR982--MA0508.2.PRDM1	chr2	65182903	65182912	+	0.000	0.000	Merged-chr2-65182800-62
NR1396--MA0508.2.PRDM1	chr5	112311087	112311096	+	0.000	0.000	Merged-chr5-112310969-9
NR809--MA0508.2.PRDM1	chr17	71215156	71215165	-	0.000	0.000	Merged-chr17-71214914-103
NR1157--MA0508.2.PRDM1	chr3	106547763	106547772	+	0.000	0.000	Merged-chr3-106547777-76
NR995--MA0508.2.PRDM1	chr2	83706897	83706906	+	0.000	0.000	Merged-chr2-83706850-5
NR233--MA0508.2.PRDM1	chr10	111498349	111498358	+	0.000	0.000	Merged-chr10-111498315-1
NR899--MA0508.2.PRDM1	chr19	14305953	14305962	-	0.000	0.000	Merged-chr19-14305924-12
NR1789--MA0508.2.PRDM1	chr9	57831583	57831592	+	0.000	0.000	Merged-chr9-57831644-49
NR485--MA0508.2.PRDM1	chr13	81675480	81675489	-	0.000	0.000	Merged-chr13-81675595-44
NR1027--MA0508.2.PRDM1	chr2	118638262	118638271	+	0.000	0.000	Merged-chr2-118638272-10
NR865--MA0508.2.PRDM1	chr18	70522417	70522426	+	0.000	0.000	Merged-chr18-70522488-53
NR180--MA0508.2.PRDM1	chr10	62544539	62544548	-	0.000	0.000	Merged-chr10-62544557-11
NR722--MA0508.2.PRDM1	chr16	87725109	87725118	-	0.000	0.000	Merged-chr16-87725101-16
NR1407--MA0508.2.PRDM1	chr5	120116547	120116556	-	0.000	0.000	Merged-chr5-120116585-62
NR831--MA0508.2.PRDM1	chr18	6281386	6281395	+	0.000	0.000	Merged-chr18-6281338-48
NR1083--MA0508.2.PRDM1	chr2	169779044	169779053	+	0.000	0.000	Merged-chr2-169779005-37
NR38--MA0508.2.PRDM1	chr1	91095612	91095621	+	0.000	0.000	Merged-chr1-91095433-53
NR1529--MA0508.2.PRDM1	chr6	134252236	134252245	-	0.000	0.000	Merged-chr6-134252285-32
NR714--MA0508.2.PRDM1	chr16	77099344	77099353	+	0.000	0.000	Merged-chr16-77099308-12
NR695--MA0508.2.PRDM1	chr16	50298942	50298951	+	0.000	0.000	Merged-chr16-50299012-15
NR281--MA0508.2.PRDM1	chr11	43410532	43410541	+	0.000	0.000	Merged-chr11-43410532-22
NR823--MA0508.2.PRDM1	chr17	86041012	86041021	-	0.000	0.000	Merged-chr17-86040828-28
NR1237--MA0508.2.PRDM1	chr4	59036859	59036868	-	0.000	0.000	Merged-chr4-59036834-36
NR661--MA0508.2.PRDM1	chr15	101283362	101283371	-	0.000	0.000	Merged-chr15-101283335-2
NR217--MA0508.2.PRDM1	chr10	95971080	95971089	-	0.000	0.000	Merged-chr10-95971075-85
NR1197--MA0508.2.PRDM1	chr3	145942201	145942210	+	0.000	0.000	Merged-chr3-145942154-31
NR435--MA0508.2.PRDM1	chr12	117845156	117845165	-	0.000	0.000	Merged-chr12-117845075-15
NR273--MA0508.2.PRDM1	chr11	22824111	22824120	+	0.000	0.000	Merged-chr11-22824173-55
NR339--MA0508.2.PRDM1	chr11	110904070	110904079	-	0.000	0.000	Merged-chr11-110903981-18
NR448--MA0508.2.PRDM1	chr13	12395238	12395247	-	0.000	0.000	Merged-chr13-12395311-75
NR719--MA0508.2.PRDM1	chr16	84583986	84583995	+	0.000	0.000	Merged-chr16-84584013-98
NR828--MA0508.2.PRDM1	chr17	88042613	88042622	+	0.000	0.000	Merged-chr17-88042729-54
NR414--MA0508.2.PRDM1	chr12	112130380	112130389	+	0.000	0.000	Merged-chr12-112130474-63
NR523--MA0508.2.PRDM1	chr13	117211687	117211696	+	0.000	0.000	Merged-chr13-117211586-48
NR318--MA0508.2.PRDM1	chr11	90258456	90258465	-	0.000	0.000	Merged-chr11-90258330-4
NR679--MA0508.2.PRDM1	chr16	31234186	31234195	+	0.000	0.000	Merged-chr16-31234137-43
NR536--MA0508.2.PRDM1	chr14	27268278	27268287	-	0.000	0.000	Merged-chr14-27268313-23
NR807--MA0508.2.PRDM1	chr17	69422886	69422895	-	0.000	0.000	Merged-chr17-69422874-19
NR1059--MA0508.2.PRDM1	chr2	145905309	145905318	+	0.000	0.000	Merged-chr2-145905286-60
NR231--MA0508.2.PRDM1	chr10	111298529	111298538	-	0.000	0.000	Merged-chr10-111298614-58
NR897--MA0508.2.PRDM1	chr19	9911610	9911619	+	0.000	0.000	Merged-chr19-9911533-24
NR929--MA0508.2.PRDM1	chr19	53900127	53900136	-	0.000	0.000	Merged-chr19-53900039-75
NR515--MA0508.2.PRDM1	chr13	110825021	110825030	+	0.000	0.000	Merged-chr13-110825010-20
NR353--MA0508.2.PRDM1	chr11	121083088	121083097	-	0.000	0.000	Merged-chr11-121083089-49
NR1591--MA0508.2.PRDM1	chr7	55711202	55711211	-	0.000	0.000	Merged-chr7-55711117-23
NR366--MA0508.2.PRDM1	chr12	52830983	52830992	-	0.000	0.000	Merged-chr12-52830906-26
NR379--MA0508.2.PRDM1	chr12	77291061	77291070	-	0.000	0.000	Merged-chr12-77291183-18
NR1570--MA0508.2.PRDM1	chr7	19004028	19004037	+	0.000	0.000	Merged-chr7-19004188-46
NR1841--MA0508.2.PRDM1	chr9	111290141	111290150	+	0.000	0.000	Merged-chr9-111290022-34
NR868--MA0508.2.PRDM1	chr18	73613608	73613617	-	0.000	0.000	Merged-chr18-73613587-25
NR1854--MA0508.2.PRDM1	chr9	124038989	124038998	-	0.000	0.000	Merged-chr9-124039143-13
NR106--MA0508.2.PRDM1	chr1	171995425	171995434	-	0.000	0.000	Merged-chr1-171995343-37
NR1711--MA0508.2.PRDM1	chr8	77435654	77435663	-	0.000	0.000	Merged-chr8-77435818-7
NR358--MA0508.2.PRDM1	chr12	17507439	17507448	-	0.000	0.000	Merged-chr12-17507357-35
NR1820--MA0508.2.PRDM1	chr9	92266007	92266016	+	0.000	0.000	Merged-chr9-92266025-66
NR1833--MA0508.2.PRDM1	chr9	105395183	105395192	+	0.000	0.000	Merged-chr9-105395355-56
NR698--MA0508.2.PRDM1	chr16	52147413	52147422	+	0.000	0.000	Merged-chr16-52147489-52
NR1684--MA0508.2.PRDM1	chr8	13992655	13992664	+	0.000	0.000	Merged-chr8-13992764-55
NR1793--MA0508.2.PRDM1	chr9	61216396	61216405	-	0.000	0.000	Merged-chr9-61216256-31
NR297--MA0508.2.PRDM1	chr11	72689898	72689907	+	0.000	0.000	Merged-chr11-72690099-58
NR1663--MA0508.2.PRDM1	chr7	136176662	136176671	-	0.000	0.000	Merged-chr7-136176593-10
NR167--MA0508.2.PRDM1	chr10	44529602	44529611	+	0.000	0.000	Merged-chr10-44529535-56
NR42--MA0508.2.PRDM1	chr1	95657495	95657504	-	0.000	0.000	Merged-chr1-95657390-37
NR1533--MA0508.2.PRDM1	chr6	136468704	136468713	-	0.000	0.000	Merged-chr6-136468663-37
NR1546--MA0508.2.PRDM1	chr6	143176984	143176993	+	0.000	0.000	Merged-chr6-143176847-16
NR970--MA0508.2.PRDM1	chr2	48322220	48322229	+	0.000	0.000	Merged-chr2-48322438-54
NR159--MA0508.2.PRDM1	chr10	33987011	33987020	+	0.000	0.000	Merged-chr10-33986962-32
NR268--MA0508.2.PRDM1	chr11	11498034	11498043	+	0.000	0.000	Merged-chr11-11498094-24
NR1668--MA0508.2.PRDM1	chr7	139684475	139684484	+	0.000	0.000	Merged-chr7-139684390-127
NR1777--MA0508.2.PRDM1	chr9	42229739	42229748	+	0.000	0.000	Merged-chr9-42229723-12
NR1092--MA0508.2.PRDM1	chr3	8667427	8667436	-	0.000	0.000	Merged-chr3-8667385-80
NR1886--MA0508.2.PRDM1	chrX	159626349	159626358	-	0.000	0.000	Merged-chrX-159626513-14
NR962--MA0508.2.PRDM1	chr2	34204998	34205007	-	0.000	0.000	Merged-chr2-34204759-60
NR1852--MA0508.2.PRDM1	chr9	122398941	122398950	-	0.000	0.000	Merged-chr9-122399009-31
NR1613--MA0508.2.PRDM1	chr7	80576044	80576053	-	0.000	0.000	Merged-chr7-80576009-57
NR832--MA0508.2.PRDM1	chr18	11883434	11883443	-	0.000	0.000	Merged-chr18-11883419-27
NR1451--MA0508.2.PRDM1	chr6	38789506	38789515	+	0.000	0.000	Merged-chr6-38789563-52
NR1517--MA0508.2.PRDM1	chr6	125484187	125484196	-	0.000	0.000	Merged-chr6-125484183-4
NR1084--MA0508.2.PRDM1	chr2	173660538	173660547	+	0.000	0.000	Merged-chr2-173660540-10
NR1464--MA0508.2.PRDM1	chr6	50159897	50159906	-	0.000	0.000	Merged-chr6-50160084-30
NR702--MA0508.2.PRDM1	chr16	55526568	55526577	-	0.000	0.000	Merged-chr16-55526472-43
NR82--MA0508.2.PRDM1	chr1	152084876	152084885	-	0.000	0.000	Merged-chr1-152084822-56
NR540--MA0508.2.PRDM1	chr14	32201971	32201980	-	0.000	0.000	Merged-chr14-32201951-64
NR1748--MA0508.2.PRDM1	chr8	121187737	121187746	-	0.000	0.000	Merged-chr8-121187823-40
NR1172--MA0508.2.PRDM1	chr3	122202566	122202575	+	0.000	0.000	Merged-chr3-122202498-54
NR1238--MA0508.2.PRDM1	chr4	59037014	59037023	+	0.000	0.000	Merged-chr4-59036834-36
NR662--MA0508.2.PRDM1	chr15	102234150	102234159	+	0.000	0.000	Merged-chr15-102234091-17
NR1347--MA0508.2.PRDM1	chr5	52149276	52149285	+	0.000	0.000	Merged-chr5-52149380-37
NR1326--MA0508.2.PRDM1	chr5	8670320	8670329	+	0.000	0.000	Merged-chr5-8670313-1
NR1849--MA0508.2.PRDM1	chr9	118453825	118453834	-	0.000	0.000	Merged-chr9-118453688-29
NR1130--MA0508.2.PRDM1	chr3	85127040	85127049	+	0.000	0.000	Merged-chr3-85127158-54
NR66--MA0508.2.PRDM1	chr1	136625575	136625584	+	0.000	0.000	Merged-chr1-136625526-2
NR1828--MA0508.2.PRDM1	chr9	98979847	98979856	-	0.000	0.000	Merged-chr9-98979931-56
NR1414--MA0508.2.PRDM1	chr5	129895660	129895669	+	0.000	0.000	Merged-chr5-129895711-51
NR1209--MA0508.2.PRDM1	chr3	154571102	154571111	+	0.000	0.000	Merged-chr3-154571116-11
NR1395--MA0508.2.PRDM1	chr5	108668996	108669005	+	0.000	0.000	Merged-chr5-108669200-57
NR885--MA0508.2.PRDM1	chr18	89126657	89126666	+	0.000	0.000	Merged-chr18-89126622-17
NR1807--MA0508.2.PRDM1	chr9	75515654	75515663	-	0.000	0.000	Merged-chr9-75515692-28
NR341--MA0508.2.PRDM1	chr11	111795841	111795850	-	0.000	0.000	Merged-chr11-111795733-12
