#name (cmd = mergePeaks -d 150 MACS2_Bcl6KO_Th1_peaks.Icos.sig.bed MACS2_DKO_Tfh_peaks.Icos.sig.bed MACS2_DKO_Th1_peaks.Icos.sig.bed MACS2_Naive_peaks.Icos.sig.bed MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed MACS2_WT_Tfh_peaks.Icos.sig.bed MACS2_WT_Th1_peaks.Icos.sig.bed)	chr	start	end	strand	Stat	Parent files	Total subpeaks	MACS2_Bcl6KO_Th1_peaks.Icos.sig.bed	MACS2_DKO_Tfh_peaks.Icos.sig.bed	MACS2_DKO_Th1_peaks.Icos.sig.bed	MACS2_Naive_peaks.Icos.sig.bed	MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed	MACS2_WT_Tfh_peaks.Icos.sig.bed	MACS2_WT_Th1_peaks.Icos.sig.bed
Merged-chr1-60973113-1	chr1	60973038	60973188	+	0.000000	MACS2_WT_Th1_peaks.Icos.sig.bed	1							/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_2991
Merged-chr1-61002052-1	chr1	61001977	61002127	+	0.000000	MACS2_WT_Th1_peaks.Icos.sig.bed	1							/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_2999
Merged-chr1-60971134-1	chr1	60971059	60971209	+	0.000000	MACS2_WT_Tfh_peaks.Icos.sig.bed	1						/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4262	
Merged-chr1-61000152-1	chr1	61000077	61000227	+	0.000000	MACS2_WT_Tfh_peaks.Icos.sig.bed	1						/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4271	
Merged-chr1-60976037-1	chr1	60975962	60976112	+	0.000000	MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed	1					/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5666		
Merged-chr1-61000698-1	chr1	61000623	61000773	+	0.000000	MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed	1					/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5673		
Merged-chr1-61022691-2	chr1	61022571	61022812	+	0.000000	MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed|MACS2_WT_Tfh_peaks.Icos.sig.bed	2					/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5677	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4275	
Merged-chr1-61003668-9	chr1	61003504	61003791	+	0.000000	MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed|MACS2_WT_Tfh_peaks.Icos.sig.bed|MACS2_WT_Th1_peaks.Icos.sig.bed	9					/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5675a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5675b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4273a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4273b,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4273c,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4273d,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4273e	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_3000a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_3000b
Merged-chr1-61003263-3	chr1	61003129	61003382	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Icos.sig.bed|MACS2_DKO_Tfh_peaks.Icos.sig.bed|MACS2_DKO_Th1_peaks.Icos.sig.bed	3	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_3921	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_2847	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_2141				
Merged-chr1-60985196-6	chr1	60984966	60985337	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Icos.sig.bed|MACS2_DKO_Tfh_peaks.Icos.sig.bed|MACS2_DKO_Th1_peaks.Icos.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed|MACS2_WT_Tfh_peaks.Icos.sig.bed|MACS2_WT_Th1_peaks.Icos.sig.bed	6	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_3916	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_2841	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_2134		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5669	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4266	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_2996
Merged-chr1-60983181-2	chr1	60983101	60983261	+	0.000000	MACS2_DKO_Tfh_peaks.Icos.sig.bed|MACS2_DKO_Th1_peaks.Icos.sig.bed	2		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_2840	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_2133				
Merged-chr1-60997544-2	chr1	60997467	60997621	+	0.000000	MACS2_DKO_Tfh_peaks.Icos.sig.bed|MACS2_DKO_Th1_peaks.Icos.sig.bed	2		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_2844	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_2137				
Merged-chr1-60961070-4	chr1	60960836	60961273	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Icos.sig.bed|MACS2_DKO_Tfh_peaks.Icos.sig.bed|MACS2_Naive_peaks.Icos.sig.bed|MACS2_WT_Th1_peaks.Icos.sig.bed	4	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_3912	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_2836		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_7967			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_2990
Merged-chr1-61001304-1	chr1	61001229	61001379	+	0.000000	MACS2_DKO_Th1_peaks.Icos.sig.bed	1			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_2139				
Merged-chr1-61002236-1	chr1	61002161	61002311	+	0.000000	MACS2_DKO_Th1_peaks.Icos.sig.bed	1			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_2140				
Merged-chr1-61017475-1	chr1	61017400	61017550	+	0.000000	MACS2_DKO_Th1_peaks.Icos.sig.bed	1			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_2144				
Merged-chr1-60979484-7	chr1	60979228	60979721	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Icos.sig.bed|MACS2_DKO_Tfh_peaks.Icos.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Icos.sig.bed|MACS2_WT_Tfh_peaks.Icos.sig.bed|MACS2_WT_Th1_peaks.Icos.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_3915	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_2839a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_2839b			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_5668	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4265b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_2995a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_2995b
Merged-chr1-60986276-2	chr1	60986153	60986400	+	0.000000	MACS2_Naive_peaks.Icos.sig.bed|MACS2_WT_Tfh_peaks.Icos.sig.bed	2				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_7970		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_4267	
Merged-chr1-60960604-1	chr1	60960529	60960679	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Icos.sig.bed	1	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_3911						
