#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Yy1/DKO_Th1_mpbs.ordered.bed /media/pipkin/Yolanda/JYC_DataAnalysis_new/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/media/pipkin/Yolanda/JYC_DataAnalysis_new/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed
NR762--MA0095.2.YY1	chr16	10959172	10959183	-	0.000	0.000	Merged-chr16-10959125-1
NR705--MA0095.2.YY1	chr15	77071653	77071664	+	0.000	0.000	Merged-chr15-77071598-27
NR1846--MA0095.2.YY1	chr9	63802236	63802247	-	0.000	0.000	Merged-chr9-63802306-15
NR332--MA0095.2.YY1	chr11	67048837	67048848	-	0.000	0.000	Merged-chr11-67048792-34
NR1317--MA0095.2.YY1	chr4	63644245	63644256	+	0.000	0.000	Merged-chr4-63644435-12
NR219--MA0095.2.YY1	chr10	80662442	80662453	-	0.000	0.000	Merged-chr10-80662335-4
NR1308--MA0095.2.YY1	chr4	44271322	44271333	+	0.000	0.000	Merged-chr4-44271283-50
NR1273--MA0095.2.YY1	chr3	152430950	152430961	+	0.000	0.000	Merged-chr3-152430886-16
NR952--MA0095.2.YY1	chr19	21507641	21507652	-	0.000	0.000	Merged-chr19-21507788-24
NR533--MA0095.2.YY1	chr13	38949021	38949032	-	0.000	0.000	Merged-chr13-38949137-15
NR491--MA0095.2.YY1	chr12	110389659	110389670	+	0.000	0.000	Merged-chr12-110389691-32
NR609--MA0095.2.YY1	chr14	41050581	41050592	+	0.000	0.000	Merged-chr14-41050635-35
NR1604--MA0095.2.YY1	chr6	129304168	129304179	-	0.000	0.000	Merged-chr6-129304354-36
NR1796--MA0095.2.YY1	chr8	115878430	115878441	+	0.000	0.000	Merged-chr8-115878428-26
NR1287--MA0095.2.YY1	chr4	6896044	6896055	-	0.000	0.000	Merged-chr4-6896159-16
NR793--MA0095.2.YY1	chr16	51878630	51878641	+	0.000	0.000	Merged-chr16-51878445-21
NR741--MA0095.2.YY1	chr15	97780989	97781000	-	0.000	0.000	Merged-chr15-97780994-12
NR1827--MA0095.2.YY1	chr9	14352442	14352453	+	0.000	0.000	Merged-chr9-14352578-25
NR1039--MA0095.2.YY1	chr2	75148037	75148048	-	0.000	0.000	Merged-chr2-75148078-33
NR218--MA0095.2.YY1	chr10	80628918	80628929	-	0.000	0.000	Merged-chr10-80629091-37
NR9--MA0095.2.YY1	chr1	14740213	14740224	+	0.000	0.000	Merged-chr1-14740213-10
NR1454--MA0095.2.YY1	chr5	64766078	64766089	+	0.000	0.000	Merged-chr5-64765991-19
NR1035--MA0095.2.YY1	chr2	72282895	72282906	+	0.000	0.000	Merged-chr2-72282934-17
NR117--MA0095.2.YY1	chr1	156107470	156107481	-	0.000	0.000	Merged-chr1-156107572-8
