#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Yy1/WT_Tfh_mpbs.ordered.bed /media/pipkin/Yolanda/JYC_DataAnalysis_new/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/media/pipkin/Yolanda/JYC_DataAnalysis_new/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed
NR1643--MA0095.2.YY1	chr4	35006582	35006593	-	0.000	0.000	Merged-chr4-35006607-36
NR1546--MA0095.2.YY1	chr3	108124407	108124418	-	0.000	0.000	Merged-chr3-108124378-33
NR183--MA0095.2.YY1	chr1	167645042	167645053	-	0.000	0.000	Merged-chr1-167645149-14
NR1816--MA0095.2.YY1	chr5	31964021	31964032	-	0.000	0.000	Merged-chr5-31963887-11
NR1130--MA0095.2.YY1	chr18	46013321	46013332	-	0.000	0.000	Merged-chr18-46013388-48
NR1272--MA0095.2.YY1	chr2	35232961	35232972	-	0.000	0.000	Merged-chr2-35233017-25
NR718--MA0095.2.YY1	chr14	9090199	9090210	-	0.000	0.000	Merged-chr14-9090049-14
NR1589--MA0095.2.YY1	chr3	142247311	142247322	-	0.000	0.000	Merged-chr3-142247442-1
NR631--MA0095.2.YY1	chr13	40676945	40676956	-	0.000	0.000	Merged-chr13-40676828-31
NR1450--MA0095.2.YY1	chr3	9911111	9911122	-	0.000	0.000	Merged-chr3-9911092-20
