#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Yy1/WT_Tfh_mpbs.ordered.bed /media/pipkin/Yolanda/JYC_DataAnalysis_new/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/media/pipkin/Yolanda/JYC_DataAnalysis_new/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed
NR2415--MA0095.2.YY1	chr9	14548061	14548072	+	0.000	0.000	Merged-chr9-14548192-17
NR157--MA0095.2.YY1	chr1	156901895	156901906	+	0.000	0.000	Merged-chr1-156901975-24
NR2551--MA0095.2.YY1	chr9	119254772	119254783	+	0.000	0.000	Merged-chr9-119254891-26
NR2219--MA0095.2.YY1	chr7	98995424	98995435	-	0.000	0.000	Merged-chr7-98995432-21
NR2037--MA0095.2.YY1	chr6	95515883	95515894	+	0.000	0.000	Merged-chr6-95515865-38
NR1514--MA0095.2.YY1	chr3	89862443	89862454	-	0.000	0.000	Merged-chr3-89862301-5
NR2634--MA0095.2.YY1	chrX	135962571	135962582	-	0.000	0.000	Merged-chrX-135962489-11
NR1832--MA0095.2.YY1	chr5	54042641	54042652	+	0.000	0.000	Merged-chr5-54042573-12
NR2493--MA0095.2.YY1	chr9	87178686	87178697	-	0.000	0.000	Merged-chr9-87178792-36
NR1598--MA0095.2.YY1	chr3	146123361	146123372	+	0.000	0.000	Merged-chr3-146123164-55
NR1544--MA0095.2.YY1	chr3	107807461	107807472	-	0.000	0.000	Merged-chr3-107807489-31
NR721--MA0095.2.YY1	chr14	11160996	11161007	+	0.000	0.000	Merged-chr14-11161016-31
NR2506--MA0095.2.YY1	chr9	95350815	95350826	-	0.000	0.000	Merged-chr9-95350781-49
NR527--MA0095.2.YY1	chr12	77949735	77949746	-	0.000	0.000	Merged-chr12-77949698-47
NR22--MA0095.2.YY1	chr1	36611388	36611399	-	0.000	0.000	Merged-chr1-36611587-31
NR1488--MA0095.2.YY1	chr3	65585750	65585761	-	0.000	0.000	Merged-chr3-65585682-3
NR1993--MA0095.2.YY1	chr6	59185251	59185262	+	0.000	0.000	Merged-chr6-59185393-33
NR703--MA0095.2.YY1	chr13	110841978	110841989	+	0.000	0.000	Merged-chr13-110842123-42
NR483--MA0095.2.YY1	chr12	17736661	17736672	+	0.000	0.000	Merged-chr12-17736753-13
NR1885--MA0095.2.YY1	chr5	96825253	96825264	-	0.000	0.000	Merged-chr5-96825060-50
NR1139--MA0095.2.YY1	chr18	57362839	57362850	+	0.000	0.000	Merged-chr18-57362721-19
NR783--MA0095.2.YY1	chr14	61758622	61758633	+	0.000	0.000	Merged-chr14-61758817-7
NR1128--MA0095.2.YY1	chr18	42585763	42585774	-	0.000	0.000	Merged-chr18-42585822-14
NR497--MA0095.2.YY1	chr12	39695392	39695403	-	0.000	0.000	Merged-chr12-39695518-5
NR2379--MA0095.2.YY1	chr8	108932027	108932038	-	0.000	0.000	Merged-chr8-108932134-9
NR671--MA0095.2.YY1	chr13	91908399	91908410	+	0.000	0.000	Merged-chr13-91908449-31
NR297--MA0095.2.YY1	chr10	80152126	80152137	+	0.000	0.000	Merged-chr10-80152261-5
NR1521--MA0095.2.YY1	chr3	94649003	94649014	+	0.000	0.000	Merged-chr3-94649201-14
NR146--MA0095.2.YY1	chr1	149970327	149970338	-	0.000	0.000	Merged-chr1-149970300-4
NR2267--MA0095.2.YY1	chr7	127177137	127177148	+	0.000	0.000	Merged-chr7-127177205-14
NR1647--MA0095.2.YY1	chr4	45418437	45418448	-	0.000	0.000	Merged-chr4-45418381-22
NR1138--MA0095.2.YY1	chr18	56727471	56727482	-	0.000	0.000	Merged-chr18-56727368-23
NR317--MA0095.2.YY1	chr10	96579692	96579703	-	0.000	0.000	Merged-chr10-96579636-12
NR2528--MA0095.2.YY1	chr9	110880322	110880333	-	0.000	0.000	Merged-chr9-110880207-47
NR1546--MA0095.2.YY1	chr3	108124407	108124418	-	0.000	0.000	Merged-chr3-108124378-33
NR1816--MA0095.2.YY1	chr5	31964021	31964032	-	0.000	0.000	Merged-chr5-31963887-11
NR1961--MA0095.2.YY1	chr6	12315769	12315780	+	0.000	0.000	Merged-chr6-12315572-23
NR1130--MA0095.2.YY1	chr18	46013321	46013332	-	0.000	0.000	Merged-chr18-46013388-48
NR1589--MA0095.2.YY1	chr3	142247311	142247322	-	0.000	0.000	Merged-chr3-142247442-1
NR631--MA0095.2.YY1	chr13	40676945	40676956	-	0.000	0.000	Merged-chr13-40676828-31
NR1450--MA0095.2.YY1	chr3	9911111	9911122	-	0.000	0.000	Merged-chr3-9911092-20
