pos,gene_name,chr,start,end,matched_peak_name
left,Runx3,chr4,135102893,135103166,Merged-chr4-135103074-30
left,Runx3,chr4,135103933,135104267,Merged-chr4-135104073-17
left,Runx3,chr4,135108717,135109001,Merged-chr4-135108844-32
left,Runx3,chr4,135114503,135115075,Merged-chr4-135114591-19
left,Runx3,chr4,135118977,135119216,Merged-chr4-135119074-2
within,Runx3,chr4,135120325,135120526,Merged-chr4-135120412-50
within,Runx3,chr4,135128715,135129160,Merged-chr4-135129039-20
within,Runx3,chr4,135136629,135136929,Merged-chr4-135136837-7
within,Runx3,chr4,135140395,135140545,Merged-chr4-135140885-8
within,Runx3,chr4,135140733,135141294,Merged-chr4-135140885-8
within,Runx3,chr4,135150475,135150709,Merged-chr4-135150517-4
within,Runx3,chr4,135152474,135152789,Merged-chr4-135152562-38
within,Runx3,chr4,135153609,135154152,Merged-chr4-135153851-29
within,Runx3,chr4,135155433,135155798,Merged-chr4-135155615-17
within,Runx3,chr4,135157344,135157616,Merged-chr4-135157519-19
within,Runx3,chr4,135158825,135159124,Merged-chr4-135159310-41
within,Runx3,chr4,135159371,135159557,Merged-chr4-135159310-41
within,Runx3,chr4,135161563,135161721,Merged-chr4-135161655-1
within,Runx3,chr4,135168118,135168413,Merged-chr4-135168211-13
within,Runx3,chr4,135169147,135169443,Merged-chr4-135169344-25
right,Runx3,chr4,135179019,135179396,Merged-chr4-135179248-50
right,Runx3,chr4,135197712,135198125,Merged-chr4-135197991-22
right,Runx3,chr4,135203350,135203651,Merged-chr4-135203506-51
right,Runx3,chr4,135206151,135206441,Merged-chr4-135206307-56
right,Runx3,chr4,135219731,135219929,Merged-chr4-135219792-5
right,Runx3,chr4,135221623,135221873,Merged-chr4-135221761-3
left,Selplg,chr5,113812124,113812372,Merged-chr5-113812297-5
left,Selplg,chr5,113814286,113814640,Merged-chr5-113814580-52
left,Selplg,chr5,113814909,113815059,Merged-chr5-113814580-52
left,Selplg,chr5,113815284,113815434,Merged-chr5-113815307-2
left,Selplg,chr5,113815666,113816117,Merged-chr5-113815969-36
within,Selplg,chr5,113824388,113824622,Merged-chr5-113824477-15
within,Selplg,chr5,113825562,113825818,Merged-chr5-113825707-48
within,Selplg,chr5,113826740,113826939,Merged-chr5-113826814-9
within,Selplg,chr5,113828352,113828592,Merged-chr5-113828538-48
within,Selplg,chr5,113830357,113830663,Merged-chr5-113830533-46
right,Selplg,chr5,113832613,113832811,Merged-chr5-113832727-52
right,Selplg,chr5,113837156,113837312,Merged-chr5-113837178-5
right,Selplg,chr5,113842276,113842585,Merged-chr5-113842401-77
within,Klf2,chr8,72318942,72319266,Merged-chr8-72319128-64
within,Klf2,chr8,72319486,72319636,Merged-chr8-72319128-64
within,Klf2,chr8,72320190,72320340,Merged-chr8-72320202-6
right,Klf2,chr8,72322073,72322555,Merged-chr8-72322403-36
right,Klf2,chr8,72324284,72324469,Merged-chr8-72324323-7
right,Klf2,chr8,72329825,72330289,Merged-chr8-72329940-13
right,Klf2,chr8,72329825,72330289,Merged-chr8-72330292-1
right,Klf2,chr8,72331001,72331425,Merged-chr8-72331186-66
right,Klf2,chr8,72343762,72344083,Merged-chr8-72343901-44
right,Klf2,chr8,72349853,72350003,Merged-chr8-72350000-6
right,Klf2,chr8,72350794,72351027,Merged-chr8-72350903-23
right,Klf2,chr8,72351200,72351794,Merged-chr8-72351655-27
right,Klf2,chr8,72354127,72354614,Merged-chr8-72354274-101
right,Klf2,chr8,72360173,72360482,Merged-chr8-72360367-32
right,Klf2,chr8,72363515,72363715,Merged-chr8-72363600-16
right,Klf2,chr8,72365015,72365181,Merged-chr8-72365690-80
right,Klf2,chr8,72365592,72366214,Merged-chr8-72365690-80
right,Klf2,chr8,72370137,72370426,Merged-chr8-72370273-7
right,Klf2,chr8,72382453,72382740,Merged-chr8-72382630-2
right,Klf2,chr8,72385852,72386076,Merged-chr8-72385865-1
right,Klf2,chr8,72400320,72400678,Merged-chr8-72400536-10
right,Klf2,chr8,72402208,72402358,Merged-chr8-72402262-1
right,Klf2,chr8,72409424,72409695,Merged-chr8-72409606-16
right,Klf2,chr8,72421324,72421583,Merged-chr8-72421528-64
right,Klf2,chr8,72429716,72430000,Merged-chr8-72429852-15
right,Klf2,chr8,72433683,72433833,Merged-chr8-72434030-22
right,Klf2,chr8,72433683,72433833,Merged-chr8-72433596-1
right,Klf2,chr8,72438430,72438644,Merged-chr8-72438585-3
left,Cxcr5,chr9,44477978,44478447,Merged-chr9-44478148-15
left,Cxcr5,chr9,44479746,44480064,Merged-chr9-44479958-61
left,Cxcr5,chr9,44482760,44483362,Merged-chr9-44482815-42
left,Cxcr5,chr9,44482760,44483362,Merged-chr9-44483363-10
left,Cxcr5,chr9,44483684,44484144,Merged-chr9-44483811-8
left,Cxcr5,chr9,44494780,44495087,Merged-chr9-44494733-61
left,Cxcr5,chr9,44498199,44498538,Merged-chr9-44498422-28
left,Cxcr5,chr9,44501978,44502295,Merged-chr9-44502159-10
left,Cxcr5,chr9,44510056,44510679,Merged-chr9-44510535-66
within,Cxcr5,chr9,44515573,44515902,Merged-chr9-44515753-69
within,Cxcr5,chr9,44517593,44517816,Merged-chr9-44517678-51
within,Cxcr5,chr9,44526486,44526814,Merged-chr9-44526635-59
within,Cxcr5,chr9,44528336,44528486,Merged-chr9-44528508-5
within,Cxcr5,chr9,44533183,44533463,Merged-chr9-44533307-45
within,Cxcr5,chr9,44537847,44538275,Merged-chr9-44538011-43
