#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR5454--MA0769.1.Tcf7	chr6	41163688	41163699	+	0.000	0.000	Merged-chr6-41163628-13
NR5548--MA1421.1.TCF7L1	chr6	71638554	71638565	-	0.000	0.000	Merged-chr6-71638648-13
NR5825--MA0523.1.TCF7L2	chr6	146081207	146081220	+	0.000	0.000	Merged-chr6-146081045-99
NR525--MA0769.1.Tcf7	chr1	184013232	184013243	-	0.000	0.000	Merged-chr1-184013369-24
NR5489--MA0523.1.TCF7L2	chr6	54926015	54926028	+	0.000	0.000	Merged-chr6-54926058-40
NR3946--MA0769.1.Tcf7	chr2	153211588	153211599	-	0.000	0.000	Merged-chr2-153211681-14
NR5490--MA0769.1.Tcf7	chr6	54926015	54926026	+	0.000	0.000	Merged-chr6-54926058-40
NR1593--MA0523.1.TCF7L2	chr12	110939500	110939513	-	0.000	0.000	Merged-chr12-110939619-21
NR268--MA0523.1.TCF7L2	chr1	127652946	127652959	+	0.000	0.000	Merged-chr1-127652975-7
NR2116--MA1421.1.TCF7L1	chr14	54061809	54061820	-	0.000	0.000	Merged-chr14-54061633-25
NR5303--MA1421.1.TCF7L1	chr5	129191994	129192005	-	0.000	0.000	Merged-chr5-129191899-21
NR1721--MA1421.1.TCF7L1	chr13	33071992	33072003	-	0.000	0.000	Merged-chr13-33072044-31
NR1237--MA0523.1.TCF7L2	chr11	101661867	101661880	+	0.000	0.000	Merged-chr11-101661964-4
NR1839--MA0523.1.TCF7L2	chr13	74490151	74490164	+	0.000	0.000	Merged-chr13-74490220-4
NR5583--MA0523.1.TCF7L2	chr6	90391831	90391844	-	0.000	0.000	Merged-chr6-90391920-9
NR3522--MA0523.1.TCF7L2	chr2	31186192	31186205	-	0.000	0.000	Merged-chr2-31186156-11
NR1660--MA1421.1.TCF7L1	chr12	118255738	118255749	+	0.000	0.000	Merged-chr12-118255780-45
NR3341--MA0523.1.TCF7L2	chr19	32455179	32455192	+	0.000	0.000	Merged-chr19-32455050-22
NR1723--MA0769.1.Tcf7	chr13	33071992	33072003	-	0.000	0.000	Merged-chr13-33072044-31
NR900--MA0523.1.TCF7L2	chr10	111031786	111031799	-	0.000	0.000	Merged-chr10-111031729-43
NR3255--MA0523.1.TCF7L2	chr18	82607534	82607547	+	0.000	0.000	Merged-chr18-82607647-23
NR6068--MA0523.1.TCF7L2	chr7	98797795	98797808	+	0.000	0.000	Merged-chr7-98797577-28
NR5646--MA1421.1.TCF7L1	chr6	108630913	108630924	-	0.000	0.000	Merged-chr6-108631007-44
NR739--MA1421.1.TCF7L1	chr10	68035940	68035951	-	0.000	0.000	Merged-chr10-68036009-2
NR6257--MA0523.1.TCF7L2	chr7	140947311	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR2940--MA1421.1.TCF7L1	chr17	50148311	50148322	+	0.000	0.000	Merged-chr17-50148334-29
NR4959--MA1421.1.TCF7L1	chr5	8839300	8839311	-	0.000	0.000	Merged-chr5-8839426-88
NR4273--MA0769.1.Tcf7	chr3	106967025	106967036	-	0.000	0.000	Merged-chr3-106967057-110
NR6737--MA1421.1.TCF7L1	chr9	79914385	79914396	+	0.000	0.000	Merged-chr9-79914391-28
NR3794--MA1421.1.TCF7L1	chr2	117374269	117374280	-	0.000	0.000	Merged-chr2-117374468-47
NR2792--MA0769.1.Tcf7	chr16	91789973	91789984	+	0.000	0.000	Merged-chr16-91789935-50
NR1722--MA0523.1.TCF7L2	chr13	33071990	33072003	-	0.000	0.000	Merged-chr13-33072044-31
NR779--MA0769.1.Tcf7	chr10	78115089	78115100	-	0.000	0.000	Merged-chr10-78115092-14
NR4272--MA0523.1.TCF7L2	chr3	106967023	106967036	-	0.000	0.000	Merged-chr3-106967057-110
NR5557--MA0523.1.TCF7L2	chr6	82744572	82744585	-	0.000	0.000	Merged-chr6-82744737-54
NR4135--MA0523.1.TCF7L2	chr3	60422472	60422485	+	0.000	0.000	Merged-chr3-60422418-15
NR3945--MA1421.1.TCF7L1	chr2	153211588	153211599	-	0.000	0.000	Merged-chr2-153211681-14
NR5740--MA0769.1.Tcf7	chr6	129917725	129917736	+	0.000	0.000	Merged-chr6-129917853-39
NR4431--MA0769.1.Tcf7	chr3	142436922	142436933	+	0.000	0.000	Merged-chr3-142437047-18
NR624--MA0523.1.TCF7L2	chr10	19504574	19504587	+	0.000	0.000	Merged-chr10-19504569-39
NR4939--MA0523.1.TCF7L2	chr4	150995032	150995045	+	0.000	0.000	Merged-chr4-150995020-21
NR4711--MA0523.1.TCF7L2	chr4	89393653	89393666	-	0.000	0.000	Merged-chr4-89393499-15
NR6929--MA0769.1.Tcf7	chr9	123733973	123733984	-	0.000	0.000	Merged-chr9-123734197-54
NR2941--MA0769.1.Tcf7	chr17	50148311	50148322	+	0.000	0.000	Merged-chr17-50148334-29
NR3603--MA0523.1.TCF7L2	chr2	59513724	59513737	+	0.000	0.000	Merged-chr2-59513816-12
NR5990--MA0523.1.TCF7L2	chr7	74697932	74697945	+	0.000	0.000	Merged-chr7-74698017-54
NR4707--MA0523.1.TCF7L2	chr4	89302226	89302239	+	0.000	0.000	Merged-chr4-89302202-17
NR5647--MA0769.1.Tcf7	chr6	108630913	108630924	-	0.000	0.000	Merged-chr6-108631007-44
NR3528--MA1421.1.TCF7L1	chr2	34198752	34198763	+	0.000	0.000	Merged-chr2-34198771-20
NR176--MA0523.1.TCF7L2	chr1	87378187	87378200	-	0.000	0.000	Merged-chr1-87378193-21
NR778--MA0523.1.TCF7L2	chr10	78115087	78115100	-	0.000	0.000	Merged-chr10-78115092-14
NR2400--MA0769.1.Tcf7	chr15	60136827	60136838	-	0.000	0.000	Merged-chr15-60136862-12
NR5437--MA0769.1.Tcf7	chr6	35462670	35462681	-	0.000	0.000	Merged-chr6-35462751-23
NR2399--MA0523.1.TCF7L2	chr15	60136825	60136838	-	0.000	0.000	Merged-chr15-60136862-12
NR5549--MA0769.1.Tcf7	chr6	71638554	71638565	-	0.000	0.000	Merged-chr6-71638648-13
NR5716--MA0523.1.TCF7L2	chr6	128474316	128474329	+	0.000	0.000	Merged-chr6-128474299-11
NR2535--MA0769.1.Tcf7	chr15	94259920	94259931	-	0.000	0.000	Merged-chr15-94259724-7
NR2553--MA0769.1.Tcf7	chr15	98623469	98623480	+	0.000	0.000	Merged-chr15-98623504-45
NR4057--MA0769.1.Tcf7	chr2	180072866	180072877	-	0.000	0.000	Merged-chr2-180072906-4
NR2428--MA1421.1.TCF7L1	chr15	65810845	65810856	-	0.000	0.000	Merged-chr15-65810890-18
NR1253--MA0769.1.Tcf7	chr11	106958390	106958401	-	0.000	0.000	Merged-chr11-106958567-20
NR1128--MA0523.1.TCF7L2	chr11	70113939	70113952	-	0.000	0.000	Merged-chr11-70113983-20
NR6805--MA1421.1.TCF7L1	chr9	95834855	95834866	+	0.000	0.000	Merged-chr9-95834941-16
NR4420--MA0769.1.Tcf7	chr3	138334344	138334355	-	0.000	0.000	Merged-chr3-138334424-50
NR5711--MA0523.1.TCF7L2	chr6	127617488	127617501	+	0.000	0.000	Merged-chr6-127617353-34
NR1840--MA0769.1.Tcf7	chr13	74490151	74490162	+	0.000	0.000	Merged-chr13-74490220-4
NR3628--MA0523.1.TCF7L2	chr2	68882157	68882170	-	0.000	0.000	Merged-chr2-68882205-16
NR866--MA1421.1.TCF7L1	chr10	96350787	96350798	-	0.000	0.000	Merged-chr10-96350967-23
NR4709--MA1421.1.TCF7L1	chr4	89359670	89359681	-	0.000	0.000	Merged-chr4-89359690-21
NR5085--MA0769.1.Tcf7	chr5	64488116	64488127	+	0.000	0.000	Merged-chr5-64487990-63
NR5752--MA0769.1.Tcf7	chr6	134117838	134117849	-	0.000	0.000	Merged-chr6-134117779-3
NR5276--MA0523.1.TCF7L2	chr5	120685869	120685882	-	0.000	0.000	Merged-chr5-120685893-52
NR6972--MA0769.1.Tcf7	chrX	57185001	57185012	+	0.000	0.000	Merged-chrX-57185087-24
NR3516--MA0523.1.TCF7L2	chr2	30112724	30112737	-	0.000	0.000	Merged-chr2-30112786-18
NR5212--MA0523.1.TCF7L2	chr5	105010601	105010614	+	0.000	0.000	Merged-chr5-105010527-49
NR2747--MA0523.1.TCF7L2	chr16	75920967	75920980	-	0.000	0.000	Merged-chr16-75921068-56
NR1090--MA1421.1.TCF7L1	chr11	58829945	58829956	+	0.000	0.000	Merged-chr11-58829916-12
NR6413--MA1421.1.TCF7L1	chr8	79679108	79679119	+	0.000	0.000	Merged-chr8-79679083-33
NR6971--MA1421.1.TCF7L1	chrX	57185001	57185012	+	0.000	0.000	Merged-chrX-57185087-24
NR4454--MA1421.1.TCF7L1	chr3	144380060	144380071	-	0.000	0.000	Merged-chr3-144380037-3
NR878--MA0769.1.Tcf7	chr10	98776738	98776749	+	0.000	0.000	Merged-chr10-98776574-38
NR6400--MA1421.1.TCF7L1	chr8	72331241	72331252	+	0.000	0.000	Merged-chr8-72331186-66
NR2654--MA0769.1.Tcf7	chr16	33053359	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR5886--MA0523.1.TCF7L2	chr7	19790168	19790181	-	0.000	0.000	Merged-chr7-19790098-49
NR2290--MA0523.1.TCF7L2	chr14	122290588	122290601	+	0.000	0.000	Merged-chr14-122290582-19
NR2334--MA0523.1.TCF7L2	chr15	31440135	31440148	-	0.000	0.000	Merged-chr15-31440136-19
NR6049--MA0523.1.TCF7L2	chr7	90004036	90004049	+	0.000	0.000	Merged-chr7-90004026-23
NR7035--MA1421.1.TCF7L1	chrX	142384570	142384581	+	0.000	0.000	Merged-chrX-142384466-2
NR5751--MA1421.1.TCF7L1	chr6	134117838	134117849	-	0.000	0.000	Merged-chr6-134117779-3
NR346--MA0769.1.Tcf7	chr1	151083957	151083968	-	0.000	0.000	Merged-chr1-151084034-24
NR1238--MA0769.1.Tcf7	chr11	101661867	101661878	+	0.000	0.000	Merged-chr11-101661964-4
NR3969--MA1421.1.TCF7L1	chr2	158719454	158719465	-	0.000	0.000	Merged-chr2-158719347-62
NR6258--MA0769.1.Tcf7	chr7	140947313	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR2118--MA0769.1.Tcf7	chr14	54061809	54061820	-	0.000	0.000	Merged-chr14-54061633-25
NR2791--MA1421.1.TCF7L1	chr16	91789973	91789984	+	0.000	0.000	Merged-chr16-91789935-50
NR4883--MA1421.1.TCF7L1	chr4	139367506	139367517	-	0.000	0.000	Merged-chr4-139367606-11
NR5309--MA1421.1.TCF7L1	chr5	134269609	134269620	+	0.000	0.000	Merged-chr5-134269909-65
NR1190--MA0523.1.TCF7L2	chr11	88103375	88103388	-	0.000	0.000	Merged-chr11-88103479-31
NR5084--MA1421.1.TCF7L1	chr5	64488116	64488127	+	0.000	0.000	Merged-chr5-64487990-63
NR6066--MA0769.1.Tcf7	chr7	98797478	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR1898--MA1421.1.TCF7L1	chr13	95449979	95449990	-	0.000	0.000	Merged-chr13-95449730-51
NR345--MA1421.1.TCF7L1	chr1	151083957	151083968	-	0.000	0.000	Merged-chr1-151084034-24
NR741--MA0769.1.Tcf7	chr10	68035940	68035951	-	0.000	0.000	Merged-chr10-68036009-2
NR6505--MA0769.1.Tcf7	chr8	120702002	120702013	-	0.000	0.000	Merged-chr8-120702084-56
NR2075--MA0523.1.TCF7L2	chr14	36316955	36316968	-	0.000	0.000	Merged-chr14-36316941-55
NR5248--MA1421.1.TCF7L1	chr5	113591787	113591798	-	0.000	0.000	Merged-chr5-113591973-17
NR5005--MA0523.1.TCF7L2	chr5	24776939	24776952	+	0.000	0.000	Merged-chr5-24777004-40
NR867--MA0769.1.Tcf7	chr10	96350787	96350798	-	0.000	0.000	Merged-chr10-96350967-23
NR4478--MA0769.1.Tcf7	chr3	148419657	148419668	-	0.000	0.000	Merged-chr3-148419698-33
NR2938--MA1421.1.TCF7L1	chr17	50070396	50070407	-	0.000	0.000	Merged-chr17-50070273-24
NR6065--MA0523.1.TCF7L2	chr7	98797476	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR5568--MA0769.1.Tcf7	chr6	85147835	85147846	+	0.000	0.000	Merged-chr6-85147771-14
NR5426--MA0523.1.TCF7L2	chr6	31085587	31085600	-	0.000	0.000	Merged-chr6-31085577-29
NR5824--MA1421.1.TCF7L1	chr6	146081207	146081218	+	0.000	0.000	Merged-chr6-146081045-99
NR5488--MA1421.1.TCF7L1	chr6	54926015	54926026	+	0.000	0.000	Merged-chr6-54926058-40
NR675--MA0769.1.Tcf7	chr10	39815296	39815307	+	0.000	0.000	Merged-chr10-39815281-4
NR1594--MA0769.1.Tcf7	chr12	110939502	110939513	-	0.000	0.000	Merged-chr12-110939619-21
NR1272--MA0769.1.Tcf7	chr11	110897150	110897161	+	0.000	0.000	Merged-chr11-110897111-25
NR407--MA0523.1.TCF7L2	chr1	161775361	161775374	-	0.000	0.000	Merged-chr1-161775163-66
NR5717--MA0769.1.Tcf7	chr6	128474316	128474327	+	0.000	0.000	Merged-chr6-128474299-11
NR3896--MA0523.1.TCF7L2	chr2	144471435	144471448	+	0.000	0.000	Merged-chr2-144471486-9
NR3340--MA1421.1.TCF7L1	chr19	32455179	32455190	+	0.000	0.000	Merged-chr19-32455050-22
NR2291--MA0769.1.Tcf7	chr14	122290588	122290599	+	0.000	0.000	Merged-chr14-122290582-19
NR2013--MA1421.1.TCF7L1	chr13	117223470	117223481	+	0.000	0.000	Merged-chr13-117223399-24
NR6067--MA1421.1.TCF7L1	chr7	98797795	98797806	+	0.000	0.000	Merged-chr7-98797577-28
NR4892--MA0523.1.TCF7L2	chr4	141917967	141917980	+	0.000	0.000	Merged-chr4-141918116-30
NR6414--MA0769.1.Tcf7	chr8	79679108	79679119	+	0.000	0.000	Merged-chr8-79679083-33
NR1121--MA0523.1.TCF7L2	chr11	68465259	68465272	-	0.000	0.000	Merged-chr11-68465236-16
NR6256--MA1421.1.TCF7L1	chr7	140947313	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR232--MA1421.1.TCF7L1	chr1	105565176	105565187	-	0.000	0.000	Merged-chr1-105565114-33
NR324--MA0769.1.Tcf7	chr1	143819072	143819083	-	0.000	0.000	Merged-chr1-143819193-15
NR775--MA0523.1.TCF7L2	chr10	77273401	77273414	+	0.000	0.000	Merged-chr10-77273499-67
NR3651--MA0769.1.Tcf7	chr2	72282907	72282918	+	0.000	0.000	Merged-chr2-72282934-17
NR2564--MA0523.1.TCF7L2	chr15	100668288	100668301	-	0.000	0.000	Merged-chr15-100668117-50
NR6352--MA0523.1.TCF7L2	chr8	46869686	46869699	+	0.000	0.000	Merged-chr8-46869591-35
NR3517--MA0769.1.Tcf7	chr2	30112726	30112737	-	0.000	0.000	Merged-chr2-30112786-18
NR5569--MA1421.1.TCF7L1	chr6	85147882	85147893	+	0.000	0.000	Merged-chr6-85147771-14
NR3629--MA0769.1.Tcf7	chr2	68882159	68882170	-	0.000	0.000	Merged-chr2-68882205-16
NR6458--MA1421.1.TCF7L1	chr8	110813241	110813252	+	0.000	0.000	Merged-chr8-110813191-16
NR6133--MA0523.1.TCF7L2	chr7	114671142	114671155	+	0.000	0.000	Merged-chr7-114671342-44
NR5397--MA0769.1.Tcf7	chr6	8712281	8712292	+	0.000	0.000	Merged-chr6-8712206-28
NR1191--MA1421.1.TCF7L1	chr11	88132000	88132011	-	0.000	0.000	Merged-chr11-88132051-21
NR2996--MA1421.1.TCF7L1	chr17	73952218	73952229	+	0.000	0.000	Merged-chr17-73952254-58
NR4885--MA0769.1.Tcf7	chr4	139367506	139367517	-	0.000	0.000	Merged-chr4-139367606-11
NR623--MA1421.1.TCF7L1	chr10	19504574	19504585	+	0.000	0.000	Merged-chr10-19504569-39
NR5471--MA0523.1.TCF7L2	chr6	50146433	50146446	-	0.000	0.000	Merged-chr6-50146420-23
NR4710--MA1421.1.TCF7L1	chr4	89393655	89393666	-	0.000	0.000	Merged-chr4-89393499-15
NR5396--MA1421.1.TCF7L1	chr6	8712281	8712292	+	0.000	0.000	Merged-chr6-8712206-28
NR657--MA1421.1.TCF7L1	chr10	30570577	30570588	+	0.000	0.000	Merged-chr10-30570499-22
NR2939--MA0769.1.Tcf7	chr17	50070396	50070407	-	0.000	0.000	Merged-chr17-50070273-24
NR5177--MA1421.1.TCF7L1	chr5	97075789	97075800	-	0.000	0.000	Merged-chr5-97075788-14
NR6654--MA0769.1.Tcf7	chr9	56273653	56273664	+	0.000	0.000	Merged-chr9-56273762-19
NR777--MA1421.1.TCF7L1	chr10	78115089	78115100	-	0.000	0.000	Merged-chr10-78115092-14
NR4056--MA1421.1.TCF7L1	chr2	180072866	180072877	-	0.000	0.000	Merged-chr2-180072906-4
NR2117--MA0523.1.TCF7L2	chr14	54061807	54061820	-	0.000	0.000	Merged-chr14-54061633-25
NR5715--MA1421.1.TCF7L1	chr6	128474316	128474327	+	0.000	0.000	Merged-chr6-128474299-11
NR740--MA0523.1.TCF7L2	chr10	68035938	68035951	-	0.000	0.000	Merged-chr10-68036009-2
NR4712--MA0769.1.Tcf7	chr4	89393655	89393666	-	0.000	0.000	Merged-chr4-89393499-15
NR1085--MA0523.1.TCF7L2	chr11	54249496	54249509	-	0.000	0.000	Merged-chr11-54249400-28
NR6364--MA0523.1.TCF7L2	chr8	57387856	57387869	+	0.000	0.000	Merged-chr8-57387843-7
NR4708--MA0769.1.Tcf7	chr4	89302313	89302324	-	0.000	0.000	Merged-chr4-89302202-17
NR5424--MA0523.1.TCF7L2	chr6	30347684	30347697	+	0.000	0.000	Merged-chr6-30347587-11
NR233--MA0769.1.Tcf7	chr1	105565176	105565187	-	0.000	0.000	Merged-chr1-105565114-33
NR5028--MA0769.1.Tcf7	chr5	32148874	32148885	+	0.000	0.000	Merged-chr5-32148738-21
NR1127--MA1421.1.TCF7L1	chr11	70113941	70113952	-	0.000	0.000	Merged-chr11-70113983-20
NR6902--MA0523.1.TCF7L2	chr9	119453609	119453622	-	0.000	0.000	Merged-chr9-119453486-15
NR2014--MA0769.1.Tcf7	chr13	117223470	117223481	+	0.000	0.000	Merged-chr13-117223399-24
NR3968--MA0523.1.TCF7L2	chr2	158719399	158719412	-	0.000	0.000	Merged-chr2-158719347-62
NR963--MA0523.1.TCF7L2	chr10	121188608	121188621	+	0.000	0.000	Merged-chr10-121188810-4
NR4000--MA1421.1.TCF7L1	chr2	166665689	166665700	+	0.000	0.000	Merged-chr2-166665700-84
NR53--MA0523.1.TCF7L2	chr1	43538894	43538907	-	0.000	0.000	Merged-chr1-43538951-30
NR3627--MA1421.1.TCF7L1	chr2	68882159	68882170	-	0.000	0.000	Merged-chr2-68882205-16
NR5925--MA1421.1.TCF7L1	chr7	45120578	45120589	+	0.000	0.000	Merged-chr7-45120364-12
NR5288--MA1421.1.TCF7L1	chr5	122644412	122644423	-	0.000	0.000	Merged-chr5-122644331-31
NR2816--MA0769.1.Tcf7	chr16	96273448	96273459	-	0.000	0.000	Merged-chr16-96273446-72
NR5311--MA0769.1.Tcf7	chr5	134269609	134269620	+	0.000	0.000	Merged-chr5-134269909-65
NR658--MA0523.1.TCF7L2	chr10	30570577	30570590	+	0.000	0.000	Merged-chr10-30570499-22
NR2653--MA0523.1.TCF7L2	chr16	33053357	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR4827--MA0523.1.TCF7L2	chr4	121002521	121002534	-	0.000	0.000	Merged-chr4-121002570-50
NR4236--MA1421.1.TCF7L1	chr3	98027568	98027579	-	0.000	0.000	Merged-chr3-98027437-43
NR2784--MA1421.1.TCF7L1	chr16	91555427	91555438	+	0.000	0.000	Merged-chr16-91555577-12
NR3069--MA0523.1.TCF7L2	chr18	19524573	19524586	-	0.000	0.000	Merged-chr18-19524471-22
NR2790--MA0769.1.Tcf7	chr16	91781056	91781067	-	0.000	0.000	Merged-chr16-91781071-63
NR5436--MA0523.1.TCF7L2	chr6	35462668	35462681	-	0.000	0.000	Merged-chr6-35462751-23
NR1482--MA1421.1.TCF7L1	chr12	82304084	82304095	-	0.000	0.000	Merged-chr12-82304111-12
