#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR4899--MA0511.2.RUNX2	chr18	14675979	14675987	+	0.000	0.000	Merged-chr18-14675814-20
NR9791--MA0002.2.RUNX1	chr8	22783633	22783643	-	0.000	0.000	Merged-chr8-22783714-26
NR3121--MA0511.2.RUNX2	chr13	113549212	113549220	-	0.000	0.000	Merged-chr13-113549207-25
NR7924--MA0684.1.RUNX3	chr5	100466876	100466885	+	0.000	0.000	Merged-chr5-100466890-43
NR3644--MA0511.2.RUNX2	chr15	34356866	34356874	+	0.000	0.000	Merged-chr15-34356866-8
NR1183--MA0511.2.RUNX2	chr10	81194417	81194425	-	0.000	0.000	Merged-chr10-81194350-49
NR10573--MA0002.2.RUNX1	chr9	94607589	94607599	-	0.000	0.000	Merged-chr9-94607543-65
NR1347--MA0002.2.RUNX1	chr10	111562798	111562808	-	0.000	0.000	Merged-chr10-111562842-26
NR3102--MA0002.2.RUNX1	chr13	110564085	110564095	-	0.000	0.000	Merged-chr13-110564159-46
NR10783--MA0002.2.RUNX1	chr9	120059519	120059529	+	0.000	0.000	Merged-chr9-120059540-6
NR10481--MA0511.2.RUNX2	chr9	78593272	78593280	+	0.000	0.000	Merged-chr9-78593326-11
NR7216--MA0002.2.RUNX1	chr4	98282437	98282447	+	0.000	0.000	Merged-chr4-98282479-46
NR5122--MA0002.2.RUNX1	chr18	80652995	80653005	-	0.000	0.000	Merged-chr18-80653014-8
NR6452--MA0002.2.RUNX1	chr3	37738620	37738630	-	0.000	0.000	Merged-chr3-37738517-40
NR4900--MA0002.2.RUNX1	chr18	14675979	14675989	-	0.000	0.000	Merged-chr18-14675814-20
NR2996--MA0002.2.RUNX1	chr13	96555284	96555294	+	0.000	0.000	Merged-chr13-96555289-36
NR6--MA0684.1.RUNX3	chr1	6467287	6467296	-	0.000	0.000	Merged-chr1-6467226-38
NR5369--MA0511.2.RUNX2	chr19	37109990	37109998	-	0.000	0.000	Merged-chr19-37109967-3
NR3447--MA0002.2.RUNX1	chr14	77742008	77742018	-	0.000	0.000	Merged-chr14-77742060-11
NR877--MA0002.2.RUNX1	chr10	10307520	10307530	+	0.000	0.000	Merged-chr10-10307543-35
NR9--MA0684.1.RUNX3	chr1	7095994	7096003	-	0.000	0.000	Merged-chr1-7096130-35
NR4244--MA0002.2.RUNX1	chr16	57176582	57176592	-	0.000	0.000	Merged-chr16-57176339-30
NR5811--MA0002.2.RUNX1	chr2	73547518	73547528	-	0.000	0.000	Merged-chr2-73547425-29
NR4160--MA0511.2.RUNX2	chr16	37099541	37099549	-	0.000	0.000	Merged-chr16-37099650-10
NR5370--MA0002.2.RUNX1	chr19	37109988	37109998	+	0.000	0.000	Merged-chr19-37109967-3
NR6560--MA0511.2.RUNX2	chr3	79504698	79504706	-	0.000	0.000	Merged-chr3-79504650-9
NR7714--MA0002.2.RUNX1	chr5	37259132	37259142	-	0.000	0.000	Merged-chr5-37259222-30
NR7922--MA0511.2.RUNX2	chr5	100466876	100466884	+	0.000	0.000	Merged-chr5-100466890-43
NR10740--MA0511.2.RUNX2	chr9	116366366	116366374	+	0.000	0.000	Merged-chr9-116366334-59
NR4161--MA0684.1.RUNX3	chr16	37099540	37099549	-	0.000	0.000	Merged-chr16-37099650-10
NR10741--MA0684.1.RUNX3	chr9	116366366	116366375	+	0.000	0.000	Merged-chr9-116366334-59
NR5604--MA0002.2.RUNX1	chr2	23041658	23041668	-	0.000	0.000	Merged-chr2-23041695-10
NR7645--MA0002.2.RUNX1	chr5	23626316	23626326	-	0.000	0.000	Merged-chr5-23626360-14
NR3122--MA0002.2.RUNX1	chr13	113549210	113549220	+	0.000	0.000	Merged-chr13-113549207-25
NR3645--MA0002.2.RUNX1	chr15	34356866	34356876	-	0.000	0.000	Merged-chr15-34356866-8
NR3549--MA0002.2.RUNX1	chr14	118834510	118834520	-	0.000	0.000	Merged-chr14-118834540-52
NR5272--MA0002.2.RUNX1	chr19	16790168	16790178	-	0.000	0.000	Merged-chr19-16790195-21
NR7563--MA0002.2.RUNX1	chr5	5420362	5420372	-	0.000	0.000	Merged-chr5-5420247-39
NR10482--MA0002.2.RUNX1	chr9	78593272	78593282	-	0.000	0.000	Merged-chr9-78593326-11
NR3717--MA0002.2.RUNX1	chr15	52899991	52900001	+	0.000	0.000	Merged-chr15-52899831-78
NR6130--MA0002.2.RUNX1	chr2	144637307	144637317	+	0.000	0.000	Merged-chr2-144637414-14
NR6970--MA0511.2.RUNX2	chr4	6476575	6476583	-	0.000	0.000	Merged-chr4-6476530-28
NR7--MA0511.2.RUNX2	chr1	7095995	7096003	-	0.000	0.000	Merged-chr1-7096130-35
NR9158--MA0002.2.RUNX1	chr7	43400070	43400080	+	0.000	0.000	Merged-chr7-43399918-26
NR6907--MA0684.1.RUNX3	chr3	149394059	149394068	-	0.000	0.000	Merged-chr3-149393865-18
NR68--MA0002.2.RUNX1	chr1	39559239	39559249	-	0.000	0.000	Merged-chr1-39559167-24
NR4901--MA0684.1.RUNX3	chr18	14675979	14675988	+	0.000	0.000	Merged-chr18-14675814-20
NR2615--MA0684.1.RUNX3	chr13	8742951	8742960	+	0.000	0.000	Merged-chr13-8742974-25
NR8692--MA0002.2.RUNX1	chr6	119199211	119199221	+	0.000	0.000	Merged-chr6-119199024-52
NR3448--MA0684.1.RUNX3	chr14	77742008	77742017	+	0.000	0.000	Merged-chr14-77742060-11
NR878--MA0684.1.RUNX3	chr10	10307521	10307530	-	0.000	0.000	Merged-chr10-10307543-35
NR2789--MA0511.2.RUNX2	chr13	45455949	45455957	+	0.000	0.000	Merged-chr13-45455779-40
NR6906--MA0002.2.RUNX1	chr3	149394058	149394068	+	0.000	0.000	Merged-chr3-149393865-18
NR8676--MA0002.2.RUNX1	chr6	114934410	114934420	-	0.000	0.000	Merged-chr6-114934394-6
NR4838--MA0002.2.RUNX1	chr17	86779459	86779469	-	0.000	0.000	Merged-chr17-86779381-46
NR7923--MA0002.2.RUNX1	chr5	100466876	100466886	-	0.000	0.000	Merged-chr5-100466890-43
NR9250--MA0002.2.RUNX1	chr7	66104630	66104640	-	0.000	0.000	Merged-chr7-66104804-17
NR1131--MA0511.2.RUNX2	chr10	75146224	75146232	-	0.000	0.000	Merged-chr10-75146347-53
NR5--MA0002.2.RUNX1	chr1	6467286	6467296	+	0.000	0.000	Merged-chr1-6467226-38
NR7716--MA0002.2.RUNX1	chr5	38274103	38274113	-	0.000	0.000	Merged-chr5-38274062-24
NR7715--MA0684.1.RUNX3	chr5	37259132	37259141	+	0.000	0.000	Merged-chr5-37259222-30
NR10080--MA0002.2.RUNX1	chr8	117320884	117320894	+	0.000	0.000	Merged-chr8-117320786-24
NR1346--MA0511.2.RUNX2	chr10	111562798	111562806	+	0.000	0.000	Merged-chr10-111562842-26
