#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR1037--MA0768.1.LEF1	chr15	74667787	74667801	-	0.000	0.000	Merged-chr15-74667710-27
NR190--MA0768.1.LEF1	chr1	156710948	156710962	-	0.000	0.000	Merged-chr1-156710970-33
NR2808--MA0768.1.LEF1	chr9	48447960	48447974	+	0.000	0.000	Merged-chr9-48448010-22
NR2862--MA0768.1.LEF1	chr9	95315389	95315403	-	0.000	0.000	Merged-chr9-95315222-46
NR531--MA0768.1.LEF1	chr12	17726666	17726680	-	0.000	0.000	Merged-chr12-17726607-38
NR2406--MA0768.1.LEF1	chr6	100581186	100581200	-	0.000	0.000	Merged-chr6-100581320-61
NR1594--MA0768.1.LEF1	chr2	132691812	132691826	+	0.000	0.000	Merged-chr2-132691913-20
NR237--MA0768.1.LEF1	chr1	191259381	191259395	+	0.000	0.000	Merged-chr1-191259374-46
NR2689--MA0768.1.LEF1	chr8	36028574	36028588	-	0.000	0.000	Merged-chr8-36028490-56
NR2228--MA0768.1.LEF1	chr5	91283251	91283265	-	0.000	0.000	Merged-chr5-91283193-32
NR385--MA0768.1.LEF1	chr10	98745578	98745592	-	0.000	0.000	Merged-chr10-98745748-77
NR1188--MA0768.1.LEF1	chr16	95869617	95869631	+	0.000	0.000	Merged-chr16-95869616-44
NR2708--MA0768.1.LEF1	chr8	57828446	57828460	+	0.000	0.000	Merged-chr8-57828491-18
NR959--MA0768.1.LEF1	chr15	6726747	6726761	-	0.000	0.000	Merged-chr15-6726597-28
NR507--MA0768.1.LEF1	chr11	113206337	113206351	+	0.000	0.000	Merged-chr11-113206318-17
NR995--MA0768.1.LEF1	chr15	36396448	36396462	-	0.000	0.000	Merged-chr15-36396472-80
NR65--MA0768.1.LEF1	chr1	66552806	66552820	-	0.000	0.000	Merged-chr1-66552771-47
NR2203--MA0768.1.LEF1	chr5	64764617	64764631	+	0.000	0.000	Merged-chr5-64764597-23
NR2888--MA0768.1.LEF1	chr9	122399007	122399021	-	0.000	0.000	Merged-chr9-122399009-31
NR217--MA0768.1.LEF1	chr1	173432610	173432624	-	0.000	0.000	Merged-chr1-173432561-56
NR2235--MA0768.1.LEF1	chr5	98018288	98018302	+	0.000	0.000	Merged-chr5-98018284-53
NR2347--MA0768.1.LEF1	chr6	61125592	61125606	-	0.000	0.000	Merged-chr6-61125660-31
NR952--MA0768.1.LEF1	chr14	121478315	121478329	+	0.000	0.000	Merged-chr14-121478313-77
NR2809--MA0768.1.LEF1	chr9	48538518	48538532	+	0.000	0.000	Merged-chr9-48538454-59
NR2939--MA0768.1.LEF1	chrX	153375283	153375297	-	0.000	0.000	Merged-chrX-153375365-26
NR2532--MA0768.1.LEF1	chr7	49421390	49421404	+	0.000	0.000	Merged-chr7-49421353-29
NR2653--MA0768.1.LEF1	chr8	13986985	13986999	-	0.000	0.000	Merged-chr8-13987133-66
NR1581--MA0768.1.LEF1	chr2	117352884	117352898	-	0.000	0.000	Merged-chr2-117352784-31
NR2345--MA0768.1.LEF1	chr6	60940531	60940545	+	0.000	0.000	Merged-chr6-60940563-22
NR1502--MA0768.1.LEF1	chr2	52310864	52310878	+	0.000	0.000	Merged-chr2-52310809-21
NR1059--MA0768.1.LEF1	chr15	94255281	94255295	-	0.000	0.000	Merged-chr15-94255177-46
NR964--MA0768.1.LEF1	chr15	9533555	9533569	+	0.000	0.000	Merged-chr15-9533546-44
NR194--MA0768.1.LEF1	chr1	159938619	159938633	+	0.000	0.000	Merged-chr1-159938641-24
NR1516--MA0768.1.LEF1	chr2	59469813	59469827	-	0.000	0.000	Merged-chr2-59469655-1
NR866--MA0768.1.LEF1	chr14	54061806	54061820	-	0.000	0.000	Merged-chr14-54061633-25
NR508--MA0768.1.LEF1	chr11	113206356	113206370	+	0.000	0.000	Merged-chr11-113206318-17
NR1767--MA0768.1.LEF1	chr3	67033638	67033652	+	0.000	0.000	Merged-chr3-67033715-15
NR405--MA0768.1.LEF1	chr10	111578772	111578786	+	0.000	0.000	Merged-chr10-111578564-64
NR66--MA0768.1.LEF1	chr1	66552830	66552844	-	0.000	0.000	Merged-chr1-66552771-47
NR2432--MA0768.1.LEF1	chr6	124898264	124898278	+	0.000	0.000	Merged-chr6-124898421-2
NR101--MA0768.1.LEF1	chr1	88475655	88475669	+	0.000	0.000	Merged-chr1-88475619-20
NR227--MA0768.1.LEF1	chr1	180410464	180410478	-	0.000	0.000	Merged-chr1-180410391-12
NR2482--MA0768.1.LEF1	chr6	149183512	149183526	-	0.000	0.000	Merged-chr6-149183441-13
NR2254--MA0768.1.LEF1	chr5	122288603	122288617	+	0.000	0.000	Merged-chr5-122288620-47
NR2926--MA0768.1.LEF1	chrX	113084363	113084377	+	0.000	0.000	Merged-chrX-113084391-25
NR305--MA0768.1.LEF1	chr10	34117965	34117979	-	0.000	0.000	Merged-chr10-34117997-36
NR2533--MA0768.1.LEF1	chr7	49421420	49421434	-	0.000	0.000	Merged-chr7-49421353-29
NR1582--MA0768.1.LEF1	chr2	117418885	117418899	-	0.000	0.000	Merged-chr2-117418760-26
NR2099--MA0768.1.LEF1	chr4	148683798	148683812	-	0.000	0.000	Merged-chr4-148683681-71
NR471--MA0768.1.LEF1	chr11	49722941	49722955	-	0.000	0.000	Merged-chr11-49723086-55
NR2592--MA0768.1.LEF1	chr7	92420466	92420480	-	0.000	0.000	Merged-chr7-92420666-38
NR2243--MA0768.1.LEF1	chr5	105010601	105010615	+	0.000	0.000	Merged-chr5-105010527-49
NR2266--MA0768.1.LEF1	chr5	134333000	134333014	-	0.000	0.000	Merged-chr5-134333065-45
NR2051--MA0768.1.LEF1	chr4	101217307	101217321	+	0.000	0.000	Merged-chr4-101217167-64
NR2047--MA0768.1.LEF1	chr4	97996043	97996057	+	0.000	0.000	Merged-chr4-97996259-58
NR504--MA0768.1.LEF1	chr11	109591673	109591687	+	0.000	0.000	Merged-chr11-109591660-26
NR522--MA0768.1.LEF1	chr12	8496496	8496510	+	0.000	0.000	Merged-chr12-8496481-10
NR1320--MA0768.1.LEF1	chr18	32598131	32598145	-	0.000	0.000	Merged-chr18-32598271-33
NR652--MA0768.1.LEF1	chr13	5806325	5806339	+	0.000	0.000	Merged-chr13-5806398-17
NR2737--MA0768.1.LEF1	chr8	91507607	91507621	-	0.000	0.000	Merged-chr8-91507766-35
NR2755--MA0768.1.LEF1	chr8	116645573	116645587	-	0.000	0.000	Merged-chr8-116645599-31
NR2335--MA0768.1.LEF1	chr6	55016479	55016493	+	0.000	0.000	Merged-chr6-55016500-80
NR228--MA0768.1.LEF1	chr1	180410472	180410486	-	0.000	0.000	Merged-chr1-180410391-12
NR1393--MA0768.1.LEF1	chr18	79297906	79297920	+	0.000	0.000	Merged-chr18-79298014-36
NR2922--MA0768.1.LEF1	chrX	100789551	100789565	-	0.000	0.000	Merged-chrX-100789555-32
NR1971--MA0768.1.LEF1	chr4	34429185	34429199	+	0.000	0.000	Merged-chr4-34429163-2
NR954--MA0768.1.LEF1	chr14	122902340	122902354	-	0.000	0.000	Merged-chr14-122902262-49
NR184--MA0768.1.LEF1	chr1	151973284	151973298	-	0.000	0.000	Merged-chr1-151973357-25
NR1873--MA0768.1.LEF1	chr3	142533251	142533265	-	0.000	0.000	Merged-chr3-142533345-44
NR2860--MA0768.1.LEF1	chr9	94620494	94620508	-	0.000	0.000	Merged-chr9-94620464-1
