#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed
NR1096--MA0690.1.TBX21	chr2	153278540	153278549	+	0.000	0.000	Merged-chr2-153278581-35
NR714--MA0690.1.TBX21	chr16	33499339	33499348	+	0.000	0.000	Merged-chr16-33499243-20
NR979--MA0690.1.TBX21	chr2	25095323	25095332	+	0.000	0.000	Merged-chr2-25095278-14
NR448--MA0690.1.TBX21	chr13	44507254	44507263	+	0.000	0.000	Merged-chr13-44507226-54
NR491--MA0690.1.TBX21	chr13	84791293	84791302	-	0.000	0.000	Merged-chr13-84791325-24
NR78--MA0690.1.TBX21	chr1	120162063	120162072	+	0.000	0.000	Merged-chr1-120162199-15
NR658--MA0690.1.TBX21	chr15	50942759	50942768	+	0.000	0.000	Merged-chr15-50942797-12
NR196--MA0690.1.TBX21	chr10	40479339	40479348	+	0.000	0.000	Merged-chr10-40479489-48
NR1724--MA0690.1.TBX21	chr7	84624622	84624631	-	0.000	0.000	Merged-chr7-84624790-8
NR1161--MA0690.1.TBX21	chr3	65650797	65650806	+	0.000	0.000	Merged-chr3-65650597-39
NR459--MA0690.1.TBX21	chr13	51598327	51598336	+	0.000	0.000	Merged-chr13-51598262-24
NR2039--MA0690.1.TBX21	chrX	93368368	93368377	-	0.000	0.000	Merged-chrX-93368471-14
NR1634--MA0690.1.TBX21	chr6	127365547	127365556	+	0.000	0.000	Merged-chr6-127365482-29
NR1538--MA0690.1.TBX21	chr6	38066533	38066542	-	0.000	0.000	Merged-chr6-38066382-23
NR1594--MA0690.1.TBX21	chr6	99309571	99309580	+	0.000	0.000	Merged-chr6-99309583-50
NR1225--MA0690.1.TBX21	chr3	138876406	138876415	+	0.000	0.000	Merged-chr3-138876270-3
NR1714--MA0690.1.TBX21	chr7	79759970	79759979	+	0.000	0.000	Merged-chr7-79759916-34
NR933--MA0690.1.TBX21	chr19	24175380	24175389	-	0.000	0.000	Merged-chr19-24175252-8
NR1313--MA0690.1.TBX21	chr4	86722062	86722071	-	0.000	0.000	Merged-chr4-86721990-52
NR40--MA0690.1.TBX21	chr1	64085988	64085997	+	0.000	0.000	Merged-chr1-64086002-50
NR53--MA0690.1.TBX21	chr1	82443824	82443833	+	0.000	0.000	Merged-chr1-82443829-28
NR1273--MA0690.1.TBX21	chr4	21751858	21751867	+	0.000	0.000	Merged-chr4-21752041-18
NR872--MA0690.1.TBX21	chr18	56810051	56810060	-	0.000	0.000	Merged-chr18-56810000-44
NR1557--MA0690.1.TBX21	chr6	61225586	61225595	-	0.000	0.000	Merged-chr6-61225621-10
NR981--MA0690.1.TBX21	chr2	25828789	25828798	+	0.000	0.000	Merged-chr2-25828697-14
NR362--MA0690.1.TBX21	chr12	21468115	21468124	+	0.000	0.000	Merged-chr12-21468092-6
NR994--MA0690.1.TBX21	chr2	32181496	32181505	-	0.000	0.000	Merged-chr2-32181600-13
NR1026--MA0690.1.TBX21	chr2	61571827	61571836	-	0.000	0.000	Merged-chr2-61571777-18
NR877--MA0690.1.TBX21	chr18	62151883	62151892	-	0.000	0.000	Merged-chr18-62151803-40
NR192--MA0690.1.TBX21	chr10	39517617	39517626	+	0.000	0.000	Merged-chr10-39517662-15
NR734--MA0690.1.TBX21	chr16	52292687	52292696	+	0.000	0.000	Merged-chr16-52292729-42
NR909--MA0690.1.TBX21	chr18	84911756	84911765	+	0.000	0.000	Merged-chr18-84911932-15
NR713--MA0690.1.TBX21	chr16	32229249	32229258	+	0.000	0.000	Merged-chr16-32229198-4
NR1074--MA0690.1.TBX21	chr2	120502266	120502275	+	0.000	0.000	Merged-chr2-120502347-30
NR978--MA0690.1.TBX21	chr2	22722054	22722063	+	0.000	0.000	Merged-chr2-22721936-56
NR819--MA0690.1.TBX21	chr17	70942883	70942892	+	0.000	0.000	Merged-chr17-70942808-10
NR113--MA0690.1.TBX21	chr1	151167946	151167955	-	0.000	0.000	Merged-chr1-151167792-22
NR1710--MA0690.1.TBX21	chr7	76047971	76047980	-	0.000	0.000	Merged-chr7-76048040-27
NR1561--MA0690.1.TBX21	chr6	67129047	67129056	-	0.000	0.000	Merged-chr6-67129210-17
NR1803--MA0690.1.TBX21	chr7	142967355	142967364	+	0.000	0.000	Merged-chr7-142967366-1
NR288--MA0690.1.TBX21	chr11	32139733	32139742	-	0.000	0.000	Merged-chr11-32139668-21
NR1816--MA0690.1.TBX21	chr8	11203511	11203520	+	0.000	0.000	Merged-chr8-11203491-10
NR397--MA0690.1.TBX21	chr12	91328801	91328810	-	0.000	0.000	Merged-chr12-91328902-3
