#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR1627--MA0690.1.TBX21	chr6	67184845	67184854	-	0.000	0.000	Merged-chr6-67184785-39
NR1051--MA0690.1.TBX21	chr19	57055819	57055828	-	0.000	0.000	Merged-chr19-57055875-36
NR1335--MA0690.1.TBX21	chr3	146063221	146063230	+	0.000	0.000	Merged-chr3-146063322-20
NR676--MA0690.1.TBX21	chr14	120313615	120313624	-	0.000	0.000	Merged-chr14-120313531-118
NR371--MA0690.1.TBX21	chr11	100846071	100846080	+	0.000	0.000	Merged-chr11-100846095-37
NR512--MA0690.1.TBX21	chr13	24467805	24467814	+	0.000	0.000	Merged-chr13-24467982-34
NR525--MA0690.1.TBX21	chr13	41682969	41682978	-	0.000	0.000	Merged-chr13-41683049-20
NR1048--MA0690.1.TBX21	chr19	54015085	54015094	-	0.000	0.000	Merged-chr19-54015154-21
NR581--MA0690.1.TBX21	chr13	101533205	101533214	+	0.000	0.000	Merged-chr13-101533206-46
NR852--MA0690.1.TBX21	chr17	7905014	7905023	-	0.000	0.000	Merged-chr17-7905100-9
NR695--MA0690.1.TBX21	chr15	12606612	12606621	-	0.000	0.000	Merged-chr15-12606518-21
NR99--MA0690.1.TBX21	chr1	152008858	152008867	+	0.000	0.000	Merged-chr1-152008952-65
NR395--MA0690.1.TBX21	chr11	114571305	114571314	-	0.000	0.000	Merged-chr11-114571439-19
NR78--MA0690.1.TBX21	chr1	131747196	131747205	-	0.000	0.000	Merged-chr1-131747235-22
NR536--MA0690.1.TBX21	chr13	49241464	49241473	+	0.000	0.000	Merged-chr13-49241430-9
NR278--MA0690.1.TBX21	chr11	6324414	6324423	-	0.000	0.000	Merged-chr11-6324359-18
NR135--MA0690.1.TBX21	chr1	177457133	177457142	-	0.000	0.000	Merged-chr1-177456987-38
NR2084--MA0690.1.TBX21	chr9	122398978	122398987	+	0.000	0.000	Merged-chr9-122399009-31
NR889--MA0690.1.TBX21	chr17	45703392	45703401	+	0.000	0.000	Merged-chr17-45703436-19
NR1950--MA0690.1.TBX21	chr9	5623627	5623636	-	0.000	0.000	Merged-chr9-5623590-21
NR2021--MA0690.1.TBX21	chr9	87025986	87025995	-	0.000	0.000	Merged-chr9-87025935-38
NR1812--MA0690.1.TBX21	chr7	117406455	117406464	+	0.000	0.000	Merged-chr7-117406595-16
NR1371--MA0690.1.TBX21	chr4	11095692	11095701	-	0.000	0.000	Merged-chr4-11095738-16
NR1743--MA0690.1.TBX21	chr7	45695323	45695332	+	0.000	0.000	Merged-chr7-45695271-16
NR832--MA0690.1.TBX21	chr16	91562153	91562162	+	0.000	0.000	Merged-chr16-91562152-19
NR1076--MA0690.1.TBX21	chr2	14312571	14312580	-	0.000	0.000	Merged-chr2-14312633-23
NR370--MA0690.1.TBX21	chr11	99150507	99150516	-	0.000	0.000	Merged-chr11-99150380-50
NR1299--MA0690.1.TBX21	chr3	104841018	104841027	+	0.000	0.000	Merged-chr3-104841189-28
NR45--MA0690.1.TBX21	chr1	74570562	74570571	-	0.000	0.000	Merged-chr1-74570528-25
NR843--MA0690.1.TBX21	chr16	95869739	95869748	-	0.000	0.000	Merged-chr16-95869616-44
NR224--MA0690.1.TBX21	chr10	77609813	77609822	+	0.000	0.000	Merged-chr10-77609801-14
NR681--MA0690.1.TBX21	chr14	121325062	121325071	-	0.000	0.000	Merged-chr14-121324999-52
NR999--MA0690.1.TBX21	chr18	83465362	83465371	-	0.000	0.000	Merged-chr18-83465273-18
NR790--MA0690.1.TBX21	chr16	25485350	25485359	+	0.000	0.000	Merged-chr16-25485313-47
NR29--MA0690.1.TBX21	chr1	59189721	59189730	+	0.000	0.000	Merged-chr1-59189721-10
NR293--MA0690.1.TBX21	chr11	33700902	33700911	+	0.000	0.000	Merged-chr11-33701004-51
NR665--MA0690.1.TBX21	chr14	103850570	103850579	+	0.000	0.000	Merged-chr14-103850623-36
NR678--MA0690.1.TBX21	chr14	121107878	121107887	-	0.000	0.000	Merged-chr14-121107843-45
NR527--MA0690.1.TBX21	chr13	44507254	44507263	+	0.000	0.000	Merged-chr13-44507226-54
NR474--MA0690.1.TBX21	chr12	112720147	112720156	-	0.000	0.000	Merged-chr12-112720162-15
NR649--MA0690.1.TBX21	chr14	78559106	78559115	+	0.000	0.000	Merged-chr14-78559223-28
NR596--MA0690.1.TBX21	chr13	109843080	109843089	-	0.000	0.000	Merged-chr13-109843139-39
NR1962--MA0690.1.TBX21	chr9	21455339	21455348	-	0.000	0.000	Merged-chr9-21455385-20
NR1683--MA0690.1.TBX21	chr6	134184205	134184214	-	0.000	0.000	Merged-chr6-134184108-53
NR1954--MA0690.1.TBX21	chr9	14248476	14248485	-	0.000	0.000	Merged-chr9-14248366-20
NR2059--MA0690.1.TBX21	chr9	114447965	114447974	-	0.000	0.000	Merged-chr9-114447903-15
NR1370--MA0690.1.TBX21	chr4	11095648	11095657	+	0.000	0.000	Merged-chr4-11095738-16
NR288--MA0690.1.TBX21	chr11	32139733	32139742	-	0.000	0.000	Merged-chr11-32139668-21
