#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR12663--MA0742.1.Klf12	chr11	113537055	113537069	+	0.000	0.000	Merged-chr11-113536889-33
NR49451--MA0599.1.KLF5	chr5	53605582	53605591	-	0.000	0.000	Merged-chr5-53605625-25
NR61472--MA1107.1.KLF9	chr7	130893300	130893312	+	0.000	0.000	Merged-chr7-130893114-41
NR20454--MA0493.1.Klf1	chr14	61056910	61056920	-	0.000	0.000	Merged-chr14-61056983-100
NR49563--MA0599.1.KLF5	chr5	64990218	64990227	-	0.000	0.000	Merged-chr5-64990076-28
NR50219--MA0599.1.KLF5	chr5	92375005	92375014	-	0.000	0.000	Merged-chr5-92374946-3
NR25692--MA0039.3.KLF4	chr16	50070928	50070938	+	0.000	0.000	Merged-chr16-50070751-51
NR46410--MA0599.1.KLF5	chr4	120288021	120288030	+	0.000	0.000	Merged-chr4-120287807-68
NR60212--MA0740.1.KLF14	chr7	100700067	100700080	-	0.000	0.000	Merged-chr7-100699955-31
NR53937--MA0741.1.KLF16	chr6	47621484	47621494	+	0.000	0.000	Merged-chr6-47621326-39
NR31438--MA0742.1.Klf12	chr18	67212684	67212698	+	0.000	0.000	Merged-chr18-67212775-57
NR65174--MA1107.1.KLF9	chr8	123163081	123163093	+	0.000	0.000	Merged-chr8-123163099-40
NR24076--MA0599.1.KLF5	chr15	94255266	94255275	+	0.000	0.000	Merged-chr15-94255177-46
NR19778--MA0741.1.KLF16	chr14	32716954	32716964	+	0.000	0.000	Merged-chr14-32716978-71
NR68878--MA1107.1.KLF9	chr9	116243758	116243770	-	0.000	0.000	Merged-chr9-116243832-57
NR35890--MA0599.1.KLF5	chr2	60375320	60375329	-	0.000	0.000	Merged-chr2-60375404-17
NR66170--MA1107.1.KLF9	chr9	43242633	43242645	+	0.000	0.000	Merged-chr9-43242516-24
NR65501--MA1107.1.KLF9	chr8	128421100	128421112	-	0.000	0.000	Merged-chr8-128420826-46
NR58727--MA1107.1.KLF9	chr7	35742599	35742611	-	0.000	0.000	Merged-chr7-35742502-39
NR53265--MA0741.1.KLF16	chr5	150840388	150840398	+	0.000	0.000	Merged-chr5-150840546-64
NR34759--MA1107.1.KLF9	chr2	19630761	19630773	+	0.000	0.000	Merged-chr2-19630844-34
NR56459--MA0599.1.KLF5	chr6	134348665	134348674	-	0.000	0.000	Merged-chr6-134348726-53
NR53534--MA0599.1.KLF5	chr6	22340138	22340147	-	0.000	0.000	Merged-chr6-22340067-27
NR45361--MA0599.1.KLF5	chr4	82755890	82755899	+	0.000	0.000	Merged-chr4-82755852-39
NR23421--MA0741.1.KLF16	chr15	80192527	80192537	+	0.000	0.000	Merged-chr15-80192413-58
NR64751--MA0039.3.KLF4	chr8	116645533	116645543	-	0.000	0.000	Merged-chr8-116645599-31
NR45543--MA0039.3.KLF4	chr4	89369357	89369367	+	0.000	0.000	Merged-chr4-89369224-21
NR31737--MA0599.1.KLF5	chr18	75322373	75322382	+	0.000	0.000	Merged-chr18-75322404-42
NR50040--MA0493.1.Klf1	chr5	86783215	86783225	+	0.000	0.000	Merged-chr5-86783243-43
NR60742--MA0493.1.Klf1	chr7	114356566	114356576	-	0.000	0.000	Merged-chr7-114356592-29
NR53743--MA0039.3.KLF4	chr6	33683797	33683807	-	0.000	0.000	Merged-chr6-33683719-46
NR47998--MA0740.1.KLF14	chr4	150087349	150087362	-	0.000	0.000	Merged-chr4-150087480-81
NR490--MA0599.1.KLF5	chr1	39196991	39197000	-	0.000	0.000	Merged-chr1-39196974-45
NR29735--MA1107.1.KLF9	chr17	83158738	83158750	+	0.000	0.000	Merged-chr17-83158899-1
NR14045--MA1107.1.KLF9	chr12	52383144	52383156	-	0.000	0.000	Merged-chr12-52383146-23
NR66527--MA0741.1.KLF16	chr9	56098022	56098032	+	0.000	0.000	Merged-chr9-56098023-21
NR56575--MA0493.1.Klf1	chr6	136684095	136684105	+	0.000	0.000	Merged-chr6-136683885-26
NR55826--MA0599.1.KLF5	chr6	120206733	120206742	+	0.000	0.000	Merged-chr6-120206801-39
NR53095--MA0493.1.Klf1	chr5	148709065	148709075	-	0.000	0.000	Merged-chr5-148709171-35
NR62721--MA0740.1.KLF14	chr8	34529602	34529615	-	0.000	0.000	Merged-chr8-34529653-1
NR57665--MA0493.1.Klf1	chr7	4948750	4948760	-	0.000	0.000	Merged-chr7-4948568-26
NR28681--MA1107.1.KLF9	chr17	47171163	47171175	-	0.000	0.000	Merged-chr17-47171280-54
NR48925--MA0039.3.KLF4	chr5	28269731	28269741	-	0.000	0.000	Merged-chr5-28269924-54
NR64672--MA0493.1.Klf1	chr8	114888924	114888934	+	0.000	0.000	Merged-chr8-114888790-56
NR64798--MA0599.1.KLF5	chr8	117548648	117548657	-	0.000	0.000	Merged-chr8-117548585-70
NR57664--MA0039.3.KLF4	chr7	4948748	4948758	-	0.000	0.000	Merged-chr7-4948568-26
NR4731--MA0039.3.KLF4	chr1	193421574	193421584	-	0.000	0.000	Merged-chr1-193421738-60
NR66511--MA1107.1.KLF9	chr9	55283730	55283742	+	0.000	0.000	Merged-chr9-55283833-16
NR46408--MA0740.1.KLF14	chr4	120288020	120288033	+	0.000	0.000	Merged-chr4-120287807-68
NR64671--MA0039.3.KLF4	chr8	114888926	114888936	+	0.000	0.000	Merged-chr8-114888790-56
NR8321--MA1107.1.KLF9	chr10	118766023	118766035	-	0.000	0.000	Merged-chr10-118766153-45
NR55902--MA0741.1.KLF16	chr6	121110179	121110189	-	0.000	0.000	Merged-chr6-121110104-77
NR12901--MA0599.1.KLF5	chr11	116688047	116688056	-	0.000	0.000	Merged-chr11-116688042-60
NR30105--MA1107.1.KLF9	chr17	88479191	88479203	-	0.000	0.000	Merged-chr17-88479234-18
NR61076--MA0493.1.Klf1	chr7	122932283	122932293	-	0.000	0.000	Merged-chr7-122932357-26
NR60591--MA0599.1.KLF5	chr7	110796448	110796457	-	0.000	0.000	Merged-chr7-110796429-1
NR12659--MA0493.1.Klf1	chr11	113508467	113508477	+	0.000	0.000	Merged-chr11-113508478-30
NR60739--MA0742.1.Klf12	chr7	114356562	114356576	-	0.000	0.000	Merged-chr7-114356592-29
NR31437--MA0740.1.KLF14	chr18	67212684	67212697	+	0.000	0.000	Merged-chr18-67212775-57
NR61646--MA0741.1.KLF16	chr7	135598566	135598576	+	0.000	0.000	Merged-chr7-135598633-32
NR38567--MA0741.1.KLF16	chr2	153292441	153292451	+	0.000	0.000	Merged-chr2-153292567-49
NR21738--MA0741.1.KLF16	chr14	120313650	120313660	+	0.000	0.000	Merged-chr14-120313531-118
NR13695--MA1107.1.KLF9	chr12	25247230	25247242	-	0.000	0.000	Merged-chr12-25247115-16
NR19424--MA1107.1.KLF9	chr14	12243814	12243826	+	0.000	0.000	Merged-chr14-12243878-61
NR17016--MA1107.1.KLF9	chr13	52800950	52800962	+	0.000	0.000	Merged-chr13-52800951-49
NR33993--MA1107.1.KLF9	chr19	53760461	53760473	-	0.000	0.000	Merged-chr19-53760542-10
NR11226--MA0741.1.KLF16	chr11	85407804	85407814	+	0.000	0.000	Merged-chr11-85407928-27
NR12906--MA0493.1.Klf1	chr11	116688053	116688063	-	0.000	0.000	Merged-chr11-116688042-60
NR61467--MA0599.1.KLF5	chr7	130812686	130812695	-	0.000	0.000	Merged-chr7-130812664-20
NR60774--MA0742.1.Klf12	chr7	115495322	115495336	+	0.000	0.000	Merged-chr7-115495056-66
NR50104--MA1107.1.KLF9	chr5	89045089	89045101	+	0.000	0.000	Merged-chr5-89044916-44
NR55334--MA1107.1.KLF9	chr6	108338391	108338403	-	0.000	0.000	Merged-chr6-108338556-41
NR68751--MA0493.1.Klf1	chr9	114613222	114613232	-	0.000	0.000	Merged-chr9-114613191-38
NR45541--MA1107.1.KLF9	chr4	89359535	89359547	-	0.000	0.000	Merged-chr4-89359690-21
NR47035--MA0741.1.KLF16	chr4	134059106	134059116	-	0.000	0.000	Merged-chr4-134059039-2
NR34501--MA0039.3.KLF4	chr2	7270158	7270168	+	0.000	0.000	Merged-chr2-7270224-62
NR68750--MA0039.3.KLF4	chr9	114613220	114613230	-	0.000	0.000	Merged-chr9-114613191-38
NR55899--MA0493.1.Klf1	chr6	121110159	121110169	-	0.000	0.000	Merged-chr6-121110104-77
NR7183--MA0039.3.KLF4	chr10	84897310	84897320	+	0.000	0.000	Merged-chr10-84897526-62
NR22445--MA0599.1.KLF5	chr15	38709603	38709612	+	0.000	0.000	Merged-chr15-38709565-1
NR18935--MA0741.1.KLF16	chr13	111634785	111634795	+	0.000	0.000	Merged-chr13-111634662-22
NR47635--MA0740.1.KLF14	chr4	144901710	144901723	+	0.000	0.000	Merged-chr4-144901724-37
NR35614--MA1107.1.KLF9	chr2	45172978	45172990	-	0.000	0.000	Merged-chr2-45172921-51
NR4730--MA0599.1.KLF5	chr1	193421576	193421585	-	0.000	0.000	Merged-chr1-193421738-60
NR69524--MA0599.1.KLF5	chrX	7865658	7865667	+	0.000	0.000	Merged-chrX-7865862-63
NR7627--MA1107.1.KLF9	chr10	98745686	98745698	+	0.000	0.000	Merged-chr10-98745748-77
NR45537--MA1107.1.KLF9	chr4	89359527	89359539	-	0.000	0.000	Merged-chr4-89359690-21
NR50700--MA1107.1.KLF9	chr5	107926655	107926667	+	0.000	0.000	Merged-chr5-107926816-56
NR13691--MA0742.1.Klf12	chr12	25247228	25247242	-	0.000	0.000	Merged-chr12-25247115-16
NR65168--MA1107.1.KLF9	chr8	123163069	123163081	+	0.000	0.000	Merged-chr8-123163099-40
NR14035--MA0599.1.KLF5	chr12	52383132	52383141	-	0.000	0.000	Merged-chr12-52383146-23
NR61127--MA0493.1.Klf1	chr7	125186708	125186718	-	0.000	0.000	Merged-chr7-125186656-23
NR877--MA0493.1.Klf1	chr1	60017018	60017028	+	0.000	0.000	Merged-chr1-60017133-4
NR46412--MA0741.1.KLF16	chr4	120288021	120288031	+	0.000	0.000	Merged-chr4-120287807-68
NR59947--MA0741.1.KLF16	chr7	92420558	92420568	-	0.000	0.000	Merged-chr7-92420666-38
NR20861--MA0599.1.KLF5	chr14	74918656	74918665	+	0.000	0.000	Merged-chr14-74918775-39
NR57243--MA0742.1.Klf12	chr6	146271367	146271381	+	0.000	0.000	Merged-chr6-146271470-40
NR12660--MA1107.1.KLF9	chr11	113508467	113508479	+	0.000	0.000	Merged-chr11-113508478-30
NR61468--MA0741.1.KLF16	chr7	130812673	130812683	-	0.000	0.000	Merged-chr7-130812664-20
NR52997--MA0493.1.Klf1	chr5	146974169	146974179	+	0.000	0.000	Merged-chr5-146974233-28
NR66506--MA0740.1.KLF14	chr9	55283730	55283743	+	0.000	0.000	Merged-chr9-55283833-16
NR12907--MA0741.1.KLF16	chr11	116688052	116688062	-	0.000	0.000	Merged-chr11-116688042-60
NR54218--MA0740.1.KLF14	chr6	53709833	53709846	-	0.000	0.000	Merged-chr6-53709881-31
NR5643--MA0741.1.KLF16	chr10	42699281	42699291	+	0.000	0.000	Merged-chr10-42699170-35
NR59946--MA0493.1.Klf1	chr7	92420559	92420569	-	0.000	0.000	Merged-chr7-92420666-38
NR23424--MA0741.1.KLF16	chr15	80192530	80192540	+	0.000	0.000	Merged-chr15-80192413-58
NR16846--MA0741.1.KLF16	chr13	45885052	45885062	+	0.000	0.000	Merged-chr13-45885080-29
NR25213--MA0741.1.KLF16	chr16	24160876	24160886	+	0.000	0.000	Merged-chr16-24160756-32
NR15574--MA0740.1.KLF14	chr12	109446607	109446620	+	0.000	0.000	Merged-chr12-109446341-43
NR28675--MA1107.1.KLF9	chr17	47171151	47171163	-	0.000	0.000	Merged-chr17-47171280-54
NR69328--MA0599.1.KLF5	chr9	122398963	122398972	-	0.000	0.000	Merged-chr9-122399009-31
NR66507--MA0657.1.KLF13	chr9	55283729	55283746	+	0.000	0.000	Merged-chr9-55283833-16
NR21029--MA0493.1.Klf1	chr14	79236476	79236486	+	0.000	0.000	Merged-chr14-79236608-48
NR8320--MA0493.1.Klf1	chr10	118766025	118766035	-	0.000	0.000	Merged-chr10-118766153-45
NR31221--MA0599.1.KLF5	chr18	61481724	61481733	+	0.000	0.000	Merged-chr18-61481826-14
NR12666--MA0493.1.Klf1	chr11	113537055	113537065	+	0.000	0.000	Merged-chr11-113536889-33
NR22119--MA0493.1.Klf1	chr15	25696042	25696052	-	0.000	0.000	Merged-chr15-25696018-37
NR34338--MA0493.1.Klf1	chr19	60182324	60182334	+	0.000	0.000	Merged-chr19-60182316-4
NR62741--MA1107.1.KLF9	chr8	34651916	34651928	-	0.000	0.000	Merged-chr8-34651925-47
NR10643--MA0741.1.KLF16	chr11	72963735	72963745	-	0.000	0.000	Merged-chr11-72963811-9
NR66169--MA0039.3.KLF4	chr9	43242635	43242645	+	0.000	0.000	Merged-chr9-43242516-24
NR54219--MA0657.1.KLF13	chr6	53709830	53709847	-	0.000	0.000	Merged-chr6-53709881-31
NR16005--MA0493.1.Klf1	chr12	117553351	117553361	-	0.000	0.000	Merged-chr12-117553468-60
NR49514--MA0599.1.KLF5	chr5	63943576	63943585	-	0.000	0.000	Merged-chr5-63943362-36
NR18230--MA0599.1.KLF5	chr13	98684443	98684452	+	0.000	0.000	Merged-chr13-98684546-11
NR20863--MA0741.1.KLF16	chr14	74918663	74918673	+	0.000	0.000	Merged-chr14-74918775-39
NR60213--MA0493.1.Klf1	chr7	100700070	100700080	-	0.000	0.000	Merged-chr7-100699955-31
NR31444--MA1107.1.KLF9	chr18	67212684	67212696	+	0.000	0.000	Merged-chr18-67212775-57
NR55895--MA0742.1.Klf12	chr6	121110155	121110169	-	0.000	0.000	Merged-chr6-121110104-77
NR5638--MA0599.1.KLF5	chr10	42699263	42699272	+	0.000	0.000	Merged-chr10-42699170-35
NR45632--MA0741.1.KLF16	chr4	95449024	95449034	-	0.000	0.000	Merged-chr4-95449018-19
NR61463--MA0740.1.KLF14	chr7	130812683	130812696	-	0.000	0.000	Merged-chr7-130812664-20
NR57803--MA0493.1.Klf1	chr7	16001851	16001861	-	0.000	0.000	Merged-chr7-16001989-41
NR53935--MA0740.1.KLF14	chr6	47621483	47621496	+	0.000	0.000	Merged-chr6-47621326-39
NR57238--MA0039.3.KLF4	chr6	146185691	146185701	-	0.000	0.000	Merged-chr6-146185680-43
NR21737--MA0493.1.Klf1	chr14	120313649	120313659	+	0.000	0.000	Merged-chr14-120313531-118
NR13554--MA0039.3.KLF4	chr12	17511205	17511215	+	0.000	0.000	Merged-chr12-17511273-48
NR12908--MA1107.1.KLF9	chr11	116688045	116688057	-	0.000	0.000	Merged-chr11-116688042-60
NR12903--MA0039.3.KLF4	chr11	116688045	116688055	-	0.000	0.000	Merged-chr11-116688042-60
NR63618--MA0599.1.KLF5	chr8	77376595	77376604	+	0.000	0.000	Merged-chr8-77376569-21
NR41161--MA0039.3.KLF4	chr3	84772128	84772138	-	0.000	0.000	Merged-chr3-84772067-31
NR29122--MA0493.1.Klf1	chr17	63405677	63405687	+	0.000	0.000	Merged-chr17-63405591-44
NR19423--MA0493.1.Klf1	chr14	12243814	12243824	+	0.000	0.000	Merged-chr14-12243878-61
NR17015--MA0493.1.Klf1	chr13	52800950	52800960	+	0.000	0.000	Merged-chr13-52800951-49
NR34339--MA0741.1.KLF16	chr19	60182325	60182335	+	0.000	0.000	Merged-chr19-60182316-4
NR29485--MA0493.1.Klf1	chr17	74865000	74865010	-	0.000	0.000	Merged-chr17-74864979-18
NR19776--MA0039.3.KLF4	chr14	32716955	32716965	+	0.000	0.000	Merged-chr14-32716978-71
NR50103--MA0493.1.Klf1	chr5	89045089	89045099	+	0.000	0.000	Merged-chr5-89044916-44
NR66510--MA0741.1.KLF16	chr9	55283731	55283741	+	0.000	0.000	Merged-chr9-55283833-16
NR46030--MA0741.1.KLF16	chr4	108371565	108371575	-	0.000	0.000	Merged-chr4-108371608-19
NR55333--MA0493.1.Klf1	chr6	108338393	108338403	-	0.000	0.000	Merged-chr6-108338556-41
NR29489--MA1107.1.KLF9	chr17	74865012	74865024	-	0.000	0.000	Merged-chr17-74864979-18
NR29484--MA0039.3.KLF4	chr17	74865012	74865022	-	0.000	0.000	Merged-chr17-74864979-18
NR34519--MA0599.1.KLF5	chr2	8871604	8871613	-	0.000	0.000	Merged-chr2-8871484-19
NR14033--MA0599.1.KLF5	chr12	52383120	52383129	-	0.000	0.000	Merged-chr12-52383146-23
NR15575--MA0599.1.KLF5	chr12	109446608	109446617	+	0.000	0.000	Merged-chr12-109446341-43
NR39058--MA0039.3.KLF4	chr2	163603908	163603918	+	0.000	0.000	Merged-chr2-163604093-28
NR60593--MA0741.1.KLF16	chr7	110796447	110796457	-	0.000	0.000	Merged-chr7-110796429-1
NR14043--MA0741.1.KLF16	chr12	52383145	52383155	-	0.000	0.000	Merged-chr12-52383146-23
NR65175--MA1107.1.KLF9	chr8	123163083	123163095	+	0.000	0.000	Merged-chr8-123163099-40
NR879--MA1107.1.KLF9	chr1	60017018	60017030	+	0.000	0.000	Merged-chr1-60017133-4
NR49448--MA0740.1.KLF14	chr5	53605579	53605592	-	0.000	0.000	Merged-chr5-53605625-25
NR53744--MA1107.1.KLF9	chr6	33683797	33683809	-	0.000	0.000	Merged-chr6-33683719-46
NR49564--MA0493.1.Klf1	chr5	64990218	64990228	-	0.000	0.000	Merged-chr5-64990076-28
NR68879--MA1107.1.KLF9	chr9	116243760	116243772	-	0.000	0.000	Merged-chr9-116243832-57
NR43579--MA0039.3.KLF4	chr3	148419632	148419642	-	0.000	0.000	Merged-chr3-148419698-33
NR35715--MA0039.3.KLF4	chr2	53051379	53051389	-	0.000	0.000	Merged-chr2-53051556-37
NR11452--MA1107.1.KLF9	chr11	90257459	90257471	+	0.000	0.000	Merged-chr11-90257307-51
NR14029--MA0599.1.KLF5	chr12	52383032	52383041	+	0.000	0.000	Merged-chr12-52383146-23
NR52632--MA0740.1.KLF14	chr5	141241508	141241521	-	0.000	0.000	Merged-chr5-141241462-54
NR65987--MA0599.1.KLF5	chr9	32740970	32740979	+	0.000	0.000	Merged-chr9-32741073-58
NR57232--MA0599.1.KLF5	chr6	146080242	146080251	+	0.000	0.000	Merged-chr6-146080250-19
NR29736--MA1107.1.KLF9	chr17	83158740	83158752	+	0.000	0.000	Merged-chr17-83158899-1
NR59948--MA1107.1.KLF9	chr7	92420557	92420569	-	0.000	0.000	Merged-chr7-92420666-38
NR14046--MA1107.1.KLF9	chr12	52383146	52383158	-	0.000	0.000	Merged-chr12-52383146-23
NR55827--MA0599.1.KLF5	chr6	120206738	120206747	+	0.000	0.000	Merged-chr6-120206801-39
NR13968--MA1107.1.KLF9	chr12	40536189	40536201	+	0.000	0.000	Merged-chr12-40536190-67
NR49449--MA0657.1.KLF13	chr5	53605576	53605593	-	0.000	0.000	Merged-chr5-53605625-25
NR35891--MA0493.1.Klf1	chr2	60375320	60375330	-	0.000	0.000	Merged-chr2-60375404-17
NR28682--MA1107.1.KLF9	chr17	47171165	47171177	-	0.000	0.000	Merged-chr17-47171280-54
NR38565--MA0740.1.KLF14	chr2	153292440	153292453	+	0.000	0.000	Merged-chr2-153292567-49
NR47999--MA0599.1.KLF5	chr4	150087352	150087361	-	0.000	0.000	Merged-chr4-150087480-81
NR45362--MA0493.1.Klf1	chr4	82755889	82755899	+	0.000	0.000	Merged-chr4-82755852-39
NR13553--MA0599.1.KLF5	chr12	17511204	17511213	+	0.000	0.000	Merged-chr12-17511273-48
NR67186--MA0741.1.KLF16	chr9	72660394	72660404	+	0.000	0.000	Merged-chr9-72660303-37
NR12668--MA1107.1.KLF9	chr11	113537055	113537067	+	0.000	0.000	Merged-chr11-113536889-33
NR50357--MA0741.1.KLF16	chr5	98167607	98167617	-	0.000	0.000	Merged-chr5-98167553-86
NR67836--MA0599.1.KLF5	chr9	92274696	92274705	-	0.000	0.000	Merged-chr9-92274591-56
NR34497--MA0742.1.Klf12	chr2	7254629	7254643	-	0.000	0.000	Merged-chr2-7254714-17
NR12902--MA0599.1.KLF5	chr11	116688053	116688062	-	0.000	0.000	Merged-chr11-116688042-60
NR57225--MA0742.1.Klf12	chr6	145992967	145992981	+	0.000	0.000	Merged-chr6-145993129-56
NR41160--MA0599.1.KLF5	chr3	84772130	84772139	-	0.000	0.000	Merged-chr3-84772067-31
NR16007--MA1107.1.KLF9	chr12	117553354	117553366	-	0.000	0.000	Merged-chr12-117553468-60
NR16849--MA0741.1.KLF16	chr13	45885146	45885156	+	0.000	0.000	Merged-chr13-45885080-29
NR60592--MA0599.1.KLF5	chr7	110796453	110796462	-	0.000	0.000	Merged-chr7-110796429-1
NR60215--MA1107.1.KLF9	chr7	100700068	100700080	-	0.000	0.000	Merged-chr7-100699955-31
NR25632--MA0039.3.KLF4	chr16	45261509	45261519	+	0.000	0.000	Merged-chr16-45261551-46
NR36211--MA1107.1.KLF9	chr2	72170844	72170856	-	0.000	0.000	Merged-chr2-72170854-84
NR8318--MA1107.1.KLF9	chr10	118633633	118633645	+	0.000	0.000	Merged-chr10-118633664-46
NR62740--MA0493.1.Klf1	chr8	34651918	34651928	-	0.000	0.000	Merged-chr8-34651925-47
NR36896--MA1107.1.KLF9	chr2	104172840	104172852	-	0.000	0.000	Merged-chr2-104172938-49
NR31439--MA0599.1.KLF5	chr18	67212685	67212694	+	0.000	0.000	Merged-chr18-67212775-57
NR53263--MA0599.1.KLF5	chr5	150840383	150840392	+	0.000	0.000	Merged-chr5-150840546-64
NR19775--MA0599.1.KLF5	chr14	32716954	32716963	+	0.000	0.000	Merged-chr14-32716978-71
NR45752--MA0741.1.KLF16	chr4	101217266	101217276	-	0.000	0.000	Merged-chr4-101217167-64
NR46028--MA0599.1.KLF5	chr4	108371566	108371575	-	0.000	0.000	Merged-chr4-108371608-19
NR21739--MA1107.1.KLF9	chr14	120313644	120313656	+	0.000	0.000	Merged-chr14-120313531-118
NR57245--MA0039.3.KLF4	chr6	146271369	146271379	+	0.000	0.000	Merged-chr6-146271470-40
NR874--MA0742.1.Klf12	chr1	60017018	60017032	+	0.000	0.000	Merged-chr1-60017133-4
NR5644--MA1107.1.KLF9	chr10	42699262	42699274	+	0.000	0.000	Merged-chr10-42699170-35
NR15817--MA0039.3.KLF4	chr12	112699402	112699412	+	0.000	0.000	Merged-chr12-112699364-12
NR29483--MA0599.1.KLF5	chr17	74865014	74865023	-	0.000	0.000	Merged-chr17-74864979-18
NR15747--MA0599.1.KLF5	chr12	111914281	111914290	-	0.000	0.000	Merged-chr12-111914227-24
NR64753--MA0741.1.KLF16	chr8	116645534	116645544	-	0.000	0.000	Merged-chr8-116645599-31
NR23419--MA0741.1.KLF16	chr15	80192525	80192535	+	0.000	0.000	Merged-chr15-80192413-58
NR45259--MA0039.3.KLF4	chr4	63636225	63636235	-	0.000	0.000	Merged-chr4-63636346-15
NR19617--MA0039.3.KLF4	chr14	25768329	25768339	+	0.000	0.000	Merged-chr14-25768243-1
NR67093--MA0740.1.KLF14	chr9	70484978	70484991	+	0.000	0.000	Merged-chr9-70485119-27
NR878--MA0741.1.KLF16	chr1	60017019	60017029	+	0.000	0.000	Merged-chr1-60017133-4
NR31165--MA0741.1.KLF16	chr18	60625570	60625580	-	0.000	0.000	Merged-chr18-60625535-13
NR43578--MA0599.1.KLF5	chr3	148419634	148419643	-	0.000	0.000	Merged-chr3-148419698-33
NR31449--MA0741.1.KLF16	chr18	67255713	67255723	-	0.000	0.000	Merged-chr18-67255745-40
