#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR30273--MA1107.1.KLF9	chr18	75247015	75247027	+	0.000	0.000	Merged-chr18-75247078-14
NR24052--MA0741.1.KLF16	chr16	24160876	24160886	+	0.000	0.000	Merged-chr16-24160756-32
NR50903--MA0740.1.KLF14	chr6	47621483	47621496	+	0.000	0.000	Merged-chr6-47621326-39
NR39285--MA1107.1.KLF9	chr3	100582913	100582925	-	0.000	0.000	Merged-chr3-100582913-18
NR60695--MA0039.3.KLF4	chr8	111355354	111355364	+	0.000	0.000	Merged-chr8-111355388-12
NR33879--MA0741.1.KLF16	chr2	59482659	59482669	+	0.000	0.000	Merged-chr2-59482840-22
NR62647--MA1107.1.KLF9	chr9	50512130	50512142	-	0.000	0.000	Merged-chr9-50512107-7
NR46023--MA0039.3.KLF4	chr5	28269731	28269741	-	0.000	0.000	Merged-chr5-28269924-54
NR4476--MA0599.1.KLF5	chr10	5448588	5448597	-	0.000	0.000	Merged-chr10-5448562-35
NR10781--MA1107.1.KLF9	chr11	90257463	90257475	+	0.000	0.000	Merged-chr11-90257307-51
NR33883--MA1107.1.KLF9	chr2	59513711	59513723	-	0.000	0.000	Merged-chr2-59513816-12
NR53917--MA1107.1.KLF9	chr6	146081156	146081168	-	0.000	0.000	Merged-chr6-146081045-99
NR60812--MA1107.1.KLF9	chr8	115136875	115136887	+	0.000	0.000	Merged-chr8-115136921-34
NR61472--MA1107.1.KLF9	chr8	125727532	125727544	-	0.000	0.000	Merged-chr8-125727602-12
NR16014--MA0741.1.KLF16	chr13	43789137	43789147	-	0.000	0.000	Merged-chr13-43789112-65
NR29415--MA0742.1.Klf12	chr18	44392721	44392735	-	0.000	0.000	Merged-chr18-44392575-22
NR59910--MA1107.1.KLF9	chr8	77268570	77268582	+	0.000	0.000	Merged-chr8-77268341-22
NR22037--MA0741.1.KLF16	chr15	80192530	80192540	+	0.000	0.000	Merged-chr15-80192413-58
NR42974--MA0741.1.KLF16	chr4	108371565	108371575	-	0.000	0.000	Merged-chr4-108371608-19
NR39957--MA1107.1.KLF9	chr3	121495132	121495144	-	0.000	0.000	Merged-chr3-121495033-1
NR7611--MA0493.1.Klf1	chr10	118766025	118766035	-	0.000	0.000	Merged-chr10-118766153-45
NR5418--MA0493.1.Klf1	chr10	61233349	61233359	+	0.000	0.000	Merged-chr10-61233317-40
NR50904--MA0599.1.KLF5	chr6	47621484	47621493	+	0.000	0.000	Merged-chr6-47621326-39
NR36687--MA0039.3.KLF4	chr2	163603908	163603918	+	0.000	0.000	Merged-chr2-163604093-28
NR65278--MA0599.1.KLF5	chr9	119453539	119453548	-	0.000	0.000	Merged-chr9-119453486-15
NR39093--MA1107.1.KLF9	chr3	95673114	95673126	+	0.000	0.000	Merged-chr3-95672932-76
NR7610--MA0039.3.KLF4	chr10	118766023	118766033	-	0.000	0.000	Merged-chr10-118766153-45
NR5417--MA0039.3.KLF4	chr10	61233351	61233361	+	0.000	0.000	Merged-chr10-61233317-40
NR12277--MA0493.1.Klf1	chr11	116688053	116688063	-	0.000	0.000	Merged-chr11-116688042-60
NR39514--MA1107.1.KLF9	chr3	104796607	104796619	+	0.000	0.000	Merged-chr3-104796663-34
NR59906--MA1107.1.KLF9	chr8	77268562	77268574	+	0.000	0.000	Merged-chr8-77268341-22
NR30272--MA0741.1.KLF16	chr18	75247016	75247026	+	0.000	0.000	Merged-chr18-75247078-14
NR37404--MA0740.1.KLF14	chr2	173449001	173449014	+	0.000	0.000	Merged-chr2-173448878-59
NR27416--MA1107.1.KLF9	chr17	47515653	47515665	+	0.000	0.000	Merged-chr17-47515680-12
NR12850--MA0493.1.Klf1	chr12	16136335	16136345	+	0.000	0.000	Merged-chr12-16136516-15
NR58974--MA0599.1.KLF5	chr8	34651918	34651927	-	0.000	0.000	Merged-chr8-34651925-47
NR42287--MA1107.1.KLF9	chr4	55343391	55343403	+	0.000	0.000	Merged-chr4-55343422-62
NR15592--MA0599.1.KLF5	chr13	24468070	24468079	-	0.000	0.000	Merged-chr13-24467982-34
NR29861--MA0599.1.KLF5	chr18	65322465	65322474	-	0.000	0.000	Merged-chr18-65322333-46
NR20870--MA0740.1.KLF14	chr15	25696039	25696052	-	0.000	0.000	Merged-chr15-25696018-37
NR13165--MA1107.1.KLF9	chr12	35770598	35770610	+	0.000	0.000	Merged-chr12-35770526-40
NR2203--MA0599.1.KLF5	chr1	136255439	136255448	-	0.000	0.000	Merged-chr1-136255292-47
NR28761--MA1107.1.KLF9	chr17	88480559	88480571	-	0.000	0.000	Merged-chr17-88480530-23
NR40877--MA0039.3.KLF4	chr3	146063219	146063229	-	0.000	0.000	Merged-chr3-146063322-20
NR25611--MA0741.1.KLF16	chr17	5138646	5138656	-	0.000	0.000	Merged-chr17-5138884-51
NR5364--MA1107.1.KLF9	chr10	60225620	60225632	+	0.000	0.000	Merged-chr10-60225461-7
NR17936--MA0039.3.KLF4	chr13	112809921	112809931	+	0.000	0.000	Merged-chr13-112809842-36
NR31731--MA1107.1.KLF9	chr19	40821548	40821560	+	0.000	0.000	Merged-chr19-40821418-1
NR15590--MA0741.1.KLF16	chr13	24467828	24467838	+	0.000	0.000	Merged-chr13-24467982-34
NR15591--MA1107.1.KLF9	chr13	24467827	24467839	+	0.000	0.000	Merged-chr13-24467982-34
NR11470--MA0599.1.KLF5	chr11	102222087	102222096	-	0.000	0.000	Merged-chr11-102222181-3
NR20053--MA0742.1.Klf12	chr14	101504726	101504740	+	0.000	0.000	Merged-chr14-101504867-40
NR55944--MA0741.1.KLF16	chr7	68205950	68205960	-	0.000	0.000	Merged-chr7-68206033-25
NR53819--MA0039.3.KLF4	chr6	144890402	144890412	+	0.000	0.000	Merged-chr6-144890317-11
NR62426--MA0741.1.KLF16	chr9	42423876	42423886	+	0.000	0.000	Merged-chr9-42423784-11
NR52677--MA0599.1.KLF5	chr6	121110180	121110189	-	0.000	0.000	Merged-chr6-121110104-77
NR11988--MA0039.3.KLF4	chr11	113174317	113174327	-	0.000	0.000	Merged-chr11-113174221-33
NR51346--MA0741.1.KLF16	chr6	61271206	61271216	+	0.000	0.000	Merged-chr6-61271177-5
NR38722--MA0657.1.KLF13	chr3	86961184	86961201	-	0.000	0.000	Merged-chr3-86961231-31
NR37405--MA0657.1.KLF13	chr2	173449000	173449017	+	0.000	0.000	Merged-chr2-173448878-59
NR19518--MA0741.1.KLF16	chr14	68078501	68078511	+	0.000	0.000	Merged-chr14-68078565-20
NR38693--MA0039.3.KLF4	chr3	84809205	84809215	+	0.000	0.000	Merged-chr3-84809112-18
NR3759--MA0599.1.KLF5	chr1	182100596	182100605	+	0.000	0.000	Merged-chr1-182100503-13
NR29968--MA1107.1.KLF9	chr18	67255881	67255893	-	0.000	0.000	Merged-chr18-67255745-40
NR61831--MA0039.3.KLF4	chr9	20610050	20610060	+	0.000	0.000	Merged-chr9-20609876-14
NR30277--MA0741.1.KLF16	chr18	75322573	75322583	-	0.000	0.000	Merged-chr18-75322404-42
NR54185--MA0493.1.Klf1	chr7	4948750	4948760	-	0.000	0.000	Merged-chr7-4948568-26
NR47234--MA0741.1.KLF16	chr5	92967507	92967517	+	0.000	0.000	Merged-chr5-92967427-8
NR42109--MA0742.1.Klf12	chr4	46411760	46411774	-	0.000	0.000	Merged-chr4-46411765-13
NR64868--MA0039.3.KLF4	chr9	114613220	114613230	-	0.000	0.000	Merged-chr9-114613191-38
NR14718--MA0599.1.KLF5	chr12	109445244	109445253	+	0.000	0.000	Merged-chr12-109445419-17
NR19736--MA0741.1.KLF16	chr14	75820047	75820057	-	0.000	0.000	Merged-chr14-75819905-19
NR1815--MA0741.1.KLF16	chr1	127322325	127322335	-	0.000	0.000	Merged-chr1-127322582-29
NR54512--MA0493.1.Klf1	chr7	18925383	18925393	-	0.000	0.000	Merged-chr7-18925390-20
NR4176--MA0039.3.KLF4	chr1	191152613	191152623	-	0.000	0.000	Merged-chr1-191152485-1
NR58880--MA0741.1.KLF16	chr8	27201025	27201035	+	0.000	0.000	Merged-chr8-27201067-26
NR42110--MA0599.1.KLF5	chr4	46411764	46411773	-	0.000	0.000	Merged-chr4-46411765-13
NR35460--MA1107.1.KLF9	chr2	128392471	128392483	+	0.000	0.000	Merged-chr2-128392502-21
NR157--MA0741.1.KLF16	chr1	20740725	20740735	-	0.000	0.000	Merged-chr1-20740658-39
NR44826--MA1107.1.KLF9	chr4	144906817	144906829	-	0.000	0.000	Merged-chr4-144906777-28
NR44694--MA0741.1.KLF16	chr4	141296034	141296044	+	0.000	0.000	Merged-chr4-141296105-4
NR4997--MA0599.1.KLF5	chr10	40713392	40713401	+	0.000	0.000	Merged-chr10-40713251-44
NR43345--MA0740.1.KLF14	chr4	120288020	120288033	+	0.000	0.000	Merged-chr4-120287807-68
NR61663--MA0599.1.KLF5	chr8	128433381	128433390	+	0.000	0.000	Merged-chr8-128433570-8
NR2768--MA0657.1.KLF13	chr1	157020050	157020067	+	0.000	0.000	Merged-chr1-157020072-9
NR24104--MA0599.1.KLF5	chr16	24834895	24834904	+	0.000	0.000	Merged-chr16-24834930-16
NR48827--MA0039.3.KLF4	chr5	129192021	129192031	+	0.000	0.000	Merged-chr5-129191899-21
NR50295--MA0039.3.KLF4	chr5	149647680	149647690	+	0.000	0.000	Merged-chr5-149647772-15
NR33804--MA0039.3.KLF4	chr2	53067448	53067458	-	0.000	0.000	Merged-chr2-53067376-9
NR5715--MA0493.1.Klf1	chr10	71399679	71399689	+	0.000	0.000	Merged-chr10-71399794-69
NR26605--MA1107.1.KLF9	chr17	29193443	29193455	+	0.000	0.000	Merged-chr17-29193494-23
NR11273--MA1107.1.KLF9	chr11	99132667	99132679	-	0.000	0.000	Merged-chr11-99132520-18
NR61662--MA1107.1.KLF9	chr8	128421100	128421112	-	0.000	0.000	Merged-chr8-128420826-46
NR64033--MA0599.1.KLF5	chr9	92274696	92274705	-	0.000	0.000	Merged-chr9-92274591-56
NR54629--MA0493.1.Klf1	chr7	19819226	19819236	-	0.000	0.000	Merged-chr7-19819165-4
NR3835--MA0741.1.KLF16	chr1	183180652	183180662	-	0.000	0.000	Merged-chr1-183180587-56
NR58666--MA0493.1.Klf1	chr8	15018751	15018761	+	0.000	0.000	Merged-chr8-15018606-116
NR34054--MA0599.1.KLF5	chr2	68289276	68289285	-	0.000	0.000	Merged-chr2-68289327-28
NR40946--MA1107.1.KLF9	chr3	148488426	148488438	+	0.000	0.000	Merged-chr3-148488399-75
NR49692--MA0740.1.KLF14	chr5	141241508	141241521	-	0.000	0.000	Merged-chr5-141241462-54
NR47239--MA0741.1.KLF16	chr5	92967512	92967522	+	0.000	0.000	Merged-chr5-92967427-8
NR61471--MA0741.1.KLF16	chr8	125727533	125727543	-	0.000	0.000	Merged-chr8-125727602-12
NR43223--MA0599.1.KLF5	chr4	118060378	118060387	+	0.000	0.000	Merged-chr4-118060227-12
NR53911--MA0740.1.KLF14	chr6	145992967	145992980	+	0.000	0.000	Merged-chr6-145993129-56
NR5416--MA0599.1.KLF5	chr10	61233350	61233359	+	0.000	0.000	Merged-chr10-61233317-40
NR62636--MA1107.1.KLF9	chr9	50512108	50512120	-	0.000	0.000	Merged-chr9-50512107-7
NR23801--MA0039.3.KLF4	chr16	14380126	14380136	-	0.000	0.000	Merged-chr16-14380008-54
NR62421--MA1107.1.KLF9	chr9	42423816	42423828	+	0.000	0.000	Merged-chr9-42423784-11
NR159--MA1107.1.KLF9	chr1	20825296	20825308	+	0.000	0.000	Merged-chr1-20825313-33
NR10726--MA0493.1.Klf1	chr11	88864589	88864599	+	0.000	0.000	Merged-chr11-88864546-48
NR22035--MA0741.1.KLF16	chr15	80192528	80192538	+	0.000	0.000	Merged-chr15-80192413-58
NR20052--MA0740.1.KLF14	chr14	101504726	101504739	+	0.000	0.000	Merged-chr14-101504867-40
NR33057--MA0039.3.KLF4	chr2	27187613	27187623	-	0.000	0.000	Merged-chr2-27187639-44
NR1848--MA1107.1.KLF9	chr1	127796437	127796449	-	0.000	0.000	Merged-chr1-127796546-56
NR13262--MA0599.1.KLF5	chr12	52383032	52383041	+	0.000	0.000	Merged-chr12-52383146-23
NR14526--MA0493.1.Klf1	chr12	106016401	106016411	-	0.000	0.000	Merged-chr12-106016418-37
NR38082--MA0493.1.Klf1	chr3	37157148	37157158	+	0.000	0.000	Merged-chr3-37157248-37
NR54682--MA0039.3.KLF4	chr7	24481811	24481821	+	0.000	0.000	Merged-chr7-24481860-36
NR19131--MA0741.1.KLF16	chr14	54165074	54165084	-	0.000	0.000	Merged-chr14-54165125-24
NR5089--MA0740.1.KLF14	chr10	42887288	42887301	-	0.000	0.000	Merged-chr10-42887187-18
NR33878--MA0599.1.KLF5	chr2	59482659	59482668	+	0.000	0.000	Merged-chr2-59482840-22
NR19868--MA0493.1.Klf1	chr14	79591337	79591347	-	0.000	0.000	Merged-chr14-79591332-25
NR53163--MA1107.1.KLF9	chr6	134184204	134184216	+	0.000	0.000	Merged-chr6-134184108-53
NR51352--MA0741.1.KLF16	chr6	61271212	61271222	+	0.000	0.000	Merged-chr6-61271177-5
NR53818--MA0599.1.KLF5	chr6	144890401	144890410	+	0.000	0.000	Merged-chr6-144890317-11
NR48355--MA0599.1.KLF5	chr5	118817873	118817882	-	0.000	0.000	Merged-chr5-118817732-16
NR28169--MA0599.1.KLF5	chr17	74865014	74865023	-	0.000	0.000	Merged-chr17-74864979-18
NR34067--MA1107.1.KLF9	chr2	69125439	69125451	-	0.000	0.000	Merged-chr2-69125568-4
NR46027--MA0493.1.Klf1	chr5	28269892	28269902	-	0.000	0.000	Merged-chr5-28269924-54
NR35064--MA0599.1.KLF5	chr2	117418841	117418850	-	0.000	0.000	Merged-chr2-117418760-26
NR28602--MA1107.1.KLF9	chr17	86184965	86184977	-	0.000	0.000	Merged-chr17-86185009-23
NR34062--MA0039.3.KLF4	chr2	69125445	69125455	-	0.000	0.000	Merged-chr2-69125568-4
NR11987--MA0599.1.KLF5	chr11	113174290	113174299	+	0.000	0.000	Merged-chr11-113174221-33
NR54365--MA1107.1.KLF9	chr7	16001849	16001861	-	0.000	0.000	Merged-chr7-16001989-41
NR33882--MA0493.1.Klf1	chr2	59513713	59513723	-	0.000	0.000	Merged-chr2-59513816-12
NR53912--MA0657.1.KLF13	chr6	145992966	145992983	+	0.000	0.000	Merged-chr6-145993129-56
NR28173--MA0493.1.Klf1	chr17	74865014	74865024	-	0.000	0.000	Merged-chr17-74864979-18
NR27161--MA0741.1.KLF16	chr17	36982672	36982682	+	0.000	0.000	Merged-chr17-36982659-16
NR416--MA0599.1.KLF5	chr1	38723992	38724001	+	0.000	0.000	Merged-chr1-38723833-22
NR12279--MA1107.1.KLF9	chr11	116688045	116688057	-	0.000	0.000	Merged-chr11-116688042-60
NR13346--MA0039.3.KLF4	chr12	55357492	55357502	-	0.000	0.000	Merged-chr12-55357452-12
NR12274--MA0039.3.KLF4	chr11	116688045	116688055	-	0.000	0.000	Merged-chr11-116688042-60
NR47360--MA0657.1.KLF13	chr5	99495557	99495574	+	0.000	0.000	Merged-chr5-99495568-41
NR48190--MA0741.1.KLF16	chr5	115711885	115711895	-	0.000	0.000	Merged-chr5-115711698-1,Merged-chr5-115712054-77
NR55684--MA0493.1.Klf1	chr7	55890160	55890170	+	0.000	0.000	Merged-chr7-55890160-26
NR53872--MA0599.1.KLF5	chr6	145256893	145256902	+	0.000	0.000	Merged-chr6-145256997-16
NR8269--MA1107.1.KLF9	chr10	128940594	128940606	-	0.000	0.000	Merged-chr10-128940717-41
NR45116--MA0741.1.KLF16	chr4	149896412	149896422	-	0.000	0.000	Merged-chr4-149896301-4
NR51344--MA0741.1.KLF16	chr6	61271204	61271214	+	0.000	0.000	Merged-chr6-61271177-5
NR29961--MA1107.1.KLF9	chr18	67212684	67212696	+	0.000	0.000	Merged-chr18-67212775-57
NR2537--MA0599.1.KLF5	chr1	152084815	152084824	-	0.000	0.000	Merged-chr1-152084822-56
NR60991--MA0599.1.KLF5	chr8	119569920	119569929	-	0.000	0.000	Merged-chr8-119570093-35
NR18926--MA1107.1.KLF9	chr14	47740786	47740798	+	0.000	0.000	Merged-chr14-47740703-52
NR51124--MA0599.1.KLF5	chr6	51287895	51287904	-	0.000	0.000	Merged-chr6-51287938-60
NR17324--MA0657.1.KLF13	chr13	99781076	99781093	-	0.000	0.000	Merged-chr13-99781144-21
NR4367--MA0493.1.Klf1	chr1	193365983	193365993	-	0.000	0.000	Merged-chr1-193366026-12
NR42286--MA0493.1.Klf1	chr4	55343393	55343403	+	0.000	0.000	Merged-chr4-55343422-62
NR67134--MA0599.1.KLF5	chrY	1116319	1116328	-	0.000	0.000	Merged-chrY-1116441-17
NR58965--MA0741.1.KLF16	chr8	34398001	34398011	+	0.000	0.000	Merged-chr8-34397971-66
NR59915--MA0740.1.KLF14	chr8	77376621	77376634	+	0.000	0.000	Merged-chr8-77376569-21
NR47139--MA0039.3.KLF4	chr5	89045091	89045101	+	0.000	0.000	Merged-chr5-89044916-44
NR44820--MA0599.1.KLF5	chr4	144898352	144898361	+	0.000	0.000	Merged-chr4-144898190-46
NR32126--MA0493.1.Klf1	chr19	53760526	53760536	-	0.000	0.000	Merged-chr19-53760542-10
NR31730--MA0493.1.Klf1	chr19	40821548	40821558	+	0.000	0.000	Merged-chr19-40821418-1
NR44690--MA0657.1.KLF13	chr4	141296032	141296049	+	0.000	0.000	Merged-chr4-141296105-4
NR48826--MA0599.1.KLF5	chr5	129192020	129192029	+	0.000	0.000	Merged-chr5-129191899-21
NR42505--MA1107.1.KLF9	chr4	71291515	71291527	-	0.000	0.000	Merged-chr4-71291736-94
NR5922--MA1107.1.KLF9	chr10	78115178	78115190	-	0.000	0.000	Merged-chr10-78115092-14
NR34332--MA1107.1.KLF9	chr2	76421442	76421454	-	0.000	0.000	Merged-chr2-76421582-29
NR50294--MA0599.1.KLF5	chr5	149647679	149647688	+	0.000	0.000	Merged-chr5-149647772-15
NR19809--MA0742.1.Klf12	chr14	78559268	78559282	-	0.000	0.000	Merged-chr14-78559223-28
NR1810--MA0599.1.KLF5	chr1	127322312	127322321	+	0.000	0.000	Merged-chr1-127322582-29
NR25249--MA0493.1.Klf1	chr16	93552856	93552866	+	0.000	0.000	Merged-chr16-93552984-42
NR45140--MA0599.1.KLF5	chr4	150087365	150087374	-	0.000	0.000	Merged-chr4-150087480-81
NR5367--MA1107.1.KLF9	chr10	60225626	60225638	+	0.000	0.000	Merged-chr10-60225461-7
NR1813--MA0741.1.KLF16	chr1	127322312	127322322	+	0.000	0.000	Merged-chr1-127322582-29
NR54630--MA1107.1.KLF9	chr7	19819224	19819236	-	0.000	0.000	Merged-chr7-19819165-4
NR19282--MA1107.1.KLF9	chr14	59553387	59553399	-	0.000	0.000	Merged-chr14-59553394-22
NR11454--MA1107.1.KLF9	chr11	102074472	102074484	+	0.000	0.000	Merged-chr11-102074455-23
NR53331--MA0599.1.KLF5	chr6	137491893	137491902	-	0.000	0.000	Merged-chr6-137492060-50
NR54187--MA1107.1.KLF9	chr7	4948748	4948760	-	0.000	0.000	Merged-chr7-4948568-26
NR33802--MA1107.1.KLF9	chr2	53051381	53051393	-	0.000	0.000	Merged-chr2-53051556-37
NR46627--MA0039.3.KLF4	chr5	64040800	64040810	+	0.000	0.000	Merged-chr5-64040859-39
NR39956--MA0741.1.KLF16	chr3	121495133	121495143	-	0.000	0.000	Merged-chr3-121495033-1
NR7737--MA0741.1.KLF16	chr10	121382683	121382693	-	0.000	0.000	Merged-chr10-121382753-17
NR47320--MA0599.1.KLF5	chr5	96878936	96878945	+	0.000	0.000	Merged-chr5-96879087-37
NR28550--MA0493.1.Klf1	chr17	84944342	84944352	-	0.000	0.000	Merged-chr17-84944510-25
NR4622--MA1107.1.KLF9	chr10	13446829	13446841	-	0.000	0.000	Merged-chr10-13446841-15
NR29724--MA0039.3.KLF4	chr18	60625569	60625579	-	0.000	0.000	Merged-chr18-60625535-13
NR19815--MA1107.1.KLF9	chr14	78559252	78559264	-	0.000	0.000	Merged-chr14-78559223-28
NR1577--MA0493.1.Klf1	chr1	105565262	105565272	+	0.000	0.000	Merged-chr1-105565114-33
NR5024--MA0741.1.KLF16	chr10	41620111	41620121	-	0.000	0.000	Merged-chr10-41620205-22
NR5927--MA1107.1.KLF9	chr10	78115188	78115200	-	0.000	0.000	Merged-chr10-78115092-14
NR32575--MA0742.1.Klf12	chr2	7254629	7254643	-	0.000	0.000	Merged-chr2-7254714-17
NR51349--MA0741.1.KLF16	chr6	61271209	61271219	+	0.000	0.000	Merged-chr6-61271177-5
NR4995--MA0599.1.KLF5	chr10	40683314	40683323	-	0.000	0.000	Merged-chr10-40683346-22
NR45117--MA1107.1.KLF9	chr4	149896411	149896423	-	0.000	0.000	Merged-chr4-149896301-4
NR39483--MA0599.1.KLF5	chr3	104616373	104616382	-	0.000	0.000	Merged-chr3-104616358-38
NR52222--MA0039.3.KLF4	chr6	108482669	108482679	-	0.000	0.000	Merged-chr6-108482601-32
NR30267--MA0741.1.KLF16	chr18	75210434	75210444	+	0.000	0.000	Merged-chr18-75210545-14
NR13164--MA0741.1.KLF16	chr12	35770599	35770609	+	0.000	0.000	Merged-chr12-35770526-40
NR38723--MA0742.1.Klf12	chr3	86961186	86961200	-	0.000	0.000	Merged-chr3-86961231-31
NR24102--MA0599.1.KLF5	chr16	24834885	24834894	+	0.000	0.000	Merged-chr16-24834930-16
NR24050--MA0740.1.KLF14	chr16	24160873	24160886	+	0.000	0.000	Merged-chr16-24160756-32
NR47543--MA1107.1.KLF9	chr5	103917213	103917225	-	0.000	0.000	Merged-chr5-103917325-19
NR25625--MA1107.1.KLF9	chr17	5748070	5748082	-	0.000	0.000	Merged-chr17-5748141-46
NR4627--MA1107.1.KLF9	chr10	13446839	13446851	-	0.000	0.000	Merged-chr10-13446841-15
NR29955--MA0742.1.Klf12	chr18	67212684	67212698	+	0.000	0.000	Merged-chr18-67212775-57
NR6906--MA0493.1.Klf1	chr10	96690999	96691009	-	0.000	0.000	Merged-chr10-96691005-66
NR57126--MA1107.1.KLF9	chr7	117406358	117406370	-	0.000	0.000	Merged-chr7-117406595-16
NR14731--MA0741.1.KLF16	chr12	109446608	109446618	+	0.000	0.000	Merged-chr12-109446341-43
NR63467--MA0741.1.KLF16	chr9	72660394	72660404	+	0.000	0.000	Merged-chr9-72660303-37
NR54686--MA0741.1.KLF16	chr7	24482003	24482013	-	0.000	0.000	Merged-chr7-24481860-36
NR54957--MA0741.1.KLF16	chr7	28423306	28423316	+	0.000	0.000	Merged-chr7-28423189-12
NR13261--MA0742.1.Klf12	chr12	52383031	52383045	+	0.000	0.000	Merged-chr12-52383146-23
NR5842--MA0039.3.KLF4	chr10	77367011	77367021	+	0.000	0.000	Merged-chr10-77367193-51
NR29959--MA0741.1.KLF16	chr18	67212685	67212695	+	0.000	0.000	Merged-chr18-67212775-57
NR37407--MA0599.1.KLF5	chr2	173449002	173449011	+	0.000	0.000	Merged-chr2-173448878-59
NR13345--MA0599.1.KLF5	chr12	55357494	55357503	-	0.000	0.000	Merged-chr12-55357452-12
NR12273--MA0599.1.KLF5	chr11	116688053	116688062	-	0.000	0.000	Merged-chr11-116688042-60
NR62643--MA1107.1.KLF9	chr9	50512122	50512134	-	0.000	0.000	Merged-chr9-50512107-7
