#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR2031--MA0035.3.Gata1	chr13	95697071	95697081	+	0.000	0.000	Merged-chr13-95697036-46
NR2376--MA1104.1.GATA6	chr14	78687946	78687958	-	0.000	0.000	Merged-chr14-78687892-42
NR2638--MA0766.1.GATA5	chr15	82906893	82906900	+	0.000	0.000	Merged-chr15-82906941-10
NR1755--MA0036.3.GATA2	chr12	118255860	118255870	-	0.000	0.000	Merged-chr12-118255780-45
NR1794--MA0140.2.GATA1::TAL1	chr13	13559105	13559122	+	0.000	0.000	Merged-chr13-13559096-31
NR7297--MA1104.1.GATA6	chr9	63785708	63785720	-	0.000	0.000	Merged-chr9-63785726-16
NR3066--MA1104.1.GATA6	chr17	12165546	12165558	-	0.000	0.000	Merged-chr17-12165459-54
NR4112--MA0036.3.GATA2	chr2	102812792	102812802	-	0.000	0.000	Merged-chr2-102812992-26
NR1625--MA0036.3.GATA2	chr12	98247086	98247096	+	0.000	0.000	Merged-chr12-98247130-40
NR1221--MA0766.1.GATA5	chr11	83550291	83550298	-	0.000	0.000	Merged-chr11-83550444-44
NR1421--MA0035.3.Gata1	chr12	25394412	25394422	+	0.000	0.000	Merged-chr12-25394494-23
NR6176--MA0766.1.GATA5	chr6	130102978	130102985	-	0.000	0.000	Merged-chr6-130103023-31
NR2739--MA0766.1.GATA5	chr15	103154445	103154452	-	0.000	0.000	Merged-chr15-103154383-18
NR6504--MA0035.3.Gata1	chr7	90007379	90007389	-	0.000	0.000	Merged-chr7-90007418-46
NR118--MA0766.1.GATA5	chr1	74201346	74201353	-	0.000	0.000	Merged-chr1-74201398-63
NR5750--MA0482.1.Gata4	chr5	134326495	134326505	+	0.000	0.000	Merged-chr5-134326402-39
NR2618--MA1104.1.GATA6	chr15	78835266	78835278	+	0.000	0.000	Merged-chr15-78835387-37
NR6179--MA0036.3.GATA2	chr6	130136665	130136675	+	0.000	0.000	Merged-chr6-130136655-31
NR6190--MA0482.1.Gata4	chr6	130419322	130419332	+	0.000	0.000	Merged-chr6-130419325-26
NR2552--MA0037.3.GATA3	chr15	52570471	52570478	-	0.000	0.000	Merged-chr15-52570490-21
NR4245--MA1104.1.GATA6	chr2	127923471	127923483	-	0.000	0.000	Merged-chr2-127923410-36
NR4117--MA0036.3.GATA2	chr2	102852290	102852300	-	0.000	0.000	Merged-chr2-102852175-26
NR2527--MA0482.1.Gata4	chr15	31440061	31440071	+	0.000	0.000	Merged-chr15-31440136-19
NR5031--MA0037.3.GATA3	chr4	43973613	43973620	-	0.000	0.000	Merged-chr4-43973629-28
NR2636--MA0482.1.Gata4	chr15	82906890	82906900	-	0.000	0.000	Merged-chr15-82906941-10
NR1163--MA0036.3.GATA2	chr11	63148509	63148519	+	0.000	0.000	Merged-chr11-63148506-21
NR7563--MA0036.3.GATA2	chr9	123931829	123931839	+	0.000	0.000	Merged-chr9-123931993-21
NR5797--MA0766.1.GATA5	chr5	148397628	148397635	-	0.000	0.000	Merged-chr5-148397526-5
NR2639--MA0035.3.Gata1	chr15	82906891	82906901	-	0.000	0.000	Merged-chr15-82906941-10
NR4971--MA0140.2.GATA1::TAL1	chr4	4790327	4790344	-	0.000	0.000	Merged-chr4-4790293-30
NR3735--MA0766.1.GATA5	chr19	46613397	46613404	-	0.000	0.000	Merged-chr19-46613309-39
NR76--MA0037.3.GATA3	chr1	62829840	62829847	+	0.000	0.000	Merged-chr1-62829921-36
NR6191--MA1104.1.GATA6	chr6	130419320	130419332	-	0.000	0.000	Merged-chr6-130419325-26
NR2374--MA0037.3.GATA3	chr14	78687948	78687955	-	0.000	0.000	Merged-chr14-78687892-42
NR6177--MA0035.3.Gata1	chr6	130102977	130102987	+	0.000	0.000	Merged-chr6-130103023-31
NR4319--MA0036.3.GATA2	chr2	146416548	146416558	+	0.000	0.000	Merged-chr2-146416561-24
NR5844--MA0140.2.GATA1::TAL1	chr6	38810230	38810247	-	0.000	0.000	Merged-chr6-38810070-95
NR1766--MA0036.3.GATA2	chr12	118439072	118439082	-	0.000	0.000	Merged-chr12-118439012-3
NR119--MA0035.3.Gata1	chr1	74201345	74201355	+	0.000	0.000	Merged-chr1-74201398-63
NR3064--MA0037.3.GATA3	chr17	12165548	12165555	-	0.000	0.000	Merged-chr17-12165459-54
NR7179--MA0140.2.GATA1::TAL1	chr9	33060979	33060996	-	0.000	0.000	Merged-chr9-33060885-64
NR5833--MA0036.3.GATA2	chr6	33051809	33051819	-	0.000	0.000	Merged-chr6-33051908-11
NR1136--MA0766.1.GATA5	chr11	57952915	57952922	+	0.000	0.000	Merged-chr11-57952769-40
NR7415--MA0140.2.GATA1::TAL1	chr9	96740897	96740914	+	0.000	0.000	Merged-chr9-96740764-95
NR5652--MA0482.1.Gata4	chr5	105192811	105192821	+	0.000	0.000	Merged-chr5-105192735-25
NR3818--MA0036.3.GATA2	chr2	9688418	9688428	-	0.000	0.000	Merged-chr2-9688295-16
NR1944--MA0482.1.Gata4	chr13	74490194	74490204	+	0.000	0.000	Merged-chr13-74490220-4
NR4243--MA0037.3.GATA3	chr2	127923473	127923480	-	0.000	0.000	Merged-chr2-127923410-36
NR5798--MA0035.3.Gata1	chr5	148397627	148397637	+	0.000	0.000	Merged-chr5-148397526-5
NR2738--MA0037.3.GATA3	chr15	103154445	103154452	-	0.000	0.000	Merged-chr15-103154383-18
NR4853--MA0766.1.GATA5	chr3	138334462	138334469	+	0.000	0.000	Merged-chr3-138334424-50
NR1304--MA0482.1.Gata4	chr11	101661873	101661883	-	0.000	0.000	Merged-chr11-101661964-4
NR5848--MA0766.1.GATA5	chr6	39284046	39284053	+	0.000	0.000	Merged-chr6-39284001-16
NR6993--MA0036.3.GATA2	chr8	111955417	111955427	+	0.000	0.000	Merged-chr8-111955328-48
NR2772--MA0766.1.GATA5	chr16	20144776	20144783	+	0.000	0.000	Merged-chr16-20144854-9
NR6964--MA0035.3.Gata1	chr8	94969658	94969668	+	0.000	0.000	Merged-chr8-94969690-1
NR6500--MA0037.3.GATA3	chr7	90007381	90007388	+	0.000	0.000	Merged-chr7-90007418-46
NR5033--MA0766.1.GATA5	chr4	43973613	43973620	-	0.000	0.000	Merged-chr4-43973629-28
NR7412--MA0482.1.Gata4	chr9	95836024	95836034	+	0.000	0.000	Merged-chr9-95835913-33
NR1753--MA0482.1.Gata4	chr12	118255859	118255869	-	0.000	0.000	Merged-chr12-118255780-45
NR924--MA0766.1.GATA5	chr10	117861197	117861204	-	0.000	0.000	Merged-chr10-117861044-50
NR2167--MA0037.3.GATA3	chr13	113580117	113580124	+	0.000	0.000	Merged-chr13-113580257-62
NR5653--MA1104.1.GATA6	chr5	105192809	105192821	-	0.000	0.000	Merged-chr5-105192735-25
NR7011--MA0482.1.Gata4	chr8	114879813	114879823	-	0.000	0.000	Merged-chr8-114879936-19
NR1495--MA0482.1.Gata4	chr12	70078944	70078954	-	0.000	0.000	Merged-chr12-70078875-55
NR1945--MA1104.1.GATA6	chr13	74490192	74490204	-	0.000	0.000	Merged-chr13-74490220-4
NR1418--MA0482.1.Gata4	chr12	25394413	25394423	+	0.000	0.000	Merged-chr12-25394494-23
NR4981--MA0482.1.Gata4	chr4	10940868	10940878	-	0.000	0.000	Merged-chr4-10940994-39
NR3345--MA0766.1.GATA5	chr18	13016561	13016568	-	0.000	0.000	Merged-chr18-13016580-10
NR1137--MA0035.3.Gata1	chr11	57952913	57952923	-	0.000	0.000	Merged-chr11-57952769-40
NR3858--MA0036.3.GATA2	chr2	19628497	19628507	+	0.000	0.000	Merged-chr2-19628399-27
NR3069--MA0035.3.Gata1	chr17	12165547	12165557	+	0.000	0.000	Merged-chr17-12165459-54
NR7066--MA0766.1.GATA5	chr8	122712103	122712110	-	0.000	0.000	Merged-chr8-122712057-14
NR5129--MA0035.3.Gata1	chr4	88875959	88875969	-	0.000	0.000	Merged-chr4-88875849-45
NR1498--MA0035.3.Gata1	chr12	70078945	70078955	-	0.000	0.000	Merged-chr12-70078875-55
NR5291--MA0482.1.Gata4	chr4	145263888	145263898	-	0.000	0.000	Merged-chr4-145263821-10
NR1305--MA1104.1.GATA6	chr11	101661873	101661885	+	0.000	0.000	Merged-chr11-101661964-4
NR2635--MA0037.3.GATA3	chr15	82906893	82906900	+	0.000	0.000	Merged-chr15-82906941-10
NR5846--MA0482.1.Gata4	chr6	39284043	39284053	-	0.000	0.000	Merged-chr6-39284001-16
NR7045--MA0766.1.GATA5	chr8	117278454	117278461	-	0.000	0.000	Merged-chr8-117278352-17
NR3199--MA0036.3.GATA2	chr17	50136228	50136238	+	0.000	0.000	Merged-chr17-50136209-46
NR4854--MA0035.3.Gata1	chr3	138334460	138334470	-	0.000	0.000	Merged-chr3-138334424-50
NR2735--MA0766.1.GATA5	chr15	101388145	101388152	-	0.000	0.000	Merged-chr15-101388154-52
NR3688--MA0036.3.GATA2	chr19	31321987	31321997	-	0.000	0.000	Merged-chr19-31321995-11
NR5849--MA0035.3.Gata1	chr6	39284044	39284054	-	0.000	0.000	Merged-chr6-39284001-16
NR7413--MA1104.1.GATA6	chr9	95836022	95836034	-	0.000	0.000	Merged-chr9-95835913-33
NR2773--MA0035.3.Gata1	chr16	20144774	20144784	-	0.000	0.000	Merged-chr16-20144854-9
NR3188--MA0766.1.GATA5	chr17	47564806	47564813	-	0.000	0.000	Merged-chr17-47564757-20
NR1754--MA1104.1.GATA6	chr12	118255859	118255871	+	0.000	0.000	Merged-chr12-118255780-45
NR1161--MA0482.1.Gata4	chr11	63148510	63148520	+	0.000	0.000	Merged-chr11-63148506-21
NR6393--MA0036.3.GATA2	chr7	47113494	47113504	-	0.000	0.000	Merged-chr7-47113657-15
NR7012--MA1104.1.GATA6	chr8	114879813	114879825	+	0.000	0.000	Merged-chr8-114879936-19
NR1496--MA1104.1.GATA6	chr12	70078944	70078956	+	0.000	0.000	Merged-chr12-70078875-55
NR1624--MA1104.1.GATA6	chr12	98247085	98247097	-	0.000	0.000	Merged-chr12-98247130-40
NR707--MA0035.3.Gata1	chr10	54092218	54092228	+	0.000	0.000	Merged-chr10-54092203-26
NR1419--MA1104.1.GATA6	chr12	25394411	25394423	-	0.000	0.000	Merged-chr12-25394494-23
NR4982--MA1104.1.GATA6	chr4	10940868	10940880	+	0.000	0.000	Merged-chr4-10940994-39
NR1164--MA0035.3.Gata1	chr11	63148509	63148519	+	0.000	0.000	Merged-chr11-63148506-21
NR925--MA0035.3.Gata1	chr10	117861196	117861206	+	0.000	0.000	Merged-chr10-117861044-50
NR5292--MA1104.1.GATA6	chr4	145263888	145263900	+	0.000	0.000	Merged-chr4-145263821-10
NR6595--MA0035.3.Gata1	chr7	112136762	112136772	+	0.000	0.000	Merged-chr7-112136797-13
NR3970--MA0766.1.GATA5	chr2	60845543	60845550	+	0.000	0.000	Merged-chr2-60845573-40
NR5668--MA0482.1.Gata4	chr5	107648992	107649002	+	0.000	0.000	Merged-chr5-107649073-49
NR7067--MA0035.3.Gata1	chr8	122712102	122712112	+	0.000	0.000	Merged-chr8-122712057-14
NR4713--MA0766.1.GATA5	chr3	115729287	115729294	-	0.000	0.000	Merged-chr3-115729400-55
NR6194--MA0035.3.Gata1	chr6	130419321	130419331	+	0.000	0.000	Merged-chr6-130419325-26
NR5794--MA0037.3.GATA3	chr5	148397628	148397635	-	0.000	0.000	Merged-chr5-148397526-5
NR5651--MA0037.3.GATA3	chr5	105192811	105192818	-	0.000	0.000	Merged-chr5-105192735-25
NR526--MA0482.1.Gata4	chr1	181951071	181951081	+	0.000	0.000	Merged-chr1-181951117-29
NR1943--MA0037.3.GATA3	chr13	74490194	74490201	-	0.000	0.000	Merged-chr13-74490220-4
NR1162--MA1104.1.GATA6	chr11	63148508	63148520	-	0.000	0.000	Merged-chr11-63148506-21
NR3186--MA0482.1.Gata4	chr17	47564806	47564816	+	0.000	0.000	Merged-chr17-47564757-20
NR6637--MA0766.1.GATA5	chr7	114616936	114616943	+	0.000	0.000	Merged-chr7-114616980-17
NR1303--MA0037.3.GATA3	chr11	101661876	101661883	+	0.000	0.000	Merged-chr11-101661964-4
NR2377--MA0036.3.GATA2	chr14	78687947	78687957	+	0.000	0.000	Merged-chr14-78687892-42
NR2064--MA0035.3.Gata1	chr13	101702250	101702260	-	0.000	0.000	Merged-chr13-101702260-81
NR1851--MA0140.2.GATA1::TAL1	chr13	33071971	33071988	-	0.000	0.000	Merged-chr13-33072044-31
NR2528--MA0766.1.GATA5	chr15	31440061	31440068	-	0.000	0.000	Merged-chr15-31440136-19
NR1422--MA0140.2.GATA1::TAL1	chr12	25394603	25394620	-	0.000	0.000	Merged-chr12-25394494-23
NR4190--MA0482.1.Gata4	chr2	117374271	117374281	+	0.000	0.000	Merged-chr2-117374468-47
NR1752--MA0037.3.GATA3	chr12	118255862	118255869	+	0.000	0.000	Merged-chr12-118255780-45
NR4193--MA0035.3.Gata1	chr2	117374270	117374280	+	0.000	0.000	Merged-chr2-117374468-47
NR6991--MA0482.1.Gata4	chr8	111955418	111955428	+	0.000	0.000	Merged-chr8-111955328-48
NR7296--MA0037.3.GATA3	chr9	63785710	63785717	-	0.000	0.000	Merged-chr9-63785726-16
NR2616--MA0766.1.GATA5	chr15	78495178	78495185	+	0.000	0.000	Merged-chr15-78495177-43
NR527--MA1104.1.GATA6	chr1	181951069	181951081	-	0.000	0.000	Merged-chr1-181951117-29
NR7010--MA0037.3.GATA3	chr8	114879816	114879823	+	0.000	0.000	Merged-chr8-114879936-19
NR3968--MA0037.3.GATA3	chr2	60845543	60845550	+	0.000	0.000	Merged-chr2-60845573-40
NR3187--MA1104.1.GATA6	chr17	47564804	47564816	-	0.000	0.000	Merged-chr17-47564757-20
NR4976--MA0482.1.Gata4	chr4	10770161	10770171	-	0.000	0.000	Merged-chr4-10770192-53
NR2619--MA0036.3.GATA2	chr15	78835267	78835277	-	0.000	0.000	Merged-chr15-78835387-37
NR2062--MA1104.1.GATA6	chr13	101702249	101702261	+	0.000	0.000	Merged-chr13-101702260-81
NR4246--MA0036.3.GATA2	chr2	127923472	127923482	+	0.000	0.000	Merged-chr2-127923410-36
NR4113--MA0766.1.GATA5	chr2	102812794	102812801	+	0.000	0.000	Merged-chr2-102812992-26
NR5290--MA0037.3.GATA3	chr4	145263891	145263898	+	0.000	0.000	Merged-chr4-145263821-10
NR4846--MA0482.1.Gata4	chr3	138334346	138334356	+	0.000	0.000	Merged-chr3-138334424-50
NR5845--MA0037.3.GATA3	chr6	39284046	39284053	+	0.000	0.000	Merged-chr6-39284001-16
NR3820--MA0035.3.Gata1	chr2	9688418	9688428	-	0.000	0.000	Merged-chr2-9688295-16
NR2494--MA0482.1.Gata4	chr14	123015952	123015962	+	0.000	0.000	Merged-chr14-123015903-11
NR2555--MA0766.1.GATA5	chr15	52570471	52570478	-	0.000	0.000	Merged-chr15-52570490-21
NR6189--MA0037.3.GATA3	chr6	130419322	130419329	-	0.000	0.000	Merged-chr6-130419325-26
NR1420--MA0036.3.GATA2	chr12	25394412	25394422	+	0.000	0.000	Merged-chr12-25394494-23
NR4191--MA1104.1.GATA6	chr2	117374269	117374281	-	0.000	0.000	Merged-chr2-117374468-47
NR6638--MA0035.3.Gata1	chr7	114616934	114616944	-	0.000	0.000	Merged-chr7-114616980-17
NR7016--MA0140.2.GATA1::TAL1	chr8	114879805	114879822	-	0.000	0.000	Merged-chr8-114879936-19
NR2497--MA0035.3.Gata1	chr14	123015951	123015961	+	0.000	0.000	Merged-chr14-123015903-11
NR5850--MA0482.1.Gata4	chr6	41141089	41141099	+	0.000	0.000	Merged-chr6-41141136-19
NR6992--MA1104.1.GATA6	chr8	111955416	111955428	-	0.000	0.000	Merged-chr8-111955328-48
NR4712--MA0037.3.GATA3	chr3	115729287	115729294	-	0.000	0.000	Merged-chr3-115729400-55
NR6501--MA1104.1.GATA6	chr7	90007378	90007390	+	0.000	0.000	Merged-chr7-90007418-46
NR6778--MA0766.1.GATA5	chr7	140207133	140207140	-	0.000	0.000	Merged-chr7-140207191-19
NR3344--MA0036.3.GATA2	chr18	13016560	13016570	+	0.000	0.000	Merged-chr18-13016580-10
NR5853--MA0035.3.Gata1	chr6	41141088	41141098	+	0.000	0.000	Merged-chr6-41141136-19
NR4977--MA1104.1.GATA6	chr4	10770161	10770173	+	0.000	0.000	Merged-chr4-10770192-53
NR6192--MA0036.3.GATA2	chr6	130419321	130419331	+	0.000	0.000	Merged-chr6-130419325-26
NR3825--MA0035.3.Gata1	chr2	11617066	11617076	+	0.000	0.000	Merged-chr2-11617013-39
NR6173--MA0482.1.Gata4	chr6	130102978	130102988	+	0.000	0.000	Merged-chr6-130103023-31
NR4847--MA1104.1.GATA6	chr3	138334344	138334356	-	0.000	0.000	Merged-chr3-138334424-50
NR4800--MA0037.3.GATA3	chr3	135590667	135590674	+	0.000	0.000	Merged-chr3-135590750-10
NR7564--MA0766.1.GATA5	chr9	123931830	123931837	-	0.000	0.000	Merged-chr9-123931993-21
NR115--MA0482.1.Gata4	chr1	74201346	74201356	+	0.000	0.000	Merged-chr1-74201398-63
NR6391--MA0482.1.Gata4	chr7	47113493	47113503	-	0.000	0.000	Merged-chr7-47113657-15
NR4777--MA0482.1.Gata4	chr3	132886775	132886785	+	0.000	0.000	Merged-chr3-132886809-16
NR7530--MA0766.1.GATA5	chr9	118059237	118059244	-	0.000	0.000	Merged-chr9-118059304-13
NR687--MA0140.2.GATA1::TAL1	chr10	41978595	41978612	+	0.000	0.000	Merged-chr10-41978788-45
NR1757--MA0035.3.Gata1	chr12	118255860	118255870	-	0.000	0.000	Merged-chr12-118255780-45
NR2495--MA1104.1.GATA6	chr14	123015950	123015962	-	0.000	0.000	Merged-chr14-123015903-11
NR5858--MA0035.3.Gata1	chr6	41163688	41163698	-	0.000	0.000	Merged-chr6-41163628-13
NR1627--MA0035.3.Gata1	chr12	98247086	98247096	+	0.000	0.000	Merged-chr12-98247130-40
NR5851--MA1104.1.GATA6	chr6	41141087	41141099	-	0.000	0.000	Merged-chr6-41141136-19
NR3185--MA0037.3.GATA3	chr17	47564806	47564813	-	0.000	0.000	Merged-chr17-47564757-20
NR3896--MA0482.1.Gata4	chr2	31082841	31082851	-	0.000	0.000	Merged-chr2-31082849-41
NR3634--MA0035.3.Gata1	chr19	14668654	14668664	-	0.000	0.000	Merged-chr19-14668781-26
NR6186--MA0766.1.GATA5	chr6	130312045	130312052	-	0.000	0.000	Merged-chr6-130312055-26
NR1767--MA0766.1.GATA5	chr12	118439074	118439081	+	0.000	0.000	Merged-chr12-118439012-3
NR2615--MA0037.3.GATA3	chr15	78495178	78495185	+	0.000	0.000	Merged-chr15-78495177-43
NR16--MA0140.2.GATA1::TAL1	chr1	21870765	21870782	+	0.000	0.000	Merged-chr1-21870806-15
NR6174--MA1104.1.GATA6	chr6	130102976	130102988	-	0.000	0.000	Merged-chr6-130103023-31
NR2239--MA0766.1.GATA5	chr14	23475556	23475563	-	0.000	0.000	Merged-chr14-23475735-25
NR116--MA1104.1.GATA6	chr1	74201344	74201356	-	0.000	0.000	Merged-chr1-74201398-63
NR6392--MA1104.1.GATA6	chr7	47113493	47113505	+	0.000	0.000	Merged-chr7-47113657-15
NR4778--MA1104.1.GATA6	chr3	132886773	132886785	-	0.000	0.000	Merged-chr3-132886809-16
NR5834--MA0766.1.GATA5	chr6	33051811	33051818	+	0.000	0.000	Merged-chr6-33051908-11
NR7562--MA0482.1.Gata4	chr9	123931830	123931840	+	0.000	0.000	Merged-chr9-123931993-21
NR5856--MA1104.1.GATA6	chr6	41163687	41163699	+	0.000	0.000	Merged-chr6-41163628-13
NR7613--MA0036.3.GATA2	chrX	77640426	77640436	+	0.000	0.000	Merged-chrX-77640531-25
NR4108--MA0482.1.Gata4	chr2	102812791	102812801	-	0.000	0.000	Merged-chr2-102812992-26
NR7300--MA0035.3.Gata1	chr9	63785709	63785719	+	0.000	0.000	Merged-chr9-63785726-16
NR3819--MA0766.1.GATA5	chr2	9688420	9688427	+	0.000	0.000	Merged-chr2-9688295-16
NR2027--MA0482.1.Gata4	chr13	95697072	95697082	+	0.000	0.000	Merged-chr13-95697036-46
NR7565--MA0035.3.Gata1	chr9	123931829	123931839	+	0.000	0.000	Merged-chr9-123931993-21
NR3509--MA0035.3.Gata1	chr18	73765131	73765141	+	0.000	0.000	Merged-chr18-73765273-28
NR4975--MA0037.3.GATA3	chr4	10770164	10770171	+	0.000	0.000	Merged-chr4-10770192-53
NR3897--MA1104.1.GATA6	chr2	31082841	31082853	+	0.000	0.000	Merged-chr2-31082849-41
NR5654--MA0036.3.GATA2	chr5	105192810	105192820	+	0.000	0.000	Merged-chr5-105192735-25
NR1165--MA0140.2.GATA1::TAL1	chr11	63148511	63148528	+	0.000	0.000	Merged-chr11-63148506-21
NR5136--MA0035.3.Gata1	chr4	89400518	89400528	-	0.000	0.000	Merged-chr4-89400416-12
NR1946--MA0036.3.GATA2	chr13	74490193	74490203	+	0.000	0.000	Merged-chr13-74490220-4
NR1133--MA0482.1.Gata4	chr11	57952912	57952922	-	0.000	0.000	Merged-chr11-57952769-40
NR5795--MA1104.1.GATA6	chr5	148397626	148397638	-	0.000	0.000	Merged-chr5-148397526-5
NR7414--MA0035.3.Gata1	chr9	95836023	95836033	+	0.000	0.000	Merged-chr9-95835913-33
NR6963--MA0036.3.GATA2	chr8	94969658	94969668	+	0.000	0.000	Merged-chr8-94969690-1
NR1306--MA0036.3.GATA2	chr11	101661874	101661884	-	0.000	0.000	Merged-chr11-101661964-4
NR77--MA0766.1.GATA5	chr1	62829840	62829847	+	0.000	0.000	Merged-chr1-62829921-36
NR1768--MA0035.3.Gata1	chr12	118439072	118439082	-	0.000	0.000	Merged-chr12-118439012-3
NR4850--MA0482.1.Gata4	chr3	138334459	138334469	-	0.000	0.000	Merged-chr3-138334424-50
NR4109--MA1104.1.GATA6	chr2	102812791	102812803	+	0.000	0.000	Merged-chr2-102812992-26
NR5832--MA0482.1.Gata4	chr6	33051808	33051818	-	0.000	0.000	Merged-chr6-33051908-11
NR2028--MA1104.1.GATA6	chr13	95697070	95697082	-	0.000	0.000	Merged-chr13-95697036-46
NR5134--MA1104.1.GATA6	chr4	89400517	89400529	+	0.000	0.000	Merged-chr4-89400416-12
NR3817--MA0482.1.Gata4	chr2	9688417	9688427	-	0.000	0.000	Merged-chr2-9688295-16
NR3859--MA0766.1.GATA5	chr2	19628498	19628505	-	0.000	0.000	Merged-chr2-19628399-27
NR4816--MA0037.3.GATA3	chr3	136742960	136742967	-	0.000	0.000	Merged-chr3-136742959-57
NR5434--MA0035.3.Gata1	chr5	29901929	29901939	+	0.000	0.000	Merged-chr5-29901920-39
NR7013--MA0036.3.GATA2	chr8	114879814	114879824	-	0.000	0.000	Merged-chr8-114879936-19
NR2769--MA0037.3.GATA3	chr16	20144776	20144783	+	0.000	0.000	Merged-chr16-20144854-9
NR5128--MA0036.3.GATA2	chr4	88875959	88875969	-	0.000	0.000	Merged-chr4-88875849-45
NR1497--MA0036.3.GATA2	chr12	70078945	70078955	-	0.000	0.000	Merged-chr12-70078875-55
