#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR4872--MA0523.1.TCF7L2	chr2	32181552	32181565	-	0.000	0.000	Merged-chr2-32181600-13
NR7339--MA0769.1.Tcf7	chr5	100929944	100929955	-	0.000	0.000	Merged-chr5-100929891-31
NR2393--MA0523.1.TCF7L2	chr13	73760318	73760331	+	0.000	0.000	Merged-chr13-73760332-14
NR7658--MA1421.1.TCF7L1	chr6	55256723	55256734	-	0.000	0.000	Merged-chr6-55256807-22
NR8547--MA1421.1.TCF7L1	chr7	129774360	129774371	+	0.000	0.000	Merged-chr7-129774380-36
NR3680--MA1421.1.TCF7L1	chr16	35781247	35781258	-	0.000	0.000	Merged-chr16-35781109-15
NR6814--MA0523.1.TCF7L2	chr4	140601320	140601333	+	0.000	0.000	Merged-chr4-140601329-15
NR6093--MA0769.1.Tcf7	chr3	131190859	131190870	-	0.000	0.000	Merged-chr3-131190965-19
NR3137--MA0769.1.Tcf7	chr14	120373007	120373018	-	0.000	0.000	Merged-chr14-120372978-21
NR6872--MA0769.1.Tcf7	chr4	149854387	149854398	-	0.000	0.000	Merged-chr4-149854542-67
NR2750--MA0523.1.TCF7L2	chr14	15273331	15273344	-	0.000	0.000	Merged-chr14-15273135-43
NR5959--MA0523.1.TCF7L2	chr3	100582931	100582944	-	0.000	0.000	Merged-chr3-100582913-18
NR9126--MA0769.1.Tcf7	chr9	61720239	61720250	+	0.000	0.000	Merged-chr9-61720309-20
NR6198--MA0523.1.TCF7L2	chr3	146127535	146127548	+	0.000	0.000	Merged-chr3-146127552-12
NR2527--MA0523.1.TCF7L2	chr13	100806006	100806019	-	0.000	0.000	Merged-chr13-100805989-18
NR5245--MA0523.1.TCF7L2	chr2	118008229	118008242	+	0.000	0.000	Merged-chr2-118008176-29
NR5246--MA0769.1.Tcf7	chr2	118008229	118008240	+	0.000	0.000	Merged-chr2-118008176-29
NR5174--MA1421.1.TCF7L1	chr2	103668301	103668312	-	0.000	0.000	Merged-chr2-103668249-32
NR4412--MA0769.1.Tcf7	chr18	55107226	55107237	-	0.000	0.000	Merged-chr18-55107186-34
NR5954--MA0769.1.Tcf7	chr3	97274117	97274128	+	0.000	0.000	Merged-chr3-97274158-19
NR3136--MA0523.1.TCF7L2	chr14	120373005	120373018	-	0.000	0.000	Merged-chr14-120372978-21
NR784--MA0523.1.TCF7L2	chr10	6954707	6954720	-	0.000	0.000	Merged-chr10-6954726-16
NR6347--MA1421.1.TCF7L1	chr4	11143326	11143337	+	0.000	0.000	Merged-chr4-11143309-7
NR9304--MA0523.1.TCF7L2	chr9	107719347	107719360	-	0.000	0.000	Merged-chr9-107719377-27
NR8946--MA1421.1.TCF7L1	chr8	123404748	123404759	-	0.000	0.000	Merged-chr8-123404693-24
NR6816--MA0769.1.Tcf7	chr4	140601357	140601368	-	0.000	0.000	Merged-chr4-140601329-15
NR3763--MA0523.1.TCF7L2	chr16	57319958	57319971	+	0.000	0.000	Merged-chr16-57319907-20
NR5952--MA1421.1.TCF7L1	chr3	97274117	97274128	+	0.000	0.000	Merged-chr3-97274158-19
NR6744--MA0523.1.TCF7L2	chr4	109854843	109854856	-	0.000	0.000	Merged-chr4-109854829-14
NR5771--MA1421.1.TCF7L1	chr3	55660081	55660092	+	0.000	0.000	Merged-chr3-55660012-44
NR3157--MA0523.1.TCF7L2	chr14	122902341	122902354	-	0.000	0.000	Merged-chr14-122902262-49
NR6069--MA0769.1.Tcf7	chr3	126589697	126589708	+	0.000	0.000	Merged-chr3-126589665-27
NR2680--MA0523.1.TCF7L2	chr14	8608659	8608672	+	0.000	0.000	Merged-chr14-8608793-20
NR3593--MA1421.1.TCF7L1	chr16	8455243	8455254	+	0.000	0.000	Merged-chr16-8455328-28
NR6081--MA0523.1.TCF7L2	chr3	129545375	129545388	-	0.000	0.000	Merged-chr3-129545403-15
NR1869--MA0769.1.Tcf7	chr12	41168055	41168066	+	0.000	0.000	Merged-chr12-41167989-46
NR933--MA1421.1.TCF7L1	chr10	30627893	30627904	-	0.000	0.000	Merged-chr10-30627801-15
NR597--MA1421.1.TCF7L1	chr1	156901812	156901823	+	0.000	0.000	Merged-chr1-156901975-24
NR2516--MA1421.1.TCF7L1	chr13	97439971	97439982	+	0.000	0.000	Merged-chr13-97439792-27
NR3158--MA0769.1.Tcf7	chr14	122902343	122902354	-	0.000	0.000	Merged-chr14-122902262-49
NR2457--MA0523.1.TCF7L2	chr13	83566289	83566302	-	0.000	0.000	Merged-chr13-83566220-57
NR7391--MA0523.1.TCF7L2	chr5	119348498	119348511	+	0.000	0.000	Merged-chr5-119348448-39
NR3514--MA0523.1.TCF7L2	chr15	95826801	95826814	-	0.000	0.000	Merged-chr15-95826706-34
NR5123--MA0769.1.Tcf7	chr2	84837996	84838007	-	0.000	0.000	Merged-chr2-84838147-43
NR6776--MA1421.1.TCF7L1	chr4	123416330	123416341	-	0.000	0.000	Merged-chr4-123416422-1
NR7904--MA0523.1.TCF7L2	chr6	114445243	114445256	+	0.000	0.000	Merged-chr6-114445139-32
NR7833--MA1421.1.TCF7L1	chr6	99172218	99172229	-	0.000	0.000	Merged-chr6-99172218-38
NR6428--MA0769.1.Tcf7	chr4	32560452	32560463	-	0.000	0.000	Merged-chr4-32560610-21
NR905--MA0523.1.TCF7L2	chr10	25387444	25387457	-	0.000	0.000	Merged-chr10-25387454-21
NR8948--MA0769.1.Tcf7	chr8	123404748	123404759	-	0.000	0.000	Merged-chr8-123404693-24
NR9268--MA0769.1.Tcf7	chr9	96696538	96696549	-	0.000	0.000	Merged-chr9-96696442-50
NR8796--MA0523.1.TCF7L2	chr8	70160264	70160277	-	0.000	0.000	Merged-chr8-70160118-32
NR3152--MA0523.1.TCF7L2	chr14	122026057	122026070	+	0.000	0.000	Merged-chr14-122026050-14
NR4741--MA0769.1.Tcf7	chr2	6622363	6622374	-	0.000	0.000	Merged-chr2-6622331-33
NR7542--MA0523.1.TCF7L2	chr6	22374950	22374963	+	0.000	0.000	Merged-chr6-22374941-5
NR5459--MA0523.1.TCF7L2	chr2	165854713	165854726	+	0.000	0.000	Merged-chr2-165854688-17
NR3066--MA0523.1.TCF7L2	chr14	103095261	103095274	-	0.000	0.000	Merged-chr14-103095256-6
NR1018--MA0523.1.TCF7L2	chr10	50650806	50650819	-	0.000	0.000	Merged-chr10-50650757-16
NR1248--MA0769.1.Tcf7	chr10	96955143	96955154	+	0.000	0.000	Merged-chr10-96955164-15
NR7361--MA0523.1.TCF7L2	chr5	107148504	107148517	-	0.000	0.000	Merged-chr5-107148487-19
NR4557--MA0523.1.TCF7L2	chr18	79297906	79297919	+	0.000	0.000	Merged-chr18-79298014-36
NR8610--MA1421.1.TCF7L1	chr8	9972022	9972033	-	0.000	0.000	Merged-chr8-9972076-6
NR8947--MA0523.1.TCF7L2	chr8	123404746	123404759	-	0.000	0.000	Merged-chr8-123404693-24
NR7474--MA0769.1.Tcf7	chr5	149459345	149459356	+	0.000	0.000	Merged-chr5-149459249-24
NR1607--MA0523.1.TCF7L2	chr11	70265486	70265499	-	0.000	0.000	Merged-chr11-70265494-15
NR8126--MA0523.1.TCF7L2	chr7	12987582	12987595	-	0.000	0.000	Merged-chr7-12987633-12
NR6071--MA0769.1.Tcf7	chr3	126589727	126589738	+	0.000	0.000	Merged-chr3-126589665-27
NR588--MA1421.1.TCF7L1	chr1	156522228	156522239	+	0.000	0.000	Merged-chr1-156522298-40
NR5772--MA0523.1.TCF7L2	chr3	55660069	55660082	+	0.000	0.000	Merged-chr3-55660012-44
NR3520--MA1421.1.TCF7L1	chr15	96319733	96319744	-	0.000	0.000	Merged-chr15-96319572-16
NR6068--MA0523.1.TCF7L2	chr3	126589697	126589710	+	0.000	0.000	Merged-chr3-126589665-27
NR5774--MA0769.1.Tcf7	chr3	55660069	55660080	+	0.000	0.000	Merged-chr3-55660012-44
NR9013--MA1421.1.TCF7L1	chr9	14548118	14548129	+	0.000	0.000	Merged-chr9-14548192-17
NR2267--MA0523.1.TCF7L2	chr13	34914826	34914839	-	0.000	0.000	Merged-chr13-34914852-26
NR1752--MA0523.1.TCF7L2	chr12	8859323	8859336	-	0.000	0.000	Merged-chr12-8859142-27
NR6055--MA0523.1.TCF7L2	chr3	123084117	123084130	-	0.000	0.000	Merged-chr3-123084162-14
NR562--MA1421.1.TCF7L1	chr1	151167679	151167690	-	0.000	0.000	Merged-chr1-151167792-22
NR9266--MA1421.1.TCF7L1	chr9	96696538	96696549	-	0.000	0.000	Merged-chr9-96696442-50
NR3760--MA1421.1.TCF7L1	chr16	57177489	57177500	+	0.000	0.000	Merged-chr16-57177558-14
NR2751--MA0769.1.Tcf7	chr14	15273333	15273344	-	0.000	0.000	Merged-chr14-15273135-43
NR4031--MA0769.1.Tcf7	chr17	34305139	34305150	-	0.000	0.000	Merged-chr17-34305077-21
NR4384--MA0523.1.TCF7L2	chr18	49721796	49721809	+	0.000	0.000	Merged-chr18-49721855-41
NR1821--MA0523.1.TCF7L2	chr12	32999924	32999937	-	0.000	0.000	Merged-chr12-32999849-21
NR4358--MA0769.1.Tcf7	chr18	42585879	42585890	+	0.000	0.000	Merged-chr18-42585822-14
NR9015--MA0769.1.Tcf7	chr9	14548118	14548129	+	0.000	0.000	Merged-chr9-14548192-17
NR7013--MA0523.1.TCF7L2	chr5	20087381	20087394	-	0.000	0.000	Merged-chr5-20087381-40
NR45--MA0523.1.TCF7L2	chr1	13311988	13312001	-	0.000	0.000	Merged-chr1-13311989-20
NR667--MA0769.1.Tcf7	chr1	172197225	172197236	-	0.000	0.000	Merged-chr1-172197316-25
NR3761--MA0769.1.Tcf7	chr16	57177489	57177500	+	0.000	0.000	Merged-chr16-57177558-14
NR9396--MA0523.1.TCF7L2	chrX	52679288	52679301	-	0.000	0.000	Merged-chrX-52679336-26
NR3748--MA0769.1.Tcf7	chr16	51718807	51718818	+	0.000	0.000	Merged-chr16-51718909-24
NR6196--MA0523.1.TCF7L2	chr3	146004828	146004841	+	0.000	0.000	Merged-chr3-146004832-23
NR278--MA1421.1.TCF7L1	chr1	82443948	82443959	+	0.000	0.000	Merged-chr1-82443829-28
NR2327--MA0769.1.Tcf7	chr13	52702319	52702330	-	0.000	0.000	Merged-chr13-52702318-14
NR5037--MA0769.1.Tcf7	chr2	68932466	68932477	-	0.000	0.000	Merged-chr2-68932401-28
NR3343--MA1421.1.TCF7L1	chr15	50836769	50836780	+	0.000	0.000	Merged-chr15-50836811-19
NR4737--MA0523.1.TCF7L2	chr2	6622257	6622270	-	0.000	0.000	Merged-chr2-6622331-33
NR3681--MA0769.1.Tcf7	chr16	35781247	35781258	-	0.000	0.000	Merged-chr16-35781109-15
NR3726--MA1421.1.TCF7L1	chr16	48745642	48745653	-	0.000	0.000	Merged-chr16-48745701-29
NR8696--MA0523.1.TCF7L2	chr8	34817928	34817941	-	0.000	0.000	Merged-chr8-34817852-8
NR6181--MA0769.1.Tcf7	chr3	144232070	144232081	-	0.000	0.000	Merged-chr3-144232172-58
NR589--MA0523.1.TCF7L2	chr1	156522228	156522241	+	0.000	0.000	Merged-chr1-156522298-40
NR8549--MA0769.1.Tcf7	chr7	129774360	129774371	+	0.000	0.000	Merged-chr7-129774380-36
NR8317--MA1421.1.TCF7L1	chr7	67353793	67353804	+	0.000	0.000	Merged-chr7-67353683-35
NR7320--MA1421.1.TCF7L1	chr5	97090319	97090330	+	0.000	0.000	Merged-chr5-97090318-20
NR3473--MA0523.1.TCF7L2	chr15	85042790	85042803	-	0.000	0.000	Merged-chr15-85042702-72
NR8697--MA0769.1.Tcf7	chr8	34817930	34817941	-	0.000	0.000	Merged-chr8-34817852-8
NR3747--MA1421.1.TCF7L1	chr16	51718807	51718818	+	0.000	0.000	Merged-chr16-51718909-24
NR3059--MA1421.1.TCF7L1	chr14	103017271	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR5165--MA0523.1.TCF7L2	chr2	102044477	102044490	+	0.000	0.000	Merged-chr2-102044515-18
NR1700--MA0523.1.TCF7L2	chr11	113206356	113206369	+	0.000	0.000	Merged-chr11-113206318-17
NR5960--MA0523.1.TCF7L2	chr3	101066413	101066426	-	0.000	0.000	Merged-chr3-101066330-34
NR8868--MA0523.1.TCF7L2	chr8	94428014	94428027	+	0.000	0.000	Merged-chr8-94428208-16
NR4427--MA0523.1.TCF7L2	chr18	57362757	57362770	-	0.000	0.000	Merged-chr18-57362721-19
NR6460--MA0769.1.Tcf7	chr4	44159998	44160009	+	0.000	0.000	Merged-chr4-44160050-19
NR4739--MA1421.1.TCF7L1	chr2	6622363	6622374	-	0.000	0.000	Merged-chr2-6622331-33
NR1699--MA0523.1.TCF7L2	chr11	113206337	113206350	+	0.000	0.000	Merged-chr11-113206318-17
NR8085--MA0769.1.Tcf7	chr6	143172362	143172373	-	0.000	0.000	Merged-chr6-143172280-21
NR7322--MA0769.1.Tcf7	chr5	97090319	97090330	+	0.000	0.000	Merged-chr5-97090318-20
NR9262--MA0523.1.TCF7L2	chr9	94945765	94945778	+	0.000	0.000	Merged-chr9-94945890-45
NR6349--MA0769.1.Tcf7	chr4	11143326	11143337	+	0.000	0.000	Merged-chr4-11143309-7
NR8869--MA0769.1.Tcf7	chr8	94428014	94428025	+	0.000	0.000	Merged-chr8-94428208-16
NR1139--MA1421.1.TCF7L1	chr10	75417738	75417749	-	0.000	0.000	Merged-chr10-75417748-37
NR9125--MA0523.1.TCF7L2	chr9	61720239	61720252	+	0.000	0.000	Merged-chr9-61720309-20
NR6022--MA1421.1.TCF7L1	chr3	116374667	116374678	+	0.000	0.000	Merged-chr3-116374678-28
NR7014--MA0769.1.Tcf7	chr5	20087383	20087394	-	0.000	0.000	Merged-chr5-20087381-40
NR3344--MA0769.1.Tcf7	chr15	50836769	50836780	+	0.000	0.000	Merged-chr15-50836811-19
NR7390--MA0769.1.Tcf7	chr5	118678779	118678790	-	0.000	0.000	Merged-chr5-118678760-15
NR4871--MA1421.1.TCF7L1	chr2	32181554	32181565	-	0.000	0.000	Merged-chr2-32181600-13
NR286--MA0769.1.Tcf7	chr1	82974090	82974101	+	0.000	0.000	Merged-chr1-82974163-36
NR3595--MA0769.1.Tcf7	chr16	8455243	8455254	+	0.000	0.000	Merged-chr16-8455328-28
NR1608--MA0769.1.Tcf7	chr11	70265488	70265499	-	0.000	0.000	Merged-chr11-70265494-15
NR3062--MA1421.1.TCF7L1	chr14	103017331	103017342	+	0.000	0.000	Merged-chr14-103017290-44
NR2326--MA0523.1.TCF7L2	chr13	52702317	52702330	-	0.000	0.000	Merged-chr13-52702318-14
NR6070--MA0523.1.TCF7L2	chr3	126589727	126589740	+	0.000	0.000	Merged-chr3-126589665-27
NR7834--MA0769.1.Tcf7	chr6	99172255	99172266	-	0.000	0.000	Merged-chr6-99172218-38
NR1462--MA0523.1.TCF7L2	chr11	11498084	11498097	-	0.000	0.000	Merged-chr11-11498094-24
NR1989--MA0769.1.Tcf7	chr12	83929662	83929673	+	0.000	0.000	Merged-chr12-83929616-29
NR8378--MA0769.1.Tcf7	chr7	79190893	79190904	+	0.000	0.000	Merged-chr7-79190820-25
NR46--MA0769.1.Tcf7	chr1	13311990	13312001	-	0.000	0.000	Merged-chr1-13311989-20
NR7389--MA0523.1.TCF7L2	chr5	118678777	118678790	-	0.000	0.000	Merged-chr5-118678760-15
NR5122--MA0769.1.Tcf7	chr2	84837928	84837939	+	0.000	0.000	Merged-chr2-84838147-43
NR8611--MA0769.1.Tcf7	chr8	9972022	9972033	-	0.000	0.000	Merged-chr8-9972076-6
NR4029--MA1421.1.TCF7L1	chr17	34305139	34305150	-	0.000	0.000	Merged-chr17-34305077-21
NR7338--MA0523.1.TCF7L2	chr5	100929942	100929955	-	0.000	0.000	Merged-chr5-100929891-31
NR7473--MA1421.1.TCF7L1	chr5	149459345	149459356	+	0.000	0.000	Merged-chr5-149459249-24
NR6197--MA1421.1.TCF7L1	chr3	146127483	146127494	+	0.000	0.000	Merged-chr3-146127552-12
NR1130--MA0769.1.Tcf7	chr10	71362094	71362105	-	0.000	0.000	Merged-chr10-71362071-33
NR5499--MA0523.1.TCF7L2	chr2	173444378	173444391	+	0.000	0.000	Merged-chr2-173444560-32
NR1866--MA0523.1.TCF7L2	chr12	41167987	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR7952--MA0523.1.TCF7L2	chr6	125260060	125260073	+	0.000	0.000	Merged-chr6-125260143-17
NR1704--MA0769.1.Tcf7	chr11	113786155	113786166	-	0.000	0.000	Merged-chr11-113786064-7
NR1247--MA0523.1.TCF7L2	chr10	96955143	96955156	+	0.000	0.000	Merged-chr10-96955164-15
NR3135--MA1421.1.TCF7L1	chr14	120373007	120373018	-	0.000	0.000	Merged-chr14-120372978-21
NR5469--MA0523.1.TCF7L2	chr2	168575213	168575226	-	0.000	0.000	Merged-chr2-168575169-53
NR783--MA1421.1.TCF7L1	chr10	6954709	6954720	-	0.000	0.000	Merged-chr10-6954726-16
NR4399--MA0523.1.TCF7L2	chr18	53951307	53951320	-	0.000	0.000	Merged-chr18-53951279-47
NR7138--MA1421.1.TCF7L1	chr5	52609941	52609952	+	0.000	0.000	Merged-chr5-52609918-24
NR4428--MA0769.1.Tcf7	chr18	57362759	57362770	-	0.000	0.000	Merged-chr18-57362721-19
NR3762--MA1421.1.TCF7L1	chr16	57319958	57319969	+	0.000	0.000	Merged-chr16-57319907-20
NR4558--MA0769.1.Tcf7	chr18	79297906	79297917	+	0.000	0.000	Merged-chr18-79298014-36
NR9459--MA0523.1.TCF7L2	chrX	104485819	104485832	-	0.000	0.000	Merged-chrX-104485808-11
NR6617--MA0769.1.Tcf7	chr4	86683549	86683560	-	0.000	0.000	Merged-chr4-86683553-15
NR8389--MA0523.1.TCF7L2	chr7	82235666	82235679	-	0.000	0.000	Merged-chr7-82235510-1
NR3061--MA0769.1.Tcf7	chr14	103017271	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR1868--MA1421.1.TCF7L1	chr12	41168055	41168066	+	0.000	0.000	Merged-chr12-41167989-46
NR6014--MA0523.1.TCF7L2	chr3	115604041	115604054	+	0.000	0.000	Merged-chr3-115603959-15
NR3299--MA0523.1.TCF7L2	chr15	38634664	38634677	+	0.000	0.000	Merged-chr15-38634612-4
NR2518--MA0769.1.Tcf7	chr13	97439971	97439982	+	0.000	0.000	Merged-chr13-97439792-27
NR5163--MA0523.1.TCF7L2	chr2	102044453	102044466	-	0.000	0.000	Merged-chr2-102044515-18
NR6616--MA0523.1.TCF7L2	chr4	86683547	86683560	-	0.000	0.000	Merged-chr4-86683553-15
NR904--MA1421.1.TCF7L1	chr10	25387446	25387457	-	0.000	0.000	Merged-chr10-25387454-21
NR5424--MA1421.1.TCF7L1	chr2	157121957	157121968	+	0.000	0.000	Merged-chr2-157121969-26
NR7386--MA1421.1.TCF7L1	chr5	118621287	118621298	-	0.000	0.000	Merged-chr5-118621233-14
NR6871--MA1421.1.TCF7L1	chr4	149854387	149854398	-	0.000	0.000	Merged-chr4-149854542-67
NR1783--MA0523.1.TCF7L2	chr12	17736908	17736921	-	0.000	0.000	Merged-chr12-17736753-13
NR458--MA0523.1.TCF7L2	chr1	131325031	131325044	-	0.000	0.000	Merged-chr1-131325042-10
NR3919--MA0523.1.TCF7L2	chr17	5239080	5239093	-	0.000	0.000	Merged-chr17-5238914-28
NR3379--MA1421.1.TCF7L1	chr15	59913999	59914010	+	0.000	0.000	Merged-chr15-59913956-28
NR6023--MA0769.1.Tcf7	chr3	116374667	116374678	+	0.000	0.000	Merged-chr3-116374678-28
NR5166--MA0769.1.Tcf7	chr2	102044477	102044488	+	0.000	0.000	Merged-chr2-102044515-18
NR4873--MA0769.1.Tcf7	chr2	32181554	32181565	-	0.000	0.000	Merged-chr2-32181600-13
NR5175--MA0769.1.Tcf7	chr2	103668301	103668312	-	0.000	0.000	Merged-chr2-103668249-32
NR8888--MA0769.1.Tcf7	chr8	105965483	105965494	-	0.000	0.000	Merged-chr8-105965531-1
NR9149--MA0523.1.TCF7L2	chr9	70310227	70310240	-	0.000	0.000	Merged-chr9-70310142-32
NR7659--MA0523.1.TCF7L2	chr6	55256721	55256734	-	0.000	0.000	Merged-chr6-55256807-22
NR8548--MA0523.1.TCF7L2	chr7	129774360	129774373	+	0.000	0.000	Merged-chr7-129774380-36
NR5773--MA0523.1.TCF7L2	chr3	55660081	55660094	+	0.000	0.000	Merged-chr3-55660012-44
NR4410--MA1421.1.TCF7L1	chr18	55107226	55107237	-	0.000	0.000	Merged-chr18-55107186-34
NR1606--MA1421.1.TCF7L1	chr11	70265488	70265499	-	0.000	0.000	Merged-chr11-70265494-15
NR8125--MA1421.1.TCF7L1	chr7	12987584	12987595	-	0.000	0.000	Merged-chr7-12987633-12
NR479--MA0523.1.TCF7L2	chr1	136618922	136618935	+	0.000	0.000	Merged-chr1-136618798-23
NR7318--MA1421.1.TCF7L1	chr5	96825232	96825243	+	0.000	0.000	Merged-chr5-96825060-50
NR7387--MA0769.1.Tcf7	chr5	118621287	118621298	-	0.000	0.000	Merged-chr5-118621233-14
NR6439--MA0523.1.TCF7L2	chr4	34429185	34429198	+	0.000	0.000	Merged-chr4-34429163-2
NR7452--MA0523.1.TCF7L2	chr5	142891542	142891555	-	0.000	0.000	Merged-chr5-142891617-16
NR2266--MA1421.1.TCF7L1	chr13	34914828	34914839	-	0.000	0.000	Merged-chr13-34914852-26
NR6054--MA1421.1.TCF7L1	chr3	123084119	123084130	-	0.000	0.000	Merged-chr3-123084162-14
NR9263--MA0769.1.Tcf7	chr9	94945765	94945776	+	0.000	0.000	Merged-chr9-94945890-45
NR6777--MA0769.1.Tcf7	chr4	123416330	123416341	-	0.000	0.000	Merged-chr4-123416422-1
NR7532--MA1421.1.TCF7L1	chr6	17932052	17932063	-	0.000	0.000	Merged-chr6-17932110-11
NR628--MA1421.1.TCF7L1	chr1	165063212	165063223	+	0.000	0.000	Merged-chr1-165063084-17
NR785--MA0769.1.Tcf7	chr10	6954709	6954720	-	0.000	0.000	Merged-chr10-6954726-16
NR3512--MA1421.1.TCF7L1	chr15	95826626	95826637	+	0.000	0.000	Merged-chr15-95826706-34
NR5970--MA0523.1.TCF7L2	chr3	103641497	103641510	+	0.000	0.000	Merged-chr3-103641510-13
NR9395--MA1421.1.TCF7L1	chrX	52679290	52679301	-	0.000	0.000	Merged-chrX-52679336-26
NR459--MA0769.1.Tcf7	chr1	131325033	131325044	-	0.000	0.000	Merged-chr1-131325042-10
NR6348--MA0523.1.TCF7L2	chr4	11143326	11143339	+	0.000	0.000	Merged-chr4-11143309-7
NR7033--MA1421.1.TCF7L1	chr5	24344609	24344620	+	0.000	0.000	Merged-chr5-24344705-18
NR280--MA0769.1.Tcf7	chr1	82443948	82443959	+	0.000	0.000	Merged-chr1-82443829-28
NR5953--MA0523.1.TCF7L2	chr3	97274117	97274130	+	0.000	0.000	Merged-chr3-97274158-19
