#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR275--MA0495.2.MAFF	chr1	80321300	80321320	+	0.000	0.000	Merged-chr1-80321528-19
NR2138--MA0659.1.MAFG	chr11	83828747	83828767	-	0.000	0.000	Merged-chr11-83828814-21
NR9736--MA0501.1.MAF::NFE2	chr6	53709845	53709859	-	0.000	0.000	Merged-chr6-53709881-31
NR5354--MA0089.1.MAFG::NFE2L1	chr17	66074078	66074083	+	0.000	0.000	Merged-chr17-66074199-45
NR602--MA0495.2.MAFF	chr1	152038375	152038395	-	0.000	0.000	Merged-chr1-152038311-34
NR11723--MA0659.1.MAFG	chr8	126686967	126686987	+	0.000	0.000	Merged-chr8-126687126-29
NR4342--MA0591.1.Bach1::Mafk	chr15	64156007	64156021	+	0.000	0.000	Merged-chr15-64155964-10
NR7224--MA0089.1.MAFG::NFE2L1	chr2	158160167	158160172	-	0.000	0.000	Merged-chr2-158160127-37
NR4278--MA0591.1.Bach1::Mafk	chr15	58750245	58750259	-	0.000	0.000	Merged-chr15-58750240-28
NR9257--MA0501.1.MAF::NFE2	chr5	103519351	103519365	-	0.000	0.000	Merged-chr5-103519211-48
NR4694--MA0659.1.MAFG	chr16	24854663	24854683	+	0.000	0.000	Merged-chr16-24854563-13
NR533--MA0591.1.Bach1::Mafk	chr1	136255312	136255326	-	0.000	0.000	Merged-chr1-136255292-47
NR3709--MA0089.1.MAFG::NFE2L1	chr14	20938759	20938764	-	0.000	0.000	Merged-chr14-20938813-17
NR10460--MA0501.1.MAF::NFE2	chr7	16343741	16343755	+	0.000	0.000	Merged-chr7-16343810-22
NR5365--MA0089.1.MAFG::NFE2L1	chr17	70746962	70746967	+	0.000	0.000	Merged-chr17-70746811-20
NR11227--MA0089.1.MAFG::NFE2L1	chr8	15014319	15014324	+	0.000	0.000	Merged-chr8-15014301-41
NR2089--MA0591.1.Bach1::Mafk	chr11	75878755	75878769	+	0.000	0.000	Merged-chr11-75878686-10
NR6394--MA0089.1.MAFG::NFE2L1	chr2	25620559	25620564	-	0.000	0.000	Merged-chr2-25620603-21
NR7085--MA0495.2.MAFF	chr2	145804907	145804927	-	0.000	0.000	Merged-chr2-145804796-32
NR7971--MA0501.1.MAF::NFE2	chr3	142533316	142533330	+	0.000	0.000	Merged-chr3-142533345-44
NR9797--MA0496.2.MAFK	chr6	67668205	67668223	-	0.000	0.000	Merged-chr6-67668321-12
NR2088--MA0495.2.MAFF	chr11	75878752	75878772	-	0.000	0.000	Merged-chr11-75878686-10
NR534--MA0501.1.MAF::NFE2	chr1	136255309	136255323	-	0.000	0.000	Merged-chr1-136255292-47
NR9318--MA0089.1.MAFG::NFE2L1	chr5	110650402	110650407	-	0.000	0.000	Merged-chr5-110650328-3
NR3777--MA0591.1.Bach1::Mafk	chr14	46578217	46578231	-	0.000	0.000	Merged-chr14-46578431-37
NR4697--MA0496.2.MAFK	chr16	24854664	24854682	-	0.000	0.000	Merged-chr16-24854563-13
NR2083--MA0496.2.MAFK	chr11	74973440	74973458	-	0.000	0.000	Merged-chr11-74973432-13
NR298--MA0089.1.MAFG::NFE2L1	chr1	83006403	83006408	+	0.000	0.000	Merged-chr1-83006483-46
NR2645--MA0117.2.Mafb	chr12	54369486	54369497	-	0.000	0.000	Merged-chr12-54369471-30
NR11330--MA0117.2.Mafb	chr8	68674248	68674259	-	0.000	0.000	Merged-chr8-68674402-29
NR9173--MA0659.1.MAFG	chr5	92353778	92353798	+	0.000	0.000	Merged-chr5-92353751-46
NR10457--MA0591.1.Bach1::Mafk	chr7	16343738	16343752	+	0.000	0.000	Merged-chr7-16343810-22
NR3691--MA0089.1.MAFG::NFE2L1	chr14	16313612	16313617	-	0.000	0.000	Merged-chr14-16313482-17
NR7903--MA0591.1.Bach1::Mafk	chr3	131169289	131169303	+	0.000	0.000	Merged-chr3-131169425-15
NR11928--MA0591.1.Bach1::Mafk	chr9	55410490	55410504	+	0.000	0.000	Merged-chr9-55410514-19
NR5051--MA0659.1.MAFG	chr16	97442080	97442100	-	0.000	0.000	Merged-chr16-97442198-19
NR10462--MA0496.2.MAFK	chr7	16343736	16343754	-	0.000	0.000	Merged-chr7-16343810-22
NR232--MA0495.2.MAFF	chr1	69350804	69350824	+	0.000	0.000	Merged-chr1-69350970-27
NR961--MA0089.1.MAFG::NFE2L1	chr1	191152565	191152570	-	0.000	0.000	Merged-chr1-191152485-1
NR789--MA0117.2.Mafb	chr1	177455720	177455731	-	0.000	0.000	Merged-chr1-177455545-12
NR1166--MA0089.1.MAFG::NFE2L1	chr10	40688489	40688494	-	0.000	0.000	Merged-chr10-40688620-20
NR6110--MA0501.1.MAF::NFE2	chr19	33429569	33429583	-	0.000	0.000	Merged-chr19-33429713-40
NR3422--MA0117.2.Mafb	chr13	96511379	96511390	+	0.000	0.000	Merged-chr13-96511466-3
NR6112--MA0496.2.MAFK	chr19	33429570	33429588	-	0.000	0.000	Merged-chr19-33429713-40
NR4543--MA0089.1.MAFG::NFE2L1	chr15	100060731	100060736	+	0.000	0.000	Merged-chr15-100060928-68
NR5049--MA0591.1.Bach1::Mafk	chr16	97442083	97442097	-	0.000	0.000	Merged-chr16-97442198-19
NR3159--MA0591.1.Bach1::Mafk	chr13	36368339	36368353	-	0.000	0.000	Merged-chr13-36368196-54
NR2246--MA0591.1.Bach1::Mafk	chr11	99132536	99132550	+	0.000	0.000	Merged-chr11-99132520-18
NR9176--MA0496.2.MAFK	chr5	92353779	92353797	-	0.000	0.000	Merged-chr5-92353751-46
NR494--MA0089.1.MAFG::NFE2L1	chr1	128771028	128771033	+	0.000	0.000	Merged-chr1-128770934-28
NR5750--MA0117.2.Mafb	chr18	61626449	61626460	-	0.000	0.000	Merged-chr18-61626581-16
NR5054--MA0496.2.MAFK	chr16	97442081	97442099	-	0.000	0.000	Merged-chr16-97442198-19
NR1937--MA0117.2.Mafb	chr11	54105171	54105182	+	0.000	0.000	Merged-chr11-54105258-8
NR3523--MA0089.1.MAFG::NFE2L1	chr13	107866816	107866821	+	0.000	0.000	Merged-chr13-107866970-30
NR11156--MA0089.1.MAFG::NFE2L1	chr7	141097387	141097392	+	0.000	0.000	Merged-chr7-141097451-2
NR842--MA0495.2.MAFF	chr1	182100628	182100648	+	0.000	0.000	Merged-chr1-182100503-13
NR10335--MA0591.1.Bach1::Mafk	chr6	144689272	144689286	-	0.000	0.000	Merged-chr6-144689209-25
NR844--MA0659.1.MAFG	chr1	182100628	182100648	+	0.000	0.000	Merged-chr1-182100503-13
NR5406--MA0117.2.Mafb	chr17	74753546	74753557	-	0.000	0.000	Merged-chr17-74753393-19
NR11443--MA0089.1.MAFG::NFE2L1	chr8	86052138	86052143	-	0.000	0.000	Merged-chr8-86052123-41
NR8809--MA0089.1.MAFG::NFE2L1	chr4	149680854	149680859	-	0.000	0.000	Merged-chr4-149680900-7
NR2139--MA0496.2.MAFK	chr11	83828748	83828766	+	0.000	0.000	Merged-chr11-83828814-21
NR1746--MA0501.1.MAF::NFE2	chr11	4263036	4263050	-	0.000	0.000	Merged-chr11-4263034-2
NR8338--MA0496.2.MAFK	chr4	88079189	88079207	+	0.000	0.000	Merged-chr4-88079193-33
NR2553--MA0591.1.Bach1::Mafk	chr12	25851738	25851752	+	0.000	0.000	Merged-chr12-25851772-17
NR9316--MA0496.2.MAFK	chr5	110284065	110284083	+	0.000	0.000	Merged-chr5-110284039-11
NR8897--MA0089.1.MAFG::NFE2L1	chr5	10245953	10245958	-	0.000	0.000	Merged-chr5-10245943-14
NR6790--MA0495.2.MAFF	chr2	114059828	114059848	+	0.000	0.000	Merged-chr2-114059851-34
NR9058--MA0089.1.MAFG::NFE2L1	chr5	62858662	62858667	-	0.000	0.000	Merged-chr5-62858471-55
NR11809--MA0591.1.Bach1::Mafk	chr9	14248440	14248454	+	0.000	0.000	Merged-chr9-14248366-20
NR9332--MA0089.1.MAFG::NFE2L1	chr5	112488431	112488436	-	0.000	0.000	Merged-chr5-112488536-19
NR2090--MA0496.2.MAFK	chr11	75878753	75878771	+	0.000	0.000	Merged-chr11-75878686-10
NR8618--MA0089.1.MAFG::NFE2L1	chr4	133185424	133185429	-	0.000	0.000	Merged-chr4-133185402-47
NR11335--MA0501.1.MAF::NFE2	chr8	69149355	69149369	-	0.000	0.000	Merged-chr8-69149326-14
NR10456--MA0495.2.MAFF	chr7	16343735	16343755	-	0.000	0.000	Merged-chr7-16343810-22
NR4661--MA0089.1.MAFG::NFE2L1	chr16	22526618	22526623	+	0.000	0.000	Merged-chr16-22526487-34
NR2552--MA0495.2.MAFF	chr12	25851735	25851755	-	0.000	0.000	Merged-chr12-25851772-17
NR11076--MA0089.1.MAFG::NFE2L1	chr7	130893287	130893292	+	0.000	0.000	Merged-chr7-130893114-41
NR8336--MA0591.1.Bach1::Mafk	chr4	88079191	88079205	+	0.000	0.000	Merged-chr4-88079193-33
NR10758--MA0501.1.MAF::NFE2	chr7	88459922	88459936	+	0.000	0.000	Merged-chr7-88459917-15
NR537--MA0089.1.MAFG::NFE2L1	chr1	136898486	136898491	-	0.000	0.000	Merged-chr1-136898317-25
NR6108--MA0659.1.MAFG	chr19	33429569	33429589	-	0.000	0.000	Merged-chr19-33429713-40
NR2555--MA0501.1.MAF::NFE2	chr12	25851741	25851755	+	0.000	0.000	Merged-chr12-25851772-17
NR4471--MA0591.1.Bach1::Mafk	chr15	85828784	85828798	+	0.000	0.000	Merged-chr15-85828905-13
NR5484--MA0501.1.MAF::NFE2	chr17	86206502	86206516	-	0.000	0.000	Merged-chr17-86206449-38
NR811--MA0591.1.Bach1::Mafk	chr1	180410494	180410508	+	0.000	0.000	Merged-chr1-180410391-12
NR5890--MA0089.1.MAFG::NFE2L1	chr18	82513661	82513666	+	0.000	0.000	Merged-chr18-82513500-48
NR4435--MA0501.1.MAF::NFE2	chr15	81308188	81308202	-	0.000	0.000	Merged-chr15-81308219-24
NR2387--MA0591.1.Bach1::Mafk	chr11	115128698	115128712	+	0.000	0.000	Merged-chr11-115128624-38
NR5486--MA0496.2.MAFK	chr17	86206503	86206521	-	0.000	0.000	Merged-chr17-86206449-38
NR4067--MA0501.1.MAF::NFE2	chr14	118681328	118681342	-	0.000	0.000	Merged-chr14-118681179-25
NR9065--MA0089.1.MAFG::NFE2L1	chr5	64371445	64371450	-	0.000	0.000	Merged-chr5-64371502-26
NR2234--MA0089.1.MAFG::NFE2L1	chr11	97246738	97246743	-	0.000	0.000	Merged-chr11-97246717-13
NR5048--MA0495.2.MAFF	chr16	97442080	97442100	-	0.000	0.000	Merged-chr16-97442198-19
NR6482--MA0496.2.MAFK	chr2	38548157	38548175	-	0.000	0.000	Merged-chr2-38548313-22
NR299--MA0591.1.Bach1::Mafk	chr1	83006366	83006380	-	0.000	0.000	Merged-chr1-83006483-46
NR5046--MA0089.1.MAFG::NFE2L1	chr16	97402597	97402602	-	0.000	0.000	Merged-chr16-97402543-6
NR8712--MA0089.1.MAFG::NFE2L1	chr4	144906846	144906851	+	0.000	0.000	Merged-chr4-144906777-28
NR235--MA0496.2.MAFK	chr1	69350805	69350823	-	0.000	0.000	Merged-chr1-69350970-27
NR276--MA0495.2.MAFF	chr1	80321300	80321320	-	0.000	0.000	Merged-chr1-80321528-19
NR11807--MA0495.2.MAFF	chr9	14248437	14248457	+	0.000	0.000	Merged-chr9-14248366-20
NR12326--MA0089.1.MAFG::NFE2L1	chr9	116212178	116212183	-	0.000	0.000	Merged-chr9-116212405-59
NR3260--MA0117.2.Mafb	chr13	52004069	52004080	-	0.000	0.000	Merged-chr13-52004248-54
NR7918--MA0495.2.MAFF	chr3	133626798	133626818	+	0.000	0.000	Merged-chr3-133626779-42
NR9124--MA0501.1.MAF::NFE2	chr5	86783379	86783393	-	0.000	0.000	Merged-chr5-86783243-43
NR4695--MA0659.1.MAFG	chr16	24854663	24854683	-	0.000	0.000	Merged-chr16-24854563-13
NR9101--MA0117.2.Mafb	chr5	74132971	74132982	-	0.000	0.000	Merged-chr5-74132835-25
NR7391--MA0089.1.MAFG::NFE2L1	chr2	173448695	173448700	-	0.000	0.000	Merged-chr2-173448878-59
NR355--MA0089.1.MAFG::NFE2L1	chr1	91755238	91755243	-	0.000	0.000	Merged-chr1-91755348-8
NR3850--MA0089.1.MAFG::NFE2L1	chr14	61774047	61774052	+	0.000	0.000	Merged-chr14-61773988-12
NR4343--MA0501.1.MAF::NFE2	chr15	64156010	64156024	+	0.000	0.000	Merged-chr15-64155964-10
NR7389--MA0501.1.MAF::NFE2	chr2	172971966	172971980	+	0.000	0.000	Merged-chr2-172972051-17
NR3973--MA0501.1.MAF::NFE2	chr14	78559181	78559195	+	0.000	0.000	Merged-chr14-78559223-28
NR7285--MA0591.1.Bach1::Mafk	chr2	166708487	166708501	-	0.000	0.000	Merged-chr2-166708496-46
NR10363--MA0089.1.MAFG::NFE2L1	chr6	146185786	146185791	-	0.000	0.000	Merged-chr6-146185680-43
NR357--MA0501.1.MAF::NFE2	chr1	91831435	91831449	+	0.000	0.000	Merged-chr1-91831329-12
NR11932--MA0591.1.Bach1::Mafk	chr9	56098161	56098175	+	0.000	0.000	Merged-chr9-56098023-21
NR2756--MA0089.1.MAFG::NFE2L1	chr12	91009109	91009114	-	0.000	0.000	Merged-chr12-91009085-35
NR9174--MA0659.1.MAFG	chr5	92353778	92353798	-	0.000	0.000	Merged-chr5-92353751-46
NR135--MA0501.1.MAF::NFE2	chr1	43207351	43207365	+	0.000	0.000	Merged-chr1-43207362-30
NR7086--MA0496.2.MAFK	chr2	145804908	145804926	+	0.000	0.000	Merged-chr2-145804796-32
NR7223--MA0089.1.MAFG::NFE2L1	chr2	158160159	158160164	-	0.000	0.000	Merged-chr2-158160127-37
NR5128--MA0117.2.Mafb	chr17	17845681	17845692	+	0.000	0.000	Merged-chr17-17845619-46
NR812--MA0501.1.MAF::NFE2	chr1	180410497	180410511	+	0.000	0.000	Merged-chr1-180410391-12
NR9841--MA0117.2.Mafb	chr6	82775641	82775652	-	0.000	0.000	Merged-chr6-82775550-35
NR233--MA0495.2.MAFF	chr1	69350804	69350824	-	0.000	0.000	Merged-chr1-69350970-27
NR6105--MA0089.1.MAFG::NFE2L1	chr19	33429564	33429569	-	0.000	0.000	Merged-chr19-33429713-40
NR10085--MA0089.1.MAFG::NFE2L1	chr6	119159841	119159846	-	0.000	0.000	Merged-chr6-119159656-11
NR11334--MA0591.1.Bach1::Mafk	chr8	69149358	69149372	-	0.000	0.000	Merged-chr8-69149326-14
NR6109--MA0501.1.MAF::NFE2	chr19	33429575	33429589	+	0.000	0.000	Merged-chr19-33429713-40
NR4945--MA0496.2.MAFK	chr16	89974506	89974524	+	0.000	0.000	Merged-chr16-89974505-28
NR677--MA0089.1.MAFG::NFE2L1	chr1	161671183	161671188	+	0.000	0.000	Merged-chr1-161671075-50
NR2752--MA0089.1.MAFG::NFE2L1	chr12	90810920	90810925	+	0.000	0.000	Merged-chr12-90810823-15
NR11811--MA0659.1.MAFG	chr9	14248437	14248457	+	0.000	0.000	Merged-chr9-14248366-20
NR12120--MA0495.2.MAFF	chr9	83564270	83564290	+	0.000	0.000	Merged-chr9-83564254-44
NR5377--MA0089.1.MAFG::NFE2L1	chr17	72822227	72822232	+	0.000	0.000	Merged-chr17-72822157-16
NR5511--MA0501.1.MAF::NFE2	chr17	88213816	88213830	-	0.000	0.000	Merged-chr17-88213709-19
NR6393--MA0089.1.MAFG::NFE2L1	chr2	25620598	25620603	+	0.000	0.000	Merged-chr2-25620603-21
NR359--MA0495.2.MAFF	chr1	92119341	92119361	+	0.000	0.000	Merged-chr1-92119439-48
NR2361--MA0089.1.MAFG::NFE2L1	chr11	113174285	113174290	-	0.000	0.000	Merged-chr11-113174221-33
NR5275--MA0089.1.MAFG::NFE2L1	chr17	44670978	44670983	-	0.000	0.000	Merged-chr17-44670859-1
NR6198--MA0501.1.MAF::NFE2	chr19	53760490	53760504	+	0.000	0.000	Merged-chr19-53760542-10
NR12122--MA0591.1.Bach1::Mafk	chr9	83564273	83564287	+	0.000	0.000	Merged-chr9-83564254-44
NR12243--MA0117.2.Mafb	chr9	106234135	106234146	+	0.000	0.000	Merged-chr9-106234085-16
NR1972--MA0495.2.MAFF	chr11	61564180	61564200	+	0.000	0.000	Merged-chr11-61564144-31
NR9177--MA0501.1.MAF::NFE2	chr5	92373330	92373344	-	0.000	0.000	Merged-chr5-92373310-21
NR4433--MA0117.2.Mafb	chr15	81308188	81308199	+	0.000	0.000	Merged-chr15-81308219-24
NR11810--MA0591.1.Bach1::Mafk	chr9	14248440	14248454	-	0.000	0.000	Merged-chr9-14248366-20
NR4691--MA0495.2.MAFF	chr16	24854663	24854683	-	0.000	0.000	Merged-chr16-24854563-13
NR107--MA0089.1.MAFG::NFE2L1	chr1	38557862	38557867	+	0.000	0.000	Merged-chr1-38557840-50
NR843--MA0495.2.MAFF	chr1	182100628	182100648	-	0.000	0.000	Merged-chr1-182100503-13
NR5777--MA0089.1.MAFG::NFE2L1	chr18	64919471	64919476	+	0.000	0.000	Merged-chr18-64919536-37
NR845--MA0659.1.MAFG	chr1	182100628	182100648	-	0.000	0.000	Merged-chr1-182100503-13
NR7920--MA0496.2.MAFK	chr3	133626799	133626817	+	0.000	0.000	Merged-chr3-133626779-42
NR11814--MA0496.2.MAFK	chr9	14248438	14248456	+	0.000	0.000	Merged-chr9-14248366-20
NR6691--MA0089.1.MAFG::NFE2L1	chr2	91835340	91835345	+	0.000	0.000	Merged-chr2-91835374-51
NR8339--MA0496.2.MAFK	chr4	88079189	88079207	-	0.000	0.000	Merged-chr4-88079193-33
NR9123--MA0591.1.Bach1::Mafk	chr5	86783382	86783396	-	0.000	0.000	Merged-chr5-86783243-43
NR10897--MA0117.2.Mafb	chr7	112239002	112239013	-	0.000	0.000	Merged-chr7-112238810-51
NR6792--MA0591.1.Bach1::Mafk	chr2	114059831	114059845	+	0.000	0.000	Merged-chr2-114059851-34
NR362--MA0591.1.Bach1::Mafk	chr1	92119344	92119358	+	0.000	0.000	Merged-chr1-92119439-48
NR6801--MA0089.1.MAFG::NFE2L1	chr2	115610676	115610681	+	0.000	0.000	Merged-chr2-115610633-33
NR7470--MA0591.1.Bach1::Mafk	chr3	9151718	9151732	+	0.000	0.000	Merged-chr3-9151770-9
NR2044--MA0591.1.Bach1::Mafk	chr11	71230852	71230866	+	0.000	0.000	Merged-chr11-71230864-28
NR2091--MA0496.2.MAFK	chr11	75878753	75878771	-	0.000	0.000	Merged-chr11-75878686-10
NR9170--MA0495.2.MAFF	chr5	92353778	92353798	+	0.000	0.000	Merged-chr5-92353751-46
NR4640--MA0089.1.MAFG::NFE2L1	chr16	18377403	18377408	-	0.000	0.000	Merged-chr16-18377300-20
NR1223--MA0117.2.Mafb	chr10	54013692	54013703	-	0.000	0.000	Merged-chr10-54013658-12
NR11562--MA0117.2.Mafb	chr8	111976532	111976543	-	0.000	0.000	Merged-chr8-111976573-47
NR10211--MA0089.1.MAFG::NFE2L1	chr6	134148219	134148224	+	0.000	0.000	Merged-chr6-134148194-39
NR6636--MA0089.1.MAFG::NFE2L1	chr2	76421649	76421654	-	0.000	0.000	Merged-chr2-76421582-29
NR10802--MA0089.1.MAFG::NFE2L1	chr7	101288099	101288104	+	0.000	0.000	Merged-chr7-101288112-19
NR414--MA0089.1.MAFG::NFE2L1	chr1	106515788	106515793	+	0.000	0.000	Merged-chr1-106515798-55
NR3533--MA0089.1.MAFG::NFE2L1	chr13	108100867	108100872	+	0.000	0.000	Merged-chr13-108100820-31
NR9385--MA0501.1.MAF::NFE2	chr5	122288691	122288705	+	0.000	0.000	Merged-chr5-122288620-47
NR6479--MA0495.2.MAFF	chr2	38548156	38548176	+	0.000	0.000	Merged-chr2-38548313-22
NR9175--MA0496.2.MAFK	chr5	92353779	92353797	+	0.000	0.000	Merged-chr5-92353751-46
NR2045--MA0501.1.MAF::NFE2	chr11	71230855	71230869	+	0.000	0.000	Merged-chr11-71230864-28
NR2804--MA0089.1.MAFG::NFE2L1	chr12	99610497	99610502	+	0.000	0.000	Merged-chr12-99610571-42
NR10887--MA0591.1.Bach1::Mafk	chr7	110824142	110824156	-	0.000	0.000	Merged-chr7-110824322-44
NR9837--MA0089.1.MAFG::NFE2L1	chr6	73210625	73210630	+	0.000	0.000	Merged-chr6-73210689-51
NR3972--MA0591.1.Bach1::Mafk	chr14	78559178	78559192	+	0.000	0.000	Merged-chr14-78559223-28
NR9057--MA0089.1.MAFG::NFE2L1	chr5	62858651	62858656	+	0.000	0.000	Merged-chr5-62858471-55
NR4688--MA0089.1.MAFG::NFE2L1	chr16	24539237	24539242	+	0.000	0.000	Merged-chr16-24539202-40
NR11808--MA0495.2.MAFF	chr9	14248437	14248457	-	0.000	0.000	Merged-chr9-14248366-20
NR10348--MA0089.1.MAFG::NFE2L1	chr6	145374520	145374525	-	0.000	0.000	Merged-chr6-145374595-4
NR6947--MA0089.1.MAFG::NFE2L1	chr2	128372394	128372399	-	0.000	0.000	Merged-chr2-128372488-21
NR9798--MA0591.1.Bach1::Mafk	chr6	67668303	67668317	-	0.000	0.000	Merged-chr6-67668321-12
NR6114--MA0501.1.MAF::NFE2	chr19	34505418	34505432	-	0.000	0.000	Merged-chr19-34505331-35
NR3076--MA0501.1.MAF::NFE2	chr13	13582231	13582245	+	0.000	0.000	Merged-chr13-13582107-29
NR1439--MA0591.1.Bach1::Mafk	chr10	89589889	89589903	-	0.000	0.000	Merged-chr10-89590018-36
NR2990--MA0089.1.MAFG::NFE2L1	chr12	116140770	116140775	+	0.000	0.000	Merged-chr12-116140817-28
NR6793--MA0501.1.MAF::NFE2	chr2	114059834	114059848	+	0.000	0.000	Merged-chr2-114059851-34
NR4975--MA0089.1.MAFG::NFE2L1	chr16	92744079	92744084	+	0.000	0.000	Merged-chr16-92743989-33
NR1987--MA0089.1.MAFG::NFE2L1	chr11	63873441	63873446	-	0.000	0.000	Merged-chr11-63873500-16
NR6481--MA0591.1.Bach1::Mafk	chr2	38548159	38548173	+	0.000	0.000	Merged-chr2-38548313-22
NR10344--MA0089.1.MAFG::NFE2L1	chr6	145256833	145256838	-	0.000	0.000	Merged-chr6-145256997-16
NR266--MA0591.1.Bach1::Mafk	chr1	78644144	78644158	-	0.000	0.000	Merged-chr1-78644356-22
NR5510--MA0089.1.MAFG::NFE2L1	chr17	88213608	88213613	+	0.000	0.000	Merged-chr17-88213709-19
NR7004--MA0089.1.MAFG::NFE2L1	chr2	135891302	135891307	+	0.000	0.000	Merged-chr2-135891354-60
NR846--MA0496.2.MAFK	chr1	182100629	182100647	+	0.000	0.000	Merged-chr1-182100503-13
NR11564--MA0501.1.MAF::NFE2	chr8	113656298	113656312	+	0.000	0.000	Merged-chr8-113656358-52
NR7546--MA0591.1.Bach1::Mafk	chr3	37174728	37174742	+	0.000	0.000	Merged-chr3-37174845-28
NR4480--MA0089.1.MAFG::NFE2L1	chr15	91619520	91619525	-	0.000	0.000	Merged-chr15-91619613-11
NR11725--MA0501.1.MAF::NFE2	chr8	126686967	126686981	-	0.000	0.000	Merged-chr8-126687126-29
NR892--MA0591.1.Bach1::Mafk	chr1	184751389	184751403	-	0.000	0.000	Merged-chr1-184751461-18
NR2359--MA0089.1.MAFG::NFE2L1	chr11	112889855	112889860	+	0.000	0.000	Merged-chr11-112889934-3
NR184--MA0591.1.Bach1::Mafk	chr1	58029745	58029759	+	0.000	0.000	Merged-chr1-58029750-23
NR6107--MA0659.1.MAFG	chr19	33429569	33429589	+	0.000	0.000	Merged-chr19-33429713-40
NR2268--MA0501.1.MAF::NFE2	chr11	101697341	101697355	-	0.000	0.000	Merged-chr11-101697250-12
NR7087--MA0496.2.MAFK	chr2	145804908	145804926	-	0.000	0.000	Merged-chr2-145804796-32
NR10484--MA0117.2.Mafb	chr7	19819198	19819209	-	0.000	0.000	Merged-chr7-19819165-4
NR12123--MA0501.1.MAF::NFE2	chr9	83564276	83564290	+	0.000	0.000	Merged-chr9-83564254-44
NR6650--MA0089.1.MAFG::NFE2L1	chr2	79698315	79698320	+	0.000	0.000	Merged-chr2-79698404-21
NR8176--MA0501.1.MAF::NFE2	chr4	32405326	32405340	-	0.000	0.000	Merged-chr4-32405236-4
NR11929--MA0501.1.MAF::NFE2	chr9	55410493	55410507	+	0.000	0.000	Merged-chr9-55410514-19
NR5069--MA0089.1.MAFG::NFE2L1	chr17	5138740	5138745	-	0.000	0.000	Merged-chr17-5138884-51
