#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR7047--MA1104.1.GATA6	chr9	120961807	120961819	+	0.000	0.000	Merged-chr9-120961674-26
NR2802--MA0140.2.GATA1::TAL1	chr16	24826508	24826525	+	0.000	0.000	Merged-chr16-24826564-20
NR1960--MA0037.3.GATA3	chr13	95449901	95449908	+	0.000	0.000	Merged-chr13-95449730-51
NR7182--MA0482.1.Gata4	chrX	160496687	160496697	+	0.000	0.000	Merged-chrX-160496581-5
NR304--MA0482.1.Gata4	chr1	151973291	151973301	-	0.000	0.000	Merged-chr1-151973357-25
NR4071--MA0766.1.GATA5	chr2	129385622	129385629	-	0.000	0.000	Merged-chr2-129385556-29
NR3557--MA1104.1.GATA6	chr19	31321986	31321998	+	0.000	0.000	Merged-chr19-31321995-11
NR4685--MA0035.3.Gata1	chr4	10770162	10770172	-	0.000	0.000	Merged-chr4-10770192-53
NR5713--MA0037.3.GATA3	chr6	72993529	72993536	+	0.000	0.000	Merged-chr6-72993527-59
NR3740--MA0766.1.GATA5	chr2	29689675	29689682	+	0.000	0.000	Merged-chr2-29689675-19
NR2657--MA0035.3.Gata1	chr15	82914620	82914630	-	0.000	0.000	Merged-chr15-82914694-36
NR2295--MA0766.1.GATA5	chr14	62928198	62928205	+	0.000	0.000	Merged-chr14-62928345-50
NR2633--MA0482.1.Gata4	chr15	81308334	81308344	+	0.000	0.000	Merged-chr15-81308219-24
NR1316--MA0482.1.Gata4	chr11	115746912	115746922	+	0.000	0.000	Merged-chr11-115746671-90
NR6667--MA0766.1.GATA5	chr9	7576787	7576794	+	0.000	0.000	Merged-chr9-7576753-19
NR6913--MA1104.1.GATA6	chr9	92274723	92274735	+	0.000	0.000	Merged-chr9-92274591-56
NR5530--MA0037.3.GATA3	chr5	149392281	149392288	+	0.000	0.000	Merged-chr5-149392157-30
NR6976--MA0035.3.Gata1	chr9	105689627	105689637	+	0.000	0.000	Merged-chr9-105689631-24
NR4263--MA0035.3.Gata1	chr3	37157381	37157391	+	0.000	0.000	Merged-chr3-37157248-37
NR3732--MA0766.1.GATA5	chr2	26753538	26753545	+	0.000	0.000	Merged-chr2-26753671-30
NR5686--MA0037.3.GATA3	chr6	61225494	61225501	-	0.000	0.000	Merged-chr6-61225621-10
NR7166--MA0482.1.Gata4	chrX	113084408	113084418	-	0.000	0.000	Merged-chrX-113084391-25
NR1060--MA0140.2.GATA1::TAL1	chr11	63148511	63148528	+	0.000	0.000	Merged-chr11-63148506-21
NR1893--MA0036.3.GATA2	chr13	75053972	75053982	-	0.000	0.000	Merged-chr13-75053881-13
NR6506--MA0036.3.GATA2	chr8	94633741	94633751	+	0.000	0.000	Merged-chr8-94633712-19
NR222--MA0482.1.Gata4	chr1	127320133	127320143	+	0.000	0.000	Merged-chr1-127320105-13
NR7183--MA1104.1.GATA6	chrX	160496685	160496697	-	0.000	0.000	Merged-chrX-160496581-5
NR4536--MA0482.1.Gata4	chr3	138334459	138334469	-	0.000	0.000	Merged-chr3-138334424-50
NR305--MA1104.1.GATA6	chr1	151973291	151973303	+	0.000	0.000	Merged-chr1-151973357-25
NR5631--MA0037.3.GATA3	chr6	50160021	50160028	-	0.000	0.000	Merged-chr6-50160084-30
NR6411--MA0035.3.Gata1	chr8	40595269	40595279	-	0.000	0.000	Merged-chr8-40595277-53
NR7169--MA0035.3.Gata1	chrX	113084409	113084419	-	0.000	0.000	Merged-chrX-113084391-25
NR6096--MA0766.1.GATA5	chr7	35742554	35742561	-	0.000	0.000	Merged-chr7-35742502-39
NR2634--MA1104.1.GATA6	chr15	81308332	81308344	-	0.000	0.000	Merged-chr15-81308219-24
NR4120--MA0036.3.GATA2	chr2	146416548	146416558	+	0.000	0.000	Merged-chr2-146416561-24
NR4658--MA0482.1.Gata4	chr3	157938621	157938631	+	0.000	0.000	Merged-chr3-157938783-43
NR1317--MA1104.1.GATA6	chr11	115746910	115746922	-	0.000	0.000	Merged-chr11-115746671-90
NR4261--MA1104.1.GATA6	chr3	37157380	37157392	-	0.000	0.000	Merged-chr3-37157248-37
NR3040--MA0037.3.GATA3	chr17	7904966	7904973	-	0.000	0.000	Merged-chr17-7905100-9
NR2852--MA0037.3.GATA3	chr16	45025480	45025487	+	0.000	0.000	Merged-chr16-45025536-40
NR599--MA0035.3.Gata1	chr10	39991287	39991297	+	0.000	0.000	Merged-chr10-39991173-41
NR3741--MA0035.3.Gata1	chr2	29689673	29689683	-	0.000	0.000	Merged-chr2-29689675-19
NR2296--MA0035.3.Gata1	chr14	62928196	62928206	-	0.000	0.000	Merged-chr14-62928345-50
NR6554--MA0036.3.GATA2	chr8	114888904	114888914	-	0.000	0.000	Merged-chr8-114888790-56
NR6668--MA0035.3.Gata1	chr9	7576785	7576795	-	0.000	0.000	Merged-chr9-7576753-19
NR1038--MA0037.3.GATA3	chr11	54063314	54063321	+	0.000	0.000	Merged-chr11-54063198-57
NR7167--MA1104.1.GATA6	chrX	113084408	113084420	+	0.000	0.000	Merged-chrX-113084391-25
NR2088--MA0766.1.GATA5	chr13	113031447	113031454	+	0.000	0.000	Merged-chr13-113031425-1
NR3733--MA0035.3.Gata1	chr2	26753536	26753546	-	0.000	0.000	Merged-chr2-26753671-30
NR4537--MA1104.1.GATA6	chr3	138334459	138334471	+	0.000	0.000	Merged-chr3-138334424-50
NR1962--MA0766.1.GATA5	chr13	95449901	95449908	+	0.000	0.000	Merged-chr13-95449730-51
NR6546--MA0036.3.GATA2	chr8	111976661	111976671	-	0.000	0.000	Merged-chr8-111976573-47
NR4518--MA0036.3.GATA2	chr3	136725868	136725878	+	0.000	0.000	Merged-chr3-136725981-1
NR3122--MA0036.3.GATA2	chr17	29193400	29193410	-	0.000	0.000	Merged-chr17-29193494-23
NR6911--MA0037.3.GATA3	chr9	92274726	92274733	+	0.000	0.000	Merged-chr9-92274591-56
NR4659--MA1104.1.GATA6	chr3	157938619	157938631	-	0.000	0.000	Merged-chr3-157938783-43
NR1041--MA0036.3.GATA2	chr11	54063312	54063322	-	0.000	0.000	Merged-chr11-54063198-57
NR1801--MA0036.3.GATA2	chr13	38050035	38050045	+	0.000	0.000	Merged-chr13-38050052-14
NR6775--MA1104.1.GATA6	chr9	56098143	56098155	-	0.000	0.000	Merged-chr9-56098023-21
NR7181--MA0037.3.GATA3	chrX	160496687	160496694	-	0.000	0.000	Merged-chrX-160496581-5
NR3890--MA0035.3.Gata1	chr2	78961705	78961715	-	0.000	0.000	Merged-chr2-78961805-37
NR6195--MA0482.1.Gata4	chr7	97042370	97042380	+	0.000	0.000	Merged-chr7-97042218-26
NR3542--MA0035.3.Gata1	chr19	25360764	25360774	-	0.000	0.000	Merged-chr19-25360847-26
NR303--MA0037.3.GATA3	chr1	151973294	151973301	+	0.000	0.000	Merged-chr1-151973357-25
NR6588--MA0482.1.Gata4	chr8	121650681	121650691	-	0.000	0.000	Merged-chr8-121650674-17
NR6198--MA0035.3.Gata1	chr7	97042369	97042379	+	0.000	0.000	Merged-chr7-97042218-26
NR2628--MA0482.1.Gata4	chr15	79729230	79729240	+	0.000	0.000	Merged-chr15-79729133-34
NR3573--MA0766.1.GATA5	chr19	32998972	32998979	+	0.000	0.000	Merged-chr19-32999080-29
NR2076--MA0035.3.Gata1	chr13	111655441	111655451	+	0.000	0.000	Merged-chr13-111655433-3
NR5480--MA1104.1.GATA6	chr5	142407428	142407440	+	0.000	0.000	Merged-chr5-142407567-12
NR5633--MA0766.1.GATA5	chr6	50160021	50160028	-	0.000	0.000	Merged-chr6-50160084-30
NR5681--MA0482.1.Gata4	chr6	58881139	58881149	-	0.000	0.000	Merged-chr6-58880983-47
NR2568--MA0140.2.GATA1::TAL1	chr15	62390449	62390466	-	0.000	0.000	Merged-chr15-62390498-8
NR6196--MA1104.1.GATA6	chr7	97042368	97042380	-	0.000	0.000	Merged-chr7-97042218-26
NR4535--MA0037.3.GATA3	chr3	138334462	138334469	+	0.000	0.000	Merged-chr3-138334424-50
NR1455--MA0482.1.Gata4	chr12	70078944	70078954	-	0.000	0.000	Merged-chr12-70078875-55
NR1768--MA0766.1.GATA5	chr13	29756231	29756238	+	0.000	0.000	Merged-chr13-29756237-14
NR6589--MA1104.1.GATA6	chr8	121650681	121650693	+	0.000	0.000	Merged-chr8-121650674-17
NR4660--MA0035.3.Gata1	chr3	157938620	157938630	+	0.000	0.000	Merged-chr3-157938783-43
NR3385--MA0036.3.GATA2	chr18	61479925	61479935	+	0.000	0.000	Merged-chr18-61480035-15
NR1961--MA1104.1.GATA6	chr13	95449898	95449910	+	0.000	0.000	Merged-chr13-95449730-51
NR1458--MA0035.3.Gata1	chr12	70078945	70078955	-	0.000	0.000	Merged-chr12-70078875-55
NR5203--MA0766.1.GATA5	chr5	64371383	64371390	-	0.000	0.000	Merged-chr5-64371502-26
NR2528--MA0140.2.GATA1::TAL1	chr15	38709534	38709551	-	0.000	0.000	Merged-chr15-38709565-1
NR4029--MA0766.1.GATA5	chr2	117399745	117399752	+	0.000	0.000	Merged-chr2-117399695-40
NR5716--MA0036.3.GATA2	chr6	72993527	72993537	-	0.000	0.000	Merged-chr6-72993527-59
NR791--MA0766.1.GATA5	chr10	108406938	108406945	+	0.000	0.000	Merged-chr10-108407108-16
NR5682--MA1104.1.GATA6	chr6	58881139	58881151	+	0.000	0.000	Merged-chr6-58880983-47
NR7054--MA0140.2.GATA1::TAL1	chr9	121925036	121925053	+	0.000	0.000	Merged-chr9-121925182-15
NR3013--MA0766.1.GATA5	chr16	97204301	97204308	-	0.000	0.000	Merged-chr16-97204388-55
NR6664--MA0037.3.GATA3	chr9	7576787	7576794	+	0.000	0.000	Merged-chr9-7576753-19
NR2158--MA0482.1.Gata4	chr14	20938523	20938533	-	0.000	0.000	Merged-chr14-20938430-1
NR3574--MA0035.3.Gata1	chr19	32998970	32998980	-	0.000	0.000	Merged-chr19-32999080-29
NR5705--MA0766.1.GATA5	chr6	67184856	67184863	+	0.000	0.000	Merged-chr6-67184785-39
NR7186--MA0035.3.Gata1	chrX	160496686	160496696	+	0.000	0.000	Merged-chrX-160496581-5
NR5533--MA0036.3.GATA2	chr5	149392279	149392289	-	0.000	0.000	Merged-chr5-149392157-30
NR5381--MA0766.1.GATA5	chr5	121837258	121837265	-	0.000	0.000	Merged-chr5-121837232-116
NR1456--MA1104.1.GATA6	chr12	70078944	70078956	+	0.000	0.000	Merged-chr12-70078875-55
NR3889--MA0766.1.GATA5	chr2	78961707	78961714	+	0.000	0.000	Merged-chr2-78961805-37
NR4814--MA0036.3.GATA2	chr4	89400518	89400528	-	0.000	0.000	Merged-chr4-89400416-12
NR5378--MA0482.1.Gata4	chr5	121837258	121837268	+	0.000	0.000	Merged-chr5-121837232-116
NR6855--MA0036.3.GATA2	chr9	80318149	80318159	+	0.000	0.000	Merged-chr9-80318250-48
NR3320--MA0037.3.GATA3	chr18	39457947	39457954	-	0.000	0.000	Merged-chr18-39457993-13
NR5632--MA1104.1.GATA6	chr6	50160019	50160031	-	0.000	0.000	Merged-chr6-50160084-30
NR3568--MA0482.1.Gata4	chr19	32465412	32465422	+	0.000	0.000	Merged-chr19-32465460-36
NR1769--MA0035.3.Gata1	chr13	29756229	29756239	-	0.000	0.000	Merged-chr13-29756237-14
NR1719--MA1104.1.GATA6	chr13	5757295	5757307	+	0.000	0.000	Merged-chr13-5757363-53
NR2159--MA1104.1.GATA6	chr14	20938523	20938535	+	0.000	0.000	Merged-chr14-20938430-1
NR3324--MA0766.1.GATA5	chr18	39457947	39457954	-	0.000	0.000	Merged-chr18-39457993-13
NR3109--MA0036.3.GATA2	chr17	27323302	27323312	+	0.000	0.000	Merged-chr17-27323176-36
NR2855--MA0036.3.GATA2	chr16	45025478	45025488	-	0.000	0.000	Merged-chr16-45025536-40
NR5204--MA0035.3.Gata1	chr5	64371382	64371392	+	0.000	0.000	Merged-chr5-64371502-26
NR3818--MA0482.1.Gata4	chr2	60328750	60328760	+	0.000	0.000	Merged-chr2-60328757-33
NR792--MA0035.3.Gata1	chr10	108406936	108406946	-	0.000	0.000	Merged-chr10-108407108-16
NR3056--MA0036.3.GATA2	chr17	12513727	12513737	+	0.000	0.000	Merged-chr17-12513699-7
NR3014--MA0035.3.Gata1	chr16	97204300	97204310	+	0.000	0.000	Merged-chr16-97204388-55
NR7048--MA0036.3.GATA2	chr9	120961808	120961818	-	0.000	0.000	Merged-chr9-120961674-26
NR6895--MA0035.3.Gata1	chr9	88722041	88722051	+	0.000	0.000	Merged-chr9-88721964-40
NR5065--MA0140.2.GATA1::TAL1	chr5	3887073	3887090	-	0.000	0.000	Merged-chr5-3887091-30
NR5082--MA1104.1.GATA6	chr5	8374460	8374472	+	0.000	0.000	Merged-chr5-8374526-17
NR5063--MA0036.3.GATA2	chr5	3887082	3887092	-	0.000	0.000	Merged-chr5-3887091-30
NR6587--MA0037.3.GATA3	chr8	121650684	121650691	+	0.000	0.000	Merged-chr8-121650674-17
NR4681--MA0482.1.Gata4	chr4	10770161	10770171	-	0.000	0.000	Merged-chr4-10770192-53
NR475--MA0766.1.GATA5	chr1	191102864	191102871	-	0.000	0.000	Merged-chr1-191102990-43
NR2653--MA0482.1.Gata4	chr15	82914619	82914629	-	0.000	0.000	Merged-chr15-82914694-36
NR3558--MA0036.3.GATA2	chr19	31321987	31321997	-	0.000	0.000	Merged-chr19-31321995-11
NR5153--MA0482.1.Gata4	chr5	33304162	33304172	-	0.000	0.000	Merged-chr5-33304235-9
NR5379--MA1104.1.GATA6	chr5	121837256	121837268	-	0.000	0.000	Merged-chr5-121837232-116
NR370--MA0035.3.Gata1	chr1	164136961	164136971	-	0.000	0.000	Merged-chr1-164136892-1
NR1174--MA0482.1.Gata4	chr11	97246705	97246715	+	0.000	0.000	Merged-chr11-97246717-13
NR6914--MA0036.3.GATA2	chr9	92274724	92274734	-	0.000	0.000	Merged-chr9-92274591-56
NR5156--MA0035.3.Gata1	chr5	33304163	33304173	-	0.000	0.000	Merged-chr5-33304235-9
NR1296--MA0482.1.Gata4	chr11	112889835	112889845	-	0.000	0.000	Merged-chr11-112889934-3
NR6590--MA0036.3.GATA2	chr8	121650682	121650692	-	0.000	0.000	Merged-chr8-121650674-17
NR4520--MA0035.3.Gata1	chr3	136725868	136725878	+	0.000	0.000	Merged-chr3-136725981-1
NR3819--MA1104.1.GATA6	chr2	60328748	60328760	-	0.000	0.000	Merged-chr2-60328757-33
NR1040--MA1104.1.GATA6	chr11	54063311	54063323	+	0.000	0.000	Merged-chr11-54063198-57
NR2799--MA0036.3.GATA2	chr16	24826502	24826512	+	0.000	0.000	Merged-chr16-24826564-20
NR664--MA0766.1.GATA5	chr10	68356055	68356062	+	0.000	0.000	Merged-chr10-68356186-29
NR972--MA0140.2.GATA1::TAL1	chr11	20565296	20565313	-	0.000	0.000	Merged-chr11-20565128-32
NR2452--MA0035.3.Gata1	chr14	123015951	123015961	+	0.000	0.000	Merged-chr14-123015903-11
NR306--MA0036.3.GATA2	chr1	151973292	151973302	-	0.000	0.000	Merged-chr1-151973357-25
NR2803--MA0140.2.GATA1::TAL1	chr16	24859766	24859783	-	0.000	0.000	Merged-chr16-24859863-8
NR4682--MA1104.1.GATA6	chr4	10770161	10770173	+	0.000	0.000	Merged-chr4-10770192-53
NR2654--MA1104.1.GATA6	chr15	82914619	82914631	+	0.000	0.000	Merged-chr15-82914694-36
NR5154--MA1104.1.GATA6	chr5	33304162	33304174	+	0.000	0.000	Merged-chr5-33304235-9
NR2635--MA0036.3.GATA2	chr15	81308333	81308343	+	0.000	0.000	Merged-chr15-81308219-24
NR2502--MA0766.1.GATA5	chr15	31440061	31440068	-	0.000	0.000	Merged-chr15-31440136-19
NR5288--MA0140.2.GATA1::TAL1	chr5	96919394	96919411	+	0.000	0.000	Merged-chr5-96919308-24
NR1376--MA0482.1.Gata4	chr12	16136557	16136567	+	0.000	0.000	Merged-chr12-16136516-15
NR2157--MA0037.3.GATA3	chr14	20938526	20938533	+	0.000	0.000	Merged-chr14-20938430-1
NR4262--MA0036.3.GATA2	chr3	37157381	37157391	+	0.000	0.000	Merged-chr3-37157248-37
NR1527--MA0140.2.GATA1::TAL1	chr12	91065612	91065629	+	0.000	0.000	Merged-chr12-91065547-31
NR476--MA0035.3.Gata1	chr1	191102863	191102873	+	0.000	0.000	Merged-chr1-191102990-43
NR9--MA0140.2.GATA1::TAL1	chr1	9883364	9883381	-	0.000	0.000	Merged-chr1-9883358-36
NR2292--MA0482.1.Gata4	chr14	62928195	62928205	-	0.000	0.000	Merged-chr14-62928345-50
NR1297--MA1104.1.GATA6	chr11	112889835	112889847	+	0.000	0.000	Merged-chr11-112889934-3
NR5730--MA0766.1.GATA5	chr6	87436977	87436984	-	0.000	0.000	Merged-chr6-87436992-13
NR6507--MA0766.1.GATA5	chr8	94633742	94633749	-	0.000	0.000	Merged-chr8-94633712-19
NR398--MA0766.1.GATA5	chr1	175631875	175631882	+	0.000	0.000	Merged-chr1-175631822-65
NR4522--MA0766.1.GATA5	chr3	136742960	136742967	-	0.000	0.000	Merged-chr3-136742959-57
NR4307--MA0036.3.GATA2	chr3	68967472	68967482	-	0.000	0.000	Merged-chr3-68967303-47
NR2450--MA1104.1.GATA6	chr14	123015950	123015962	-	0.000	0.000	Merged-chr14-123015903-11
NR5800--MA0035.3.Gata1	chr6	108704935	108704945	+	0.000	0.000	Merged-chr6-108704873-18
NR2160--MA0036.3.GATA2	chr14	20938524	20938534	-	0.000	0.000	Merged-chr14-20938430-1
NR5205--MA0140.2.GATA1::TAL1	chr5	64371384	64371401	+	0.000	0.000	Merged-chr5-64371502-26
NR6500--MA0482.1.Gata4	chr8	94240436	94240446	+	0.000	0.000	Merged-chr8-94240399-13
NR4538--MA0036.3.GATA2	chr3	138334460	138334470	-	0.000	0.000	Merged-chr3-138334424-50
NR1765--MA0037.3.GATA3	chr13	29756231	29756238	+	0.000	0.000	Merged-chr13-29756237-14
NR5377--MA0037.3.GATA3	chr5	121837258	121837265	-	0.000	0.000	Merged-chr5-121837232-116
NR4028--MA0036.3.GATA2	chr2	117399743	117399753	-	0.000	0.000	Merged-chr2-117399695-40
NR2629--MA0766.1.GATA5	chr15	79729230	79729237	-	0.000	0.000	Merged-chr15-79729133-34
NR598--MA0036.3.GATA2	chr10	39991287	39991297	+	0.000	0.000	Merged-chr10-39991173-41
NR6555--MA0766.1.GATA5	chr8	114888906	114888913	+	0.000	0.000	Merged-chr8-114888790-56
NR579--MA0482.1.Gata4	chr10	34117970	34117980	+	0.000	0.000	Merged-chr10-34117997-36
NR5704--MA0036.3.GATA2	chr6	67184854	67184864	-	0.000	0.000	Merged-chr6-67184785-39
NR2293--MA1104.1.GATA6	chr14	62928195	62928207	+	0.000	0.000	Merged-chr14-62928345-50
NR3817--MA0037.3.GATA3	chr2	60328750	60328757	-	0.000	0.000	Merged-chr2-60328757-33
NR6776--MA0036.3.GATA2	chr9	56098144	56098154	+	0.000	0.000	Merged-chr9-56098023-21
NR5380--MA0036.3.GATA2	chr5	121837257	121837267	+	0.000	0.000	Merged-chr5-121837232-116
NR3110--MA0766.1.GATA5	chr17	27323303	27323310	-	0.000	0.000	Merged-chr17-27323176-36
NR1892--MA0482.1.Gata4	chr13	75053971	75053981	-	0.000	0.000	Merged-chr13-75053881-13
NR6505--MA0482.1.Gata4	chr8	94633742	94633752	+	0.000	0.000	Merged-chr8-94633712-19
NR415--MA0482.1.Gata4	chr1	179578812	179578822	+	0.000	0.000	Merged-chr1-179578897-31
NR6665--MA1104.1.GATA6	chr9	7576784	7576796	+	0.000	0.000	Merged-chr9-7576753-19
NR4519--MA0766.1.GATA5	chr3	136725869	136725876	-	0.000	0.000	Merged-chr3-136725981-1
NR6656--MA0766.1.GATA5	chr8	128530709	128530716	+	0.000	0.000	Merged-chr8-128530780-6
NR6856--MA0035.3.Gata1	chr9	80318149	80318159	+	0.000	0.000	Merged-chr9-80318250-48
NR1837--MA0140.2.GATA1::TAL1	chr13	52628270	52628287	-	0.000	0.000	Merged-chr13-52628204-1
NR4680--MA0037.3.GATA3	chr4	10770164	10770171	+	0.000	0.000	Merged-chr4-10770192-53
NR6508--MA0035.3.Gata1	chr8	94633741	94633751	+	0.000	0.000	Merged-chr8-94633712-19
NR1044--MA0140.2.GATA1::TAL1	chr11	54063303	54063320	-	0.000	0.000	Merged-chr11-54063198-57
NR3730--MA1104.1.GATA6	chr2	26753535	26753547	+	0.000	0.000	Merged-chr2-26753671-30
NR2652--MA0037.3.GATA3	chr15	82914622	82914629	+	0.000	0.000	Merged-chr15-82914694-36
NR418--MA0035.3.Gata1	chr1	179578811	179578821	+	0.000	0.000	Merged-chr1-179578897-31
NR5199--MA0037.3.GATA3	chr5	64371383	64371390	-	0.000	0.000	Merged-chr5-64371502-26
NR1173--MA0037.3.GATA3	chr11	97246705	97246712	-	0.000	0.000	Merged-chr11-97246717-13
NR3820--MA0036.3.GATA2	chr2	60328749	60328759	+	0.000	0.000	Merged-chr2-60328757-33
NR6054--MA0035.3.Gata1	chr7	19819203	19819213	-	0.000	0.000	Merged-chr7-19819165-4
NR1295--MA0037.3.GATA3	chr11	112889838	112889845	+	0.000	0.000	Merged-chr11-112889934-3
NR4729--MA0766.1.GATA5	chr4	43835053	43835060	+	0.000	0.000	Merged-chr4-43834935-30
NR3052--MA0036.3.GATA2	chr17	12513654	12513664	+	0.000	0.000	Merged-chr17-12513699-7
NR3323--MA0036.3.GATA2	chr18	39457946	39457956	+	0.000	0.000	Merged-chr18-39457993-13
NR3989--MA0036.3.GATA2	chr2	112676859	112676869	+	0.000	0.000	Merged-chr2-112676754-32
NR91--MA0035.3.Gata1	chr1	52652808	52652818	-	0.000	0.000	Merged-chr1-52652704-8
NR367--MA0482.1.Gata4	chr1	164136960	164136970	-	0.000	0.000	Merged-chr1-164136892-1
NR1385--MA0036.3.GATA2	chr12	16474653	16474663	-	0.000	0.000	Merged-chr12-16474710-17
NR6556--MA0035.3.Gata1	chr8	114888904	114888914	-	0.000	0.000	Merged-chr8-114888790-56
NR416--MA1104.1.GATA6	chr1	179578810	179578822	-	0.000	0.000	Merged-chr1-179578897-31
NR6197--MA0036.3.GATA2	chr7	97042369	97042379	+	0.000	0.000	Merged-chr7-97042218-26
NR4521--MA0037.3.GATA3	chr3	136742960	136742967	-	0.000	0.000	Merged-chr3-136742959-57
NR5851--MA1104.1.GATA6	chr6	127472162	127472174	+	0.000	0.000	Merged-chr6-127472187-33
NR3111--MA0035.3.Gata1	chr17	27323302	27323312	+	0.000	0.000	Merged-chr17-27323176-36
NR1377--MA0036.3.GATA2	chr12	16136556	16136566	+	0.000	0.000	Merged-chr12-16136516-15
NR4097--MA0482.1.Gata4	chr2	136988017	136988027	-	0.000	0.000	Merged-chr2-136988057-20
NR5683--MA0036.3.GATA2	chr6	58881140	58881150	-	0.000	0.000	Merged-chr6-58880983-47
NR2449--MA0482.1.Gata4	chr14	123015952	123015962	+	0.000	0.000	Merged-chr14-123015903-11
NR1800--MA0482.1.Gata4	chr13	38050036	38050046	+	0.000	0.000	Merged-chr13-38050052-14
NR2291--MA0037.3.GATA3	chr14	62928198	62928205	+	0.000	0.000	Merged-chr14-62928345-50
NR1043--MA0035.3.Gata1	chr11	54063312	54063322	-	0.000	0.000	Merged-chr11-54063198-57
NR3570--MA0482.1.Gata4	chr19	32998969	32998979	-	0.000	0.000	Merged-chr19-32999080-29
NR368--MA1104.1.GATA6	chr1	164136960	164136972	+	0.000	0.000	Merged-chr1-164136892-1
NR6407--MA0482.1.Gata4	chr8	40595268	40595278	-	0.000	0.000	Merged-chr8-40595277-53
NR5481--MA0140.2.GATA1::TAL1	chr5	142407420	142407437	-	0.000	0.000	Merged-chr5-142407567-12
NR3775--MA1104.1.GATA6	chr2	45103421	45103433	+	0.000	0.000	Merged-chr2-45103270-35
NR3386--MA0766.1.GATA5	chr18	61479926	61479933	-	0.000	0.000	Merged-chr18-61480035-15
NR663--MA0036.3.GATA2	chr10	68356053	68356063	-	0.000	0.000	Merged-chr10-68356186-29
NR5717--MA0766.1.GATA5	chr6	72993529	72993536	+	0.000	0.000	Merged-chr6-72993527-59
NR1457--MA0036.3.GATA2	chr12	70078945	70078955	-	0.000	0.000	Merged-chr12-70078875-55
NR3737--MA0482.1.Gata4	chr2	29689672	29689682	-	0.000	0.000	Merged-chr2-29689675-19
NR867--MA0140.2.GATA1::TAL1	chr10	120896007	120896024	+	0.000	0.000	Merged-chr10-120895921-55
NR4098--MA1104.1.GATA6	chr2	136988017	136988029	+	0.000	0.000	Merged-chr2-136988057-20
NR581--MA0035.3.Gata1	chr10	34117969	34117979	+	0.000	0.000	Merged-chr10-34117997-36
NR1175--MA0766.1.GATA5	chr11	97246705	97246712	-	0.000	0.000	Merged-chr11-97246717-13
NR5083--MA0035.3.Gata1	chr5	8374461	8374471	-	0.000	0.000	Merged-chr5-8374526-17
NR5534--MA0766.1.GATA5	chr5	149392281	149392288	+	0.000	0.000	Merged-chr5-149392157-30
NR2798--MA0037.3.GATA3	chr16	24826503	24826510	-	0.000	0.000	Merged-chr16-24826564-20
