#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR481--MA1421.1.TCF7L1	chr1	151083957	151083968	-	0.000	0.000	Merged-chr1-151084034-24
NR1533--MA0769.1.Tcf7	chr11	93995373	93995384	+	0.000	0.000	Merged-chr11-93995310-5
NR3675--MA1421.1.TCF7L1	chr16	92743981	92743992	+	0.000	0.000	Merged-chr16-92743989-33
NR6432--MA0769.1.Tcf7	chr4	138089686	138089697	+	0.000	0.000	Merged-chr4-138089649-31
NR2687--MA1421.1.TCF7L1	chr14	36316957	36316968	-	0.000	0.000	Merged-chr14-36316941-55
NR306--MA0769.1.Tcf7	chr1	105565176	105565187	-	0.000	0.000	Merged-chr1-105565114-33
NR2767--MA0769.1.Tcf7	chr14	54061809	54061820	-	0.000	0.000	Merged-chr14-54061633-25
NR8335--MA1421.1.TCF7L1	chr8	83779701	83779712	-	0.000	0.000	Merged-chr8-83779707-23
NR6679--MA0769.1.Tcf7	chr5	64488116	64488127	+	0.000	0.000	Merged-chr5-64487990-63
NR9180--MA1421.1.TCF7L1	chrX	164318701	164318712	-	0.000	0.000	Merged-chrX-164318746-35
NR7515--MA1421.1.TCF7L1	chr6	129406118	129406129	-	0.000	0.000	Merged-chr6-129406250-15
NR1166--MA1421.1.TCF7L1	chr10	109115281	109115292	-	0.000	0.000	Merged-chr10-109115316-22
NR1912--MA0523.1.TCF7L2	chr12	79692291	79692304	-	0.000	0.000	Merged-chr12-79692424-46
NR2575--MA0769.1.Tcf7	chr13	117051697	117051708	+	0.000	0.000	Merged-chr13-117051602-40
NR2766--MA0523.1.TCF7L2	chr14	54061807	54061820	-	0.000	0.000	Merged-chr14-54061633-25
NR8434--MA0769.1.Tcf7	chr8	115188728	115188739	-	0.000	0.000	Merged-chr8-115188643-43
NR636--MA1421.1.TCF7L1	chr1	180390381	180390392	-	0.000	0.000	Merged-chr1-180390562-55
NR8336--MA0769.1.Tcf7	chr8	83779701	83779712	-	0.000	0.000	Merged-chr8-83779707-23
NR7618--MA1421.1.TCF7L1	chr6	146081207	146081218	+	0.000	0.000	Merged-chr6-146081045-99
NR781--MA1421.1.TCF7L1	chr10	19504574	19504585	+	0.000	0.000	Merged-chr10-19504569-39
NR1460--MA0769.1.Tcf7	chr11	70113941	70113952	-	0.000	0.000	Merged-chr11-70113983-20
NR6956--MA1421.1.TCF7L1	chr5	137857125	137857136	+	0.000	0.000	Merged-chr5-137857044-20
NR7281--MA1421.1.TCF7L1	chr6	82744605	82744616	+	0.000	0.000	Merged-chr6-82744737-54
NR6810--MA1421.1.TCF7L1	chr5	100526271	100526282	-	0.000	0.000	Merged-chr5-100526478-48
NR1590--MA0769.1.Tcf7	chr11	106416609	106416620	-	0.000	0.000	Merged-chr11-106416403-62
NR3864--MA0769.1.Tcf7	chr17	48318939	48318950	+	0.000	0.000	Merged-chr17-48318964-29
NR4573--MA0523.1.TCF7L2	chr2	11617019	11617032	+	0.000	0.000	Merged-chr2-11617013-39
NR6252--MA0769.1.Tcf7	chr4	88010647	88010658	-	0.000	0.000	Merged-chr4-88010715-29
NR6270--MA0769.1.Tcf7	chr4	89302313	89302324	-	0.000	0.000	Merged-chr4-89302202-17
NR5639--MA0523.1.TCF7L2	chr3	95909552	95909565	-	0.000	0.000	Merged-chr3-95909537-31
NR4301--MA0769.1.Tcf7	chr18	82607534	82607545	+	0.000	0.000	Merged-chr18-82607647-23
NR5082--MA0769.1.Tcf7	chr2	127923295	127923306	-	0.000	0.000	Merged-chr2-127923410-36
NR8101--MA0769.1.Tcf7	chr7	140947313	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR3677--MA0769.1.Tcf7	chr16	92743981	92743992	+	0.000	0.000	Merged-chr16-92743989-33
NR3458--MA0769.1.Tcf7	chr16	33053359	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR5264--MA0523.1.TCF7L2	chr2	158719399	158719412	-	0.000	0.000	Merged-chr2-158719347-62
NR1459--MA0523.1.TCF7L2	chr11	70113939	70113952	-	0.000	0.000	Merged-chr11-70113983-20
NR9031--MA0769.1.Tcf7	chr9	123734309	123734320	-	0.000	0.000	Merged-chr9-123734197-54
NR5081--MA1421.1.TCF7L1	chr2	127923295	127923306	-	0.000	0.000	Merged-chr2-127923410-36
NR3142--MA0523.1.TCF7L2	chr15	52753837	52753850	+	0.000	0.000	Merged-chr15-52753697-52
NR7282--MA0523.1.TCF7L2	chr6	82744605	82744618	+	0.000	0.000	Merged-chr6-82744737-54
NR7523--MA0769.1.Tcf7	chr6	129917725	129917736	+	0.000	0.000	Merged-chr6-129917853-39
NR8432--MA1421.1.TCF7L1	chr8	115188728	115188739	-	0.000	0.000	Merged-chr8-115188643-43
