#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR1807--MA0768.1.LEF1	chr7	31086476	31086490	+	0.000	0.000	Merged-chr7-31086534-15
NR1848--MA0768.1.LEF1	chr7	90004036	90004050	+	0.000	0.000	Merged-chr7-90004026-23
NR844--MA0768.1.LEF1	chr16	76323633	76323647	-	0.000	0.000	Merged-chr16-76323771-64
NR787--MA0768.1.LEF1	chr15	98623469	98623483	+	0.000	0.000	Merged-chr15-98623504-45
NR1912--MA0768.1.LEF1	chr7	140947310	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR2040--MA0768.1.LEF1	chr9	56273653	56273667	+	0.000	0.000	Merged-chr9-56273762-19
NR703--MA0768.1.LEF1	chr14	121830282	121830296	-	0.000	0.000	Merged-chr14-121830164-49
NR954--MA0768.1.LEF1	chr18	19524572	19524586	-	0.000	0.000	Merged-chr18-19524471-22
NR1855--MA0768.1.LEF1	chr7	98797475	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR1085--MA0768.1.LEF1	chr2	17597779	17597793	+	0.000	0.000	Merged-chr2-17597899-18
NR1609--MA0768.1.LEF1	chr5	105010601	105010615	+	0.000	0.000	Merged-chr5-105010527-49
NR641--MA0768.1.LEF1	chr14	54061806	54061820	-	0.000	0.000	Merged-chr14-54061633-25
