#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed
NR9771--MA0089.1.MAFG::NFE2L1	chr4	145263661	145263666	-	0.000	0.000	Merged-chr4-145263821-10
NR5934--MA0501.1.MAF::NFE2	chr17	52168419	52168433	-	0.000	0.000	Merged-chr17-52168646-44
NR11325--MA0089.1.MAFG::NFE2L1	chr6	108466214	108466219	-	0.000	0.000	Merged-chr6-108466218-26
NR13156--MA0117.2.Mafb	chr9	57278474	57278485	+	0.000	0.000	Merged-chr9-57278495-40
NR1659--MA0089.1.MAFG::NFE2L1	chr10	76542916	76542921	+	0.000	0.000	Merged-chr10-76543066-52
NR6719--MA0089.1.MAFG::NFE2L1	chr18	89126581	89126586	-	0.000	0.000	Merged-chr18-89126622-17
NR5763--MA0089.1.MAFG::NFE2L1	chr17	21536859	21536864	-	0.000	0.000	Merged-chr17-21536922-38
NR10629--MA0591.1.Bach1::Mafk	chr5	146655358	146655372	+	0.000	0.000	Merged-chr5-146655552-37
NR3630--MA0496.2.MAFK	chr13	99385148	99385166	+	0.000	0.000	Merged-chr13-99385105-49
NR262--MA0591.1.Bach1::Mafk	chr1	58304611	58304625	-	0.000	0.000	Merged-chr1-58304515-8
NR5950--MA0089.1.MAFG::NFE2L1	chr17	56819798	56819803	+	0.000	0.000	Merged-chr17-56819789-51
NR6779--MA0496.2.MAFK	chr19	14352215	14352233	-	0.000	0.000	Merged-chr19-14352313-109
NR5349--MA0496.2.MAFK	chr16	52468521	52468539	+	0.000	0.000	Merged-chr16-52468577-24
NR13506--MA0117.2.Mafb	chr9	123723235	123723246	+	0.000	0.000	Merged-chr9-123723255-25
NR7069--MA0501.1.MAF::NFE2	chr2	27693889	27693903	+	0.000	0.000	Merged-chr2-27693880-30
NR1802--MA0117.2.Mafb	chr10	96274309	96274320	-	0.000	0.000	Merged-chr10-96274144-52
NR1283--MA0117.2.Mafb	chr10	21976504	21976515	-	0.000	0.000	Merged-chr10-21976372-39
NR6360--MA0501.1.MAF::NFE2	chr18	39035430	39035444	+	0.000	0.000	Merged-chr18-39035384-28
NR180--MA0591.1.Bach1::Mafk	chr1	38884011	38884025	-	0.000	0.000	Merged-chr1-38884000-31
NR13223--MA0495.2.MAFF	chr9	78074138	78074158	+	0.000	0.000	Merged-chr9-78074095-46
NR781--MA0089.1.MAFG::NFE2L1	chr1	144086355	144086360	-	0.000	0.000	Merged-chr1-144086303-34
NR13741--MA0591.1.Bach1::Mafk	chrX	162868568	162868582	+	0.000	0.000	Merged-chrX-162868446-21
NR5540--MA0117.2.Mafb	chr16	78198808	78198819	-	0.000	0.000	Merged-chr16-78198816-65
NR13137--MA0501.1.MAF::NFE2	chr9	45251480	45251494	-	0.000	0.000	Merged-chr9-45251567-12
NR1002--MA0501.1.MAF::NFE2	chr1	180403754	180403768	-	0.000	0.000	Merged-chr1-180403715-60
NR6535--MA0089.1.MAFG::NFE2L1	chr18	62186339	62186344	-	0.000	0.000	Merged-chr18-62186304-32
NR10999--MA0659.1.MAFG	chr6	54925857	54925877	-	0.000	0.000	Merged-chr6-54926058-40
NR11569--MA0089.1.MAFG::NFE2L1	chr6	140466497	140466502	-	0.000	0.000	Merged-chr6-140466408-37
NR6777--MA0495.2.MAFF	chr19	14352214	14352234	-	0.000	0.000	Merged-chr19-14352313-109
NR5817--MA0089.1.MAFG::NFE2L1	chr17	28013402	28013407	+	0.000	0.000	Merged-chr17-28013455-33
NR12761--MA0496.2.MAFK	chr8	84825733	84825751	+	0.000	0.000	Merged-chr8-84825845-44
NR6361--MA0501.1.MAF::NFE2	chr18	39035417	39035431	-	0.000	0.000	Merged-chr18-39035384-28
NR5054--MA0117.2.Mafb	chr15	99009003	99009014	+	0.000	0.000	Merged-chr15-99008995-43
NR5614--MA0117.2.Mafb	chr16	91793525	91793536	+	0.000	0.000	Merged-chr16-91793603-12
NR1780--MA0089.1.MAFG::NFE2L1	chr10	93442398	93442403	+	0.000	0.000	Merged-chr10-93442339-20
NR10628--MA0495.2.MAFF	chr5	146655355	146655375	-	0.000	0.000	Merged-chr5-146655552-37
NR2374--MA0496.2.MAFK	chr11	95834502	95834520	-	0.000	0.000	Merged-chr11-95834511-50
NR5925--MA0591.1.Bach1::Mafk	chr17	50470628	50470642	+	0.000	0.000	Merged-chr17-50470429-100
NR8356--MA0117.2.Mafb	chr3	61409840	61409851	-	0.000	0.000	Merged-chr3-61409766-58
NR605--MA0117.2.Mafb	chr1	107534012	107534023	+	0.000	0.000	Merged-chr1-107533964-30
NR4819--MA0089.1.MAFG::NFE2L1	chr15	57921636	57921641	-	0.000	0.000	Merged-chr15-57921644-21
NR2372--MA0591.1.Bach1::Mafk	chr11	95834504	95834518	+	0.000	0.000	Merged-chr11-95834511-50
NR13230--MA0496.2.MAFK	chr9	78074139	78074157	-	0.000	0.000	Merged-chr9-78074095-46
NR4234--MA0117.2.Mafb	chr14	64434220	64434231	+	0.000	0.000	Merged-chr14-64434245-45
NR6109--MA0089.1.MAFG::NFE2L1	chr17	84004425	84004430	-	0.000	0.000	Merged-chr17-84004507-68
NR13191--MA0495.2.MAFF	chr9	72097291	72097311	+	0.000	0.000	Merged-chr9-72097262-35
NR2365--MA0089.1.MAFG::NFE2L1	chr11	95356989	95356994	-	0.000	0.000	Merged-chr11-95356897-59
NR11719--MA0089.1.MAFG::NFE2L1	chr7	16366525	16366530	+	0.000	0.000	Merged-chr7-16366464-23
NR8050--MA0089.1.MAFG::NFE2L1	chr3	9853200	9853205	+	0.000	0.000	Merged-chr3-9853322-69
NR1549--MA0089.1.MAFG::NFE2L1	chr10	62543619	62543624	+	0.000	0.000	Merged-chr10-62543854-97
NR13199--MA0089.1.MAFG::NFE2L1	chr9	73068535	73068540	+	0.000	0.000	Merged-chr9-73068515-27
NR12242--MA0089.1.MAFG::NFE2L1	chr7	119872429	119872434	+	0.000	0.000	Merged-chr7-119872260-31
NR4459--MA0089.1.MAFG::NFE2L1	chr14	115250671	115250676	-	0.000	0.000	Merged-chr14-115250840-27
NR13224--MA0495.2.MAFF	chr9	78074138	78074158	-	0.000	0.000	Merged-chr9-78074095-46
NR13742--MA0501.1.MAF::NFE2	chrX	162868571	162868585	+	0.000	0.000	Merged-chrX-162868446-21
NR5831--MA0591.1.Bach1::Mafk	chr17	31176458	31176472	+	0.000	0.000	Merged-chr17-31176516-21
NR6358--MA0591.1.Bach1::Mafk	chr18	39035427	39035441	+	0.000	0.000	Merged-chr18-39035384-28
NR13360--MA0117.2.Mafb	chr9	95120208	95120219	-	0.000	0.000	Merged-chr9-95120288-34
NR886--MA0089.1.MAFG::NFE2L1	chr1	164079311	164079316	-	0.000	0.000	Merged-chr1-164079439-12
NR7070--MA0496.2.MAFK	chr2	27693884	27693902	+	0.000	0.000	Merged-chr2-27693880-30
NR2473--MA0591.1.Bach1::Mafk	chr11	120353799	120353813	-	0.000	0.000	Merged-chr11-120353921-57
NR12188--MA0089.1.MAFG::NFE2L1	chr7	110965579	110965584	-	0.000	0.000	Merged-chr7-110965629-28
NR9724--MA0591.1.Bach1::Mafk	chr4	130900053	130900067	-	0.000	0.000	Merged-chr4-130900085-53
NR4235--MA0496.2.MAFK	chr14	64434221	64434239	+	0.000	0.000	Merged-chr14-64434245-45
NR2366--MA0591.1.Bach1::Mafk	chr11	95356972	95356986	-	0.000	0.000	Merged-chr11-95356897-59
NR7888--MA0501.1.MAF::NFE2	chr2	167840485	167840499	+	0.000	0.000	Merged-chr2-167840232-36
NR780--MA0089.1.MAFG::NFE2L1	chr1	144086333	144086338	+	0.000	0.000	Merged-chr1-144086303-34
NR7263--MA0089.1.MAFG::NFE2L1	chr2	60204272	60204277	+	0.000	0.000	Merged-chr2-60204421-25
NR2474--MA0501.1.MAF::NFE2	chr11	120353796	120353810	-	0.000	0.000	Merged-chr11-120353921-57
NR5518--MA0089.1.MAFG::NFE2L1	chr16	75921130	75921135	-	0.000	0.000	Merged-chr16-75921068-56
NR5825--MA0117.2.Mafb	chr17	29551132	29551143	-	0.000	0.000	Merged-chr17-29551156-34
NR13194--MA0496.2.MAFK	chr9	72097292	72097310	+	0.000	0.000	Merged-chr9-72097262-35
NR6362--MA0496.2.MAFK	chr18	39035418	39035436	+	0.000	0.000	Merged-chr18-39035384-28
NR9722--MA0089.1.MAFG::NFE2L1	chr4	130045944	130045949	-	0.000	0.000	Merged-chr4-130045793-53
NR9746--MA0089.1.MAFG::NFE2L1	chr4	140944959	140944964	-	0.000	0.000	Merged-chr4-140945149-61
NR13238--MA0117.2.Mafb	chr9	79919611	79919622	-	0.000	0.000	Merged-chr9-79919473-56
NR782--MA0591.1.Bach1::Mafk	chr1	144086348	144086362	-	0.000	0.000	Merged-chr1-144086303-34
NR12760--MA0495.2.MAFF	chr8	84825732	84825752	+	0.000	0.000	Merged-chr8-84825845-44
NR9071--MA0501.1.MAF::NFE2	chr4	6925026	6925040	-	0.000	0.000	Merged-chr4-6924913-49
NR11184--MA0089.1.MAFG::NFE2L1	chr6	87542134	87542139	-	0.000	0.000	Merged-chr6-87542145-24
NR5350--MA0496.2.MAFK	chr16	52468521	52468539	-	0.000	0.000	Merged-chr16-52468577-24
NR7550--MA0501.1.MAF::NFE2	chr2	117374459	117374473	-	0.000	0.000	Merged-chr2-117374468-47
NR1794--MA0089.1.MAFG::NFE2L1	chr10	95179109	95179114	+	0.000	0.000	Merged-chr10-95179066-28
NR4238--MA0496.2.MAFK	chr14	64434254	64434272	-	0.000	0.000	Merged-chr14-64434245-45
NR11001--MA0659.1.MAFG	chr6	54925895	54925915	-	0.000	0.000	Merged-chr6-54926058-40
NR9666--MA0089.1.MAFG::NFE2L1	chr4	119947741	119947746	-	0.000	0.000	Merged-chr4-119947761-47
NR4214--MA0089.1.MAFG::NFE2L1	chr14	54518835	54518840	-	0.000	0.000	Merged-chr14-54518806-37
NR6356--MA0495.2.MAFF	chr18	39035417	39035437	-	0.000	0.000	Merged-chr18-39035384-28
NR7260--MA0117.2.Mafb	chr2	60019291	60019302	-	0.000	0.000	Merged-chr2-60019234-65
NR2369--MA0495.2.MAFF	chr11	95834501	95834521	+	0.000	0.000	Merged-chr11-95834511-50
NR6081--MA0089.1.MAFG::NFE2L1	chr17	80174328	80174333	-	0.000	0.000	Merged-chr17-80174428-10
NR10736--MA0117.2.Mafb	chr6	8648666	8648677	-	0.000	0.000	Merged-chr6-8648625-101
NR5830--MA0089.1.MAFG::NFE2L1	chr17	31176460	31176465	+	0.000	0.000	Merged-chr17-31176516-21
NR2258--MA0591.1.Bach1::Mafk	chr11	57951761	57951775	-	0.000	0.000	Merged-chr11-57951726-64
NR261--MA0089.1.MAFG::NFE2L1	chr1	58304618	58304623	-	0.000	0.000	Merged-chr1-58304515-8
NR10997--MA0501.1.MAF::NFE2	chr6	54775914	54775928	-	0.000	0.000	Merged-chr6-54775842-27
NR8540--MA0089.1.MAFG::NFE2L1	chr3	88664176	88664181	+	0.000	0.000	Merged-chr3-88664296-18
NR5832--MA0501.1.MAF::NFE2	chr17	31176461	31176475	+	0.000	0.000	Merged-chr17-31176516-21
NR7071--MA0496.2.MAFK	chr2	27693884	27693902	-	0.000	0.000	Merged-chr2-27693880-30
NR1257--MA0089.1.MAFG::NFE2L1	chr10	19209893	19209898	+	0.000	0.000	Merged-chr10-19209945-33
NR4236--MA0496.2.MAFK	chr14	64434254	64434272	+	0.000	0.000	Merged-chr14-64434245-45
NR13192--MA0659.1.MAFG	chr9	72097291	72097311	+	0.000	0.000	Merged-chr9-72097262-35
NR876--MA0089.1.MAFG::NFE2L1	chr1	161894385	161894390	-	0.000	0.000	Merged-chr1-161894254-19
NR59--MA0089.1.MAFG::NFE2L1	chr1	13301687	13301692	+	0.000	0.000	Merged-chr1-13301807-39
NR896--MA0117.2.Mafb	chr1	165822163	165822174	+	0.000	0.000	Merged-chr1-165822211-30
NR672--MA0089.1.MAFG::NFE2L1	chr1	120073728	120073733	-	0.000	0.000	Merged-chr1-120073802-51
NR10996--MA0591.1.Bach1::Mafk	chr6	54775917	54775931	-	0.000	0.000	Merged-chr6-54775842-27
NR6103--MA0496.2.MAFK	chr17	83654980	83654998	-	0.000	0.000	Merged-chr17-83654883-58
NR3627--MA0089.1.MAFG::NFE2L1	chr13	99148661	99148666	-	0.000	0.000	Merged-chr13-99148566-18
NR6137--MA0089.1.MAFG::NFE2L1	chr17	88123955	88123960	+	0.000	0.000	Merged-chr17-88123873-45
NR13195--MA0496.2.MAFK	chr9	72097292	72097310	-	0.000	0.000	Merged-chr9-72097262-35
NR1779--MA0501.1.MAF::NFE2	chr10	93442283	93442297	-	0.000	0.000	Merged-chr10-93442339-20
NR11002--MA0496.2.MAFK	chr6	54925896	54925914	-	0.000	0.000	Merged-chr6-54926058-40
NR6363--MA0496.2.MAFK	chr18	39035418	39035436	-	0.000	0.000	Merged-chr18-39035384-28
NR779--MA0591.1.Bach1::Mafk	chr1	143985375	143985389	+	0.000	0.000	Merged-chr1-143985220-17
NR7887--MA0591.1.Bach1::Mafk	chr2	167840482	167840496	+	0.000	0.000	Merged-chr2-167840232-36
NR10631--MA0659.1.MAFG	chr5	146655355	146655375	+	0.000	0.000	Merged-chr5-146655552-37
NR9627--MA0089.1.MAFG::NFE2L1	chr4	106970971	106970976	+	0.000	0.000	Merged-chr4-106970923-40
NR13128--MA0089.1.MAFG::NFE2L1	chr9	42076580	42076585	+	0.000	0.000	Merged-chr9-42076417-27
NR13225--MA0591.1.Bach1::Mafk	chr9	78074141	78074155	+	0.000	0.000	Merged-chr9-78074095-46
NR11657--MA0591.1.Bach1::Mafk	chr7	3290321	3290335	-	0.000	0.000	Merged-chr7-3290343-35
NR7262--MA0089.1.MAFG::NFE2L1	chr2	60200263	60200268	-	0.000	0.000	Merged-chr2-60200262-30
NR10634--MA0496.2.MAFK	chr5	146655356	146655374	-	0.000	0.000	Merged-chr5-146655552-37
NR5517--MA0089.1.MAFG::NFE2L1	chr16	75920923	75920928	+	0.000	0.000	Merged-chr16-75921068-56
NR6357--MA0089.1.MAFG::NFE2L1	chr18	39035429	39035434	+	0.000	0.000	Merged-chr18-39035384-28
NR6359--MA0591.1.Bach1::Mafk	chr18	39035420	39035434	-	0.000	0.000	Merged-chr18-39035384-28
NR8530--MA0591.1.Bach1::Mafk	chr3	84680350	84680364	-	0.000	0.000	Merged-chr3-84680282-50
NR5337--MA0089.1.MAFG::NFE2L1	chr16	52374354	52374359	+	0.000	0.000	Merged-chr16-52374285-15
NR12983--MA0089.1.MAFG::NFE2L1	chr8	128595102	128595107	+	0.000	0.000	Merged-chr8-128595191-53
NR2371--MA0117.2.Mafb	chr11	95834510	95834521	-	0.000	0.000	Merged-chr11-95834511-50
NR6778--MA0501.1.MAF::NFE2	chr19	14352220	14352234	+	0.000	0.000	Merged-chr19-14352313-109
NR11572--MA0089.1.MAFG::NFE2L1	chr6	140819554	140819559	-	0.000	0.000	Merged-chr6-140819599-25
NR2367--MA0501.1.MAF::NFE2	chr11	95356969	95356983	-	0.000	0.000	Merged-chr11-95356897-59
NR3702--MA0495.2.MAFF	chr13	107095407	107095427	-	0.000	0.000	Merged-chr13-107095527-25
NR10630--MA0591.1.Bach1::Mafk	chr5	146655358	146655372	-	0.000	0.000	Merged-chr5-146655552-37
NR7068--MA0591.1.Bach1::Mafk	chr2	27693886	27693900	+	0.000	0.000	Merged-chr2-27693880-30
NR5345--MA0495.2.MAFF	chr16	52468520	52468540	+	0.000	0.000	Merged-chr16-52468577-24
NR1778--MA0495.2.MAFF	chr10	93442283	93442303	+	0.000	0.000	Merged-chr10-93442339-20
NR5347--MA0659.1.MAFG	chr16	52468520	52468540	+	0.000	0.000	Merged-chr16-52468577-24
NR4237--MA0496.2.MAFK	chr14	64434221	64434239	-	0.000	0.000	Merged-chr14-64434245-45
NR13075--MA0089.1.MAFG::NFE2L1	chr9	24505055	24505060	+	0.000	0.000	Merged-chr9-24505220-44
NR13193--MA0659.1.MAFG	chr9	72097291	72097311	-	0.000	0.000	Merged-chr9-72097262-35
NR1973--MA0501.1.MAF::NFE2	chr10	118007272	118007286	+	0.000	0.000	Merged-chr10-118007304-63
NR11000--MA0659.1.MAFG	chr6	54925895	54925915	+	0.000	0.000	Merged-chr6-54926058-40
NR6355--MA0495.2.MAFF	chr18	39035417	39035437	+	0.000	0.000	Merged-chr18-39035384-28
NR5351--MA0089.1.MAFG::NFE2L1	chr16	52468615	52468620	+	0.000	0.000	Merged-chr16-52468577-24
NR2260--MA0501.1.MAF::NFE2	chr11	58437222	58437236	+	0.000	0.000	Merged-chr11-58437152-28
NR5826--MA0591.1.Bach1::Mafk	chr17	29551126	29551140	+	0.000	0.000	Merged-chr17-29551156-34
NR10632--MA0659.1.MAFG	chr5	146655355	146655375	-	0.000	0.000	Merged-chr5-146655552-37
NR1806--MA0496.2.MAFK	chr10	96599771	96599789	+	0.000	0.000	Merged-chr10-96599778-54
NR58--MA0089.1.MAFG::NFE2L1	chr1	13301631	13301636	+	0.000	0.000	Merged-chr1-13301807-39
NR13226--MA0659.1.MAFG	chr9	78074138	78074158	+	0.000	0.000	Merged-chr9-78074095-46
NR11639--MA0089.1.MAFG::NFE2L1	chr6	146271409	146271414	-	0.000	0.000	Merged-chr6-146271470-40
NR11926--MA0089.1.MAFG::NFE2L1	chr7	67421999	67422004	-	0.000	0.000	Merged-chr7-67421949-40
NR778--MA0501.1.MAF::NFE2	chr1	143985332	143985346	-	0.000	0.000	Merged-chr1-143985220-17
NR103--MA0089.1.MAFG::NFE2L1	chr1	16228115	16228120	+	0.000	0.000	Merged-chr1-16228179-38
NR8016--MA0591.1.Bach1::Mafk	chr2	180732251	180732265	-	0.000	0.000	Merged-chr2-180732168-28
NR13229--MA0496.2.MAFK	chr9	78074139	78074157	+	0.000	0.000	Merged-chr9-78074095-46
NR9725--MA0501.1.MAF::NFE2	chr4	130900050	130900064	-	0.000	0.000	Merged-chr4-130900085-53
NR13201--MA0089.1.MAFG::NFE2L1	chr9	73073477	73073482	+	0.000	0.000	Merged-chr9-73073244-62
NR11180--MA0501.1.MAF::NFE2	chr6	86850830	86850844	+	0.000	0.000	Merged-chr6-86850884-40
NR1650--MA0089.1.MAFG::NFE2L1	chr10	75146211	75146216	-	0.000	0.000	Merged-chr10-75146347-53
NR1804--MA0495.2.MAFF	chr10	96599770	96599790	+	0.000	0.000	Merged-chr10-96599778-54
NR8304--MA0089.1.MAFG::NFE2L1	chr3	54567428	54567433	+	0.000	0.000	Merged-chr3-54567528-25
NR2370--MA0495.2.MAFF	chr11	95834501	95834521	-	0.000	0.000	Merged-chr11-95834511-50
NR5414--MA0089.1.MAFG::NFE2L1	chr16	59459685	59459690	-	0.000	0.000	Merged-chr16-59459484-51
NR777--MA0591.1.Bach1::Mafk	chr1	143985335	143985349	-	0.000	0.000	Merged-chr1-143985220-17
NR7456--MA0591.1.Bach1::Mafk	chr2	101732927	101732941	-	0.000	0.000	Merged-chr2-101732901-49
NR10633--MA0496.2.MAFK	chr5	146655356	146655374	+	0.000	0.000	Merged-chr5-146655552-37
NR10735--MA0089.1.MAFG::NFE2L1	chr6	8648661	8648666	+	0.000	0.000	Merged-chr6-8648625-101
NR1805--MA0591.1.Bach1::Mafk	chr10	96599773	96599787	-	0.000	0.000	Merged-chr10-96599778-54
NR891--MA0495.2.MAFF	chr1	165730383	165730403	+	0.000	0.000	Merged-chr1-165730262-25
NR5346--MA0495.2.MAFF	chr16	52468520	52468540	-	0.000	0.000	Merged-chr16-52468577-24
NR5348--MA0659.1.MAFG	chr16	52468520	52468540	-	0.000	0.000	Merged-chr16-52468577-24
NR3703--MA0496.2.MAFK	chr13	107095408	107095426	-	0.000	0.000	Merged-chr13-107095527-25
NR6451--MA0117.2.Mafb	chr18	50016872	50016883	+	0.000	0.000	Merged-chr18-50017066-69
NR12753--MA0117.2.Mafb	chr8	84127410	84127421	+	0.000	0.000	Merged-chr8-84127420-70
NR4603--MA0659.1.MAFG	chr15	12008206	12008226	+	0.000	0.000	Merged-chr15-12008199-38
