#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR873--MA0690.1.TBX21	chr16	10814998	10815007	+	0.000	0.000	Merged-chr16-10815093-30
NR899--MA0690.1.TBX21	chr16	49790939	49790948	+	0.000	0.000	Merged-chr16-49791055-52
NR1107--MA0690.1.TBX21	chr18	83465362	83465371	-	0.000	0.000	Merged-chr18-83465273-18
NR2246--MA0690.1.TBX21	chr9	50548083	50548092	+	0.000	0.000	Merged-chr9-50548118-48
NR1971--MA0690.1.TBX21	chr7	24452283	24452292	+	0.000	0.000	Merged-chr7-24452185-33
NR127--MA0690.1.TBX21	chr1	152008858	152008867	+	0.000	0.000	Merged-chr1-152008952-65
NR1411--MA0690.1.TBX21	chr3	83997251	83997260	-	0.000	0.000	Merged-chr3-83997240-19
NR1844--MA0690.1.TBX21	chr6	67184845	67184854	-	0.000	0.000	Merged-chr6-67184785-39
NR1422--MA0690.1.TBX21	chr3	95909423	95909432	-	0.000	0.000	Merged-chr3-95909537-31
NR784--MA0690.1.TBX21	chr15	12606612	12606621	-	0.000	0.000	Merged-chr15-12606518-21
NR1469--MA0690.1.TBX21	chr3	137954535	137954544	+	0.000	0.000	Merged-chr3-137954430-54
NR463--MA0690.1.TBX21	chr11	117872067	117872076	-	0.000	0.000	Merged-chr11-117872185-83
NR1257--MA0690.1.TBX21	chr2	102812925	102812934	-	0.000	0.000	Merged-chr2-102812992-26
NR1475--MA0690.1.TBX21	chr3	142533283	142533292	+	0.000	0.000	Merged-chr3-142533345-44
NR739--MA0690.1.TBX21	chr14	78559106	78559115	+	0.000	0.000	Merged-chr14-78559223-28
NR1087--MA0690.1.TBX21	chr18	75043936	75043945	-	0.000	0.000	Merged-chr18-75044050-32
NR782--MA0690.1.TBX21	chr15	9567653	9567662	+	0.000	0.000	Merged-chr15-9567519-26
NR1196--MA0690.1.TBX21	chr2	29753035	29753044	-	0.000	0.000	Merged-chr2-29753036-13
NR814--MA0690.1.TBX21	chr15	62390383	62390392	+	0.000	0.000	Merged-chr15-62390498-8
NR644--MA0690.1.TBX21	chr13	101533205	101533214	+	0.000	0.000	Merged-chr13-101533206-46
NR2083--MA0690.1.TBX21	chr7	140324189	140324198	-	0.000	0.000	Merged-chr7-140324353-33
NR100--MA0690.1.TBX21	chr1	131747196	131747205	-	0.000	0.000	Merged-chr1-131747235-22
NR2359--MA0690.1.TBX21	chrX	159447265	159447274	-	0.000	0.000	Merged-chrX-159447377-17
NR2059--MA0690.1.TBX21	chr7	125511522	125511531	+	0.000	0.000	Merged-chr7-125511628-40
NR166--MA0690.1.TBX21	chr1	177455597	177455606	+	0.000	0.000	Merged-chr1-177455545-12
