#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed
NR1607--MA0769.1.Tcf7	chr11	109495865	109495876	+	0.000	0.000	Merged-chr11-109495747-14
NR838--MA1421.1.TCF7L1	chr10	34171286	34171297	+	0.000	0.000	Merged-chr10-34171360-52
NR8359--MA0769.1.Tcf7	chr8	88771558	88771569	-	0.000	0.000	Merged-chr8-88771445-24
NR5717--MA0523.1.TCF7L2	chr3	105900046	105900059	+	0.000	0.000	Merged-chr3-105899940-9
NR7281--MA1421.1.TCF7L1	chr6	82744605	82744616	+	0.000	0.000	Merged-chr6-82744737-54
NR6810--MA1421.1.TCF7L1	chr5	100526271	100526282	-	0.000	0.000	Merged-chr5-100526478-48
NR6252--MA0769.1.Tcf7	chr4	88010647	88010658	-	0.000	0.000	Merged-chr4-88010715-29
NR3538--MA0769.1.Tcf7	chr16	49772876	49772887	+	0.000	0.000	Merged-chr16-49772867-33
NR5082--MA0769.1.Tcf7	chr2	127923295	127923306	-	0.000	0.000	Merged-chr2-127923410-36
NR1606--MA0523.1.TCF7L2	chr11	109495865	109495878	+	0.000	0.000	Merged-chr11-109495747-14
NR8656--MA1421.1.TCF7L1	chr9	50852881	50852892	-	0.000	0.000	Merged-chr9-50852835-21
NR3458--MA0769.1.Tcf7	chr16	33053359	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR5264--MA0523.1.TCF7L2	chr2	158719399	158719412	-	0.000	0.000	Merged-chr2-158719347-62
NR5081--MA1421.1.TCF7L1	chr2	127923295	127923306	-	0.000	0.000	Merged-chr2-127923410-36
NR8458--MA1421.1.TCF7L1	chr8	123203520	123203531	+	0.000	0.000	Merged-chr8-123203714-21
NR3142--MA0523.1.TCF7L2	chr15	52753837	52753850	+	0.000	0.000	Merged-chr15-52753697-52
NR7282--MA0523.1.TCF7L2	chr6	82744605	82744618	+	0.000	0.000	Merged-chr6-82744737-54
NR7523--MA0769.1.Tcf7	chr6	129917725	129917736	+	0.000	0.000	Merged-chr6-129917853-39
NR1844--MA1421.1.TCF7L1	chr12	69516445	69516456	+	0.000	0.000	Merged-chr12-69516635-49
