#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR9729--MA0036.3.GATA2	chr9	92274453	92274463	+	0.000	0.000	Merged-chr9-92274591-56
NR4359--MA0035.3.Gata1	chr17	27323302	27323312	+	0.000	0.000	Merged-chr17-27323176-36
NR3866--MA0035.3.Gata1	chr16	24826502	24826512	+	0.000	0.000	Merged-chr16-24826564-20
NR4229--MA0035.3.Gata1	chr17	3209753	3209763	+	0.000	0.000	Merged-chr17-3209784-17
NR9928--MA0482.1.Gata4	chrX	153375288	153375298	+	0.000	0.000	Merged-chrX-153375365-26
NR6664--MA0037.3.GATA3	chr4	10770164	10770171	+	0.000	0.000	Merged-chr4-10770192-53
NR7210--MA0766.1.GATA5	chr4	150517582	150517589	-	0.000	0.000	Merged-chr4-150517532-35
NR4167--MA0140.2.GATA1::TAL1	chr16	91063928	91063945	-	0.000	0.000	Merged-chr16-91063973-29
NR3637--MA0766.1.GATA5	chr15	53267119	53267126	+	0.000	0.000	Merged-chr15-53267286-91
NR4227--MA1104.1.GATA6	chr17	3209752	3209764	-	0.000	0.000	Merged-chr17-3209784-17
NR7786--MA0482.1.Gata4	chr5	149392278	149392288	-	0.000	0.000	Merged-chr5-149392157-30
NR2513--MA0037.3.GATA3	chr13	29756231	29756238	+	0.000	0.000	Merged-chr13-29756237-14
NR6297--MA0140.2.GATA1::TAL1	chr3	107100165	107100182	-	0.000	0.000	Merged-chr3-107100029-42
NR5062--MA0140.2.GATA1::TAL1	chr19	32998961	32998978	-	0.000	0.000	Merged-chr19-32999080-29
NR9929--MA1104.1.GATA6	chrX	153375286	153375298	-	0.000	0.000	Merged-chrX-153375365-26
NR8860--MA1104.1.GATA6	chr7	92420480	92420492	-	0.000	0.000	Merged-chr7-92420666-38
NR5042--MA0035.3.Gata1	chr19	25360764	25360774	-	0.000	0.000	Merged-chr19-25360847-26
NR1632--MA0037.3.GATA3	chr11	54063314	54063321	+	0.000	0.000	Merged-chr11-54063198-57
NR2895--MA0035.3.Gata1	chr13	111655962	111655972	-	0.000	0.000	Merged-chr13-111655949-74
NR7787--MA1104.1.GATA6	chr5	149392278	149392290	+	0.000	0.000	Merged-chr5-149392157-30
NR5057--MA0482.1.Gata4	chr19	32998969	32998979	-	0.000	0.000	Merged-chr19-32999080-29
NR4955--MA0035.3.Gata1	chr18	75322353	75322363	+	0.000	0.000	Merged-chr18-75322404-42
NR3638--MA0035.3.Gata1	chr15	53267117	53267127	-	0.000	0.000	Merged-chr15-53267286-91
NR4355--MA0037.3.GATA3	chr17	27323303	27323310	-	0.000	0.000	Merged-chr17-27323176-36
NR3862--MA0037.3.GATA3	chr16	24826503	24826510	-	0.000	0.000	Merged-chr16-24826564-20
NR9011--MA0037.3.GATA3	chr7	135598690	135598697	+	0.000	0.000	Merged-chr7-135598633-32
NR664--MA0766.1.GATA5	chr1	151973294	151973301	+	0.000	0.000	Merged-chr1-151973357-25
NR2803--MA0140.2.GATA1::TAL1	chr13	95393443	95393460	+	0.000	0.000	Merged-chr13-95393533-22
NR4953--MA1104.1.GATA6	chr18	75322352	75322364	-	0.000	0.000	Merged-chr18-75322404-42
NR7046--MA0035.3.Gata1	chr4	101217307	101217317	-	0.000	0.000	Merged-chr4-101217167-64
NR4206--MA0036.3.GATA2	chr16	97204300	97204310	+	0.000	0.000	Merged-chr16-97204388-55
NR9015--MA0766.1.GATA5	chr7	135598690	135598697	+	0.000	0.000	Merged-chr7-135598633-32
NR5058--MA1104.1.GATA6	chr19	32998969	32998981	+	0.000	0.000	Merged-chr19-32999080-29
NR6475--MA0766.1.GATA5	chr3	136742960	136742967	-	0.000	0.000	Merged-chr3-136742959-57
NR8121--MA0766.1.GATA5	chr6	67184856	67184863	+	0.000	0.000	Merged-chr6-67184785-39
NR9930--MA0036.3.GATA2	chrX	153375287	153375297	+	0.000	0.000	Merged-chrX-153375365-26
NR7206--MA0037.3.GATA3	chr4	150517582	150517589	-	0.000	0.000	Merged-chr4-150517532-35
NR7044--MA1104.1.GATA6	chr4	101217306	101217318	+	0.000	0.000	Merged-chr4-101217167-64
NR2170--MA0766.1.GATA5	chr12	89719512	89719519	+	0.000	0.000	Merged-chr12-89719457-81
NR7785--MA0037.3.GATA3	chr5	149392281	149392288	+	0.000	0.000	Merged-chr5-149392157-30
NR8859--MA0482.1.Gata4	chr7	92420482	92420492	+	0.000	0.000	Merged-chr7-92420666-38
NR2186--MA0036.3.GATA2	chr12	91065610	91065620	+	0.000	0.000	Merged-chr12-91065547-31
NR7981--MA0140.2.GATA1::TAL1	chr6	49128488	49128505	-	0.000	0.000	Merged-chr6-49128471-29
NR6667--MA0036.3.GATA2	chr4	10770162	10770172	-	0.000	0.000	Merged-chr4-10770192-53
NR8122--MA0035.3.Gata1	chr6	67184854	67184864	-	0.000	0.000	Merged-chr6-67184785-39
NR8339--MA0036.3.GATA2	chr6	127474042	127474052	-	0.000	0.000	Merged-chr6-127474146-19
NR5056--MA0037.3.GATA3	chr19	32998972	32998979	+	0.000	0.000	Merged-chr19-32999080-29
NR2168--MA1104.1.GATA6	chr12	89719509	89719521	+	0.000	0.000	Merged-chr12-89719457-81
NR8908--MA0035.3.Gata1	chr7	109951589	109951599	-	0.000	0.000	Merged-chr7-109951636-55
NR5323--MA0140.2.GATA1::TAL1	chr2	59469819	59469836	+	0.000	0.000	Merged-chr2-59469655-1
NR2514--MA1104.1.GATA6	chr13	29756228	29756240	+	0.000	0.000	Merged-chr13-29756237-14
NR5322--MA0035.3.Gata1	chr2	59469817	59469827	+	0.000	0.000	Merged-chr2-59469655-1
NR6157--MA0482.1.Gata4	chr3	68967471	68967481	-	0.000	0.000	Merged-chr3-68967303-47
NR5320--MA1104.1.GATA6	chr2	59469816	59469828	-	0.000	0.000	Merged-chr2-59469655-1
NR4204--MA0482.1.Gata4	chr16	97204301	97204311	+	0.000	0.000	Merged-chr16-97204388-55
NR663--MA0036.3.GATA2	chr1	151973292	151973302	-	0.000	0.000	Merged-chr1-151973357-25
NR9786--MA0766.1.GATA5	chr9	116187539	116187546	-	0.000	0.000	Merged-chr9-116187633-9
NR4356--MA1104.1.GATA6	chr17	27323301	27323313	-	0.000	0.000	Merged-chr17-27323176-36
NR9014--MA0036.3.GATA2	chr7	135598688	135598698	-	0.000	0.000	Merged-chr7-135598633-32
NR8858--MA0037.3.GATA3	chr7	92420482	92420489	-	0.000	0.000	Merged-chr7-92420666-38
NR3863--MA1104.1.GATA6	chr16	24826501	24826513	-	0.000	0.000	Merged-chr16-24826564-20
NR2166--MA0037.3.GATA3	chr12	89719512	89719519	+	0.000	0.000	Merged-chr12-89719457-81
NR5055--MA0140.2.GATA1::TAL1	chr19	32926371	32926388	-	0.000	0.000	Merged-chr19-32926300-25
NR6158--MA1104.1.GATA6	chr3	68967471	68967483	+	0.000	0.000	Merged-chr3-68967303-47
NR4205--MA1104.1.GATA6	chr16	97204299	97204311	-	0.000	0.000	Merged-chr16-97204388-55
NR9587--MA0482.1.Gata4	chr9	48538517	48538527	-	0.000	0.000	Merged-chr9-48538454-59
NR8861--MA0036.3.GATA2	chr7	92420481	92420491	+	0.000	0.000	Merged-chr7-92420666-38
NR7209--MA0036.3.GATA2	chr4	150517581	150517591	+	0.000	0.000	Merged-chr4-150517532-35
NR7788--MA0036.3.GATA2	chr5	149392279	149392289	-	0.000	0.000	Merged-chr5-149392157-30
NR3634--MA0482.1.Gata4	chr15	53267116	53267126	-	0.000	0.000	Merged-chr15-53267286-91
NR576--MA0140.2.GATA1::TAL1	chr1	136255321	136255338	+	0.000	0.000	Merged-chr1-136255292-47
NR9588--MA1104.1.GATA6	chr9	48538517	48538529	+	0.000	0.000	Merged-chr9-48538454-59
NR7212--MA0140.2.GATA1::TAL1	chr4	150517583	150517600	+	0.000	0.000	Merged-chr4-150517532-35
NR5319--MA0482.1.Gata4	chr2	59469818	59469828	+	0.000	0.000	Merged-chr2-59469655-1
NR697--MA0766.1.GATA5	chr1	161309589	161309596	-	0.000	0.000	Merged-chr1-161309457-43
NR4954--MA0036.3.GATA2	chr18	75322353	75322363	+	0.000	0.000	Merged-chr18-75322404-42
NR5059--MA0036.3.GATA2	chr19	32998970	32998980	-	0.000	0.000	Merged-chr19-32999080-29
NR3635--MA1104.1.GATA6	chr15	53267116	53267128	+	0.000	0.000	Merged-chr15-53267286-91
NR4203--MA0037.3.GATA3	chr16	97204301	97204308	-	0.000	0.000	Merged-chr16-97204388-55
NR998--MA0035.3.Gata1	chr10	34117969	34117979	+	0.000	0.000	Merged-chr10-34117997-36
NR7045--MA0036.3.GATA2	chr4	101217307	101217317	-	0.000	0.000	Merged-chr4-101217167-64
NR695--MA0482.1.Gata4	chr1	161309589	161309599	+	0.000	0.000	Merged-chr1-161309457-43
NR661--MA0482.1.Gata4	chr1	151973291	151973301	-	0.000	0.000	Merged-chr1-151973357-25
NR9012--MA0482.1.Gata4	chr7	135598687	135598697	-	0.000	0.000	Merged-chr7-135598633-32
NR9730--MA0035.3.Gata1	chr9	92274453	92274463	+	0.000	0.000	Merged-chr9-92274591-56
NR9390--MA0037.3.GATA3	chr8	117548685	117548692	-	0.000	0.000	Merged-chr8-117548585-70
NR3633--MA0037.3.GATA3	chr15	53267119	53267126	+	0.000	0.000	Merged-chr15-53267286-91
NR4208--MA0035.3.Gata1	chr16	97204300	97204310	+	0.000	0.000	Merged-chr16-97204388-55
NR6668--MA0766.1.GATA5	chr4	10770164	10770171	+	0.000	0.000	Merged-chr4-10770192-53
NR696--MA1104.1.GATA6	chr1	161309587	161309599	-	0.000	0.000	Merged-chr1-161309457-43
NR8938--MA0482.1.Gata4	chr7	113572975	113572985	-	0.000	0.000	Merged-chr7-113573033-33
NR3917--MA0140.2.GATA1::TAL1	chr16	38653601	38653618	+	0.000	0.000	Merged-chr16-38653657-58
NR662--MA1104.1.GATA6	chr1	151973291	151973303	+	0.000	0.000	Merged-chr1-151973357-25
NR7207--MA0482.1.Gata4	chr4	150517582	150517592	+	0.000	0.000	Merged-chr4-150517532-35
NR2169--MA0036.3.GATA2	chr12	89719510	89719520	-	0.000	0.000	Merged-chr12-89719457-81
NR8793--MA1104.1.GATA6	chr7	75486296	75486308	-	0.000	0.000	Merged-chr7-75486326-35
NR9013--MA1104.1.GATA6	chr7	135598687	135598699	+	0.000	0.000	Merged-chr7-135598633-32
NR2515--MA0036.3.GATA2	chr13	29756229	29756239	-	0.000	0.000	Merged-chr13-29756237-14
NR5060--MA0766.1.GATA5	chr19	32998972	32998979	+	0.000	0.000	Merged-chr19-32999080-29
NR5321--MA0036.3.GATA2	chr2	59469817	59469827	+	0.000	0.000	Merged-chr2-59469655-1
NR7208--MA1104.1.GATA6	chr4	150517580	150517592	-	0.000	0.000	Merged-chr4-150517532-35
NR7211--MA0035.3.Gata1	chr4	150517581	150517591	+	0.000	0.000	Merged-chr4-150517532-35
NR6326--MA0766.1.GATA5	chr3	115729287	115729294	-	0.000	0.000	Merged-chr3-115729400-55
NR6669--MA0035.3.Gata1	chr4	10770162	10770172	-	0.000	0.000	Merged-chr4-10770192-53
NR7790--MA0035.3.Gata1	chr5	149392279	149392289	-	0.000	0.000	Merged-chr5-149392157-30
NR9392--MA0766.1.GATA5	chr8	117548685	117548692	-	0.000	0.000	Merged-chr8-117548585-70
NR4357--MA0036.3.GATA2	chr17	27323302	27323312	+	0.000	0.000	Merged-chr17-27323176-36
NR694--MA0037.3.GATA3	chr1	161309589	161309596	-	0.000	0.000	Merged-chr1-161309457-43
NR660--MA0037.3.GATA3	chr1	151973294	151973301	+	0.000	0.000	Merged-chr1-151973357-25
NR3864--MA0036.3.GATA2	chr16	24826502	24826512	+	0.000	0.000	Merged-chr16-24826564-20
NR4973--MA0140.2.GATA1::TAL1	chr18	82513708	82513725	-	0.000	0.000	Merged-chr18-82513500-48
NR6159--MA0036.3.GATA2	chr3	68967472	68967482	-	0.000	0.000	Merged-chr3-68967303-47
NR8713--MA0140.2.GATA1::TAL1	chr7	48795300	48795317	-	0.000	0.000	Merged-chr7-48795353-37
NR5061--MA0035.3.Gata1	chr19	32998970	32998980	-	0.000	0.000	Merged-chr19-32999080-29
NR9727--MA0482.1.Gata4	chr9	92274454	92274464	+	0.000	0.000	Merged-chr9-92274591-56
NR9589--MA0035.3.Gata1	chr9	48538518	48538528	-	0.000	0.000	Merged-chr9-48538454-59
NR8862--MA0766.1.GATA5	chr7	92420482	92420489	-	0.000	0.000	Merged-chr7-92420666-38
NR8118--MA0482.1.Gata4	chr6	67184853	67184863	-	0.000	0.000	Merged-chr6-67184785-39
NR2167--MA0482.1.Gata4	chr12	89719509	89719519	-	0.000	0.000	Merged-chr12-89719457-81
NR6325--MA0037.3.GATA3	chr3	115729287	115729294	-	0.000	0.000	Merged-chr3-115729400-55
NR7789--MA0766.1.GATA5	chr5	149392281	149392288	+	0.000	0.000	Merged-chr5-149392157-30
NR8637--MA0037.3.GATA3	chr7	24451980	24451987	+	0.000	0.000	Merged-chr7-24452185-33
NR665--MA0035.3.Gata1	chr1	151973292	151973302	-	0.000	0.000	Merged-chr1-151973357-25
NR9391--MA1104.1.GATA6	chr8	117548683	117548695	-	0.000	0.000	Merged-chr8-117548585-70
NR9728--MA1104.1.GATA6	chr9	92274452	92274464	-	0.000	0.000	Merged-chr9-92274591-56
NR9016--MA0035.3.Gata1	chr7	135598688	135598698	-	0.000	0.000	Merged-chr7-135598633-32
NR3636--MA0036.3.GATA2	chr15	53267117	53267127	-	0.000	0.000	Merged-chr15-53267286-91
NR8119--MA1104.1.GATA6	chr6	67184853	67184865	+	0.000	0.000	Merged-chr6-67184785-39
NR8340--MA0035.3.Gata1	chr6	127474042	127474052	-	0.000	0.000	Merged-chr6-127474146-19
NR8863--MA0035.3.Gata1	chr7	92420481	92420491	+	0.000	0.000	Merged-chr7-92420666-38
NR2171--MA0035.3.Gata1	chr12	89719510	89719520	-	0.000	0.000	Merged-chr12-89719457-81
NR6474--MA0037.3.GATA3	chr3	136742960	136742967	-	0.000	0.000	Merged-chr3-136742959-57
