#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed
NR12250--MA0740.1.KLF14	chr11	101984795	101984808	-	0.000	0.000	Merged-chr11-101984579-31
NR48413--MA0657.1.KLF13	chr4	141862226	141862243	+	0.000	0.000	Merged-chr4-141862091-43
NR34005--MA0039.3.KLF4	chr19	43809536	43809546	+	0.000	0.000	Merged-chr19-43809499-23
NR57180--MA0599.1.KLF5	chr6	119199111	119199120	+	0.000	0.000	Merged-chr6-119199024-52
NR42745--MA0740.1.KLF14	chr3	115692526	115692539	+	0.000	0.000	Merged-chr3-115692552-34
NR1057--MA1107.1.KLF9	chr1	66932105	66932117	+	0.000	0.000	Merged-chr1-66932043-30
NR27016--MA0039.3.KLF4	chr16	91588233	91588243	+	0.000	0.000	Merged-chr16-91588038-25
NR27015--MA0742.1.Klf12	chr16	91588231	91588245	+	0.000	0.000	Merged-chr16-91588038-25
NR51961--MA0493.1.Klf1	chr5	112239776	112239786	-	0.000	0.000	Merged-chr5-112239781-12
NR28488--MA0599.1.KLF5	chr17	31077832	31077841	-	0.000	0.000	Merged-chr17-31077750-28
NR55559--MA0742.1.Klf12	chr6	54925959	54925973	+	0.000	0.000	Merged-chr6-54926058-40
NR33648--MA0741.1.KLF16	chr19	31337344	31337354	-	0.000	0.000	Merged-chr19-31337298-1
NR70843--MA0599.1.KLF5	chr9	110641166	110641175	+	0.000	0.000	Merged-chr9-110641188-21
NR33642--MA0599.1.KLF5	chr19	31337334	31337343	-	0.000	0.000	Merged-chr19-31337298-1
NR61787--MA0742.1.Klf12	chr7	101634554	101634568	-	0.000	0.000	Merged-chr7-101634721-37
NR66894--MA1107.1.KLF9	chr8	117052563	117052575	-	0.000	0.000	Merged-chr8-117052612-3
NR42799--MA0742.1.Klf12	chr3	116487881	116487895	+	0.000	0.000	Merged-chr3-116487886-17
NR9203--MA1107.1.KLF9	chr11	4823897	4823909	+	0.000	0.000	Merged-chr11-4823993-46
NR47686--MA1107.1.KLF9	chr4	132749052	132749064	-	0.000	0.000	Merged-chr4-132748989-25
NR61790--MA0493.1.Klf1	chr7	101634655	101634665	+	0.000	0.000	Merged-chr7-101634721-37
NR39155--MA1107.1.KLF9	chr2	156878024	156878036	+	0.000	0.000	Merged-chr2-156878033-50
NR35275--MA0741.1.KLF16	chr2	25170653	25170663	-	0.000	0.000	Merged-chr2-25170502-21
NR38195--MA1107.1.KLF9	chr2	128470342	128470354	-	0.000	0.000	Merged-chr2-128470524-44
NR58740--MA0742.1.Klf12	chr7	3290413	3290427	-	0.000	0.000	Merged-chr7-3290343-35
NR28945--MA0599.1.KLF5	chr17	37046869	37046878	+	0.000	0.000	Merged-chr17-37046853-1
NR12277--MA0599.1.KLF5	chr11	102284778	102284787	-	0.000	0.000	Merged-chr11-102284938-63
NR22088--MA0599.1.KLF5	chr14	121422825	121422834	+	0.000	0.000	Merged-chr14-121422910-45
NR57479--MA0039.3.KLF4	chr6	125067857	125067867	-	0.000	0.000	Merged-chr6-125067765-41
NR30600--MA1107.1.KLF9	chr17	86958068	86958080	+	0.000	0.000	Merged-chr17-86958132-38
NR22133--MA0741.1.KLF16	chr14	122187050	122187060	+	0.000	0.000	Merged-chr14-122187060-26
NR69167--MA0599.1.KLF5	chr9	64789696	64789705	-	0.000	0.000	Merged-chr9-64789537-48
NR50446--MA1107.1.KLF9	chr5	54111079	54111091	+	0.000	0.000	Merged-chr5-54110931-21
NR38201--MA0599.1.KLF5	chr2	128470719	128470728	-	0.000	0.000	Merged-chr2-128470524-44
NR3013--MA0039.3.KLF4	chr1	151582158	151582168	-	0.000	0.000	Merged-chr1-151582085-10
NR54289--MA0741.1.KLF16	chr5	149246294	149246304	+	0.000	0.000	Merged-chr5-149246178-51
NR57193--MA1107.1.KLF9	chr6	119199104	119199116	+	0.000	0.000	Merged-chr6-119199024-52
NR63854--MA0493.1.Klf1	chr7	143724047	143724057	-	0.000	0.000	Merged-chr7-143724096-15
NR48800--MA0599.1.KLF5	chr4	150894669	150894678	+	0.000	0.000	Merged-chr4-150894695-19
NR17344--MA0741.1.KLF16	chr13	63189566	63189576	-	0.000	0.000	Merged-chr13-63189715-33
NR15530--MA0742.1.Klf12	chr12	107961261	107961275	+	0.000	0.000	Merged-chr12-107961222-28
NR69028--MA0493.1.Klf1	chr9	60998295	60998305	-	0.000	0.000	Merged-chr9-60998373-9
NR58418--MA0742.1.Klf12	chr6	142862374	142862388	-	0.000	0.000	Merged-chr6-142862347-56
NR50024--MA0741.1.KLF16	chr5	35176593	35176603	+	0.000	0.000	Merged-chr5-35176446-65
NR57178--MA0742.1.Klf12	chr6	119199104	119199118	+	0.000	0.000	Merged-chr6-119199024-52
NR50022--MA0599.1.KLF5	chr5	35176593	35176602	+	0.000	0.000	Merged-chr5-35176446-65
NR42801--MA0039.3.KLF4	chr3	116487883	116487893	+	0.000	0.000	Merged-chr3-116487886-17
NR37955--MA0742.1.Klf12	chr2	121008287	121008301	-	0.000	0.000	Merged-chr2-121008420-56
NR8397--MA0599.1.KLF5	chr10	117861085	117861094	-	0.000	0.000	Merged-chr10-117861044-50
NR749--MA0741.1.KLF16	chr1	52578382	52578392	+	0.000	0.000	Merged-chr1-52578518-39
NR51721--MA0741.1.KLF16	chr5	105616215	105616225	-	0.000	0.000	Merged-chr5-105616345-34
NR41038--MA0741.1.KLF16	chr3	52732160	52732170	+	0.000	0.000	Merged-chr3-52732187-17
NR68068--MA0493.1.Klf1	chr9	25186658	25186668	+	0.000	0.000	Merged-chr9-25186654-66
NR57185--MA0493.1.Klf1	chr6	119199104	119199114	+	0.000	0.000	Merged-chr6-119199024-52
NR50683--MA0039.3.KLF4	chr5	64864852	64864862	+	0.000	0.000	Merged-chr5-64864889-25
NR12473--MA0740.1.KLF14	chr11	106193504	106193517	+	0.000	0.000	Merged-chr11-106193514-84
NR66923--MA0599.1.KLF5	chr8	117481972	117481981	-	0.000	0.000	Merged-chr8-117482001-12
NR31145--MA0741.1.KLF16	chr18	32939287	32939297	-	0.000	0.000	Merged-chr18-32939306-98
NR13331--MA0741.1.KLF16	chr11	121848129	121848139	-	0.000	0.000	Merged-chr11-121848040-41
NR13730--MA0599.1.KLF5	chr12	25155530	25155539	-	0.000	0.000	Merged-chr12-25155613-40
NR8466--MA0741.1.KLF16	chr10	118884343	118884353	-	0.000	0.000	Merged-chr10-118884259-20
NR58738--MA0740.1.KLF14	chr7	3290414	3290427	-	0.000	0.000	Merged-chr7-3290343-35
NR63523--MA0493.1.Klf1	chr7	139169314	139169324	+	0.000	0.000	Merged-chr7-139169350-23
NR36183--MA0741.1.KLF16	chr2	52319512	52319522	-	0.000	0.000	Merged-chr2-52319482-58
NR2828--MA0039.3.KLF4	chr1	143319643	143319653	+	0.000	0.000	Merged-chr1-143319719-34
NR12275--MA0742.1.Klf12	chr11	102284766	102284780	+	0.000	0.000	Merged-chr11-102284938-63
NR68888--MA0599.1.KLF5	chr9	57339968	57339977	-	0.000	0.000	Merged-chr9-57339944-60
NR16739--MA1107.1.KLF9	chr13	43250874	43250886	+	0.000	0.000	Merged-chr13-43250604-89
NR23116--MA0742.1.Klf12	chr15	60120104	60120118	-	0.000	0.000	Merged-chr15-60120172-38
NR13053--MA1107.1.KLF9	chr11	117611237	117611249	+	0.000	0.000	Merged-chr11-117611199-52
NR54291--MA1107.1.KLF9	chr5	149246293	149246305	+	0.000	0.000	Merged-chr5-149246178-51
NR30447--MA0741.1.KLF16	chr17	83854454	83854464	+	0.000	0.000	Merged-chr17-83854411-35
NR19575--MA0493.1.Klf1	chr14	25421975	25421985	+	0.000	0.000	Merged-chr14-25421957-44
NR61249--MA1107.1.KLF9	chr7	81320015	81320027	+	0.000	0.000	Merged-chr7-81320014-23
NR23886--MA0599.1.KLF5	chr15	81514315	81514324	-	0.000	0.000	Merged-chr15-81514359-43
NR63573--MA0599.1.KLF5	chr7	139992591	139992600	-	0.000	0.000	Merged-chr7-139992565-26
NR14546--MA0740.1.KLF14	chr12	73657013	73657026	+	0.000	0.000	Merged-chr12-73656860-57
NR30556--MA0741.1.KLF16	chr17	86040529	86040539	-	0.000	0.000	Merged-chr17-86040436-1
NR33419--MA0493.1.Klf1	chr19	17257001	17257011	-	0.000	0.000	Merged-chr19-17256835-48
NR24855--MA0599.1.KLF5	chr15	101977572	101977581	+	0.000	0.000	Merged-chr15-101977475-30
NR18180--MA1107.1.KLF9	chr13	98692031	98692043	-	0.000	0.000	Merged-chr13-98692096-35
NR43274--MA1107.1.KLF9	chr3	131057379	131057391	-	0.000	0.000	Merged-chr3-131057396-52
NR19574--MA0039.3.KLF4	chr14	25421977	25421987	+	0.000	0.000	Merged-chr14-25421957-44
NR53628--MA0599.1.KLF5	chr5	139299446	139299455	+	0.000	0.000	Merged-chr5-139299297-63
NR33217--MA1107.1.KLF9	chr19	8592091	8592103	-	0.000	0.000	Merged-chr19-8592238-38
NR20701--MA0493.1.Klf1	chr14	64628283	64628293	-	0.000	0.000	Merged-chr14-64628307-21
NR18289--MA0599.1.KLF5	chr13	101540641	101540650	+	0.000	0.000	Merged-chr13-101540748-63
NR2771--MA0493.1.Klf1	chr1	138304341	138304351	+	0.000	0.000	Merged-chr1-138304184-80
NR30413--MA1107.1.KLF9	chr17	83654864	83654876	-	0.000	0.000	Merged-chr17-83654883-58
NR28837--MA0039.3.KLF4	chr17	35742089	35742099	+	0.000	0.000	Merged-chr17-35741988-36
NR50441--MA0740.1.KLF14	chr5	54111079	54111092	+	0.000	0.000	Merged-chr5-54110931-21
NR49255--MA0599.1.KLF5	chr5	5420285	5420294	+	0.000	0.000	Merged-chr5-5420247-39
NR57191--MA0741.1.KLF16	chr6	119199107	119199117	+	0.000	0.000	Merged-chr6-119199024-52
NR35270--MA0740.1.KLF14	chr2	25170651	25170664	-	0.000	0.000	Merged-chr2-25170502-21
NR27014--MA0740.1.KLF14	chr16	91588231	91588244	+	0.000	0.000	Merged-chr16-91588038-25
NR60880--MA1107.1.KLF9	chr7	66228681	66228693	+	0.000	0.000	Merged-chr7-66228697-16
NR3086--MA1107.1.KLF9	chr1	153427076	153427088	-	0.000	0.000	Merged-chr1-153426995-33
NR43490--MA0742.1.Klf12	chr3	135675685	135675699	+	0.000	0.000	Merged-chr3-135675679-12
NR13052--MA0741.1.KLF16	chr11	117611238	117611248	+	0.000	0.000	Merged-chr11-117611199-52
NR58739--MA0657.1.KLF13	chr7	3290411	3290428	-	0.000	0.000	Merged-chr7-3290343-35
NR39340--MA1107.1.KLF9	chr2	160657995	160658007	-	0.000	0.000	Merged-chr2-160657923-30
NR96--MA1107.1.KLF9	chr1	13301832	13301844	+	0.000	0.000	Merged-chr1-13301807-39
NR91--MA0039.3.KLF4	chr1	13294918	13294928	+	0.000	0.000	Merged-chr1-13295038-43
NR34004--MA0599.1.KLF5	chr19	43809535	43809544	+	0.000	0.000	Merged-chr19-43809499-23
NR26107--MA0039.3.KLF4	chr16	44362193	44362203	+	0.000	0.000	Merged-chr16-44362356-45
NR30302--MA0493.1.Klf1	chr17	80169132	80169142	+	0.000	0.000	Merged-chr17-80169005-20
NR40686--MA0493.1.Klf1	chr3	30864253	30864263	-	0.000	0.000	Merged-chr3-30864104-31
NR3665--MA0599.1.KLF5	chr1	165730350	165730359	+	0.000	0.000	Merged-chr1-165730262-25
NR62386--MA0741.1.KLF16	chr7	118499323	118499333	-	0.000	0.000	Merged-chr7-118499270-20
NR23425--MA0493.1.Klf1	chr15	74935469	74935479	+	0.000	0.000	Merged-chr15-74935411-23
NR20798--MA0741.1.KLF16	chr14	67886975	67886985	+	0.000	0.000	Merged-chr14-67887091-21
NR42754--MA0493.1.Klf1	chr3	115758852	115758862	-	0.000	0.000	Merged-chr3-115758930-94
NR21058--MA0599.1.KLF5	chr14	75069549	75069558	-	0.000	0.000	Merged-chr14-75069632-2
NR2548--MA0493.1.Klf1	chr1	134083375	134083385	-	0.000	0.000	Merged-chr1-134083206-23
NR56513--MA0742.1.Klf12	chr6	95614912	95614926	+	0.000	0.000	Merged-chr6-95614846-71
NR41074--MA0742.1.Klf12	chr3	54567518	54567532	+	0.000	0.000	Merged-chr3-54567528-25
NR22228--MA0493.1.Klf1	chr15	3174252	3174262	-	0.000	0.000	Merged-chr15-3174330-41
NR51272--MA0741.1.KLF16	chr5	93092479	93092489	-	0.000	0.000	Merged-chr5-93092425-6
NR48971--MA0493.1.Klf1	chr4	154105757	154105767	-	0.000	0.000	Merged-chr4-154105612-38
NR30557--MA1107.1.KLF9	chr17	86040528	86040540	-	0.000	0.000	Merged-chr17-86040436-1
NR15136--MA0493.1.Klf1	chr12	94083667	94083677	+	0.000	0.000	Merged-chr12-94083592-14
NR14866--MA0599.1.KLF5	chr12	85973779	85973788	+	0.000	0.000	Merged-chr12-85973794-44
NR12252--MA0599.1.KLF5	chr11	101984798	101984807	-	0.000	0.000	Merged-chr11-101984579-31
NR62054--MA0493.1.Klf1	chr7	110203788	110203798	-	0.000	0.000	Merged-chr7-110203728-41
NR52345--MA0039.3.KLF4	chr5	118465398	118465408	-	0.000	0.000	Merged-chr5-118465239-56
NR30481--MA1107.1.KLF9	chr17	84116650	84116662	-	0.000	0.000	Merged-chr17-84116630-65
NR35452--MA0493.1.Klf1	chr2	27693905	27693915	-	0.000	0.000	Merged-chr2-27693880-30
NR12476--MA0599.1.KLF5	chr11	106193671	106193680	+	0.000	0.000	Merged-chr11-106193514-84
NR47591--MA0599.1.KLF5	chr4	130899883	130899892	-	0.000	0.000	Merged-chr4-130900085-53
NR20799--MA0742.1.Klf12	chr14	67912073	67912087	+	0.000	0.000	Merged-chr14-67911920-26
NR39336--MA0039.3.KLF4	chr2	160657971	160657981	-	0.000	0.000	Merged-chr2-160657923-30
NR16938--MA0740.1.KLF14	chr13	51776416	51776429	+	0.000	0.000	Merged-chr13-51776600-43
NR66892--MA1107.1.KLF9	chr8	117052559	117052571	-	0.000	0.000	Merged-chr8-117052612-3
NR67109--MA0742.1.Klf12	chr8	120701894	120701908	-	0.000	0.000	Merged-chr8-120702084-56
NR11875--MA0742.1.Klf12	chr11	97104261	97104275	+	0.000	0.000	Merged-chr11-97104187-33
NR47684--MA1107.1.KLF9	chr4	132749036	132749048	-	0.000	0.000	Merged-chr4-132748989-25
NR67037--MA0039.3.KLF4	chr8	120050177	120050187	-	0.000	0.000	Merged-chr8-120050156-23
NR62041--MA0740.1.KLF14	chr7	110202890	110202903	+	0.000	0.000	Merged-chr7-110202943-8
NR24684--MA0740.1.KLF14	chr15	99009038	99009051	+	0.000	0.000	Merged-chr15-99008995-43
NR12480--MA0493.1.Klf1	chr11	106193699	106193709	+	0.000	0.000	Merged-chr11-106193514-84
NR42800--MA0599.1.KLF5	chr3	116487882	116487891	+	0.000	0.000	Merged-chr3-116487886-17
NR59103--MA0599.1.KLF5	chr7	16845568	16845577	+	0.000	0.000	Merged-chr7-16845538-47
NR38206--MA0741.1.KLF16	chr2	128470707	128470717	-	0.000	0.000	Merged-chr2-128470524-44
NR62050--MA0657.1.KLF13	chr7	110203782	110203799	-	0.000	0.000	Merged-chr7-110203728-41
NR14847--MA0039.3.KLF4	chr12	85661093	85661103	-	0.000	0.000	Merged-chr12-85661084-38
NR28127--MA1107.1.KLF9	chr17	25584055	25584067	-	0.000	0.000	Merged-chr17-25583989-33
NR50682--MA0599.1.KLF5	chr5	64864851	64864860	+	0.000	0.000	Merged-chr5-64864889-25
NR1056--MA0493.1.Klf1	chr1	66932105	66932115	+	0.000	0.000	Merged-chr1-66932043-30
NR11879--MA0741.1.KLF16	chr11	97104262	97104272	+	0.000	0.000	Merged-chr11-97104187-33
NR23135--MA0493.1.Klf1	chr15	61408819	61408829	+	0.000	0.000	Merged-chr15-61408601-39
NR66888--MA1107.1.KLF9	chr8	117052551	117052563	-	0.000	0.000	Merged-chr8-117052612-3
NR51963--MA0039.3.KLF4	chr5	112239855	112239865	-	0.000	0.000	Merged-chr5-112239781-12
NR56724--MA0493.1.Klf1	chr6	100824841	100824851	-	0.000	0.000	Merged-chr6-100824678-47
NR61098--MA0039.3.KLF4	chr7	79262509	79262519	+	0.000	0.000	Merged-chr7-79262630-29
NR1055--MA0039.3.KLF4	chr1	66932107	66932117	+	0.000	0.000	Merged-chr1-66932043-30
NR26384--MA0742.1.Klf12	chr16	59459634	59459648	-	0.000	0.000	Merged-chr16-59459484-51
NR5415--MA1107.1.KLF9	chr10	21975544	21975556	+	0.000	0.000	Merged-chr10-21975536-24
NR11813--MA0740.1.KLF14	chr11	95712640	95712653	-	0.000	0.000	Merged-chr11-95712629-4
NR17342--MA0741.1.KLF16	chr13	63189564	63189574	-	0.000	0.000	Merged-chr13-63189715-33
NR21162--MA0741.1.KLF16	chr14	78679217	78679227	+	0.000	0.000	Merged-chr14-78679093-56
NR33420--MA1107.1.KLF9	chr19	17256999	17257011	-	0.000	0.000	Merged-chr19-17256835-48
NR62100--MA0599.1.KLF5	chr7	110956799	110956808	+	0.000	0.000	Merged-chr7-110956692-58
NR56868--MA0599.1.KLF5	chr6	108665782	108665791	+	0.000	0.000	Merged-chr6-108665749-34
NR11848--MA0599.1.KLF5	chr11	96667148	96667157	+	0.000	0.000	Merged-chr11-96667069-36
NR750--MA1107.1.KLF9	chr1	52578381	52578393	+	0.000	0.000	Merged-chr1-52578518-39
NR56854--MA0493.1.Klf1	chr6	108630897	108630907	+	0.000	0.000	Merged-chr6-108631007-44
NR19573--MA0599.1.KLF5	chr14	25421976	25421985	+	0.000	0.000	Merged-chr14-25421957-44
NR41075--MA0599.1.KLF5	chr3	54567519	54567528	+	0.000	0.000	Merged-chr3-54567528-25
NR63856--MA1107.1.KLF9	chr7	143724045	143724057	-	0.000	0.000	Merged-chr7-143724096-15
NR34086--MA0599.1.KLF5	chr19	45577319	45577328	+	0.000	0.000	Merged-chr19-45577468-39
NR10873--MA0039.3.KLF4	chr11	70597422	70597432	-	0.000	0.000	Merged-chr11-70597550-26
NR30599--MA0493.1.Klf1	chr17	86958068	86958078	+	0.000	0.000	Merged-chr17-86958132-38
NR54459--MA1107.1.KLF9	chr6	3536249	3536261	+	0.000	0.000	Merged-chr6-3536376-27
NR62042--MA0657.1.KLF13	chr7	110202889	110202906	+	0.000	0.000	Merged-chr7-110202943-8
NR29271--MA1107.1.KLF9	chr17	47943110	47943122	+	0.000	0.000	Merged-chr17-47943297-31
NR24685--MA0657.1.KLF13	chr15	99009037	99009054	+	0.000	0.000	Merged-chr15-99008995-43
NR70863--MA1107.1.KLF9	chr9	110896832	110896844	-	0.000	0.000	Merged-chr9-110896831-29
NR57481--MA0741.1.KLF16	chr6	125067858	125067868	-	0.000	0.000	Merged-chr6-125067765-41
NR742--MA0493.1.Klf1	chr1	52578321	52578331	+	0.000	0.000	Merged-chr1-52578518-39
NR30445--MA0741.1.KLF16	chr17	83824029	83824039	+	0.000	0.000	Merged-chr17-83824004-16
NR12862--MA0599.1.KLF5	chr11	115603925	115603934	-	0.000	0.000	Merged-chr11-115603871-66
NR64410--MA0599.1.KLF5	chr8	22814406	22814415	+	0.000	0.000	Merged-chr8-22814386-45
NR35274--MA0493.1.Klf1	chr2	25170654	25170664	-	0.000	0.000	Merged-chr2-25170502-21
NR70528--MA0741.1.KLF16	chr9	104269536	104269546	+	0.000	0.000	Merged-chr9-104269530-16
NR32495--MA0742.1.Klf12	chr18	80609767	80609781	+	0.000	0.000	Merged-chr18-80609939-56
NR45681--MA0599.1.KLF5	chr4	59264863	59264872	+	0.000	0.000	Merged-chr4-59265208-63
NR65163--MA1107.1.KLF9	chr8	68158279	68158291	+	0.000	0.000	Merged-chr8-68158417-16
NR11656--MA0599.1.KLF5	chr11	88993896	88993905	-	0.000	0.000	Merged-chr11-88993773-46
NR36050--MA1107.1.KLF9	chr2	45172978	45172990	-	0.000	0.000	Merged-chr2-45172921-51
NR29267--MA1107.1.KLF9	chr17	47943102	47943114	+	0.000	0.000	Merged-chr17-47943297-31
NR18721--MA0599.1.KLF5	chr13	111297762	111297771	+	0.000	0.000	Merged-chr13-111297823-12
NR63763--MA0493.1.Klf1	chr7	142354081	142354091	+	0.000	0.000	Merged-chr7-142354183-49
NR52648--MA0599.1.KLF5	chr5	124075841	124075850	-	0.000	0.000	Merged-chr5-124075936-23
NR59484--MA0493.1.Klf1	chr7	25155909	25155919	+	0.000	0.000	Merged-chr7-25155994-40
NR69957--MA1107.1.KLF9	chr9	86624895	86624907	-	0.000	0.000	Merged-chr9-86625059-9
NR52437--MA0740.1.KLF14	chr5	120831203	120831216	+	0.000	0.000	Merged-chr5-120831228-43
NR32499--MA0741.1.KLF16	chr18	80609768	80609778	+	0.000	0.000	Merged-chr18-80609939-56
NR9242--MA0039.3.KLF4	chr11	5005467	5005477	+	0.000	0.000	Merged-chr11-5005546-13
NR68885--MA1107.1.KLF9	chr9	57278571	57278583	+	0.000	0.000	Merged-chr9-57278495-40
NR17347--MA0741.1.KLF16	chr13	63189569	63189579	-	0.000	0.000	Merged-chr13-63189715-33
NR65957--MA0599.1.KLF5	chr8	86838905	86838914	-	0.000	0.000	Merged-chr8-86839061-45
NR66800--MA0493.1.Klf1	chr8	115397896	115397906	-	0.000	0.000	Merged-chr8-115397759-2
NR3770--MA0599.1.KLF5	chr1	167288882	167288891	+	0.000	0.000	Merged-chr1-167288979-17
NR26235--MA1107.1.KLF9	chr16	49982432	49982444	-	0.000	0.000	Merged-chr16-49982447-38
NR22593--MA0599.1.KLF5	chr15	34389240	34389249	-	0.000	0.000	Merged-chr15-34389092-27
NR43151--MA0039.3.KLF4	chr3	127892091	127892101	-	0.000	0.000	Merged-chr3-127892051-37
NR28850--MA0741.1.KLF16	chr17	35841735	35841745	-	0.000	0.000	Merged-chr17-35841564-66
NR67108--MA0740.1.KLF14	chr8	120701895	120701908	-	0.000	0.000	Merged-chr8-120702084-56
NR11874--MA0740.1.KLF14	chr11	97104261	97104274	+	0.000	0.000	Merged-chr11-97104187-33
NR10329--MA0493.1.Klf1	chr11	57952970	57952980	-	0.000	0.000	Merged-chr11-57952769-40
NR10704--MA0741.1.KLF16	chr11	68465197	68465207	+	0.000	0.000	Merged-chr11-68465236-16
NR36284--MA0493.1.Klf1	chr2	59053687	59053697	+	0.000	0.000	Merged-chr2-59053724-29
NR69653--MA1107.1.KLF9	chr9	78074213	78074225	+	0.000	0.000	Merged-chr9-78074095-46
NR10701--MA0599.1.KLF5	chr11	68442602	68442611	-	0.000	0.000	Merged-chr11-68442579-25
NR24773--MA0599.1.KLF5	chr15	100443683	100443692	+	0.000	0.000	Merged-chr15-100443625-43
NR30304--MA1107.1.KLF9	chr17	80169132	80169144	+	0.000	0.000	Merged-chr17-80169005-20
NR39335--MA0599.1.KLF5	chr2	160657973	160657982	-	0.000	0.000	Merged-chr2-160657923-30
NR52442--MA0493.1.Klf1	chr5	120831203	120831213	+	0.000	0.000	Merged-chr5-120831228-43
NR24073--MA0039.3.KLF4	chr15	84896462	84896472	+	0.000	0.000	Merged-chr15-84896641-45
NR58421--MA0741.1.KLF16	chr6	142862377	142862387	-	0.000	0.000	Merged-chr6-142862347-56
NR10328--MA0039.3.KLF4	chr11	57952968	57952978	-	0.000	0.000	Merged-chr11-57952769-40
NR33493--MA1107.1.KLF9	chr19	21786045	21786057	-	0.000	0.000	Merged-chr19-21785964-7
NR3075--MA0039.3.KLF4	chr1	153304280	153304290	+	0.000	0.000	Merged-chr1-153304263-23
NR16111--MA1107.1.KLF9	chr13	5847056	5847068	+	0.000	0.000	Merged-chr13-5847113-25
NR20981--MA1107.1.KLF9	chr14	73290096	73290108	-	0.000	0.000	Merged-chr14-73290096-39
NR15703--MA0599.1.KLF5	chr12	110506243	110506252	-	0.000	0.000	Merged-chr12-110506270-12
NR63855--MA0741.1.KLF16	chr7	143724046	143724056	-	0.000	0.000	Merged-chr7-143724096-15
NR34003--MA0742.1.Klf12	chr19	43809534	43809548	+	0.000	0.000	Merged-chr19-43809499-23
NR95--MA0493.1.Klf1	chr1	13301832	13301842	+	0.000	0.000	Merged-chr1-13301807-39
NR49257--MA1107.1.KLF9	chr5	5420284	5420296	+	0.000	0.000	Merged-chr5-5420247-39
NR32497--MA0039.3.KLF4	chr18	80609769	80609779	+	0.000	0.000	Merged-chr18-80609939-56
NR12782--MA0493.1.Klf1	chr11	114699692	114699702	-	0.000	0.000	Merged-chr11-114699717-26
NR24849--MA0493.1.Klf1	chr15	101388110	101388120	+	0.000	0.000	Merged-chr15-101388154-52
NR5861--MA0741.1.KLF16	chr10	44368933	44368943	-	0.000	0.000	Merged-chr10-44368737-26
NR48973--MA1107.1.KLF9	chr4	154105755	154105767	-	0.000	0.000	Merged-chr4-154105612-38
NR50920--MA0740.1.KLF14	chr5	74404327	74404340	-	0.000	0.000	Merged-chr5-74404312-40
