#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR874--MA0089.1.MAFG::NFE2L1	chr1	161734765	161734770	+	0.000	0.000	Merged-chr1-161734917-117
NR2429--MA0495.2.MAFF	chr11	113536965	113536985	-	0.000	0.000	Merged-chr11-113536889-33
NR10218--MA0089.1.MAFG::NFE2L1	chr5	64371445	64371450	-	0.000	0.000	Merged-chr5-64371502-26
NR2180--MA0501.1.MAF::NFE2	chr11	26640674	26640688	+	0.000	0.000	Merged-chr11-26640535-47
NR10389--MA0659.1.MAFG	chr5	92353778	92353798	-	0.000	0.000	Merged-chr5-92353751-46
NR10382--MA0496.2.MAFK	chr5	92348951	92348969	+	0.000	0.000	Merged-chr5-92348973-52
NR4545--MA0501.1.MAF::NFE2	chr14	122000896	122000910	-	0.000	0.000	Merged-chr14-122000857-51
NR4162--MA0501.1.MAF::NFE2	chr14	46578293	46578307	-	0.000	0.000	Merged-chr14-46578431-37
NR4554--MA0089.1.MAFG::NFE2L1	chr14	123163261	123163266	-	0.000	0.000	Merged-chr14-123163033-38
NR11832--MA0501.1.MAF::NFE2	chr7	49335179	49335193	+	0.000	0.000	Merged-chr7-49335315-27
NR2293--MA0089.1.MAFG::NFE2L1	chr11	68447293	68447298	+	0.000	0.000	Merged-chr11-68447453-15
NR12613--MA0501.1.MAF::NFE2	chr8	64826687	64826701	-	0.000	0.000	Merged-chr8-64826546-37
NR1183--MA0496.2.MAFK	chr10	12823923	12823941	+	0.000	0.000	Merged-chr10-12823956-45
NR12008--MA0089.1.MAFG::NFE2L1	chr7	78685190	78685195	+	0.000	0.000	Merged-chr7-78685016-20
NR10974--MA0496.2.MAFK	chr6	49128469	49128487	-	0.000	0.000	Merged-chr6-49128471-29
NR11831--MA0591.1.Bach1::Mafk	chr7	49335176	49335190	+	0.000	0.000	Merged-chr7-49335315-27
NR1084--MA0089.1.MAFG::NFE2L1	chr1	191259313	191259318	-	0.000	0.000	Merged-chr1-191259374-46
NR8014--MA0089.1.MAFG::NFE2L1	chr2	180256361	180256366	+	0.000	0.000	Merged-chr2-180256201-1
NR2634--MA0117.2.Mafb	chr12	36317334	36317345	-	0.000	0.000	Merged-chr12-36317326-46
NR2181--MA0501.1.MAF::NFE2	chr11	26640668	26640682	-	0.000	0.000	Merged-chr11-26640535-47
NR10032--MA0089.1.MAFG::NFE2L1	chr5	20845378	20845383	+	0.000	0.000	Merged-chr5-20845245-18
NR10380--MA0495.2.MAFF	chr5	92348938	92348958	-	0.000	0.000	Merged-chr5-92348973-52
NR8229--MA0591.1.Bach1::Mafk	chr3	37174728	37174742	+	0.000	0.000	Merged-chr3-37174845-28
NR12814--MA0591.1.Bach1::Mafk	chr8	91545805	91545819	-	0.000	0.000	Merged-chr8-91545805-43
NR12115--MA0089.1.MAFG::NFE2L1	chr7	99027423	99027428	+	0.000	0.000	Merged-chr7-99027397-37
NR7062--MA0591.1.Bach1::Mafk	chr2	26753715	26753729	-	0.000	0.000	Merged-chr2-26753671-30
NR2436--MA0496.2.MAFK	chr11	115463666	115463684	+	0.000	0.000	Merged-chr11-115463666-29
NR6133--MA0496.2.MAFK	chr17	86185078	86185096	+	0.000	0.000	Merged-chr17-86185009-23
NR3074--MA0089.1.MAFG::NFE2L1	chr13	5806245	5806250	-	0.000	0.000	Merged-chr13-5806398-17
NR11164--MA0117.2.Mafb	chr6	82775641	82775652	-	0.000	0.000	Merged-chr6-82775550-35
NR8132--MA0659.1.MAFG	chr3	21917647	21917667	+	0.000	0.000	Merged-chr3-21917648-70
NR10968--MA0495.2.MAFF	chr6	49128468	49128488	-	0.000	0.000	Merged-chr6-49128471-29
NR833--MA0117.2.Mafb	chr1	151766370	151766381	+	0.000	0.000	Merged-chr1-151766309-19
NR1180--MA0591.1.Bach1::Mafk	chr10	12823925	12823939	+	0.000	0.000	Merged-chr10-12823956-45
NR5988--MA0501.1.MAF::NFE2	chr17	65826440	65826454	+	0.000	0.000	Merged-chr17-65826425-32
NR8916--MA0659.1.MAFG	chr3	146063412	146063432	+	0.000	0.000	Merged-chr3-146063322-20
NR862--MA0591.1.Bach1::Mafk	chr1	160042519	160042533	-	0.000	0.000	Merged-chr1-160042538-15
NR12813--MA0089.1.MAFG::NFE2L1	chr8	91545812	91545817	-	0.000	0.000	Merged-chr8-91545805-43
NR12067--MA0501.1.MAF::NFE2	chr7	89712840	89712854	-	0.000	0.000	Merged-chr7-89712844-48
NR868--MA0495.2.MAFF	chr1	161480011	161480031	+	0.000	0.000	Merged-chr1-161480099-19
NR8135--MA0496.2.MAFK	chr3	21917648	21917666	-	0.000	0.000	Merged-chr3-21917648-70
NR7427--MA0089.1.MAFG::NFE2L1	chr2	91835340	91835345	+	0.000	0.000	Merged-chr2-91835374-51
NR12531--MA0495.2.MAFF	chr8	46550338	46550358	-	0.000	0.000	Merged-chr8-46550228-39
NR12533--MA0659.1.MAFG	chr8	46550338	46550358	-	0.000	0.000	Merged-chr8-46550228-39
NR11475--MA0501.1.MAF::NFE2	chr6	130029867	130029881	-	0.000	0.000	Merged-chr6-130029953-23
NR8919--MA0496.2.MAFK	chr3	146063413	146063431	-	0.000	0.000	Merged-chr3-146063322-20
NR2430--MA0501.1.MAF::NFE2	chr11	113536965	113536979	-	0.000	0.000	Merged-chr11-113536889-33
NR6131--MA0495.2.MAFF	chr17	86185077	86185097	+	0.000	0.000	Merged-chr17-86185009-23
NR7929--MA0089.1.MAFG::NFE2L1	chr2	173448695	173448700	-	0.000	0.000	Merged-chr2-173448878-59
NR11515--MA0089.1.MAFG::NFE2L1	chr6	134148219	134148224	+	0.000	0.000	Merged-chr6-134148194-39
NR10383--MA0496.2.MAFK	chr5	92348939	92348957	-	0.000	0.000	Merged-chr5-92348973-52
NR2952--MA0089.1.MAFG::NFE2L1	chr12	99610497	99610502	+	0.000	0.000	Merged-chr12-99610571-42
NR11265--MA0117.2.Mafb	chr6	100581278	100581289	+	0.000	0.000	Merged-chr6-100581320-61
NR7823--MA0089.1.MAFG::NFE2L1	chr2	158160159	158160164	-	0.000	0.000	Merged-chr2-158160127-37
NR1184--MA0496.2.MAFK	chr10	12823923	12823941	-	0.000	0.000	Merged-chr10-12823956-45
NR709--MA0089.1.MAFG::NFE2L1	chr1	127304255	127304260	-	0.000	0.000	Merged-chr1-127304219-34
NR2294--MA0089.1.MAFG::NFE2L1	chr11	68447539	68447544	+	0.000	0.000	Merged-chr11-68447453-15
NR4255--MA0117.2.Mafb	chr14	70272518	70272529	-	0.000	0.000	Merged-chr14-70272572-43
NR11144--MA0089.1.MAFG::NFE2L1	chr6	72993388	72993393	-	0.000	0.000	Merged-chr6-72993527-59
NR997--MA0089.1.MAFG::NFE2L1	chr1	179578778	179578783	-	0.000	0.000	Merged-chr1-179578897-31
NR10415--MA0089.1.MAFG::NFE2L1	chr5	96919260	96919265	+	0.000	0.000	Merged-chr5-96919308-24
NR5987--MA0591.1.Bach1::Mafk	chr17	65826437	65826451	+	0.000	0.000	Merged-chr17-65826425-32
NR2391--MA0591.1.Bach1::Mafk	chr11	99132536	99132550	+	0.000	0.000	Merged-chr11-99132520-18
NR11473--MA0659.1.MAFG	chr6	130029867	130029887	+	0.000	0.000	Merged-chr6-130029953-23
NR6334--MA0089.1.MAFG::NFE2L1	chr18	32598298	32598303	-	0.000	0.000	Merged-chr18-32598271-33
NR10388--MA0659.1.MAFG	chr5	92353778	92353798	+	0.000	0.000	Merged-chr5-92353751-46
NR10916--MA0117.2.Mafb	chr6	41113446	41113457	-	0.000	0.000	Merged-chr6-41113305-59
NR12534--MA0496.2.MAFK	chr8	46550339	46550357	+	0.000	0.000	Merged-chr8-46550228-39
NR12962--MA0501.1.MAF::NFE2	chr8	126686967	126686981	-	0.000	0.000	Merged-chr8-126687126-29
NR10390--MA0496.2.MAFK	chr5	92353779	92353797	+	0.000	0.000	Merged-chr5-92353751-46
NR2437--MA0496.2.MAFK	chr11	115463666	115463684	-	0.000	0.000	Merged-chr11-115463666-29
NR6134--MA0496.2.MAFK	chr17	86185078	86185096	-	0.000	0.000	Merged-chr17-86185009-23
NR995--MA0501.1.MAF::NFE2	chr1	179167628	179167642	+	0.000	0.000	Merged-chr1-179167528-7
NR2247--MA0117.2.Mafb	chr11	54105171	54105182	+	0.000	0.000	Merged-chr11-54105258-8
NR5212--MA0089.1.MAFG::NFE2L1	chr16	22526618	22526623	+	0.000	0.000	Merged-chr16-22526487-34
NR3759--MA0089.1.MAFG::NFE2L1	chr13	112809985	112809990	+	0.000	0.000	Merged-chr13-112809842-36
NR11476--MA0496.2.MAFK	chr6	130029868	130029886	+	0.000	0.000	Merged-chr6-130029953-23
NR1178--MA0495.2.MAFF	chr10	12823922	12823942	+	0.000	0.000	Merged-chr10-12823956-45
NR8133--MA0659.1.MAFG	chr3	21917647	21917667	-	0.000	0.000	Merged-chr3-21917648-70
NR11031--MA0591.1.Bach1::Mafk	chr6	60940432	60940446	-	0.000	0.000	Merged-chr6-60940563-22
NR6052--MA0089.1.MAFG::NFE2L1	chr17	74753461	74753466	-	0.000	0.000	Merged-chr17-74753393-19
NR8917--MA0659.1.MAFG	chr3	146063412	146063432	-	0.000	0.000	Merged-chr3-146063322-20
NR4873--MA0089.1.MAFG::NFE2L1	chr15	65810926	65810931	-	0.000	0.000	Merged-chr15-65810890-18
NR12329--MA0089.1.MAFG::NFE2L1	chr7	143625360	143625365	+	0.000	0.000	Merged-chr7-143625204-46
NR10252--MA0501.1.MAF::NFE2	chr5	67300127	67300141	-	0.000	0.000	Merged-chr5-67300252-37
NR7194--MA0089.1.MAFG::NFE2L1	chr2	52891300	52891305	-	0.000	0.000	Merged-chr2-52891472-34
NR869--MA0495.2.MAFF	chr1	161480011	161480031	-	0.000	0.000	Merged-chr1-161480099-19
NR12612--MA0591.1.Bach1::Mafk	chr8	64826690	64826704	-	0.000	0.000	Merged-chr8-64826546-37
NR2423--MA0659.1.MAFG	chr11	113174351	113174371	-	0.000	0.000	Merged-chr11-113174221-33
NR6250--MA0659.1.MAFG	chr18	12869310	12869330	+	0.000	0.000	Merged-chr18-12869252-13
NR6132--MA0495.2.MAFF	chr17	86185077	86185097	-	0.000	0.000	Merged-chr17-86185009-23
NR10972--MA0501.1.MAF::NFE2	chr6	49128474	49128488	+	0.000	0.000	Merged-chr6-49128471-29
NR12815--MA0501.1.MAF::NFE2	chr8	91545802	91545816	-	0.000	0.000	Merged-chr8-91545805-43
NR9842--MA0117.2.Mafb	chr4	150583617	150583628	+	0.000	0.000	Merged-chr4-150583490-1
NR7881--MA0089.1.MAFG::NFE2L1	chr2	165890407	165890412	-	0.000	0.000	Merged-chr2-165890606-34
NR6249--MA0495.2.MAFF	chr18	12869310	12869330	+	0.000	0.000	Merged-chr18-12869252-13
NR2355--MA0089.1.MAFG::NFE2L1	chr11	88132167	88132172	-	0.000	0.000	Merged-chr11-88132051-21
NR3284--MA0089.1.MAFG::NFE2L1	chr13	42077768	42077773	-	0.000	0.000	Merged-chr13-42077893-29
NR6448--MA0501.1.MAF::NFE2	chr18	49721877	49721891	+	0.000	0.000	Merged-chr18-49721855-41
NR6661--MA0089.1.MAFG::NFE2L1	chr18	82513661	82513666	+	0.000	0.000	Merged-chr18-82513500-48
NR10384--MA0496.2.MAFK	chr5	92348951	92348969	-	0.000	0.000	Merged-chr5-92348973-52
NR5622--MA0117.2.Mafb	chr16	92743826	92743837	-	0.000	0.000	Merged-chr16-92743989-33
NR11471--MA0591.1.Bach1::Mafk	chr6	130029870	130029884	+	0.000	0.000	Merged-chr6-130029953-23
NR1928--MA0089.1.MAFG::NFE2L1	chr10	111214815	111214820	-	0.000	0.000	Merged-chr10-111214498-109
NR7426--MA0089.1.MAFG::NFE2L1	chr2	91835236	91835241	-	0.000	0.000	Merged-chr2-91835374-51
NR3771--MA0089.1.MAFG::NFE2L1	chr13	114189406	114189411	-	0.000	0.000	Merged-chr13-114189236-113
NR2177--MA0495.2.MAFF	chr11	26640668	26640688	+	0.000	0.000	Merged-chr11-26640535-47
NR10084--MA0089.1.MAFG::NFE2L1	chr5	34198822	34198827	+	0.000	0.000	Merged-chr5-34198802-20
NR1003--MA0591.1.Bach1::Mafk	chr1	180410494	180410508	+	0.000	0.000	Merged-chr1-180410391-12
NR10970--MA0591.1.Bach1::Mafk	chr6	49128471	49128485	-	0.000	0.000	Merged-chr6-49128471-29
NR11629--MA0089.1.MAFG::NFE2L1	chr6	144922951	144922956	-	0.000	0.000	Merged-chr6-144923057-24
NR9910--MA0501.1.MAF::NFE2	chr5	8075512	8075526	+	0.000	0.000	Merged-chr5-8075370-38
NR13198--MA0089.1.MAFG::NFE2L1	chr9	72797588	72797593	-	0.000	0.000	Merged-chr9-72797397-34
NR13035--MA0117.2.Mafb	chr9	14262856	14262867	+	0.000	0.000	Merged-chr9-14262730-55
NR6569--MA0501.1.MAF::NFE2	chr18	68190134	68190148	-	0.000	0.000	Merged-chr18-68190088-51
NR6781--MA0089.1.MAFG::NFE2L1	chr19	14695500	14695505	+	0.000	0.000	Merged-chr19-14695584-43
NR7822--MA0089.1.MAFG::NFE2L1	chr2	158160169	158160174	+	0.000	0.000	Merged-chr2-158160127-37
NR1544--MA0089.1.MAFG::NFE2L1	chr10	61233192	61233197	+	0.000	0.000	Merged-chr10-61233317-40
NR11637--MA0496.2.MAFK	chr6	145993222	145993240	+	0.000	0.000	Merged-chr6-145993129-56
NR9388--MA0117.2.Mafb	chr4	63704405	63704416	-	0.000	0.000	Merged-chr4-63704429-30
NR1933--MA0089.1.MAFG::NFE2L1	chr10	111578563	111578568	-	0.000	0.000	Merged-chr10-111578564-64
NR11474--MA0659.1.MAFG	chr6	130029867	130029887	-	0.000	0.000	Merged-chr6-130029953-23
NR6792--MA0089.1.MAFG::NFE2L1	chr19	18555805	18555810	-	0.000	0.000	Merged-chr19-18555822-23
NR12767--MA0089.1.MAFG::NFE2L1	chr8	86052138	86052143	-	0.000	0.000	Merged-chr8-86052123-41
NR1655--MA0089.1.MAFG::NFE2L1	chr10	75446552	75446557	-	0.000	0.000	Merged-chr10-75446685-44
NR10391--MA0496.2.MAFK	chr5	92353779	92353797	-	0.000	0.000	Merged-chr5-92353751-46
NR10971--MA0659.1.MAFG	chr6	49128468	49128488	+	0.000	0.000	Merged-chr6-49128471-29
NR4159--MA0591.1.Bach1::Mafk	chr14	46578217	46578231	-	0.000	0.000	Merged-chr14-46578431-37
NR870--MA0089.1.MAFG::NFE2L1	chr1	161480050	161480055	-	0.000	0.000	Merged-chr1-161480099-19
NR11634--MA0089.1.MAFG::NFE2L1	chr6	145374573	145374578	-	0.000	0.000	Merged-chr6-145374595-4
NR11477--MA0496.2.MAFK	chr6	130029868	130029886	-	0.000	0.000	Merged-chr6-130029953-23
NR1179--MA0495.2.MAFF	chr10	12823922	12823942	-	0.000	0.000	Merged-chr10-12823956-45
NR7909--MA0591.1.Bach1::Mafk	chr2	170247789	170247803	+	0.000	0.000	Merged-chr2-170247949-28
NR4161--MA0089.1.MAFG::NFE2L1	chr14	46578307	46578312	+	0.000	0.000	Merged-chr14-46578431-37
NR6333--MA0089.1.MAFG::NFE2L1	chr18	32543299	32543304	-	0.000	0.000	Merged-chr18-32543284-47
NR9909--MA0591.1.Bach1::Mafk	chr5	8075509	8075523	+	0.000	0.000	Merged-chr5-8075370-38
NR871--MA0117.2.Mafb	chr1	161480011	161480022	+	0.000	0.000	Merged-chr1-161480099-19
NR11409--MA0501.1.MAF::NFE2	chr6	119635736	119635750	-	0.000	0.000	Merged-chr6-119635924-52
NR4263--MA0117.2.Mafb	chr14	74918642	74918653	+	0.000	0.000	Merged-chr14-74918775-39
NR8301--MA0089.1.MAFG::NFE2L1	chr3	52791171	52791176	-	0.000	0.000	Merged-chr3-52791161-46
NR10045--MA0089.1.MAFG::NFE2L1	chr5	23394492	23394497	+	0.000	0.000	Merged-chr5-23394422-14
NR6251--MA0659.1.MAFG	chr18	12869310	12869330	-	0.000	0.000	Merged-chr18-12869252-13
NR11470--MA0495.2.MAFF	chr6	130029867	130029887	-	0.000	0.000	Merged-chr6-130029953-23
NR2545--MA0117.2.Mafb	chr12	17724601	17724612	+	0.000	0.000	Merged-chr12-17724763-61
NR8601--MA0089.1.MAFG::NFE2L1	chr3	96936772	96936777	-	0.000	0.000	Merged-chr3-96936595-28
NR4725--MA0117.2.Mafb	chr15	36396458	36396469	+	0.000	0.000	Merged-chr15-36396472-80
NR10385--MA0495.2.MAFF	chr5	92353778	92353798	+	0.000	0.000	Merged-chr5-92353751-46
NR863--MA0501.1.MAF::NFE2	chr1	160042516	160042530	-	0.000	0.000	Merged-chr1-160042538-15
NR10387--MA0117.2.Mafb	chr5	92353787	92353798	-	0.000	0.000	Merged-chr5-92353751-46
NR2431--MA0591.1.Bach1::Mafk	chr11	113612395	113612409	-	0.000	0.000	Merged-chr11-113612276-39
NR11408--MA0591.1.Bach1::Mafk	chr6	119635739	119635753	-	0.000	0.000	Merged-chr6-119635924-52
NR5059--MA0089.1.MAFG::NFE2L1	chr15	100060731	100060736	+	0.000	0.000	Merged-chr15-100060928-68
NR1807--MA0089.1.MAFG::NFE2L1	chr10	96602613	96602618	+	0.000	0.000	Merged-chr10-96602495-12
NR6566--MA0089.1.MAFG::NFE2L1	chr18	67255730	67255735	-	0.000	0.000	Merged-chr18-67255745-40
NR11863--MA0089.1.MAFG::NFE2L1	chr7	55960533	55960538	-	0.000	0.000	Merged-chr7-55960600-37
NR8130--MA0495.2.MAFF	chr3	21917647	21917667	+	0.000	0.000	Merged-chr3-21917648-70
NR2541--MA0591.1.Bach1::Mafk	chr12	17507391	17507405	-	0.000	0.000	Merged-chr12-17507357-35
NR2178--MA0591.1.Bach1::Mafk	chr11	26640671	26640685	+	0.000	0.000	Merged-chr11-26640535-47
NR3035--MA0495.2.MAFF	chr12	116315653	116315673	+	0.000	0.000	Merged-chr12-116315725-53
NR6084--MA0089.1.MAFG::NFE2L1	chr17	80772610	80772615	+	0.000	0.000	Merged-chr17-80772766-52
NR872--MA0496.2.MAFK	chr1	161480012	161480030	-	0.000	0.000	Merged-chr1-161480099-19
NR13296--MA0501.1.MAF::NFE2	chr9	86373334	86373348	+	0.000	0.000	Merged-chr9-86373415-51
NR2335--MA0591.1.Bach1::Mafk	chr11	82195122	82195136	-	0.000	0.000	Merged-chr11-82195229-33
NR11469--MA0495.2.MAFF	chr6	130029867	130029887	+	0.000	0.000	Merged-chr6-130029953-23
NR1181--MA0659.1.MAFG	chr10	12823922	12823942	+	0.000	0.000	Merged-chr10-12823956-45
NR11628--MA0089.1.MAFG::NFE2L1	chr6	144804582	144804587	-	0.000	0.000	Merged-chr6-144804553-29
NR875--MA0089.1.MAFG::NFE2L1	chr1	161734763	161734768	-	0.000	0.000	Merged-chr1-161734917-117
NR11639--MA0089.1.MAFG::NFE2L1	chr6	146271409	146271414	-	0.000	0.000	Merged-chr6-146271470-40
NR12960--MA0659.1.MAFG	chr8	126686967	126686987	+	0.000	0.000	Merged-chr8-126687126-29
NR3613--MA0089.1.MAFG::NFE2L1	chr13	95393329	95393334	-	0.000	0.000	Merged-chr13-95393533-22
NR11636--MA0495.2.MAFF	chr6	145993221	145993241	+	0.000	0.000	Merged-chr6-145993129-56
NR11472--MA0591.1.Bach1::Mafk	chr6	130029870	130029884	-	0.000	0.000	Merged-chr6-130029953-23
NR2987--MA0089.1.MAFG::NFE2L1	chr12	107051454	107051459	+	0.000	0.000	Merged-chr12-107051429-24
NR12275--MA0089.1.MAFG::NFE2L1	chr7	130893287	130893292	+	0.000	0.000	Merged-chr7-130893114-41
NR10523--MA0501.1.MAF::NFE2	chr5	122288691	122288705	+	0.000	0.000	Merged-chr5-122288620-47
NR11633--MA0089.1.MAFG::NFE2L1	chr6	145374520	145374525	-	0.000	0.000	Merged-chr6-145374595-4
NR3752--MA0117.2.Mafb	chr13	111634607	111634618	-	0.000	0.000	Merged-chr13-111634662-22
NR11571--MA0117.2.Mafb	chr6	140817082	140817093	+	0.000	0.000	Merged-chr6-140817043-66
NR127--MA0501.1.MAF::NFE2	chr1	23882913	23882927	-	0.000	0.000	Merged-chr1-23882900-25
NR7869--MA0089.1.MAFG::NFE2L1	chr2	164081815	164081820	-	0.000	0.000	Merged-chr2-164081803-8
NR13282--MA0501.1.MAF::NFE2	chr9	83564276	83564290	+	0.000	0.000	Merged-chr9-83564254-44
NR8670--MA0089.1.MAFG::NFE2L1	chr3	108865799	108865804	-	0.000	0.000	Merged-chr3-108865766-27
NR2428--MA0495.2.MAFF	chr11	113536965	113536985	+	0.000	0.000	Merged-chr11-113536889-33
NR10969--MA0591.1.Bach1::Mafk	chr6	49128471	49128485	+	0.000	0.000	Merged-chr6-49128471-29
NR8708--MA0089.1.MAFG::NFE2L1	chr3	115729335	115729340	+	0.000	0.000	Merged-chr3-115729400-55
NR10386--MA0495.2.MAFF	chr5	92353778	92353798	-	0.000	0.000	Merged-chr5-92353751-46
NR1006--MA0089.1.MAFG::NFE2L1	chr1	183987870	183987875	+	0.000	0.000	Merged-chr1-183987914-47
NR11415--MA0591.1.Bach1::Mafk	chr6	120799651	120799665	+	0.000	0.000	Merged-chr6-120799783-44
NR8131--MA0495.2.MAFF	chr3	21917647	21917667	-	0.000	0.000	Merged-chr3-21917648-70
NR10973--MA0496.2.MAFK	chr6	49128469	49128487	+	0.000	0.000	Merged-chr6-49128471-29
NR4160--MA0501.1.MAF::NFE2	chr14	46578214	46578228	-	0.000	0.000	Merged-chr14-46578431-37
NR8915--MA0495.2.MAFF	chr3	146063412	146063432	+	0.000	0.000	Merged-chr3-146063322-20
NR2422--MA0089.1.MAFG::NFE2L1	chr11	113174285	113174290	-	0.000	0.000	Merged-chr11-113174221-33
NR10381--MA0591.1.Bach1::Mafk	chr5	92348953	92348967	+	0.000	0.000	Merged-chr5-92348973-52
