#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed
NR2336--MA0768.1.LEF1	chr6	55256720	55256734	-	0.000	0.000	Merged-chr6-55256807-22
NR596--MA0768.1.LEF1	chr12	76932776	76932790	+	0.000	0.000	Merged-chr12-76932922-30
NR229--MA0768.1.LEF1	chr1	182521334	182521348	-	0.000	0.000	Merged-chr1-182521297-12
NR153--MA0768.1.LEF1	chr1	134077743	134077757	-	0.000	0.000	Merged-chr1-134077877-43
NR2238--MA0768.1.LEF1	chr5	100929941	100929955	-	0.000	0.000	Merged-chr5-100929891-31
NR2153--MA0768.1.LEF1	chr5	22747519	22747533	+	0.000	0.000	Merged-chr5-22747535-33
NR704--MA0768.1.LEF1	chr13	52702316	52702330	-	0.000	0.000	Merged-chr13-52702318-14
NR149--MA0768.1.LEF1	chr1	131325030	131325044	-	0.000	0.000	Merged-chr1-131325042-10
NR2158--MA0768.1.LEF1	chr5	29195910	29195924	+	0.000	0.000	Merged-chr5-29195906-68
NR709--MA0768.1.LEF1	chr13	55716357	55716371	+	0.000	0.000	Merged-chr13-55716427-16
NR1753--MA0768.1.LEF1	chr3	55660081	55660095	+	0.000	0.000	Merged-chr3-55660012-44
NR2946--MA0768.1.LEF1	chrY	11858125	11858139	-	0.000	0.000	Merged-chrY-11858126-43
NR1301--MA0768.1.LEF1	chr18	15331923	15331937	-	0.000	0.000	Merged-chr18-15331866-28
NR2727--MA0768.1.LEF1	chr8	81761671	81761685	-	0.000	0.000	Merged-chr8-81761666-20
NR969--MA0768.1.LEF1	chr15	18952128	18952142	+	0.000	0.000	Merged-chr15-18951851-25
NR1561--MA0768.1.LEF1	chr2	102044477	102044491	+	0.000	0.000	Merged-chr2-102044515-18
NR2763--MA0768.1.LEF1	chr8	123404745	123404759	-	0.000	0.000	Merged-chr8-123404693-24
NR204--MA0768.1.LEF1	chr1	165063212	165063226	+	0.000	0.000	Merged-chr1-165063084-17
NR1584--MA0768.1.LEF1	chr2	120502274	120502288	+	0.000	0.000	Merged-chr2-120502347-30
NR93--MA0768.1.LEF1	chr1	82443948	82443962	+	0.000	0.000	Merged-chr1-82443829-28
NR1593--MA0768.1.LEF1	chr2	132669431	132669445	+	0.000	0.000	Merged-chr2-132669439-31
NR482--MA0768.1.LEF1	chr11	63146799	63146813	-	0.000	0.000	Merged-chr11-63146790-18
NR2209--MA0768.1.LEF1	chr5	67930820	67930834	-	0.000	0.000	Merged-chr5-67930859-12
NR1925--MA0768.1.LEF1	chr4	7455320	7455334	-	0.000	0.000	Merged-chr4-7455242-36
NR469--MA0768.1.LEF1	chr11	46399251	46399265	+	0.000	0.000	Merged-chr11-46399258-50
NR1061--MA0768.1.LEF1	chr15	95826800	95826814	-	0.000	0.000	Merged-chr15-95826706-34
NR487--MA0768.1.LEF1	chr11	70265485	70265499	-	0.000	0.000	Merged-chr11-70265494-15
NR2912--MA0768.1.LEF1	chrX	75587892	75587906	+	0.000	0.000	Merged-chrX-75587867-43
NR1630--MA0768.1.LEF1	chr2	150578758	150578772	-	0.000	0.000	Merged-chr2-150578789-44
NR2147--MA0768.1.LEF1	chr5	20087380	20087394	-	0.000	0.000	Merged-chr5-20087381-40
NR850--MA0768.1.LEF1	chr14	31414851	31414865	-	0.000	0.000	Merged-chr14-31414970-54
NR2183--MA0768.1.LEF1	chr5	52609941	52609955	+	0.000	0.000	Merged-chr5-52609918-24
NR770--MA0768.1.LEF1	chr13	97439971	97439985	+	0.000	0.000	Merged-chr13-97439792-27
NR2609--MA0768.1.LEF1	chr7	109951564	109951578	-	0.000	0.000	Merged-chr7-109951636-55
NR1649--MA0768.1.LEF1	chr2	164534495	164534509	-	0.000	0.000	Merged-chr2-164534526-17
NR1667--MA0768.1.LEF1	chr2	173444378	173444392	+	0.000	0.000	Merged-chr2-173444560-32
NR999--MA0768.1.LEF1	chr15	39913586	39913600	-	0.000	0.000	Merged-chr15-39913439-55
NR2869--MA0768.1.LEF1	chr9	98395789	98395803	+	0.000	0.000	Merged-chr9-98395793-5
NR686--MA0768.1.LEF1	chr13	34914825	34914839	-	0.000	0.000	Merged-chr13-34914852-26
NR2319--MA0768.1.LEF1	chr6	41113489	41113503	+	0.000	0.000	Merged-chr6-41113305-59
NR2234--MA0768.1.LEF1	chr5	97090319	97090333	+	0.000	0.000	Merged-chr5-97090318-20
NR2910--MA0768.1.LEF1	chrX	73082389	73082403	-	0.000	0.000	Merged-chrX-73082481-64
NR2355--MA0768.1.LEF1	chr6	65818502	65818516	-	0.000	0.000	Merged-chr6-65818480-32
NR382--MA0768.1.LEF1	chr10	96569824	96569838	-	0.000	0.000	Merged-chr10-96569818-31
NR1037--MA0768.1.LEF1	chr15	74667787	74667801	-	0.000	0.000	Merged-chr15-74667710-27
NR2364--MA0768.1.LEF1	chr6	67105659	67105673	+	0.000	0.000	Merged-chr6-67105676-29
NR248--MA0768.1.LEF1	chr10	6954706	6954720	-	0.000	0.000	Merged-chr10-6954726-16
NR2597--MA0768.1.LEF1	chr7	96910488	96910502	+	0.000	0.000	Merged-chr7-96910268-22
NR190--MA0768.1.LEF1	chr1	156710948	156710962	-	0.000	0.000	Merged-chr1-156710970-33
NR992--MA0768.1.LEF1	chr15	35465166	35465180	-	0.000	0.000	Merged-chr15-35465086-12
NR1884--MA0768.1.LEF1	chr3	146127535	146127549	+	0.000	0.000	Merged-chr3-146127552-12
NR1544--MA0768.1.LEF1	chr2	83828043	83828057	+	0.000	0.000	Merged-chr2-83828033-13
NR1656--MA0768.1.LEF1	chr2	168575212	168575226	-	0.000	0.000	Merged-chr2-168575169-53
NR2652--MA0768.1.LEF1	chr8	13955239	13955253	+	0.000	0.000	Merged-chr8-13955228-14
NR1795--MA0768.1.LEF1	chr3	84686933	84686947	-	0.000	0.000	Merged-chr3-84686985-16
NR2406--MA0768.1.LEF1	chr6	100581186	100581200	-	0.000	0.000	Merged-chr6-100581320-61
NR2554--MA0768.1.LEF1	chr7	67353793	67353807	+	0.000	0.000	Merged-chr7-67353683-35
NR438--MA0768.1.LEF1	chr11	3345065	3345079	-	0.000	0.000	Merged-chr11-3345059-26
NR1594--MA0768.1.LEF1	chr2	132691812	132691826	+	0.000	0.000	Merged-chr2-132691913-20
NR2787--MA0768.1.LEF1	chr9	15582155	15582169	+	0.000	0.000	Merged-chr9-15582230-13
NR2684--MA0768.1.LEF1	chr8	34817927	34817941	-	0.000	0.000	Merged-chr8-34817852-8
NR237--MA0768.1.LEF1	chr1	191259381	191259395	+	0.000	0.000	Merged-chr1-191259374-46
NR1138--MA0768.1.LEF1	chr16	57319958	57319972	+	0.000	0.000	Merged-chr16-57319907-20
NR2689--MA0768.1.LEF1	chr8	36028574	36028588	-	0.000	0.000	Merged-chr8-36028490-56
NR2228--MA0768.1.LEF1	chr5	91283251	91283265	-	0.000	0.000	Merged-chr5-91283193-32
NR1841--MA0768.1.LEF1	chr3	126589697	126589711	+	0.000	0.000	Merged-chr3-126589665-27
NR385--MA0768.1.LEF1	chr10	98745578	98745592	-	0.000	0.000	Merged-chr10-98745748-77
NR157--MA0768.1.LEF1	chr1	136618922	136618936	+	0.000	0.000	Merged-chr1-136618798-23
NR2815--MA0768.1.LEF1	chr9	61720239	61720253	+	0.000	0.000	Merged-chr9-61720309-20
NR1188--MA0768.1.LEF1	chr16	95869617	95869631	+	0.000	0.000	Merged-chr16-95869616-44
NR2708--MA0768.1.LEF1	chr8	57828446	57828460	+	0.000	0.000	Merged-chr8-57828491-18
NR959--MA0768.1.LEF1	chr15	6726747	6726761	-	0.000	0.000	Merged-chr15-6726597-28
NR507--MA0768.1.LEF1	chr11	113206337	113206351	+	0.000	0.000	Merged-chr11-113206318-17
NR310--MA0768.1.LEF1	chr10	37606049	37606063	-	0.000	0.000	Merged-chr10-37606063-23
NR995--MA0768.1.LEF1	chr15	36396448	36396462	-	0.000	0.000	Merged-chr15-36396472-80
NR2628--MA0768.1.LEF1	chr7	129774360	129774374	+	0.000	0.000	Merged-chr7-129774380-36
NR440--MA0768.1.LEF1	chr11	5415750	5415764	+	0.000	0.000	Merged-chr11-5415987-23
NR2892--MA0768.1.LEF1	chrX	7570941	7570955	+	0.000	0.000	Merged-chrX-7570919-6
NR65--MA0768.1.LEF1	chr1	66552806	66552820	-	0.000	0.000	Merged-chr1-66552771-47
NR1668--MA0768.1.LEF1	chr2	174612772	174612786	-	0.000	0.000	Merged-chr2-174612913-27
NR324--MA0768.1.LEF1	chr10	50650805	50650819	-	0.000	0.000	Merged-chr10-50650757-16
NR2203--MA0768.1.LEF1	chr5	64764617	64764631	+	0.000	0.000	Merged-chr5-64764597-23
NR2888--MA0768.1.LEF1	chr9	122399007	122399021	-	0.000	0.000	Merged-chr9-122399009-31
NR2105--MA0768.1.LEF1	chr4	152190027	152190041	-	0.000	0.000	Merged-chr4-152190053-24
NR2329--MA0768.1.LEF1	chr6	50009506	50009520	-	0.000	0.000	Merged-chr6-50009459-48
NR2235--MA0768.1.LEF1	chr5	98018288	98018302	+	0.000	0.000	Merged-chr5-98018284-53
NR383--MA0768.1.LEF1	chr10	96955143	96955157	+	0.000	0.000	Merged-chr10-96955164-15
NR2347--MA0768.1.LEF1	chr6	61125592	61125606	-	0.000	0.000	Merged-chr6-61125660-31
NR2253--MA0768.1.LEF1	chr5	118678776	118678790	-	0.000	0.000	Merged-chr5-118678760-15
NR137--MA0768.1.LEF1	chr1	119636962	119636976	+	0.000	0.000	Merged-chr1-119636990-21
NR804--MA0768.1.LEF1	chr13	114076219	114076233	+	0.000	0.000	Merged-chr13-114076115-29
NR2365--MA0768.1.LEF1	chr6	67318091	67318105	-	0.000	0.000	Merged-chr6-67318064-30
NR710--MA0768.1.LEF1	chr13	59696013	59696027	+	0.000	0.000	Merged-chr13-59695978-11
NR2271--MA0768.1.LEF1	chr5	142891541	142891555	-	0.000	0.000	Merged-chr5-142891617-16
NR1047--MA0768.1.LEF1	chr15	85042789	85042803	-	0.000	0.000	Merged-chr15-85042702-72
NR2813--MA0768.1.LEF1	chr9	56325876	56325890	+	0.000	0.000	Merged-chr9-56325915-29
NR2831--MA0768.1.LEF1	chr9	78024889	78024903	-	0.000	0.000	Merged-chr9-78024957-31
NR1083--MA0768.1.LEF1	chr16	8455243	8455257	+	0.000	0.000	Merged-chr16-8455328-28
NR2809--MA0768.1.LEF1	chr9	48538518	48538532	+	0.000	0.000	Merged-chr9-48538454-59
NR836--MA0768.1.LEF1	chr14	15273330	15273344	-	0.000	0.000	Merged-chr14-15273135-43
NR2057--MA0768.1.LEF1	chr4	103007251	103007265	+	0.000	0.000	Merged-chr4-103007088-44
NR299--MA0768.1.LEF1	chr10	30627890	30627904	-	0.000	0.000	Merged-chr10-30627801-15
NR2939--MA0768.1.LEF1	chrX	153375283	153375297	-	0.000	0.000	Merged-chrX-153375365-26
NR1867--MA0768.1.LEF1	chr3	138715602	138715616	+	0.000	0.000	Merged-chr3-138715512-11
NR1415--MA0768.1.LEF1	chr19	10777031	10777045	+	0.000	0.000	Merged-chr19-10777211-32
NR2505--MA0768.1.LEF1	chr7	25576077	25576091	-	0.000	0.000	Merged-chr7-25575910-1
NR2532--MA0768.1.LEF1	chr7	49421390	49421404	+	0.000	0.000	Merged-chr7-49421353-29
NR2653--MA0768.1.LEF1	chr8	13986985	13986999	-	0.000	0.000	Merged-chr8-13987133-66
NR1447--MA0768.1.LEF1	chr2	6622256	6622270	-	0.000	0.000	Merged-chr2-6622331-33
NR1353--MA0768.1.LEF1	chr18	57362756	57362770	-	0.000	0.000	Merged-chr18-57362721-19
NR1250--MA0768.1.LEF1	chr17	52592021	52592035	-	0.000	0.000	Merged-chr17-52591988-50
NR2555--MA0768.1.LEF1	chr7	68298651	68298665	-	0.000	0.000	Merged-chr7-68298573-21
NR1125--MA0768.1.LEF1	chr16	48745639	48745653	-	0.000	0.000	Merged-chr16-48745701-29
NR1810--MA0768.1.LEF1	chr3	103347945	103347959	+	0.000	0.000	Merged-chr3-103347840-2
NR2345--MA0768.1.LEF1	chr6	60940531	60940545	+	0.000	0.000	Merged-chr6-60940563-22
NR587--MA0768.1.LEF1	chr12	71868832	71868846	+	0.000	0.000	Merged-chr12-71868892-16
NR484--MA0768.1.LEF1	chr11	67010559	67010573	+	0.000	0.000	Merged-chr11-67010576-15
NR1139--MA0768.1.LEF1	chr16	57465380	57465394	-	0.000	0.000	Merged-chr16-57465471-22
NR1806--MA0768.1.LEF1	chr3	101066412	101066426	-	0.000	0.000	Merged-chr3-101066330-34
NR2247--MA0768.1.LEF1	chr5	110274208	110274222	+	0.000	0.000	Merged-chr5-110274346-15
NR1842--MA0768.1.LEF1	chr3	126589727	126589741	+	0.000	0.000	Merged-chr3-126589665-27
NR2820--MA0768.1.LEF1	chr9	69757527	69757541	-	0.000	0.000	Merged-chr9-69757438-24
NR1502--MA0768.1.LEF1	chr2	52310864	52310878	+	0.000	0.000	Merged-chr2-52310809-21
NR1059--MA0768.1.LEF1	chr15	94255281	94255295	-	0.000	0.000	Merged-chr15-94255177-46
NR1847--MA0768.1.LEF1	chr3	129561214	129561228	-	0.000	0.000	Merged-chr3-129561081-2
NR1632--MA0768.1.LEF1	chr2	153325731	153325745	+	0.000	0.000	Merged-chr2-153325949-22
NR2816--MA0768.1.LEF1	chr9	63174176	63174190	-	0.000	0.000	Merged-chr9-63174130-6
NR964--MA0768.1.LEF1	chr15	9533555	9533569	+	0.000	0.000	Merged-chr15-9533546-44
NR194--MA0768.1.LEF1	chr1	159938619	159938633	+	0.000	0.000	Merged-chr1-159938641-24
NR1095--MA0768.1.LEF1	chr16	20480322	20480336	-	0.000	0.000	Merged-chr16-20480311-19
NR2740--MA0768.1.LEF1	chr8	95247524	95247538	+	0.000	0.000	Merged-chr8-95247520-25
NR1883--MA0768.1.LEF1	chr3	146127483	146127497	+	0.000	0.000	Merged-chr3-146127552-12
NR2185--MA0768.1.LEF1	chr5	52872354	52872368	+	0.000	0.000	Merged-chr5-52872385-12
NR1516--MA0768.1.LEF1	chr2	59469813	59469827	-	0.000	0.000	Merged-chr2-59469655-1
NR2852--MA0768.1.LEF1	chr9	90301220	90301234	-	0.000	0.000	Merged-chr9-90301276-26
NR2082--MA0768.1.LEF1	chr4	140601320	140601334	+	0.000	0.000	Merged-chr4-140601329-15
NR2870--MA0768.1.LEF1	chr9	98616551	98616565	+	0.000	0.000	Merged-chr9-98616546-17
NR2624--MA0768.1.LEF1	chr7	125507467	125507481	+	0.000	0.000	Merged-chr7-125507552-10
NR508--MA0768.1.LEF1	chr11	113206356	113206370	+	0.000	0.000	Merged-chr11-113206318-17
NR1767--MA0768.1.LEF1	chr3	67033638	67033652	+	0.000	0.000	Merged-chr3-67033715-15
NR405--MA0768.1.LEF1	chr10	111578772	111578786	+	0.000	0.000	Merged-chr10-111578564-64
NR1879--MA0768.1.LEF1	chr3	144232067	144232081	-	0.000	0.000	Merged-chr3-144232172-58
NR884--MA0768.1.LEF1	chr14	72822371	72822385	+	0.000	0.000	Merged-chr14-72822179-91
NR1897--MA0768.1.LEF1	chr3	152432726	152432740	-	0.000	0.000	Merged-chr3-152432739-55
NR1230--MA0768.1.LEF1	chr17	34305136	34305150	-	0.000	0.000	Merged-chr17-34305077-21
NR66--MA0768.1.LEF1	chr1	66552830	66552844	-	0.000	0.000	Merged-chr1-66552771-47
NR101--MA0768.1.LEF1	chr1	88475655	88475669	+	0.000	0.000	Merged-chr1-88475619-20
NR1459--MA0768.1.LEF1	chr2	13132648	13132662	-	0.000	0.000	Merged-chr2-13132891-60
NR2428--MA0768.1.LEF1	chr6	119749301	119749315	+	0.000	0.000	Merged-chr6-119749325-22
NR1128--MA0768.1.LEF1	chr16	49943824	49943838	-	0.000	0.000	Merged-chr16-49943826-20
NR2482--MA0768.1.LEF1	chr6	149183512	149183526	-	0.000	0.000	Merged-chr6-149183441-13
NR2254--MA0768.1.LEF1	chr5	122288603	122288617	+	0.000	0.000	Merged-chr5-122288620-47
NR1294--MA0768.1.LEF1	chr18	10154685	10154699	+	0.000	0.000	Merged-chr18-10154788-16
NR2026--MA0768.1.LEF1	chr4	86683546	86683560	-	0.000	0.000	Merged-chr4-86683553-15
NR739--MA0768.1.LEF1	chr13	77141036	77141050	-	0.000	0.000	Merged-chr13-77141048-16
NR1792--MA0768.1.LEF1	chr3	81489540	81489554	-	0.000	0.000	Merged-chr3-81489616-14
NR2618--MA0768.1.LEF1	chr7	117559193	117559207	-	0.000	0.000	Merged-chr7-117559166-31
NR55--MA0768.1.LEF1	chr1	53824888	53824902	+	0.000	0.000	Merged-chr1-53824914-19
NR73--MA0768.1.LEF1	chr1	69331697	69331711	-	0.000	0.000	Merged-chr1-69331775-34
NR2533--MA0768.1.LEF1	chr7	49421420	49421434	-	0.000	0.000	Merged-chr7-49421353-29
NR2654--MA0768.1.LEF1	chr8	15018974	15018988	-	0.000	0.000	Merged-chr8-15019042-1
NR91--MA0768.1.LEF1	chr1	80441128	80441142	+	0.000	0.000	Merged-chr1-80441020-53
NR1336--MA0768.1.LEF1	chr18	42585879	42585893	+	0.000	0.000	Merged-chr18-42585822-14
NR1448--MA0768.1.LEF1	chr2	6622360	6622374	-	0.000	0.000	Merged-chr2-6622331-33
NR471--MA0768.1.LEF1	chr11	49722941	49722955	-	0.000	0.000	Merged-chr11-49723086-55
NR225--MA0768.1.LEF1	chr1	179240800	179240814	+	0.000	0.000	Merged-chr1-179240877-38
NR337--MA0768.1.LEF1	chr10	60000108	60000122	+	0.000	0.000	Merged-chr10-60000232-10
NR1811--MA0768.1.LEF1	chr3	103641497	103641511	+	0.000	0.000	Merged-chr3-103641510-13
NR2328--MA0768.1.LEF1	chr6	50009499	50009513	-	0.000	0.000	Merged-chr6-50009459-48
NR2243--MA0768.1.LEF1	chr5	105010601	105010615	+	0.000	0.000	Merged-chr5-105010527-49
NR2248--MA0768.1.LEF1	chr5	110594702	110594716	-	0.000	0.000	Merged-chr5-110594723-25
NR2821--MA0768.1.LEF1	chr9	70584831	70584845	+	0.000	0.000	Merged-chr9-70584670-22
NR2266--MA0768.1.LEF1	chr5	134333000	134333014	-	0.000	0.000	Merged-chr5-134333065-45
NR2051--MA0768.1.LEF1	chr4	101217307	101217321	+	0.000	0.000	Merged-chr4-101217167-64
NR293--MA0768.1.LEF1	chr10	25387443	25387457	-	0.000	0.000	Merged-chr10-25387454-21
NR947--MA0768.1.LEF1	chr14	120373004	120373018	-	0.000	0.000	Merged-chr14-120372978-21
NR2293--MA0768.1.LEF1	chr6	13650756	13650770	+	0.000	0.000	Merged-chr6-13650892-33
NR2047--MA0768.1.LEF1	chr4	97996043	97996057	+	0.000	0.000	Merged-chr4-97996259-58
NR504--MA0768.1.LEF1	chr11	109591673	109591687	+	0.000	0.000	Merged-chr11-109591660-26
NR2186--MA0768.1.LEF1	chr5	53584555	53584569	-	0.000	0.000	Merged-chr5-53584497-5
NR522--MA0768.1.LEF1	chr12	8496496	8496510	+	0.000	0.000	Merged-chr12-8496481-10
NR2298--MA0768.1.LEF1	chr6	17932049	17932063	-	0.000	0.000	Merged-chr6-17932110-11
NR2083--MA0768.1.LEF1	chr4	140601354	140601368	-	0.000	0.000	Merged-chr4-140601329-15
NR849--MA0768.1.LEF1	chr14	31414454	31414468	+	0.000	0.000	Merged-chr14-31414405-2
NR1320--MA0768.1.LEF1	chr18	32598131	32598145	-	0.000	0.000	Merged-chr18-32598271-33
NR2410--MA0768.1.LEF1	chr6	103309147	103309161	-	0.000	0.000	Merged-chr6-103309092-13
NR652--MA0768.1.LEF1	chr13	5806325	5806339	+	0.000	0.000	Merged-chr13-5806398-17
NR2737--MA0768.1.LEF1	chr8	91507607	91507621	-	0.000	0.000	Merged-chr8-91507766-35
NR67--MA0768.1.LEF1	chr1	66987860	66987874	-	0.000	0.000	Merged-chr1-66987794-41
NR2778--MA0768.1.LEF1	chr9	11559525	11559539	-	0.000	0.000	Merged-chr9-11559688-28
NR2335--MA0768.1.LEF1	chr6	55016479	55016493	+	0.000	0.000	Merged-chr6-55016500-80
NR380--MA0768.1.LEF1	chr10	96201432	96201446	+	0.000	0.000	Merged-chr10-96201472-66
NR1393--MA0768.1.LEF1	chr18	79297906	79297920	+	0.000	0.000	Merged-chr18-79298014-36
NR922--MA0768.1.LEF1	chr14	103017268	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR2922--MA0768.1.LEF1	chrX	100789551	100789565	-	0.000	0.000	Merged-chrX-100789555-32
NR1971--MA0768.1.LEF1	chr4	34429185	34429199	+	0.000	0.000	Merged-chr4-34429163-2
NR2027--MA0768.1.LEF1	chr4	86721962	86721976	-	0.000	0.000	Merged-chr4-86721990-52
NR1837--MA0768.1.LEF1	chr3	123084116	123084130	-	0.000	0.000	Merged-chr3-123084162-14
NR954--MA0768.1.LEF1	chr14	122902340	122902354	-	0.000	0.000	Merged-chr14-122902262-49
NR184--MA0768.1.LEF1	chr1	151973284	151973298	-	0.000	0.000	Merged-chr1-151973357-25
NR1752--MA0768.1.LEF1	chr3	55660069	55660083	+	0.000	0.000	Merged-chr3-55660012-44
NR1609--MA0768.1.LEF1	chr2	139925146	139925160	+	0.000	0.000	Merged-chr2-139925145-30
NR726--MA0768.1.LEF1	chr13	69488205	69488219	-	0.000	0.000	Merged-chr13-69488029-32
NR2860--MA0768.1.LEF1	chr9	94620494	94620508	-	0.000	0.000	Merged-chr9-94620464-1
NR2717--MA0768.1.LEF1	chr8	70160263	70160277	-	0.000	0.000	Merged-chr8-70160118-32
NR189--MA0768.1.LEF1	chr1	156522228	156522242	+	0.000	0.000	Merged-chr1-156522298-40
