#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR4255--MA0089.1.MAFG::NFE2L1	chr13	114887326	114887331	-	0.000	0.000	Merged-chr13-114887526-35
NR1081--MA0496.2.MAFK	chr1	180403755	180403773	+	0.000	0.000	Merged-chr1-180403715-60
NR6714--MA0496.2.MAFK	chr18	23828828	23828846	-	0.000	0.000	Merged-chr18-23828715-22
NR12842--MA0089.1.MAFG::NFE2L1	chr7	79249754	79249759	+	0.000	0.000	Merged-chr7-79249720-34
NR1997--MA0659.1.MAFG	chr10	117975555	117975575	-	0.000	0.000	Merged-chr10-117975710-27
NR8272--MA0089.1.MAFG::NFE2L1	chr2	128318445	128318450	+	0.000	0.000	Merged-chr2-128318457-15
NR5029--MA0501.1.MAF::NFE2	chr15	6555769	6555783	+	0.000	0.000	Merged-chr15-6555772-24
NR1084--MA0501.1.MAF::NFE2	chr1	180410497	180410511	+	0.000	0.000	Merged-chr1-180410391-12
NR6065--MA0496.2.MAFK	chr16	94660248	94660266	-	0.000	0.000	Merged-chr16-94660460-20
NR5177--MA0501.1.MAF::NFE2	chr15	51803018	51803032	+	0.000	0.000	Merged-chr15-51803142-36
NR12479--MA0501.1.MAF::NFE2	chr6	144804578	144804592	+	0.000	0.000	Merged-chr6-144804553-29
NR11517--MA0117.2.Mafb	chr6	8649424	8649435	+	0.000	0.000	Merged-chr6-8649574-3
NR2837--MA0591.1.Bach1::Mafk	chr11	121039415	121039429	+	0.000	0.000	Merged-chr11-121039238-62
NR1867--MA0089.1.MAFG::NFE2L1	chr10	94848656	94848661	+	0.000	0.000	Merged-chr10-94848627-43
NR4731--MA0501.1.MAF::NFE2	chr14	72778152	72778166	-	0.000	0.000	Merged-chr14-72778135-45
NR749--MA0591.1.Bach1::Mafk	chr1	136255312	136255326	-	0.000	0.000	Merged-chr1-136255292-47
NR7626--MA0496.2.MAFK	chr2	34938704	34938722	+	0.000	0.000	Merged-chr2-34938971-69
NR9220--MA0089.1.MAFG::NFE2L1	chr3	95909548	95909553	-	0.000	0.000	Merged-chr3-95909537-31
NR12499--MA0089.1.MAFG::NFE2L1	chr6	146081106	146081111	-	0.000	0.000	Merged-chr6-146081045-99
NR7253--MA0659.1.MAFG	chr19	21785904	21785924	+	0.000	0.000	Merged-chr19-21785964-7
NR14752--MA0117.2.Mafb	chr9	118519336	118519347	+	0.000	0.000	Merged-chr9-118519152-31
NR3865--MA0591.1.Bach1::Mafk	chr13	60897580	60897594	-	0.000	0.000	Merged-chr13-60897577-48
NR14078--MA0089.1.MAFG::NFE2L1	chr9	5623575	5623580	-	0.000	0.000	Merged-chr9-5623590-21
NR6712--MA0591.1.Bach1::Mafk	chr18	23828830	23828844	-	0.000	0.000	Merged-chr18-23828715-22
NR11147--MA0117.2.Mafb	chr5	103365681	103365692	-	0.000	0.000	Merged-chr5-103365833-17
NR7239--MA0591.1.Bach1::Mafk	chr19	20424391	20424405	-	0.000	0.000	Merged-chr19-20424322-22
NR5348--MA0501.1.MAF::NFE2	chr15	81308188	81308202	-	0.000	0.000	Merged-chr15-81308219-24
NR15043--MA0496.2.MAFK	chrX	142792381	142792399	+	0.000	0.000	Merged-chrX-142792362-24
NR6499--MA0501.1.MAF::NFE2	chr17	71192214	71192228	+	0.000	0.000	Merged-chr17-71192022-46
NR3394--MA0501.1.MAF::NFE2	chr12	110939576	110939590	+	0.000	0.000	Merged-chr12-110939619-21
NR4995--MA0591.1.Bach1::Mafk	chr14	121830076	121830090	+	0.000	0.000	Merged-chr14-121830164-49
NR10435--MA0089.1.MAFG::NFE2L1	chr4	137603742	137603747	-	0.000	0.000	Merged-chr4-137603877-24
NR6497--MA0496.2.MAFK	chr17	71192186	71192204	+	0.000	0.000	Merged-chr17-71192022-46
NR11743--MA0501.1.MAF::NFE2	chr6	54775914	54775928	-	0.000	0.000	Merged-chr6-54775842-27
NR6059--MA0495.2.MAFF	chr16	94660247	94660267	-	0.000	0.000	Merged-chr16-94660460-20
NR12266--MA0591.1.Bach1::Mafk	chr6	127302959	127302973	+	0.000	0.000	Merged-chr6-127302896-25
NR7096--MA0089.1.MAFG::NFE2L1	chr18	82513661	82513666	+	0.000	0.000	Merged-chr18-82513500-48
NR3940--MA0495.2.MAFF	chr13	76129008	76129028	-	0.000	0.000	Merged-chr13-76128854-26
NR5654--MA0496.2.MAFK	chr16	33769915	33769933	-	0.000	0.000	Merged-chr16-33769896-51
NR5209--MA0659.1.MAFG	chr15	58655206	58655226	+	0.000	0.000	Merged-chr15-58655104-54
NR10922--MA0089.1.MAFG::NFE2L1	chr5	62772116	62772121	+	0.000	0.000	Merged-chr5-62772215-28
NR7256--MA0501.1.MAF::NFE2	chr19	21787357	21787371	+	0.000	0.000	Merged-chr19-21787247-22
NR14072--MA0089.1.MAFG::NFE2L1	chr8	128646936	128646941	+	0.000	0.000	Merged-chr8-128646767-27
NR11460--MA0089.1.MAFG::NFE2L1	chr5	148678739	148678744	+	0.000	0.000	Merged-chr5-148678733-37
NR14750--MA0089.1.MAFG::NFE2L1	chr9	118518969	118518974	+	0.000	0.000	Merged-chr9-118519152-31
NR2722--MA0089.1.MAFG::NFE2L1	chr11	104667853	104667858	-	0.000	0.000	Merged-chr11-104667644-45
NR7304--MA0659.1.MAFG	chr19	32935800	32935820	-	0.000	0.000	Merged-chr19-32935830-20
NR5838--MA0089.1.MAFG::NFE2L1	chr16	58709279	58709284	-	0.000	0.000	Merged-chr16-58709115-34
NR2747--MA0501.1.MAF::NFE2	chr11	109149702	109149716	+	0.000	0.000	Merged-chr11-109149686-17
NR165--MA0501.1.MAF::NFE2	chr1	40386291	40386305	+	0.000	0.000	Merged-chr1-40386352-39
NR6568--MA0501.1.MAF::NFE2	chr17	83483867	83483881	-	0.000	0.000	Merged-chr17-83484048-22
NR10391--MA0501.1.MAF::NFE2	chr4	131046480	131046494	-	0.000	0.000	Merged-chr4-131046528-13
NR12816--MA0089.1.MAFG::NFE2L1	chr7	74684201	74684206	+	0.000	0.000	Merged-chr7-74684112-21
NR2720--MA0089.1.MAFG::NFE2L1	chr11	104631500	104631505	-	0.000	0.000	Merged-chr11-104631492-24
NR11182--MA0089.1.MAFG::NFE2L1	chr5	105718245	105718250	+	0.000	0.000	Merged-chr5-105718341-55
NR11207--MA0089.1.MAFG::NFE2L1	chr5	107649020	107649025	+	0.000	0.000	Merged-chr5-107649073-49
NR14530--MA0591.1.Bach1::Mafk	chr9	95151982	95151996	+	0.000	0.000	Merged-chr9-95151869-50
NR11205--MA0496.2.MAFK	chr5	107646129	107646147	+	0.000	0.000	Merged-chr5-107646170-26
NR6495--MA0495.2.MAFF	chr17	71192185	71192205	-	0.000	0.000	Merged-chr17-71192022-46
NR10088--MA0089.1.MAFG::NFE2L1	chr4	89178073	89178078	+	0.000	0.000	Merged-chr4-89178152-23
NR14394--MA0089.1.MAFG::NFE2L1	chr9	73068535	73068540	+	0.000	0.000	Merged-chr9-73068515-27
NR8041--MA0501.1.MAF::NFE2	chr2	102813058	102813072	+	0.000	0.000	Merged-chr2-102812992-26
NR14147--MA0591.1.Bach1::Mafk	chr9	21609997	21610011	-	0.000	0.000	Merged-chr9-21610100-42
NR9317--MA0591.1.Bach1::Mafk	chr3	109165417	109165431	-	0.000	0.000	Merged-chr3-109165436-34
NR13034--MA0501.1.MAF::NFE2	chr7	108954452	108954466	-	0.000	0.000	Merged-chr7-108954427-29
NR1082--MA0496.2.MAFK	chr1	180403755	180403773	-	0.000	0.000	Merged-chr1-180403715-60
NR14315--MA0089.1.MAFG::NFE2L1	chr9	55102276	55102281	+	0.000	0.000	Merged-chr9-55102396-26
NR13924--MA0501.1.MAF::NFE2	chr8	113656298	113656312	+	0.000	0.000	Merged-chr8-113656358-52
NR7422--MA0089.1.MAFG::NFE2L1	chr19	57131622	57131627	+	0.000	0.000	Merged-chr19-57131601-25
NR7624--MA0659.1.MAFG	chr2	34938703	34938723	+	0.000	0.000	Merged-chr2-34938971-69
NR10562--MA0501.1.MAF::NFE2	chr4	150991502	150991516	+	0.000	0.000	Merged-chr4-150991460-24
NR12269--MA0089.1.MAFG::NFE2L1	chr6	127617297	127617302	-	0.000	0.000	Merged-chr6-127617353-34
NR13603--MA0591.1.Bach1::Mafk	chr8	71587146	71587160	-	0.000	0.000	Merged-chr8-71587200-14
NR11203--MA0495.2.MAFF	chr5	107646128	107646148	+	0.000	0.000	Merged-chr5-107646170-26
NR5346--MA0117.2.Mafb	chr15	81308188	81308199	+	0.000	0.000	Merged-chr15-81308219-24
NR3393--MA0591.1.Bach1::Mafk	chr12	110939573	110939587	+	0.000	0.000	Merged-chr12-110939619-21
NR2007--MA0089.1.MAFG::NFE2L1	chr10	119083571	119083576	-	0.000	0.000	Merged-chr10-119083697-27
NR6011--MA0117.2.Mafb	chr16	90995165	90995176	-	0.000	0.000	Merged-chr16-90995039-12
NR4852--MA0117.2.Mafb	chr14	99266001	99266012	+	0.000	0.000	Merged-chr14-99266048-28
NR15041--MA0659.1.MAFG	chrX	142792380	142792400	+	0.000	0.000	Merged-chrX-142792362-24
NR7627--MA0496.2.MAFK	chr2	34938704	34938722	-	0.000	0.000	Merged-chr2-34938971-69
NR5350--MA0591.1.Bach1::Mafk	chr15	81819705	81819719	-	0.000	0.000	Merged-chr15-81819861-26
NR1366--MA0495.2.MAFF	chr10	19104809	19104829	+	0.000	0.000	Merged-chr10-19104955-55
NR12395--MA0591.1.Bach1::Mafk	chr6	137316523	137316537	+	0.000	0.000	Merged-chr6-137316445-24
NR2480--MA0117.2.Mafb	chr11	64116882	64116893	+	0.000	0.000	Merged-chr11-64116814-48
NR4223--MA0591.1.Bach1::Mafk	chr13	113168629	113168643	+	0.000	0.000	Merged-chr13-113168484-63
NR14146--MA0089.1.MAFG::NFE2L1	chr9	21610004	21610009	-	0.000	0.000	Merged-chr9-21610100-42
NR6373--MA0591.1.Bach1::Mafk	chr17	47598366	47598380	-	0.000	0.000	Merged-chr17-47598322-32
NR3866--MA0501.1.MAF::NFE2	chr13	60897577	60897591	-	0.000	0.000	Merged-chr13-60897577-48
NR11245--MA0089.1.MAFG::NFE2L1	chr5	112488431	112488436	-	0.000	0.000	Merged-chr5-112488536-19
NR5206--MA0089.1.MAFG::NFE2L1	chr15	58649984	58649989	-	0.000	0.000	Merged-chr15-58650001-42
NR11671--MA0501.1.MAF::NFE2	chr6	40891075	40891089	+	0.000	0.000	Merged-chr6-40891354-82
NR4855--MA0496.2.MAFK	chr14	99266002	99266020	-	0.000	0.000	Merged-chr14-99266048-28
NR5652--MA0659.1.MAFG	chr16	33769914	33769934	+	0.000	0.000	Merged-chr16-33769896-51
NR6074--MA0591.1.Bach1::Mafk	chr16	95168392	95168406	+	0.000	0.000	Merged-chr16-95168544-53
NR15044--MA0496.2.MAFK	chrX	142792381	142792399	-	0.000	0.000	Merged-chrX-142792362-24
NR7251--MA0089.1.MAFG::NFE2L1	chr19	21785914	21785919	-	0.000	0.000	Merged-chr19-21785964-7
NR8886--MA0089.1.MAFG::NFE2L1	chr3	37606061	37606066	+	0.000	0.000	Merged-chr3-37605967-27
NR5764--MA0117.2.Mafb	chr16	50632883	50632894	-	0.000	0.000	Merged-chr16-50633027-57
NR6498--MA0496.2.MAFK	chr17	71192186	71192204	-	0.000	0.000	Merged-chr17-71192022-46
NR1651--MA0089.1.MAFG::NFE2L1	chr10	68512603	68512608	-	0.000	0.000	Merged-chr10-68512591-23
NR6713--MA0496.2.MAFK	chr18	23828828	23828846	+	0.000	0.000	Merged-chr18-23828715-22
NR7839--MA0501.1.MAF::NFE2	chr2	69415266	69415280	+	0.000	0.000	Merged-chr2-69415236-25
NR4635--MA0591.1.Bach1::Mafk	chr14	59553428	59553442	+	0.000	0.000	Merged-chr14-59553394-22
NR13033--MA0659.1.MAFG	chr7	108954452	108954472	-	0.000	0.000	Merged-chr7-108954427-29
NR2573--MA0501.1.MAF::NFE2	chr11	80785938	80785952	+	0.000	0.000	Merged-chr11-80785938-31
NR12610--MA0117.2.Mafb	chr7	19946079	19946090	-	0.000	0.000	Merged-chr7-19946114-52
NR12295--MA0495.2.MAFF	chr6	129406125	129406145	+	0.000	0.000	Merged-chr6-129406250-15
NR2603--MA0089.1.MAFG::NFE2L1	chr11	88132167	88132172	-	0.000	0.000	Merged-chr11-88132051-21
NR12485--MA0089.1.MAFG::NFE2L1	chr6	145257188	145257193	-	0.000	0.000	Merged-chr6-145256997-16
NR7837--MA0117.2.Mafb	chr2	69415269	69415280	-	0.000	0.000	Merged-chr2-69415236-25
NR4225--MA0496.2.MAFK	chr13	113168627	113168645	+	0.000	0.000	Merged-chr13-113168484-63
NR14657--MA0089.1.MAFG::NFE2L1	chr9	111047388	111047393	-	0.000	0.000	Merged-chr9-111047494-21
NR7609--MA0117.2.Mafb	chr2	32715337	32715348	+	0.000	0.000	Merged-chr2-32715137-51
NR5212--MA0496.2.MAFK	chr15	58655207	58655225	-	0.000	0.000	Merged-chr15-58655104-54
NR10471--MA0117.2.Mafb	chr4	144906688	144906699	-	0.000	0.000	Merged-chr4-144906777-28
NR8793--MA0089.1.MAFG::NFE2L1	chr3	9853200	9853205	+	0.000	0.000	Merged-chr3-9853322-69
NR1686--MA0089.1.MAFG::NFE2L1	chr10	76542916	76542921	+	0.000	0.000	Merged-chr10-76543066-52
NR13614--MA0495.2.MAFF	chr8	72285427	72285447	+	0.000	0.000	Merged-chr8-72285397-19
NR6557--MA0089.1.MAFG::NFE2L1	chr17	80174328	80174333	-	0.000	0.000	Merged-chr17-80174428-10
NR1858--MA0591.1.Bach1::Mafk	chr10	94021250	94021264	-	0.000	0.000	Merged-chr10-94021256-59
NR12870--MA0089.1.MAFG::NFE2L1	chr7	81179674	81179679	+	0.000	0.000	Merged-chr7-81179607-41
NR5027--MA0117.2.Mafb	chr15	6555772	6555783	-	0.000	0.000	Merged-chr15-6555772-24
NR7895--MA0501.1.MAF::NFE2	chr2	78961727	78961741	+	0.000	0.000	Merged-chr2-78961805-37
NR1871--MA0089.1.MAFG::NFE2L1	chr10	95179109	95179114	+	0.000	0.000	Merged-chr10-95179066-28
NR11206--MA0496.2.MAFK	chr5	107646129	107646147	-	0.000	0.000	Merged-chr5-107646170-26
NR14073--MA0089.1.MAFG::NFE2L1	chr8	128646934	128646939	-	0.000	0.000	Merged-chr8-128646767-27
NR7250--MA0495.2.MAFF	chr19	21785904	21785924	+	0.000	0.000	Merged-chr19-21785964-7
NR928--MA0501.1.MAF::NFE2	chr1	159812892	159812906	+	0.000	0.000	Merged-chr1-159812982-41
NR15038--MA0495.2.MAFF	chrX	142792380	142792400	-	0.000	0.000	Merged-chrX-142792362-24
NR7237--MA0495.2.MAFF	chr19	20424388	20424408	+	0.000	0.000	Merged-chr19-20424322-22
NR149--MA0591.1.Bach1::Mafk	chr1	38884063	38884077	+	0.000	0.000	Merged-chr1-38884000-31
NR9277--MA0591.1.Bach1::Mafk	chr3	104762378	104762392	+	0.000	0.000	Merged-chr3-104762450-40
NR11518--MA0591.1.Bach1::Mafk	chr6	8649427	8649441	-	0.000	0.000	Merged-chr6-8649574-3
