#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR62572--MA0599.1.KLF5	chr8	117548551	117548560	-	0.000	0.000	Merged-chr8-117548585-70
NR3046--MA0657.1.KLF13	chr1	159813010	159813027	-	0.000	0.000	Merged-chr1-159812982-41
NR56520--MA0493.1.Klf1	chr7	45120443	45120453	-	0.000	0.000	Merged-chr7-45120364-12
NR33331--MA0742.1.Klf12	chr2	25148073	25148087	+	0.000	0.000	Merged-chr2-25148103-14
NR37077--MA0741.1.KLF16	chr2	154615972	154615982	+	0.000	0.000	Merged-chr2-154615883-15
NR2716--MA1107.1.KLF9	chr1	151613463	151613475	+	0.000	0.000	Merged-chr1-151613371-29
NR65394--MA0599.1.KLF5	chr9	94453391	94453400	+	0.000	0.000	Merged-chr9-94453263-19
NR28704--MA0742.1.Klf12	chr17	85908829	85908843	+	0.000	0.000	Merged-chr17-85908968-35
NR36160--MA0599.1.KLF5	chr2	128092269	128092278	+	0.000	0.000	Merged-chr2-128092262-29
NR47906--MA1107.1.KLF9	chr5	67155754	67155766	+	0.000	0.000	Merged-chr5-67155759-12
NR26676--MA0599.1.KLF5	chr17	28488304	28488313	+	0.000	0.000	Merged-chr17-28488439-21
NR16537--MA0741.1.KLF16	chr13	54073629	54073639	+	0.000	0.000	Merged-chr13-54073650-18
NR29850--MA0741.1.KLF16	chr18	56871834	56871844	-	0.000	0.000	Merged-chr18-56871976-16
NR57717--MA1107.1.KLF9	chr7	98108941	98108953	+	0.000	0.000	Merged-chr7-98109106-60
NR9894--MA0740.1.KLF14	chr11	55131242	55131255	+	0.000	0.000	Merged-chr11-55131266-10
NR21759--MA0493.1.Klf1	chr15	60120108	60120118	-	0.000	0.000	Merged-chr15-60120172-38
NR14693--MA1107.1.KLF9	chr12	102351065	102351077	-	0.000	0.000	Merged-chr12-102350976-38
NR17157--MA1107.1.KLF9	chr13	81402027	81402039	+	0.000	0.000	Merged-chr13-81401902-10
NR49223--MA0599.1.KLF5	chr5	112301910	112301919	+	0.000	0.000	Merged-chr5-112301937-36
NR2771--MA0599.1.KLF5	chr1	153320185	153320194	-	0.000	0.000	Merged-chr1-153320307-48
NR37218--MA0741.1.KLF16	chr2	157424108	157424118	-	0.000	0.000	Merged-chr2-157424284-16
NR51779--MA0599.1.KLF5	chr6	33052044	33052053	+	0.000	0.000	Merged-chr6-33051908-11
NR48499--MA0740.1.KLF14	chr5	92967505	92967518	+	0.000	0.000	Merged-chr5-92967427-8
NR7718--MA1107.1.KLF9	chr10	111031830	111031842	+	0.000	0.000	Merged-chr10-111031729-43
NR21758--MA0039.3.KLF4	chr15	60120106	60120116	-	0.000	0.000	Merged-chr15-60120172-38
NR57750--MA0742.1.Klf12	chr7	98797411	98797425	-	0.000	0.000	Merged-chr7-98797577-28
NR6431--MA1107.1.KLF9	chr10	79692122	79692134	+	0.000	0.000	Merged-chr10-79692164-17
NR20382--MA1107.1.KLF9	chr14	99266182	99266194	-	0.000	0.000	Merged-chr14-99266048-28
NR8214--MA0741.1.KLF16	chr10	121382683	121382693	-	0.000	0.000	Merged-chr10-121382753-17
NR18241--MA0740.1.KLF14	chr13	112551820	112551833	+	0.000	0.000	Merged-chr13-112551755-26
NR37209--MA1107.1.KLF9	chr2	157147998	157148010	-	0.000	0.000	Merged-chr2-157147783-53
NR7755--MA0599.1.KLF5	chr10	111635684	111635693	-	0.000	0.000	Merged-chr10-111635766-22
NR42288--MA0599.1.KLF5	chr4	4790263	4790272	-	0.000	0.000	Merged-chr4-4790293-30
NR53971--MA1107.1.KLF9	chr6	125067857	125067869	-	0.000	0.000	Merged-chr6-125067765-41
NR14327--MA0493.1.Klf1	chr12	85632521	85632531	-	0.000	0.000	Merged-chr12-85632486-20
NR3134--MA0657.1.KLF13	chr1	161791973	161791990	-	0.000	0.000	Merged-chr1-161792020-2
NR46478--MA0742.1.Klf12	chr4	154105753	154105767	-	0.000	0.000	Merged-chr4-154105612-38
NR43412--MA0741.1.KLF16	chr4	62661631	62661641	-	0.000	0.000	Merged-chr4-62661511-68
NR24510--MA0599.1.KLF5	chr16	45998442	45998451	+	0.000	0.000	Merged-chr16-45998415-40
NR17610--MA0493.1.Klf1	chr13	98692033	98692043	-	0.000	0.000	Merged-chr13-98692096-35
NR64748--MA0599.1.KLF5	chr9	69458367	69458376	+	0.000	0.000	Merged-chr9-69458326-40
NR25396--MA0742.1.Klf12	chr16	93552856	93552870	+	0.000	0.000	Merged-chr16-93552984-42
NR49231--MA1107.1.KLF9	chr5	112311048	112311060	+	0.000	0.000	Merged-chr5-112310969-9
NR36174--MA0599.1.KLF5	chr2	128318409	128318418	+	0.000	0.000	Merged-chr2-128318457-15
NR27886--MA1107.1.KLF9	chr17	56905167	56905179	+	0.000	0.000	Merged-chr17-56905051-10
NR53837--MA1107.1.KLF9	chr6	120264383	120264395	-	0.000	0.000	Merged-chr6-120264409-18
NR25319--MA0742.1.Klf12	chr16	91588189	91588203	+	0.000	0.000	Merged-chr16-91588038-25
NR40099--MA0493.1.Klf1	chr3	101297440	101297450	-	0.000	0.000	Merged-chr3-101297395-20
NR47404--MA0741.1.KLF16	chr5	35176571	35176581	-	0.000	0.000	Merged-chr5-35176446-65
NR19983--MA0741.1.KLF16	chr14	73290097	73290107	-	0.000	0.000	Merged-chr14-73290096-39
NR32170--MA0741.1.KLF16	chr19	43509686	43509696	+	0.000	0.000	Merged-chr19-43509487-13
NR62796--MA0493.1.Klf1	chr8	121995346	121995356	-	0.000	0.000	Merged-chr8-121995236-25
NR1337--MA0599.1.KLF5	chr1	85680402	85680411	+	0.000	0.000	Merged-chr1-85680352-18
NR27565--MA0599.1.KLF5	chr17	47225650	47225659	+	0.000	0.000	Merged-chr17-47225554-43
NR29851--MA1107.1.KLF9	chr18	56871833	56871845	-	0.000	0.000	Merged-chr18-56871976-16
NR5476--MA1107.1.KLF9	chr10	43004694	43004706	+	0.000	0.000	Merged-chr10-43004823-13
NR3978--MA0599.1.KLF5	chr1	182383261	182383270	-	0.000	0.000	Merged-chr1-182383219-38
NR35089--MA0599.1.KLF5	chr2	85060752	85060761	-	0.000	0.000	Merged-chr2-85060915-54
NR9930--MA0493.1.Klf1	chr11	57958376	57958386	-	0.000	0.000	Merged-chr11-57958407-27
NR47074--MA1107.1.KLF9	chr5	24517981	24517993	+	0.000	0.000	Merged-chr5-24518156-18
NR34979--MA0493.1.Klf1	chr2	79122753	79122763	+	0.000	0.000	Merged-chr2-79122721-3
NR47402--MA0599.1.KLF5	chr5	35176572	35176581	-	0.000	0.000	Merged-chr5-35176446-65
NR19853--MA0741.1.KLF16	chr14	67911782	67911792	-	0.000	0.000	Merged-chr14-67911920-26
NR62558--MA0039.3.KLF4	chr8	117278225	117278235	-	0.000	0.000	Merged-chr8-117278352-17
NR29530--MA0599.1.KLF5	chr18	39141876	39141885	-	0.000	0.000	Merged-chr18-39141814-16
NR24966--MA1107.1.KLF9	chr16	75920943	75920955	+	0.000	0.000	Merged-chr16-75921068-56
NR42405--MA0599.1.KLF5	chr4	11684322	11684331	-	0.000	0.000	Merged-chr4-11684265-15
NR38779--MA0493.1.Klf1	chr3	37387237	37387247	+	0.000	0.000	Merged-chr3-37387338-33
NR32039--MA0599.1.KLF5	chr19	38746129	38746138	-	0.000	0.000	Merged-chr19-38746267-36
NR65076--MA1107.1.KLF9	chr9	78074221	78074233	+	0.000	0.000	Merged-chr9-78074095-46
NR66143--MA0039.3.KLF4	chr9	110641167	110641177	+	0.000	0.000	Merged-chr9-110641188-21
NR9907--MA0039.3.KLF4	chr11	55131334	55131344	+	0.000	0.000	Merged-chr11-55131266-10
NR50287--MA0599.1.KLF5	chr5	134494507	134494516	+	0.000	0.000	Merged-chr5-134494514-28
NR51184--MA0741.1.KLF16	chr5	148489557	148489567	+	0.000	0.000	Merged-chr5-148489625-52
NR12332--MA0599.1.KLF5	chr11	110897081	110897090	-	0.000	0.000	Merged-chr11-110897111-25
NR681--MA0039.3.KLF4	chr1	52578410	52578420	+	0.000	0.000	Merged-chr1-52578518-39
NR57324--MA1107.1.KLF9	chr7	80782500	80782512	+	0.000	0.000	Merged-chr7-80782374-50
NR19374--MA0493.1.Klf1	chr14	54061508	54061518	+	0.000	0.000	Merged-chr14-54061633-25
NR11108--MA0599.1.KLF5	chr11	83746226	83746235	+	0.000	0.000	Merged-chr11-83746367-9
NR1225--MA0493.1.Klf1	chr1	80703445	80703455	-	0.000	0.000	Merged-chr1-80703457-36
NR47178--MA0493.1.Klf1	chr5	28269892	28269902	-	0.000	0.000	Merged-chr5-28269924-54
NR58728--MA0493.1.Klf1	chr7	123218375	123218385	-	0.000	0.000	Merged-chr7-123218226-57
NR50972--MA0599.1.KLF5	chr5	144295025	144295034	-	0.000	0.000	Merged-chr5-144295152-24
NR36187--MA1107.1.KLF9	chr2	128392480	128392492	+	0.000	0.000	Merged-chr2-128392502-21
NR49533--MA0741.1.KLF16	chr5	117126111	117126121	+	0.000	0.000	Merged-chr5-117125989-17
NR40113--MA0493.1.Klf1	chr3	101588934	101588944	+	0.000	0.000	Merged-chr3-101588946-10
NR51255--MA1107.1.KLF9	chr5	149583725	149583737	-	0.000	0.000	Merged-chr5-149583571-10
NR45123--MA1107.1.KLF9	chr4	132749106	132749118	-	0.000	0.000	Merged-chr4-132748989-25
NR20190--MA0039.3.KLF4	chr14	78679090	78679100	-	0.000	0.000	Merged-chr14-78679093-56
NR48935--MA0493.1.Klf1	chr5	105840142	105840152	+	0.000	0.000	Merged-chr5-105840151-44
NR4078--MA0741.1.KLF16	chr1	184013531	184013541	-	0.000	0.000	Merged-chr1-184013369-24
NR33020--MA0039.3.KLF4	chr2	6462508	6462518	+	0.000	0.000	Merged-chr2-6462544-11
NR29672--MA0741.1.KLF16	chr18	46917800	46917810	-	0.000	0.000	Merged-chr18-46917814-10
NR48761--MA0599.1.KLF5	chr5	100572397	100572406	-	0.000	0.000	Merged-chr5-100572278-24
NR58336--MA0742.1.Klf12	chr7	114356562	114356576	-	0.000	0.000	Merged-chr7-114356592-29
NR52270--MA0599.1.KLF5	chr6	54096498	54096507	+	0.000	0.000	Merged-chr6-54096523-11
NR39439--MA1107.1.KLF9	chr3	84772121	84772133	-	0.000	0.000	Merged-chr3-84772067-31
NR57821--MA0741.1.KLF16	chr7	100448846	100448856	+	0.000	0.000	Merged-chr7-100448653-1
NR53454--MA0599.1.KLF5	chr6	108630898	108630907	+	0.000	0.000	Merged-chr6-108631007-44
NR47661--MA1107.1.KLF9	chr5	54111079	54111091	+	0.000	0.000	Merged-chr5-54110931-21
NR16436--MA0740.1.KLF14	chr13	51776416	51776429	+	0.000	0.000	Merged-chr13-51776600-43
NR28315--MA0493.1.Klf1	chr17	74865014	74865024	-	0.000	0.000	Merged-chr17-74864979-18
NR3043--MA0740.1.KLF14	chr1	159812994	159813007	-	0.000	0.000	Merged-chr1-159812982-41
NR35989--MA0493.1.Klf1	chr2	122673094	122673104	+	0.000	0.000	Merged-chr2-122673136-39
NR34339--MA1107.1.KLF9	chr2	59513731	59513743	-	0.000	0.000	Merged-chr2-59513816-12
NR27910--MA0493.1.Klf1	chr17	57126046	57126056	+	0.000	0.000	Merged-chr17-57126152-41
NR15699--MA0039.3.KLF4	chr13	15982599	15982609	+	0.000	0.000	Merged-chr13-15982553-21
NR53452--MA0657.1.KLF13	chr6	108630896	108630913	+	0.000	0.000	Merged-chr6-108631007-44
NR7473--MA1107.1.KLF9	chr10	98776711	98776723	-	0.000	0.000	Merged-chr10-98776574-38
NR5074--MA1107.1.KLF9	chr10	19594670	19594682	-	0.000	0.000	Merged-chr10-19594652-16
NR10267--MA0740.1.KLF14	chr11	66961665	66961678	+	0.000	0.000	Merged-chr11-66961666-9
NR29203--MA1107.1.KLF9	chr18	23733793	23733805	+	0.000	0.000	Merged-chr18-23733972-8
NR53897--MA0493.1.Klf1	chr6	122270365	122270375	+	0.000	0.000	Merged-chr6-122270304-33
NR46482--MA1107.1.KLF9	chr4	154105755	154105767	-	0.000	0.000	Merged-chr4-154105612-38
NR26919--MA0493.1.Klf1	chr17	32402084	32402094	+	0.000	0.000	Merged-chr17-32402116-14
NR22263--MA0740.1.KLF14	chr15	78835206	78835219	-	0.000	0.000	Merged-chr15-78835387-37
NR9541--MA1107.1.KLF9	chr11	46454879	46454891	-	0.000	0.000	Merged-chr11-46454823-30
NR365--MA0493.1.Klf1	chr1	37286806	37286816	-	0.000	0.000	Merged-chr1-37286924-34
NR24564--MA1107.1.KLF9	chr16	49982434	49982446	-	0.000	0.000	Merged-chr16-49982447-38
NR33500--MA1107.1.KLF9	chr2	27487404	27487416	-	0.000	0.000	Merged-chr2-27487515-13
NR23492--MA1107.1.KLF9	chr16	3962969	3962981	+	0.000	0.000	Merged-chr16-3962878-14
NR29221--MA1107.1.KLF9	chr18	23828651	23828663	-	0.000	0.000	Merged-chr18-23828715-22
NR47563--MA1107.1.KLF9	chr5	43824747	43824759	-	0.000	0.000	Merged-chr5-43824623-50
NR16812--MA1107.1.KLF9	chr13	63189528	63189540	-	0.000	0.000	Merged-chr13-63189715-33
NR36765--MA0741.1.KLF16	chr2	146198154	146198164	-	0.000	0.000	Merged-chr2-146198137-48
NR39238--MA1107.1.KLF9	chr3	68784321	68784333	-	0.000	0.000	Merged-chr3-68784168-43
NR4798--MA0741.1.KLF16	chr10	5448762	5448772	-	0.000	0.000	Merged-chr10-5448562-35
NR56620--MA1107.1.KLF9	chr7	45771292	45771304	-	0.000	0.000	Merged-chr7-45771241-24
NR46273--MA0599.1.KLF5	chr4	150995151	150995160	-	0.000	0.000	Merged-chr4-150995020-21
NR50959--MA0493.1.Klf1	chr5	143976872	143976882	-	0.000	0.000	Merged-chr5-143976902-14
NR12803--MA0599.1.KLF5	chr11	118728474	118728483	+	0.000	0.000	Merged-chr11-118728360-4
NR25413--MA0493.1.Klf1	chr16	93777383	93777393	+	0.000	0.000	Merged-chr16-93777222-1
NR24331--MA0039.3.KLF4	chr16	35984019	35984029	-	0.000	0.000	Merged-chr16-35984000-4
NR18414--MA0039.3.KLF4	chr13	118383765	118383775	+	0.000	0.000	Merged-chr13-118383663-25
NR40551--MA0741.1.KLF16	chr3	116434979	116434989	-	0.000	0.000	Merged-chr3-116434903-21
NR7712--MA0599.1.KLF5	chr10	111031824	111031833	+	0.000	0.000	Merged-chr10-111031729-43
NR25318--MA0740.1.KLF14	chr16	91588189	91588202	+	0.000	0.000	Merged-chr16-91588038-25
NR20105--MA0740.1.KLF14	chr14	75820045	75820058	-	0.000	0.000	Merged-chr14-75819905-19
NR54912--MA0741.1.KLF16	chr6	145256794	145256804	-	0.000	0.000	Merged-chr6-145256997-16
NR24225--MA0741.1.KLF16	chr16	32434127	32434137	+	0.000	0.000	Merged-chr16-32434269-25
NR53329--MA0493.1.Klf1	chr6	100879806	100879816	-	0.000	0.000	Merged-chr6-100879682-24
NR34254--MA0039.3.KLF4	chr2	53067448	53067458	-	0.000	0.000	Merged-chr2-53067376-9
NR18790--MA0039.3.KLF4	chr14	25421977	25421987	+	0.000	0.000	Merged-chr14-25421957-44
NR25323--MA1107.1.KLF9	chr16	91588189	91588201	+	0.000	0.000	Merged-chr16-91588038-25
NR21756--MA1107.1.KLF9	chr15	60120084	60120096	-	0.000	0.000	Merged-chr15-60120172-38
NR62725--MA0039.3.KLF4	chr8	120701896	120701906	-	0.000	0.000	Merged-chr8-120702084-56
NR12820--MA1107.1.KLF9	chr11	119109559	119109571	+	0.000	0.000	Merged-chr11-119109624-20
NR45831--MA0039.3.KLF4	chr4	141917898	141917908	-	0.000	0.000	Merged-chr4-141918116-30
NR14516--MA0742.1.Klf12	chr12	94083629	94083643	+	0.000	0.000	Merged-chr12-94083592-14
NR52275--MA0493.1.Klf1	chr6	54096531	54096541	-	0.000	0.000	Merged-chr6-54096523-11
NR10268--MA0657.1.KLF13	chr11	66961664	66961681	+	0.000	0.000	Merged-chr11-66961666-9
NR62533--MA1107.1.KLF9	chr8	117052551	117052563	-	0.000	0.000	Merged-chr8-117052612-3
NR24238--MA0741.1.KLF16	chr16	33053322	33053332	+	0.000	0.000	Merged-chr16-33053250-22
NR10720--MA0741.1.KLF16	chr11	75877999	75878009	-	0.000	0.000	Merged-chr11-75877808-8
NR67719--MA0493.1.Klf1	chrX	102037222	102037232	-	0.000	0.000	Merged-chrX-102037181-28
NR44876--MA1107.1.KLF9	chr4	129060104	129060116	-	0.000	0.000	Merged-chr4-129060075-18
NR40521--MA1107.1.KLF9	chr3	115758850	115758862	-	0.000	0.000	Merged-chr3-115758930-94
NR31580--MA0039.3.KLF4	chr19	17256999	17257009	-	0.000	0.000	Merged-chr19-17256835-48
NR47900--MA0493.1.Klf1	chr5	67155706	67155716	+	0.000	0.000	Merged-chr5-67155759-12
NR27149--MA0039.3.KLF4	chr17	35231250	35231260	-	0.000	0.000	Merged-chr17-35231264-33
NR11157--MA0039.3.KLF4	chr11	85541640	85541650	-	0.000	0.000	Merged-chr11-85541666-11
NR48501--MA0741.1.KLF16	chr5	92967507	92967517	+	0.000	0.000	Merged-chr5-92967427-8
NR65113--MA0039.3.KLF4	chr9	79816247	79816257	+	0.000	0.000	Merged-chr9-79816288-41
NR47176--MA0657.1.KLF13	chr5	28269886	28269903	-	0.000	0.000	Merged-chr5-28269924-54
NR12789--MA0740.1.KLF14	chr11	118200329	118200342	-	0.000	0.000	Merged-chr11-118200400-19
NR62556--MA0740.1.KLF14	chr8	117278224	117278237	-	0.000	0.000	Merged-chr8-117278352-17
NR18594--MA1107.1.KLF9	chr14	12243814	12243826	+	0.000	0.000	Merged-chr14-12243878-61
NR62557--MA0599.1.KLF5	chr8	117278227	117278236	-	0.000	0.000	Merged-chr8-117278352-17
NR62538--MA1107.1.KLF9	chr8	117052561	117052573	-	0.000	0.000	Merged-chr8-117052612-3
NR47656--MA0740.1.KLF14	chr5	54111079	54111092	+	0.000	0.000	Merged-chr5-54110931-21
NR22266--MA0741.1.KLF16	chr15	78835208	78835218	-	0.000	0.000	Merged-chr15-78835387-37
NR63507--MA1107.1.KLF9	chr9	21419887	21419899	-	0.000	0.000	Merged-chr9-21419783-26
NR2635--MA0599.1.KLF5	chr1	147237214	147237223	+	0.000	0.000	Merged-chr1-147237183-6
NR15697--MA0742.1.Klf12	chr13	15982597	15982611	+	0.000	0.000	Merged-chr13-15982553-21
NR23073--MA0741.1.KLF16	chr15	97374382	97374392	-	0.000	0.000	Merged-chr15-97374486-1
NR66142--MA0599.1.KLF5	chr9	110641166	110641175	+	0.000	0.000	Merged-chr9-110641188-21
NR21407--MA0039.3.KLF4	chr15	36562770	36562780	+	0.000	0.000	Merged-chr15-36562926-39
NR59652--MA0740.1.KLF14	chr7	141579226	141579239	-	0.000	0.000	Merged-chr7-141579078-48
NR57716--MA0493.1.Klf1	chr7	98108945	98108955	+	0.000	0.000	Merged-chr7-98109106-60
NR3049--MA0599.1.KLF5	chr1	159812997	159813006	-	0.000	0.000	Merged-chr1-159812982-41
NR52670--MA0599.1.KLF5	chr6	72957817	72957826	-	0.000	0.000	Merged-chr6-72957924-4
NR40556--MA0741.1.KLF16	chr3	116434984	116434994	-	0.000	0.000	Merged-chr3-116434903-21
NR64737--MA0599.1.KLF5	chr9	69092609	69092618	-	0.000	0.000	Merged-chr9-69092509-18
NR14692--MA0493.1.Klf1	chr12	102351067	102351077	-	0.000	0.000	Merged-chr12-102350976-38
NR56619--MA0742.1.Klf12	chr7	45771290	45771304	-	0.000	0.000	Merged-chr7-45771241-24
NR46189--MA0599.1.KLF5	chr4	149658198	149658207	+	0.000	0.000	Merged-chr4-149658229-60
NR24967--MA0742.1.Klf12	chr16	75920988	75921002	-	0.000	0.000	Merged-chr16-75921068-56
NR47022--MA0039.3.KLF4	chr5	23722187	23722197	+	0.000	0.000	Merged-chr5-23722080-21
NR6881--MA0039.3.KLF4	chr10	83336548	83336558	-	0.000	0.000	Merged-chr10-83336542-10
NR3137--MA0039.3.KLF4	chr1	161791977	161791987	-	0.000	0.000	Merged-chr1-161792020-2
NR17156--MA0493.1.Klf1	chr13	81402027	81402037	+	0.000	0.000	Merged-chr13-81401902-10
