#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR107--MA0690.1.TBX21	chr1	138590549	138590558	+	0.000	0.000	Merged-chr1-138590602-27
NR1202--MA0690.1.TBX21	chr3	115758852	115758861	+	0.000	0.000	Merged-chr3-115758930-94
NR1956--MA0690.1.TBX21	chr9	69362312	69362321	+	0.000	0.000	Merged-chr9-69362247-25
NR1404--MA0690.1.TBX21	chr5	35176289	35176298	-	0.000	0.000	Merged-chr5-35176446-65
NR2019--MA0690.1.TBX21	chr9	120023319	120023328	-	0.000	0.000	Merged-chr9-120023283-16
NR963--MA0690.1.TBX21	chr2	6309730	6309739	+	0.000	0.000	Merged-chr2-6309619-42
NR820--MA0690.1.TBX21	chr17	71288394	71288403	-	0.000	0.000	Merged-chr17-71288308-17
NR1595--MA0690.1.TBX21	chr6	99435233	99435242	-	0.000	0.000	Merged-chr6-99435291-39
NR1499--MA0690.1.TBX21	chr5	139299471	139299480	+	0.000	0.000	Merged-chr5-139299297-63
NR1194--MA0690.1.TBX21	chr3	103872835	103872844	+	0.000	0.000	Merged-chr3-103872856-42
NR432--MA0690.1.TBX21	chr13	22609091	22609100	-	0.000	0.000	Merged-chr13-22609236-45
NR302--MA0690.1.TBX21	chr11	53810475	53810484	+	0.000	0.000	Merged-chr11-53810428-22
NR1728--MA0690.1.TBX21	chr7	90355559	90355568	+	0.000	0.000	Merged-chr7-90355618-52
NR1566--MA0690.1.TBX21	chr6	72624169	72624178	-	0.000	0.000	Merged-chr6-72624270-20
NR1327--MA0690.1.TBX21	chr4	107006396	107006405	-	0.000	0.000	Merged-chr4-107006366-21
NR730--MA0690.1.TBX21	chr16	49790939	49790948	+	0.000	0.000	Merged-chr16-49791055-52
NR1396--MA0690.1.TBX21	chr5	24776979	24776988	-	0.000	0.000	Merged-chr5-24777004-40
NR472--MA0690.1.TBX21	chr13	63189867	63189876	-	0.000	0.000	Merged-chr13-63189715-33
NR1266--MA0690.1.TBX21	chr4	8834811	8834820	-	0.000	0.000	Merged-chr4-8834782-18
NR878--MA0690.1.TBX21	chr18	62186502	62186511	-	0.000	0.000	Merged-chr18-62186304-32
NR509--MA0690.1.TBX21	chr13	101533205	101533214	+	0.000	0.000	Merged-chr13-101533206-46
NR849--MA0690.1.TBX21	chr18	23828760	23828769	-	0.000	0.000	Merged-chr18-23828715-22
NR2023--MA0690.1.TBX21	chr9	123836112	123836121	-	0.000	0.000	Merged-chr9-123836013-41
NR130--MA0690.1.TBX21	chr1	165722650	165722659	+	0.000	0.000	Merged-chr1-165722797-48
NR1801--MA0690.1.TBX21	chr7	142114093	142114102	-	0.000	0.000	Merged-chr7-142113991-20
NR1761--MA0690.1.TBX21	chr7	117394113	117394122	+	0.000	0.000	Merged-chr7-117394201-50
NR536--MA0690.1.TBX21	chr13	117223430	117223439	+	0.000	0.000	Merged-chr13-117223399-24
NR114--MA0690.1.TBX21	chr1	152008858	152008867	+	0.000	0.000	Merged-chr1-152008952-65
NR759--MA0690.1.TBX21	chr16	92743945	92743954	-	0.000	0.000	Merged-chr16-92743989-33
NR358--MA0690.1.TBX21	chr12	16558322	16558331	-	0.000	0.000	Merged-chr12-16558216-24
NR629--MA0690.1.TBX21	chr14	122187098	122187107	-	0.000	0.000	Merged-chr14-122187060-26
NR1453--MA0690.1.TBX21	chr5	105610010	105610019	-	0.000	0.000	Merged-chr5-105609798-27
NR1432--MA0690.1.TBX21	chr5	77166398	77166407	+	0.000	0.000	Merged-chr5-77166256-29
NR1703--MA0690.1.TBX21	chr7	66228718	66228727	-	0.000	0.000	Merged-chr7-66228697-16
NR1955--MA0690.1.TBX21	chr9	69362280	69362289	+	0.000	0.000	Merged-chr9-69362247-25
NR1716--MA0690.1.TBX21	chr7	81179777	81179786	+	0.000	0.000	Merged-chr7-81179607-41
NR2013--MA0690.1.TBX21	chr9	118374902	118374911	+	0.000	0.000	Merged-chr9-118374902-24
NR308--MA0690.1.TBX21	chr11	68442509	68442518	+	0.000	0.000	Merged-chr11-68442579-25
NR1180--MA0690.1.TBX21	chr3	94375491	94375500	+	0.000	0.000	Merged-chr3-94375656-27
NR1560--MA0690.1.TBX21	chr6	67128021	67128030	-	0.000	0.000	Merged-chr6-67128007-16
NR1626--MA0690.1.TBX21	chr6	122270272	122270281	-	0.000	0.000	Merged-chr6-122270304-33
NR95--MA0690.1.TBX21	chr1	131747196	131747205	-	0.000	0.000	Merged-chr1-131747235-22
NR803--MA0690.1.TBX21	chr17	51396128	51396137	-	0.000	0.000	Merged-chr17-51396225-19
NR1055--MA0690.1.TBX21	chr2	102812925	102812934	-	0.000	0.000	Merged-chr2-102812992-26
NR1164--MA0690.1.TBX21	chr3	75930343	75930352	+	0.000	0.000	Merged-chr3-75930291-55
NR1382--MA0690.1.TBX21	chr4	152446672	152446681	+	0.000	0.000	Merged-chr4-152446445-57
NR1305--MA0690.1.TBX21	chr4	70304062	70304071	+	0.000	0.000	Merged-chr4-70303963-30
NR1897--MA0690.1.TBX21	chr8	117052689	117052698	-	0.000	0.000	Merged-chr8-117052612-3
NR450--MA0690.1.TBX21	chr13	45443314	45443323	+	0.000	0.000	Merged-chr13-45443236-24
NR1082--MA0690.1.TBX21	chr2	129185880	129185889	+	0.000	0.000	Merged-chr2-129186012-43
NR1637--MA0690.1.TBX21	chr6	129627631	129627640	+	0.000	0.000	Merged-chr6-129627649-22
NR694--MA0690.1.TBX21	chr15	103154462	103154471	-	0.000	0.000	Merged-chr15-103154383-18
NR29--MA0690.1.TBX21	chr1	54660903	54660912	-	0.000	0.000	Merged-chr1-54660876-41
NR1215--MA0690.1.TBX21	chr3	127892093	127892102	+	0.000	0.000	Merged-chr3-127892051-37
NR848--MA0690.1.TBX21	chr18	14603698	14603707	-	0.000	0.000	Merged-chr18-14603655-48
NR923--MA0690.1.TBX21	chr19	12479411	12479420	-	0.000	0.000	Merged-chr19-12479491-16
NR142--MA0690.1.TBX21	chr1	177457133	177457142	-	0.000	0.000	Merged-chr1-177456987-38
NR631--MA0690.1.TBX21	chr14	122290680	122290689	-	0.000	0.000	Merged-chr14-122290582-19
NR501--MA0690.1.TBX21	chr13	93763091	93763100	-	0.000	0.000	Merged-chr13-93763032-30
NR277--MA0690.1.TBX21	chr11	4206152	4206161	+	0.000	0.000	Merged-chr11-4206247-48
NR405--MA0690.1.TBX21	chr12	99564864	99564873	-	0.000	0.000	Merged-chr12-99564769-43
NR147--MA0690.1.TBX21	chr1	182383282	182383291	-	0.000	0.000	Merged-chr1-182383219-38
NR1970--MA0690.1.TBX21	chr9	95152018	95152027	-	0.000	0.000	Merged-chr9-95151869-50
NR997--MA0690.1.TBX21	chr2	38472557	38472566	-	0.000	0.000	Merged-chr2-38472573-96
NR357--MA0690.1.TBX21	chr12	12278402	12278411	+	0.000	0.000	Merged-chr12-12278395-37
NR214--MA0690.1.TBX21	chr10	59896805	59896814	-	0.000	0.000	Merged-chr10-59896998-59
NR1975--MA0690.1.TBX21	chr9	96740731	96740740	-	0.000	0.000	Merged-chr9-96740764-95
NR227--MA0690.1.TBX21	chr10	70133419	70133428	-	0.000	0.000	Merged-chr10-70133310-29
NR1431--MA0690.1.TBX21	chr5	77091900	77091909	-	0.000	0.000	Merged-chr5-77092081-48
NR1792--MA0690.1.TBX21	chr7	137476770	137476779	-	0.000	0.000	Merged-chr7-137476773-22
NR1880--MA0690.1.TBX21	chr8	86838967	86838976	-	0.000	0.000	Merged-chr8-86839061-45
NR307--MA0690.1.TBX21	chr11	67527182	67527191	+	0.000	0.000	Merged-chr11-67526987-43
