#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR8952--MA0511.2.RUNX2	chr6	144953072	144953080	+	0.000	0.000	Merged-chr6-144953133-29
NR1596--MA0511.2.RUNX2	chr11	43705357	43705365	+	0.000	0.000	Merged-chr11-43705351-17
NR1374--MA0684.1.RUNX3	chr10	117652226	117652235	+	0.000	0.000	Merged-chr10-117652105-48
NR3177--MA0002.2.RUNX1	chr14	12243953	12243963	+	0.000	0.000	Merged-chr14-12243878-61
NR9197--MA0002.2.RUNX1	chr7	48795271	48795281	+	0.000	0.000	Merged-chr7-48795353-37
NR6392--MA0002.2.RUNX1	chr3	10151849	10151859	+	0.000	0.000	Merged-chr3-10151750-17
NR2065--MA0002.2.RUNX1	chr11	117872113	117872123	+	0.000	0.000	Merged-chr11-117872185-83
NR956--MA0511.2.RUNX2	chr10	26879362	26879370	-	0.000	0.000	Merged-chr10-26879299-36
NR9817--MA0511.2.RUNX2	chr8	34740486	34740494	-	0.000	0.000	Merged-chr8-34740455-84
NR794--MA0511.2.RUNX2	chr1	191275772	191275780	+	0.000	0.000	Merged-chr1-191275783-38
NR1700--MA0002.2.RUNX1	chr11	63148463	63148473	+	0.000	0.000	Merged-chr11-63148506-21
NR3169--MA0002.2.RUNX1	chr14	7913994	7914004	+	0.000	0.000	Merged-chr14-7914040-29
NR456--MA0002.2.RUNX1	chr1	138952394	138952404	-	0.000	0.000	Merged-chr1-138952405-35
NR250--MA0511.2.RUNX2	chr1	87637247	87637255	-	0.000	0.000	Merged-chr1-87637275-111
NR7478--MA0511.2.RUNX2	chr4	145045906	145045914	+	0.000	0.000	Merged-chr4-145045932-55
NR4974--MA0684.1.RUNX3	chr18	49721779	49721788	+	0.000	0.000	Merged-chr18-49721855-41
NR6220--MA0002.2.RUNX1	chr2	158133353	158133363	+	0.000	0.000	Merged-chr2-158133215-37
NR4556--MA0511.2.RUNX2	chr17	27323200	27323208	-	0.000	0.000	Merged-chr17-27323176-36
NR4728--MA0002.2.RUNX1	chr17	64827072	64827082	+	0.000	0.000	Merged-chr17-64827066-53
NR10179--MA0511.2.RUNX2	chr8	127500374	127500382	-	0.000	0.000	Merged-chr8-127500234-70
NR2061--MA0511.2.RUNX2	chr11	117872036	117872044	-	0.000	0.000	Merged-chr11-117872185-83
NR2233--MA0002.2.RUNX1	chr12	59170020	59170030	-	0.000	0.000	Merged-chr12-59170039-43
NR6050--MA0002.2.RUNX1	chr2	128117811	128117821	+	0.000	0.000	Merged-chr2-128117807-36
NR8253--MA0002.2.RUNX1	chr5	146974326	146974336	-	0.000	0.000	Merged-chr5-146974233-28
NR6245--MA0684.1.RUNX3	chr2	163120929	163120938	+	0.000	0.000	Merged-chr2-163121047-86
NR2071--MA0002.2.RUNX1	chr11	118232694	118232704	-	0.000	0.000	Merged-chr11-118232579-51
NR2345--MA0511.2.RUNX2	chr12	89719331	89719339	-	0.000	0.000	Merged-chr12-89719457-81
NR6857--MA0002.2.RUNX1	chr3	142892308	142892318	-	0.000	0.000	Merged-chr3-142892335-19
NR6172--MA0002.2.RUNX1	chr2	151959545	151959555	-	0.000	0.000	Merged-chr2-151959461-52
NR2407--MA0684.1.RUNX3	chr12	100747341	100747350	+	0.000	0.000	Merged-chr12-100747316-18
NR6224--MA0684.1.RUNX3	chr2	158154378	158154387	-	0.000	0.000	Merged-chr2-158154460-58
NR257--MA0002.2.RUNX1	chr1	88587508	88587518	-	0.000	0.000	Merged-chr1-88587471-60
NR4875--MA0511.2.RUNX2	chr18	6106732	6106740	+	0.000	0.000	Merged-chr18-6106813-28
NR4719--MA0684.1.RUNX3	chr17	63356450	63356459	+	0.000	0.000	Merged-chr17-63356437-30
NR9469--MA0511.2.RUNX2	chr7	110796770	110796778	-	0.000	0.000	Merged-chr7-110796753-46
NR5440--MA0002.2.RUNX1	chr19	53760532	53760542	+	0.000	0.000	Merged-chr19-53760542-10
NR7279--MA0511.2.RUNX2	chr4	107989118	107989126	+	0.000	0.000	Merged-chr4-107989218-22
NR7752--MA0002.2.RUNX1	chr5	53605657	53605667	-	0.000	0.000	Merged-chr5-53605625-25
NR4060--MA0511.2.RUNX2	chr16	18377258	18377266	-	0.000	0.000	Merged-chr16-18377300-20
NR4997--MA0511.2.RUNX2	chr18	56413122	56413130	-	0.000	0.000	Merged-chr18-56413005-50
NR2175--MA0511.2.RUNX2	chr12	32202056	32202064	-	0.000	0.000	Merged-chr12-32202051-6
NR1950--MA0002.2.RUNX1	chr11	105093148	105093158	-	0.000	0.000	Merged-chr11-105093103-10
NR8191--MA0684.1.RUNX3	chr5	139300569	139300578	+	0.000	0.000	Merged-chr5-139300628-14
NR3914--MA0002.2.RUNX1	chr15	92134396	92134406	-	0.000	0.000	Merged-chr15-92134460-52
NR8270--MA0511.2.RUNX2	chr5	149080641	149080649	-	0.000	0.000	Merged-chr5-149080540-39
NR4354--MA0002.2.RUNX1	chr16	89872228	89872238	-	0.000	0.000	Merged-chr16-89872318-26
NR7962--MA0002.2.RUNX1	chr5	105313659	105313669	-	0.000	0.000	Merged-chr5-105313637-29
NR1270--MA0002.2.RUNX1	chr10	94524081	94524091	+	0.000	0.000	Merged-chr10-94523917-65
NR2427--MA0002.2.RUNX1	chr12	105971344	105971354	+	0.000	0.000	Merged-chr12-105971370-23
NR5262--MA0002.2.RUNX1	chr19	14620504	14620514	+	0.000	0.000	Merged-chr19-14620634-30
NR6244--MA0002.2.RUNX1	chr2	163120929	163120939	-	0.000	0.000	Merged-chr2-163121047-86
NR5990--MA0002.2.RUNX1	chr2	117399727	117399737	-	0.000	0.000	Merged-chr2-117399695-40
NR9873--MA0002.2.RUNX1	chr8	64805444	64805454	+	0.000	0.000	Merged-chr8-64805470-51
NR3757--MA0002.2.RUNX1	chr15	64192796	64192806	-	0.000	0.000	Merged-chr15-64192878-29
NR1140--MA0002.2.RUNX1	chr10	75839305	75839315	-	0.000	0.000	Merged-chr10-75839326-47
NR7974--MA0684.1.RUNX3	chr5	105675578	105675587	-	0.000	0.000	Merged-chr5-105675662-27
NR7954--MA0002.2.RUNX1	chr5	105010567	105010577	-	0.000	0.000	Merged-chr5-105010527-49
NR6226--MA0511.2.RUNX2	chr2	158450879	158450887	+	0.000	0.000	Merged-chr2-158450944-19
NR5002--MA0002.2.RUNX1	chr18	56566205	56566215	-	0.000	0.000	Merged-chr18-56566232-24
NR2148--MA0002.2.RUNX1	chr12	17726603	17726613	-	0.000	0.000	Merged-chr12-17726607-38
NR9471--MA0684.1.RUNX3	chr7	110796769	110796778	-	0.000	0.000	Merged-chr7-110796753-46
NR1817--MA0002.2.RUNX1	chr11	85407856	85407866	+	0.000	0.000	Merged-chr11-85407928-27
NR7295--MA0002.2.RUNX1	chr4	111455963	111455973	+	0.000	0.000	Merged-chr4-111456023-24
NR4207--MA0684.1.RUNX3	chr16	48594584	48594593	+	0.000	0.000	Merged-chr16-48594719-53
NR2064--MA0511.2.RUNX2	chr11	117872115	117872123	-	0.000	0.000	Merged-chr11-117872185-83
NR1797--MA0684.1.RUNX3	chr11	80323508	80323517	+	0.000	0.000	Merged-chr11-80323459-26
NR3152--MA0002.2.RUNX1	chr13	117051611	117051621	-	0.000	0.000	Merged-chr13-117051602-40
NR2249--MA0002.2.RUNX1	chr12	69539513	69539523	-	0.000	0.000	Merged-chr12-69539558-45
NR8368--MA0511.2.RUNX2	chr6	33683816	33683824	-	0.000	0.000	Merged-chr6-33683719-46
NR3261--MA0002.2.RUNX1	chr14	47740831	47740841	-	0.000	0.000	Merged-chr14-47740703-52
NR5612--MA0684.1.RUNX3	chr2	25620565	25620574	-	0.000	0.000	Merged-chr2-25620603-21
NR9922--MA0511.2.RUNX2	chr8	78975206	78975214	-	0.000	0.000	Merged-chr8-78975191-34
NR10981--MA0684.1.RUNX3	chrX	159828383	159828392	+	0.000	0.000	Merged-chrX-159828290-35
NR3979--MA0684.1.RUNX3	chr15	100060981	100060990	-	0.000	0.000	Merged-chr15-100060928-68
NR3370--MA0002.2.RUNX1	chr14	67877890	67877900	-	0.000	0.000	Merged-chr14-67877957-30
NR3436--MA0002.2.RUNX1	chr14	75769438	75769448	-	0.000	0.000	Merged-chr14-75769501-48
NR7253--MA0002.2.RUNX1	chr4	102712033	102712043	+	0.000	0.000	Merged-chr4-102711875-43
NR8950--MA0002.2.RUNX1	chr6	144910469	144910479	+	0.000	0.000	Merged-chr6-144910390-40
NR7776--MA0002.2.RUNX1	chr5	63943498	63943508	-	0.000	0.000	Merged-chr5-63943362-36
NR10180--MA0002.2.RUNX1	chr8	127500372	127500382	+	0.000	0.000	Merged-chr8-127500234-70
NR1626--MA0002.2.RUNX1	chr11	50213201	50213211	+	0.000	0.000	Merged-chr11-50213336-46
NR3558--MA0002.2.RUNX1	chr14	121478179	121478189	-	0.000	0.000	Merged-chr14-121478313-77
NR9260--MA0002.2.RUNX1	chr7	67500544	67500554	+	0.000	0.000	Merged-chr7-67500556-27
NR2069--MA0511.2.RUNX2	chr11	118232513	118232521	+	0.000	0.000	Merged-chr11-118232579-51
NR7388--MA0002.2.RUNX1	chr4	134059083	134059093	-	0.000	0.000	Merged-chr4-134059039-2
NR5836--MA0002.2.RUNX1	chr2	78860237	78860247	-	0.000	0.000	Merged-chr2-78860154-39
NR10935--MA0511.2.RUNX2	chrX	101767452	101767460	-	0.000	0.000	Merged-chrX-101767433-48
NR1598--MA0684.1.RUNX3	chr11	43705357	43705366	+	0.000	0.000	Merged-chr11-43705351-17
NR1687--MA0002.2.RUNX1	chr11	61564198	61564208	-	0.000	0.000	Merged-chr11-61564144-31
NR1372--MA0511.2.RUNX2	chr10	117652226	117652234	+	0.000	0.000	Merged-chr10-117652105-48
NR2351--MA0002.2.RUNX1	chr12	91284505	91284515	-	0.000	0.000	Merged-chr12-91284468-19
NR7088--MA0002.2.RUNX1	chr4	48012475	48012485	+	0.000	0.000	Merged-chr4-48012358-52
NR9819--MA0684.1.RUNX3	chr8	34740485	34740494	-	0.000	0.000	Merged-chr8-34740455-84
NR3859--MA0511.2.RUNX2	chr15	82111959	82111967	-	0.000	0.000	Merged-chr15-82112003-17
NR9561--MA0511.2.RUNX2	chr7	123355109	123355117	+	0.000	0.000	Merged-chr7-123355107-50
NR253--MA0002.2.RUNX1	chr1	87637430	87637440	-	0.000	0.000	Merged-chr1-87637275-111
NR10209--MA0002.2.RUNX1	chr8	128643063	128643073	+	0.000	0.000	Merged-chr8-128643198-31
NR7977--MA0684.1.RUNX3	chr5	105675682	105675691	-	0.000	0.000	Merged-chr5-105675662-27
NR3978--MA0002.2.RUNX1	chr15	100060980	100060990	+	0.000	0.000	Merged-chr15-100060928-68
NR3107--MA0002.2.RUNX1	chr13	111656050	111656060	+	0.000	0.000	Merged-chr13-111655949-74
NR1156--MA0002.2.RUNX1	chr10	77962993	77963003	-	0.000	0.000	Merged-chr10-77962952-24
NR9875--MA0684.1.RUNX3	chr8	64805445	64805454	-	0.000	0.000	Merged-chr8-64805470-51
NR3468--MA0002.2.RUNX1	chr14	79236447	79236457	-	0.000	0.000	Merged-chr14-79236608-48
NR3325--MA0002.2.RUNX1	chr14	59553403	59553413	-	0.000	0.000	Merged-chr14-59553394-22
NR9094--MA0684.1.RUNX3	chr7	24457834	24457843	+	0.000	0.000	Merged-chr7-24457903-49
NR1026--MA0002.2.RUNX1	chr10	53461315	53461325	-	0.000	0.000	Merged-chr10-53461441-37
NR4403--MA0002.2.RUNX1	chr16	93552970	93552980	-	0.000	0.000	Merged-chr16-93552984-42
NR7189--MA0002.2.RUNX1	chr4	89393388	89393398	+	0.000	0.000	Merged-chr4-89393499-15
NR2975--MA0002.2.RUNX1	chr13	94153699	94153709	+	0.000	0.000	Merged-chr13-94153821-20
NR5366--MA0002.2.RUNX1	chr19	36477978	36477988	-	0.000	0.000	Merged-chr19-36478148-8
NR245--MA0002.2.RUNX1	chr1	85937106	85937116	+	0.000	0.000	Merged-chr1-85937203-47
NR10505--MA0511.2.RUNX2	chr9	80820290	80820298	+	0.000	0.000	Merged-chr9-80820177-30
NR7569--MA0002.2.RUNX1	chr5	8374630	8374640	+	0.000	0.000	Merged-chr5-8374526-17
NR4972--MA0511.2.RUNX2	chr18	49721779	49721787	+	0.000	0.000	Merged-chr18-49721855-41
NR5779--MA0684.1.RUNX3	chr2	69415321	69415330	+	0.000	0.000	Merged-chr2-69415236-25
NR10518--MA0511.2.RUNX2	chr9	83564266	83564274	-	0.000	0.000	Merged-chr9-83564254-44
NR8613--MA0002.2.RUNX1	chr6	100581257	100581267	-	0.000	0.000	Merged-chr6-100581320-61
NR7408--MA0511.2.RUNX2	chr4	135520640	135520648	+	0.000	0.000	Merged-chr4-135520643-13
NR10223--MA0002.2.RUNX1	chr9	7510086	7510096	+	0.000	0.000	Merged-chr9-7510063-49
NR7120--MA0684.1.RUNX3	chr4	59790157	59790166	-	0.000	0.000	Merged-chr4-59790006-29
NR4712--MA0511.2.RUNX2	chr17	62857484	62857492	+	0.000	0.000	Merged-chr17-62857583-41
NR8573--MA0002.2.RUNX1	chr6	94760977	94760987	+	0.000	0.000	Merged-chr6-94761021-48
NR10507--MA0002.2.RUNX1	chr9	80820301	80820311	-	0.000	0.000	Merged-chr9-80820177-30
NR8953--MA0002.2.RUNX1	chr6	144953072	144953082	-	0.000	0.000	Merged-chr6-144953133-29
NR5261--MA0511.2.RUNX2	chr19	14620506	14620514	-	0.000	0.000	Merged-chr19-14620634-30
NR7779--MA0002.2.RUNX1	chr5	64040849	64040859	-	0.000	0.000	Merged-chr5-64040859-39
NR8334--MA0002.2.RUNX1	chr6	17851360	17851370	+	0.000	0.000	Merged-chr6-17851443-16
NR29--MA0002.2.RUNX1	chr1	20825285	20825295	-	0.000	0.000	Merged-chr1-20825313-33
NR7097--MA0511.2.RUNX2	chr4	55343348	55343356	+	0.000	0.000	Merged-chr4-55343422-62
NR6829--MA0002.2.RUNX1	chr3	138275270	138275280	+	0.000	0.000	Merged-chr3-138275247-64
NR2022--MA0002.2.RUNX1	chr11	113153481	113153491	-	0.000	0.000	Merged-chr11-113153533-26
NR957--MA0002.2.RUNX1	chr10	26879360	26879370	+	0.000	0.000	Merged-chr10-26879299-36
NR10519--MA0684.1.RUNX3	chr9	83564265	83564274	-	0.000	0.000	Merged-chr9-83564254-44
NR8836--MA0002.2.RUNX1	chr6	134048226	134048236	+	0.000	0.000	Merged-chr6-134048216-52
NR795--MA0002.2.RUNX1	chr1	191275772	191275782	-	0.000	0.000	Merged-chr1-191275783-38
NR5001--MA0511.2.RUNX2	chr18	56547183	56547191	-	0.000	0.000	Merged-chr18-56547142-34
NR9262--MA0684.1.RUNX3	chr7	67500545	67500554	-	0.000	0.000	Merged-chr7-67500556-27
NR4794--MA0511.2.RUNX2	chr17	80772670	80772678	-	0.000	0.000	Merged-chr17-80772766-52
NR251--MA0002.2.RUNX1	chr1	87637245	87637255	+	0.000	0.000	Merged-chr1-87637275-111
NR4713--MA0684.1.RUNX3	chr17	62857484	62857493	+	0.000	0.000	Merged-chr17-62857583-41
NR7479--MA0002.2.RUNX1	chr4	145045906	145045916	-	0.000	0.000	Merged-chr4-145045932-55
NR63--MA0684.1.RUNX3	chr1	38557783	38557792	+	0.000	0.000	Merged-chr1-38557840-50
NR10206--MA0684.1.RUNX3	chr8	128622960	128622969	-	0.000	0.000	Merged-chr8-128622909-9
NR852--MA0511.2.RUNX2	chr10	4357606	4357614	-	0.000	0.000	Merged-chr10-4357640-28
NR4687--MA0002.2.RUNX1	chr17	52468606	52468616	-	0.000	0.000	Merged-chr17-52468640-52
NR2388--MA0002.2.RUNX1	chr12	98601152	98601162	+	0.000	0.000	Merged-chr12-98601119-23
NR7921--MA0002.2.RUNX1	chr5	99499892	99499902	+	0.000	0.000	Merged-chr5-99499835-48
NR690--MA0511.2.RUNX2	chr1	179578841	179578849	+	0.000	0.000	Merged-chr1-179578897-31
NR2993--MA0684.1.RUNX3	chr13	95892234	95892243	+	0.000	0.000	Merged-chr13-95891948-150
NR4382--MA0002.2.RUNX1	chr16	91562219	91562229	+	0.000	0.000	Merged-chr16-91562152-19
NR4557--MA0002.2.RUNX1	chr17	27323198	27323208	+	0.000	0.000	Merged-chr17-27323176-36
NR2909--MA0002.2.RUNX1	chr13	81675840	81675850	-	0.000	0.000	Merged-chr13-81675595-44
NR4718--MA0684.1.RUNX3	chr17	63356437	63356446	+	0.000	0.000	Merged-chr17-63356437-30
NR2062--MA0002.2.RUNX1	chr11	117872034	117872044	+	0.000	0.000	Merged-chr11-117872185-83
NR10159--MA0002.2.RUNX1	chr8	125649257	125649267	-	0.000	0.000	Merged-chr8-125649394-37
NR7387--MA0511.2.RUNX2	chr4	134059083	134059091	+	0.000	0.000	Merged-chr4-134059039-2
NR887--MA0684.1.RUNX3	chr10	13438594	13438603	+	0.000	0.000	Merged-chr10-13438536-33
NR4518--MA0511.2.RUNX2	chr17	21463758	21463766	+	0.000	0.000	Merged-chr17-21463736-49
NR4876--MA0002.2.RUNX1	chr18	6106732	6106742	-	0.000	0.000	Merged-chr18-6106813-28
NR9347--MA0684.1.RUNX3	chr7	92420706	92420715	-	0.000	0.000	Merged-chr7-92420666-38
NR4405--MA0684.1.RUNX3	chr16	93552990	93552999	+	0.000	0.000	Merged-chr16-93552984-42
NR5097--MA0684.1.RUNX3	chr18	77121745	77121754	+	0.000	0.000	Merged-chr18-77121790-35
NR3860--MA0002.2.RUNX1	chr15	82111957	82111967	+	0.000	0.000	Merged-chr15-82112003-17
NR3178--MA0684.1.RUNX3	chr14	12243954	12243963	-	0.000	0.000	Merged-chr14-12243878-61
NR8087--MA0002.2.RUNX1	chr5	115693470	115693480	-	0.000	0.000	Merged-chr5-115693567-32
NR4061--MA0002.2.RUNX1	chr16	18377256	18377266	+	0.000	0.000	Merged-chr16-18377300-20
NR4998--MA0002.2.RUNX1	chr18	56413120	56413130	+	0.000	0.000	Merged-chr18-56413005-50
NR9198--MA0684.1.RUNX3	chr7	48795272	48795281	-	0.000	0.000	Merged-chr7-48795353-37
NR6393--MA0684.1.RUNX3	chr3	10151850	10151859	-	0.000	0.000	Merged-chr3-10151750-17
NR4488--MA0002.2.RUNX1	chr17	12655817	12655827	-	0.000	0.000	Merged-chr17-12655999-51
NR4715--MA0511.2.RUNX2	chr17	63356450	63356458	+	0.000	0.000	Merged-chr17-63356437-30
NR2066--MA0684.1.RUNX3	chr11	117872114	117872123	-	0.000	0.000	Merged-chr11-117872185-83
NR7087--MA0511.2.RUNX2	chr4	48012477	48012485	-	0.000	0.000	Merged-chr4-48012358-52
NR8271--MA0002.2.RUNX1	chr5	149080639	149080649	+	0.000	0.000	Merged-chr5-149080540-39
NR4205--MA0511.2.RUNX2	chr16	48594584	48594592	+	0.000	0.000	Merged-chr16-48594719-53
NR10792--MA0002.2.RUNX1	chr9	120943830	120943840	+	0.000	0.000	Merged-chr9-120943869-18
NR7119--MA0511.2.RUNX2	chr4	59790158	59790166	-	0.000	0.000	Merged-chr4-59790006-29
NR10208--MA0511.2.RUNX2	chr8	128643065	128643073	-	0.000	0.000	Merged-chr8-128643198-31
NR8969--MA0002.2.RUNX1	chr6	146081159	146081169	+	0.000	0.000	Merged-chr6-146081045-99
NR3756--MA0002.2.RUNX1	chr15	64067797	64067807	-	0.000	0.000	Merged-chr15-64067738-34
NR2250--MA0684.1.RUNX3	chr12	69539513	69539522	+	0.000	0.000	Merged-chr12-69539558-45
NR457--MA0684.1.RUNX3	chr1	138952394	138952403	+	0.000	0.000	Merged-chr1-138952405-35
NR3722--MA0002.2.RUNX1	chr15	55520967	55520977	-	0.000	0.000	Merged-chr15-55520889-48
NR5610--MA0511.2.RUNX2	chr2	25620566	25620574	-	0.000	0.000	Merged-chr2-25620603-21
NR2756--MA0511.2.RUNX2	chr13	38050154	38050162	-	0.000	0.000	Merged-chr13-38050052-14
NR9917--MA0002.2.RUNX1	chr8	77292723	77292733	+	0.000	0.000	Merged-chr8-77292720-71
NR7188--MA0511.2.RUNX2	chr4	89393390	89393398	-	0.000	0.000	Merged-chr4-89393499-15
NR8612--MA0511.2.RUNX2	chr6	100581257	100581265	+	0.000	0.000	Merged-chr6-100581320-61
NR396--MA0684.1.RUNX3	chr1	131012705	131012714	-	0.000	0.000	Merged-chr1-131012685-13
NR4729--MA0684.1.RUNX3	chr17	64827073	64827082	-	0.000	0.000	Merged-chr17-64827066-53
NR6227--MA0002.2.RUNX1	chr2	158450879	158450889	-	0.000	0.000	Merged-chr2-158450944-19
NR2072--MA0684.1.RUNX3	chr11	118232694	118232703	+	0.000	0.000	Merged-chr11-118232579-51
NR9203--MA0002.2.RUNX1	chr7	49364549	49364559	-	0.000	0.000	Merged-chr7-49364720-42
NR5572--MA0002.2.RUNX1	chr2	17597762	17597772	+	0.000	0.000	Merged-chr2-17597899-18
NR6828--MA0511.2.RUNX2	chr3	137954548	137954556	+	0.000	0.000	Merged-chr3-137954430-54
NR831--MA0002.2.RUNX1	chr1	193366053	193366063	-	0.000	0.000	Merged-chr1-193366026-12
NR6858--MA0684.1.RUNX3	chr3	142892308	142892317	+	0.000	0.000	Merged-chr3-142892335-19
NR5713--MA0002.2.RUNX1	chr2	53051370	53051380	-	0.000	0.000	Merged-chr2-53051556-37
NR2021--MA0511.2.RUNX2	chr11	113153481	113153489	+	0.000	0.000	Merged-chr11-113153533-26
NR129--MA0002.2.RUNX1	chr1	58311395	58311405	-	0.000	0.000	Merged-chr1-58311498-34
NR258--MA0684.1.RUNX3	chr1	88587508	88587517	+	0.000	0.000	Merged-chr1-88587471-60
NR9563--MA0684.1.RUNX3	chr7	123355109	123355118	+	0.000	0.000	Merged-chr7-123355107-50
NR8369--MA0002.2.RUNX1	chr6	33683814	33683824	+	0.000	0.000	Merged-chr6-33683719-46
NR9923--MA0002.2.RUNX1	chr8	78975204	78975214	+	0.000	0.000	Merged-chr8-78975191-34
NR10210--MA0684.1.RUNX3	chr8	128643064	128643073	-	0.000	0.000	Merged-chr8-128643198-31
NR7975--MA0511.2.RUNX2	chr5	105675683	105675691	-	0.000	0.000	Merged-chr5-105675662-27
NR3916--MA0002.2.RUNX1	chr15	92134557	92134567	-	0.000	0.000	Merged-chr15-92134460-52
NR2348--MA0684.1.RUNX3	chr12	90810946	90810955	-	0.000	0.000	Merged-chr12-90810823-15
NR9413--MA0002.2.RUNX1	chr7	104400860	104400870	-	0.000	0.000	Merged-chr7-104400949-29
NR60--MA0002.2.RUNX1	chr1	38557750	38557760	-	0.000	0.000	Merged-chr1-38557840-50
NR6658--MA0511.2.RUNX2	chr3	103091905	103091913	-	0.000	0.000	Merged-chr3-103091976-34
NR3915--MA0684.1.RUNX3	chr15	92134396	92134405	+	0.000	0.000	Merged-chr15-92134460-52
NR7190--MA0684.1.RUNX3	chr4	89393389	89393398	-	0.000	0.000	Merged-chr4-89393499-15
NR8189--MA0511.2.RUNX2	chr5	139300569	139300577	+	0.000	0.000	Merged-chr5-139300628-14
NR2387--MA0511.2.RUNX2	chr12	98601154	98601162	-	0.000	0.000	Merged-chr12-98601119-23
NR9501--MA0002.2.RUNX1	chr7	114356664	114356674	+	0.000	0.000	Merged-chr7-114356592-29
NR8949--MA0511.2.RUNX2	chr6	144910471	144910479	-	0.000	0.000	Merged-chr6-144910390-40
NR5777--MA0511.2.RUNX2	chr2	69415321	69415329	+	0.000	0.000	Merged-chr2-69415236-25
NR7963--MA0684.1.RUNX3	chr5	105313659	105313668	+	0.000	0.000	Merged-chr5-105313637-29
NR5264--MA0002.2.RUNX1	chr19	14620641	14620651	+	0.000	0.000	Merged-chr19-14620634-30
