#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR41641--MA0493.1.Klf1	chr3	51701526	51701536	+	0.000	0.000	Merged-chr3-51701450-64
NR5068--MA0741.1.KLF16	chr1	193146637	193146647	-	0.000	0.000	Merged-chr1-193146532-29
NR39662--MA1107.1.KLF9	chr2	160367185	160367197	-	0.000	0.000	Merged-chr2-160367322-62
NR52296--MA0741.1.KLF16	chr5	113873220	113873230	-	0.000	0.000	Merged-chr5-113873174-24
NR54950--MA0493.1.Klf1	chr6	43619501	43619511	+	0.000	0.000	Merged-chr6-43619418-19
NR57409--MA1107.1.KLF9	chr6	136947147	136947159	-	0.000	0.000	Merged-chr6-136947119-17
NR64529--MA0599.1.KLF5	chr8	104039727	104039736	-	0.000	0.000	Merged-chr8-104039758-41
NR68152--MA0657.1.KLF13	chr9	115408203	115408220	+	0.000	0.000	Merged-chr9-115408296-16
NR16566--MA0599.1.KLF5	chr13	30186465	30186474	-	0.000	0.000	Merged-chr13-30186492-12
NR8643--MA1107.1.KLF9	chr10	110952120	110952132	+	0.000	0.000	Merged-chr10-110952029-21
NR66961--MA0657.1.KLF13	chr9	70584849	70584866	+	0.000	0.000	Merged-chr9-70584670-22
NR32075--MA0599.1.KLF5	chr18	35830179	35830188	+	0.000	0.000	Merged-chr18-35830192-19
NR14436--MA0742.1.Klf12	chr12	69853616	69853630	+	0.000	0.000	Merged-chr12-69853558-20
NR40864--MA0741.1.KLF16	chr3	21955871	21955881	-	0.000	0.000	Merged-chr3-21955906-3
NR62766--MA0741.1.KLF16	chr8	34397997	34398007	+	0.000	0.000	Merged-chr8-34397971-66
NR48609--MA0599.1.KLF5	chr4	140601397	140601406	-	0.000	0.000	Merged-chr4-140601329-15
NR27010--MA0493.1.Klf1	chr16	59471776	59471786	-	0.000	0.000	Merged-chr16-59471923-61
NR65888--MA0599.1.KLF5	chr9	22132402	22132411	-	0.000	0.000	Merged-chr9-22132302-2
NR62884--MA0742.1.Klf12	chr8	36249393	36249407	-	0.000	0.000	Merged-chr8-36249558-6
NR14756--MA0740.1.KLF14	chr12	82165837	82165850	+	0.000	0.000	Merged-chr12-82165766-1
NR53366--MA0741.1.KLF16	chr5	137103433	137103443	-	0.000	0.000	Merged-chr5-137103369-20
NR40006--MA0493.1.Klf1	chr2	168741429	168741439	+	0.000	0.000	Merged-chr2-168741453-11
NR55728--MA0599.1.KLF5	chr6	83413110	83413119	-	0.000	0.000	Merged-chr6-83413092-38
NR67770--MA0741.1.KLF16	chr9	103134555	103134565	-	0.000	0.000	Merged-chr9-103134672-43
NR16467--MA1107.1.KLF9	chr13	24547217	24547229	-	0.000	0.000	Merged-chr13-24547194-39
NR23905--MA0599.1.KLF5	chr15	66286892	66286901	+	0.000	0.000	Merged-chr15-66286791-54
NR55973--MA1107.1.KLF9	chr6	89286765	89286777	+	0.000	0.000	Merged-chr6-89286978-37
NR54948--MA0740.1.KLF14	chr6	43619501	43619514	+	0.000	0.000	Merged-chr6-43619418-19
NR12252--MA0599.1.KLF5	chr11	100862018	100862027	+	0.000	0.000	Merged-chr11-100861973-17
NR41025--MA0599.1.KLF5	chr3	27463050	27463059	-	0.000	0.000	Merged-chr3-27462923-28
NR6322--MA0741.1.KLF16	chr10	42849025	42849035	-	0.000	0.000	Merged-chr10-42848913-29
NR42884--MA0741.1.KLF16	chr3	100582914	100582924	-	0.000	0.000	Merged-chr3-100582913-18
NR38954--MA1107.1.KLF9	chr2	135824068	135824080	-	0.000	0.000	Merged-chr2-135823878-14
NR6640--MA0599.1.KLF5	chr10	58350938	58350947	-	0.000	0.000	Merged-chr10-58350801-17
NR4898--MA1107.1.KLF9	chr1	189500039	189500051	+	0.000	0.000	Merged-chr1-189499965-39
NR62655--MA0599.1.KLF5	chr8	27161532	27161541	-	0.000	0.000	Merged-chr8-27161535-3
NR60380--MA1107.1.KLF9	chr7	84149055	84149067	+	0.000	0.000	Merged-chr7-84149073-24
NR46063--MA0599.1.KLF5	chr4	47011207	47011216	-	0.000	0.000	Merged-chr4-47011023-46
NR14680--MA0741.1.KLF16	chr12	79628620	79628630	+	0.000	0.000	Merged-chr12-79628685-20
NR32765--MA0741.1.KLF16	chr18	61377972	61377982	-	0.000	0.000	Merged-chr18-61377910-13
NR14768--MA0742.1.Klf12	chr12	82187381	82187395	+	0.000	0.000	Merged-chr12-82187311-20
NR14435--MA0740.1.KLF14	chr12	69853616	69853629	+	0.000	0.000	Merged-chr12-69853558-20
NR9583--MA0493.1.Klf1	chr10	128940596	128940606	-	0.000	0.000	Merged-chr10-128940717-41
NR52300--MA0741.1.KLF16	chr5	113873330	113873340	-	0.000	0.000	Merged-chr5-113873174-24
NR62883--MA0740.1.KLF14	chr8	36249394	36249407	-	0.000	0.000	Merged-chr8-36249558-6
NR31912--MA0039.3.KLF4	chr18	32311869	32311879	-	0.000	0.000	Merged-chr18-32311918-36
NR13154--MA1107.1.KLF9	chr12	8351297	8351309	-	0.000	0.000	Merged-chr12-8351458-49
NR27423--MA1107.1.KLF9	chr16	76283384	76283396	-	0.000	0.000	Merged-chr16-76283420-1
NR25710--MA0599.1.KLF5	chr16	7767853	7767862	+	0.000	0.000	Merged-chr16-7768064-22
NR1415--MA0493.1.Klf1	chr1	69683246	69683256	-	0.000	0.000	Merged-chr1-69683222-14
NR57411--MA1107.1.KLF9	chr6	136947159	136947171	-	0.000	0.000	Merged-chr6-136947119-17
NR66352--MA0740.1.KLF14	chr9	44708540	44708553	-	0.000	0.000	Merged-chr9-44708535-22
NR55222--MA0039.3.KLF4	chr6	54760115	54760125	+	0.000	0.000	Merged-chr6-54760187-57
NR9914--MA1107.1.KLF9	chr11	16558809	16558821	-	0.000	0.000	Merged-chr11-16558983-1
NR16570--MA0741.1.KLF16	chr13	30186459	30186469	-	0.000	0.000	Merged-chr13-30186492-12
NR8194--MA0599.1.KLF5	chr10	95942200	95942209	+	0.000	0.000	Merged-chr10-95942106-29
NR35279--MA0493.1.Klf1	chr2	9986365	9986375	-	0.000	0.000	Merged-chr2-9986324-23
NR6340--MA1107.1.KLF9	chr10	43479186	43479198	+	0.000	0.000	Merged-chr10-43478998-1
NR57299--MA0039.3.KLF4	chr6	134183959	134183969	+	0.000	0.000	Merged-chr6-134184108-53
NR54952--MA1107.1.KLF9	chr6	43619501	43619513	+	0.000	0.000	Merged-chr6-43619418-19
NR34939--MA0741.1.KLF16	chr19	57077250	57077260	-	0.000	0.000	Merged-chr19-57077212-7
NR64884--MA1107.1.KLF9	chr8	114506054	114506066	-	0.000	0.000	Merged-chr8-114506190-31
NR16461--MA0599.1.KLF5	chr13	24547215	24547224	-	0.000	0.000	Merged-chr13-24547194-39
NR26393--MA0599.1.KLF5	chr16	30722532	30722541	-	0.000	0.000	Merged-chr16-30722513-29
NR39661--MA0493.1.Klf1	chr2	160367182	160367192	-	0.000	0.000	Merged-chr2-160367322-62
NR44340--MA0742.1.Klf12	chr3	146004976	146004990	-	0.000	0.000	Merged-chr3-146004832-23
NR50625--MA0741.1.KLF16	chr5	51552661	51552671	+	0.000	0.000	Merged-chr5-51552540-96
NR11360--MA1107.1.KLF9	chr11	76015514	76015526	+	0.000	0.000	Merged-chr11-76015482-22
NR57570--MA0742.1.Klf12	chr6	140684616	140684630	+	0.000	0.000	Merged-chr6-140684445-39
NR32077--MA0741.1.KLF16	chr18	35830179	35830189	+	0.000	0.000	Merged-chr18-35830192-19
NR44344--MA0741.1.KLF16	chr3	146004979	146004989	-	0.000	0.000	Merged-chr3-146004832-23
NR33284--MA0599.1.KLF5	chr18	75410330	75410339	+	0.000	0.000	Merged-chr18-75410439-27
NR4894--MA0740.1.KLF14	chr1	189500039	189500052	+	0.000	0.000	Merged-chr1-189499965-39
NR16575--MA0741.1.KLF16	chr13	30186556	30186566	-	0.000	0.000	Merged-chr13-30186492-12
NR59777--MA0741.1.KLF16	chr7	58618169	58618179	-	0.000	0.000	Merged-chr7-58618252-16
NR55980--MA1107.1.KLF9	chr6	89286779	89286791	+	0.000	0.000	Merged-chr6-89286978-37
NR34392--MA0599.1.KLF5	chr19	34505389	34505398	-	0.000	0.000	Merged-chr19-34505331-35
NR56282--MA1107.1.KLF9	chr6	99485339	99485351	+	0.000	0.000	Merged-chr6-99485384-21
NR65386--MA0741.1.KLF16	chr8	125558863	125558873	+	0.000	0.000	Merged-chr8-125558804-33
NR55986--MA0599.1.KLF5	chr6	89286969	89286978	-	0.000	0.000	Merged-chr6-89286978-37
NR38952--MA1107.1.KLF9	chr2	135824064	135824076	-	0.000	0.000	Merged-chr2-135823878-14
NR9508--MA1107.1.KLF9	chr10	128135574	128135586	+	0.000	0.000	Merged-chr10-128135587-20
NR55972--MA0493.1.Klf1	chr6	89286789	89286799	+	0.000	0.000	Merged-chr6-89286978-37
NR8278--MA0741.1.KLF16	chr10	99284977	99284987	+	0.000	0.000	Merged-chr10-99284943-24
NR51724--MA1107.1.KLF9	chr5	97090259	97090271	-	0.000	0.000	Merged-chr5-97090318-20
NR9554--MA0599.1.KLF5	chr10	128673569	128673578	-	0.000	0.000	Merged-chr10-128673425-1
NR27009--MA0493.1.Klf1	chr16	59471757	59471767	-	0.000	0.000	Merged-chr16-59471923-61
NR55976--MA1107.1.KLF9	chr6	89286771	89286783	+	0.000	0.000	Merged-chr6-89286978-37
NR63049--MA0599.1.KLF5	chr8	45934776	45934785	+	0.000	0.000	Merged-chr8-45934835-41
NR60803--MA0741.1.KLF16	chr7	101970558	101970568	+	0.000	0.000	Merged-chr7-101970646-136
NR38621--MA1107.1.KLF9	chr2	128159245	128159257	-	0.000	0.000	Merged-chr2-128159167-18
NR12254--MA1107.1.KLF9	chr11	100862017	100862029	+	0.000	0.000	Merged-chr11-100861973-17
NR53564--MA0657.1.KLF13	chr5	140208908	140208925	+	0.000	0.000	Merged-chr5-140208912-49
NR62661--MA1107.1.KLF9	chr8	27161534	27161546	-	0.000	0.000	Merged-chr8-27161535-3
NR33506--MA0741.1.KLF16	chr18	82532269	82532279	-	0.000	0.000	Merged-chr18-82532131-16
NR7384--MA0741.1.KLF16	chr10	78399395	78399405	+	0.000	0.000	Merged-chr10-78399498-14
NR7387--MA1107.1.KLF9	chr10	78399396	78399408	+	0.000	0.000	Merged-chr10-78399498-14
NR57298--MA0657.1.KLF13	chr6	134183956	134183973	+	0.000	0.000	Merged-chr6-134184108-53
NR6319--MA0740.1.KLF14	chr10	42849025	42849038	-	0.000	0.000	Merged-chr10-42848913-29
NR1200--MA0741.1.KLF16	chr1	59912744	59912754	+	0.000	0.000	Merged-chr1-59912549-1
NR9585--MA1107.1.KLF9	chr10	128940594	128940606	-	0.000	0.000	Merged-chr10-128940717-41
NR46064--MA0741.1.KLF16	chr4	47011200	47011210	-	0.000	0.000	Merged-chr4-47011023-46
NR13152--MA1107.1.KLF9	chr12	8351293	8351305	-	0.000	0.000	Merged-chr12-8351458-49
NR52311--MA0741.1.KLF16	chr5	113873341	113873351	-	0.000	0.000	Merged-chr5-113873174-24
NR62770--MA0741.1.KLF16	chr8	34398001	34398011	+	0.000	0.000	Merged-chr8-34397971-66
NR67093--MA0741.1.KLF16	chr9	77683657	77683667	+	0.000	0.000	Merged-chr9-77683679-29
NR9912--MA1107.1.KLF9	chr11	16558805	16558817	-	0.000	0.000	Merged-chr11-16558983-1
NR736--MA0493.1.Klf1	chr1	36920565	36920575	+	0.000	0.000	Merged-chr1-36920402-81
NR7833--MA0740.1.KLF14	chr10	84440703	84440716	+	0.000	0.000	Merged-chr10-84440807-71
NR33563--MA0742.1.Klf12	chr18	83993536	83993550	-	0.000	0.000	Merged-chr18-83993380-25
NR26476--MA0599.1.KLF5	chr16	33714495	33714504	-	0.000	0.000	Merged-chr16-33714431-35
NR61730--MA0599.1.KLF5	chr7	136894458	136894467	+	0.000	0.000	Merged-chr7-136894538-85
NR9908--MA1107.1.KLF9	chr11	16558797	16558809	-	0.000	0.000	Merged-chr11-16558983-1
NR6321--MA0493.1.Klf1	chr10	42849028	42849038	-	0.000	0.000	Merged-chr10-42848913-29
NR52303--MA0741.1.KLF16	chr5	113873333	113873343	-	0.000	0.000	Merged-chr5-113873174-24
NR69655--MA0741.1.KLF16	chrX	166329053	166329063	-	0.000	0.000	Merged-chrX-166329162-24
NR44342--MA0039.3.KLF4	chr3	146004978	146004988	-	0.000	0.000	Merged-chr3-146004832-23
NR61588--MA0741.1.KLF16	chr7	129774305	129774315	+	0.000	0.000	Merged-chr7-129774380-36
NR16464--MA0741.1.KLF16	chr13	24547218	24547228	-	0.000	0.000	Merged-chr13-24547194-39
NR9996--MA0740.1.KLF14	chr11	19926216	19926229	+	0.000	0.000	Merged-chr11-19926174-9
NR52297--MA0741.1.KLF16	chr5	113873327	113873337	-	0.000	0.000	Merged-chr5-113873174-24
NR16567--MA0599.1.KLF5	chr13	30186470	30186479	-	0.000	0.000	Merged-chr13-30186492-12
NR804--MA0741.1.KLF16	chr1	39702701	39702711	-	0.000	0.000	Merged-chr1-39702774-23
NR69205--MA0599.1.KLF5	chrX	104857309	104857318	+	0.000	0.000	Merged-chrX-104857124-25
NR8644--MA1107.1.KLF9	chr10	110952122	110952134	+	0.000	0.000	Merged-chr10-110952029-21
NR14763--MA0741.1.KLF16	chr12	82166463	82166473	-	0.000	0.000	Merged-chr12-82166286-58
NR69656--MA1107.1.KLF9	chrX	166329052	166329064	-	0.000	0.000	Merged-chrX-166329162-24
NR27007--MA0599.1.KLF5	chr16	59471757	59471766	-	0.000	0.000	Merged-chr16-59471923-61
NR18452--MA0740.1.KLF14	chr13	95765150	95765163	-	0.000	0.000	Merged-chr13-95765232-46
NR52308--MA0741.1.KLF16	chr5	113873338	113873348	-	0.000	0.000	Merged-chr5-113873174-24
NR62767--MA0741.1.KLF16	chr8	34397998	34398008	+	0.000	0.000	Merged-chr8-34397971-66
NR50978--MA0599.1.KLF5	chr5	65889195	65889204	+	0.000	0.000	Merged-chr5-65889163-36
NR37865--MA0741.1.KLF16	chr2	103668280	103668290	-	0.000	0.000	Merged-chr2-103668249-32
NR55974--MA1107.1.KLF9	chr6	89286767	89286779	+	0.000	0.000	Merged-chr6-89286978-37
NR62521--MA0599.1.KLF5	chr8	22544874	22544883	-	0.000	0.000	Merged-chr8-22544867-25
NR53561--MA0039.3.KLF4	chr5	140208846	140208856	+	0.000	0.000	Merged-chr5-140208912-49
NR43997--MA0741.1.KLF16	chr3	138008480	138008490	-	0.000	0.000	Merged-chr3-138008366-30
NR41026--MA0599.1.KLF5	chr3	27463055	27463064	-	0.000	0.000	Merged-chr3-27462923-28
NR43452--MA0599.1.KLF5	chr3	121967722	121967731	+	0.000	0.000	Merged-chr3-121967857-57
NR9999--MA0741.1.KLF16	chr11	19926217	19926227	+	0.000	0.000	Merged-chr11-19926174-9
NR9507--MA0493.1.Klf1	chr10	128135574	128135584	+	0.000	0.000	Merged-chr10-128135587-20
NR6323--MA0741.1.KLF16	chr10	42849027	42849037	-	0.000	0.000	Merged-chr10-42848913-29
NR60381--MA0741.1.KLF16	chr7	84149143	84149153	-	0.000	0.000	Merged-chr7-84149073-24
NR18453--MA0657.1.KLF13	chr13	95765147	95765164	-	0.000	0.000	Merged-chr13-95765232-46
NR46274--MA0599.1.KLF5	chr4	57091525	57091534	-	0.000	0.000	Merged-chr4-57091525-28
NR51861--MA1107.1.KLF9	chr5	100929920	100929932	+	0.000	0.000	Merged-chr5-100929891-31
NR63050--MA0039.3.KLF4	chr8	45934777	45934787	+	0.000	0.000	Merged-chr8-45934835-41
NR51723--MA0493.1.Klf1	chr5	97090261	97090271	-	0.000	0.000	Merged-chr5-97090318-20
NR38955--MA1107.1.KLF9	chr2	135824070	135824082	-	0.000	0.000	Merged-chr2-135823878-14
NR43453--MA0741.1.KLF16	chr3	121967722	121967732	+	0.000	0.000	Merged-chr3-121967857-57
NR733--MA0657.1.KLF13	chr1	36920500	36920517	+	0.000	0.000	Merged-chr1-36920402-81
NR14769--MA0599.1.KLF5	chr12	82187388	82187397	+	0.000	0.000	Merged-chr12-82187311-20
NR56694--MA0657.1.KLF13	chr6	115559863	115559880	-	0.000	0.000	Merged-chr6-115560075-18
NR16937--MA0741.1.KLF16	chr13	48842399	48842409	-	0.000	0.000	Merged-chr13-48842323-16
NR62656--MA0599.1.KLF5	chr8	27161538	27161547	-	0.000	0.000	Merged-chr8-27161535-3
NR18455--MA0741.1.KLF16	chr13	95765257	95765267	-	0.000	0.000	Merged-chr13-95765232-46
NR27006--MA0742.1.Klf12	chr16	59471772	59471786	-	0.000	0.000	Merged-chr16-59471923-61
NR66353--MA0599.1.KLF5	chr9	44708510	44708519	+	0.000	0.000	Merged-chr9-44708535-22
NR45389--MA0039.3.KLF4	chr4	21752127	21752137	+	0.000	0.000	Merged-chr4-21752041-18
NR32766--MA0741.1.KLF16	chr18	61377973	61377983	-	0.000	0.000	Merged-chr18-61377910-13
NR44341--MA0599.1.KLF5	chr3	146004980	146004989	-	0.000	0.000	Merged-chr3-146004832-23
NR67555--MA0599.1.KLF5	chr9	94607631	94607640	-	0.000	0.000	Merged-chr9-94607543-65
NR40862--MA0039.3.KLF4	chr3	21955870	21955880	-	0.000	0.000	Merged-chr3-21955906-3
NR738--MA1107.1.KLF9	chr1	36920565	36920577	+	0.000	0.000	Merged-chr1-36920402-81
NR7651--MA0599.1.KLF5	chr10	81247938	81247947	+	0.000	0.000	Merged-chr10-81248090-40
NR6642--MA0741.1.KLF16	chr10	58350935	58350945	-	0.000	0.000	Merged-chr10-58350801-17
NR20412--MA0740.1.KLF14	chr14	40956692	40956705	-	0.000	0.000	Merged-chr14-40956605-62
NR16573--MA0740.1.KLF14	chr13	30186557	30186570	-	0.000	0.000	Merged-chr13-30186492-12
NR13155--MA1107.1.KLF9	chr12	8351299	8351311	-	0.000	0.000	Merged-chr12-8351458-49
NR46067--MA0741.1.KLF16	chr4	47011206	47011216	-	0.000	0.000	Merged-chr4-47011023-46
NR9915--MA1107.1.KLF9	chr11	16558811	16558823	-	0.000	0.000	Merged-chr11-16558983-1
NR33565--MA1107.1.KLF9	chr18	83993538	83993550	-	0.000	0.000	Merged-chr18-83993380-25
NR53961--MA0039.3.KLF4	chr5	150259562	150259572	+	0.000	0.000	Merged-chr5-150259783-65
NR52295--MA0741.1.KLF16	chr5	113873212	113873222	-	0.000	0.000	Merged-chr5-113873174-24
NR51721--MA0742.1.Klf12	chr5	97090257	97090271	-	0.000	0.000	Merged-chr5-97090318-20
NR54953--MA1107.1.KLF9	chr6	43619505	43619517	+	0.000	0.000	Merged-chr6-43619418-19
NR35173--MA0740.1.KLF14	chr2	6622316	6622329	-	0.000	0.000	Merged-chr2-6622331-33
NR16462--MA0599.1.KLF5	chr13	24547221	24547230	-	0.000	0.000	Merged-chr13-24547194-39
NR34622--MA0741.1.KLF16	chr19	42019185	42019195	-	0.000	0.000	Merged-chr19-42019336-23
NR40005--MA0599.1.KLF5	chr2	168741430	168741439	+	0.000	0.000	Merged-chr2-168741453-11
NR12649--MA0599.1.KLF5	chr11	115185186	115185195	-	0.000	0.000	Merged-chr11-115185164-10
NR32247--MA0039.3.KLF4	chr18	41753029	41753039	-	0.000	0.000	Merged-chr18-41752958-32
NR13725--MA0493.1.Klf1	chr12	32999958	32999968	-	0.000	0.000	Merged-chr12-32999849-21
NR52306--MA0741.1.KLF16	chr5	113873336	113873346	-	0.000	0.000	Merged-chr5-113873174-24
NR64968--MA0741.1.KLF16	chr8	117198122	117198132	+	0.000	0.000	Merged-chr8-117198283-35
NR49907--MA1107.1.KLF9	chr5	24344666	24344678	+	0.000	0.000	Merged-chr5-24344705-18
NR26794--MA0657.1.KLF13	chr16	51719970	51719987	-	0.000	0.000	Merged-chr16-51719841-20
NR13724--MA0039.3.KLF4	chr12	32999956	32999966	-	0.000	0.000	Merged-chr12-32999849-21
NR27013--MA1107.1.KLF9	chr16	59471774	59471786	-	0.000	0.000	Merged-chr16-59471923-61
NR21248--MA0039.3.KLF4	chr14	69774963	69774973	-	0.000	0.000	Merged-chr14-69774788-96
NR42892--MA0493.1.Klf1	chr3	101066376	101066386	-	0.000	0.000	Merged-chr3-101066330-34
NR62887--MA0741.1.KLF16	chr8	36249396	36249406	-	0.000	0.000	Merged-chr8-36249558-6
NR54949--MA0039.3.KLF4	chr6	43619503	43619513	+	0.000	0.000	Merged-chr6-43619418-19
NR37864--MA0599.1.KLF5	chr2	103668281	103668290	-	0.000	0.000	Merged-chr2-103668249-32
NR55981--MA1107.1.KLF9	chr6	89286781	89286793	+	0.000	0.000	Merged-chr6-89286978-37
NR65668--MA0599.1.KLF5	chr9	14926828	14926837	+	0.000	0.000	Merged-chr9-14926732-51
NR51502--MA0599.1.KLF5	chr5	89882217	89882226	-	0.000	0.000	Merged-chr5-89882343-19
NR35176--MA0741.1.KLF16	chr2	6622318	6622328	-	0.000	0.000	Merged-chr2-6622331-33
NR46062--MA0740.1.KLF14	chr4	47011208	47011221	-	0.000	0.000	Merged-chr4-47011023-46
NR69204--MA0740.1.KLF14	chrX	104857308	104857321	+	0.000	0.000	Merged-chrX-104857124-25
NR40861--MA0599.1.KLF5	chr3	21955872	21955881	-	0.000	0.000	Merged-chr3-21955906-3
NR55977--MA1107.1.KLF9	chr6	89286773	89286785	+	0.000	0.000	Merged-chr6-89286978-37
NR14762--MA0493.1.Klf1	chr12	82166464	82166474	-	0.000	0.000	Merged-chr12-82166286-58
NR32764--MA0741.1.KLF16	chr18	61377971	61377981	-	0.000	0.000	Merged-chr18-61377910-13
NR51860--MA0493.1.Klf1	chr5	100929920	100929930	+	0.000	0.000	Merged-chr5-100929891-31
NR23906--MA0741.1.KLF16	chr15	66286887	66286897	+	0.000	0.000	Merged-chr15-66286791-54
NR9998--MA0493.1.Klf1	chr11	19926216	19926226	+	0.000	0.000	Merged-chr11-19926174-9
NR40632--MA1107.1.KLF9	chr3	9500015	9500027	-	0.000	0.000	Merged-chr3-9499976-58
NR53650--MA0741.1.KLF16	chr5	140944721	140944731	-	0.000	0.000	Merged-chr5-140944857-24
NR67771--MA1107.1.KLF9	chr9	103134554	103134566	-	0.000	0.000	Merged-chr9-103134672-43
NR62662--MA1107.1.KLF9	chr8	27161536	27161548	-	0.000	0.000	Merged-chr8-27161535-3
NR53960--MA0599.1.KLF5	chr5	150259566	150259575	+	0.000	0.000	Merged-chr5-150259783-65
NR7388--MA1107.1.KLF9	chr10	78399400	78399412	+	0.000	0.000	Merged-chr10-78399498-14
NR26212--MA0599.1.KLF5	chr16	23270623	23270632	+	0.000	0.000	Merged-chr16-23270651-14
NR53943--MA0742.1.Klf12	chr5	149459384	149459398	+	0.000	0.000	Merged-chr5-149459249-24
NR64931--MA0039.3.KLF4	chr8	116143490	116143500	+	0.000	0.000	Merged-chr8-116143566-1
NR33504--MA0039.3.KLF4	chr18	82532268	82532278	-	0.000	0.000	Merged-chr18-82532131-16
NR22757--MA0599.1.KLF5	chr15	12069110	12069119	+	0.000	0.000	Merged-chr15-12068944-16
NR41023--MA0742.1.Klf12	chr3	27463051	27463065	-	0.000	0.000	Merged-chr3-27462923-28
NR66253--MA0599.1.KLF5	chr9	42463821	42463830	+	0.000	0.000	Merged-chr9-42464013-7
