#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR2649--MA0482.1.Gata4	chr15	96778481	96778491	+	0.000	0.000	Merged-chr15-96778537-47
NR4617--MA1104.1.GATA6	chr3	136742958	136742970	-	0.000	0.000	Merged-chr3-136742959-57
NR6515--MA1104.1.GATA6	chr8	111976660	111976672	+	0.000	0.000	Merged-chr8-111976573-47
NR1458--MA0037.3.GATA3	chr12	14086786	14086793	-	0.000	0.000	Merged-chr12-14086767-28
NR5407--MA0766.1.GATA5	chr5	149392281	149392288	+	0.000	0.000	Merged-chr5-149392157-30
NR1461--MA0036.3.GATA2	chr12	14086785	14086795	+	0.000	0.000	Merged-chr12-14086767-28
NR4426--MA1104.1.GATA6	chr3	95909370	95909382	+	0.000	0.000	Merged-chr3-95909537-31
NR3425--MA0036.3.GATA2	chr18	79257455	79257465	-	0.000	0.000	Merged-chr18-79257508-110
NR821--MA0036.3.GATA2	chr10	79417358	79417368	+	0.000	0.000	Merged-chr10-79417442-89
NR2689--MA0482.1.Gata4	chr16	10814976	10814986	-	0.000	0.000	Merged-chr16-10815093-30
NR5166--MA0035.3.Gata1	chr5	53605614	53605624	-	0.000	0.000	Merged-chr5-53605625-25
NR2993--MA0035.3.Gata1	chr17	18597682	18597692	+	0.000	0.000	Merged-chr17-18597509-40
NR4400--MA0035.3.Gata1	chr3	84772178	84772188	-	0.000	0.000	Merged-chr3-84772067-31
NR1300--MA1104.1.GATA6	chr11	98487787	98487799	+	0.000	0.000	Merged-chr11-98487809-30
NR5408--MA0035.3.Gata1	chr5	149392279	149392289	-	0.000	0.000	Merged-chr5-149392157-30
NR2693--MA0035.3.Gata1	chr16	10814977	10814987	-	0.000	0.000	Merged-chr16-10815093-30
NR3589--MA0482.1.Gata4	chr19	40267569	40267579	+	0.000	0.000	Merged-chr19-40267576-38
NR5535--MA0766.1.GATA5	chr6	67184856	67184863	+	0.000	0.000	Merged-chr6-67184785-39
NR143--MA0766.1.GATA5	chr1	87899817	87899824	-	0.000	0.000	Merged-chr1-87899931-42
NR1304--MA0766.1.GATA5	chr11	99150431	99150438	-	0.000	0.000	Merged-chr11-99150380-50
NR6890--MA0035.3.Gata1	chr9	88722041	88722051	+	0.000	0.000	Merged-chr9-88721964-40
NR6813--MA0035.3.Gata1	chr9	78010964	78010974	-	0.000	0.000	Merged-chr9-78010803-82
NR6560--MA0766.1.GATA5	chr8	117548685	117548692	-	0.000	0.000	Merged-chr8-117548585-70
NR736--MA0035.3.Gata1	chr10	40451941	40451951	+	0.000	0.000	Merged-chr10-40451996-39
NR4511--MA0766.1.GATA5	chr3	115729287	115729294	-	0.000	0.000	Merged-chr3-115729400-55
NR4615--MA0035.3.Gata1	chr3	136725868	136725878	+	0.000	0.000	Merged-chr3-136725981-1
NR2911--MA0482.1.Gata4	chr16	97204301	97204311	+	0.000	0.000	Merged-chr16-97204388-55
NR4843--MA0482.1.Gata4	chr4	89400517	89400527	-	0.000	0.000	Merged-chr4-89400416-12
NR1052--MA0482.1.Gata4	chr10	130344126	130344136	+	0.000	0.000	Merged-chr10-130344274-29
NR4846--MA0035.3.Gata1	chr4	89400518	89400528	-	0.000	0.000	Merged-chr4-89400416-12
NR2651--MA0036.3.GATA2	chr15	96778480	96778490	+	0.000	0.000	Merged-chr15-96778537-47
NR5409--MA0140.2.GATA1::TAL1	chr5	149392270	149392287	-	0.000	0.000	Merged-chr5-149392157-30
NR4354--MA0766.1.GATA5	chr3	60788288	60788295	-	0.000	0.000	Merged-chr3-60788099-46
NR144--MA0035.3.Gata1	chr1	87899816	87899826	+	0.000	0.000	Merged-chr1-87899931-42
NR4135--MA0140.2.GATA1::TAL1	chr2	146416550	146416567	+	0.000	0.000	Merged-chr2-146416561-24
NR6558--MA0037.3.GATA3	chr8	117548685	117548692	-	0.000	0.000	Merged-chr8-117548585-70
NR2912--MA1104.1.GATA6	chr16	97204299	97204311	-	0.000	0.000	Merged-chr16-97204388-55
NR4665--MA0482.1.Gata4	chr3	145663520	145663530	-	0.000	0.000	Merged-chr3-145663343-1
NR4844--MA1104.1.GATA6	chr4	89400517	89400529	+	0.000	0.000	Merged-chr4-89400416-12
NR6832--MA0036.3.GATA2	chr9	80318149	80318159	+	0.000	0.000	Merged-chr9-80318250-48
NR866--MA0482.1.Gata4	chr10	93985593	93985603	+	0.000	0.000	Merged-chr10-93985650-27
NR3355--MA0140.2.GATA1::TAL1	chr18	67212824	67212841	+	0.000	0.000	Merged-chr18-67212775-57
NR6106--MA0766.1.GATA5	chr7	90007381	90007388	+	0.000	0.000	Merged-chr7-90007418-46
NR2332--MA0766.1.GATA5	chr14	61818661	61818668	-	0.000	0.000	Merged-chr14-61818597-46
NR4355--MA0035.3.Gata1	chr3	60788287	60788297	+	0.000	0.000	Merged-chr3-60788099-46
NR5961--MA0766.1.GATA5	chr7	35742554	35742561	-	0.000	0.000	Merged-chr7-35742502-39
NR3588--MA0037.3.GATA3	chr19	40267569	40267576	-	0.000	0.000	Merged-chr19-40267576-38
NR728--MA0482.1.Gata4	chr10	39991288	39991298	+	0.000	0.000	Merged-chr10-39991173-41
NR4611--MA0037.3.GATA3	chr3	136725869	136725876	-	0.000	0.000	Merged-chr3-136725981-1
NR3591--MA0036.3.GATA2	chr19	40267568	40267578	+	0.000	0.000	Merged-chr19-40267576-38
NR6534--MA0766.1.GATA5	chr8	114888906	114888913	+	0.000	0.000	Merged-chr8-114888790-56
NR2910--MA0037.3.GATA3	chr16	97204301	97204308	-	0.000	0.000	Merged-chr16-97204388-55
NR5534--MA0036.3.GATA2	chr6	67184854	67184864	-	0.000	0.000	Merged-chr6-67184785-39
NR6516--MA0036.3.GATA2	chr8	111976661	111976671	-	0.000	0.000	Merged-chr8-111976573-47
NR6322--MA0482.1.Gata4	chr7	140983189	140983199	+	0.000	0.000	Merged-chr7-140983161-18
NR6107--MA0035.3.Gata1	chr7	90007379	90007389	-	0.000	0.000	Merged-chr7-90007418-46
NR6814--MA0140.2.GATA1::TAL1	chr9	78010955	78010972	-	0.000	0.000	Merged-chr9-78010803-82
NR4397--MA0482.1.Gata4	chr3	84772177	84772187	-	0.000	0.000	Merged-chr3-84772067-31
NR3793--MA0036.3.GATA2	chr2	43727958	43727968	-	0.000	0.000	Merged-chr2-43727862-50
NR512--MA0037.3.GATA3	chr1	175631875	175631882	+	0.000	0.000	Merged-chr1-175631822-65
NR2331--MA0037.3.GATA3	chr14	61818661	61818668	-	0.000	0.000	Merged-chr14-61818597-46
NR3072--MA0140.2.GATA1::TAL1	chr17	47515622	47515639	+	0.000	0.000	Merged-chr17-47515680-12
NR3287--MA0140.2.GATA1::TAL1	chr18	46381052	46381069	-	0.000	0.000	Merged-chr18-46381195-31
NR865--MA0037.3.GATA3	chr10	93985593	93985600	-	0.000	0.000	Merged-chr10-93985650-27
NR1462--MA0766.1.GATA5	chr12	14086786	14086793	-	0.000	0.000	Merged-chr12-14086767-28
NR5912--MA0035.3.Gata1	chr7	16001894	16001904	-	0.000	0.000	Merged-chr7-16001989-41
NR4398--MA1104.1.GATA6	chr3	84772177	84772189	+	0.000	0.000	Merged-chr3-84772067-31
NR3426--MA0766.1.GATA5	chr18	79257457	79257464	+	0.000	0.000	Merged-chr18-79257508-110
NR822--MA0766.1.GATA5	chr10	79417359	79417366	-	0.000	0.000	Merged-chr10-79417442-89
NR5404--MA0482.1.Gata4	chr5	149392278	149392288	-	0.000	0.000	Merged-chr5-149392157-30
NR1301--MA0036.3.GATA2	chr11	98487788	98487798	-	0.000	0.000	Merged-chr11-98487809-30
NR5165--MA0036.3.GATA2	chr5	53605614	53605624	-	0.000	0.000	Merged-chr5-53605625-25
NR737--MA0140.2.GATA1::TAL1	chr10	40451943	40451960	+	0.000	0.000	Merged-chr10-40451996-39
NR3714--MA0035.3.Gata1	chr2	11617066	11617076	+	0.000	0.000	Merged-chr2-11617013-39
NR730--MA0035.3.Gata1	chr10	39991287	39991297	+	0.000	0.000	Merged-chr10-39991173-41
NR6559--MA1104.1.GATA6	chr8	117548683	117548695	-	0.000	0.000	Merged-chr8-117548585-70
NR5910--MA1104.1.GATA6	chr7	16001893	16001905	+	0.000	0.000	Merged-chr7-16001989-41
NR1463--MA0035.3.Gata1	chr12	14086785	14086795	+	0.000	0.000	Merged-chr12-14086767-28
NR6103--MA0037.3.GATA3	chr7	90007381	90007388	+	0.000	0.000	Merged-chr7-90007418-46
NR5405--MA1104.1.GATA6	chr5	149392278	149392290	+	0.000	0.000	Merged-chr5-149392157-30
NR3427--MA0035.3.Gata1	chr18	79257455	79257465	-	0.000	0.000	Merged-chr18-79257508-110
NR823--MA0035.3.Gata1	chr10	79417358	79417368	+	0.000	0.000	Merged-chr10-79417442-89
NR733--MA1104.1.GATA6	chr10	40451940	40451952	-	0.000	0.000	Merged-chr10-40451996-39
NR5532--MA0482.1.Gata4	chr6	67184853	67184863	-	0.000	0.000	Merged-chr6-67184785-39
NR140--MA0482.1.Gata4	chr1	87899817	87899827	+	0.000	0.000	Merged-chr1-87899931-42
NR867--MA0766.1.GATA5	chr10	93985593	93985600	-	0.000	0.000	Merged-chr10-93985650-27
NR6533--MA0036.3.GATA2	chr8	114888904	114888914	-	0.000	0.000	Merged-chr8-114888790-56
NR1295--MA0482.1.Gata4	chr11	97246705	97246715	+	0.000	0.000	Merged-chr11-97246717-13
NR2913--MA0036.3.GATA2	chr16	97204300	97204310	+	0.000	0.000	Merged-chr16-97204388-55
NR4845--MA0036.3.GATA2	chr4	89400518	89400528	-	0.000	0.000	Merged-chr4-89400416-12
NR5533--MA1104.1.GATA6	chr6	67184853	67184865	+	0.000	0.000	Merged-chr6-67184785-39
NR141--MA1104.1.GATA6	chr1	87899815	87899827	-	0.000	0.000	Merged-chr1-87899931-42
NR2565--MA0140.2.GATA1::TAL1	chr15	62390449	62390466	-	0.000	0.000	Merged-chr15-62390498-8
NR5909--MA0482.1.Gata4	chr7	16001893	16001903	-	0.000	0.000	Merged-chr7-16001989-41
NR4351--MA0482.1.Gata4	chr3	60788288	60788298	+	0.000	0.000	Merged-chr3-60788099-46
NR5403--MA0037.3.GATA3	chr5	149392281	149392288	+	0.000	0.000	Merged-chr5-149392157-30
NR2692--MA0766.1.GATA5	chr16	10814979	10814986	+	0.000	0.000	Merged-chr16-10815093-30
NR731--MA0037.3.GATA3	chr10	40451942	40451949	-	0.000	0.000	Merged-chr10-40451996-39
NR735--MA0766.1.GATA5	chr10	40451942	40451949	-	0.000	0.000	Merged-chr10-40451996-39
NR6730--MA0482.1.Gata4	chr9	48448117	48448127	+	0.000	0.000	Merged-chr9-48448010-22
NR4352--MA1104.1.GATA6	chr3	60788286	60788298	-	0.000	0.000	Merged-chr3-60788099-46
NR6733--MA0035.3.Gata1	chr9	48448116	48448126	+	0.000	0.000	Merged-chr9-48448010-22
NR4614--MA0766.1.GATA5	chr3	136725869	136725876	-	0.000	0.000	Merged-chr3-136725981-1
NR6180--MA0482.1.Gata4	chr7	113263190	113263200	+	0.000	0.000	Merged-chr7-113263148-32
NR6831--MA0482.1.Gata4	chr9	80318150	80318160	+	0.000	0.000	Merged-chr9-80318250-48
NR4041--MA0036.3.GATA2	chr2	117399743	117399753	-	0.000	0.000	Merged-chr2-117399695-40
NR3592--MA0766.1.GATA5	chr19	40267569	40267576	-	0.000	0.000	Merged-chr19-40267576-38
NR5531--MA0037.3.GATA3	chr6	67184856	67184863	+	0.000	0.000	Merged-chr6-67184785-39
NR1294--MA0037.3.GATA3	chr11	97246705	97246712	-	0.000	0.000	Merged-chr11-97246717-13
NR6731--MA1104.1.GATA6	chr9	48448115	48448127	-	0.000	0.000	Merged-chr9-48448010-22
NR879--MA0035.3.Gata1	chr10	95746062	95746072	+	0.000	0.000	Merged-chr10-95746044-53
NR3127--MA0140.2.GATA1::TAL1	chr17	70886909	70886926	+	0.000	0.000	Merged-chr17-70886838-34
NR6104--MA1104.1.GATA6	chr7	90007378	90007390	+	0.000	0.000	Merged-chr7-90007418-46
NR4134--MA0036.3.GATA2	chr2	146416548	146416558	+	0.000	0.000	Merged-chr2-146416561-24
NR6024--MA0035.3.Gata1	chr7	67500441	67500451	-	0.000	0.000	Merged-chr7-67500556-27
NR4666--MA0140.2.GATA1::TAL1	chr3	145663512	145663529	-	0.000	0.000	Merged-chr3-145663343-1
NR4638--MA0482.1.Gata4	chr3	138334346	138334356	+	0.000	0.000	Merged-chr3-138334424-50
NR4399--MA0036.3.GATA2	chr3	84772178	84772188	-	0.000	0.000	Merged-chr3-84772067-31
NR3593--MA0035.3.Gata1	chr19	40267568	40267578	+	0.000	0.000	Merged-chr19-40267576-38
NR4350--MA0037.3.GATA3	chr3	60788288	60788295	-	0.000	0.000	Merged-chr3-60788099-46
NR6532--MA1104.1.GATA6	chr8	114888903	114888915	+	0.000	0.000	Merged-chr8-114888790-56
NR6022--MA1104.1.GATA6	chr7	67500440	67500452	+	0.000	0.000	Merged-chr7-67500556-27
NR5536--MA0035.3.Gata1	chr6	67184854	67184864	-	0.000	0.000	Merged-chr6-67184785-39
NR5911--MA0036.3.GATA2	chr7	16001894	16001904	-	0.000	0.000	Merged-chr7-16001989-41
NR4639--MA1104.1.GATA6	chr3	138334344	138334356	-	0.000	0.000	Merged-chr3-138334424-50
NR2688--MA0037.3.GATA3	chr16	10814979	10814986	+	0.000	0.000	Merged-chr16-10815093-30
NR1302--MA0766.1.GATA5	chr11	98487790	98487797	+	0.000	0.000	Merged-chr11-98487809-30
NR1296--MA0766.1.GATA5	chr11	97246705	97246712	-	0.000	0.000	Merged-chr11-97246717-13
NR3423--MA0482.1.Gata4	chr18	79257454	79257464	-	0.000	0.000	Merged-chr18-79257508-110
NR5406--MA0036.3.GATA2	chr5	149392279	149392289	-	0.000	0.000	Merged-chr5-149392157-30
NR2691--MA0036.3.GATA2	chr16	10814977	10814987	-	0.000	0.000	Merged-chr16-10815093-30
NR513--MA0766.1.GATA5	chr1	175631875	175631882	+	0.000	0.000	Merged-chr1-175631822-65
NR3883--MA0035.3.Gata1	chr2	72282907	72282917	-	0.000	0.000	Merged-chr2-72282934-17
NR819--MA0037.3.GATA3	chr10	79417359	79417366	-	0.000	0.000	Merged-chr10-79417442-89
NR1416--MA0766.1.GATA5	chr11	115746912	115746919	-	0.000	0.000	Merged-chr11-115746671-90
NR4510--MA0037.3.GATA3	chr3	115729287	115729294	-	0.000	0.000	Merged-chr3-115729400-55
NR734--MA0036.3.GATA2	chr10	40451941	40451951	+	0.000	0.000	Merged-chr10-40451996-39
NR1460--MA1104.1.GATA6	chr12	14086784	14086796	-	0.000	0.000	Merged-chr12-14086767-28
NR5164--MA0482.1.Gata4	chr5	53605613	53605623	-	0.000	0.000	Merged-chr5-53605625-25
NR3575--MA0140.2.GATA1::TAL1	chr19	32926371	32926388	-	0.000	0.000	Merged-chr19-32926300-25
NR4613--MA0036.3.GATA2	chr3	136725868	136725878	+	0.000	0.000	Merged-chr3-136725981-1
NR3424--MA1104.1.GATA6	chr18	79257454	79257466	+	0.000	0.000	Merged-chr18-79257508-110
NR139--MA0037.3.GATA3	chr1	87899817	87899824	-	0.000	0.000	Merged-chr1-87899931-42
NR820--MA1104.1.GATA6	chr10	79417357	79417369	-	0.000	0.000	Merged-chr10-79417442-89
NR5210--MA0140.2.GATA1::TAL1	chr5	86783451	86783468	-	0.000	0.000	Merged-chr5-86783243-43
NR2019--MA0140.2.GATA1::TAL1	chr13	95449890	95449907	-	0.000	0.000	Merged-chr13-95449730-51
NR4640--MA0035.3.Gata1	chr3	138334345	138334355	+	0.000	0.000	Merged-chr3-138334424-50
NR3713--MA0482.1.Gata4	chr2	11617067	11617077	+	0.000	0.000	Merged-chr2-11617013-39
NR1414--MA0482.1.Gata4	chr11	115746912	115746922	+	0.000	0.000	Merged-chr11-115746671-90
NR142--MA0036.3.GATA2	chr1	87899816	87899826	+	0.000	0.000	Merged-chr1-87899931-42
NR1299--MA0482.1.Gata4	chr11	98487787	98487797	-	0.000	0.000	Merged-chr11-98487809-30
NR4616--MA0037.3.GATA3	chr3	136742960	136742967	-	0.000	0.000	Merged-chr3-136742959-57
NR2914--MA0766.1.GATA5	chr16	97204301	97204308	-	0.000	0.000	Merged-chr16-97204388-55
NR4473--MA0140.2.GATA1::TAL1	chr3	107076712	107076729	+	0.000	0.000	Merged-chr3-107076709-51
