#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed
NR1996--MA0659.1.MAFG	chr10	117975555	117975575	+	0.000	0.000	Merged-chr10-117975710-27
NR6064--MA0496.2.MAFK	chr16	94660248	94660266	+	0.000	0.000	Merged-chr16-94660460-20
NR11875--MA0501.1.MAF::NFE2	chr6	72659946	72659960	+	0.000	0.000	Merged-chr6-72660096-30
NR13270--MA0117.2.Mafb	chr7	135605460	135605471	-	0.000	0.000	Merged-chr7-135605308-40
NR5102--MA0117.2.Mafb	chr15	34389262	34389273	+	0.000	0.000	Merged-chr15-34389092-27
NR13981--MA0591.1.Bach1::Mafk	chr8	120702288	120702302	-	0.000	0.000	Merged-chr8-120702084-56
NR14743--MA0501.1.MAF::NFE2	chr9	117910891	117910905	-	0.000	0.000	Merged-chr9-117910970-21
NR5208--MA0495.2.MAFF	chr15	58655206	58655226	-	0.000	0.000	Merged-chr15-58655104-54
NR12268--MA0496.2.MAFK	chr6	127302957	127302975	-	0.000	0.000	Merged-chr6-127302896-25
NR1317--MA0501.1.MAF::NFE2	chr10	10224979	10224993	+	0.000	0.000	Merged-chr10-10224805-34
NR14238--MA0495.2.MAFF	chr9	43785161	43785181	-	0.000	0.000	Merged-chr9-43784994-20
NR2401--MA0501.1.MAF::NFE2	chr11	53803662	53803676	+	0.000	0.000	Merged-chr11-53803686-61
NR13048--MA0089.1.MAFG::NFE2L1	chr7	110965579	110965584	-	0.000	0.000	Merged-chr7-110965629-28
NR14694--MA0496.2.MAFK	chr9	114787912	114787930	-	0.000	0.000	Merged-chr9-114787935-34
NR1673--MA0089.1.MAFG::NFE2L1	chr10	75146211	75146216	-	0.000	0.000	Merged-chr10-75146347-53
NR3384--MA0591.1.Bach1::Mafk	chr12	110506249	110506263	+	0.000	0.000	Merged-chr12-110506270-12
NR511--MA0089.1.MAFG::NFE2L1	chr1	94056132	94056137	-	0.000	0.000	Merged-chr1-94056150-27
NR14742--MA0089.1.MAFG::NFE2L1	chr9	117910880	117910885	+	0.000	0.000	Merged-chr9-117910970-21
NR10386--MA0591.1.Bach1::Mafk	chr4	130900053	130900067	-	0.000	0.000	Merged-chr4-130900085-53
NR6124--MA0495.2.MAFF	chr17	5802392	5802412	-	0.000	0.000	Merged-chr17-5802429-65
NR3669--MA0089.1.MAFG::NFE2L1	chr13	32868434	32868439	+	0.000	0.000	Merged-chr13-32868285-30
NR12821--MA0501.1.MAF::NFE2	chr7	75483359	75483373	+	0.000	0.000	Merged-chr7-75483331-36
NR14149--MA0496.2.MAFK	chr9	21609995	21610013	+	0.000	0.000	Merged-chr9-21610100-42
NR2058--MA0089.1.MAFG::NFE2L1	chr10	122800518	122800523	+	0.000	0.000	Merged-chr10-122800507-74
NR12502--MA0089.1.MAFG::NFE2L1	chr6	146271409	146271414	-	0.000	0.000	Merged-chr6-146271470-40
NR7406--MA0591.1.Bach1::Mafk	chr19	56647501	56647515	+	0.000	0.000	Merged-chr19-56647541-17
NR14185--MA0496.2.MAFK	chr9	33080492	33080510	+	0.000	0.000	Merged-chr9-33080507-34
NR9278--MA0089.1.MAFG::NFE2L1	chr3	104856376	104856381	+	0.000	0.000	Merged-chr3-104856352-37
NR7241--MA0496.2.MAFK	chr19	20424389	20424407	-	0.000	0.000	Merged-chr19-20424322-22
NR13602--MA0591.1.Bach1::Mafk	chr8	71587146	71587160	+	0.000	0.000	Merged-chr8-71587200-14
NR848--MA0089.1.MAFG::NFE2L1	chr1	153304318	153304323	-	0.000	0.000	Merged-chr1-153304263-23
NR8491--MA0501.1.MAF::NFE2	chr2	153215092	153215106	+	0.000	0.000	Merged-chr2-153215232-79
NR795--MA0591.1.Bach1::Mafk	chr1	144086348	144086362	-	0.000	0.000	Merged-chr1-144086303-34
NR12817--MA0089.1.MAFG::NFE2L1	chr7	74698146	74698151	+	0.000	0.000	Merged-chr7-74698017-54
NR6058--MA0495.2.MAFF	chr16	94660247	94660267	+	0.000	0.000	Merged-chr16-94660460-20
NR12798--MA0591.1.Bach1::Mafk	chr7	68350178	68350192	+	0.000	0.000	Merged-chr7-68350249-38
NR8434--MA0089.1.MAFG::NFE2L1	chr2	147030826	147030831	-	0.000	0.000	Merged-chr2-147030791-19
NR13353--MA0117.2.Mafb	chr7	143628821	143628832	+	0.000	0.000	Merged-chr7-143628758-62
NR8429--MA0591.1.Bach1::Mafk	chr2	146497724	146497738	-	0.000	0.000	Merged-chr2-146497617-49
NR9376--MA0089.1.MAFG::NFE2L1	chr3	116630321	116630326	+	0.000	0.000	Merged-chr3-116630474-26
NR10988--MA0117.2.Mafb	chr5	74404336	74404347	-	0.000	0.000	Merged-chr5-74404312-40
NR5653--MA0496.2.MAFK	chr16	33769915	33769933	+	0.000	0.000	Merged-chr16-33769896-51
NR7793--MA0089.1.MAFG::NFE2L1	chr2	61712733	61712738	-	0.000	0.000	Merged-chr2-61712803-19
NR1701--MA0089.1.MAFG::NFE2L1	chr10	77630169	77630174	-	0.000	0.000	Merged-chr10-77630089-17
NR1899--MA0495.2.MAFF	chr10	98776481	98776501	-	0.000	0.000	Merged-chr10-98776574-38
NR5859--MA0089.1.MAFG::NFE2L1	chr16	64757610	64757615	-	0.000	0.000	Merged-chr16-64757779-2
NR1894--MA0496.2.MAFK	chr10	96588456	96588474	-	0.000	0.000	Merged-chr10-96588454-52
NR5761--MA0591.1.Bach1::Mafk	chr16	49982464	49982478	-	0.000	0.000	Merged-chr16-49982447-38
NR7254--MA0501.1.MAF::NFE2	chr19	21785904	21785918	-	0.000	0.000	Merged-chr19-21785964-7
NR9761--MA0501.1.MAF::NFE2	chr4	6925026	6925040	-	0.000	0.000	Merged-chr4-6924913-49
NR1369--MA0659.1.MAFG	chr10	19104809	19104829	-	0.000	0.000	Merged-chr10-19104955-55
NR7409--MA0496.2.MAFK	chr19	56647499	56647517	+	0.000	0.000	Merged-chr19-56647541-17
NR6131--MA0496.2.MAFK	chr17	5802393	5802411	-	0.000	0.000	Merged-chr17-5802429-65
NR1371--MA0496.2.MAFK	chr10	19104810	19104828	-	0.000	0.000	Merged-chr10-19104955-55
NR5442--MA0591.1.Bach1::Mafk	chr15	99725799	99725813	+	0.000	0.000	Merged-chr15-99725695-59
NR6062--MA0659.1.MAFG	chr16	94660247	94660267	-	0.000	0.000	Merged-chr16-94660460-20
NR3874--MA0591.1.Bach1::Mafk	chr13	63340115	63340129	-	0.000	0.000	Merged-chr13-63340215-26
NR796--MA0501.1.MAF::NFE2	chr1	144086345	144086359	-	0.000	0.000	Merged-chr1-144086303-34
NR7043--MA0089.1.MAFG::NFE2L1	chr18	79079970	79079975	+	0.000	0.000	Merged-chr18-79080001-30
NR265--MA0501.1.MAF::NFE2	chr1	61039451	61039465	-	0.000	0.000	Merged-chr1-61039499-28
NR14690--MA0495.2.MAFF	chr9	114787911	114787931	-	0.000	0.000	Merged-chr9-114787935-34
NR4255--MA0089.1.MAFG::NFE2L1	chr13	114887326	114887331	-	0.000	0.000	Merged-chr13-114887526-35
NR8143--MA0591.1.Bach1::Mafk	chr2	117447054	117447068	-	0.000	0.000	Merged-chr2-117447085-57
NR1081--MA0496.2.MAFK	chr1	180403755	180403773	+	0.000	0.000	Merged-chr1-180403715-60
NR6714--MA0496.2.MAFK	chr18	23828828	23828846	-	0.000	0.000	Merged-chr18-23828715-22
NR56--MA0089.1.MAFG::NFE2L1	chr1	16228115	16228120	+	0.000	0.000	Merged-chr1-16228179-38
NR1892--MA0495.2.MAFF	chr10	96588455	96588475	+	0.000	0.000	Merged-chr10-96588454-52
NR1997--MA0659.1.MAFG	chr10	117975555	117975575	-	0.000	0.000	Merged-chr10-117975710-27
NR8272--MA0089.1.MAFG::NFE2L1	chr2	128318445	128318450	+	0.000	0.000	Merged-chr2-128318457-15
NR3041--MA0591.1.Bach1::Mafk	chr12	55027301	55027315	-	0.000	0.000	Merged-chr12-55027232-31
NR5029--MA0501.1.MAF::NFE2	chr15	6555769	6555783	+	0.000	0.000	Merged-chr15-6555772-24
NR6065--MA0496.2.MAFK	chr16	94660248	94660266	-	0.000	0.000	Merged-chr16-94660460-20
NR5962--MA0089.1.MAFG::NFE2L1	chr16	84800308	84800313	+	0.000	0.000	Merged-chr16-84800124-30
NR14270--MA0495.2.MAFF	chr9	45247852	45247872	-	0.000	0.000	Merged-chr9-45247703-45
NR2837--MA0591.1.Bach1::Mafk	chr11	121039415	121039429	+	0.000	0.000	Merged-chr11-121039238-62
NR11937--MA0089.1.MAFG::NFE2L1	chr6	87038091	87038096	-	0.000	0.000	Merged-chr6-87038264-54
NR6126--MA0591.1.Bach1::Mafk	chr17	5802395	5802409	-	0.000	0.000	Merged-chr17-5802429-65
NR1867--MA0089.1.MAFG::NFE2L1	chr10	94848656	94848661	+	0.000	0.000	Merged-chr10-94848627-43
NR12537--MA0591.1.Bach1::Mafk	chr7	3290321	3290335	-	0.000	0.000	Merged-chr7-3290343-35
NR705--MA0089.1.MAFG::NFE2L1	chr1	131003553	131003558	+	0.000	0.000	Merged-chr1-131003466-39
NR5797--MA0089.1.MAFG::NFE2L1	chr16	52468668	52468673	-	0.000	0.000	Merged-chr16-52468577-24
NR793--MA0089.1.MAFG::NFE2L1	chr1	144086333	144086338	+	0.000	0.000	Merged-chr1-144086303-34
NR6127--MA0659.1.MAFG	chr17	5802392	5802412	+	0.000	0.000	Merged-chr17-5802429-65
NR2200--MA0089.1.MAFG::NFE2L1	chr11	11763389	11763394	-	0.000	0.000	Merged-chr11-11763344-40
NR14240--MA0591.1.Bach1::Mafk	chr9	43785164	43785178	-	0.000	0.000	Merged-chr9-43784994-20
NR7253--MA0659.1.MAFG	chr19	21785904	21785924	+	0.000	0.000	Merged-chr19-21785964-7
NR3040--MA0089.1.MAFG::NFE2L1	chr12	55027308	55027313	-	0.000	0.000	Merged-chr12-55027232-31
NR3865--MA0591.1.Bach1::Mafk	chr13	60897580	60897594	-	0.000	0.000	Merged-chr13-60897577-48
NR6712--MA0591.1.Bach1::Mafk	chr18	23828830	23828844	-	0.000	0.000	Merged-chr18-23828715-22
NR11147--MA0117.2.Mafb	chr5	103365681	103365692	-	0.000	0.000	Merged-chr5-103365833-17
NR7239--MA0591.1.Bach1::Mafk	chr19	20424391	20424405	-	0.000	0.000	Merged-chr19-20424322-22
NR15043--MA0496.2.MAFK	chrX	142792381	142792399	+	0.000	0.000	Merged-chrX-142792362-24
NR4995--MA0591.1.Bach1::Mafk	chr14	121830076	121830090	+	0.000	0.000	Merged-chr14-121830164-49
NR10435--MA0089.1.MAFG::NFE2L1	chr4	137603742	137603747	-	0.000	0.000	Merged-chr4-137603877-24
NR6129--MA0501.1.MAF::NFE2	chr17	5802392	5802406	-	0.000	0.000	Merged-chr17-5802429-65
NR11743--MA0501.1.MAF::NFE2	chr6	54775914	54775928	-	0.000	0.000	Merged-chr6-54775842-27
NR6059--MA0495.2.MAFF	chr16	94660247	94660267	-	0.000	0.000	Merged-chr16-94660460-20
NR638--MA0089.1.MAFG::NFE2L1	chr1	120073728	120073733	-	0.000	0.000	Merged-chr1-120073802-51
NR12266--MA0591.1.Bach1::Mafk	chr6	127302959	127302973	+	0.000	0.000	Merged-chr6-127302896-25
NR1998--MA0591.1.Bach1::Mafk	chr10	118007269	118007283	+	0.000	0.000	Merged-chr10-118007304-63
NR1306--MA0089.1.MAFG::NFE2L1	chr10	8415554	8415559	-	0.000	0.000	Merged-chr10-8415419-33
NR10089--MA0117.2.Mafb	chr4	89212361	89212372	+	0.000	0.000	Merged-chr4-89212481-15
NR5654--MA0496.2.MAFK	chr16	33769915	33769933	-	0.000	0.000	Merged-chr16-33769896-51
NR5209--MA0659.1.MAFG	chr15	58655206	58655226	+	0.000	0.000	Merged-chr15-58655104-54
NR14689--MA0495.2.MAFF	chr9	114787911	114787931	+	0.000	0.000	Merged-chr9-114787935-34
NR14072--MA0089.1.MAFG::NFE2L1	chr8	128646936	128646941	+	0.000	0.000	Merged-chr8-128646767-27
NR1681--MA0089.1.MAFG::NFE2L1	chr10	75536262	75536267	+	0.000	0.000	Merged-chr10-75536310-39
NR2722--MA0089.1.MAFG::NFE2L1	chr11	104667853	104667858	-	0.000	0.000	Merged-chr11-104667644-45
NR7304--MA0659.1.MAFG	chr19	32935800	32935820	-	0.000	0.000	Merged-chr19-32935830-20
NR1315--MA0089.1.MAFG::NFE2L1	chr10	10224829	10224834	+	0.000	0.000	Merged-chr10-10224805-34
NR10946--MA0089.1.MAFG::NFE2L1	chr5	66096305	66096310	-	0.000	0.000	Merged-chr5-66096250-16
NR7408--MA0501.1.MAF::NFE2	chr19	56647504	56647518	+	0.000	0.000	Merged-chr19-56647541-17
NR12816--MA0089.1.MAFG::NFE2L1	chr7	74684201	74684206	+	0.000	0.000	Merged-chr7-74684112-21
NR2720--MA0089.1.MAFG::NFE2L1	chr11	104631500	104631505	-	0.000	0.000	Merged-chr11-104631492-24
NR14530--MA0591.1.Bach1::Mafk	chr9	95151982	95151996	+	0.000	0.000	Merged-chr9-95151869-50
NR14273--MA0496.2.MAFK	chr9	45247853	45247871	+	0.000	0.000	Merged-chr9-45247703-45
NR11205--MA0496.2.MAFK	chr5	107646129	107646147	+	0.000	0.000	Merged-chr5-107646170-26
NR13725--MA0496.2.MAFK	chr8	84825733	84825751	+	0.000	0.000	Merged-chr8-84825845-44
NR4618--MA0501.1.MAF::NFE2	chr14	55913540	55913554	+	0.000	0.000	Merged-chr14-55913661-13
NR14298--MA0117.2.Mafb	chr9	48817242	48817253	-	0.000	0.000	Merged-chr9-48817420-28
NR3673--MA0089.1.MAFG::NFE2L1	chr13	32993542	32993547	-	0.000	0.000	Merged-chr13-32993550-50
NR4018--MA0591.1.Bach1::Mafk	chr13	91091605	91091619	-	0.000	0.000	Merged-chr13-91091674-66
NR14394--MA0089.1.MAFG::NFE2L1	chr9	73068535	73068540	+	0.000	0.000	Merged-chr9-73068515-27
NR14147--MA0591.1.Bach1::Mafk	chr9	21609997	21610011	-	0.000	0.000	Merged-chr9-21610100-42
NR13161--MA0089.1.MAFG::NFE2L1	chr7	122402357	122402362	-	0.000	0.000	Merged-chr7-122402258-36
NR6520--MA0501.1.MAF::NFE2	chr17	73656553	73656567	-	0.000	0.000	Merged-chr17-73656544-26
NR7180--MA0117.2.Mafb	chr19	9038340	9038351	+	0.000	0.000	Merged-chr19-9038318-39
NR1402--MA0117.2.Mafb	chr10	21976504	21976515	-	0.000	0.000	Merged-chr10-21976372-39
NR14302--MA0089.1.MAFG::NFE2L1	chr9	50852635	50852640	-	0.000	0.000	Merged-chr9-50852835-21
NR1082--MA0496.2.MAFK	chr1	180403755	180403773	-	0.000	0.000	Merged-chr1-180403715-60
NR7501--MA0495.2.MAFF	chr2	13237655	13237675	-	0.000	0.000	Merged-chr2-13237654-25
NR1893--MA0495.2.MAFF	chr10	96588455	96588475	-	0.000	0.000	Merged-chr10-96588454-52
NR5841--MA0089.1.MAFG::NFE2L1	chr16	59459685	59459690	-	0.000	0.000	Merged-chr16-59459484-51
NR14241--MA0659.1.MAFG	chr9	43785161	43785181	+	0.000	0.000	Merged-chr9-43784994-20
NR14315--MA0089.1.MAFG::NFE2L1	chr9	55102276	55102281	+	0.000	0.000	Merged-chr9-55102396-26
NR7422--MA0089.1.MAFG::NFE2L1	chr19	57131622	57131627	+	0.000	0.000	Merged-chr19-57131601-25
NR10562--MA0501.1.MAF::NFE2	chr4	150991502	150991516	+	0.000	0.000	Merged-chr4-150991460-24
NR12269--MA0089.1.MAFG::NFE2L1	chr6	127617297	127617302	-	0.000	0.000	Merged-chr6-127617353-34
NR7407--MA0591.1.Bach1::Mafk	chr19	56647501	56647515	-	0.000	0.000	Merged-chr19-56647541-17
NR13603--MA0591.1.Bach1::Mafk	chr8	71587146	71587160	-	0.000	0.000	Merged-chr8-71587200-14
NR11203--MA0495.2.MAFF	chr5	107646128	107646148	+	0.000	0.000	Merged-chr5-107646170-26
NR9831--MA0117.2.Mafb	chr4	32127082	32127093	+	0.000	0.000	Merged-chr4-32126903-56
NR15041--MA0659.1.MAFG	chrX	142792380	142792400	+	0.000	0.000	Merged-chrX-142792362-24
NR5350--MA0591.1.Bach1::Mafk	chr15	81819705	81819719	-	0.000	0.000	Merged-chr15-81819861-26
NR1366--MA0495.2.MAFF	chr10	19104809	19104829	+	0.000	0.000	Merged-chr10-19104955-55
NR5431--MA0501.1.MAF::NFE2	chr15	97468968	97468982	+	0.000	0.000	Merged-chr15-97468896-4
NR6128--MA0659.1.MAFG	chr17	5802392	5802412	-	0.000	0.000	Merged-chr17-5802429-65
NR2584--MA0089.1.MAFG::NFE2L1	chr11	83640473	83640478	-	0.000	0.000	Merged-chr11-83640282-44
NR4223--MA0591.1.Bach1::Mafk	chr13	113168629	113168643	+	0.000	0.000	Merged-chr13-113168484-63
NR14146--MA0089.1.MAFG::NFE2L1	chr9	21610004	21610009	-	0.000	0.000	Merged-chr9-21610100-42
NR6373--MA0591.1.Bach1::Mafk	chr17	47598366	47598380	-	0.000	0.000	Merged-chr17-47598322-32
NR3866--MA0501.1.MAF::NFE2	chr13	60897577	60897591	-	0.000	0.000	Merged-chr13-60897577-48
NR5206--MA0089.1.MAFG::NFE2L1	chr15	58649984	58649989	-	0.000	0.000	Merged-chr15-58650001-42
NR5652--MA0659.1.MAFG	chr16	33769914	33769934	+	0.000	0.000	Merged-chr16-33769896-51
NR15044--MA0496.2.MAFK	chrX	142792381	142792399	-	0.000	0.000	Merged-chrX-142792362-24
NR7251--MA0089.1.MAFG::NFE2L1	chr19	21785914	21785919	-	0.000	0.000	Merged-chr19-21785964-7
NR8886--MA0089.1.MAFG::NFE2L1	chr3	37606061	37606066	+	0.000	0.000	Merged-chr3-37605967-27
NR5764--MA0117.2.Mafb	chr16	50632883	50632894	-	0.000	0.000	Merged-chr16-50633027-57
NR8597--MA0089.1.MAFG::NFE2L1	chr2	164868596	164868601	+	0.000	0.000	Merged-chr2-164868622-33
NR1651--MA0089.1.MAFG::NFE2L1	chr10	68512603	68512608	-	0.000	0.000	Merged-chr10-68512591-23
NR14691--MA0659.1.MAFG	chr9	114787911	114787931	+	0.000	0.000	Merged-chr9-114787935-34
NR6713--MA0496.2.MAFK	chr18	23828828	23828846	+	0.000	0.000	Merged-chr18-23828715-22
NR10049--MA0089.1.MAFG::NFE2L1	chr4	83380667	83380672	-	0.000	0.000	Merged-chr4-83380604-15
NR12295--MA0495.2.MAFF	chr6	129406125	129406145	+	0.000	0.000	Merged-chr6-129406250-15
NR5438--MA0117.2.Mafb	chr15	99009003	99009014	+	0.000	0.000	Merged-chr15-99008995-43
NR4225--MA0496.2.MAFK	chr13	113168627	113168645	+	0.000	0.000	Merged-chr13-113168484-63
NR14271--MA0659.1.MAFG	chr9	45247852	45247872	+	0.000	0.000	Merged-chr9-45247703-45
NR9130--MA0089.1.MAFG::NFE2L1	chr3	87846942	87846947	+	0.000	0.000	Merged-chr3-87846918-77
NR7609--MA0117.2.Mafb	chr2	32715337	32715348	+	0.000	0.000	Merged-chr2-32715137-51
NR5212--MA0496.2.MAFK	chr15	58655207	58655225	-	0.000	0.000	Merged-chr15-58655104-54
NR890--MA0089.1.MAFG::NFE2L1	chr1	156459786	156459791	+	0.000	0.000	Merged-chr1-156459929-41
NR1748--MA0591.1.Bach1::Mafk	chr10	81407753	81407767	-	0.000	0.000	Merged-chr10-81407786-38
NR8793--MA0089.1.MAFG::NFE2L1	chr3	9853200	9853205	+	0.000	0.000	Merged-chr3-9853322-69
NR1686--MA0089.1.MAFG::NFE2L1	chr10	76542916	76542921	+	0.000	0.000	Merged-chr10-76543066-52
NR11250--MA0089.1.MAFG::NFE2L1	chr5	114041780	114041785	-	0.000	0.000	Merged-chr5-114041714-24
NR7410--MA0496.2.MAFK	chr19	56647499	56647517	-	0.000	0.000	Merged-chr19-56647541-17
NR6557--MA0089.1.MAFG::NFE2L1	chr17	80174328	80174333	-	0.000	0.000	Merged-chr17-80174428-10
NR12870--MA0089.1.MAFG::NFE2L1	chr7	81179674	81179679	+	0.000	0.000	Merged-chr7-81179607-41
NR5027--MA0117.2.Mafb	chr15	6555772	6555783	-	0.000	0.000	Merged-chr15-6555772-24
NR1871--MA0089.1.MAFG::NFE2L1	chr10	95179109	95179114	+	0.000	0.000	Merged-chr10-95179066-28
NR737--MA0089.1.MAFG::NFE2L1	chr1	133159538	133159543	+	0.000	0.000	Merged-chr1-133159409-33
NR14274--MA0496.2.MAFK	chr9	45247853	45247871	-	0.000	0.000	Merged-chr9-45247703-45
NR11206--MA0496.2.MAFK	chr5	107646129	107646147	-	0.000	0.000	Merged-chr5-107646170-26
NR14073--MA0089.1.MAFG::NFE2L1	chr8	128646934	128646939	-	0.000	0.000	Merged-chr8-128646767-27
NR7250--MA0495.2.MAFF	chr19	21785904	21785924	+	0.000	0.000	Merged-chr19-21785964-7
NR928--MA0501.1.MAF::NFE2	chr1	159812892	159812906	+	0.000	0.000	Merged-chr1-159812982-41
NR2838--MA0591.1.Bach1::Mafk	chr11	121354430	121354444	-	0.000	0.000	Merged-chr11-121354241-105
