#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR9505--MA0591.1.Bach1::Mafk	chr5	146655358	146655372	-	0.000	0.000	Merged-chr5-146655552-37
NR2317--MA0659.1.MAFG	chr11	108094971	108094991	+	0.000	0.000	Merged-chr11-108095008-29
NR8872--MA0496.2.MAFK	chr5	5420343	5420361	-	0.000	0.000	Merged-chr5-5420247-39
NR2342--MA0496.2.MAFK	chr11	109744079	109744097	+	0.000	0.000	Merged-chr11-109744155-21
NR1038--MA0089.1.MAFG::NFE2L1	chr10	13469059	13469064	+	0.000	0.000	Merged-chr10-13469041-19
NR15--MA0117.2.Mafb	chr1	10257658	10257669	-	0.000	0.000	Merged-chr1-10257584-29
NR3308--MA0089.1.MAFG::NFE2L1	chr13	63541683	63541688	+	0.000	0.000	Merged-chr13-63541673-31
NR2225--MA0591.1.Bach1::Mafk	chr11	95356972	95356986	-	0.000	0.000	Merged-chr11-95356897-59
NR3199--MA0117.2.Mafb	chr13	45455795	45455806	+	0.000	0.000	Merged-chr13-45455779-40
NR9812--MA0496.2.MAFK	chr6	70714456	70714474	-	0.000	0.000	Merged-chr6-70714490-34
NR3870--MA0089.1.MAFG::NFE2L1	chr14	64628233	64628238	+	0.000	0.000	Merged-chr14-64628307-21
NR1152--MA0501.1.MAF::NFE2	chr10	39418588	39418602	+	0.000	0.000	Merged-chr10-39418565-23
NR710--MA0117.2.Mafb	chr1	165822163	165822174	+	0.000	0.000	Merged-chr1-165822211-30
NR3200--MA0089.1.MAFG::NFE2L1	chr13	45455845	45455850	+	0.000	0.000	Merged-chr13-45455779-40
NR2340--MA0591.1.Bach1::Mafk	chr11	109744081	109744095	-	0.000	0.000	Merged-chr11-109744155-21
NR9509--MA0496.2.MAFK	chr5	146655356	146655374	-	0.000	0.000	Merged-chr5-146655552-37
NR8589--MA0089.1.MAFG::NFE2L1	chr4	129621186	129621191	-	0.000	0.000	Merged-chr4-129621333-30
NR5471--MA0089.1.MAFG::NFE2L1	chr17	84032633	84032638	-	0.000	0.000	Merged-chr17-84032623-33
NR7402--MA0495.2.MAFF	chr2	174566021	174566041	-	0.000	0.000	Merged-chr2-174566072-46
NR4177--MA0089.1.MAFG::NFE2L1	chr15	31117636	31117641	-	0.000	0.000	Merged-chr15-31117559-26
NR9806--MA0495.2.MAFF	chr6	70714455	70714475	-	0.000	0.000	Merged-chr6-70714490-34
NR5106--MA0496.2.MAFK	chr17	12759435	12759453	-	0.000	0.000	Merged-chr17-12759489-26
NR2318--MA0659.1.MAFG	chr11	108094971	108094991	-	0.000	0.000	Merged-chr11-108095008-29
NR10495--MA0659.1.MAFG	chr7	25107335	25107355	+	0.000	0.000	Merged-chr7-25107253-25
NR9502--MA0495.2.MAFF	chr5	146655355	146655375	+	0.000	0.000	Merged-chr5-146655552-37
NR2320--MA0496.2.MAFK	chr11	108094972	108094990	-	0.000	0.000	Merged-chr11-108095008-29
NR242--MA0117.2.Mafb	chr1	69831153	69831164	+	0.000	0.000	Merged-chr1-69831096-32
NR9233--MA0089.1.MAFG::NFE2L1	chr5	100466750	100466755	-	0.000	0.000	Merged-chr5-100466890-43
NR6621--MA0089.1.MAFG::NFE2L1	chr2	73547503	73547508	+	0.000	0.000	Merged-chr2-73547425-29
NR2339--MA0495.2.MAFF	chr11	109744078	109744098	+	0.000	0.000	Merged-chr11-109744155-21
NR2224--MA0089.1.MAFG::NFE2L1	chr11	95356989	95356994	-	0.000	0.000	Merged-chr11-95356897-59
NR4704--MA0501.1.MAF::NFE2	chr16	30024847	30024861	-	0.000	0.000	Merged-chr16-30024852-47
NR1319--MA0089.1.MAFG::NFE2L1	chr10	75536262	75536267	+	0.000	0.000	Merged-chr10-75536310-39
NR1333--MA0501.1.MAF::NFE2	chr10	76802327	76802341	-	0.000	0.000	Merged-chr10-76802342-40
NR9810--MA0659.1.MAFG	chr6	70714455	70714475	-	0.000	0.000	Merged-chr6-70714490-34
NR7406--MA0089.1.MAFG::NFE2L1	chr2	174566218	174566223	+	0.000	0.000	Merged-chr2-174566072-46
NR6061--MA0089.1.MAFG::NFE2L1	chr19	24527539	24527544	-	0.000	0.000	Merged-chr19-24527365-48
NR8870--MA0591.1.Bach1::Mafk	chr5	5420345	5420359	+	0.000	0.000	Merged-chr5-5420247-39
NR1024--MA0089.1.MAFG::NFE2L1	chr10	8415554	8415559	-	0.000	0.000	Merged-chr10-8415419-33
NR6122--MA0591.1.Bach1::Mafk	chr19	37110697	37110711	+	0.000	0.000	Merged-chr19-37110576-17
NR2453--MA0089.1.MAFG::NFE2L1	chr11	119352198	119352203	-	0.000	0.000	Merged-chr11-119352427-33
NR9808--MA0591.1.Bach1::Mafk	chr6	70714458	70714472	+	0.000	0.000	Merged-chr6-70714490-34
NR9082--MA0089.1.MAFG::NFE2L1	chr5	67437667	67437672	+	0.000	0.000	Merged-chr5-67437495-24
NR11895--MA0089.1.MAFG::NFE2L1	chr9	45294384	45294389	+	0.000	0.000	Merged-chr9-45294452-56
NR2226--MA0501.1.MAF::NFE2	chr11	95356969	95356983	-	0.000	0.000	Merged-chr11-95356897-59
NR8989--MA0501.1.MAF::NFE2	chr5	31576819	31576833	+	0.000	0.000	Merged-chr5-31576784-60
NR2133--MA0591.1.Bach1::Mafk	chr11	83657706	83657720	+	0.000	0.000	Merged-chr11-83657668-22
NR10494--MA0495.2.MAFF	chr7	25107335	25107355	-	0.000	0.000	Merged-chr7-25107253-25
NR10496--MA0659.1.MAFG	chr7	25107335	25107355	-	0.000	0.000	Merged-chr7-25107253-25
NR9503--MA0495.2.MAFF	chr5	146655355	146655375	-	0.000	0.000	Merged-chr5-146655552-37
NR2341--MA0501.1.MAF::NFE2	chr11	109744078	109744092	-	0.000	0.000	Merged-chr11-109744155-21
NR2134--MA0501.1.MAF::NFE2	chr11	83657709	83657723	+	0.000	0.000	Merged-chr11-83657668-22
NR6426--MA0089.1.MAFG::NFE2L1	chr2	32875155	32875160	+	0.000	0.000	Merged-chr2-32875161-7
NR9803--MA0089.1.MAFG::NFE2L1	chr6	70709430	70709435	+	0.000	0.000	Merged-chr6-70709572-48
NR4176--MA0089.1.MAFG::NFE2L1	chr15	31117446	31117451	-	0.000	0.000	Merged-chr15-31117559-26
NR4830--MA0501.1.MAF::NFE2	chr16	52470435	52470449	+	0.000	0.000	Merged-chr16-52470408-42
NR7275--MA0089.1.MAFG::NFE2L1	chr2	166399330	166399335	+	0.000	0.000	Merged-chr2-166399399-25
NR9805--MA0495.2.MAFF	chr6	70714455	70714475	+	0.000	0.000	Merged-chr6-70714490-34
NR8529--MA0089.1.MAFG::NFE2L1	chr4	119962896	119962901	-	0.000	0.000	Merged-chr4-119962727-36
NR2315--MA0495.2.MAFF	chr11	108094971	108094991	+	0.000	0.000	Merged-chr11-108095008-29
NR9807--MA0117.2.Mafb	chr6	70714464	70714475	-	0.000	0.000	Merged-chr6-70714490-34
NR5296--MA0117.2.Mafb	chr17	50070336	50070347	+	0.000	0.000	Merged-chr17-50070273-24
NR10497--MA0496.2.MAFK	chr7	25107336	25107354	+	0.000	0.000	Merged-chr7-25107253-25
NR4492--MA0089.1.MAFG::NFE2L1	chr15	93298315	93298320	+	0.000	0.000	Merged-chr15-93298411-30
NR1314--MA0089.1.MAFG::NFE2L1	chr10	75146211	75146216	-	0.000	0.000	Merged-chr10-75146347-53
NR9272--MA0089.1.MAFG::NFE2L1	chr5	105541195	105541200	+	0.000	0.000	Merged-chr5-105541026-23
NR9485--MA0089.1.MAFG::NFE2L1	chr5	143561770	143561775	-	0.000	0.000	Merged-chr5-143561800-6
NR7404--MA0496.2.MAFK	chr2	174566022	174566040	+	0.000	0.000	Merged-chr2-174566072-46
NR10185--MA0089.1.MAFG::NFE2L1	chr6	129552655	129552660	-	0.000	0.000	Merged-chr6-129552660-25
NR9506--MA0659.1.MAFG	chr5	146655355	146655375	+	0.000	0.000	Merged-chr5-146655552-37
NR8871--MA0591.1.Bach1::Mafk	chr5	5420345	5420359	-	0.000	0.000	Merged-chr5-5420247-39
NR9504--MA0591.1.Bach1::Mafk	chr5	146655358	146655372	+	0.000	0.000	Merged-chr5-146655552-37
NR4920--MA0089.1.MAFG::NFE2L1	chr16	84800308	84800313	+	0.000	0.000	Merged-chr16-84800124-30
NR118--MA0089.1.MAFG::NFE2L1	chr1	39559237	39559242	+	0.000	0.000	Merged-chr1-39559167-24
NR11900--MA0591.1.Bach1::Mafk	chr9	48817501	48817515	+	0.000	0.000	Merged-chr9-48817420-28
NR2316--MA0495.2.MAFF	chr11	108094971	108094991	-	0.000	0.000	Merged-chr11-108095008-29
NR10498--MA0496.2.MAFK	chr7	25107336	25107354	-	0.000	0.000	Merged-chr7-25107253-25
NR4788--MA0089.1.MAFG::NFE2L1	chr16	46001705	46001710	+	0.000	0.000	Merged-chr16-46001866-55
NR8528--MA0089.1.MAFG::NFE2L1	chr4	119947741	119947746	-	0.000	0.000	Merged-chr4-119947761-47
NR2811--MA0089.1.MAFG::NFE2L1	chr12	100871394	100871399	+	0.000	0.000	Merged-chr12-100871436-2
