#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed
NR8777--MA0035.3.Gata1	chr7	72314634	72314644	+	0.000	0.000	Merged-chr7-72314558-78
NR2287--MA0037.3.GATA3	chr12	105019701	105019708	-	0.000	0.000	Merged-chr12-105019829-37
NR3199--MA0482.1.Gata4	chr14	73123961	73123971	-	0.000	0.000	Merged-chr14-73124034-46
NR2431--MA0035.3.Gata1	chr13	8457040	8457050	+	0.000	0.000	Merged-chr13-8457184-81
NR3692--MA0037.3.GATA3	chr15	78495178	78495185	+	0.000	0.000	Merged-chr15-78495177-43
NR6322--MA0036.3.GATA2	chr3	115693559	115693569	+	0.000	0.000	Merged-chr3-115693579-13
NR9389--MA0766.1.GATA5	chr8	117278454	117278461	-	0.000	0.000	Merged-chr8-117278352-17
NR932--MA0140.2.GATA1::TAL1	chr10	19597077	19597094	-	0.000	0.000	Merged-chr10-19597137-35
NR2290--MA0036.3.GATA2	chr12	105019700	105019710	+	0.000	0.000	Merged-chr12-105019829-37
NR7772--MA0037.3.GATA3	chr5	148596595	148596602	-	0.000	0.000	Merged-chr5-148596681-29
NR976--MA0037.3.GATA3	chr10	28518460	28518467	-	0.000	0.000	Merged-chr10-28518434-39
NR9805--MA0036.3.GATA2	chr9	123928902	123928912	+	0.000	0.000	Merged-chr9-123928756-104
NR9803--MA0037.3.GATA3	chr9	123928903	123928910	-	0.000	0.000	Merged-chr9-123928756-104
NR2426--MA1104.1.GATA6	chr13	8457039	8457051	-	0.000	0.000	Merged-chr13-8457184-81
NR6234--MA0766.1.GATA5	chr3	84046256	84046263	-	0.000	0.000	Merged-chr3-84046424-40
NR8389--MA0482.1.Gata4	chr6	130342155	130342165	+	0.000	0.000	Merged-chr6-130342331-49
NR3184--MA0766.1.GATA5	chr14	66218980	66218987	-	0.000	0.000	Merged-chr14-66218968-32
NR1658--MA0766.1.GATA5	chr11	64037641	64037648	+	0.000	0.000	Merged-chr11-64037767-32
NR4039--MA0036.3.GATA2	chr16	64758766	64758776	-	0.000	0.000	Merged-chr16-64758494-145
NR1311--MA0482.1.Gata4	chr10	99393611	99393621	-	0.000	0.000	Merged-chr10-99393384-65
NR3198--MA0037.3.GATA3	chr14	73123964	73123971	+	0.000	0.000	Merged-chr14-73124034-46
NR3673--MA0140.2.GATA1::TAL1	chr15	66825532	66825549	+	0.000	0.000	Merged-chr15-66825502-98
NR8379--MA0036.3.GATA2	chr6	130102977	130102987	+	0.000	0.000	Merged-chr6-130103023-31
NR5597--MA0766.1.GATA5	chr2	127923473	127923480	-	0.000	0.000	Merged-chr2-127923410-36
NR3201--MA0140.2.GATA1::TAL1	chr14	73123953	73123970	-	0.000	0.000	Merged-chr14-73124034-46
NR3169--MA0037.3.GATA3	chr14	60131692	60131699	-	0.000	0.000	Merged-chr14-60131750-51
NR9413--MA1104.1.GATA6	chr8	124520718	124520730	-	0.000	0.000	Merged-chr8-124520851-52
NR3185--MA0035.3.Gata1	chr14	66218979	66218989	+	0.000	0.000	Merged-chr14-66218968-32
NR9375--MA0036.3.GATA2	chr8	111955417	111955427	+	0.000	0.000	Merged-chr8-111955328-48
NR1312--MA1104.1.GATA6	chr10	99393611	99393623	+	0.000	0.000	Merged-chr10-99393384-65
NR1656--MA0482.1.Gata4	chr11	64037638	64037648	-	0.000	0.000	Merged-chr11-64037767-32
NR9388--MA0036.3.GATA2	chr8	117278453	117278463	+	0.000	0.000	Merged-chr8-117278352-17
NR1659--MA0035.3.Gata1	chr11	64037639	64037649	-	0.000	0.000	Merged-chr11-64037767-32
NR3172--MA0036.3.GATA2	chr14	60131691	60131701	+	0.000	0.000	Merged-chr14-60131750-51
NR6233--MA0037.3.GATA3	chr3	84046256	84046263	-	0.000	0.000	Merged-chr3-84046424-40
NR7775--MA0036.3.GATA2	chr5	148596594	148596604	+	0.000	0.000	Merged-chr5-148596681-29
NR9030--MA0766.1.GATA5	chr7	140207133	140207140	-	0.000	0.000	Merged-chr7-140207191-19
NR3759--MA0035.3.Gata1	chr15	100750371	100750381	+	0.000	0.000	Merged-chr15-100750259-57
NR703--MA0766.1.GATA5	chr1	161794946	161794953	-	0.000	0.000	Merged-chr1-161794797-65
NR9027--MA0482.1.Gata4	chr7	140207133	140207143	+	0.000	0.000	Merged-chr7-140207191-19
NR9411--MA0037.3.GATA3	chr8	124520720	124520727	-	0.000	0.000	Merged-chr8-124520851-52
NR1310--MA0037.3.GATA3	chr10	99393614	99393621	+	0.000	0.000	Merged-chr10-99393384-65
NR9415--MA0766.1.GATA5	chr8	124520720	124520727	-	0.000	0.000	Merged-chr8-124520851-52
NR8380--MA0766.1.GATA5	chr6	130102978	130102985	-	0.000	0.000	Merged-chr6-130103023-31
NR2430--MA0035.3.Gata1	chr13	8457033	8457043	+	0.000	0.000	Merged-chr13-8457184-81
NR9028--MA1104.1.GATA6	chr7	140207131	140207143	-	0.000	0.000	Merged-chr7-140207191-19
NR2836--MA0035.3.Gata1	chr13	101702250	101702260	-	0.000	0.000	Merged-chr13-101702260-81
NR6323--MA0766.1.GATA5	chr3	115693560	115693567	-	0.000	0.000	Merged-chr3-115693579-13
NR1655--MA0037.3.GATA3	chr11	64037641	64037648	+	0.000	0.000	Merged-chr11-64037767-32
NR2291--MA0766.1.GATA5	chr12	105019701	105019708	-	0.000	0.000	Merged-chr12-105019829-37
NR2424--MA0482.1.Gata4	chr13	8457041	8457051	+	0.000	0.000	Merged-chr13-8457184-81
NR8843--MA0036.3.GATA2	chr7	88206900	88206910	-	0.000	0.000	Merged-chr7-88206806-101
NR8381--MA0035.3.Gata1	chr6	130102977	130102987	+	0.000	0.000	Merged-chr6-130103023-31
NR2834--MA1104.1.GATA6	chr13	101702249	101702261	+	0.000	0.000	Merged-chr13-101702260-81
NR677--MA0035.3.Gata1	chr1	156956632	156956642	+	0.000	0.000	Merged-chr1-156956579-55
NR702--MA0037.3.GATA3	chr1	161794946	161794953	-	0.000	0.000	Merged-chr1-161794797-65
NR2427--MA0036.3.GATA2	chr13	8457033	8457043	+	0.000	0.000	Merged-chr13-8457184-81
NR6321--MA0482.1.Gata4	chr3	115693560	115693570	+	0.000	0.000	Merged-chr3-115693579-13
NR8776--MA0482.1.Gata4	chr7	72314635	72314645	+	0.000	0.000	Merged-chr7-72314558-78
NR2425--MA1104.1.GATA6	chr13	8457032	8457044	-	0.000	0.000	Merged-chr13-8457184-81
NR3662--MA0035.3.Gata1	chr15	62730608	62730618	-	0.000	0.000	Merged-chr15-62730717-24
NR6324--MA0035.3.Gata1	chr3	115693559	115693569	+	0.000	0.000	Merged-chr3-115693579-13
NR2429--MA0766.1.GATA5	chr13	8457041	8457048	-	0.000	0.000	Merged-chr13-8457184-81
NR2292--MA0035.3.Gata1	chr12	105019700	105019710	+	0.000	0.000	Merged-chr12-105019829-37
NR9026--MA0037.3.GATA3	chr7	140207133	140207140	-	0.000	0.000	Merged-chr7-140207191-19
NR3693--MA0766.1.GATA5	chr15	78495178	78495185	+	0.000	0.000	Merged-chr15-78495177-43
NR9807--MA0035.3.Gata1	chr9	123928902	123928912	+	0.000	0.000	Merged-chr9-123928756-104
NR9414--MA0036.3.GATA2	chr8	124520719	124520729	+	0.000	0.000	Merged-chr8-124520851-52
NR1313--MA0036.3.GATA2	chr10	99393612	99393622	-	0.000	0.000	Merged-chr10-99393384-65
NR4569--MA0482.1.Gata4	chr17	84061871	84061881	+	0.000	0.000	Merged-chr17-84061758-18
NR3200--MA0766.1.GATA5	chr14	73123964	73123971	+	0.000	0.000	Merged-chr14-73124034-46
NR3182--MA1104.1.GATA6	chr14	66218978	66218990	-	0.000	0.000	Merged-chr14-66218968-32
NR6320--MA0037.3.GATA3	chr3	115693560	115693567	-	0.000	0.000	Merged-chr3-115693579-13
NR3173--MA0766.1.GATA5	chr14	60131692	60131699	-	0.000	0.000	Merged-chr14-60131750-51
NR7776--MA0766.1.GATA5	chr5	148596595	148596602	-	0.000	0.000	Merged-chr5-148596681-29
NR2421--MA0037.3.GATA3	chr13	8457034	8457041	-	0.000	0.000	Merged-chr13-8457184-81
NR9936--MA0140.2.GATA1::TAL1	chrX	164318731	164318748	+	0.000	0.000	Merged-chrX-164318746-35
NR5026--MA0482.1.Gata4	chr19	12026835	12026845	-	0.000	0.000	Merged-chr19-12026851-22
NR3174--MA0035.3.Gata1	chr14	60131691	60131701	+	0.000	0.000	Merged-chr14-60131750-51
NR2904--MA0036.3.GATA2	chr13	113580115	113580125	-	0.000	0.000	Merged-chr13-113580257-62
NR3697--MA0035.3.Gata1	chr15	80590804	80590814	-	0.000	0.000	Merged-chr15-80590747-44
NR1668--MA0140.2.GATA1::TAL1	chr11	68768348	68768365	-	0.000	0.000	Merged-chr11-68768507-16
NR9029--MA0036.3.GATA2	chr7	140207132	140207142	+	0.000	0.000	Merged-chr7-140207191-19
NR3180--MA0037.3.GATA3	chr14	66218980	66218987	-	0.000	0.000	Merged-chr14-66218968-32
NR7777--MA0035.3.Gata1	chr5	148596594	148596604	+	0.000	0.000	Merged-chr5-148596681-29
NR9386--MA0140.2.GATA1::TAL1	chr8	114879805	114879822	-	0.000	0.000	Merged-chr8-114879936-19
