#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR2734--MA1107.1.KLF9	chr1	127796459	127796471	-	0.000	0.000	Merged-chr1-127796546-56
NR52819--MA0493.1.Klf1	chr5	125016670	125016680	-	0.000	0.000	Merged-chr5-125016719-26
NR3010--MA0742.1.Klf12	chr1	135766473	135766487	-	0.000	0.000	Merged-chr1-135766283-55
NR47741--MA0740.1.KLF14	chr4	120288020	120288033	+	0.000	0.000	Merged-chr4-120287807-68
NR12191--MA1107.1.KLF9	chr11	99132667	99132679	-	0.000	0.000	Merged-chr11-99132520-18
NR32876--MA0741.1.KLF16	chr18	65322464	65322474	-	0.000	0.000	Merged-chr18-65322333-46
NR26661--MA0039.3.KLF4	chr16	45261509	45261519	+	0.000	0.000	Merged-chr16-45261551-46
NR6307--MA0599.1.KLF5	chr10	42699281	42699290	+	0.000	0.000	Merged-chr10-42699170-35
NR23681--MA0741.1.KLF16	chr15	53267152	53267162	+	0.000	0.000	Merged-chr15-53267286-91
NR24392--MA0741.1.KLF16	chr15	79729141	79729151	-	0.000	0.000	Merged-chr15-79729133-34
NR20239--MA1107.1.KLF9	chr14	32716938	32716950	+	0.000	0.000	Merged-chr14-32716978-71
NR47500--MA0599.1.KLF5	chr4	111414975	111414984	+	0.000	0.000	Merged-chr4-111415155-52
NR1207--MA0599.1.KLF5	chr1	60017019	60017028	+	0.000	0.000	Merged-chr1-60017133-4
NR12196--MA1107.1.KLF9	chr11	99132677	99132689	-	0.000	0.000	Merged-chr11-99132520-18
NR39426--MA0599.1.KLF5	chr2	153292589	153292598	+	0.000	0.000	Merged-chr2-153292567-49
NR24437--MA0741.1.KLF16	chr15	80192525	80192535	+	0.000	0.000	Merged-chr15-80192413-58
NR14255--MA1107.1.KLF9	chr12	59170021	59170033	+	0.000	0.000	Merged-chr12-59170039-43
NR6308--MA0741.1.KLF16	chr10	42699281	42699291	+	0.000	0.000	Merged-chr10-42699170-35
NR47733--MA0740.1.KLF14	chr4	120287784	120287797	-	0.000	0.000	Merged-chr4-120287807-68
NR49786--MA0039.3.KLF4	chr5	20845385	20845395	+	0.000	0.000	Merged-chr5-20845245-18
NR51713--MA0741.1.KLF16	chr5	96990704	96990714	-	0.000	0.000	Merged-chr5-96990741-12
NR60974--MA1107.1.KLF9	chr7	107659438	107659450	-	0.000	0.000	Merged-chr7-107659322-39
NR22943--MA0740.1.KLF14	chr15	25696039	25696052	-	0.000	0.000	Merged-chr15-25696018-37
NR33365--MA1107.1.KLF9	chr18	77743802	77743814	-	0.000	0.000	Merged-chr18-77743762-23
NR68113--MA1107.1.KLF9	chr9	114613220	114613232	-	0.000	0.000	Merged-chr9-114613191-38
NR47746--MA1107.1.KLF9	chr4	120288020	120288032	+	0.000	0.000	Merged-chr4-120287807-68
NR6766--MA0742.1.Klf12	chr10	61233349	61233363	+	0.000	0.000	Merged-chr10-61233317-40
NR47210--MA0599.1.KLF5	chr4	97996086	97996095	+	0.000	0.000	Merged-chr4-97996259-58
NR20756--MA0599.1.KLF5	chr14	52427889	52427898	+	0.000	0.000	Merged-chr14-52427807-17
NR15505--MA0741.1.KLF16	chr12	109438214	109438224	+	0.000	0.000	Merged-chr12-109438029-53
NR62766--MA0741.1.KLF16	chr8	34397997	34398007	+	0.000	0.000	Merged-chr8-34397971-66
NR4661--MA0599.1.KLF5	chr1	183987854	183987863	-	0.000	0.000	Merged-chr1-183987914-47
NR10175--MA0599.1.KLF5	chr11	24077526	24077535	-	0.000	0.000	Merged-chr11-24077473-13
NR14756--MA0740.1.KLF14	chr12	82165837	82165850	+	0.000	0.000	Merged-chr12-82165766-1
NR51946--MA0599.1.KLF5	chr5	105004713	105004722	-	0.000	0.000	Merged-chr5-105004765-44
NR58241--MA0599.1.KLF5	chr7	16001851	16001860	-	0.000	0.000	Merged-chr7-16001989-41
NR68267--MA0599.1.KLF5	chr9	119453529	119453538	-	0.000	0.000	Merged-chr9-119453486-15
NR12579--MA0599.1.KLF5	chr11	113174290	113174299	+	0.000	0.000	Merged-chr11-113174221-33
NR42884--MA0741.1.KLF16	chr3	100582914	100582924	-	0.000	0.000	Merged-chr3-100582913-18
NR36680--MA1107.1.KLF9	chr2	53051379	53051391	-	0.000	0.000	Merged-chr2-53051556-37
NR64005--MA1107.1.KLF9	chr8	81012386	81012398	+	0.000	0.000	Merged-chr8-81012350-63
NR68271--MA0493.1.Klf1	chr9	119453534	119453544	-	0.000	0.000	Merged-chr9-119453486-15
NR58013--MA0599.1.KLF5	chr7	4614259	4614268	-	0.000	0.000	Merged-chr7-4614138-46
NR51717--MA1107.1.KLF9	chr5	96990711	96990723	-	0.000	0.000	Merged-chr5-96990741-12
NR68112--MA0741.1.KLF16	chr9	114613221	114613231	-	0.000	0.000	Merged-chr9-114613191-38
NR26660--MA0599.1.KLF5	chr16	45261508	45261517	+	0.000	0.000	Merged-chr16-45261551-46
NR43441--MA1107.1.KLF9	chr3	121426490	121426502	-	0.000	0.000	Merged-chr3-121426726-98
NR52118--MA0740.1.KLF14	chr5	111039993	111040006	+	0.000	0.000	Merged-chr5-111039945-24
NR45873--MA0599.1.KLF5	chr4	42866051	42866060	+	0.000	0.000	Merged-chr4-42865977-16
NR53831--MA0599.1.KLF5	chr5	146974170	146974179	+	0.000	0.000	Merged-chr5-146974233-28
NR67903--MA0741.1.KLF16	chr9	107334666	107334676	+	0.000	0.000	Merged-chr9-107334469-86
NR1210--MA0741.1.KLF16	chr1	60017019	60017029	+	0.000	0.000	Merged-chr1-60017133-4
NR66706--MA0657.1.KLF13	chr9	61054673	61054690	-	0.000	0.000	Merged-chr9-61054632-26
NR29365--MA1107.1.KLF9	chr17	34287839	34287851	+	0.000	0.000	Merged-chr17-34287917-16
NR52430--MA0741.1.KLF16	chr5	115711885	115711895	-	0.000	0.000	Merged-chr5-115711698-1,Merged-chr5-115712054-77
NR43438--MA0493.1.Klf1	chr3	121426492	121426502	-	0.000	0.000	Merged-chr3-121426726-98
NR29926--MA0599.1.KLF5	chr17	52483867	52483876	+	0.000	0.000	Merged-chr17-52484066-25
NR20238--MA0741.1.KLF16	chr14	32716954	32716964	+	0.000	0.000	Merged-chr14-32716978-71
NR9583--MA0493.1.Klf1	chr10	128940596	128940606	-	0.000	0.000	Merged-chr10-128940717-41
NR52119--MA0657.1.KLF13	chr5	111039992	111040009	+	0.000	0.000	Merged-chr5-111039945-24
NR12401--MA0599.1.KLF5	chr11	104661460	104661469	-	0.000	0.000	Merged-chr11-104661475-50
NR64861--MA1107.1.KLF9	chr8	111967408	111967420	+	0.000	0.000	Merged-chr8-111967453-22
NR64937--MA0039.3.KLF4	chr8	116645533	116645543	-	0.000	0.000	Merged-chr8-116645599-31
NR60046--MA0493.1.Klf1	chr7	75486276	75486286	-	0.000	0.000	Merged-chr7-75486326-35
NR57299--MA0039.3.KLF4	chr6	134183959	134183969	+	0.000	0.000	Merged-chr6-134184108-53
NR14254--MA0493.1.Klf1	chr12	59170021	59170031	+	0.000	0.000	Merged-chr12-59170039-43
NR57792--MA1107.1.KLF9	chr6	144922865	144922877	-	0.000	0.000	Merged-chr6-144923057-24
NR13356--MA0742.1.Klf12	chr12	17511203	17511217	+	0.000	0.000	Merged-chr12-17511273-48
NR22592--MA1107.1.KLF9	chr14	123162942	123162954	+	0.000	0.000	Merged-chr14-123163033-38
NR44340--MA0742.1.Klf12	chr3	146004976	146004990	-	0.000	0.000	Merged-chr3-146004832-23
NR37644--MA0741.1.KLF16	chr2	91835255	91835265	+	0.000	0.000	Merged-chr2-91835374-51
NR13574--MA0742.1.Klf12	chr12	25958807	25958821	+	0.000	0.000	Merged-chr12-25958694-66
NR47736--MA0740.1.KLF14	chr4	120287852	120287865	-	0.000	0.000	Merged-chr4-120287807-68
NR15254--MA1107.1.KLF9	chr12	99610468	99610480	+	0.000	0.000	Merged-chr12-99610571-42
NR44344--MA0741.1.KLF16	chr3	146004979	146004989	-	0.000	0.000	Merged-chr3-146004832-23
NR23679--MA0599.1.KLF5	chr15	53267152	53267161	+	0.000	0.000	Merged-chr15-53267286-91
NR61033--MA0741.1.KLF16	chr7	110796452	110796462	-	0.000	0.000	Merged-chr7-110796429-1
NR56863--MA0741.1.KLF16	chr6	120206738	120206748	+	0.000	0.000	Merged-chr6-120206801-39
NR35682--MA1107.1.KLF9	chr2	21223018	21223030	-	0.000	0.000	Merged-chr2-21222970-39
NR34392--MA0599.1.KLF5	chr19	34505389	34505398	-	0.000	0.000	Merged-chr19-34505331-35
NR48979--MA0599.1.KLF5	chr4	150087551	150087560	-	0.000	0.000	Merged-chr4-150087480-81
NR61264--MA0741.1.KLF16	chr7	119860417	119860427	+	0.000	0.000	Merged-chr7-119860527-21
NR48631--MA0740.1.KLF14	chr4	140833014	140833027	-	0.000	0.000	Merged-chr4-140833040-18
NR66635--MA1107.1.KLF9	chr9	57647830	57647842	-	0.000	0.000	Merged-chr9-57647746-26
NR15508--MA0741.1.KLF16	chr12	109446512	109446522	-	0.000	0.000	Merged-chr12-109446341-43
NR41345--MA0493.1.Klf1	chr3	38280292	38280302	+	0.000	0.000	Merged-chr3-38280395-39
NR47737--MA0657.1.KLF13	chr4	120287849	120287866	-	0.000	0.000	Merged-chr4-120287807-68
NR20758--MA1107.1.KLF9	chr14	52427888	52427900	+	0.000	0.000	Merged-chr14-52427807-17
NR56861--MA0599.1.KLF5	chr6	120206733	120206742	+	0.000	0.000	Merged-chr6-120206801-39
NR68385--MA1107.1.KLF9	chr9	122271991	122272003	+	0.000	0.000	Merged-chr9-122271996-35
NR34248--MA1107.1.KLF9	chr19	25360720	25360732	-	0.000	0.000	Merged-chr19-25360847-26
NR52026--MA1107.1.KLF9	chr5	107926655	107926667	+	0.000	0.000	Merged-chr5-107926816-56
NR67250--MA0741.1.KLF16	chr9	83446123	83446133	+	0.000	0.000	Merged-chr9-83446152-4
NR49084--MA0740.1.KLF14	chr4	152130751	152130764	+	0.000	0.000	Merged-chr4-152130617-6
NR48634--MA0493.1.Klf1	chr4	140833017	140833027	-	0.000	0.000	Merged-chr4-140833040-18
NR24441--MA0741.1.KLF16	chr15	80192529	80192539	+	0.000	0.000	Merged-chr15-80192413-58
NR22402--MA0599.1.KLF5	chr14	120313645	120313654	+	0.000	0.000	Merged-chr14-120313531-118
NR49169--MA0493.1.Klf1	chr4	155050347	155050357	+	0.000	0.000	Merged-chr4-155050218-26
NR37214--MA0741.1.KLF16	chr2	72170731	72170741	+	0.000	0.000	Merged-chr2-72170854-84
NR65735--MA0657.1.KLF13	chr9	20610045	20610062	+	0.000	0.000	Merged-chr9-20609876-14
NR10671--MA0599.1.KLF5	chr11	54063288	54063297	-	0.000	0.000	Merged-chr11-54063198-57
NR13362--MA1107.1.KLF9	chr12	17511239	17511251	-	0.000	0.000	Merged-chr12-17511273-48
NR2730--MA1107.1.KLF9	chr1	127796443	127796455	-	0.000	0.000	Merged-chr1-127796546-56
NR1996--MA0741.1.KLF16	chr1	91095600	91095610	-	0.000	0.000	Merged-chr1-91095433-53
NR2718--MA0599.1.KLF5	chr1	127320230	127320239	+	0.000	0.000	Merged-chr1-127320105-13
NR40502--MA0493.1.Klf1	chr2	180256328	180256338	+	0.000	0.000	Merged-chr2-180256201-1
NR57298--MA0657.1.KLF13	chr6	134183956	134183973	+	0.000	0.000	Merged-chr6-134184108-53
NR6303--MA0599.1.KLF5	chr10	42699263	42699272	+	0.000	0.000	Merged-chr10-42699170-35
NR57396--MA0493.1.Klf1	chr6	136684095	136684105	+	0.000	0.000	Merged-chr6-136683885-26
NR2717--MA1107.1.KLF9	chr1	127320105	127320117	-	0.000	0.000	Merged-chr1-127320105-13
NR9585--MA1107.1.KLF9	chr10	128940594	128940606	-	0.000	0.000	Merged-chr10-128940717-41
NR2735--MA1107.1.KLF9	chr1	127796461	127796473	-	0.000	0.000	Merged-chr1-127796546-56
NR29364--MA0493.1.Klf1	chr17	34287839	34287849	+	0.000	0.000	Merged-chr17-34287917-16
NR12403--MA0741.1.KLF16	chr11	104661466	104661476	-	0.000	0.000	Merged-chr11-104661475-50
NR62770--MA0741.1.KLF16	chr8	34398001	34398011	+	0.000	0.000	Merged-chr8-34397971-66
NR12192--MA1107.1.KLF9	chr11	99132669	99132681	-	0.000	0.000	Merged-chr11-99132520-18
NR60559--MA0742.1.Klf12	chr7	92420555	92420569	-	0.000	0.000	Merged-chr7-92420666-38
NR1995--MA0493.1.Klf1	chr1	91095350	91095360	-	0.000	0.000	Merged-chr1-91095433-53
NR63927--MA0741.1.KLF16	chr8	76902242	76902252	+	0.000	0.000	Merged-chr8-76902143-41
NR5306--MA0039.3.KLF4	chr10	5448586	5448596	-	0.000	0.000	Merged-chr10-5448562-35
NR47501--MA0599.1.KLF5	chr4	111415072	111415081	+	0.000	0.000	Merged-chr4-111415155-52
NR15503--MA0740.1.KLF14	chr12	109438213	109438226	+	0.000	0.000	Merged-chr12-109438029-53
NR65824--MA1107.1.KLF9	chr9	21419887	21419899	-	0.000	0.000	Merged-chr9-21419783-26
NR13358--MA0039.3.KLF4	chr12	17511205	17511215	+	0.000	0.000	Merged-chr12-17511273-48
NR12197--MA1107.1.KLF9	chr11	99132679	99132691	-	0.000	0.000	Merged-chr11-99132520-18
NR44342--MA0039.3.KLF4	chr3	146004978	146004988	-	0.000	0.000	Merged-chr3-146004832-23
NR6769--MA0493.1.Klf1	chr10	61233349	61233359	+	0.000	0.000	Merged-chr10-61233317-40
NR66247--MA0039.3.KLF4	chr9	42423877	42423887	+	0.000	0.000	Merged-chr9-42423784-11
NR13166--MA0039.3.KLF4	chr12	8496612	8496622	+	0.000	0.000	Merged-chr12-8496481-10
NR47732--MA0741.1.KLF16	chr4	120287747	120287757	-	0.000	0.000	Merged-chr4-120287807-68
NR17760--MA0741.1.KLF16	chr13	75943476	75943486	-	0.000	0.000	Merged-chr13-75943546-39
NR47745--MA0741.1.KLF16	chr4	120288021	120288031	+	0.000	0.000	Merged-chr4-120287807-68
NR1206--MA0742.1.Klf12	chr1	60017018	60017032	+	0.000	0.000	Merged-chr1-60017133-4
NR67249--MA0493.1.Klf1	chr9	83446115	83446125	+	0.000	0.000	Merged-chr9-83446152-4
NR53587--MA0740.1.KLF14	chr5	140586796	140586809	+	0.000	0.000	Merged-chr5-140586794-18
NR64010--MA1107.1.KLF9	chr8	81012396	81012408	+	0.000	0.000	Merged-chr8-81012350-63
NR13165--MA0657.1.KLF13	chr12	8496609	8496626	+	0.000	0.000	Merged-chr12-8496481-10
NR62767--MA0741.1.KLF16	chr8	34397998	34398008	+	0.000	0.000	Merged-chr8-34397971-66
NR52123--MA0493.1.Klf1	chr5	111039993	111040003	+	0.000	0.000	Merged-chr5-111039945-24
NR65818--MA0742.1.Klf12	chr9	21419885	21419899	-	0.000	0.000	Merged-chr9-21419783-26
NR26740--MA1107.1.KLF9	chr16	48788726	48788738	-	0.000	0.000	Merged-chr16-48788871-49
NR68268--MA0599.1.KLF5	chr9	119453534	119453543	-	0.000	0.000	Merged-chr9-119453486-15
NR30238--MA0740.1.KLF14	chr17	64628987	64629000	-	0.000	0.000	Merged-chr17-64628994-21
NR21489--MA0741.1.KLF16	chr14	78619066	78619076	-	0.000	0.000	Merged-chr14-78619032-26
NR52821--MA1107.1.KLF9	chr5	125016668	125016680	-	0.000	0.000	Merged-chr5-125016719-26
NR43440--MA0741.1.KLF16	chr3	121426491	121426501	-	0.000	0.000	Merged-chr3-121426726-98
NR36681--MA1107.1.KLF9	chr2	53051381	53051393	-	0.000	0.000	Merged-chr2-53051556-37
NR64006--MA1107.1.KLF9	chr8	81012388	81012400	+	0.000	0.000	Merged-chr8-81012350-63
NR68272--MA0493.1.Klf1	chr9	119453539	119453549	-	0.000	0.000	Merged-chr9-119453486-15
NR51718--MA1107.1.KLF9	chr5	96990713	96990725	-	0.000	0.000	Merged-chr5-96990741-12
NR40499--MA0742.1.Klf12	chr2	180256328	180256342	+	0.000	0.000	Merged-chr2-180256201-1
NR22947--MA0741.1.KLF16	chr15	25696041	25696051	-	0.000	0.000	Merged-chr15-25696018-37
NR39428--MA0741.1.KLF16	chr2	153292589	153292599	+	0.000	0.000	Merged-chr2-153292567-49
NR5305--MA0599.1.KLF5	chr10	5448588	5448597	-	0.000	0.000	Merged-chr10-5448562-35
NR17759--MA0740.1.KLF14	chr13	75943474	75943487	-	0.000	0.000	Merged-chr13-75943546-39
NR20757--MA0741.1.KLF16	chr14	52427889	52427899	+	0.000	0.000	Merged-chr14-52427807-17
NR49086--MA1107.1.KLF9	chr4	152130739	152130751	+	0.000	0.000	Merged-chr4-152130617-6
NR22946--MA0493.1.Klf1	chr15	25696042	25696052	-	0.000	0.000	Merged-chr15-25696018-37
NR13357--MA0599.1.KLF5	chr12	17511204	17511213	+	0.000	0.000	Merged-chr12-17511273-48
NR56975--MA1107.1.KLF9	chr6	124898446	124898458	-	0.000	0.000	Merged-chr6-124898421-2
NR64280--MA0493.1.Klf1	chr8	91507632	91507642	-	0.000	0.000	Merged-chr8-91507766-35
NR62316--MA0599.1.KLF5	chr8	13974844	13974853	+	0.000	0.000	Merged-chr8-13974729-61
NR7402--MA0742.1.Klf12	chr10	79417249	79417263	+	0.000	0.000	Merged-chr10-79417442-89
NR41752--MA0741.1.KLF16	chr3	55419533	55419543	+	0.000	0.000	Merged-chr3-55419547-37
NR66474--MA0599.1.KLF5	chr9	50414321	50414330	+	0.000	0.000	Merged-chr9-50414250-13
NR32971--MA0741.1.KLF16	chr18	67255713	67255723	-	0.000	0.000	Merged-chr18-67255745-40
NR6770--MA1107.1.KLF9	chr10	61233349	61233361	+	0.000	0.000	Merged-chr10-61233317-40
NR30963--MA0599.1.KLF5	chr17	84336153	84336162	-	0.000	0.000	Merged-chr17-84336226-16
NR44341--MA0599.1.KLF5	chr3	146004980	146004989	-	0.000	0.000	Merged-chr3-146004832-23
NR16882--MA0599.1.KLF5	chr13	43785077	43785086	-	0.000	0.000	Merged-chr13-43785178-35
NR33509--MA0741.1.KLF16	chr18	82607558	82607568	+	0.000	0.000	Merged-chr18-82607647-23
NR34250--MA0741.1.KLF16	chr19	25360963	25360973	-	0.000	0.000	Merged-chr19-25360847-26
NR44672--MA0493.1.Klf1	chr3	152886787	152886797	+	0.000	0.000	Merged-chr3-152886887-20
NR58278--MA1107.1.KLF9	chr7	16197062	16197074	-	0.000	0.000	Merged-chr7-16196917-6
NR68178--MA0039.3.KLF4	chr9	116187830	116187840	-	0.000	0.000	Merged-chr9-116187633-9
NR45874--MA0493.1.Klf1	chr4	42866050	42866060	+	0.000	0.000	Merged-chr4-42865977-16
NR16887--MA0599.1.KLF5	chr13	44507131	44507140	+	0.000	0.000	Merged-chr13-44507226-54
NR58614--MA0742.1.Klf12	chr7	24482000	24482014	-	0.000	0.000	Merged-chr7-24481860-36
NR29927--MA0493.1.Klf1	chr17	52483866	52483876	+	0.000	0.000	Merged-chr17-52484066-25
NR61262--MA0740.1.KLF14	chr7	119860416	119860429	+	0.000	0.000	Merged-chr7-119860527-21
NR67899--MA0039.3.KLF4	chr9	107334441	107334451	+	0.000	0.000	Merged-chr9-107334469-86
NR67247--MA0599.1.KLF5	chr9	83446116	83446125	+	0.000	0.000	Merged-chr9-83446152-4
NR12402--MA0493.1.Klf1	chr11	104661460	104661470	-	0.000	0.000	Merged-chr11-104661475-50
NR32965--MA0599.1.KLF5	chr18	67212685	67212694	+	0.000	0.000	Merged-chr18-67212775-57
NR65738--MA1107.1.KLF9	chr9	20610046	20610058	+	0.000	0.000	Merged-chr9-20609876-14
NR39429--MA1107.1.KLF9	chr2	153292588	153292600	+	0.000	0.000	Merged-chr2-153292567-49
NR23222--MA1107.1.KLF9	chr15	36396290	36396302	+	0.000	0.000	Merged-chr15-36396472-80
NR64936--MA0740.1.KLF14	chr8	116645532	116645545	-	0.000	0.000	Merged-chr8-116645599-31
NR57243--MA1107.1.KLF9	chr6	131294132	131294144	-	0.000	0.000	Merged-chr6-131294237-12
NR35683--MA1107.1.KLF9	chr2	21223020	21223032	-	0.000	0.000	Merged-chr2-21222970-39
NR52125--MA1107.1.KLF9	chr5	111039993	111040005	+	0.000	0.000	Merged-chr5-111039945-24
NR47735--MA0741.1.KLF16	chr4	120287786	120287796	-	0.000	0.000	Merged-chr4-120287807-68
NR56497--MA0741.1.KLF16	chr6	108526406	108526416	+	0.000	0.000	Merged-chr6-108526296-8
NR51720--MA1107.1.KLF9	chr5	96990717	96990729	-	0.000	0.000	Merged-chr5-96990741-12
NR56498--MA1107.1.KLF9	chr6	108526411	108526423	+	0.000	0.000	Merged-chr6-108526296-8
NR40806--MA1107.1.KLF9	chr3	19662068	19662080	-	0.000	0.000	Merged-chr3-19662014-20
NR20234--MA0740.1.KLF14	chr14	32716953	32716966	+	0.000	0.000	Merged-chr14-32716978-71
NR46221--MA0039.3.KLF4	chr4	55343395	55343405	+	0.000	0.000	Merged-chr4-55343422-62
NR29520--MA0741.1.KLF16	chr17	36982672	36982682	+	0.000	0.000	Merged-chr17-36982659-16
NR51707--MA1107.1.KLF9	chr5	96919183	96919195	+	0.000	0.000	Merged-chr5-96919308-24
NR66636--MA1107.1.KLF9	chr9	57647832	57647844	-	0.000	0.000	Merged-chr9-57647746-26
NR6494--MA0039.3.KLF4	chr10	53461608	53461618	-	0.000	0.000	Merged-chr10-53461441-37
NR51712--MA0493.1.Klf1	chr5	96990705	96990715	-	0.000	0.000	Merged-chr5-96990741-12
NR49085--MA0599.1.KLF5	chr4	152130740	152130749	+	0.000	0.000	Merged-chr4-152130617-6
NR10178--MA1107.1.KLF9	chr11	24077536	24077548	-	0.000	0.000	Merged-chr11-24077473-13
NR56862--MA0599.1.KLF5	chr6	120206738	120206747	+	0.000	0.000	Merged-chr6-120206801-39
NR15509--MA0741.1.KLF16	chr12	109446513	109446523	-	0.000	0.000	Merged-chr12-109446341-43
NR43437--MA0599.1.KLF5	chr3	121426492	121426501	-	0.000	0.000	Merged-chr3-121426726-98
NR58613--MA0740.1.KLF14	chr7	24482001	24482014	-	0.000	0.000	Merged-chr7-24481860-36
NR64939--MA0741.1.KLF16	chr8	116645534	116645544	-	0.000	0.000	Merged-chr8-116645599-31
NR58244--MA1107.1.KLF9	chr7	16001849	16001861	-	0.000	0.000	Merged-chr7-16001989-41
NR22403--MA0599.1.KLF5	chr14	120313650	120313659	+	0.000	0.000	Merged-chr14-120313531-118
NR22948--MA1107.1.KLF9	chr15	25696040	25696052	-	0.000	0.000	Merged-chr15-25696018-37
NR67902--MA0741.1.KLF16	chr9	107334497	107334507	+	0.000	0.000	Merged-chr9-107334469-86
NR48765--MA0493.1.Klf1	chr4	145099969	145099979	-	0.000	0.000	Merged-chr4-145100023-41
NR53588--MA0741.1.KLF16	chr5	140586797	140586807	+	0.000	0.000	Merged-chr5-140586794-18
NR27857--MA0599.1.KLF5	chr16	91553970	91553979	+	0.000	0.000	Merged-chr16-91553850-20
NR2731--MA1107.1.KLF9	chr1	127796453	127796465	-	0.000	0.000	Merged-chr1-127796546-56
NR2736--MA0742.1.Klf12	chr1	127830371	127830385	+	0.000	0.000	Merged-chr1-127830460-48
NR1991--MA0493.1.Klf1	chr1	91095280	91095290	+	0.000	0.000	Merged-chr1-91095433-53
NR60045--MA0599.1.KLF5	chr7	75486276	75486285	-	0.000	0.000	Merged-chr7-75486326-35
NR30239--MA0741.1.KLF16	chr17	64628989	64628999	-	0.000	0.000	Merged-chr17-64628994-21
NR36601--MA0742.1.Klf12	chr2	49846311	49846325	+	0.000	0.000	Merged-chr2-49846316-44
NR6305--MA0741.1.KLF16	chr10	42699263	42699273	+	0.000	0.000	Merged-chr10-42699170-35
NR47730--MA0740.1.KLF14	chr4	120287745	120287758	-	0.000	0.000	Merged-chr4-120287807-68
NR22406--MA0741.1.KLF16	chr14	120313650	120313660	+	0.000	0.000	Merged-chr14-120313531-118
NR41343--MA0740.1.KLF14	chr3	38280292	38280305	+	0.000	0.000	Merged-chr3-38280395-39
NR48635--MA0741.1.KLF16	chr4	140833016	140833026	-	0.000	0.000	Merged-chr4-140833040-18
NR57826--MA0039.3.KLF4	chr6	146081187	146081197	-	0.000	0.000	Merged-chr6-146081045-99
NR12193--MA1107.1.KLF9	chr11	99132671	99132683	-	0.000	0.000	Merged-chr11-99132520-18
