#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR2351--MA0002.2.RUNX1	chr12	71294802	71294812	+	0.000	0.000	Merged-chr12-71294636-41
NR6107--MA0511.2.RUNX2	chr2	93411436	93411444	-	0.000	0.000	Merged-chr2-93411481-30
NR9988--MA0511.2.RUNX2	chr8	46420600	46420608	+	0.000	0.000	Merged-chr8-46420639-16
NR3236--MA0684.1.RUNX3	chr13	108527451	108527460	-	0.000	0.000	Merged-chr13-108527257-30
NR1251--MA0684.1.RUNX3	chr10	90981734	90981743	+	0.000	0.000	Merged-chr10-90981841-14
NR884--MA0684.1.RUNX3	chr1	193146437	193146446	+	0.000	0.000	Merged-chr1-193146532-29
NR7092--MA0511.2.RUNX2	chr3	144232151	144232159	-	0.000	0.000	Merged-chr3-144232172-58
NR7787--MA0002.2.RUNX1	chr4	154936711	154936721	-	0.000	0.000	Merged-chr4-154936813-27
NR6391--MA0002.2.RUNX1	chr2	158323021	158323031	+	0.000	0.000	Merged-chr2-158323146-37
NR1051--MA0511.2.RUNX2	chr10	56486719	56486727	+	0.000	0.000	Merged-chr10-56486689-18
NR9066--MA0002.2.RUNX1	chr6	134700987	134700997	+	0.000	0.000	Merged-chr6-134700850-79
NR1379--MA0002.2.RUNX1	chr10	116914010	116914020	-	0.000	0.000	Merged-chr10-116914032-56
NR900--MA0511.2.RUNX2	chr10	4632282	4632290	-	0.000	0.000	Merged-chr10-4632472-72
NR704--MA0684.1.RUNX3	chr1	172197313	172197322	-	0.000	0.000	Merged-chr1-172197316-25
NR1052--MA0684.1.RUNX3	chr10	56486719	56486728	+	0.000	0.000	Merged-chr10-56486689-18
NR10492--MA0511.2.RUNX2	chr9	48562593	48562601	-	0.000	0.000	Merged-chr9-48562670-30
NR8510--MA0002.2.RUNX1	chr6	28878170	28878180	-	0.000	0.000	Merged-chr6-28878211-33
NR4991--MA0511.2.RUNX2	chr17	79394210	79394218	-	0.000	0.000	Merged-chr17-79394145-31
NR2864--MA0002.2.RUNX1	chr13	34914836	34914846	+	0.000	0.000	Merged-chr13-34914852-26
NR6913--MA0511.2.RUNX2	chr3	116200195	116200203	-	0.000	0.000	Merged-chr3-116200281-40
NR4244--MA0002.2.RUNX1	chr16	22526576	22526586	+	0.000	0.000	Merged-chr16-22526487-34
NR2315--MA0511.2.RUNX2	chr12	55466581	55466589	+	0.000	0.000	Merged-chr12-55466597-41
NR3873--MA0002.2.RUNX1	chr15	38535574	38535584	-	0.000	0.000	Merged-chr15-38535554-39
NR1910--MA0511.2.RUNX2	chr11	85324193	85324201	-	0.000	0.000	Merged-chr11-85324179-42
NR6914--MA0684.1.RUNX3	chr3	116200194	116200203	-	0.000	0.000	Merged-chr3-116200281-40
NR6895--MA0684.1.RUNX3	chr3	109740742	109740751	+	0.000	0.000	Merged-chr3-109740806-11
NR4053--MA0002.2.RUNX1	chr15	85233150	85233160	-	0.000	0.000	Merged-chr15-85233310-62
NR8479--MA0684.1.RUNX3	chr6	5997677	5997686	+	0.000	0.000	Merged-chr6-5997718-16
NR3831--MA0002.2.RUNX1	chr15	27668286	27668296	+	0.000	0.000	Merged-chr15-27668249-55
NR9993--MA0684.1.RUNX3	chr8	46420692	46420701	-	0.000	0.000	Merged-chr8-46420639-16
NR9985--MA0684.1.RUNX3	chr8	41334318	41334327	-	0.000	0.000	Merged-chr8-41334366-24
NR10898--MA0002.2.RUNX1	chr9	110907689	110907699	-	0.000	0.000	Merged-chr9-110907689-47
NR259--MA0002.2.RUNX1	chr1	78538556	78538566	+	0.000	0.000	Merged-chr1-78538536-20
NR3815--MA0002.2.RUNX1	chr15	18951817	18951827	+	0.000	0.000	Merged-chr15-18951851-25
NR10820--MA0511.2.RUNX2	chr9	96953706	96953714	-	0.000	0.000	Merged-chr9-96953731-26
NR258--MA0684.1.RUNX3	chr1	78537715	78537724	+	0.000	0.000	Merged-chr1-78537773-101
NR6900--MA0002.2.RUNX1	chr3	115642817	115642827	+	0.000	0.000	Merged-chr3-115642696-110
NR10572--MA0002.2.RUNX1	chr9	61715133	61715143	+	0.000	0.000	Merged-chr9-61715160-12
NR1224--MA0002.2.RUNX1	chr10	86795037	86795047	+	0.000	0.000	Merged-chr10-86794881-42
NR8478--MA0002.2.RUNX1	chr6	5997677	5997687	-	0.000	0.000	Merged-chr6-5997718-16
NR1381--MA0002.2.RUNX1	chr10	117118607	117118617	-	0.000	0.000	Merged-chr10-117118585-40
NR9984--MA0002.2.RUNX1	chr8	41334317	41334327	+	0.000	0.000	Merged-chr8-41334366-24
NR1380--MA0684.1.RUNX3	chr10	116914010	116914019	+	0.000	0.000	Merged-chr10-116914032-56
NR4370--MA0002.2.RUNX1	chr16	48594584	48594594	-	0.000	0.000	Merged-chr16-48594719-53
NR5352--MA0002.2.RUNX1	chr18	79297926	79297936	-	0.000	0.000	Merged-chr18-79298014-36
NR9989--MA0002.2.RUNX1	chr8	46420600	46420610	-	0.000	0.000	Merged-chr8-46420639-16
NR2830--MA0684.1.RUNX3	chr13	24866804	24866813	+	0.000	0.000	Merged-chr13-24866887-32
NR5221--MA0684.1.RUNX3	chr18	49721779	49721788	+	0.000	0.000	Merged-chr18-49721855-41
NR5966--MA0511.2.RUNX2	chr2	65871110	65871118	-	0.000	0.000	Merged-chr2-65871141-19
NR3872--MA0511.2.RUNX2	chr15	38535574	38535582	+	0.000	0.000	Merged-chr15-38535554-39
NR702--MA0511.2.RUNX2	chr1	172197314	172197322	-	0.000	0.000	Merged-chr1-172197316-25
NR10701--MA0511.2.RUNX2	chr9	80313776	80313784	-	0.000	0.000	Merged-chr9-80313733-27
NR10867--MA0002.2.RUNX1	chr9	105689681	105689691	+	0.000	0.000	Merged-chr9-105689631-24
NR201--MA0684.1.RUNX3	chr1	61046401	61046410	-	0.000	0.000	Merged-chr1-61046287-60
NR5967--MA0684.1.RUNX3	chr2	65871109	65871118	-	0.000	0.000	Merged-chr2-65871141-19
NR3648--MA0002.2.RUNX1	chr14	75444779	75444789	+	0.000	0.000	Merged-chr14-75444835-23
NR8272--MA0002.2.RUNX1	chr5	118710115	118710125	+	0.000	0.000	Merged-chr5-118710096-15
NR1064--MA0684.1.RUNX3	chr10	58480391	58480400	+	0.000	0.000	Merged-chr10-58480234-23
NR7457--MA0002.2.RUNX1	chr4	98282548	98282558	+	0.000	0.000	Merged-chr4-98282479-46
NR10897--MA0511.2.RUNX2	chr9	110907689	110907697	+	0.000	0.000	Merged-chr9-110907689-47
NR6893--MA0511.2.RUNX2	chr3	109740742	109740750	+	0.000	0.000	Merged-chr3-109740806-11
NR6392--MA0684.1.RUNX3	chr2	158323022	158323031	-	0.000	0.000	Merged-chr2-158323146-37
NR2829--MA0511.2.RUNX2	chr13	24866804	24866812	+	0.000	0.000	Merged-chr13-24866887-32
NR1911--MA0002.2.RUNX1	chr11	85324191	85324201	+	0.000	0.000	Merged-chr11-85324179-42
NR11080--MA0002.2.RUNX1	chrX	52679311	52679321	-	0.000	0.000	Merged-chrX-52679336-26
NR256--MA0511.2.RUNX2	chr1	78537715	78537723	+	0.000	0.000	Merged-chr1-78537773-101
NR5993--MA0002.2.RUNX1	chr2	70425864	70425874	+	0.000	0.000	Merged-chr2-70425902-24
NR6988--MA0002.2.RUNX1	chr3	132791318	132791328	-	0.000	0.000	Merged-chr3-132791387-40
NR2865--MA0684.1.RUNX3	chr13	34914837	34914846	-	0.000	0.000	Merged-chr13-34914852-26
NR9956--MA0002.2.RUNX1	chr8	34120821	34120831	+	0.000	0.000	Merged-chr8-34120698-35
NR10821--MA0002.2.RUNX1	chr9	96953704	96953714	+	0.000	0.000	Merged-chr9-96953731-26
NR4245--MA0684.1.RUNX3	chr16	22526577	22526586	-	0.000	0.000	Merged-chr16-22526487-34
NR9630--MA0002.2.RUNX1	chr7	112918451	112918461	-	0.000	0.000	Merged-chr7-112918407-20
NR9990--MA0684.1.RUNX3	chr8	46420600	46420609	+	0.000	0.000	Merged-chr8-46420639-16
NR3874--MA0684.1.RUNX3	chr15	38535574	38535583	+	0.000	0.000	Merged-chr15-38535554-39
NR3235--MA0002.2.RUNX1	chr13	108527450	108527460	+	0.000	0.000	Merged-chr13-108527257-30
NR883--MA0002.2.RUNX1	chr1	193146437	193146447	-	0.000	0.000	Merged-chr1-193146532-29
NR901--MA0684.1.RUNX3	chr10	4632281	4632290	-	0.000	0.000	Merged-chr10-4632472-72
NR3832--MA0684.1.RUNX3	chr15	27668287	27668296	-	0.000	0.000	Merged-chr15-27668249-55
NR9181--MA0002.2.RUNX1	chr6	146005518	146005528	-	0.000	0.000	Merged-chr6-146005521-31
NR10493--MA0684.1.RUNX3	chr9	48562592	48562601	-	0.000	0.000	Merged-chr9-48562670-30
NR1062--MA0511.2.RUNX2	chr10	58480391	58480399	+	0.000	0.000	Merged-chr10-58480234-23
NR3179--MA0002.2.RUNX1	chr13	101713878	101713888	+	0.000	0.000	Merged-chr13-101713890-21
