#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed
NR4228--MA0036.3.GATA2	chr17	3209753	3209763	+	0.000	0.000	Merged-chr17-3209784-17
NR7567--MA0482.1.Gata4	chr5	71903684	71903694	+	0.000	0.000	Merged-chr5-71903621-28
NR1880--MA0036.3.GATA2	chr12	25013044	25013054	+	0.000	0.000	Merged-chr12-25013214-16
NR6162--MA0140.2.GATA1::TAL1	chr3	68967463	68967480	-	0.000	0.000	Merged-chr3-68967303-47
NR6161--MA0035.3.Gata1	chr3	68967472	68967482	-	0.000	0.000	Merged-chr3-68967303-47
NR4000--MA0482.1.Gata4	chr16	57319937	57319947	-	0.000	0.000	Merged-chr16-57319907-20
NR6541--MA0035.3.Gata1	chr3	146127389	146127399	+	0.000	0.000	Merged-chr3-146127552-12
NR273--MA1104.1.GATA6	chr1	69331722	69331734	+	0.000	0.000	Merged-chr1-69331775-34
NR2188--MA0140.2.GATA1::TAL1	chr12	91065612	91065629	+	0.000	0.000	Merged-chr12-91065547-31
NR9931--MA0035.3.Gata1	chrX	153375287	153375297	+	0.000	0.000	Merged-chrX-153375365-26
NR2184--MA0482.1.Gata4	chr12	91065611	91065621	+	0.000	0.000	Merged-chr12-91065547-31
NR6237--MA0766.1.GATA5	chr3	84461171	84461178	+	0.000	0.000	Merged-chr3-84461060-54
NR4757--MA0035.3.Gata1	chr18	46013366	46013376	-	0.000	0.000	Merged-chr18-46013388-48
NR2187--MA0035.3.Gata1	chr12	91065610	91065620	+	0.000	0.000	Merged-chr12-91065547-31
NR6665--MA0482.1.Gata4	chr4	10770161	10770171	-	0.000	0.000	Merged-chr4-10770192-53
NR9941--MA0766.1.GATA5	chrX	166329313	166329320	-	0.000	0.000	Merged-chrX-166329162-24
NR6288--MA0035.3.Gata1	chr3	100558467	100558477	+	0.000	0.000	Merged-chr3-100558458-49
NR7571--MA0035.3.Gata1	chr5	71903683	71903693	+	0.000	0.000	Merged-chr5-71903621-28
NR3542--MA0037.3.GATA3	chr15	36440115	36440122	+	0.000	0.000	Merged-chr15-36440213-15
NR4001--MA1104.1.GATA6	chr16	57319937	57319949	+	0.000	0.000	Merged-chr16-57319907-20
NR4574--MA0035.3.Gata1	chr17	86038314	86038324	+	0.000	0.000	Merged-chr17-86038391-20
NR8484--MA1104.1.GATA6	chr6	140817123	140817135	+	0.000	0.000	Merged-chr6-140817043-66
NR7791--MA0140.2.GATA1::TAL1	chr5	149392270	149392287	-	0.000	0.000	Merged-chr5-149392157-30
NR8337--MA0482.1.Gata4	chr6	127474041	127474051	-	0.000	0.000	Merged-chr6-127474146-19
NR1681--MA0036.3.GATA2	chr11	75282788	75282798	+	0.000	0.000	Merged-chr11-75282753-54
NR262--MA0482.1.Gata4	chr1	66987717	66987727	+	0.000	0.000	Merged-chr1-66987794-41
NR3122--MA0036.3.GATA2	chr14	46578325	46578335	-	0.000	0.000	Merged-chr14-46578431-37
NR8638--MA1104.1.GATA6	chr7	24451977	24451989	+	0.000	0.000	Merged-chr7-24452185-33
NR2185--MA1104.1.GATA6	chr12	91065609	91065621	-	0.000	0.000	Merged-chr12-91065547-31
NR6235--MA0482.1.Gata4	chr3	84461168	84461178	-	0.000	0.000	Merged-chr3-84461060-54
NR6666--MA1104.1.GATA6	chr4	10770161	10770173	+	0.000	0.000	Merged-chr4-10770192-53
NR9763--MA0766.1.GATA5	chr9	110461309	110461316	-	0.000	0.000	Merged-chr9-110461339-53
NR6238--MA0035.3.Gata1	chr3	84461169	84461179	-	0.000	0.000	Merged-chr3-84461060-54
NR8338--MA1104.1.GATA6	chr6	127474041	127474053	+	0.000	0.000	Merged-chr6-127474146-19
NR9484--MA0766.1.GATA5	chr9	13536930	13536937	+	0.000	0.000	Merged-chr9-13536890-20
NR3664--MA0035.3.Gata1	chr15	63989731	63989741	-	0.000	0.000	Merged-chr15-63989879-13
NR1755--MA0482.1.Gata4	chr11	106430743	106430753	+	0.000	0.000	Merged-chr11-106430638-37
NR1797--MA0766.1.GATA5	chr12	3989940	3989947	+	0.000	0.000	Merged-chr12-3989980-1
NR9721--MA0766.1.GATA5	chr9	90301326	90301333	-	0.000	0.000	Merged-chr9-90301276-26
NR1753--MA0036.3.GATA2	chr11	106057069	106057079	+	0.000	0.000	Merged-chr11-106057103-42
NR7071--MA0140.2.GATA1::TAL1	chr4	107989070	107989087	-	0.000	0.000	Merged-chr4-107989218-22
NR5602--MA0036.3.GATA2	chr2	132292254	132292264	-	0.000	0.000	Merged-chr2-132292299-25
NR3417--MA0035.3.Gata1	chr14	122788394	122788404	-	0.000	0.000	Merged-chr14-122788282-21
NR1898--MA0766.1.GATA5	chr12	28589598	28589605	-	0.000	0.000	Merged-chr12-28589573-34
NR4631--MA0037.3.GATA3	chr18	6484970	6484977	-	0.000	0.000	Merged-chr18-6484878-33
NR4226--MA0482.1.Gata4	chr17	3209754	3209764	+	0.000	0.000	Merged-chr17-3209784-17
NR9729--MA0036.3.GATA2	chr9	92274453	92274463	+	0.000	0.000	Merged-chr9-92274591-56
NR5142--MA0482.1.Gata4	chr2	13132683	13132693	-	0.000	0.000	Merged-chr2-13132891-60
NR1756--MA1104.1.GATA6	chr11	106430741	106430753	-	0.000	0.000	Merged-chr11-106430638-37
NR7762--MA0140.2.GATA1::TAL1	chr5	140208921	140208938	-	0.000	0.000	Merged-chr5-140208912-49
NR4229--MA0035.3.Gata1	chr17	3209753	3209763	+	0.000	0.000	Merged-chr17-3209784-17
NR9928--MA0482.1.Gata4	chrX	153375288	153375298	+	0.000	0.000	Merged-chrX-153375365-26
NR6664--MA0037.3.GATA3	chr4	10770164	10770171	+	0.000	0.000	Merged-chr4-10770192-53
NR9766--MA0482.1.Gata4	chr9	112174907	112174917	-	0.000	0.000	Merged-chr9-112174843-101
NR7210--MA0766.1.GATA5	chr4	150517582	150517589	-	0.000	0.000	Merged-chr4-150517532-35
NR9722--MA0035.3.Gata1	chr9	90301325	90301335	+	0.000	0.000	Merged-chr9-90301276-26
NR9634--MA0036.3.GATA2	chr9	78024980	78024990	+	0.000	0.000	Merged-chr9-78024957-31
NR611--MA0482.1.Gata4	chr1	143202524	143202534	-	0.000	0.000	Merged-chr1-143202432-31
NR7573--MA0140.2.GATA1::TAL1	chr5	74260785	74260802	+	0.000	0.000	Merged-chr5-74260801-106
NR4227--MA1104.1.GATA6	chr17	3209752	3209764	-	0.000	0.000	Merged-chr17-3209784-17
NR1899--MA0035.3.Gata1	chr12	28589597	28589607	+	0.000	0.000	Merged-chr12-28589573-34
NR7786--MA0482.1.Gata4	chr5	149392278	149392288	-	0.000	0.000	Merged-chr5-149392157-30
NR6542--MA0035.3.Gata1	chr3	146192716	146192726	-	0.000	0.000	Merged-chr3-146192596-55
NR6297--MA0140.2.GATA1::TAL1	chr3	107100165	107100182	-	0.000	0.000	Merged-chr3-107100029-42
NR8602--MA0035.3.Gata1	chr7	12987629	12987639	-	0.000	0.000	Merged-chr7-12987633-12
NR9929--MA1104.1.GATA6	chrX	153375286	153375298	-	0.000	0.000	Merged-chrX-153375365-26
NR7717--MA0766.1.GATA5	chr5	129524686	129524693	+	0.000	0.000	Merged-chr5-129524684-34
NR6672--MA0036.3.GATA2	chr4	11404220	11404230	+	0.000	0.000	Merged-chr4-11404244-13
NR9344--MA0766.1.GATA5	chr8	107164414	107164421	-	0.000	0.000	Merged-chr8-107164486-19
NR9838--MA0482.1.Gata4	chrX	17590884	17590894	+	0.000	0.000	Merged-chrX-17590800-11
NR4633--MA0766.1.GATA5	chr18	6484970	6484977	-	0.000	0.000	Merged-chr18-6484878-33
NR3659--MA0035.3.Gata1	chr15	61438673	61438683	-	0.000	0.000	Merged-chr15-61438700-21
NR4324--MA0140.2.GATA1::TAL1	chr17	17636257	17636274	-	0.000	0.000	Merged-chr17-17636367-22
NR7787--MA1104.1.GATA6	chr5	149392278	149392290	+	0.000	0.000	Merged-chr5-149392157-30
NR4955--MA0035.3.Gata1	chr18	75322353	75322363	+	0.000	0.000	Merged-chr18-75322404-42
NR274--MA0035.3.Gata1	chr1	69331723	69331733	-	0.000	0.000	Merged-chr1-69331775-34
NR3050--MA0140.2.GATA1::TAL1	chr14	25481178	25481195	-	0.000	0.000	Merged-chr14-25481230-34
NR133--MA0482.1.Gata4	chr1	35653567	35653577	-	0.000	0.000	Merged-chr1-35653441-55
NR266--MA0035.3.Gata1	chr1	66987716	66987726	+	0.000	0.000	Merged-chr1-66987794-41
NR8599--MA0037.3.GATA3	chr7	12987631	12987638	+	0.000	0.000	Merged-chr7-12987633-12
NR664--MA0766.1.GATA5	chr1	151973294	151973301	+	0.000	0.000	Merged-chr1-151973357-25
NR2803--MA0140.2.GATA1::TAL1	chr13	95393443	95393460	+	0.000	0.000	Merged-chr13-95393533-22
NR4953--MA1104.1.GATA6	chr18	75322352	75322364	-	0.000	0.000	Merged-chr18-75322404-42
NR7046--MA0035.3.Gata1	chr4	101217307	101217317	-	0.000	0.000	Merged-chr4-101217167-64
NR8936--MA0766.1.GATA5	chr7	113419587	113419594	+	0.000	0.000	Merged-chr7-113419557-35
NR4957--MA0766.1.GATA5	chr18	75419639	75419646	+	0.000	0.000	Merged-chr18-75419579-57
NR1881--MA0766.1.GATA5	chr12	25013045	25013052	-	0.000	0.000	Merged-chr12-25013214-16
NR6524--MA0140.2.GATA1::TAL1	chr3	144261073	144261090	-	0.000	0.000	Merged-chr3-144261016-37
NR9823--MA0140.2.GATA1::TAL1	chrX	7570940	7570957	-	0.000	0.000	Merged-chrX-7570919-6
NR9821--MA0036.3.GATA2	chrX	7570949	7570959	-	0.000	0.000	Merged-chrX-7570919-6
NR364--MA0766.1.GATA5	chr1	88578424	88578431	+	0.000	0.000	Merged-chr1-88578300-28
NR9930--MA0036.3.GATA2	chrX	153375287	153375297	+	0.000	0.000	Merged-chrX-153375365-26
NR4002--MA0036.3.GATA2	chr16	57319938	57319948	-	0.000	0.000	Merged-chr16-57319907-20
NR7206--MA0037.3.GATA3	chr4	150517582	150517589	-	0.000	0.000	Merged-chr4-150517532-35
NR7044--MA1104.1.GATA6	chr4	101217306	101217318	+	0.000	0.000	Merged-chr4-101217167-64
NR610--MA0037.3.GATA3	chr1	143202527	143202534	+	0.000	0.000	Merged-chr1-143202432-31
NR2170--MA0766.1.GATA5	chr12	89719512	89719519	+	0.000	0.000	Merged-chr12-89719457-81
NR7785--MA0037.3.GATA3	chr5	149392281	149392288	+	0.000	0.000	Merged-chr5-149392157-30
NR4632--MA1104.1.GATA6	chr18	6484968	6484980	-	0.000	0.000	Merged-chr18-6484878-33
NR4756--MA0036.3.GATA2	chr18	46013366	46013376	-	0.000	0.000	Merged-chr18-46013388-48
NR2186--MA0036.3.GATA2	chr12	91065610	91065620	+	0.000	0.000	Merged-chr12-91065547-31
NR6287--MA0036.3.GATA2	chr3	100558467	100558477	+	0.000	0.000	Merged-chr3-100558458-49
NR6667--MA0036.3.GATA2	chr4	10770162	10770172	-	0.000	0.000	Merged-chr4-10770192-53
NR8937--MA0035.3.Gata1	chr7	113419585	113419595	-	0.000	0.000	Merged-chr7-113419557-35
NR1882--MA0035.3.Gata1	chr12	25013044	25013054	+	0.000	0.000	Merged-chr12-25013214-16
NR8339--MA0036.3.GATA2	chr6	127474042	127474052	-	0.000	0.000	Merged-chr6-127474146-19
NR2168--MA1104.1.GATA6	chr12	89719509	89719521	+	0.000	0.000	Merged-chr12-89719457-81
NR1111--MA0140.2.GATA1::TAL1	chr10	62590405	62590422	+	0.000	0.000	Merged-chr10-62590420-43
NR8908--MA0035.3.Gata1	chr7	109951589	109951599	-	0.000	0.000	Merged-chr7-109951636-55
NR1601--MA0035.3.Gata1	chr11	32162425	32162435	+	0.000	0.000	Merged-chr11-32162378-27
NR9343--MA0036.3.GATA2	chr8	107164413	107164423	+	0.000	0.000	Merged-chr8-107164486-19
NR5323--MA0140.2.GATA1::TAL1	chr2	59469819	59469836	+	0.000	0.000	Merged-chr2-59469655-1
NR4956--MA0037.3.GATA3	chr18	75419639	75419646	+	0.000	0.000	Merged-chr18-75419579-57
NR5322--MA0035.3.Gata1	chr2	59469817	59469827	+	0.000	0.000	Merged-chr2-59469655-1
NR3642--MA0035.3.Gata1	chr15	56046943	56046953	+	0.000	0.000	Merged-chr15-56047041-38
NR1754--MA0766.1.GATA5	chr11	106057070	106057077	-	0.000	0.000	Merged-chr11-106057103-42
NR1757--MA0036.3.GATA2	chr11	106430742	106430752	+	0.000	0.000	Merged-chr11-106430638-37
NR6157--MA0482.1.Gata4	chr3	68967471	68967481	-	0.000	0.000	Merged-chr3-68967303-47
NR5641--MA0035.3.Gata1	chr2	135966825	135966835	-	0.000	0.000	Merged-chr2-135966695-1
NR6537--MA0482.1.Gata4	chr3	146127390	146127400	+	0.000	0.000	Merged-chr3-146127552-12
NR5320--MA1104.1.GATA6	chr2	59469816	59469828	-	0.000	0.000	Merged-chr2-59469655-1
NR4758--MA0140.2.GATA1::TAL1	chr18	46013357	46013374	-	0.000	0.000	Merged-chr18-46013388-48
NR5144--MA0035.3.Gata1	chr2	13132684	13132694	-	0.000	0.000	Merged-chr2-13132891-60
NR7570--MA0766.1.GATA5	chr5	71903684	71903691	-	0.000	0.000	Merged-chr5-71903621-28
NR9768--MA0035.3.Gata1	chr9	112174908	112174918	-	0.000	0.000	Merged-chr9-112174843-101
NR663--MA0036.3.GATA2	chr1	151973292	151973302	-	0.000	0.000	Merged-chr1-151973357-25
NR3857--MA0035.3.Gata1	chr16	23270683	23270693	-	0.000	0.000	Merged-chr16-23270651-14
NR7716--MA0482.1.Gata4	chr5	129524683	129524693	-	0.000	0.000	Merged-chr5-129524684-34
NR9786--MA0766.1.GATA5	chr9	116187539	116187546	-	0.000	0.000	Merged-chr9-116187633-9
NR1895--MA0482.1.Gata4	chr12	28589598	28589608	+	0.000	0.000	Merged-chr12-28589573-34
NR2166--MA0037.3.GATA3	chr12	89719512	89719519	+	0.000	0.000	Merged-chr12-89719457-81
NR5055--MA0140.2.GATA1::TAL1	chr19	32926371	32926388	-	0.000	0.000	Merged-chr19-32926300-25
NR6158--MA1104.1.GATA6	chr3	68967471	68967483	+	0.000	0.000	Merged-chr3-68967303-47
NR613--MA0035.3.Gata1	chr1	143202525	143202535	-	0.000	0.000	Merged-chr1-143202432-31
NR6538--MA1104.1.GATA6	chr3	146127388	146127400	-	0.000	0.000	Merged-chr3-146127552-12
NR9822--MA0035.3.Gata1	chrX	7570949	7570959	-	0.000	0.000	Merged-chrX-7570919-6
NR1279--MA0035.3.Gata1	chr10	96201432	96201442	-	0.000	0.000	Merged-chr10-96201472-66
NR3663--MA0482.1.Gata4	chr15	63989730	63989740	-	0.000	0.000	Merged-chr15-63989879-13
NR9635--MA0766.1.GATA5	chr9	78024981	78024988	-	0.000	0.000	Merged-chr9-78024957-31
NR9587--MA0482.1.Gata4	chr9	48538517	48538527	-	0.000	0.000	Merged-chr9-48538454-59
NR363--MA0036.3.GATA2	chr1	88578422	88578432	-	0.000	0.000	Merged-chr1-88578300-28
NR7209--MA0036.3.GATA2	chr4	150517581	150517591	+	0.000	0.000	Merged-chr4-150517532-35
NR3416--MA0482.1.Gata4	chr14	122788393	122788403	-	0.000	0.000	Merged-chr14-122788282-21
NR1896--MA1104.1.GATA6	chr12	28589596	28589608	-	0.000	0.000	Merged-chr12-28589573-34
NR9820--MA1104.1.GATA6	chrX	7570948	7570960	+	0.000	0.000	Merged-chrX-7570919-6
NR1277--MA1104.1.GATA6	chr10	96201431	96201443	+	0.000	0.000	Merged-chr10-96201472-66
NR7788--MA0036.3.GATA2	chr5	149392279	149392289	-	0.000	0.000	Merged-chr5-149392157-30
NR7568--MA1104.1.GATA6	chr5	71903682	71903694	-	0.000	0.000	Merged-chr5-71903621-28
NR6673--MA0766.1.GATA5	chr4	11404221	11404228	-	0.000	0.000	Merged-chr4-11404244-13
NR7998--MA0035.3.Gata1	chr6	54078339	54078349	-	0.000	0.000	Merged-chr6-54078374-21
NR3233--MA0482.1.Gata4	chr14	86682008	86682018	+	0.000	0.000	Merged-chr14-86682000-52
NR9938--MA0482.1.Gata4	chrX	166329313	166329323	+	0.000	0.000	Merged-chrX-166329162-24
NR3546--MA0766.1.GATA5	chr15	36440115	36440122	+	0.000	0.000	Merged-chr15-36440213-15
NR9588--MA1104.1.GATA6	chr9	48538517	48538529	+	0.000	0.000	Merged-chr9-48538454-59
NR3498--MA0482.1.Gata4	chr15	25269748	25269758	-	0.000	0.000	Merged-chr15-25269773-79
NR7212--MA0140.2.GATA1::TAL1	chr4	150517583	150517600	+	0.000	0.000	Merged-chr4-150517532-35
NR3658--MA0036.3.GATA2	chr15	61438673	61438683	-	0.000	0.000	Merged-chr15-61438700-21
NR5319--MA0482.1.Gata4	chr2	59469818	59469828	+	0.000	0.000	Merged-chr2-59469655-1
NR9341--MA0482.1.Gata4	chr8	107164414	107164424	+	0.000	0.000	Merged-chr8-107164486-19
NR697--MA0766.1.GATA5	chr1	161309589	161309596	-	0.000	0.000	Merged-chr1-161309457-43
NR4954--MA0036.3.GATA2	chr18	75322353	75322363	+	0.000	0.000	Merged-chr18-75322404-42
NR135--MA0035.3.Gata1	chr1	35653568	35653578	-	0.000	0.000	Merged-chr1-35653441-55
NR6536--MA0037.3.GATA3	chr3	146127390	146127397	-	0.000	0.000	Merged-chr3-146127552-12
NR6671--MA0482.1.Gata4	chr4	11404221	11404231	+	0.000	0.000	Merged-chr4-11404244-13
NR9939--MA1104.1.GATA6	chrX	166329311	166329323	-	0.000	0.000	Merged-chrX-166329162-24
NR5638--MA0482.1.Gata4	chr2	135966824	135966834	-	0.000	0.000	Merged-chr2-135966695-1
NR6674--MA0035.3.Gata1	chr4	11404220	11404230	+	0.000	0.000	Merged-chr4-11404244-13
NR263--MA1104.1.GATA6	chr1	66987715	66987727	-	0.000	0.000	Merged-chr1-66987794-41
NR3499--MA1104.1.GATA6	chr15	25269748	25269760	+	0.000	0.000	Merged-chr15-25269773-79
NR7045--MA0036.3.GATA2	chr4	101217307	101217317	-	0.000	0.000	Merged-chr4-101217167-64
NR7715--MA0037.3.GATA3	chr5	129524686	129524693	+	0.000	0.000	Merged-chr5-129524684-34
NR148--MA0036.3.GATA2	chr1	36920486	36920496	+	0.000	0.000	Merged-chr1-36920402-81
NR9342--MA1104.1.GATA6	chr8	107164412	107164424	-	0.000	0.000	Merged-chr8-107164486-19
NR1894--MA0037.3.GATA3	chr12	28589598	28589605	-	0.000	0.000	Merged-chr12-28589573-34
NR7566--MA0037.3.GATA3	chr5	71903684	71903691	-	0.000	0.000	Merged-chr5-71903621-28
NR9718--MA0482.1.Gata4	chr9	90301326	90301336	+	0.000	0.000	Merged-chr9-90301276-26
NR695--MA0482.1.Gata4	chr1	161309589	161309599	+	0.000	0.000	Merged-chr1-161309457-43
NR661--MA0482.1.Gata4	chr1	151973291	151973301	-	0.000	0.000	Merged-chr1-151973357-25
NR8601--MA0766.1.GATA5	chr7	12987631	12987638	+	0.000	0.000	Merged-chr7-12987633-12
NR4003--MA0766.1.GATA5	chr16	57319940	57319947	+	0.000	0.000	Merged-chr16-57319907-20
NR8933--MA0482.1.Gata4	chr7	113419584	113419594	-	0.000	0.000	Merged-chr7-113419557-35
NR5639--MA1104.1.GATA6	chr2	135966824	135966836	+	0.000	0.000	Merged-chr2-135966695-1
NR9819--MA0482.1.Gata4	chrX	7570948	7570958	-	0.000	0.000	Merged-chrX-7570919-6
NR6676--MA0766.1.GATA5	chr4	11610149	11610156	+	0.000	0.000	Merged-chr4-11610147-18
NR9730--MA0035.3.Gata1	chr9	92274453	92274463	+	0.000	0.000	Merged-chr9-92274591-56
NR7123--MA1104.1.GATA6	chr4	130774807	130774819	-	0.000	0.000	Merged-chr4-130774769-43
NR361--MA0482.1.Gata4	chr1	88578421	88578431	-	0.000	0.000	Merged-chr1-88578300-28
NR3660--MA0140.2.GATA1::TAL1	chr15	61438664	61438681	-	0.000	0.000	Merged-chr15-61438700-21
NR9719--MA1104.1.GATA6	chr9	90301324	90301336	-	0.000	0.000	Merged-chr9-90301276-26
NR6668--MA0766.1.GATA5	chr4	10770164	10770171	+	0.000	0.000	Merged-chr4-10770192-53
NR696--MA1104.1.GATA6	chr1	161309587	161309599	-	0.000	0.000	Merged-chr1-161309457-43
NR3917--MA0140.2.GATA1::TAL1	chr16	38653601	38653618	+	0.000	0.000	Merged-chr16-38653657-58
NR9762--MA0037.3.GATA3	chr9	110461309	110461316	-	0.000	0.000	Merged-chr9-110461339-53
NR662--MA1104.1.GATA6	chr1	151973291	151973303	+	0.000	0.000	Merged-chr1-151973357-25
NR7207--MA0482.1.Gata4	chr4	150517582	150517592	+	0.000	0.000	Merged-chr4-150517532-35
NR2169--MA0036.3.GATA2	chr12	89719510	89719520	-	0.000	0.000	Merged-chr12-89719457-81
NR9937--MA0037.3.GATA3	chrX	166329313	166329320	-	0.000	0.000	Merged-chrX-166329162-24
NR261--MA0037.3.GATA3	chr1	66987717	66987724	-	0.000	0.000	Merged-chr1-66987794-41
NR8934--MA1104.1.GATA6	chr7	113419584	113419596	+	0.000	0.000	Merged-chr7-113419557-35
NR6236--MA0036.3.GATA2	chr3	84461169	84461179	-	0.000	0.000	Merged-chr3-84461060-54
NR9483--MA0037.3.GATA3	chr9	13536930	13536937	+	0.000	0.000	Merged-chr9-13536890-20
NR265--MA0766.1.GATA5	chr1	66987717	66987724	-	0.000	0.000	Merged-chr1-66987794-41
NR9340--MA0037.3.GATA3	chr8	107164414	107164421	-	0.000	0.000	Merged-chr8-107164486-19
NR4004--MA0035.3.Gata1	chr16	57319938	57319948	-	0.000	0.000	Merged-chr16-57319907-20
NR3999--MA0037.3.GATA3	chr16	57319940	57319947	+	0.000	0.000	Merged-chr16-57319907-20
NR9940--MA0036.3.GATA2	chrX	166329312	166329322	+	0.000	0.000	Merged-chrX-166329162-24
NR362--MA1104.1.GATA6	chr1	88578421	88578433	+	0.000	0.000	Merged-chr1-88578300-28
NR4168--MA0036.3.GATA2	chr16	91413417	91413427	-	0.000	0.000	Merged-chr16-91413429-37
NR1600--MA0036.3.GATA2	chr11	32162425	32162435	+	0.000	0.000	Merged-chr11-32162378-27
NR1682--MA0035.3.Gata1	chr11	75282788	75282798	+	0.000	0.000	Merged-chr11-75282753-54
NR6670--MA0037.3.GATA3	chr4	11404221	11404228	-	0.000	0.000	Merged-chr4-11404244-13
NR5321--MA0036.3.GATA2	chr2	59469817	59469827	+	0.000	0.000	Merged-chr2-59469655-1
NR7208--MA1104.1.GATA6	chr4	150517580	150517592	-	0.000	0.000	Merged-chr4-150517532-35
NR1714--MA0035.3.Gata1	chr11	90488275	90488285	+	0.000	0.000	Merged-chr11-90488376-19
NR7211--MA0035.3.Gata1	chr4	150517581	150517591	+	0.000	0.000	Merged-chr4-150517532-35
NR3545--MA0036.3.GATA2	chr15	36440113	36440123	-	0.000	0.000	Merged-chr15-36440213-15
NR6669--MA0035.3.Gata1	chr4	10770162	10770172	-	0.000	0.000	Merged-chr4-10770192-53
NR7790--MA0035.3.Gata1	chr5	149392279	149392289	-	0.000	0.000	Merged-chr5-149392157-30
NR5324--MA0140.2.GATA1::TAL1	chr2	59474550	59474567	-	0.000	0.000	Merged-chr2-59474458-28
NR1758--MA0766.1.GATA5	chr11	106430743	106430750	-	0.000	0.000	Merged-chr11-106430638-37
NR5642--MA0482.1.Gata4	chr2	135966847	135966857	+	0.000	0.000	Merged-chr2-135966695-1
NR6675--MA0037.3.GATA3	chr4	11610149	11610156	+	0.000	0.000	Merged-chr4-11610147-18
NR9717--MA0037.3.GATA3	chr9	90301326	90301333	-	0.000	0.000	Merged-chr9-90301276-26
NR1680--MA1104.1.GATA6	chr11	75282787	75282799	-	0.000	0.000	Merged-chr11-75282753-54
NR694--MA0037.3.GATA3	chr1	161309589	161309596	-	0.000	0.000	Merged-chr1-161309457-43
NR5640--MA0036.3.GATA2	chr2	135966825	135966835	-	0.000	0.000	Merged-chr2-135966695-1
NR660--MA0037.3.GATA3	chr1	151973294	151973301	+	0.000	0.000	Merged-chr1-151973357-25
NR6159--MA0036.3.GATA2	chr3	68967472	68967482	-	0.000	0.000	Merged-chr3-68967303-47
NR4556--MA0482.1.Gata4	chr17	80419076	80419086	+	0.000	0.000	Merged-chr17-80418993-27
NR146--MA0482.1.Gata4	chr1	36920487	36920497	+	0.000	0.000	Merged-chr1-36920402-81
NR1751--MA0482.1.Gata4	chr11	106057070	106057080	+	0.000	0.000	Merged-chr11-106057103-42
NR6539--MA0036.3.GATA2	chr3	146127389	146127399	+	0.000	0.000	Merged-chr3-146127552-12
NR5143--MA0036.3.GATA2	chr2	13132684	13132694	-	0.000	0.000	Merged-chr2-13132891-60
