#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR51947--MA0039.3.KLF4	chr5	105004711	105004721	-	0.000	0.000	Merged-chr5-105004765-44
NR63446--MA0742.1.Klf12	chr8	64872035	64872049	-	0.000	0.000	Merged-chr8-64871934-64
NR35007--MA0493.1.Klf1	chr19	60183110	60183120	+	0.000	0.000	Merged-chr19-60182957-49
NR35263--MA0742.1.Klf12	chr2	9801639	9801653	-	0.000	0.000	Merged-chr2-9801686-39
NR37419--MA1107.1.KLF9	chr2	79550517	79550529	-	0.000	0.000	Merged-chr2-79550583-34
NR27099--MA0657.1.KLF13	chr16	64800650	64800667	+	0.000	0.000	Merged-chr16-64800516-42
NR761--MA1107.1.KLF9	chr1	38884015	38884027	+	0.000	0.000	Merged-chr1-38884000-31
NR51341--MA0741.1.KLF16	chr5	77144802	77144812	-	0.000	0.000	Merged-chr5-77144936-48
NR21361--MA0599.1.KLF5	chr14	73290094	73290103	-	0.000	0.000	Merged-chr14-73290096-39
NR1029--MA0742.1.Klf12	chr1	51624750	51624764	+	0.000	0.000	Merged-chr1-51624803-20
NR30919--MA0493.1.Klf1	chr17	84022528	84022538	-	0.000	0.000	Merged-chr17-84022626-28
NR27403--MA0493.1.Klf1	chr16	75920943	75920953	+	0.000	0.000	Merged-chr16-75921068-56
NR17323--MA0741.1.KLF16	chr13	63189563	63189573	-	0.000	0.000	Merged-chr13-63189715-33
NR39672--MA0599.1.KLF5	chr2	160471239	160471248	+	0.000	0.000	Merged-chr2-160471164-70
NR67121--MA1107.1.KLF9	chr9	78074213	78074225	+	0.000	0.000	Merged-chr9-78074095-46
NR61954--MA0741.1.KLF16	chr7	142354082	142354092	+	0.000	0.000	Merged-chr7-142354183-49
NR29618--MA0740.1.KLF14	chr17	44569345	44569358	+	0.000	0.000	Merged-chr17-44569444-63
NR15547--MA0493.1.Klf1	chr12	110506243	110506253	-	0.000	0.000	Merged-chr12-110506270-12
NR38190--MA0741.1.KLF16	chr2	117438826	117438836	-	0.000	0.000	Merged-chr2-117438903-91
NR61934--MA1107.1.KLF9	chr7	141579227	141579239	-	0.000	0.000	Merged-chr7-141579078-48
NR12560--MA0599.1.KLF5	chr11	111066112	111066121	-	0.000	0.000	Merged-chr11-111066070-45
NR61933--MA0741.1.KLF16	chr7	141579228	141579238	-	0.000	0.000	Merged-chr7-141579078-48
NR12993--MA0039.3.KLF4	chr11	119671196	119671206	-	0.000	0.000	Merged-chr11-119671227-50
NR2020--MA0599.1.KLF5	chr1	92469200	92469209	+	0.000	0.000	Merged-chr1-92469061-38
NR61952--MA0039.3.KLF4	chr7	142354083	142354093	+	0.000	0.000	Merged-chr7-142354183-49
NR9173--MA0039.3.KLF4	chr10	122717818	122717828	+	0.000	0.000	Merged-chr10-122717958-55
NR63448--MA0493.1.Klf1	chr8	64872039	64872049	-	0.000	0.000	Merged-chr8-64871934-64
NR8649--MA0599.1.KLF5	chr10	111031829	111031838	+	0.000	0.000	Merged-chr10-111031729-43
NR34331--MA0741.1.KLF16	chr19	31337340	31337350	-	0.000	0.000	Merged-chr19-31337298-1
NR3795--MA0599.1.KLF5	chr1	159813051	159813060	+	0.000	0.000	Merged-chr1-159812982-41
NR29704--MA0741.1.KLF16	chr17	46870985	46870995	-	0.000	0.000	Merged-chr17-46871157-2
NR51834--MA0599.1.KLF5	chr5	100572244	100572253	-	0.000	0.000	Merged-chr5-100572278-24
NR51946--MA0599.1.KLF5	chr5	105004713	105004722	-	0.000	0.000	Merged-chr5-105004765-44
NR13300--MA0039.3.KLF4	chr12	13518261	13518271	-	0.000	0.000	Merged-chr12-13518316-35
NR68267--MA0599.1.KLF5	chr9	119453529	119453538	-	0.000	0.000	Merged-chr9-119453486-15
NR36242--MA0741.1.KLF16	chr2	34938784	34938794	+	0.000	0.000	Merged-chr2-34938971-69
NR36680--MA1107.1.KLF9	chr2	53051379	53051391	-	0.000	0.000	Merged-chr2-53051556-37
NR21196--MA1107.1.KLF9	chr14	66196440	66196452	+	0.000	0.000	Merged-chr14-66196468-7
NR68271--MA0493.1.Klf1	chr9	119453534	119453544	-	0.000	0.000	Merged-chr9-119453486-15
NR25162--MA0741.1.KLF16	chr15	96497810	96497820	-	0.000	0.000	Merged-chr15-96497899-21
NR18876--MA0493.1.Klf1	chr13	107095397	107095407	-	0.000	0.000	Merged-chr13-107095527-25
NR34891--MA0740.1.KLF14	chr19	53889767	53889780	+	0.000	0.000	Merged-chr19-53889811-40
NR1850--MA0741.1.KLF16	chr1	85680448	85680458	+	0.000	0.000	Merged-chr1-85680352-18
NR27933--MA0493.1.Klf1	chr16	93777383	93777393	+	0.000	0.000	Merged-chr16-93777222-1
NR69585--MA0493.1.Klf1	chrX	162868475	162868485	+	0.000	0.000	Merged-chrX-162868446-21
NR69217--MA0039.3.KLF4	chrX	106704770	106704780	-	0.000	0.000	Merged-chrX-106704745-40
NR32791--MA1107.1.KLF9	chr18	62125524	62125536	+	0.000	0.000	Merged-chr18-62125570-18
NR1849--MA0599.1.KLF5	chr1	85680448	85680457	+	0.000	0.000	Merged-chr1-85680352-18
NR34336--MA0741.1.KLF16	chr19	31337345	31337355	-	0.000	0.000	Merged-chr19-31337298-1
NR26798--MA0742.1.Klf12	chr16	52374388	52374402	+	0.000	0.000	Merged-chr16-52374285-15
NR23815--MA1107.1.KLF9	chr15	60120082	60120094	-	0.000	0.000	Merged-chr15-60120172-38
NR35009--MA1107.1.KLF9	chr19	60183110	60183122	+	0.000	0.000	Merged-chr19-60182957-49
NR11193--MA1107.1.KLF9	chr11	70597422	70597434	-	0.000	0.000	Merged-chr11-70597550-26
NR30459--MA0039.3.KLF4	chr17	71288421	71288431	-	0.000	0.000	Merged-chr17-71288308-17
NR67903--MA0741.1.KLF16	chr9	107334666	107334676	+	0.000	0.000	Merged-chr9-107334469-86
NR1719--MA0493.1.Klf1	chr1	80703445	80703455	-	0.000	0.000	Merged-chr1-80703457-36
NR10733--MA0741.1.KLF16	chr11	55131119	55131129	+	0.000	0.000	Merged-chr11-55131266-10
NR29227--MA0493.1.Klf1	chr17	31077832	31077842	-	0.000	0.000	Merged-chr17-31077750-28
NR27405--MA1107.1.KLF9	chr16	75920943	75920955	+	0.000	0.000	Merged-chr16-75921068-56
NR12401--MA0599.1.KLF5	chr11	104661460	104661469	-	0.000	0.000	Merged-chr11-104661475-50
NR44130--MA0599.1.KLF5	chr3	142281223	142281232	+	0.000	0.000	Merged-chr3-142281213-32
NR64861--MA1107.1.KLF9	chr8	111967408	111967420	+	0.000	0.000	Merged-chr8-111967453-22
NR65397--MA0599.1.KLF5	chr8	125725414	125725423	-	0.000	0.000	Merged-chr8-125725496-61
NR29850--MA0599.1.KLF5	chr17	50025422	50025431	+	0.000	0.000	Merged-chr17-50025514-42
NR53120--MA0741.1.KLF16	chr5	134269616	134269626	-	0.000	0.000	Merged-chr5-134269909-65
NR12400--MA1107.1.KLF9	chr11	104631543	104631555	-	0.000	0.000	Merged-chr11-104631492-24
NR61951--MA0599.1.KLF5	chr7	142354082	142354091	+	0.000	0.000	Merged-chr7-142354183-49
NR64937--MA0039.3.KLF4	chr8	116645533	116645543	-	0.000	0.000	Merged-chr8-116645599-31
NR452--MA0599.1.KLF5	chr1	21870789	21870798	+	0.000	0.000	Merged-chr1-21870806-15
NR9172--MA0599.1.KLF5	chr10	122717817	122717826	+	0.000	0.000	Merged-chr10-122717958-55
NR15353--MA0599.1.KLF5	chr12	103116816	103116825	+	0.000	0.000	Merged-chr12-103116842-39
NR19228--MA1107.1.KLF9	chr13	117048312	117048324	-	0.000	0.000	Merged-chr13-117048588-56
NR35866--MA0599.1.KLF5	chr2	27693905	27693914	-	0.000	0.000	Merged-chr2-27693880-30
NR11545--MA0741.1.KLF16	chr11	79698234	79698244	+	0.000	0.000	Merged-chr11-79698290-25
NR13299--MA0599.1.KLF5	chr12	13518263	13518272	-	0.000	0.000	Merged-chr12-13518316-35
NR11780--MA0039.3.KLF4	chr11	88993828	88993838	-	0.000	0.000	Merged-chr11-88993773-46
NR11544--MA0493.1.Klf1	chr11	79698233	79698243	+	0.000	0.000	Merged-chr11-79698290-25
NR1571--MA0039.3.KLF4	chr1	75213261	75213271	-	0.000	0.000	Merged-chr1-75213327-22
NR17326--MA0741.1.KLF16	chr13	63189566	63189576	-	0.000	0.000	Merged-chr13-63189715-33
NR13356--MA0742.1.Klf12	chr12	17511203	17511217	+	0.000	0.000	Merged-chr12-17511273-48
NR22592--MA1107.1.KLF9	chr14	123162942	123162954	+	0.000	0.000	Merged-chr14-123163033-38
NR61033--MA0741.1.KLF16	chr7	110796452	110796462	-	0.000	0.000	Merged-chr7-110796429-1
NR59096--MA0599.1.KLF5	chr7	31087383	31087392	+	0.000	0.000	Merged-chr7-31087462-13
NR25160--MA0741.1.KLF16	chr15	96497804	96497814	-	0.000	0.000	Merged-chr15-96497899-21
NR68242--MA0493.1.Klf1	chr9	118750842	118750852	-	0.000	0.000	Merged-chr9-118750873-69
NR31315--MA0599.1.KLF5	chr18	4296006	4296015	+	0.000	0.000	Merged-chr18-4296046-21
NR58490--MA0741.1.KLF16	chr7	19790020	19790030	+	0.000	0.000	Merged-chr7-19790098-49
NR1053--MA1107.1.KLF9	chr1	52578404	52578416	+	0.000	0.000	Merged-chr1-52578518-39
NR61264--MA0741.1.KLF16	chr7	119860417	119860427	+	0.000	0.000	Merged-chr7-119860527-21
NR18878--MA1107.1.KLF9	chr13	107095395	107095407	-	0.000	0.000	Merged-chr13-107095527-25
NR68385--MA1107.1.KLF9	chr9	122271991	122272003	+	0.000	0.000	Merged-chr9-122271996-35
NR36241--MA0599.1.KLF5	chr2	34938775	34938784	-	0.000	0.000	Merged-chr2-34938971-69
NR50890--MA0493.1.Klf1	chr5	64651647	64651657	-	0.000	0.000	Merged-chr5-64651532-36
NR22402--MA0599.1.KLF5	chr14	120313645	120313654	+	0.000	0.000	Merged-chr14-120313531-118
NR26420--MA1107.1.KLF9	chr16	32434126	32434138	+	0.000	0.000	Merged-chr16-32434269-25
NR50891--MA0741.1.KLF16	chr5	64651646	64651656	-	0.000	0.000	Merged-chr5-64651532-36
NR34803--MA0039.3.KLF4	chr19	47829047	47829057	-	0.000	0.000	Merged-chr19-47829109-19
NR37415--MA1107.1.KLF9	chr2	79550509	79550521	-	0.000	0.000	Merged-chr2-79550583-34
NR59097--MA0741.1.KLF16	chr7	31087376	31087386	+	0.000	0.000	Merged-chr7-31087462-13
NR60253--MA1107.1.KLF9	chr7	80450046	80450058	+	0.000	0.000	Merged-chr7-80450087-44
NR13362--MA1107.1.KLF9	chr12	17511239	17511251	-	0.000	0.000	Merged-chr12-17511273-48
NR32790--MA0493.1.Klf1	chr18	62125524	62125534	+	0.000	0.000	Merged-chr18-62125570-18
NR4583--MA1107.1.KLF9	chr1	180390390	180390402	-	0.000	0.000	Merged-chr1-180390562-55
NR29229--MA1107.1.KLF9	chr17	31077830	31077842	-	0.000	0.000	Merged-chr17-31077750-28
NR26514--MA0039.3.KLF4	chr16	35984019	35984029	-	0.000	0.000	Merged-chr16-35984000-4
NR11192--MA0493.1.Klf1	chr11	70597424	70597434	-	0.000	0.000	Merged-chr11-70597550-26
NR57396--MA0493.1.Klf1	chr6	136684095	136684105	+	0.000	0.000	Merged-chr6-136683885-26
NR27506--MA1107.1.KLF9	chr16	78547461	78547473	+	0.000	0.000	Merged-chr16-78547576-18
NR1570--MA0599.1.KLF5	chr1	75213263	75213272	-	0.000	0.000	Merged-chr1-75213327-22
NR8701--MA1107.1.KLF9	chr10	112000793	112000805	+	0.000	0.000	Merged-chr10-112000662-33
NR12403--MA0741.1.KLF16	chr11	104661466	104661476	-	0.000	0.000	Merged-chr11-104661475-50
NR53503--MA0599.1.KLF5	chr5	139299446	139299455	+	0.000	0.000	Merged-chr5-139299297-63
NR56898--MA0599.1.KLF5	chr6	121214974	121214983	-	0.000	0.000	Merged-chr6-121215137-42
NR60559--MA0742.1.Klf12	chr7	92420555	92420569	-	0.000	0.000	Merged-chr7-92420666-38
NR12461--MA0740.1.KLF14	chr11	106536355	106536368	+	0.000	0.000	Merged-chr11-106536245-61
NR12559--MA0741.1.KLF16	chr11	110919163	110919173	+	0.000	0.000	Merged-chr11-110919203-38
NR5306--MA0039.3.KLF4	chr10	5448586	5448596	-	0.000	0.000	Merged-chr10-5448562-35
NR48931--MA0599.1.KLF5	chr4	149518085	149518094	+	0.000	0.000	Merged-chr4-149518177-56
NR12397--MA0741.1.KLF16	chr11	104631540	104631550	-	0.000	0.000	Merged-chr11-104631492-24
NR6326--MA0599.1.KLF5	chr10	42869654	42869663	+	0.000	0.000	Merged-chr10-42869642-22
NR65824--MA1107.1.KLF9	chr9	21419887	21419899	-	0.000	0.000	Merged-chr9-21419783-26
NR51337--MA0599.1.KLF5	chr5	77140337	77140346	+	0.000	0.000	Merged-chr5-77140362-54
NR13358--MA0039.3.KLF4	chr12	17511205	17511215	+	0.000	0.000	Merged-chr12-17511273-48
NR38091--MA0742.1.Klf12	chr2	114136953	114136967	-	0.000	0.000	Merged-chr2-114137020-31
NR67122--MA1107.1.KLF9	chr9	78074215	78074227	+	0.000	0.000	Merged-chr9-78074095-46
NR55588--MA1107.1.KLF9	chr6	72957796	72957808	-	0.000	0.000	Merged-chr6-72957924-4
NR25158--MA0599.1.KLF5	chr15	96497811	96497820	-	0.000	0.000	Merged-chr15-96497899-21
NR55226--MA0742.1.Klf12	chr6	54925959	54925973	+	0.000	0.000	Merged-chr6-54926058-40
NR11546--MA1107.1.KLF9	chr11	79698233	79698245	+	0.000	0.000	Merged-chr11-79698290-25
NR1030--MA0741.1.KLF16	chr1	51624751	51624761	+	0.000	0.000	Merged-chr1-51624803-20
NR12994--MA1107.1.KLF9	chr11	119671196	119671208	-	0.000	0.000	Merged-chr11-119671227-50
NR29451--MA0742.1.Klf12	chr17	35764155	35764169	+	0.000	0.000	Merged-chr17-35764114-33
NR26802--MA1107.1.KLF9	chr16	52374388	52374400	+	0.000	0.000	Merged-chr16-52374285-15
NR8651--MA0741.1.KLF16	chr10	111031829	111031839	+	0.000	0.000	Merged-chr10-111031729-43
NR12462--MA0657.1.KLF13	chr11	106536354	106536371	+	0.000	0.000	Merged-chr11-106536245-61
NR11243--MA0599.1.KLF5	chr11	73094701	73094710	-	0.000	0.000	Merged-chr11-73094669-63
NR39671--MA0742.1.Klf12	chr2	160471238	160471252	+	0.000	0.000	Merged-chr2-160471164-70
NR61949--MA0740.1.KLF14	chr7	142354081	142354094	+	0.000	0.000	Merged-chr7-142354183-49
NR12464--MA0741.1.KLF16	chr11	106536356	106536366	+	0.000	0.000	Merged-chr11-106536245-61
NR29225--MA0742.1.Klf12	chr17	31077828	31077842	-	0.000	0.000	Merged-chr17-31077750-28
NR10731--MA0599.1.KLF5	chr11	55131119	55131128	+	0.000	0.000	Merged-chr11-55131266-10
NR34802--MA0599.1.KLF5	chr19	47829049	47829058	-	0.000	0.000	Merged-chr19-47829109-19
NR25096--MA0599.1.KLF5	chr15	93913433	93913442	-	0.000	0.000	Merged-chr15-93913565-49
NR50936--MA0039.3.KLF4	chr5	65019493	65019503	+	0.000	0.000	Merged-chr5-65019357-18
NR5052--MA0039.3.KLF4	chr1	192778392	192778402	-	0.000	0.000	Merged-chr1-192778514-1
NR4664--MA0741.1.KLF16	chr1	184013532	184013542	-	0.000	0.000	Merged-chr1-184013369-24
NR65818--MA0742.1.Klf12	chr9	21419885	21419899	-	0.000	0.000	Merged-chr9-21419783-26
NR18877--MA0741.1.KLF16	chr13	107095396	107095406	-	0.000	0.000	Merged-chr13-107095527-25
NR68156--MA0599.1.KLF5	chr9	115561387	115561396	+	0.000	0.000	Merged-chr9-115561296-46
NR26513--MA0599.1.KLF5	chr16	35984021	35984030	-	0.000	0.000	Merged-chr16-35984000-4
NR22554--MA0741.1.KLF16	chr14	122187050	122187060	+	0.000	0.000	Merged-chr14-122187060-26
NR68268--MA0599.1.KLF5	chr9	119453534	119453543	-	0.000	0.000	Merged-chr9-119453486-15
NR1052--MA0493.1.Klf1	chr1	52578408	52578418	+	0.000	0.000	Merged-chr1-52578518-39
NR30898--MA0039.3.KLF4	chr17	83846389	83846399	+	0.000	0.000	Merged-chr17-83846499-25
NR1023--MA0742.1.Klf12	chr1	51577855	51577869	+	0.000	0.000	Merged-chr1-51577937-41
NR35006--MA0599.1.KLF5	chr19	60183111	60183120	+	0.000	0.000	Merged-chr19-60182957-49
NR36681--MA1107.1.KLF9	chr2	53051381	53051393	-	0.000	0.000	Merged-chr2-53051556-37
NR50892--MA1107.1.KLF9	chr5	64651645	64651657	-	0.000	0.000	Merged-chr5-64651532-36
NR68272--MA0493.1.Klf1	chr9	119453539	119453549	-	0.000	0.000	Merged-chr9-119453486-15
NR29849--MA0742.1.Klf12	chr17	50025421	50025435	+	0.000	0.000	Merged-chr17-50025514-42
NR7807--MA0599.1.KLF5	chr10	83722887	83722896	-	0.000	0.000	Merged-chr10-83722684-72
NR30921--MA1107.1.KLF9	chr17	84022526	84022538	-	0.000	0.000	Merged-chr17-84022626-28
NR51835--MA0493.1.Klf1	chr5	100572244	100572254	-	0.000	0.000	Merged-chr5-100572278-24
NR5305--MA0599.1.KLF5	chr10	5448588	5448597	-	0.000	0.000	Merged-chr10-5448562-35
NR13298--MA0742.1.Klf12	chr12	13518259	13518273	-	0.000	0.000	Merged-chr12-13518316-35
NR43105--MA0741.1.KLF16	chr3	105825731	105825741	+	0.000	0.000	Merged-chr3-105825792-34
NR39951--MA1107.1.KLF9	chr2	167840242	167840254	+	0.000	0.000	Merged-chr2-167840232-36
NR58237--MA1107.1.KLF9	chr7	15949421	15949433	-	0.000	0.000	Merged-chr7-15949519-32
NR17330--MA0741.1.KLF16	chr13	63189570	63189580	-	0.000	0.000	Merged-chr13-63189715-33
NR13357--MA0599.1.KLF5	chr12	17511204	17511213	+	0.000	0.000	Merged-chr12-17511273-48
NR58489--MA0599.1.KLF5	chr7	19790020	19790029	+	0.000	0.000	Merged-chr7-19790098-49
NR25157--MA0740.1.KLF14	chr15	96497814	96497827	-	0.000	0.000	Merged-chr15-96497899-21
NR23816--MA1107.1.KLF9	chr15	60120084	60120096	-	0.000	0.000	Merged-chr15-60120172-38
NR53141--MA0039.3.KLF4	chr5	134494508	134494518	+	0.000	0.000	Merged-chr5-134494514-28
NR32971--MA0741.1.KLF16	chr18	67255713	67255723	-	0.000	0.000	Merged-chr18-67255745-40
NR63449--MA0741.1.KLF16	chr8	64872038	64872048	-	0.000	0.000	Merged-chr8-64871934-64
NR51340--MA0741.1.KLF16	chr5	77144796	77144806	-	0.000	0.000	Merged-chr5-77144936-48
NR4582--MA0493.1.Klf1	chr1	180390392	180390402	-	0.000	0.000	Merged-chr1-180390562-55
NR33509--MA0741.1.KLF16	chr18	82607558	82607568	+	0.000	0.000	Merged-chr18-82607647-23
NR27407--MA0599.1.KLF5	chr16	75921058	75921067	+	0.000	0.000	Merged-chr16-75921068-56
NR43899--MA0039.3.KLF4	chr3	135675687	135675697	+	0.000	0.000	Merged-chr3-135675679-12
NR29224--MA0740.1.KLF14	chr17	31077829	31077842	-	0.000	0.000	Merged-chr17-31077750-28
NR35004--MA0657.1.KLF13	chr19	60183109	60183126	+	0.000	0.000	Merged-chr19-60182957-49
NR57995--MA0599.1.KLF5	chr7	4063038	4063047	+	0.000	0.000	Merged-chr7-4063118-30
NR57829--MA0493.1.Klf1	chr6	146434347	146434357	-	0.000	0.000	Merged-chr6-146434496-35
NR34805--MA0741.1.KLF16	chr19	47829048	47829058	-	0.000	0.000	Merged-chr19-47829109-19
NR10728--MA0740.1.KLF14	chr11	55131118	55131131	+	0.000	0.000	Merged-chr11-55131266-10
NR60162--MA0039.3.KLF4	chr7	79262509	79262519	+	0.000	0.000	Merged-chr7-79262630-29
NR66703--MA0599.1.KLF5	chr9	60998295	60998304	-	0.000	0.000	Merged-chr9-60998373-9
NR19229--MA1107.1.KLF9	chr13	117048314	117048326	-	0.000	0.000	Merged-chr13-117048588-56
NR61262--MA0740.1.KLF14	chr7	119860416	119860429	+	0.000	0.000	Merged-chr7-119860527-21
NR67899--MA0039.3.KLF4	chr9	107334441	107334451	+	0.000	0.000	Merged-chr9-107334469-86
NR12402--MA0493.1.Klf1	chr11	104661460	104661470	-	0.000	0.000	Merged-chr11-104661475-50
NR44129--MA0740.1.KLF14	chr3	142281222	142281235	+	0.000	0.000	Merged-chr3-142281213-32
NR29851--MA0493.1.Klf1	chr17	50025421	50025431	+	0.000	0.000	Merged-chr17-50025514-42
NR29619--MA0599.1.KLF5	chr17	44569346	44569355	+	0.000	0.000	Merged-chr17-44569444-63
NR10729--MA0657.1.KLF13	chr11	55131117	55131134	+	0.000	0.000	Merged-chr11-55131266-10
NR39675--MA1107.1.KLF9	chr2	160471238	160471250	+	0.000	0.000	Merged-chr2-160471164-70
NR26801--MA0493.1.Klf1	chr16	52374388	52374398	+	0.000	0.000	Merged-chr16-52374285-15
NR27103--MA0493.1.Klf1	chr16	64800651	64800661	+	0.000	0.000	Merged-chr16-64800516-42
NR453--MA0493.1.Klf1	chr1	21870788	21870798	+	0.000	0.000	Merged-chr1-21870806-15
NR1031--MA1107.1.KLF9	chr1	51624750	51624762	+	0.000	0.000	Merged-chr1-51624803-20
NR64936--MA0740.1.KLF14	chr8	116645532	116645545	-	0.000	0.000	Merged-chr8-116645599-31
NR34330--MA0741.1.KLF16	chr19	31337339	31337349	-	0.000	0.000	Merged-chr19-31337298-1
NR35867--MA0493.1.Klf1	chr2	27693905	27693915	-	0.000	0.000	Merged-chr2-27693880-30
NR66980--MA1107.1.KLF9	chr9	72097281	72097293	-	0.000	0.000	Merged-chr9-72097262-35
NR48284--MA0039.3.KLF4	chr4	134041632	134041642	+	0.000	0.000	Merged-chr4-134041766-28
NR56668--MA0742.1.Klf12	chr6	114660203	114660217	+	0.000	0.000	Merged-chr6-114660280-61
NR8581--MA0599.1.KLF5	chr10	107941371	107941380	-	0.000	0.000	Merged-chr10-107941228-1
NR1027--MA0740.1.KLF14	chr1	51624750	51624763	+	0.000	0.000	Merged-chr1-51624803-20
NR53140--MA0599.1.KLF5	chr5	134494507	134494516	+	0.000	0.000	Merged-chr5-134494514-28
NR34800--MA0740.1.KLF14	chr19	47829046	47829059	-	0.000	0.000	Merged-chr19-47829109-19
NR451--MA0740.1.KLF14	chr1	21870788	21870801	+	0.000	0.000	Merged-chr1-21870806-15
NR1054--MA1107.1.KLF9	chr1	52578406	52578418	+	0.000	0.000	Merged-chr1-52578518-39
NR29520--MA0741.1.KLF16	chr17	36982672	36982682	+	0.000	0.000	Merged-chr17-36982659-16
NR51707--MA1107.1.KLF9	chr5	96919183	96919195	+	0.000	0.000	Merged-chr5-96919308-24
NR6494--MA0039.3.KLF4	chr10	53461608	53461618	-	0.000	0.000	Merged-chr10-53461441-37
NR36330--MA1107.1.KLF9	chr2	38536598	38536610	+	0.000	0.000	Merged-chr2-38536477-82
NR37420--MA1107.1.KLF9	chr2	79550519	79550531	-	0.000	0.000	Merged-chr2-79550583-34
NR29453--MA1107.1.KLF9	chr17	35764155	35764167	+	0.000	0.000	Merged-chr17-35764114-33
NR43898--MA0599.1.KLF5	chr3	135675686	135675695	+	0.000	0.000	Merged-chr3-135675679-12
NR37408--MA0599.1.KLF5	chr2	79227983	79227992	-	0.000	0.000	Merged-chr2-79227897-44
NR34335--MA0741.1.KLF16	chr19	31337344	31337354	-	0.000	0.000	Merged-chr19-31337298-1
NR12395--MA0740.1.KLF14	chr11	104631542	104631555	-	0.000	0.000	Merged-chr11-104631492-24
NR64939--MA0741.1.KLF16	chr8	116645534	116645544	-	0.000	0.000	Merged-chr8-116645599-31
NR22403--MA0599.1.KLF5	chr14	120313650	120313659	+	0.000	0.000	Merged-chr14-120313531-118
NR1028--MA0657.1.KLF13	chr1	51624749	51624766	+	0.000	0.000	Merged-chr1-51624803-20
NR67902--MA0741.1.KLF16	chr9	107334497	107334507	+	0.000	0.000	Merged-chr9-107334469-86
NR48765--MA0493.1.Klf1	chr4	145099969	145099979	-	0.000	0.000	Merged-chr4-145100023-41
NR37416--MA1107.1.KLF9	chr2	79550511	79550523	-	0.000	0.000	Merged-chr2-79550583-34
NR60254--MA1107.1.KLF9	chr7	80450048	80450060	+	0.000	0.000	Merged-chr7-80450087-44
NR27857--MA0599.1.KLF5	chr16	91553970	91553979	+	0.000	0.000	Merged-chr16-91553850-20
NR8151--MA1107.1.KLF9	chr10	94942951	94942963	+	0.000	0.000	Merged-chr10-94942923-6
NR15544--MA0599.1.KLF5	chr12	110506243	110506252	-	0.000	0.000	Merged-chr12-110506270-12
NR26419--MA0741.1.KLF16	chr16	32434127	32434137	+	0.000	0.000	Merged-chr16-32434269-25
NR26471--MA0742.1.Klf12	chr16	33687896	33687910	+	0.000	0.000	Merged-chr16-33687969-54
NR39950--MA0741.1.KLF16	chr2	167840243	167840253	+	0.000	0.000	Merged-chr2-167840232-36
NR22406--MA0741.1.KLF16	chr14	120313650	120313660	+	0.000	0.000	Merged-chr14-120313531-118
NR57826--MA0039.3.KLF4	chr6	146081187	146081197	-	0.000	0.000	Merged-chr6-146081045-99
NR29852--MA0741.1.KLF16	chr17	50025422	50025432	+	0.000	0.000	Merged-chr17-50025514-42
