#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR67771--MA1107.1.KLF9	chr9	103134554	103134566	-	0.000	0.000	Merged-chr9-103134672-43
NR7388--MA1107.1.KLF9	chr10	78399400	78399412	+	0.000	0.000	Merged-chr10-78399498-14
NR47712--MA0599.1.KLF5	chr4	119947768	119947777	-	0.000	0.000	Merged-chr4-119947761-47
NR8990--MA0599.1.KLF5	chr10	118096585	118096594	+	0.000	0.000	Merged-chr10-118096400-51
NR21247--MA0599.1.KLF5	chr14	69774965	69774974	-	0.000	0.000	Merged-chr14-69774788-96
NR58075--MA1107.1.KLF9	chr7	5061225	5061237	-	0.000	0.000	Merged-chr7-5061292-3
NR6102--MA1107.1.KLF9	chr10	37250052	37250064	+	0.000	0.000	Merged-chr10-37249909-39
NR4662--MA0740.1.KLF14	chr1	184013532	184013545	-	0.000	0.000	Merged-chr1-184013369-24
NR26215--MA0741.1.KLF16	chr16	23286639	23286649	-	0.000	0.000	Merged-chr16-23286554-38
NR56801--MA0599.1.KLF5	chr6	119199121	119199130	+	0.000	0.000	Merged-chr6-119199024-52
NR41756--MA0742.1.Klf12	chr3	55744073	55744087	-	0.000	0.000	Merged-chr3-55744037-44
NR36090--MA1107.1.KLF9	chr2	32447889	32447901	-	0.000	0.000	Merged-chr2-32447813-7
NR40333--MA0039.3.KLF4	chr2	174566143	174566153	+	0.000	0.000	Merged-chr2-174566072-46
NR56814--MA1107.1.KLF9	chr6	119199130	119199142	+	0.000	0.000	Merged-chr6-119199024-52
NR7382--MA0599.1.KLF5	chr10	78399395	78399404	+	0.000	0.000	Merged-chr10-78399498-14
NR56806--MA0493.1.Klf1	chr6	119199120	119199130	+	0.000	0.000	Merged-chr6-119199024-52
NR21334--MA0741.1.KLF16	chr14	70994737	70994747	-	0.000	0.000	Merged-chr14-70994576-24
NR36343--MA0599.1.KLF5	chr2	39009187	39009196	+	0.000	0.000	Merged-chr2-39009126-39
NR11906--MA0039.3.KLF4	chr11	95356944	95356954	+	0.000	0.000	Merged-chr11-95356897-59
NR11886--MA0599.1.KLF5	chr11	94998327	94998336	-	0.000	0.000	Merged-chr11-94998178-21
NR11885--MA1107.1.KLF9	chr11	94998213	94998225	-	0.000	0.000	Merged-chr11-94998178-21
NR6100--MA1107.1.KLF9	chr10	37250048	37250060	+	0.000	0.000	Merged-chr10-37249909-39
NR67322--MA0039.3.KLF4	chr9	86425983	86425993	+	0.000	0.000	Merged-chr9-86425989-29
NR26219--MA1107.1.KLF9	chr16	23375105	23375117	+	0.000	0.000	Merged-chr16-23375120-32
NR58073--MA0039.3.KLF4	chr7	5061225	5061235	-	0.000	0.000	Merged-chr7-5061292-3
NR19008--MA0741.1.KLF16	chr13	109239168	109239178	-	0.000	0.000	Merged-chr13-109239401-35
NR43159--MA0493.1.Klf1	chr3	107233421	107233431	-	0.000	0.000	Merged-chr3-107233528-55
NR56809--MA0741.1.KLF16	chr6	119199105	119199115	+	0.000	0.000	Merged-chr6-119199024-52
NR4663--MA0741.1.KLF16	chr1	184013531	184013541	-	0.000	0.000	Merged-chr1-184013369-24
NR7650--MA0657.1.KLF13	chr10	81194325	81194342	+	0.000	0.000	Merged-chr10-81194350-49
NR60791--MA0039.3.KLF4	chr7	101466456	101466466	-	0.000	0.000	Merged-chr7-101466620-78
NR43160--MA0741.1.KLF16	chr3	107233418	107233428	-	0.000	0.000	Merged-chr3-107233528-55
NR26213--MA0599.1.KLF5	chr16	23286640	23286649	-	0.000	0.000	Merged-chr16-23286554-38
NR7386--MA0741.1.KLF16	chr10	78399401	78399411	+	0.000	0.000	Merged-chr10-78399498-14
NR54147--MA0599.1.KLF5	chr6	8648806	8648815	+	0.000	0.000	Merged-chr6-8648625-101
NR11884--MA0493.1.Klf1	chr11	94997814	94997824	+	0.000	0.000	Merged-chr11-94997870-1
NR6103--MA1107.1.KLF9	chr10	37250054	37250066	+	0.000	0.000	Merged-chr10-37249909-39
NR56802--MA0599.1.KLF5	chr6	119199126	119199135	+	0.000	0.000	Merged-chr6-119199024-52
NR56797--MA0742.1.Klf12	chr6	119199104	119199118	+	0.000	0.000	Merged-chr6-119199024-52
NR60790--MA0599.1.KLF5	chr7	101466458	101466467	-	0.000	0.000	Merged-chr7-101466620-78
NR36091--MA1107.1.KLF9	chr2	32447891	32447903	-	0.000	0.000	Merged-chr2-32447813-7
NR7383--MA0599.1.KLF5	chr10	78399401	78399410	+	0.000	0.000	Merged-chr10-78399498-14
NR64411--MA0742.1.Klf12	chr8	94973550	94973564	-	0.000	0.000	Merged-chr8-94973516-27
NR56807--MA0493.1.Klf1	chr6	119199125	119199135	+	0.000	0.000	Merged-chr6-119199024-52
NR66714--MA0741.1.KLF16	chr9	61380341	61380351	-	0.000	0.000	Merged-chr9-61380377-10
NR4897--MA0741.1.KLF16	chr1	189500040	189500050	+	0.000	0.000	Merged-chr1-189499965-39
NR56796--MA0740.1.KLF14	chr6	119199104	119199117	+	0.000	0.000	Merged-chr6-119199024-52
NR52165--MA0039.3.KLF4	chr5	112239855	112239865	-	0.000	0.000	Merged-chr5-112239781-12
NR6096--MA1107.1.KLF9	chr10	37250040	37250052	+	0.000	0.000	Merged-chr10-37249909-39
NR6101--MA1107.1.KLF9	chr10	37250050	37250062	+	0.000	0.000	Merged-chr10-37249909-39
NR24520--MA0599.1.KLF5	chr15	81514315	81514324	-	0.000	0.000	Merged-chr15-81514359-43
NR54149--MA0039.3.KLF4	chr6	8648814	8648824	+	0.000	0.000	Merged-chr6-8648625-101
NR4895--MA0599.1.KLF5	chr1	189500040	189500049	+	0.000	0.000	Merged-chr1-189499965-39
NR37184--MA0039.3.KLF4	chr2	71810233	71810243	+	0.000	0.000	Merged-chr2-71810145-53
NR21333--MA0599.1.KLF5	chr14	70994738	70994747	-	0.000	0.000	Merged-chr14-70994576-24
NR64951--MA1107.1.KLF9	chr8	116952622	116952634	-	0.000	0.000	Merged-chr8-116952526-34
NR56811--MA0741.1.KLF16	chr6	119199131	119199141	+	0.000	0.000	Merged-chr6-119199024-52
NR36344--MA0741.1.KLF16	chr2	39009187	39009197	+	0.000	0.000	Merged-chr2-39009126-39
NR36139--MA0741.1.KLF16	chr2	32757750	32757760	-	0.000	0.000	Merged-chr2-32757735-1
NR54148--MA0599.1.KLF5	chr6	8648813	8648822	+	0.000	0.000	Merged-chr6-8648625-101
NR56798--MA0599.1.KLF5	chr6	119199105	119199114	+	0.000	0.000	Merged-chr6-119199024-52
NR26214--MA0493.1.Klf1	chr16	23286640	23286650	-	0.000	0.000	Merged-chr16-23286554-38
NR6104--MA1107.1.KLF9	chr10	37250056	37250068	+	0.000	0.000	Merged-chr10-37249909-39
NR56803--MA0599.1.KLF5	chr6	119199131	119199140	+	0.000	0.000	Merged-chr6-119199024-52
NR41757--MA0493.1.Klf1	chr3	55744077	55744087	-	0.000	0.000	Merged-chr3-55744037-44
NR36092--MA1107.1.KLF9	chr2	32447893	32447905	-	0.000	0.000	Merged-chr2-32447813-7
NR21249--MA0493.1.Klf1	chr14	69774965	69774975	-	0.000	0.000	Merged-chr14-69774788-96
NR60793--MA0741.1.KLF16	chr7	101466457	101466467	-	0.000	0.000	Merged-chr7-101466620-78
NR67175--MA1107.1.KLF9	chr9	80266691	80266703	-	0.000	0.000	Merged-chr9-80266579-55
NR59507--MA0740.1.KLF14	chr7	45916918	45916931	-	0.000	0.000	Merged-chr7-45916816-45
NR67556--MA0741.1.KLF16	chr9	94607630	94607640	-	0.000	0.000	Merged-chr9-94607543-65
NR47714--MA0741.1.KLF16	chr4	119947767	119947777	-	0.000	0.000	Merged-chr4-119947761-47
NR48676--MA0599.1.KLF5	chr4	141425713	141425722	-	0.000	0.000	Merged-chr4-141425823-59
NR7385--MA0741.1.KLF16	chr10	78399397	78399407	+	0.000	0.000	Merged-chr10-78399498-14
NR13104--MA0740.1.KLF14	chr12	4208867	4208880	-	0.000	0.000	Merged-chr12-4208926-20
NR53--MA0599.1.KLF5	chr1	6467070	6467079	-	0.000	0.000	Merged-chr1-6467226-38
NR6097--MA1107.1.KLF9	chr10	37250042	37250054	+	0.000	0.000	Merged-chr10-37249909-39
NR19004--MA0599.1.KLF5	chr13	109239171	109239180	-	0.000	0.000	Merged-chr13-109239401-35
NR21250--MA1107.1.KLF9	chr14	69774963	69774975	-	0.000	0.000	Merged-chr14-69774788-96
NR58074--MA0741.1.KLF16	chr7	5061226	5061236	-	0.000	0.000	Merged-chr7-5061292-3
NR40334--MA0493.1.Klf1	chr2	174566141	174566151	+	0.000	0.000	Merged-chr2-174566072-46
