#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed
NR8942--MA0117.2.Mafb	chr4	133688691	133688702	+	0.000	0.000	Merged-chr4-133688584-12
NR3943--MA0501.1.MAF::NFE2	chr14	72778152	72778166	-	0.000	0.000	Merged-chr14-72778135-45
NR11979--MA0117.2.Mafb	chr8	111955336	111955347	-	0.000	0.000	Merged-chr8-111955328-48
NR9595--MA0089.1.MAFG::NFE2L1	chr5	103719958	103719963	+	0.000	0.000	Merged-chr5-103720100-12
NR2415--MA0495.2.MAFF	chr11	121039351	121039371	+	0.000	0.000	Merged-chr11-121039238-62
NR10314--MA0496.2.MAFK	chr6	99435315	99435333	+	0.000	0.000	Merged-chr6-99435291-39
NR6461--MA0495.2.MAFF	chr2	27693883	27693903	+	0.000	0.000	Merged-chr2-27693880-30
NR6368--MA0591.1.Bach1::Mafk	chr2	6086121	6086135	-	0.000	0.000	Merged-chr2-6086104-9
NR8779--MA0089.1.MAFG::NFE2L1	chr4	108371682	108371687	+	0.000	0.000	Merged-chr4-108371608-19
NR11557--MA0495.2.MAFF	chr7	140983129	140983149	-	0.000	0.000	Merged-chr7-140983161-18
NR12989--MA0659.1.MAFG	chrX	142792380	142792400	-	0.000	0.000	Merged-chrX-142792362-24
NR6126--MA0089.1.MAFG::NFE2L1	chr19	21785914	21785919	-	0.000	0.000	Merged-chr19-21785964-7
NR7220--MA0495.2.MAFF	chr2	144245718	144245738	+	0.000	0.000	Merged-chr2-144245539-27
NR7222--MA0659.1.MAFG	chr2	144245718	144245738	-	0.000	0.000	Merged-chr2-144245539-27
NR11799--MA0495.2.MAFF	chr8	75202261	75202281	+	0.000	0.000	Merged-chr8-75202303-18
NR5661--MA0089.1.MAFG::NFE2L1	chr18	25479855	25479860	-	0.000	0.000	Merged-chr18-25479728-10
NR5237--MA0496.2.MAFK	chr17	26572480	26572498	+	0.000	0.000	Merged-chr17-26572396-49
NR12452--MA0659.1.MAFG	chr9	72097291	72097311	+	0.000	0.000	Merged-chr9-72097262-35
NR219--MA0089.1.MAFG::NFE2L1	chr1	62829929	62829934	-	0.000	0.000	Merged-chr1-62829921-36
NR7342--MA0089.1.MAFG::NFE2L1	chr2	156882593	156882598	-	0.000	0.000	Merged-chr2-156882642-42
NR3340--MA0495.2.MAFF	chr13	75844206	75844226	+	0.000	0.000	Merged-chr13-75844274-45
NR9629--MA0089.1.MAFG::NFE2L1	chr5	107777610	107777615	+	0.000	0.000	Merged-chr5-107777420-29
NR1892--MA0591.1.Bach1::Mafk	chr11	32580671	32580685	+	0.000	0.000	Merged-chr11-32580688-47
NR11134--MA0117.2.Mafb	chr7	80410467	80410478	+	0.000	0.000	Merged-chr7-80410451-25
NR877--MA0501.1.MAF::NFE2	chr1	171921518	171921532	-	0.000	0.000	Merged-chr1-171921445-86
NR6168--MA0501.1.MAF::NFE2	chr19	32172691	32172705	+	0.000	0.000	Merged-chr19-32172725-56
NR11076--MA0591.1.Bach1::Mafk	chr7	68350178	68350192	+	0.000	0.000	Merged-chr7-68350249-38
NR2418--MA0591.1.Bach1::Mafk	chr11	121039354	121039368	-	0.000	0.000	Merged-chr11-121039238-62
NR6539--MA0089.1.MAFG::NFE2L1	chr2	37565818	37565823	+	0.000	0.000	Merged-chr2-37565860-32
NR5685--MA0089.1.MAFG::NFE2L1	chr18	37813972	37813977	-	0.000	0.000	Merged-chr18-37813954-31
NR12594--MA0495.2.MAFF	chr9	94441517	94441537	+	0.000	0.000	Merged-chr9-94441414-62
NR3449--MA0089.1.MAFG::NFE2L1	chr13	98832868	98832873	-	0.000	0.000	Merged-chr13-98832743-37
NR290--MA0089.1.MAFG::NFE2L1	chr1	78478073	78478078	+	0.000	0.000	Merged-chr1-78478073-15
NR9323--MA0089.1.MAFG::NFE2L1	chr5	35818088	35818093	-	0.000	0.000	Merged-chr5-35818089-1
NR8093--MA0089.1.MAFG::NFE2L1	chr3	130691917	130691922	-	0.000	0.000	Merged-chr3-130691928-1
NR11054--MA0089.1.MAFG::NFE2L1	chr7	66116123	66116128	+	0.000	0.000	Merged-chr7-66116161-49
NR2929--MA0659.1.MAFG	chr12	114615864	114615884	-	0.000	0.000	Merged-chr12-114615725-85
NR12185--MA0089.1.MAFG::NFE2L1	chr9	5623575	5623580	-	0.000	0.000	Merged-chr9-5623590-21
NR1073--MA0089.1.MAFG::NFE2L1	chr1	191421152	191421157	+	0.000	0.000	Merged-chr1-191421132-37
NR5708--MA0089.1.MAFG::NFE2L1	chr18	41979645	41979650	+	0.000	0.000	Merged-chr18-41979653-39
NR1506--MA0495.2.MAFF	chr10	88783292	88783312	+	0.000	0.000	Merged-chr10-88783253-12
NR10993--MA0089.1.MAFG::NFE2L1	chr7	45771302	45771307	-	0.000	0.000	Merged-chr7-45771241-24
NR9506--MA0501.1.MAF::NFE2	chr5	92327473	92327487	-	0.000	0.000	Merged-chr5-92327493-24
NR1510--MA0496.2.MAFK	chr10	88783293	88783311	+	0.000	0.000	Merged-chr10-88783253-12
NR11701--MA0591.1.Bach1::Mafk	chr8	40584824	40584838	-	0.000	0.000	Merged-chr8-40584789-43
NR2416--MA0089.1.MAFG::NFE2L1	chr11	121039363	121039368	+	0.000	0.000	Merged-chr11-121039238-62
NR8024--MA0501.1.MAF::NFE2	chr3	116434786	116434800	-	0.000	0.000	Merged-chr3-116434903-21
NR6532--MA0117.2.Mafb	chr2	35382281	35382292	+	0.000	0.000	Merged-chr2-35382187-12
NR12297--MA0659.1.MAFG	chr9	43785161	43785181	-	0.000	0.000	Merged-chr9-43784994-20
NR11089--MA0495.2.MAFF	chr7	74587728	74587748	-	0.000	0.000	Merged-chr7-74587664-21
NR6735--MA0089.1.MAFG::NFE2L1	chr2	79122797	79122802	+	0.000	0.000	Merged-chr2-79122721-3
NR3041--MA0089.1.MAFG::NFE2L1	chr13	6624325	6624330	-	0.000	0.000	Merged-chr13-6624284-1
NR2818--MA0089.1.MAFG::NFE2L1	chr12	105001141	105001146	+	0.000	0.000	Merged-chr12-105001185-43
NR3834--MA0089.1.MAFG::NFE2L1	chr14	60129741	60129746	+	0.000	0.000	Merged-chr14-60129717-50
NR2468--MA0501.1.MAF::NFE2	chr12	12278422	12278436	-	0.000	0.000	Merged-chr12-12278395-37
NR595--MA0591.1.Bach1::Mafk	chr1	136255312	136255326	-	0.000	0.000	Merged-chr1-136255292-47
NR4476--MA0496.2.MAFK	chr15	82906878	82906896	-	0.000	0.000	Merged-chr15-82906941-10
NR11740--MA0501.1.MAF::NFE2	chr8	57387822	57387836	-	0.000	0.000	Merged-chr8-57387843-7
NR5500--MA0089.1.MAFG::NFE2L1	chr17	80632320	80632325	-	0.000	0.000	Merged-chr17-80632464-23
NR10758--MA0501.1.MAF::NFE2	chr6	144804578	144804592	+	0.000	0.000	Merged-chr6-144804553-29
NR6124--MA0591.1.Bach1::Mafk	chr19	21785351	21785365	-	0.000	0.000	Merged-chr19-21785424-37
NR9381--MA0591.1.Bach1::Mafk	chr5	62816022	62816036	+	0.000	0.000	Merged-chr5-62815867-48
NR9660--MA0591.1.Bach1::Mafk	chr5	112488583	112488597	-	0.000	0.000	Merged-chr5-112488536-19
NR4119--MA0089.1.MAFG::NFE2L1	chr14	121361682	121361687	-	0.000	0.000	Merged-chr14-121361598-37
NR5438--MA0501.1.MAF::NFE2	chr17	71192185	71192199	-	0.000	0.000	Merged-chr17-71192022-46
NR6372--MA0117.2.Mafb	chr2	7254680	7254691	+	0.000	0.000	Merged-chr2-7254714-17
NR8367--MA0501.1.MAF::NFE2	chr4	6925026	6925040	-	0.000	0.000	Merged-chr4-6924913-49
NR691--MA0496.2.MAFK	chr1	152254076	152254094	-	0.000	0.000	Merged-chr1-152254014-57
NR12987--MA0591.1.Bach1::Mafk	chrX	142792383	142792397	+	0.000	0.000	Merged-chrX-142792362-24
NR11361--MA0089.1.MAFG::NFE2L1	chr7	117988681	117988686	+	0.000	0.000	Merged-chr7-117988670-8
NR8646--MA0117.2.Mafb	chr4	89212647	89212658	-	0.000	0.000	Merged-chr4-89212481-15
NR3129--MA0501.1.MAF::NFE2	chr13	35131504	35131518	+	0.000	0.000	Merged-chr13-35131726-73
NR5033--MA0089.1.MAFG::NFE2L1	chr16	91366733	91366738	-	0.000	0.000	Merged-chr16-91366873-55
NR11323--MA0591.1.Bach1::Mafk	chr7	112238996	112239010	+	0.000	0.000	Merged-chr7-112238810-51
NR913--MA0117.2.Mafb	chr1	177455720	177455731	-	0.000	0.000	Merged-chr1-177455545-12
NR5913--MA0089.1.MAFG::NFE2L1	chr18	73816679	73816684	-	0.000	0.000	Merged-chr18-73816843-39
NR5831--MA0496.2.MAFK	chr18	62163116	62163134	+	0.000	0.000	Merged-chr18-62163179-10
NR123--MA0496.2.MAFK	chr1	43888561	43888579	+	0.000	0.000	Merged-chr1-43888618-32
NR12617--MA0089.1.MAFG::NFE2L1	chr9	95832860	95832865	-	0.000	0.000	Merged-chr9-95832946-23
NR6257--MA0591.1.Bach1::Mafk	chr19	53020224	53020238	-	0.000	0.000	Merged-chr19-53020270-32
NR6167--MA0659.1.MAFG	chr19	32172685	32172705	-	0.000	0.000	Merged-chr19-32172725-56
NR7223--MA0496.2.MAFK	chr2	144245719	144245737	+	0.000	0.000	Merged-chr2-144245539-27
NR3450--MA0089.1.MAFG::NFE2L1	chr13	99148661	99148666	-	0.000	0.000	Merged-chr13-99148566-18
NR18--MA0089.1.MAFG::NFE2L1	chr1	13301631	13301636	+	0.000	0.000	Merged-chr1-13301807-39
NR4519--MA0089.1.MAFG::NFE2L1	chr15	90229392	90229397	-	0.000	0.000	Merged-chr15-90229607-22
NR6513--MA0501.1.MAF::NFE2	chr2	34198749	34198763	+	0.000	0.000	Merged-chr2-34198771-20
NR3289--MA0089.1.MAFG::NFE2L1	chr13	67378338	67378343	+	0.000	0.000	Merged-chr13-67378314-6
NR8610--MA0089.1.MAFG::NFE2L1	chr4	83355024	83355029	-	0.000	0.000	Merged-chr4-83354968-34
NR12346--MA0591.1.Bach1::Mafk	chr9	52074081	52074095	-	0.000	0.000	Merged-chr9-52073999-13
NR9750--MA0591.1.Bach1::Mafk	chr5	125052458	125052472	-	0.000	0.000	Merged-chr5-125052528-23
NR1985--MA0117.2.Mafb	chr11	59293985	59293996	-	0.000	0.000	Merged-chr11-59293910-11
NR6508--MA0659.1.MAFG	chr2	34140005	34140025	+	0.000	0.000	Merged-chr2-34139840-30
NR4474--MA0495.2.MAFF	chr15	82906877	82906897	-	0.000	0.000	Merged-chr15-82906941-10
NR12293--MA0495.2.MAFF	chr9	43785161	43785181	-	0.000	0.000	Merged-chr9-43784994-20
NR12539--MA0089.1.MAFG::NFE2L1	chr9	85672289	85672294	-	0.000	0.000	Merged-chr9-85672342-1
NR5431--MA0089.1.MAFG::NFE2L1	chr17	69423038	69423043	-	0.000	0.000	Merged-chr17-69422874-19
NR11496--MA0089.1.MAFG::NFE2L1	chr7	132772572	132772577	+	0.000	0.000	Merged-chr7-132772585-7
NR198--MA0117.2.Mafb	chr1	60875494	60875505	-	0.000	0.000	Merged-chr1-60875356-55
NR7818--MA0089.1.MAFG::NFE2L1	chr3	87387598	87387603	-	0.000	0.000	Merged-chr3-87387698-10
NR9663--MA0089.1.MAFG::NFE2L1	chr5	113613431	113613436	-	0.000	0.000	Merged-chr5-113613297-13
NR3485--MA0089.1.MAFG::NFE2L1	chr13	101707386	101707391	+	0.000	0.000	Merged-chr13-101707362-90
NR8025--MA0591.1.Bach1::Mafk	chr3	116434931	116434945	+	0.000	0.000	Merged-chr3-116434903-21
NR6544--MA0117.2.Mafb	chr2	38536563	38536574	-	0.000	0.000	Merged-chr2-38536477-82
NR10223--MA0117.2.Mafb	chr6	85147822	85147833	-	0.000	0.000	Merged-chr6-85147771-14
NR95--MA0501.1.MAF::NFE2	chr1	40386291	40386305	+	0.000	0.000	Merged-chr1-40386352-39
NR8658--MA0089.1.MAFG::NFE2L1	chr4	89369137	89369142	+	0.000	0.000	Merged-chr4-89369224-21
NR4035--MA0089.1.MAFG::NFE2L1	chr14	102828623	102828628	+	0.000	0.000	Merged-chr14-102828632-27
NR11309--MA0591.1.Bach1::Mafk	chr7	110824142	110824156	-	0.000	0.000	Merged-chr7-110824322-44
NR10427--MA0496.2.MAFK	chr6	115594718	115594736	+	0.000	0.000	Merged-chr6-115594731-47
NR11115--MA0089.1.MAFG::NFE2L1	chr7	79249754	79249759	+	0.000	0.000	Merged-chr7-79249720-34
NR4716--MA0591.1.Bach1::Mafk	chr16	24474951	24474965	-	0.000	0.000	Merged-chr16-24474974-11
NR5642--MA0089.1.MAFG::NFE2L1	chr18	23828700	23828705	-	0.000	0.000	Merged-chr18-23828715-22
NR4371--MA0501.1.MAF::NFE2	chr15	73182618	73182632	-	0.000	0.000	Merged-chr15-73182706-35
NR12298--MA0496.2.MAFK	chr9	43785162	43785180	+	0.000	0.000	Merged-chr9-43784994-20
NR9606--MA0591.1.Bach1::Mafk	chr5	105291092	105291106	+	0.000	0.000	Merged-chr5-105291153-16
NR5028--MA0495.2.MAFF	chr16	91366658	91366678	+	0.000	0.000	Merged-chr16-91366873-55
NR6716--MA0591.1.Bach1::Mafk	chr2	75685656	75685670	+	0.000	0.000	Merged-chr2-75685689-38
NR36--MA0089.1.MAFG::NFE2L1	chr1	20766678	20766683	-	0.000	0.000	Merged-chr1-20766829-14
NR10994--MA0501.1.MAF::NFE2	chr7	45771276	45771290	+	0.000	0.000	Merged-chr7-45771241-24
NR6290--MA0591.1.Bach1::Mafk	chr19	55773301	55773315	+	0.000	0.000	Merged-chr19-55773145-3
NR12451--MA0495.2.MAFF	chr9	72097291	72097311	+	0.000	0.000	Merged-chr9-72097262-35
NR10009--MA0117.2.Mafb	chr6	33675663	33675674	+	0.000	0.000	Merged-chr6-33675584-7
NR12453--MA0659.1.MAFG	chr9	72097291	72097311	-	0.000	0.000	Merged-chr9-72097262-35
NR11800--MA0495.2.MAFF	chr8	75202261	75202281	-	0.000	0.000	Merged-chr8-75202303-18
NR8425--MA0659.1.MAFG	chr4	32257761	32257781	-	0.000	0.000	Merged-chr4-32257822-1
NR6305--MA0089.1.MAFG::NFE2L1	chr19	57131622	57131627	+	0.000	0.000	Merged-chr19-57131601-25
NR4719--MA0591.1.Bach1::Mafk	chr16	24517910	24517924	-	0.000	0.000	Merged-chr16-24517976-11
NR2465--MA0591.1.Bach1::Mafk	chr12	12278425	12278439	-	0.000	0.000	Merged-chr12-12278395-37
NR7803--MA0591.1.Bach1::Mafk	chr3	84046622	84046636	-	0.000	0.000	Merged-chr3-84046424-40
NR111--MA0501.1.MAF::NFE2	chr1	43224401	43224415	-	0.000	0.000	Merged-chr1-43224405-37
NR979--MA0089.1.MAFG::NFE2L1	chr1	183179981	183179986	+	0.000	0.000	Merged-chr1-183179810-7
NR3341--MA0495.2.MAFF	chr13	75844206	75844226	-	0.000	0.000	Merged-chr13-75844274-45
NR9596--MA0089.1.MAFG::NFE2L1	chr5	103719956	103719961	-	0.000	0.000	Merged-chr5-103720100-12
NR9508--MA0501.1.MAF::NFE2	chr5	92373330	92373344	-	0.000	0.000	Merged-chr5-92373310-21
NR6163--MA0495.2.MAFF	chr19	32172685	32172705	+	0.000	0.000	Merged-chr19-32172725-56
NR4368--MA0501.1.MAF::NFE2	chr15	73006580	73006594	-	0.000	0.000	Merged-chr15-73006650-8
NR1647--MA0089.1.MAFG::NFE2L1	chr10	111214815	111214820	-	0.000	0.000	Merged-chr10-111214498-109
NR473--MA0089.1.MAFG::NFE2L1	chr1	108038595	108038600	+	0.000	0.000	Merged-chr1-108038539-17
NR10787--MA0089.1.MAFG::NFE2L1	chr6	146081106	146081111	-	0.000	0.000	Merged-chr6-146081045-99
NR12595--MA0495.2.MAFF	chr9	94441517	94441537	-	0.000	0.000	Merged-chr9-94441414-62
NR11626--MA0089.1.MAFG::NFE2L1	chr8	13599160	13599165	-	0.000	0.000	Merged-chr8-13599016-7
NR12179--MA0089.1.MAFG::NFE2L1	chr8	128646934	128646939	-	0.000	0.000	Merged-chr8-128646767-27
NR4488--MA0591.1.Bach1::Mafk	chr15	83474198	83474212	+	0.000	0.000	Merged-chr15-83474258-63
NR5829--MA0591.1.Bach1::Mafk	chr18	62163118	62163132	+	0.000	0.000	Merged-chr18-62163179-10
NR204--MA0501.1.MAF::NFE2	chr1	61039451	61039465	-	0.000	0.000	Merged-chr1-61039499-28
NR5445--MA0591.1.Bach1::Mafk	chr17	71620892	71620906	-	0.000	0.000	Merged-chr17-71620932-1
NR1507--MA0495.2.MAFF	chr10	88783292	88783312	-	0.000	0.000	Merged-chr10-88783253-12
NR9819--MA0089.1.MAFG::NFE2L1	chr5	139197006	139197011	+	0.000	0.000	Merged-chr5-139197126-38
NR873--MA0089.1.MAFG::NFE2L1	chr1	171629077	171629082	-	0.000	0.000	Merged-chr1-171629248-54
NR11044--MA0496.2.MAFK	chr7	63919523	63919541	+	0.000	0.000	Merged-chr7-63919556-12
NR5338--MA0591.1.Bach1::Mafk	chr17	47564742	47564756	+	0.000	0.000	Merged-chr17-47564757-20
NR11091--MA0117.2.Mafb	chr7	74698040	74698051	+	0.000	0.000	Merged-chr7-74698017-54
NR10425--MA0495.2.MAFF	chr6	115594717	115594737	+	0.000	0.000	Merged-chr6-115594731-47
NR2503--MA0495.2.MAFF	chr12	25256485	25256505	+	0.000	0.000	Merged-chr12-25256439-11
NR11342--MA0591.1.Bach1::Mafk	chr7	115311006	115311020	-	0.000	0.000	Merged-chr7-115311049-7
NR8783--MA0501.1.MAF::NFE2	chr4	108826237	108826251	+	0.000	0.000	Merged-chr4-108826101-25
NR3800--MA0089.1.MAFG::NFE2L1	chr14	54146777	54146782	-	0.000	0.000	Merged-chr14-54146707-32
NR870--MA0496.2.MAFK	chr1	171627886	171627904	-	0.000	0.000	Merged-chr1-171628029-22
NR6223--MA0089.1.MAFG::NFE2L1	chr19	42305982	42305987	+	0.000	0.000	Merged-chr19-42305883-1
NR4440--MA0089.1.MAFG::NFE2L1	chr15	80216733	80216738	-	0.000	0.000	Merged-chr15-80216610-25
NR9628--MA0089.1.MAFG::NFE2L1	chr5	107759290	107759295	+	0.000	0.000	Merged-chr5-107759301-16
NR5375--MA0501.1.MAF::NFE2	chr17	57183022	57183036	-	0.000	0.000	Merged-chr17-57183114-28
NR12043--MA0591.1.Bach1::Mafk	chr8	119946506	119946520	-	0.000	0.000	Merged-chr8-119946472-42
NR12988--MA0659.1.MAFG	chrX	142792380	142792400	+	0.000	0.000	Merged-chrX-142792362-24
NR4752--MA0591.1.Bach1::Mafk	chr16	33769917	33769931	-	0.000	0.000	Merged-chr16-33769896-51
NR12360--MA0089.1.MAFG::NFE2L1	chr9	55102276	55102281	+	0.000	0.000	Merged-chr9-55102396-26
NR5830--MA0501.1.MAF::NFE2	chr18	62163121	62163135	+	0.000	0.000	Merged-chr18-62163179-10
NR6545--MA0496.2.MAFK	chr2	38536552	38536570	+	0.000	0.000	Merged-chr2-38536477-82
NR7221--MA0659.1.MAFG	chr2	144245718	144245738	+	0.000	0.000	Merged-chr2-144245539-27
NR12990--MA0496.2.MAFK	chrX	142792381	142792399	+	0.000	0.000	Merged-chrX-142792362-24
NR2190--MA0089.1.MAFG::NFE2L1	chr11	95351135	95351140	-	0.000	0.000	Merged-chr11-95351110-19
NR6125--MA0495.2.MAFF	chr19	21785904	21785924	+	0.000	0.000	Merged-chr19-21785964-7
NR4751--MA0495.2.MAFF	chr16	33769914	33769934	+	0.000	0.000	Merged-chr16-33769896-51
NR9624--MA0089.1.MAFG::NFE2L1	chr5	107649020	107649025	+	0.000	0.000	Merged-chr5-107649073-49
NR6515--MA0501.1.MAF::NFE2	chr2	34508772	34508786	-	0.000	0.000	Merged-chr2-34508742-2
NR5030--MA0496.2.MAFK	chr16	91366659	91366677	+	0.000	0.000	Merged-chr16-91366873-55
NR4753--MA0659.1.MAFG	chr16	33769914	33769934	+	0.000	0.000	Merged-chr16-33769896-51
NR10294--MA0501.1.MAF::NFE2	chr6	95712230	95712244	-	0.000	0.000	Merged-chr6-95712332-22
NR7652--MA0089.1.MAFG::NFE2L1	chr3	22138113	22138118	-	0.000	0.000	Merged-chr3-22138280-48
NR11442--MA0089.1.MAFG::NFE2L1	chr7	125511602	125511607	-	0.000	0.000	Merged-chr7-125511628-40
NR6323--MA0591.1.Bach1::Mafk	chr19	58358286	58358300	-	0.000	0.000	Merged-chr19-58358384-21
NR4735--MA0117.2.Mafb	chr16	30948338	30948349	-	0.000	0.000	Merged-chr16-30948411-38
NR2466--MA0659.1.MAFG	chr12	12278413	12278433	+	0.000	0.000	Merged-chr12-12278395-37
NR9814--MA0591.1.Bach1::Mafk	chr5	137870853	137870867	+	0.000	0.000	Merged-chr5-137870793-17
NR11831--MA0089.1.MAFG::NFE2L1	chr8	81756826	81756831	+	0.000	0.000	Merged-chr8-81756964-44
NR6465--MA0496.2.MAFK	chr2	27693884	27693902	+	0.000	0.000	Merged-chr2-27693880-30
NR11142--MA0117.2.Mafb	chr7	81319849	81319860	+	0.000	0.000	Merged-chr7-81320014-23
NR729--MA0089.1.MAFG::NFE2L1	chr1	156459786	156459791	+	0.000	0.000	Merged-chr1-156459929-41
