#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed
NR6440--MA0769.1.Tcf7	chr4	140601357	140601368	-	0.000	0.000	Merged-chr4-140601329-15
NR2300--MA0769.1.Tcf7	chr13	52702319	52702330	-	0.000	0.000	Merged-chr13-52702318-14
NR522--MA1421.1.TCF7L1	chr1	156901812	156901823	+	0.000	0.000	Merged-chr1-156901975-24
NR2994--MA0769.1.Tcf7	chr14	121353973	121353984	-	0.000	0.000	Merged-chr14-121354142-24
NR2627--MA0769.1.Tcf7	chr14	15011595	15011606	+	0.000	0.000	Merged-chr14-15011517-9
NR4138--MA0523.1.TCF7L2	chr18	53951307	53951320	-	0.000	0.000	Merged-chr18-53951279-47
NR3455--MA0523.1.TCF7L2	chr16	32972826	32972839	-	0.000	0.000	Merged-chr16-32972762-21
NR8484--MA0523.1.TCF7L2	chr8	126536287	126536300	+	0.000	0.000	Merged-chr8-126536353-14
NR1000--MA0769.1.Tcf7	chr10	75417807	75417818	+	0.000	0.000	Merged-chr10-75417748-37
NR2551--MA0769.1.Tcf7	chr13	114086612	114086623	-	0.000	0.000	Merged-chr13-114086496-8
NR268--MA1421.1.TCF7L1	chr1	94025609	94025620	+	0.000	0.000	Merged-chr1-94025615-17
NR4125--MA0523.1.TCF7L2	chr18	46381240	46381253	-	0.000	0.000	Merged-chr18-46381195-31
NR1022--MA1421.1.TCF7L1	chr10	81247930	81247941	-	0.000	0.000	Merged-chr10-81248090-40
NR8949--MA0523.1.TCF7L2	chr9	114592575	114592588	-	0.000	0.000	Merged-chr9-114592565-4
NR3055--MA0523.1.TCF7L2	chr15	18951826	18951839	-	0.000	0.000	Merged-chr15-18951851-25
NR8522--MA0769.1.Tcf7	chr9	11559578	11559589	-	0.000	0.000	Merged-chr9-11559688-28
NR5147--MA0523.1.TCF7L2	chr2	139934967	139934980	-	0.000	0.000	Merged-chr2-139934935-45
NR8252--MA0523.1.TCF7L2	chr8	60954792	60954805	+	0.000	0.000	Merged-chr8-60954738-34
NR1117--MA0769.1.Tcf7	chr10	96955127	96955138	+	0.000	0.000	Merged-chr10-96955164-15
NR1023--MA0769.1.Tcf7	chr10	81247930	81247941	-	0.000	0.000	Merged-chr10-81248090-40
NR2646--MA1421.1.TCF7L1	chr14	21078625	21078636	-	0.000	0.000	Merged-chr14-21078723-20
NR8033--MA0523.1.TCF7L2	chr7	128669092	128669105	-	0.000	0.000	Merged-chr7-128669075-5
NR3440--MA0769.1.Tcf7	chr16	30655882	30655893	-	0.000	0.000	Merged-chr16-30655956-7
NR7549--MA0769.1.Tcf7	chr6	135433970	135433981	+	0.000	0.000	Merged-chr6-135433920-18
NR6047--MA1421.1.TCF7L1	chr4	7961628	7961639	-	0.000	0.000	Merged-chr4-7961828-25
NR3219--MA0523.1.TCF7L2	chr15	75634462	75634475	-	0.000	0.000	Merged-chr15-75634516-4
NR5196--MA1421.1.TCF7L1	chr2	146888003	146888014	-	0.000	0.000	Merged-chr2-146888107-12
NR5774--MA0523.1.TCF7L2	chr3	117044608	117044621	+	0.000	0.000	Merged-chr3-117044595-20
NR2140--MA0523.1.TCF7L2	chr13	3479821	3479834	-	0.000	0.000	Merged-chr13-3479941-4
NR270--MA0769.1.Tcf7	chr1	94025609	94025620	+	0.000	0.000	Merged-chr1-94025615-17
NR5349--MA0523.1.TCF7L2	chr2	173444591	173444604	+	0.000	0.000	Merged-chr2-173444560-32
NR3631--MA0523.1.TCF7L2	chr16	84982744	84982757	-	0.000	0.000	Merged-chr16-84982791-18
NR6710--MA0769.1.Tcf7	chr5	74105560	74105571	-	0.000	0.000	Merged-chr5-74105575-19
NR8985--MA1421.1.TCF7L1	chr9	118512768	118512779	-	0.000	0.000	Merged-chr9-118512920-16
NR2393--MA0523.1.TCF7L2	chr13	83566289	83566302	-	0.000	0.000	Merged-chr13-83566220-57
NR6379--MA0769.1.Tcf7	chr4	120044777	120044788	-	0.000	0.000	Merged-chr4-120044912-16
NR9124--MA0523.1.TCF7L2	chrX	104485819	104485832	-	0.000	0.000	Merged-chrX-104485808-11
NR1843--MA0769.1.Tcf7	chr12	69446034	69446045	+	0.000	0.000	Merged-chr12-69446107-1
NR4903--MA0523.1.TCF7L2	chr2	84837928	84837941	+	0.000	0.000	Merged-chr2-84838147-43
NR8590--MA0769.1.Tcf7	chr9	35007272	35007283	+	0.000	0.000	Merged-chr9-35007274-11
NR3687--MA0769.1.Tcf7	chr16	94374317	94374328	-	0.000	0.000	Merged-chr16-94374445-4
NR2198--MA1421.1.TCF7L1	chr13	23734524	23734535	+	0.000	0.000	Merged-chr13-23734534-7
NR4683--MA0769.1.Tcf7	chr2	43992734	43992745	-	0.000	0.000	Merged-chr2-43992698-17
NR4708--MA1421.1.TCF7L1	chr2	45946382	45946393	+	0.000	0.000	Merged-chr2-45946471-14
NR8791--MA1421.1.TCF7L1	chr9	82967413	82967424	+	0.000	0.000	Merged-chr9-82967336-26
NR6093--MA0769.1.Tcf7	chr4	32560452	32560463	-	0.000	0.000	Merged-chr4-32560610-21
NR8315--MA1421.1.TCF7L1	chr8	81735844	81735855	-	0.000	0.000	Merged-chr8-81736050-71
NR1905--MA0523.1.TCF7L2	chr12	77070155	77070168	-	0.000	0.000	Merged-chr12-77070291-10
NR536--MA0523.1.TCF7L2	chr1	161378552	161378565	+	0.000	0.000	Merged-chr1-161378762-23
NR1790--MA1421.1.TCF7L1	chr12	41168055	41168066	+	0.000	0.000	Merged-chr12-41167989-46
NR2177--MA0769.1.Tcf7	chr13	13582035	13582046	-	0.000	0.000	Merged-chr13-13582107-29
NR880--MA0769.1.Tcf7	chr10	50650808	50650819	-	0.000	0.000	Merged-chr10-50650757-16
NR728--MA0769.1.Tcf7	chr10	4512824	4512835	+	0.000	0.000	Merged-chr10-4512791-21
NR574--MA0523.1.TCF7L2	chr1	167296110	167296123	-	0.000	0.000	Merged-chr1-167296095-13
NR8462--MA0523.1.TCF7L2	chr8	123404746	123404759	-	0.000	0.000	Merged-chr8-123404693-24
NR2298--MA0769.1.Tcf7	chr13	52628151	52628162	+	0.000	0.000	Merged-chr13-52628204-1
NR2157--MA0523.1.TCF7L2	chr13	9107246	9107259	+	0.000	0.000	Merged-chr13-9107382-45
NR3612--MA1421.1.TCF7L1	chr16	76765862	76765873	+	0.000	0.000	Merged-chr16-76765749-14
NR6425--MA1421.1.TCF7L1	chr4	135911656	135911667	+	0.000	0.000	Merged-chr4-135911703-15
NR6791--MA0523.1.TCF7L2	chr5	97090319	97090332	+	0.000	0.000	Merged-chr5-97090318-20
NR2350--MA0523.1.TCF7L2	chr13	70600460	70600473	-	0.000	0.000	Merged-chr13-70600282-8
NR1711--MA0523.1.TCF7L2	chr12	21172236	21172249	+	0.000	0.000	Merged-chr12-21172304-14
NR7013--MA1421.1.TCF7L1	chr5	149203177	149203188	-	0.000	0.000	Merged-chr5-149203183-18
NR1903--MA1421.1.TCF7L1	chr12	77070144	77070155	-	0.000	0.000	Merged-chr12-77070291-10
NR198--MA1421.1.TCF7L1	chr1	82974104	82974115	-	0.000	0.000	Merged-chr1-82974163-36
NR3845--MA0769.1.Tcf7	chr17	44336877	44336888	+	0.000	0.000	Merged-chr17-44337024-21
NR5957--MA1421.1.TCF7L1	chr3	146192742	146192753	-	0.000	0.000	Merged-chr3-146192596-55
NR3608--MA1421.1.TCF7L1	chr16	76575446	76575457	-	0.000	0.000	Merged-chr16-76575582-30
NR3044--MA1421.1.TCF7L1	chr15	10447302	10447313	+	0.000	0.000	Merged-chr15-10447359-14
NR5898--MA0523.1.TCF7L2	chr3	138746758	138746771	-	0.000	0.000	Merged-chr3-138746730-15
NR2997--MA0769.1.Tcf7	chr14	121354191	121354202	+	0.000	0.000	Merged-chr14-121354142-24
NR2999--MA0523.1.TCF7L2	chr14	121992792	121992805	-	0.000	0.000	Merged-chr14-121992584-62
NR2795--MA1421.1.TCF7L1	chr14	59202012	59202023	-	0.000	0.000	Merged-chr14-59201879-5
NR1679--MA0769.1.Tcf7	chr12	3990035	3990046	+	0.000	0.000	Merged-chr12-3989980-1
NR3852--MA1421.1.TCF7L1	chr17	45342331	45342342	-	0.000	0.000	Merged-chr17-45342322-7
NR110--MA0523.1.TCF7L2	chr1	54179463	54179476	+	0.000	0.000	Merged-chr1-54179404-9
NR111--MA0769.1.Tcf7	chr1	54179463	54179474	+	0.000	0.000	Merged-chr1-54179404-9
NR1227--MA0769.1.Tcf7	chr10	117377578	117377589	-	0.000	0.000	Merged-chr10-117377577-5
NR1012--MA0769.1.Tcf7	chr10	77677796	77677807	-	0.000	0.000	Merged-chr10-77677865-23
NR4682--MA0523.1.TCF7L2	chr2	43992732	43992745	-	0.000	0.000	Merged-chr2-43992698-17
NR5725--MA1421.1.TCF7L1	chr3	108124345	108124356	+	0.000	0.000	Merged-chr3-108124378-33
NR8301--MA0769.1.Tcf7	chr8	77435082	77435093	+	0.000	0.000	Merged-chr8-77435130-10
NR6108--MA0769.1.Tcf7	chr4	34551490	34551501	+	0.000	0.000	Merged-chr4-34551500-9
NR6980--MA0523.1.TCF7L2	chr5	142891542	142891555	-	0.000	0.000	Merged-chr5-142891617-16
NR9126--MA1421.1.TCF7L1	chrX	106608147	106608158	+	0.000	0.000	Merged-chrX-106608183-10
NR7612--MA0523.1.TCF7L2	chr6	145469522	145469535	+	0.000	0.000	Merged-chr6-145469437-17
NR2138--MA1421.1.TCF7L1	chr13	3479835	3479846	+	0.000	0.000	Merged-chr13-3479941-4
NR4197--MA0769.1.Tcf7	chr18	65016107	65016118	-	0.000	0.000	Merged-chr18-65016159-16
NR9067--MA0523.1.TCF7L2	chrX	50836443	50836456	+	0.000	0.000	Merged-chrX-50836312-60
NR3393--MA0523.1.TCF7L2	chr16	15910370	15910383	+	0.000	0.000	Merged-chr16-15910429-9
NR1537--MA1421.1.TCF7L1	chr11	96058765	96058776	+	0.000	0.000	Merged-chr11-96058605-21
NR3811--MA0523.1.TCF7L2	chr17	31693694	31693707	-	0.000	0.000	Merged-chr17-31693537-59
NR2116--MA0769.1.Tcf7	chr12	117679066	117679077	-	0.000	0.000	Merged-chr12-117679056-43
NR6719--MA0523.1.TCF7L2	chr5	75661050	75661063	-	0.000	0.000	Merged-chr5-75660966-11
NR8247--MA0523.1.TCF7L2	chr8	56398906	56398919	+	0.000	0.000	Merged-chr8-56398896-15
NR8436--MA0769.1.Tcf7	chr8	115237246	115237257	+	0.000	0.000	Merged-chr8-115237313-17
NR8221--MA0769.1.Tcf7	chr8	41334274	41334285	-	0.000	0.000	Merged-chr8-41334366-24
NR901--MA0523.1.TCF7L2	chr10	54255357	54255370	+	0.000	0.000	Merged-chr10-54255218-57
NR7006--MA0769.1.Tcf7	chr5	148373460	148373471	+	0.000	0.000	Merged-chr5-148373511-17
NR7192--MA1421.1.TCF7L1	chr6	55256723	55256734	-	0.000	0.000	Merged-chr6-55256807-22
NR4196--MA0523.1.TCF7L2	chr18	65016105	65016118	-	0.000	0.000	Merged-chr18-65016159-16
NR999--MA0523.1.TCF7L2	chr10	75417807	75417820	+	0.000	0.000	Merged-chr10-75417748-37
NR7838--MA1421.1.TCF7L1	chr7	84143206	84143217	-	0.000	0.000	Merged-chr7-84143230-35
NR815--MA0769.1.Tcf7	chr10	25387446	25387457	-	0.000	0.000	Merged-chr10-25387454-21
NR4820--MA0523.1.TCF7L2	chr2	68932316	68932329	-	0.000	0.000	Merged-chr2-68932401-28
NR3110--MA0523.1.TCF7L2	chr15	38634664	38634677	+	0.000	0.000	Merged-chr15-38634612-4
NR3260--MA0769.1.Tcf7	chr15	85042792	85042803	-	0.000	0.000	Merged-chr15-85042702-72
NR2036--MA0769.1.Tcf7	chr12	107721079	107721090	+	0.000	0.000	Merged-chr12-107721179-46
NR8696--MA0769.1.Tcf7	chr9	61745157	61745168	-	0.000	0.000	Merged-chr9-61745239-9
NR3587--MA0769.1.Tcf7	chr16	58553514	58553525	+	0.000	0.000	Merged-chr16-58553585-23
NR1886--MA0523.1.TCF7L2	chr12	76385174	76385187	-	0.000	0.000	Merged-chr12-76385327-16
NR2929--MA1421.1.TCF7L1	chr14	103017271	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR1629--MA0523.1.TCF7L2	chr11	113206337	113206350	+	0.000	0.000	Merged-chr11-113206318-17
NR972--MA0769.1.Tcf7	chr10	68795228	68795239	+	0.000	0.000	Merged-chr10-68795469-52
NR3254--MA1421.1.TCF7L1	chr15	84372947	84372958	+	0.000	0.000	Merged-chr15-84372915-18
NR4789--MA0769.1.Tcf7	chr2	61494272	61494283	-	0.000	0.000	Merged-chr2-61494309-57
NR6403--MA1421.1.TCF7L1	chr4	129739567	129739578	-	0.000	0.000	Merged-chr4-129739649-11
NR2049--MA0523.1.TCF7L2	chr12	110256795	110256808	-	0.000	0.000	Merged-chr12-110256861-12
NR3256--MA0769.1.Tcf7	chr15	84372947	84372958	+	0.000	0.000	Merged-chr15-84372915-18
NR7175--MA1421.1.TCF7L1	chr6	53706591	53706602	+	0.000	0.000	Merged-chr6-53706669-3
NR813--MA1421.1.TCF7L1	chr10	25387446	25387457	-	0.000	0.000	Merged-chr10-25387454-21
NR6536--MA1421.1.TCF7L1	chr5	9107427	9107438	+	0.000	0.000	Merged-chr5-9107352-33
NR2930--MA0523.1.TCF7L2	chr14	103017269	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR5776--MA0769.1.Tcf7	chr3	117044690	117044701	+	0.000	0.000	Merged-chr3-117044595-20
NR3377--MA0769.1.Tcf7	chr16	10669094	10669105	-	0.000	0.000	Merged-chr16-10669015-79
NR344--MA1421.1.TCF7L1	chr1	119795337	119795348	-	0.000	0.000	Merged-chr1-119795246-28
NR3312--MA0523.1.TCF7L2	chr15	97842347	97842360	-	0.000	0.000	Merged-chr15-97842393-22
NR3144--MA0523.1.TCF7L2	chr15	52887037	52887050	-	0.000	0.000	Merged-chr15-52887057-9
NR2954--MA1421.1.TCF7L1	chr14	108374020	108374031	+	0.000	0.000	Merged-chr14-108373968-8
NR5897--MA0769.1.Tcf7	chr3	138649917	138649928	+	0.000	0.000	Merged-chr3-138649925-12
NR8034--MA0769.1.Tcf7	chr7	128669094	128669105	-	0.000	0.000	Merged-chr7-128669075-5
NR2992--MA1421.1.TCF7L1	chr14	121353973	121353984	-	0.000	0.000	Merged-chr14-121354142-24
NR968--MA0769.1.Tcf7	chr10	67697939	67697950	+	0.000	0.000	Merged-chr10-67697981-39
NR5436--MA0769.1.Tcf7	chr3	28318055	28318066	-	0.000	0.000	Merged-chr3-28318064-9
NR6780--MA1421.1.TCF7L1	chr5	96254011	96254022	-	0.000	0.000	Merged-chr5-96254113-8
NR8258--MA0769.1.Tcf7	chr8	61436794	61436805	+	0.000	0.000	Merged-chr8-61436904-17
NR3046--MA0769.1.Tcf7	chr15	10447302	10447313	+	0.000	0.000	Merged-chr15-10447359-14
NR3722--MA0769.1.Tcf7	chr16	97402541	97402552	-	0.000	0.000	Merged-chr16-97402543-6
NR1107--MA1421.1.TCF7L1	chr10	96201432	96201443	+	0.000	0.000	Merged-chr10-96201472-66
NR6039--MA0523.1.TCF7L2	chr4	6675221	6675234	-	0.000	0.000	Merged-chr4-6675237-24
NR6304--MA1421.1.TCF7L1	chr4	101998524	101998535	-	0.000	0.000	Merged-chr4-101998677-38
NR1690--MA0769.1.Tcf7	chr12	8817879	8817890	+	0.000	0.000	Merged-chr12-8817903-12
NR3771--MA0523.1.TCF7L2	chr17	21661761	21661774	+	0.000	0.000	Merged-chr17-21661730-8
NR6510--MA1421.1.TCF7L1	chr4	150517644	150517655	-	0.000	0.000	Merged-chr4-150517532-35
NR6174--MA1421.1.TCF7L1	chr4	56944537	56944548	-	0.000	0.000	Merged-chr4-56944579-16
NR3514--MA0523.1.TCF7L2	chr16	45361320	45361333	-	0.000	0.000	Merged-chr16-45361455-26
NR1688--MA0523.1.TCF7L2	chr12	8817879	8817892	+	0.000	0.000	Merged-chr12-8817903-12
NR1484--MA1421.1.TCF7L1	chr11	76677202	76677213	-	0.000	0.000	Merged-chr11-76677169-5
NR7088--MA0769.1.Tcf7	chr6	24515044	24515055	-	0.000	0.000	Merged-chr6-24515075-25
NR5219--MA0523.1.TCF7L2	chr2	150134373	150134386	-	0.000	0.000	Merged-chr2-150134419-14
NR5850--MA0523.1.TCF7L2	chr3	132791406	132791419	-	0.000	0.000	Merged-chr3-132791387-40
NR1789--MA0769.1.Tcf7	chr12	41167989	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR6334--MA0769.1.Tcf7	chr4	107260085	107260096	+	0.000	0.000	Merged-chr4-107260166-15
NR4499--MA0769.1.Tcf7	chr19	55915611	55915622	-	0.000	0.000	Merged-chr19-55915456-76
NR2650--MA0523.1.TCF7L2	chr14	21078676	21078689	-	0.000	0.000	Merged-chr14-21078723-20
NR6558--MA0769.1.Tcf7	chr5	20087383	20087394	-	0.000	0.000	Merged-chr5-20087381-40
NR5128--MA0769.1.Tcf7	chr2	135823832	135823843	-	0.000	0.000	Merged-chr2-135823878-14
NR255--MA0523.1.TCF7L2	chr1	91626305	91626318	-	0.000	0.000	Merged-chr1-91626193-21
NR3508--MA0769.1.Tcf7	chr16	44735811	44735822	+	0.000	0.000	Merged-chr16-44735956-40
NR2865--MA0523.1.TCF7L2	chr14	73472603	73472616	+	0.000	0.000	Merged-chr14-73472602-8
NR5737--MA1421.1.TCF7L1	chr3	109421018	109421029	+	0.000	0.000	Merged-chr3-109421125-43
NR3772--MA0769.1.Tcf7	chr17	21661761	21661772	+	0.000	0.000	Merged-chr17-21661730-8
NR1193--MA0523.1.TCF7L2	chr10	111576175	111576188	+	0.000	0.000	Merged-chr10-111576182-36
NR4862--MA0769.1.Tcf7	chr2	74887206	74887217	-	0.000	0.000	Merged-chr2-74887240-10
NR4811--MA0523.1.TCF7L2	chr2	65871123	65871136	-	0.000	0.000	Merged-chr2-65871141-19
NR3329--MA0523.1.TCF7L2	chr15	100183059	100183072	+	0.000	0.000	Merged-chr15-100182935-17
NR992--MA1421.1.TCF7L1	chr10	75137253	75137264	+	0.000	0.000	Merged-chr10-75137301-35
NR4174--MA0523.1.TCF7L2	chr18	60502489	60502502	-	0.000	0.000	Merged-chr18-60502470-34
NR1906--MA0769.1.Tcf7	chr12	77070157	77070168	-	0.000	0.000	Merged-chr12-77070291-10
NR6098--MA0523.1.TCF7L2	chr4	33595605	33595618	+	0.000	0.000	Merged-chr4-33595621-34
NR7111--MA0769.1.Tcf7	chr6	34902136	34902147	+	0.000	0.000	Merged-chr6-34902272-26
NR3535--MA0523.1.TCF7L2	chr16	48745640	48745653	-	0.000	0.000	Merged-chr16-48745701-29
NR4198--MA1421.1.TCF7L1	chr18	65318476	65318487	+	0.000	0.000	Merged-chr18-65318525-2
NR5943--MA0769.1.Tcf7	chr3	144261247	144261258	+	0.000	0.000	Merged-chr3-144261016-37
NR5724--MA1421.1.TCF7L1	chr3	108124338	108124349	+	0.000	0.000	Merged-chr3-108124378-33
NR4014--MA1421.1.TCF7L1	chr18	5820061	5820072	-	0.000	0.000	Merged-chr18-5820020-28
NR347--MA0769.1.Tcf7	chr1	120162002	120162013	-	0.000	0.000	Merged-chr1-120162199-15
NR1841--MA1421.1.TCF7L1	chr12	69446034	69446045	+	0.000	0.000	Merged-chr12-69446107-1
NR2297--MA0523.1.TCF7L2	chr13	52628151	52628164	+	0.000	0.000	Merged-chr13-52628204-1
NR1782--MA0523.1.TCF7L2	chr12	40529888	40529901	+	0.000	0.000	Merged-chr12-40529975-10
NR5895--MA1421.1.TCF7L1	chr3	138649917	138649928	+	0.000	0.000	Merged-chr3-138649925-12
NR8442--MA1421.1.TCF7L1	chr8	117299279	117299290	-	0.000	0.000	Merged-chr8-117299202-13
NR4643--MA0769.1.Tcf7	chr2	32181554	32181565	-	0.000	0.000	Merged-chr2-32181600-13
NR7353--MA0769.1.Tcf7	chr6	95682811	95682822	-	0.000	0.000	Merged-chr6-95682989-10
NR3546--MA1421.1.TCF7L1	chr16	50555183	50555194	-	0.000	0.000	Merged-chr16-50555141-20
NR6855--MA0523.1.TCF7L2	chr5	105113928	105113941	+	0.000	0.000	Merged-chr5-105113893-19
NR129--MA1421.1.TCF7L1	chr1	60883022	60883033	-	0.000	0.000	Merged-chr1-60883000-15
NR2739--MA1421.1.TCF7L1	chr14	48226347	48226358	-	0.000	0.000	Merged-chr14-48226336-60
NR2141--MA0769.1.Tcf7	chr13	3479835	3479846	+	0.000	0.000	Merged-chr13-3479941-4
NR3327--MA1421.1.TCF7L1	chr15	100145188	100145199	-	0.000	0.000	Merged-chr15-100145354-14
NR4641--MA1421.1.TCF7L1	chr2	32181554	32181565	-	0.000	0.000	Merged-chr2-32181600-13
NR8934--MA0523.1.TCF7L2	chr9	112175259	112175272	+	0.000	0.000	Merged-chr9-112175419-1
NR3576--MA0769.1.Tcf7	chr16	57319958	57319969	+	0.000	0.000	Merged-chr16-57319907-20
NR3571--MA1421.1.TCF7L1	chr16	57177489	57177500	+	0.000	0.000	Merged-chr16-57177558-14
NR5648--MA0523.1.TCF7L2	chr3	97274117	97274130	+	0.000	0.000	Merged-chr3-97274158-19
NR5420--MA0523.1.TCF7L2	chr3	21809910	21809923	+	0.000	0.000	Merged-chr3-21809864-17
NR3255--MA0523.1.TCF7L2	chr15	84372947	84372960	+	0.000	0.000	Merged-chr15-84372915-18
NR3021--MA0769.1.Tcf7	chr15	3271011	3271022	+	0.000	0.000	Merged-chr15-3270817-58
NR4312--MA0523.1.TCF7L2	chr18	84911833	84911846	+	0.000	0.000	Merged-chr18-84911932-15
NR705--MA1421.1.TCF7L1	chr1	191486653	191486664	-	0.000	0.000	Merged-chr1-191486758-12
NR6501--MA1421.1.TCF7L1	chr4	149854387	149854398	-	0.000	0.000	Merged-chr4-149854542-67
NR537--MA1421.1.TCF7L1	chr1	161480192	161480203	-	0.000	0.000	Merged-chr1-161480099-19
