#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_dn.bed
NR8443--MA0684.1.RUNX3	chr5	112278261	112278270	-	0.000	0.000	Merged-chr5-112278382-13
NR6998--MA0511.2.RUNX2	chr3	101274924	101274932	-	0.000	0.000	Merged-chr3-101274930-55
NR3399--MA0684.1.RUNX3	chr14	30579522	30579531	+	0.000	0.000	Merged-chr14-30579338-21
NR1288--MA0511.2.RUNX2	chr10	88551162	88551170	+	0.000	0.000	Merged-chr10-88551161-11
NR2905--MA0002.2.RUNX1	chr13	30610001	30610011	+	0.000	0.000	Merged-chr13-30609966-11
NR8885--MA0002.2.RUNX1	chr6	51533583	51533593	+	0.000	0.000	Merged-chr6-51533616-16
NR11245--MA0684.1.RUNX3	chr9	116366366	116366375	+	0.000	0.000	Merged-chr9-116366334-59
NR4428--MA0002.2.RUNX1	chr16	43650508	43650518	-	0.000	0.000	Merged-chr16-43650685-39
NR39--MA0511.2.RUNX2	chr1	21333808	21333816	-	0.000	0.000	Merged-chr1-21333700-62
NR399--MA0684.1.RUNX3	chr1	97614015	97614024	+	0.000	0.000	Merged-chr1-97613912-17
NR6882--MA0511.2.RUNX2	chr3	79504698	79504706	-	0.000	0.000	Merged-chr3-79504650-9
NR8529--MA0002.2.RUNX1	chr5	124215134	124215144	-	0.000	0.000	Merged-chr5-124215011-42
NR4506--MA0511.2.RUNX2	chr16	55520065	55520073	-	0.000	0.000	Merged-chr16-55519957-45
NR1331--MA0002.2.RUNX1	chr10	95009354	95009364	+	0.000	0.000	Merged-chr10-95009173-43
NR4596--MA0511.2.RUNX2	chr16	84800041	84800049	+	0.000	0.000	Merged-chr16-84800124-30
NR1440--MA0002.2.RUNX1	chr10	118096357	118096367	-	0.000	0.000	Merged-chr10-118096400-51
NR8585--MA0002.2.RUNX1	chr5	136458784	136458794	-	0.000	0.000	Merged-chr5-136458862-38
NR930--MA0002.2.RUNX1	chr10	10307520	10307530	+	0.000	0.000	Merged-chr10-10307543-35
NR8237--MA0002.2.RUNX1	chr5	67437425	67437435	+	0.000	0.000	Merged-chr5-67437495-24
NR11209--MA0002.2.RUNX1	chr9	114775790	114775800	+	0.000	0.000	Merged-chr9-114775668-22
NR11221--MA0511.2.RUNX2	chr9	115610230	115610238	-	0.000	0.000	Merged-chr9-115610141-16
NR7801--MA0511.2.RUNX2	chr4	124776550	124776558	+	0.000	0.000	Merged-chr4-124776548-8
NR10520--MA0002.2.RUNX1	chr8	115531345	115531355	-	0.000	0.000	Merged-chr8-115531430-21
NR7662--MA0002.2.RUNX1	chr4	98282437	98282447	+	0.000	0.000	Merged-chr4-98282479-46
NR5654--MA0684.1.RUNX3	chr19	10830053	10830062	-	0.000	0.000	Merged-chr19-10829902-50
NR10480--MA0002.2.RUNX1	chr8	110813284	110813294	-	0.000	0.000	Merged-chr8-110813191-16
NR4189--MA0002.2.RUNX1	chr15	99333229	99333239	-	0.000	0.000	Merged-chr15-99333202-49
NR3173--MA0002.2.RUNX1	chr13	96555356	96555366	+	0.000	0.000	Merged-chr13-96555289-36
NR11147--MA0684.1.RUNX3	chr9	105499567	105499576	-	0.000	0.000	Merged-chr9-105499679-15
NR4459--MA0684.1.RUNX3	chr16	46001671	46001680	+	0.000	0.000	Merged-chr16-46001866-55
NR10995--MA0002.2.RUNX1	chr9	80266694	80266704	+	0.000	0.000	Merged-chr9-80266579-55
NR9294--MA0002.2.RUNX1	chr6	136547310	136547320	+	0.000	0.000	Merged-chr6-136547260-16
NR11248--MA0684.1.RUNX3	chr9	116369243	116369252	-	0.000	0.000	Merged-chr9-116369265-54
NR7000--MA0684.1.RUNX3	chr3	101274923	101274932	-	0.000	0.000	Merged-chr3-101274930-55
NR3492--MA0002.2.RUNX1	chr14	60705252	60705262	+	0.000	0.000	Merged-chr14-60705209-36
NR9293--MA0684.1.RUNX3	chr6	136493692	136493701	-	0.000	0.000	Merged-chr6-136493676-34
NR10573--MA0002.2.RUNX1	chr8	121898682	121898692	+	0.000	0.000	Merged-chr8-121898554-47
NR5713--MA0684.1.RUNX3	chr19	21897584	21897593	-	0.000	0.000	Merged-chr19-21897533-47
NR10477--MA0002.2.RUNX1	chr8	110813252	110813262	-	0.000	0.000	Merged-chr8-110813191-16
NR1443--MA0002.2.RUNX1	chr10	118407016	118407026	-	0.000	0.000	Merged-chr10-118407091-36
NR6500--MA0002.2.RUNX1	chr2	144637307	144637317	+	0.000	0.000	Merged-chr2-144637414-14
NR5273--MA0002.2.RUNX1	chr18	23734925	23734935	+	0.000	0.000	Merged-chr18-23734973-16
NR5653--MA0002.2.RUNX1	chr19	10830052	10830062	+	0.000	0.000	Merged-chr19-10829902-50
NR10565--MA0002.2.RUNX1	chr8	121570459	121570469	+	0.000	0.000	Merged-chr8-121570466-14
NR2914--MA0002.2.RUNX1	chr13	30912397	30912407	+	0.000	0.000	Merged-chr13-30912363-13
NR1814--MA0684.1.RUNX3	chr11	68768602	68768611	+	0.000	0.000	Merged-chr11-68768507-16
NR4199--MA0684.1.RUNX3	chr15	100265823	100265832	+	0.000	0.000	Merged-chr15-100265875-19
NR5134--MA0684.1.RUNX3	chr17	79394209	79394218	-	0.000	0.000	Merged-chr17-79394145-31
NR7066--MA0684.1.RUNX3	chr3	114889914	114889923	+	0.000	0.000	Merged-chr3-114889987-14
NR14--MA0511.2.RUNX2	chr1	7147198	7147206	+	0.000	0.000	Merged-chr1-7147128-26
NR9292--MA0002.2.RUNX1	chr6	136493691	136493701	+	0.000	0.000	Merged-chr6-136493676-34
NR986--MA0002.2.RUNX1	chr10	20855250	20855260	+	0.000	0.000	Merged-chr10-20855169-17
NR8342--MA0002.2.RUNX1	chr5	100466876	100466886	-	0.000	0.000	Merged-chr5-100466890-43
NR1322--MA0511.2.RUNX2	chr10	94211875	94211883	-	0.000	0.000	Merged-chr10-94211763-30
NR6675--MA0002.2.RUNX1	chr2	172407703	172407713	-	0.000	0.000	Merged-chr2-172407690-36
NR2936--MA0511.2.RUNX2	chr13	35871294	35871302	+	0.000	0.000	Merged-chr13-35871308-48
NR2837--MA0002.2.RUNX1	chr13	17627285	17627295	-	0.000	0.000	Merged-chr13-17627310-18
NR8586--MA0002.2.RUNX1	chr5	136459000	136459010	+	0.000	0.000	Merged-chr5-136458862-38
NR2937--MA0684.1.RUNX3	chr13	35871294	35871303	+	0.000	0.000	Merged-chr13-35871308-48
NR230--MA0002.2.RUNX1	chr1	64756880	64756890	+	0.000	0.000	Merged-chr1-64756853-21
NR6999--MA0002.2.RUNX1	chr3	101274922	101274932	+	0.000	0.000	Merged-chr3-101274930-55
NR309--MA0002.2.RUNX1	chr1	82836463	82836473	-	0.000	0.000	Merged-chr1-82836652-59
NR4034--MA0002.2.RUNX1	chr15	76037761	76037771	-	0.000	0.000	Merged-chr15-76037668-45
NR2224--MA0002.2.RUNX1	chr11	119083833	119083843	-	0.000	0.000	Merged-chr11-119083935-60
NR10159--MA0002.2.RUNX1	chr8	14961585	14961595	-	0.000	0.000	Merged-chr8-14961775-61
NR2842--MA0684.1.RUNX3	chr13	19518143	19518152	+	0.000	0.000	Merged-chr13-19518295-27
NR7751--MA0002.2.RUNX1	chr4	116185319	116185329	+	0.000	0.000	Merged-chr4-116185296-27
NR6447--MA0002.2.RUNX1	chr2	132264125	132264135	+	0.000	0.000	Merged-chr2-132264143-23
NR8584--MA0002.2.RUNX1	chr5	136458777	136458787	-	0.000	0.000	Merged-chr5-136458862-38
NR674--MA0511.2.RUNX2	chr1	165691743	165691751	+	0.000	0.000	Merged-chr1-165691684-32
NR2913--MA0511.2.RUNX2	chr13	30912399	30912407	-	0.000	0.000	Merged-chr13-30912363-13
NR2272--MA0002.2.RUNX1	chr12	13512612	13512622	-	0.000	0.000	Merged-chr12-13512538-15
NR5301--MA0002.2.RUNX1	chr18	36701976	36701986	+	0.000	0.000	Merged-chr18-36701992-26
NR10098--MA0002.2.RUNX1	chr7	142396753	142396763	+	0.000	0.000	Merged-chr7-142396800-18
NR958--MA0511.2.RUNX2	chr10	17565508	17565516	-	0.000	0.000	Merged-chr10-17565414-37
NR4190--MA0684.1.RUNX3	chr15	99333229	99333238	+	0.000	0.000	Merged-chr15-99333202-49
NR2162--MA0684.1.RUNX3	chr11	113194938	113194947	+	0.000	0.000	Merged-chr11-113194847-27
NR4507--MA0002.2.RUNX1	chr16	55520063	55520073	+	0.000	0.000	Merged-chr16-55519957-45
NR4597--MA0002.2.RUNX1	chr16	84800041	84800051	-	0.000	0.000	Merged-chr16-84800124-30
NR2309--MA0002.2.RUNX1	chr12	25362963	25362973	+	0.000	0.000	Merged-chr12-25363030-6
NR9960--MA0002.2.RUNX1	chr7	125630575	125630585	+	0.000	0.000	Merged-chr7-125630465-44
NR11246--MA0511.2.RUNX2	chr9	116369244	116369252	-	0.000	0.000	Merged-chr9-116369265-54
NR7313--MA0002.2.RUNX1	chr3	149394058	149394068	+	0.000	0.000	Merged-chr3-149393865-18
NR8341--MA0511.2.RUNX2	chr5	100466876	100466884	+	0.000	0.000	Merged-chr5-100466890-43
NR11222--MA0002.2.RUNX1	chr9	115610228	115610238	+	0.000	0.000	Merged-chr9-115610141-16
NR11474--MA0002.2.RUNX1	chrX	139798081	139798091	-	0.000	0.000	Merged-chrX-139798042-22
NR5755--MA0002.2.RUNX1	chr19	32138397	32138407	-	0.000	0.000	Merged-chr19-32138517-38
NR2112--MA0684.1.RUNX3	chr11	108068601	108068610	+	0.000	0.000	Merged-chr11-108068595-28
NR7382--MA0002.2.RUNX1	chr4	6476573	6476583	+	0.000	0.000	Merged-chr4-6476530-28
NR12--MA0002.2.RUNX1	chr1	7095993	7096003	+	0.000	0.000	Merged-chr1-7096130-35
NR7252--MA0002.2.RUNX1	chr3	142863419	142863429	-	0.000	0.000	Merged-chr3-142863489-16
NR5455--MA0002.2.RUNX1	chr18	67882892	67882902	-	0.000	0.000	Merged-chr18-67882933-18
NR4429--MA0684.1.RUNX3	chr16	43650508	43650517	+	0.000	0.000	Merged-chr16-43650685-39
NR9949--MA0002.2.RUNX1	chr7	123217604	123217614	+	0.000	0.000	Merged-chr7-123217710-2
NR5132--MA0511.2.RUNX2	chr17	79394210	79394218	-	0.000	0.000	Merged-chr17-79394145-31
NR931--MA0684.1.RUNX3	chr10	10307521	10307530	-	0.000	0.000	Merged-chr10-10307543-35
NR4067--MA0511.2.RUNX2	chr15	78923726	78923734	-	0.000	0.000	Merged-chr15-78923681-44
NR892--MA0002.2.RUNX1	chr1	193201483	193201493	-	0.000	0.000	Merged-chr1-193201306-86
NR11244--MA0511.2.RUNX2	chr9	116366366	116366374	+	0.000	0.000	Merged-chr9-116366334-59
NR9976--MA0002.2.RUNX1	chr7	126584626	126584636	+	0.000	0.000	Merged-chr7-126584739-30
NR5126--MA0002.2.RUNX1	chr17	78352741	78352751	+	0.000	0.000	Merged-chr17-78352623-8
NR10481--MA0684.1.RUNX3	chr8	110813284	110813293	+	0.000	0.000	Merged-chr8-110813191-16
NR5300--MA0511.2.RUNX2	chr18	36701978	36701986	-	0.000	0.000	Merged-chr18-36701992-26
NR5966--MA0511.2.RUNX2	chr2	12423841	12423849	-	0.000	0.000	Merged-chr2-12423867-9
NR2443--MA0002.2.RUNX1	chr12	76953590	76953600	+	0.000	0.000	Merged-chr12-76953735-9
NR92--MA0002.2.RUNX1	chr1	39559239	39559249	-	0.000	0.000	Merged-chr1-39559167-24
NR15--MA0002.2.RUNX1	chr1	7147198	7147208	-	0.000	0.000	Merged-chr1-7147128-26
NR5200--MA0684.1.RUNX3	chr17	86779459	86779468	+	0.000	0.000	Merged-chr17-86779381-46
NR6653--MA0002.2.RUNX1	chr2	168429763	168429773	-	0.000	0.000	Merged-chr2-168429700-17
NR8442--MA0002.2.RUNX1	chr5	112278260	112278270	+	0.000	0.000	Merged-chr5-112278382-13
NR9010--MA0002.2.RUNX1	chr6	86595128	86595138	+	0.000	0.000	Merged-chr6-86595040-14
NR3398--MA0002.2.RUNX1	chr14	30579522	30579532	-	0.000	0.000	Merged-chr14-30579338-21
NR4333--MA0002.2.RUNX1	chr16	23328327	23328337	+	0.000	0.000	Merged-chr16-23328334-50
NR5967--MA0684.1.RUNX3	chr2	12423840	12423849	-	0.000	0.000	Merged-chr2-12423867-9
NR2970--MA0511.2.RUNX2	chr13	45455949	45455957	+	0.000	0.000	Merged-chr13-45455779-40
NR6883--MA0684.1.RUNX3	chr3	79504697	79504706	-	0.000	0.000	Merged-chr3-79504650-9
NR10478--MA0684.1.RUNX3	chr8	110813252	110813261	+	0.000	0.000	Merged-chr8-110813191-16
NR2840--MA0511.2.RUNX2	chr13	19518143	19518151	+	0.000	0.000	Merged-chr13-19518295-27
NR9158--MA0002.2.RUNX1	chr6	120264458	120264468	+	0.000	0.000	Merged-chr6-120264409-18
NR1444--MA0684.1.RUNX3	chr10	118407016	118407025	+	0.000	0.000	Merged-chr10-118407091-36
NR7434--MA0511.2.RUNX2	chr4	21842815	21842823	+	0.000	0.000	Merged-chr4-21842691-16
NR5754--MA0511.2.RUNX2	chr19	32138397	32138405	+	0.000	0.000	Merged-chr19-32138517-38
NR7381--MA0511.2.RUNX2	chr4	6476575	6476583	-	0.000	0.000	Merged-chr4-6476530-28
NR5274--MA0684.1.RUNX3	chr18	23734926	23734935	-	0.000	0.000	Merged-chr18-23734973-16
NR11--MA0511.2.RUNX2	chr1	7095995	7096003	-	0.000	0.000	Merged-chr1-7096130-35
NR2915--MA0684.1.RUNX3	chr13	30912398	30912407	-	0.000	0.000	Merged-chr13-30912363-13
NR546--MA0684.1.RUNX3	chr1	144206511	144206520	-	0.000	0.000	Merged-chr1-144206482-15
NR398--MA0002.2.RUNX1	chr1	97614015	97614025	-	0.000	0.000	Merged-chr1-97613912-17
NR2114--MA0002.2.RUNX1	chr11	108088370	108088380	-	0.000	0.000	Merged-chr11-108088190-36
NR2971--MA0684.1.RUNX3	chr13	45455949	45455958	+	0.000	0.000	Merged-chr13-45455779-40
NR2160--MA0511.2.RUNX2	chr11	113194938	113194946	+	0.000	0.000	Merged-chr11-113194847-27
NR2584--MA0002.2.RUNX1	chr12	100508856	100508866	-	0.000	0.000	Merged-chr12-100508863-24
NR4482--MA0002.2.RUNX1	chr16	50533851	50533861	-	0.000	0.000	Merged-chr16-50533988-11
NR6263--MA0002.2.RUNX1	chr2	91078419	91078429	+	0.000	0.000	Merged-chr2-91078502-21
NR987--MA0684.1.RUNX3	chr10	20855251	20855260	-	0.000	0.000	Merged-chr10-20855169-17
NR8343--MA0684.1.RUNX3	chr5	100466876	100466885	+	0.000	0.000	Merged-chr5-100466890-43
NR2925--MA0511.2.RUNX2	chr13	32966242	32966250	-	0.000	0.000	Merged-chr13-32966239-7
NR11154--MA0002.2.RUNX1	chr9	106313015	106313025	+	0.000	0.000	Merged-chr9-106313051-17
NR1552--MA0002.2.RUNX1	chr11	3702162	3702172	+	0.000	0.000	Merged-chr11-3702327-20
NR579--MA0002.2.RUNX1	chr1	153058380	153058390	-	0.000	0.000	Merged-chr1-153058312-17
NR2838--MA0684.1.RUNX3	chr13	17627285	17627294	+	0.000	0.000	Merged-chr13-17627310-18
NR959--MA0002.2.RUNX1	chr10	17565506	17565516	+	0.000	0.000	Merged-chr10-17565414-37
NR11146--MA0002.2.RUNX1	chr9	105499566	105499576	+	0.000	0.000	Merged-chr9-105499679-15
NR4458--MA0002.2.RUNX1	chr16	46001671	46001681	-	0.000	0.000	Merged-chr16-46001866-55
NR4427--MA0511.2.RUNX2	chr16	43650508	43650516	+	0.000	0.000	Merged-chr16-43650685-39
NR2138--MA0002.2.RUNX1	chr11	109744010	109744020	+	0.000	0.000	Merged-chr11-109744155-21
NR6163--MA0511.2.RUNX2	chr2	65133924	65133932	+	0.000	0.000	Merged-chr2-65133825-19
NR11247--MA0002.2.RUNX1	chr9	116369242	116369252	+	0.000	0.000	Merged-chr9-116369265-54
NR7870--MA0002.2.RUNX1	chr4	135077329	135077339	-	0.000	0.000	Merged-chr4-135077339-17
NR11085--MA0002.2.RUNX1	chr9	94607589	94607599	-	0.000	0.000	Merged-chr9-94607543-65
NR6652--MA0511.2.RUNX2	chr2	168429763	168429771	+	0.000	0.000	Merged-chr2-168429700-17
NR8441--MA0511.2.RUNX2	chr5	112278262	112278270	-	0.000	0.000	Merged-chr5-112278382-13
NR9977--MA0002.2.RUNX1	chr7	126584595	126584605	-	0.000	0.000	Merged-chr7-126584739-30
NR3923--MA0002.2.RUNX1	chr15	52899991	52900001	+	0.000	0.000	Merged-chr15-52899831-78
NR5712--MA0002.2.RUNX1	chr19	21897583	21897593	+	0.000	0.000	Merged-chr19-21897533-47
NR5454--MA0002.2.RUNX1	chr18	67882878	67882888	-	0.000	0.000	Merged-chr18-67882933-18
NR6164--MA0684.1.RUNX3	chr2	65133924	65133933	+	0.000	0.000	Merged-chr2-65133825-19
NR9521--MA0002.2.RUNX1	chr7	30887651	30887661	-	0.000	0.000	Merged-chr7-30887782-39
NR85--MA0002.2.RUNX1	chr1	38897230	38897240	+	0.000	0.000	Merged-chr1-38897327-4
NR891--MA0002.2.RUNX1	chr1	193198495	193198505	-	0.000	0.000	Merged-chr1-193198474-9
NR2273--MA0684.1.RUNX3	chr12	13512612	13512621	+	0.000	0.000	Merged-chr12-13512538-15
NR1813--MA0002.2.RUNX1	chr11	68768602	68768612	-	0.000	0.000	Merged-chr11-68768507-16
NR5302--MA0684.1.RUNX3	chr18	36701977	36701986	-	0.000	0.000	Merged-chr18-36701992-26
NR1323--MA0684.1.RUNX3	chr10	94211874	94211883	-	0.000	0.000	Merged-chr10-94211763-30
NR397--MA0511.2.RUNX2	chr1	97614015	97614023	+	0.000	0.000	Merged-chr1-97613912-17
NR4188--MA0511.2.RUNX2	chr15	99333229	99333237	+	0.000	0.000	Merged-chr15-99333202-49
NR7989--MA0002.2.RUNX1	chr4	150894803	150894813	-	0.000	0.000	Merged-chr4-150894695-19
NR4198--MA0002.2.RUNX1	chr15	100265823	100265833	-	0.000	0.000	Merged-chr15-100265875-19
NR4598--MA0684.1.RUNX3	chr16	84800041	84800050	+	0.000	0.000	Merged-chr16-84800124-30
NR5133--MA0002.2.RUNX1	chr17	79394208	79394218	+	0.000	0.000	Merged-chr17-79394145-31
NR4911--MA0002.2.RUNX1	chr17	31326363	31326373	+	0.000	0.000	Merged-chr17-31326302-35
NR2960--MA0002.2.RUNX1	chr13	43485371	43485381	-	0.000	0.000	Merged-chr13-43485409-24
NR1289--MA0002.2.RUNX1	chr10	88551162	88551172	-	0.000	0.000	Merged-chr10-88551161-11
NR7314--MA0684.1.RUNX3	chr3	149394059	149394068	-	0.000	0.000	Merged-chr3-149393865-18
NR9530--MA0511.2.RUNX2	chr7	38189540	38189548	-	0.000	0.000	Merged-chr7-38189634-49
NR7436--MA0684.1.RUNX3	chr4	21842815	21842824	+	0.000	0.000	Merged-chr4-21842691-16
NR5756--MA0684.1.RUNX3	chr19	32138397	32138406	+	0.000	0.000	Merged-chr19-32138517-38
NR10996--MA0002.2.RUNX1	chr9	80282575	80282585	+	0.000	0.000	Merged-chr9-80282711-23
NR5322--MA0002.2.RUNX1	chr18	39185902	39185912	-	0.000	0.000	Merged-chr18-39185847-29
NR1442--MA0511.2.RUNX2	chr10	118407016	118407024	+	0.000	0.000	Merged-chr10-118407091-36
NR7383--MA0684.1.RUNX3	chr4	6476574	6476583	-	0.000	0.000	Merged-chr4-6476530-28
NR3327--MA0684.1.RUNX3	chr13	119657288	119657297	+	0.000	0.000	Merged-chr13-119657260-10
NR13--MA0684.1.RUNX3	chr1	7095994	7096003	-	0.000	0.000	Merged-chr1-7096130-35
