#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed
NR20--MA0768.1.LEF1	chr1	36910447	36910461	+	0.000	0.000	Merged-chr1-36910479-15
NR937--MA0768.1.LEF1	chr15	67196442	67196456	+	0.000	0.000	Merged-chr15-67196543-23
NR2498--MA0768.1.LEF1	chr8	56398906	56398920	+	0.000	0.000	Merged-chr8-56398896-15
NR2601--MA0768.1.LEF1	chr9	36802533	36802547	+	0.000	0.000	Merged-chr9-36802612-8
NR2713--MA0768.1.LEF1	chr9	118285715	118285729	-	0.000	0.000	Merged-chr9-118285683-37
NR955--MA0768.1.LEF1	chr15	84372947	84372961	+	0.000	0.000	Merged-chr15-84372915-18
NR297--MA0768.1.LEF1	chr10	80629185	80629199	-	0.000	0.000	Merged-chr10-80629091-37
NR1198--MA0768.1.LEF1	chr18	5820058	5820072	-	0.000	0.000	Merged-chr18-5820020-28
NR870--MA0768.1.LEF1	chr14	121992791	121992805	-	0.000	0.000	Merged-chr14-121992584-62
NR512--MA0768.1.LEF1	chr12	59170101	59170115	-	0.000	0.000	Merged-chr12-59170039-43
NR1628--MA0768.1.LEF1	chr2	170147682	170147696	+	0.000	0.000	Merged-chr2-170147732-33
NR991--MA0768.1.LEF1	chr16	20480322	20480336	-	0.000	0.000	Merged-chr16-20480311-19
NR2194--MA0768.1.LEF1	chr6	65818502	65818516	-	0.000	0.000	Merged-chr6-65818480-32
NR2709--MA0768.1.LEF1	chr9	116284010	116284024	+	0.000	0.000	Merged-chr9-116283998-37
NR530--MA0768.1.LEF1	chr12	76853350	76853364	-	0.000	0.000	Merged-chr12-76853290-4
NR1543--MA0768.1.LEF1	chr2	120502274	120502288	+	0.000	0.000	Merged-chr2-120502347-30
NR763--MA0768.1.LEF1	chr14	21078622	21078636	-	0.000	0.000	Merged-chr14-21078723-20
NR517--MA0768.1.LEF1	chr12	69446034	69446048	+	0.000	0.000	Merged-chr12-69446107-1
NR302--MA0768.1.LEF1	chr10	82887565	82887579	-	0.000	0.000	Merged-chr10-82887554-36
NR1776--MA0768.1.LEF1	chr3	138275305	138275319	-	0.000	0.000	Merged-chr3-138275247-64
NR1409--MA0768.1.LEF1	chr2	43992731	43992745	-	0.000	0.000	Merged-chr2-43992698-17
NR629--MA0768.1.LEF1	chr13	38948943	38948957	-	0.000	0.000	Merged-chr13-38949137-15
NR647--MA0768.1.LEF1	chr13	52628151	52628165	+	0.000	0.000	Merged-chr13-52628204-1
NR2517--MA0768.1.LEF1	chr8	77435082	77435096	+	0.000	0.000	Merged-chr8-77435130-10
NR1445--MA0768.1.LEF1	chr2	59645075	59645089	-	0.000	0.000	Merged-chr2-59645072-13
NR2320--MA0768.1.LEF1	chr6	145469522	145469536	+	0.000	0.000	Merged-chr6-145469437-17
NR562--MA0768.1.LEF1	chr12	102581813	102581827	+	0.000	0.000	Merged-chr12-102581960-56
NR1463--MA0768.1.LEF1	chr2	68291456	68291470	+	0.000	0.000	Merged-chr2-68291418-12
NR2441--MA0768.1.LEF1	chr7	132356460	132356474	-	0.000	0.000	Merged-chr7-132356427-27
NR1217--MA0768.1.LEF1	chr18	33781014	33781028	+	0.000	0.000	Merged-chr18-33781041-12
NR222--MA0768.1.LEF1	chr10	16997031	16997045	-	0.000	0.000	Merged-chr10-16997042-17
NR2571--MA0768.1.LEF1	chr9	7576736	7576750	+	0.000	0.000	Merged-chr9-7576753-19
NR2213--MA0768.1.LEF1	chr6	83437444	83437458	+	0.000	0.000	Merged-chr6-83437448-19
NR455--MA0768.1.LEF1	chr11	113206337	113206351	+	0.000	0.000	Merged-chr11-113206318-17
NR1920--MA0768.1.LEF1	chr4	116735046	116735060	-	0.000	0.000	Merged-chr4-116735189-24
NR2231--MA0768.1.LEF1	chr6	95682808	95682822	-	0.000	0.000	Merged-chr6-95682989-10
NR370--MA0768.1.LEF1	chr10	130340349	130340363	-	0.000	0.000	Merged-chr10-130340277-13
NR1383--MA0768.1.LEF1	chr2	11617019	11617033	+	0.000	0.000	Merged-chr2-11617013-39
NR2688--MA0768.1.LEF1	chr9	102587424	102587438	-	0.000	0.000	Merged-chr9-102587549-11
NR2012--MA0768.1.LEF1	chr5	45790459	45790473	-	0.000	0.000	Merged-chr5-45790409-20
NR272--MA0768.1.LEF1	chr10	60000148	60000162	+	0.000	0.000	Merged-chr10-60000232-10
NR290--MA0768.1.LEF1	chr10	75417807	75417821	+	0.000	0.000	Merged-chr10-75417748-37
NR720--MA0768.1.LEF1	chr13	112133937	112133951	+	0.000	0.000	Merged-chr13-112133906-22
NR926--MA0768.1.LEF1	chr15	58145493	58145507	-	0.000	0.000	Merged-chr15-58145479-45
NR2281--MA0768.1.LEF1	chr6	127336821	127336835	-	0.000	0.000	Merged-chr6-127336586-54
NR2393--MA0768.1.LEF1	chr7	97067536	97067550	-	0.000	0.000	Merged-chr7-97067401-28
NR1178--MA0768.1.LEF1	chr17	84636035	84636049	-	0.000	0.000	Merged-chr17-84636147-9
NR295--MA0768.1.LEF1	chr10	77939212	77939226	+	0.000	0.000	Merged-chr10-77939444-16
NR604--MA0768.1.LEF1	chr13	9107246	9107260	+	0.000	0.000	Merged-chr13-9107382-45
NR1505--MA0768.1.LEF1	chr2	103004797	103004811	-	0.000	0.000	Merged-chr2-103004784-33
NR501--MA0768.1.LEF1	chr12	41167986	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR2277--MA0768.1.LEF1	chr6	124683920	124683934	+	0.000	0.000	Merged-chr6-124683900-13
NR2183--MA0768.1.LEF1	chr6	53778772	53778786	-	0.000	0.000	Merged-chr6-53778855-8
NR2707--MA0768.1.LEF1	chr9	116187522	116187536	-	0.000	0.000	Merged-chr9-116187633-9
NR2295--MA0768.1.LEF1	chr6	134174879	134174893	+	0.000	0.000	Merged-chr6-134175051-22
NR179--MA0768.1.LEF1	chr1	179240800	179240814	+	0.000	0.000	Merged-chr1-179240877-38
NR1747--MA0768.1.LEF1	chr3	117044608	117044622	+	0.000	0.000	Merged-chr3-117044595-20
NR50--MA0768.1.LEF1	chr1	66552830	66552844	-	0.000	0.000	Merged-chr1-66552771-47
NR1210--MA0768.1.LEF1	chr18	24088888	24088902	+	0.000	0.000	Merged-chr18-24088895-16
NR636--MA0768.1.LEF1	chr13	44317655	44317669	-	0.000	0.000	Merged-chr13-44317703-16
NR2197--MA0768.1.LEF1	chr6	67105659	67105673	+	0.000	0.000	Merged-chr6-67105676-29
NR2770--MA0768.1.LEF1	chrY	11858125	11858139	-	0.000	0.000	Merged-chrY-11858126-43
NR869--MA0768.1.LEF1	chr14	121354191	121354205	+	0.000	0.000	Merged-chr14-121354142-24
NR2412--MA0768.1.LEF1	chr7	115426757	115426771	+	0.000	0.000	Merged-chr7-115426820-20
NR2524--MA0768.1.LEF1	chr8	81761671	81761685	-	0.000	0.000	Merged-chr8-81761666-20
NR1667--MA0768.1.LEF1	chr3	58658548	58658562	-	0.000	0.000	Merged-chr3-58658570-11
NR887--MA0768.1.LEF1	chr15	18951825	18951839	-	0.000	0.000	Merged-chr15-18951851-25
NR2430--MA0768.1.LEF1	chr7	127628864	127628878	+	0.000	0.000	Merged-chr7-127628890-27
NR999--MA0768.1.LEF1	chr16	25466154	25466168	+	0.000	0.000	Merged-chr16-25466054-6
NR426--MA0768.1.LEF1	chr11	88430445	88430459	-	0.000	0.000	Merged-chr11-88430516-31
NR1470--MA0768.1.LEF1	chr2	70727345	70727359	+	0.000	0.000	Merged-chr2-70727299-23
NR1112--MA0768.1.LEF1	chr17	21661761	21661775	+	0.000	0.000	Merged-chr17-21661730-8
NR690--MA0768.1.LEF1	chr13	92639028	92639042	-	0.000	0.000	Merged-chr13-92639220-17
NR1224--MA0768.1.LEF1	chr18	38701046	38701060	+	0.000	0.000	Merged-chr18-38700911-27
NR444--MA0768.1.LEF1	chr11	108901317	108901331	-	0.000	0.000	Merged-chr11-108901238-21
NR1457--MA0768.1.LEF1	chr2	65422035	65422049	+	0.000	0.000	Merged-chr2-65422005-11
NR2220--MA0768.1.LEF1	chr6	88782956	88782970	-	0.000	0.000	Merged-chr6-88783083-54
NR1569--MA0768.1.LEF1	chr2	135823829	135823843	-	0.000	0.000	Merged-chr2-135823878-14
NR2332--MA0768.1.LEF1	chr7	12987473	12987487	-	0.000	0.000	Merged-chr7-12987633-12
NR574--MA0768.1.LEF1	chr12	110759261	110759275	-	0.000	0.000	Merged-chr12-110759192-38
NR480--MA0768.1.LEF1	chr12	25601138	25601152	-	0.000	0.000	Merged-chr12-25601123-16
NR2565--MA0768.1.LEF1	chr8	126687068	126687082	+	0.000	0.000	Merged-chr8-126687126-29
NR592--MA0768.1.LEF1	chr12	117679063	117679077	-	0.000	0.000	Merged-chr12-117679056-43
NR234--MA0768.1.LEF1	chr10	21911700	21911714	-	0.000	0.000	Merged-chr10-21911694-25
NR1699--MA0768.1.LEF1	chr3	81489540	81489554	-	0.000	0.000	Merged-chr3-81489616-14
NR2319--MA0768.1.LEF1	chr6	145379545	145379559	-	0.000	0.000	Merged-chr6-145379467-36
NR1247--MA0768.1.LEF1	chr18	61188287	61188301	-	0.000	0.000	Merged-chr18-61188282-36
NR2216--MA0768.1.LEF1	chr6	86645197	86645211	-	0.000	0.000	Merged-chr6-86645182-42
NR1820--MA0768.1.LEF1	chr4	7987506	7987520	-	0.000	0.000	Merged-chr4-7987596-39
NR2337--MA0768.1.LEF1	chr7	19837024	19837038	-	0.000	0.000	Merged-chr7-19837080-20
NR1265--MA0768.1.LEF1	chr18	69548125	69548139	-	0.000	0.000	Merged-chr18-69547959-32
NR1050--MA0768.1.LEF1	chr16	70007129	70007143	+	0.000	0.000	Merged-chr16-70007136-17
NR2355--MA0768.1.LEF1	chr7	58798502	58798516	+	0.000	0.000	Merged-chr7-58798464-29
NR1704--MA0768.1.LEF1	chr3	89892611	89892625	-	0.000	0.000	Merged-chr3-89892725-25
NR915--MA0768.1.LEF1	chr15	50694323	50694337	+	0.000	0.000	Merged-chr15-50694314-20
NR1610--MA0768.1.LEF1	chr2	157122032	157122046	-	0.000	0.000	Merged-chr2-157121969-26
NR154--MA0768.1.LEF1	chr1	156901812	156901826	+	0.000	0.000	Merged-chr1-156901975-24
NR2118--MA0768.1.LEF1	chr5	134482452	134482466	+	0.000	0.000	Merged-chr5-134482403-23
NR1055--MA0768.1.LEF1	chr16	76447212	76447226	-	0.000	0.000	Merged-chr16-76447349-16
NR2257--MA0768.1.LEF1	chr6	113487273	113487287	-	0.000	0.000	Merged-chr6-113487219-11
NR284--MA0768.1.LEF1	chr10	67697939	67697953	+	0.000	0.000	Merged-chr10-67697981-39
NR808--MA0768.1.LEF1	chr14	65490441	65490455	-	0.000	0.000	Merged-chr14-65490378-12
NR1852--MA0768.1.LEF1	chr4	46100259	46100273	+	0.000	0.000	Merged-chr4-46100049-18
NR611--MA0768.1.LEF1	chr13	13582032	13582046	-	0.000	0.000	Merged-chr13-13582107-29
NR2029--MA0768.1.LEF1	chr5	64455555	64455569	-	0.000	0.000	Merged-chr5-64455679-15
NR21--MA0768.1.LEF1	chr1	36960732	36960746	+	0.000	0.000	Merged-chr1-36960699-30
NR2038--MA0768.1.LEF1	chr5	74105557	74105571	-	0.000	0.000	Merged-chr5-74105575-19
NR956--MA0768.1.LEF1	chr15	85042789	85042803	-	0.000	0.000	Merged-chr15-85042702-72
NR1857--MA0768.1.LEF1	chr4	53227934	53227948	+	0.000	0.000	Merged-chr4-53228038-46
NR298--MA0768.1.LEF1	chr10	81249641	81249655	-	0.000	0.000	Merged-chr10-81249714-12
NR35--MA0768.1.LEF1	chr1	57952719	57952733	+	0.000	0.000	Merged-chr1-57952740-16
NR531--MA0768.1.LEF1	chr12	76950384	76950398	+	0.000	0.000	Merged-chr12-76950525-26
NR1432--MA0768.1.LEF1	chr2	52176531	52176545	-	0.000	0.000	Merged-chr2-52176630-15
NR2092--MA0768.1.LEF1	chr5	110594702	110594716	-	0.000	0.000	Merged-chr5-110594723-25
NR643--MA0768.1.LEF1	chr13	52008132	52008146	-	0.000	0.000	Merged-chr13-52008191-11
NR2522--MA0768.1.LEF1	chr8	81735841	81735855	-	0.000	0.000	Merged-chr8-81736050-71
NR1450--MA0768.1.LEF1	chr2	61494269	61494283	-	0.000	0.000	Merged-chr2-61494309-57
NR1656--MA0768.1.LEF1	chr3	38280376	38280390	-	0.000	0.000	Merged-chr3-38280395-39
NR1777--MA0768.1.LEF1	chr3	138842536	138842550	+	0.000	0.000	Merged-chr3-138842482-12
NR988--MA0768.1.LEF1	chr16	15910370	15910384	+	0.000	0.000	Merged-chr16-15910429-9
NR894--MA0768.1.LEF1	chr15	27796771	27796785	+	0.000	0.000	Merged-chr15-27796764-17
NR321--MA0768.1.LEF1	chr10	96201432	96201446	+	0.000	0.000	Merged-chr10-96201472-66
NR1795--MA0768.1.LEF1	chr3	146192739	146192753	-	0.000	0.000	Merged-chr3-146192596-55
NR648--MA0768.1.LEF1	chr13	52702316	52702330	-	0.000	0.000	Merged-chr13-52702318-14
NR1446--MA0768.1.LEF1	chr2	59969281	59969295	-	0.000	0.000	Merged-chr2-59969233-23
NR317--MA0768.1.LEF1	chr10	93050741	93050755	-	0.000	0.000	Merged-chr10-93050674-1
NR2554--MA0768.1.LEF1	chr8	115237246	115237260	+	0.000	0.000	Merged-chr8-115237313-17
NR1482--MA0768.1.LEF1	chr2	79276536	79276550	+	0.000	0.000	Merged-chr2-79276460-24
NR2460--MA0768.1.LEF1	chr7	142967347	142967361	+	0.000	0.000	Merged-chr7-142967366-1
NR2666--MA0768.1.LEF1	chr9	85710512	85710526	+	0.000	0.000	Merged-chr9-85710514-26
NR1594--MA0768.1.LEF1	chr2	150130342	150130356	+	0.000	0.000	Merged-chr2-150130462-1
NR2572--MA0768.1.LEF1	chr9	7576792	7576806	+	0.000	0.000	Merged-chr9-7576753-19
NR447--MA0768.1.LEF1	chr11	109785570	109785584	+	0.000	0.000	Merged-chr11-109785498-8
NR2684--MA0768.1.LEF1	chr9	96936092	96936106	-	0.000	0.000	Merged-chr9-96936027-74
NR568--MA0768.1.LEF1	chr12	107721079	107721093	+	0.000	0.000	Merged-chr12-107721179-46
NR1921--MA0768.1.LEF1	chr4	116735215	116735229	-	0.000	0.000	Merged-chr4-116735189-24
NR1366--MA0768.1.LEF1	chr19	58296892	58296906	+	0.000	0.000	Merged-chr19-58296968-24
NR1008--MA0768.1.LEF1	chr16	32972825	32972839	-	0.000	0.000	Merged-chr16-32972762-21
NR483--MA0768.1.LEF1	chr12	31621765	31621779	+	0.000	0.000	Merged-chr12-31621788-10
NR1384--MA0768.1.LEF1	chr2	13132648	13132662	-	0.000	0.000	Merged-chr2-13132891-60
NR1026--MA0768.1.LEF1	chr16	45361319	45361333	-	0.000	0.000	Merged-chr16-45361455-26
NR2568--MA0768.1.LEF1	chr8	128474083	128474097	-	0.000	0.000	Merged-chr8-128474080-29
NR1814--MA0768.1.LEF1	chr3	157617191	157617205	-	0.000	0.000	Merged-chr3-157617038-24
NR2116--MA0768.1.LEF1	chr5	134277459	134277473	+	0.000	0.000	Merged-chr5-134277310-4
NR2380--MA0768.1.LEF1	chr7	84624645	84624659	+	0.000	0.000	Merged-chr7-84624790-8
NR2228--MA0768.1.LEF1	chr6	94681555	94681569	+	0.000	0.000	Merged-chr6-94681460-83
NR1062--MA0768.1.LEF1	chr16	84995568	84995582	+	0.000	0.000	Merged-chr16-84995665-26
NR488--MA0768.1.LEF1	chr12	35916008	35916022	+	0.000	0.000	Merged-chr12-35915902-9
NR273--MA0768.1.LEF1	chr10	60000162	60000176	-	0.000	0.000	Merged-chr10-60000232-10
NR1841--MA0768.1.LEF1	chr4	34429185	34429199	+	0.000	0.000	Merged-chr4-34429163-2
NR1080--MA0768.1.LEF1	chr16	94374314	94374328	-	0.000	0.000	Merged-chr16-94374445-4
NR909--MA0768.1.LEF1	chr15	39913586	39913600	-	0.000	0.000	Merged-chr15-39913439-55
NR291--MA0768.1.LEF1	chr10	75417901	75417915	-	0.000	0.000	Merged-chr10-75417748-37
NR1613--MA0768.1.LEF1	chr2	158673175	158673189	-	0.000	0.000	Merged-chr2-158673458-23
NR1058--MA0768.1.LEF1	chr16	78595986	78596000	-	0.000	0.000	Merged-chr16-78595924-17
NR1734--MA0768.1.LEF1	chr3	108124338	108124352	+	0.000	0.000	Merged-chr3-108124378-33
NR2394--MA0768.1.LEF1	chr7	98797475	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR1076--MA0768.1.LEF1	chr16	92307632	92307646	+	0.000	0.000	Merged-chr16-92307633-7
NR502--MA0768.1.LEF1	chr12	41337045	41337059	-	0.000	0.000	Merged-chr12-41336902-7
NR33--MA0768.1.LEF1	chr1	54179463	54179477	+	0.000	0.000	Merged-chr1-54179404-9
NR2708--MA0768.1.LEF1	chr9	116283890	116283904	-	0.000	0.000	Merged-chr9-116283998-37
NR2605--MA0768.1.LEF1	chr9	40348818	40348832	+	0.000	0.000	Merged-chr9-40348946-9
NR1748--MA0768.1.LEF1	chr3	121689285	121689299	+	0.000	0.000	Merged-chr3-121689232-23
