#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed
NR10460--MA0501.1.MAF::NFE2	chr7	16343741	16343755	+	0.000	0.000	Merged-chr7-16343810-22
NR5365--MA0089.1.MAFG::NFE2L1	chr17	70746962	70746967	+	0.000	0.000	Merged-chr17-70746811-20
NR5667--MA0089.1.MAFG::NFE2L1	chr18	39801296	39801301	+	0.000	0.000	Merged-chr18-39801283-11
NR2089--MA0591.1.Bach1::Mafk	chr11	75878755	75878769	+	0.000	0.000	Merged-chr11-75878686-10
NR1635--MA0089.1.MAFG::NFE2L1	chr10	121398916	121398921	-	0.000	0.000	Merged-chr10-121398884-14
NR4710--MA0089.1.MAFG::NFE2L1	chr16	30678489	30678494	+	0.000	0.000	Merged-chr16-30678432-4
NR3505--MA0089.1.MAFG::NFE2L1	chr13	104914807	104914812	-	0.000	0.000	Merged-chr13-104914750-21
NR6394--MA0089.1.MAFG::NFE2L1	chr2	25620559	25620564	-	0.000	0.000	Merged-chr2-25620603-21
NR7085--MA0495.2.MAFF	chr2	145804907	145804927	-	0.000	0.000	Merged-chr2-145804796-32
NR7971--MA0501.1.MAF::NFE2	chr3	142533316	142533330	+	0.000	0.000	Merged-chr3-142533345-44
NR9797--MA0496.2.MAFK	chr6	67668205	67668223	-	0.000	0.000	Merged-chr6-67668321-12
NR2088--MA0495.2.MAFF	chr11	75878752	75878772	-	0.000	0.000	Merged-chr11-75878686-10
NR534--MA0501.1.MAF::NFE2	chr1	136255309	136255323	-	0.000	0.000	Merged-chr1-136255292-47
NR3057--MA0495.2.MAFF	chr13	6626710	6626730	-	0.000	0.000	Merged-chr13-6626818-32
NR3777--MA0591.1.Bach1::Mafk	chr14	46578217	46578231	-	0.000	0.000	Merged-chr14-46578431-37
NR3982--MA0089.1.MAFG::NFE2L1	chr14	79249189	79249194	+	0.000	0.000	Merged-chr14-79249040-19
NR7137--MA0501.1.MAF::NFE2	chr2	150582221	150582235	-	0.000	0.000	Merged-chr2-150582331-12
NR4697--MA0496.2.MAFK	chr16	24854664	24854682	-	0.000	0.000	Merged-chr16-24854563-13
NR12187--MA0117.2.Mafb	chr9	93131711	93131722	+	0.000	0.000	Merged-chr9-93131866-17
NR2083--MA0496.2.MAFK	chr11	74973440	74973458	-	0.000	0.000	Merged-chr11-74973432-13
NR4432--MA0089.1.MAFG::NFE2L1	chr15	81254513	81254518	+	0.000	0.000	Merged-chr15-81254471-25
NR298--MA0089.1.MAFG::NFE2L1	chr1	83006403	83006408	+	0.000	0.000	Merged-chr1-83006483-46
NR11330--MA0117.2.Mafb	chr8	68674248	68674259	-	0.000	0.000	Merged-chr8-68674402-29
NR9173--MA0659.1.MAFG	chr5	92353778	92353798	+	0.000	0.000	Merged-chr5-92353751-46
NR10457--MA0591.1.Bach1::Mafk	chr7	16343738	16343752	+	0.000	0.000	Merged-chr7-16343810-22
NR7903--MA0591.1.Bach1::Mafk	chr3	131169289	131169303	+	0.000	0.000	Merged-chr3-131169425-15
NR11928--MA0591.1.Bach1::Mafk	chr9	55410490	55410504	+	0.000	0.000	Merged-chr9-55410514-19
NR5051--MA0659.1.MAFG	chr16	97442080	97442100	-	0.000	0.000	Merged-chr16-97442198-19
NR9731--MA0591.1.Bach1::Mafk	chr6	53498059	53498073	+	0.000	0.000	Merged-chr6-53498072-40
NR10462--MA0496.2.MAFK	chr7	16343736	16343754	-	0.000	0.000	Merged-chr7-16343810-22
NR232--MA0495.2.MAFF	chr1	69350804	69350824	+	0.000	0.000	Merged-chr1-69350970-27
NR5585--MA0591.1.Bach1::Mafk	chr18	13013827	13013841	-	0.000	0.000	Merged-chr18-13013955-24
NR961--MA0089.1.MAFG::NFE2L1	chr1	191152565	191152570	-	0.000	0.000	Merged-chr1-191152485-1
NR789--MA0117.2.Mafb	chr1	177455720	177455731	-	0.000	0.000	Merged-chr1-177455545-12
NR1166--MA0089.1.MAFG::NFE2L1	chr10	40688489	40688494	-	0.000	0.000	Merged-chr10-40688620-20
NR5022--MA0496.2.MAFK	chr16	95893615	95893633	+	0.000	0.000	Merged-chr16-95893684-47
NR5174--MA0501.1.MAF::NFE2	chr17	28193757	28193771	-	0.000	0.000	Merged-chr17-28193674-11
NR6110--MA0501.1.MAF::NFE2	chr19	33429569	33429583	-	0.000	0.000	Merged-chr19-33429713-40
NR6112--MA0496.2.MAFK	chr19	33429570	33429588	-	0.000	0.000	Merged-chr19-33429713-40
NR4543--MA0089.1.MAFG::NFE2L1	chr15	100060731	100060736	+	0.000	0.000	Merged-chr15-100060928-68
NR5049--MA0591.1.Bach1::Mafk	chr16	97442083	97442097	-	0.000	0.000	Merged-chr16-97442198-19
NR346--MA0117.2.Mafb	chr1	89093918	89093929	+	0.000	0.000	Merged-chr1-89093874-9
NR10418--MA0089.1.MAFG::NFE2L1	chr7	4836448	4836453	+	0.000	0.000	Merged-chr7-4836481-36
NR7627--MA0591.1.Bach1::Mafk	chr3	79336211	79336225	-	0.000	0.000	Merged-chr3-79336264-23
NR1012--MA0496.2.MAFK	chr10	3238613	3238631	-	0.000	0.000	Merged-chr10-3238463-21
NR6119--MA0117.2.Mafb	chr19	36348902	36348913	+	0.000	0.000	Merged-chr19-36348792-148
NR3159--MA0591.1.Bach1::Mafk	chr13	36368339	36368353	-	0.000	0.000	Merged-chr13-36368196-54
NR2246--MA0591.1.Bach1::Mafk	chr11	99132536	99132550	+	0.000	0.000	Merged-chr11-99132520-18
NR1742--MA0089.1.MAFG::NFE2L1	chr11	4206035	4206040	+	0.000	0.000	Merged-chr11-4206247-48
NR1171--MA0117.2.Mafb	chr10	41615688	41615699	+	0.000	0.000	Merged-chr10-41615681-31
NR9176--MA0496.2.MAFK	chr5	92353779	92353797	-	0.000	0.000	Merged-chr5-92353751-46
NR494--MA0089.1.MAFG::NFE2L1	chr1	128771028	128771033	+	0.000	0.000	Merged-chr1-128770934-28
NR4663--MA0495.2.MAFF	chr16	22794955	22794975	-	0.000	0.000	Merged-chr16-22794765-7
NR3249--MA0089.1.MAFG::NFE2L1	chr13	49270737	49270742	-	0.000	0.000	Merged-chr13-49270675-31
NR9783--MA0659.1.MAFG	chr6	65765317	65765337	-	0.000	0.000	Merged-chr6-65765316-29
NR5054--MA0496.2.MAFK	chr16	97442081	97442099	-	0.000	0.000	Merged-chr16-97442198-19
NR1937--MA0117.2.Mafb	chr11	54105171	54105182	+	0.000	0.000	Merged-chr11-54105258-8
NR3523--MA0089.1.MAFG::NFE2L1	chr13	107866816	107866821	+	0.000	0.000	Merged-chr13-107866970-30
NR8371--MA0659.1.MAFG	chr4	89350396	89350416	+	0.000	0.000	Merged-chr4-89350457-2
NR11156--MA0089.1.MAFG::NFE2L1	chr7	141097387	141097392	+	0.000	0.000	Merged-chr7-141097451-2
NR842--MA0495.2.MAFF	chr1	182100628	182100648	+	0.000	0.000	Merged-chr1-182100503-13
NR10335--MA0591.1.Bach1::Mafk	chr6	144689272	144689286	-	0.000	0.000	Merged-chr6-144689209-25
NR844--MA0659.1.MAFG	chr1	182100628	182100648	+	0.000	0.000	Merged-chr1-182100503-13
NR5672--MA0501.1.MAF::NFE2	chr18	39877927	39877941	+	0.000	0.000	Merged-chr18-39877975-43
NR11806--MA0591.1.Bach1::Mafk	chr9	14171981	14171995	+	0.000	0.000	Merged-chr9-14171965-37
NR5406--MA0117.2.Mafb	chr17	74753546	74753557	-	0.000	0.000	Merged-chr17-74753393-19
NR3137--MA0659.1.MAFG	chr13	31505464	31505484	-	0.000	0.000	Merged-chr13-31505526-12
NR6146--MA0089.1.MAFG::NFE2L1	chr19	42266461	42266466	-	0.000	0.000	Merged-chr19-42266343-14
NR11443--MA0089.1.MAFG::NFE2L1	chr8	86052138	86052143	-	0.000	0.000	Merged-chr8-86052123-41
NR8809--MA0089.1.MAFG::NFE2L1	chr4	149680854	149680859	-	0.000	0.000	Merged-chr4-149680900-7
NR2139--MA0496.2.MAFK	chr11	83828748	83828766	+	0.000	0.000	Merged-chr11-83828814-21
NR2845--MA0501.1.MAF::NFE2	chr12	103331591	103331605	+	0.000	0.000	Merged-chr12-103331678-52
NR1746--MA0501.1.MAF::NFE2	chr11	4263036	4263050	-	0.000	0.000	Merged-chr11-4263034-2
NR8338--MA0496.2.MAFK	chr4	88079189	88079207	+	0.000	0.000	Merged-chr4-88079193-33
NR2553--MA0591.1.Bach1::Mafk	chr12	25851738	25851752	+	0.000	0.000	Merged-chr12-25851772-17
NR8897--MA0089.1.MAFG::NFE2L1	chr5	10245953	10245958	-	0.000	0.000	Merged-chr5-10245943-14
NR9291--MA0591.1.Bach1::Mafk	chr5	106885764	106885778	-	0.000	0.000	Merged-chr5-106885750-27
NR5675--MA0117.2.Mafb	chr18	39878031	39878042	-	0.000	0.000	Merged-chr18-39877975-43
NR211--MA0089.1.MAFG::NFE2L1	chr1	60913600	60913605	-	0.000	0.000	Merged-chr1-60913471-46
NR6790--MA0495.2.MAFF	chr2	114059828	114059848	+	0.000	0.000	Merged-chr2-114059851-34
NR9058--MA0089.1.MAFG::NFE2L1	chr5	62858662	62858667	-	0.000	0.000	Merged-chr5-62858471-55
NR11809--MA0591.1.Bach1::Mafk	chr9	14248440	14248454	+	0.000	0.000	Merged-chr9-14248366-20
NR7815--MA0501.1.MAF::NFE2	chr3	109165414	109165428	-	0.000	0.000	Merged-chr3-109165436-34
NR4393--MA0659.1.MAFG	chr15	73627474	73627494	-	0.000	0.000	Merged-chr15-73627530-51
NR600--MA0089.1.MAFG::NFE2L1	chr1	151465792	151465797	-	0.000	0.000	Merged-chr1-151465762-7
NR9332--MA0089.1.MAFG::NFE2L1	chr5	112488431	112488436	-	0.000	0.000	Merged-chr5-112488536-19
NR2090--MA0496.2.MAFK	chr11	75878753	75878771	+	0.000	0.000	Merged-chr11-75878686-10
NR11335--MA0501.1.MAF::NFE2	chr8	69149355	69149369	-	0.000	0.000	Merged-chr8-69149326-14
NR2614--MA0496.2.MAFK	chr12	40244075	40244093	-	0.000	0.000	Merged-chr12-40244001-31
NR10456--MA0495.2.MAFF	chr7	16343735	16343755	-	0.000	0.000	Merged-chr7-16343810-22
NR4661--MA0089.1.MAFG::NFE2L1	chr16	22526618	22526623	+	0.000	0.000	Merged-chr16-22526487-34
NR4297--MA0591.1.Bach1::Mafk	chr15	59726090	59726104	-	0.000	0.000	Merged-chr15-59726056-17
NR2552--MA0495.2.MAFF	chr12	25851735	25851755	-	0.000	0.000	Merged-chr12-25851772-17
NR8379--MA0591.1.Bach1::Mafk	chr4	89530185	89530199	-	0.000	0.000	Merged-chr4-89530281-33
NR11076--MA0089.1.MAFG::NFE2L1	chr7	130893287	130893292	+	0.000	0.000	Merged-chr7-130893114-41
NR8090--MA0117.2.Mafb	chr3	155235659	155235670	-	0.000	0.000	Merged-chr3-155235663-12
NR8336--MA0591.1.Bach1::Mafk	chr4	88079191	88079205	+	0.000	0.000	Merged-chr4-88079193-33
NR3845--MA0089.1.MAFG::NFE2L1	chr14	61046558	61046563	+	0.000	0.000	Merged-chr14-61046434-63
NR322--MA0089.1.MAFG::NFE2L1	chr1	86580623	86580628	+	0.000	0.000	Merged-chr1-86580596-17
NR10758--MA0501.1.MAF::NFE2	chr7	88459922	88459936	+	0.000	0.000	Merged-chr7-88459917-15
NR11964--MA0591.1.Bach1::Mafk	chr9	61187133	61187147	+	0.000	0.000	Merged-chr9-61187199-16
NR537--MA0089.1.MAFG::NFE2L1	chr1	136898486	136898491	-	0.000	0.000	Merged-chr1-136898317-25
NR6108--MA0659.1.MAFG	chr19	33429569	33429589	-	0.000	0.000	Merged-chr19-33429713-40
NR6403--MA0591.1.Bach1::Mafk	chr2	28540198	28540212	+	0.000	0.000	Merged-chr2-28540150-39
NR2555--MA0501.1.MAF::NFE2	chr12	25851741	25851755	+	0.000	0.000	Merged-chr12-25851772-17
NR4471--MA0591.1.Bach1::Mafk	chr15	85828784	85828798	+	0.000	0.000	Merged-chr15-85828905-13
NR1006--MA0495.2.MAFF	chr10	3238612	3238632	-	0.000	0.000	Merged-chr10-3238463-21
NR5484--MA0501.1.MAF::NFE2	chr17	86206502	86206516	-	0.000	0.000	Merged-chr17-86206449-38
NR811--MA0591.1.Bach1::Mafk	chr1	180410494	180410508	+	0.000	0.000	Merged-chr1-180410391-12
NR6368--MA0089.1.MAFG::NFE2L1	chr2	18519389	18519394	+	0.000	0.000	Merged-chr2-18519177-24
NR11578--MA0089.1.MAFG::NFE2L1	chr8	115739844	115739849	-	0.000	0.000	Merged-chr8-115739981-29
NR5890--MA0089.1.MAFG::NFE2L1	chr18	82513661	82513666	+	0.000	0.000	Merged-chr18-82513500-48
NR4435--MA0501.1.MAF::NFE2	chr15	81308188	81308202	-	0.000	0.000	Merged-chr15-81308219-24
NR2387--MA0591.1.Bach1::Mafk	chr11	115128698	115128712	+	0.000	0.000	Merged-chr11-115128624-38
NR1507--MA0089.1.MAFG::NFE2L1	chr10	98861677	98861682	-	0.000	0.000	Merged-chr10-98861710-33
NR5486--MA0496.2.MAFK	chr17	86206503	86206521	-	0.000	0.000	Merged-chr17-86206449-38
NR4067--MA0501.1.MAF::NFE2	chr14	118681328	118681342	-	0.000	0.000	Merged-chr14-118681179-25
NR12302--MA0089.1.MAFG::NFE2L1	chr9	114455682	114455687	-	0.000	0.000	Merged-chr9-114455654-16
NR2234--MA0089.1.MAFG::NFE2L1	chr11	97246738	97246743	-	0.000	0.000	Merged-chr11-97246717-13
NR5048--MA0495.2.MAFF	chr16	97442080	97442100	-	0.000	0.000	Merged-chr16-97442198-19
NR6482--MA0496.2.MAFK	chr2	38548157	38548175	-	0.000	0.000	Merged-chr2-38548313-22
NR10410--MA0591.1.Bach1::Mafk	chr7	3290321	3290335	-	0.000	0.000	Merged-chr7-3290343-35
NR1290--MA0117.2.Mafb	chr10	67841235	67841246	+	0.000	0.000	Merged-chr10-67841086-29
NR299--MA0591.1.Bach1::Mafk	chr1	83006366	83006380	-	0.000	0.000	Merged-chr1-83006483-46
NR5046--MA0089.1.MAFG::NFE2L1	chr16	97402597	97402602	-	0.000	0.000	Merged-chr16-97402543-6
NR4782--MA0495.2.MAFF	chr16	45310575	45310595	+	0.000	0.000	Merged-chr16-45310615-7
NR3130--MA0659.1.MAFG	chr13	30192169	30192189	+	0.000	0.000	Merged-chr13-30192249-19
NR8712--MA0089.1.MAFG::NFE2L1	chr4	144906846	144906851	+	0.000	0.000	Merged-chr4-144906777-28
NR235--MA0496.2.MAFK	chr1	69350805	69350823	-	0.000	0.000	Merged-chr1-69350970-27
NR276--MA0495.2.MAFF	chr1	80321300	80321320	-	0.000	0.000	Merged-chr1-80321528-19
NR6364--MA0089.1.MAFG::NFE2L1	chr2	17855771	17855776	-	0.000	0.000	Merged-chr2-17855738-13
NR11807--MA0495.2.MAFF	chr9	14248437	14248457	+	0.000	0.000	Merged-chr9-14248366-20
NR12326--MA0089.1.MAFG::NFE2L1	chr9	116212178	116212183	-	0.000	0.000	Merged-chr9-116212405-59
NR3260--MA0117.2.Mafb	chr13	52004069	52004080	-	0.000	0.000	Merged-chr13-52004248-54
NR7918--MA0495.2.MAFF	chr3	133626798	133626818	+	0.000	0.000	Merged-chr3-133626779-42
NR9124--MA0501.1.MAF::NFE2	chr5	86783379	86783393	-	0.000	0.000	Merged-chr5-86783243-43
NR8065--MA0591.1.Bach1::Mafk	chr3	152800799	152800813	-	0.000	0.000	Merged-chr3-152800764-1
NR4695--MA0659.1.MAFG	chr16	24854663	24854683	-	0.000	0.000	Merged-chr16-24854563-13
NR9101--MA0117.2.Mafb	chr5	74132971	74132982	-	0.000	0.000	Merged-chr5-74132835-25
NR3461--MA0089.1.MAFG::NFE2L1	chr13	99648028	99648033	+	0.000	0.000	Merged-chr13-99648016-28
NR8107--MA0591.1.Bach1::Mafk	chr3	157884231	157884245	-	0.000	0.000	Merged-chr3-157884103-23
NR11966--MA0659.1.MAFG	chr9	61187130	61187150	+	0.000	0.000	Merged-chr9-61187199-16
NR10780--MA0591.1.Bach1::Mafk	chr7	97626067	97626081	+	0.000	0.000	Merged-chr7-97625910-13
NR7316--MA0089.1.MAFG::NFE2L1	chr2	168575051	168575056	+	0.000	0.000	Merged-chr2-168575169-53
NR7833--MA0495.2.MAFF	chr3	115584871	115584891	+	0.000	0.000	Merged-chr3-115584831-13
NR7391--MA0089.1.MAFG::NFE2L1	chr2	173448695	173448700	-	0.000	0.000	Merged-chr2-173448878-59
NR12396--MA0495.2.MAFF	chr9	123740893	123740913	+	0.000	0.000	Merged-chr9-123740966-33
NR3850--MA0089.1.MAFG::NFE2L1	chr14	61774047	61774052	+	0.000	0.000	Merged-chr14-61773988-12
NR6199--MA0089.1.MAFG::NFE2L1	chr19	53800694	53800699	-	0.000	0.000	Merged-chr19-53800770-48
NR5671--MA0591.1.Bach1::Mafk	chr18	39877924	39877938	+	0.000	0.000	Merged-chr18-39877975-43
NR4343--MA0501.1.MAF::NFE2	chr15	64156010	64156024	+	0.000	0.000	Merged-chr15-64155964-10
NR7389--MA0501.1.MAF::NFE2	chr2	172971966	172971980	+	0.000	0.000	Merged-chr2-172972051-17
NR3081--MA0089.1.MAFG::NFE2L1	chr13	16642143	16642148	+	0.000	0.000	Merged-chr13-16642164-24
NR3138--MA0496.2.MAFK	chr13	31505465	31505483	-	0.000	0.000	Merged-chr13-31505526-12
NR177--MA0591.1.Bach1::Mafk	chr1	55196485	55196499	+	0.000	0.000	Merged-chr1-55196547-23
NR11858--MA0501.1.MAF::NFE2	chr9	38728416	38728430	+	0.000	0.000	Merged-chr9-38728411-36
NR2569--MA0089.1.MAFG::NFE2L1	chr12	28829634	28829639	-	0.000	0.000	Merged-chr12-28829718-31
NR10363--MA0089.1.MAFG::NFE2L1	chr6	146185786	146185791	-	0.000	0.000	Merged-chr6-146185680-43
NR357--MA0501.1.MAF::NFE2	chr1	91831435	91831449	+	0.000	0.000	Merged-chr1-91831329-12
NR4819--MA0501.1.MAF::NFE2	chr16	52292837	52292851	+	0.000	0.000	Merged-chr16-52292729-42
NR2756--MA0089.1.MAFG::NFE2L1	chr12	91009109	91009114	-	0.000	0.000	Merged-chr12-91009085-35
NR11970--MA0089.1.MAFG::NFE2L1	chr9	61216311	61216316	+	0.000	0.000	Merged-chr9-61216256-31
NR11969--MA0496.2.MAFK	chr9	61187131	61187149	-	0.000	0.000	Merged-chr9-61187199-16
NR9174--MA0659.1.MAFG	chr5	92353778	92353798	-	0.000	0.000	Merged-chr5-92353751-46
NR3521--MA0117.2.Mafb	chr13	107574564	107574575	-	0.000	0.000	Merged-chr13-107574590-2
NR7086--MA0496.2.MAFK	chr2	145804908	145804926	+	0.000	0.000	Merged-chr2-145804796-32
NR7223--MA0089.1.MAFG::NFE2L1	chr2	158160159	158160164	-	0.000	0.000	Merged-chr2-158160127-37
NR5128--MA0117.2.Mafb	chr17	17845681	17845692	+	0.000	0.000	Merged-chr17-17845619-46
NR812--MA0501.1.MAF::NFE2	chr1	180410497	180410511	+	0.000	0.000	Merged-chr1-180410391-12
NR9841--MA0117.2.Mafb	chr6	82775641	82775652	-	0.000	0.000	Merged-chr6-82775550-35
NR233--MA0495.2.MAFF	chr1	69350804	69350824	-	0.000	0.000	Merged-chr1-69350970-27
NR9989--MA0089.1.MAFG::NFE2L1	chr6	106981478	106981483	-	0.000	0.000	Merged-chr6-106981432-3
NR4394--MA0496.2.MAFK	chr15	73627475	73627493	+	0.000	0.000	Merged-chr15-73627530-51
NR6105--MA0089.1.MAFG::NFE2L1	chr19	33429564	33429569	-	0.000	0.000	Merged-chr19-33429713-40
NR1220--MA0501.1.MAF::NFE2	chr10	53348580	53348594	-	0.000	0.000	Merged-chr10-53348557-41
NR10085--MA0089.1.MAFG::NFE2L1	chr6	119159841	119159846	-	0.000	0.000	Merged-chr6-119159656-11
NR11334--MA0591.1.Bach1::Mafk	chr8	69149358	69149372	-	0.000	0.000	Merged-chr8-69149326-14
NR1549--MA0089.1.MAFG::NFE2L1	chr10	111924394	111924399	+	0.000	0.000	Merged-chr10-111924366-28
NR9149--MA0501.1.MAF::NFE2	chr5	90742151	90742165	+	0.000	0.000	Merged-chr5-90742238-22
NR5023--MA0496.2.MAFK	chr16	95893615	95893633	-	0.000	0.000	Merged-chr16-95893684-47
NR6109--MA0501.1.MAF::NFE2	chr19	33429575	33429589	+	0.000	0.000	Merged-chr19-33429713-40
NR7317--MA0117.2.Mafb	chr2	168575070	168575081	+	0.000	0.000	Merged-chr2-168575169-53
NR6611--MA0591.1.Bach1::Mafk	chr2	70920180	70920194	+	0.000	0.000	Merged-chr2-70920097-22
NR4945--MA0496.2.MAFK	chr16	89974506	89974524	+	0.000	0.000	Merged-chr16-89974505-28
NR677--MA0089.1.MAFG::NFE2L1	chr1	161671183	161671188	+	0.000	0.000	Merged-chr1-161671075-50
NR7628--MA0501.1.MAF::NFE2	chr3	79336208	79336222	-	0.000	0.000	Merged-chr3-79336264-23
NR2752--MA0089.1.MAFG::NFE2L1	chr12	90810920	90810925	+	0.000	0.000	Merged-chr12-90810823-15
