#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed
NR2462--MA0037.3.GATA3	chr14	60072723	60072730	-	0.000	0.000	Merged-chr14-60072713-24
NR5392--MA0035.3.Gata1	chr4	59281126	59281136	+	0.000	0.000	Merged-chr4-59281104-23
NR473--MA0037.3.GATA3	chr1	161794946	161794953	-	0.000	0.000	Merged-chr1-161794797-65
NR5489--MA0766.1.GATA5	chr4	89044206	89044213	-	0.000	0.000	Merged-chr4-89044155-38
NR1734--MA0766.1.GATA5	chr12	102350999	102351006	-	0.000	0.000	Merged-chr12-102350976-38
NR2119--MA1104.1.GATA6	chr13	101702249	101702261	+	0.000	0.000	Merged-chr13-101702260-81
NR3090--MA0766.1.GATA5	chr16	45942381	45942388	+	0.000	0.000	Merged-chr16-45942365-39
NR2850--MA0035.3.Gata1	chr15	78835267	78835277	-	0.000	0.000	Merged-chr15-78835387-37
NR6568--MA1104.1.GATA6	chr6	130102976	130102988	-	0.000	0.000	Merged-chr6-130103023-31
NR3221--MA0036.3.GATA2	chr16	70365413	70365423	+	0.000	0.000	Merged-chr16-70365429-20
NR6313--MA0140.2.GATA1::TAL1	chr6	67483247	67483264	+	0.000	0.000	Merged-chr6-67483330-21
NR696--MA0037.3.GATA3	chr10	21975620	21975627	-	0.000	0.000	Merged-chr10-21975536-24
NR1359--MA0766.1.GATA5	chr11	101627409	101627416	-	0.000	0.000	Merged-chr11-101627512-104
NR2839--MA0037.3.GATA3	chr15	78495178	78495185	+	0.000	0.000	Merged-chr15-78495177-43
NR1939--MA0035.3.Gata1	chr13	45850806	45850816	+	0.000	0.000	Merged-chr13-45850664-56
NR5179--MA0036.3.GATA2	chr3	142281017	142281027	+	0.000	0.000	Merged-chr3-142281213-32
NR5180--MA0035.3.Gata1	chr3	142281017	142281027	+	0.000	0.000	Merged-chr3-142281213-32
NR3369--MA0036.3.GATA2	chr17	12165547	12165557	+	0.000	0.000	Merged-chr17-12165459-54
NR242--MA0036.3.GATA2	chr1	94048305	94048315	+	0.000	0.000	Merged-chr1-94048267-32
NR2842--MA0036.3.GATA2	chr15	78495176	78495186	-	0.000	0.000	Merged-chr15-78495177-43
NR5038--MA0766.1.GATA5	chr3	115729287	115729294	-	0.000	0.000	Merged-chr3-115729400-55
NR6935--MA0035.3.Gata1	chr7	90007379	90007389	-	0.000	0.000	Merged-chr7-90007418-46
NR74--MA0140.2.GATA1::TAL1	chr1	43538870	43538887	+	0.000	0.000	Merged-chr1-43538951-30
NR754--MA0766.1.GATA5	chr10	40713354	40713361	+	0.000	0.000	Merged-chr10-40713251-44
NR3091--MA0035.3.Gata1	chr16	45942379	45942389	-	0.000	0.000	Merged-chr16-45942365-39
NR4796--MA0140.2.GATA1::TAL1	chr3	9924646	9924663	-	0.000	0.000	Merged-chr3-9924809-24
NR6579--MA0140.2.GATA1::TAL1	chr6	130312046	130312063	+	0.000	0.000	Merged-chr6-130312055-26
NR213--MA0036.3.GATA2	chr1	90677874	90677884	+	0.000	0.000	Merged-chr1-90677857-31
NR1846--MA0482.1.Gata4	chr12	118255859	118255869	-	0.000	0.000	Merged-chr12-118255780-45
NR7276--MA0766.1.GATA5	chr8	75082611	75082618	+	0.000	0.000	Merged-chr8-75082480-28
NR475--MA0766.1.GATA5	chr1	161794946	161794953	-	0.000	0.000	Merged-chr1-161794797-65
NR5637--MA1104.1.GATA6	chr4	145312625	145312637	+	0.000	0.000	Merged-chr4-145312696-44
NR3287--MA0036.3.GATA2	chr16	92641311	92641321	-	0.000	0.000	Merged-chr16-92641253-41
NR5357--MA0766.1.GATA5	chr4	47319835	47319842	+	0.000	0.000	Merged-chr4-47319930-54
NR6640--MA0766.1.GATA5	chr6	140598741	140598748	-	0.000	0.000	Merged-chr6-140598794-45
NR6566--MA0037.3.GATA3	chr6	130102978	130102985	-	0.000	0.000	Merged-chr6-130103023-31
NR2540--MA1104.1.GATA6	chr14	78687946	78687958	-	0.000	0.000	Merged-chr14-78687892-42
NR4782--MA0482.1.Gata4	chr2	181497622	181497632	+	0.000	0.000	Merged-chr2-181497766-4
NR476--MA0140.2.GATA1::TAL1	chr1	161794947	161794964	+	0.000	0.000	Merged-chr1-161794797-65
NR2120--MA0036.3.GATA2	chr13	101702250	101702260	-	0.000	0.000	Merged-chr13-101702260-81
NR2924--MA0766.1.GATA5	chr15	101388145	101388152	-	0.000	0.000	Merged-chr15-101388154-52
NR6255--MA0036.3.GATA2	chr6	50387874	50387884	-	0.000	0.000	Merged-chr6-50387910-30
NR5039--MA0035.3.Gata1	chr3	115729286	115729296	+	0.000	0.000	Merged-chr3-115729400-55
NR72--MA1104.1.GATA6	chr1	43538867	43538879	-	0.000	0.000	Merged-chr1-43538951-30
NR755--MA0035.3.Gata1	chr10	40713352	40713362	-	0.000	0.000	Merged-chr10-40713251-44
NR2908--MA0482.1.Gata4	chr15	96827786	96827796	-	0.000	0.000	Merged-chr15-96827730-24
NR2449--MA0037.3.GATA3	chr14	57713188	57713195	+	0.000	0.000	Merged-chr14-57713043-44
NR1850--MA0035.3.Gata1	chr12	118255860	118255870	-	0.000	0.000	Merged-chr12-118255780-45
NR2470--MA0766.1.GATA5	chr14	60131692	60131699	-	0.000	0.000	Merged-chr14-60131750-51
NR2091--MA1104.1.GATA6	chr13	95697070	95697082	-	0.000	0.000	Merged-chr13-95697036-46
NR2847--MA0482.1.Gata4	chr15	78835266	78835276	-	0.000	0.000	Merged-chr15-78835387-37
NR2465--MA0036.3.GATA2	chr14	60072722	60072732	+	0.000	0.000	Merged-chr14-60072713-24
NR6280--MA1104.1.GATA6	chr6	58832865	58832877	-	0.000	0.000	Merged-chr6-58832889-39
NR2909--MA1104.1.GATA6	chr15	96827786	96827798	+	0.000	0.000	Merged-chr15-96827730-24
NR1733--MA0036.3.GATA2	chr12	102350998	102351008	+	0.000	0.000	Merged-chr12-102350976-38
NR6931--MA0037.3.GATA3	chr7	90007381	90007388	+	0.000	0.000	Merged-chr7-90007418-46
NR474--MA1104.1.GATA6	chr1	161794944	161794956	-	0.000	0.000	Merged-chr1-161794797-65
NR3370--MA0766.1.GATA5	chr17	12165548	12165555	-	0.000	0.000	Merged-chr17-12165459-54
NR5315--MA0140.2.GATA1::TAL1	chr4	11721581	11721598	-	0.000	0.000	Merged-chr4-11721470-80
NR5356--MA1104.1.GATA6	chr4	47319832	47319844	+	0.000	0.000	Merged-chr4-47319930-54
NR6664--MA0766.1.GATA5	chr6	142823508	142823515	+	0.000	0.000	Merged-chr6-142823375-40
NR7732--MA0036.3.GATA2	chr9	87025899	87025909	+	0.000	0.000	Merged-chr9-87025935-38
NR5500--MA0035.3.Gata1	chr4	95068327	95068337	-	0.000	0.000	Merged-chr4-95068269-28
NR6253--MA0140.2.GATA1::TAL1	chr6	50146580	50146597	-	0.000	0.000	Merged-chr6-50146420-23
NR2848--MA1104.1.GATA6	chr15	78835266	78835278	+	0.000	0.000	Merged-chr15-78835387-37
NR5622--MA0035.3.Gata1	chr4	134047865	134047875	-	0.000	0.000	Merged-chr4-134047792-28
NR7389--MA1104.1.GATA6	chr8	117548683	117548695	-	0.000	0.000	Merged-chr8-117548585-70
NR2923--MA1104.1.GATA6	chr15	101388143	101388155	-	0.000	0.000	Merged-chr15-101388154-52
NR2539--MA0482.1.Gata4	chr14	78687948	78687958	+	0.000	0.000	Merged-chr14-78687892-42
NR537--MA0482.1.Gata4	chr1	171643757	171643767	+	0.000	0.000	Merged-chr1-171643793-46
NR697--MA1104.1.GATA6	chr10	21975618	21975630	-	0.000	0.000	Merged-chr10-21975536-24
NR6574--MA0482.1.Gata4	chr6	130312045	130312055	+	0.000	0.000	Merged-chr6-130312055-26
NR1849--MA0766.1.GATA5	chr12	118255862	118255869	+	0.000	0.000	Merged-chr12-118255780-45
NR3538--MA0140.2.GATA1::TAL1	chr17	71192188	71192205	-	0.000	0.000	Merged-chr17-71192022-46
NR4111--MA0482.1.Gata4	chr2	31082841	31082851	-	0.000	0.000	Merged-chr2-31082849-41
NR5144--MA0037.3.GATA3	chr3	136742960	136742967	-	0.000	0.000	Merged-chr3-136742959-57
NR4039--MA0035.3.Gata1	chr2	11617066	11617076	+	0.000	0.000	Merged-chr2-11617013-39
NR5620--MA1104.1.GATA6	chr4	134047864	134047876	+	0.000	0.000	Merged-chr4-134047792-28
NR3371--MA0035.3.Gata1	chr17	12165547	12165557	+	0.000	0.000	Merged-chr17-12165459-54
NR4408--MA0482.1.Gata4	chr2	102812791	102812801	-	0.000	0.000	Merged-chr2-102812992-26
NR2907--MA0037.3.GATA3	chr15	96827789	96827796	+	0.000	0.000	Merged-chr15-96827730-24
NR4498--MA0482.1.Gata4	chr2	127923473	127923483	+	0.000	0.000	Merged-chr2-127923410-36
NR538--MA1104.1.GATA6	chr1	171643755	171643767	-	0.000	0.000	Merged-chr1-171643793-46
NR4878--MA0482.1.Gata4	chr3	60788288	60788298	+	0.000	0.000	Merged-chr3-60788099-46
NR6575--MA1104.1.GATA6	chr6	130312043	130312055	-	0.000	0.000	Merged-chr6-130312055-26
NR1137--MA0140.2.GATA1::TAL1	chr11	34506589	34506606	-	0.000	0.000	Merged-chr11-34506583-46
NR3971--MA0482.1.Gata4	chr19	32465412	32465422	+	0.000	0.000	Merged-chr19-32465460-36
NR1956--MA0482.1.Gata4	chr13	51848823	51848833	+	0.000	0.000	Merged-chr13-51849013-24
NR3974--MA0035.3.Gata1	chr19	32465411	32465421	+	0.000	0.000	Merged-chr19-32465460-36
NR6279--MA0482.1.Gata4	chr6	58832867	58832877	+	0.000	0.000	Merged-chr6-58832889-39
NR4112--MA1104.1.GATA6	chr2	31082841	31082853	+	0.000	0.000	Merged-chr2-31082849-41
NR1935--MA0482.1.Gata4	chr13	45850807	45850817	+	0.000	0.000	Merged-chr13-45850664-56
NR4409--MA1104.1.GATA6	chr2	102812791	102812803	+	0.000	0.000	Merged-chr2-102812992-26
NR992--MA0482.1.Gata4	chr10	117452450	117452460	-	0.000	0.000	Merged-chr10-117452327-39
NR7326--MA0035.3.Gata1	chr8	91073945	91073955	-	0.000	0.000	Merged-chr8-91073966-44
NR4499--MA1104.1.GATA6	chr2	127923471	127923483	-	0.000	0.000	Merged-chr2-127923410-36
NR4879--MA1104.1.GATA6	chr3	60788286	60788298	-	0.000	0.000	Merged-chr3-60788099-46
NR4882--MA0035.3.Gata1	chr3	60788287	60788297	+	0.000	0.000	Merged-chr3-60788099-46
NR6254--MA0037.3.GATA3	chr6	50387876	50387883	+	0.000	0.000	Merged-chr6-50387910-30
NR3972--MA1104.1.GATA6	chr19	32465410	32465422	-	0.000	0.000	Merged-chr19-32465460-36
NR5486--MA0482.1.Gata4	chr4	89044206	89044216	+	0.000	0.000	Merged-chr4-89044155-38
NR1731--MA0482.1.Gata4	chr12	102350999	102351009	+	0.000	0.000	Merged-chr12-102350976-38
NR7275--MA0482.1.Gata4	chr8	75082608	75082618	-	0.000	0.000	Merged-chr8-75082480-28
NR4915--MA0140.2.GATA1::TAL1	chr3	69041523	69041540	-	0.000	0.000	Merged-chr3-69041504-24
NR5146--MA0766.1.GATA5	chr3	136742960	136742967	-	0.000	0.000	Merged-chr3-136742959-57
NR2267--MA1104.1.GATA6	chr14	15770133	15770145	+	0.000	0.000	Merged-chr14-15770075-60
NR3089--MA0036.3.GATA2	chr16	45942379	45942389	-	0.000	0.000	Merged-chr16-45942365-39
NR2450--MA0766.1.GATA5	chr14	57713188	57713195	+	0.000	0.000	Merged-chr14-57713043-44
NR2538--MA0037.3.GATA3	chr14	78687948	78687955	-	0.000	0.000	Merged-chr14-78687892-42
NR1936--MA1104.1.GATA6	chr13	45850805	45850817	-	0.000	0.000	Merged-chr13-45850664-56
NR7730--MA0482.1.Gata4	chr9	87025900	87025910	+	0.000	0.000	Merged-chr9-87025935-38
NR536--MA0037.3.GATA3	chr1	171643757	171643764	-	0.000	0.000	Merged-chr1-171643793-46
NR4500--MA0036.3.GATA2	chr2	127923472	127923482	+	0.000	0.000	Merged-chr2-127923410-36
NR4703--MA0140.2.GATA1::TAL1	chr2	163131101	163131118	+	0.000	0.000	Merged-chr2-163131105-39
NR6573--MA0037.3.GATA3	chr6	130312045	130312052	-	0.000	0.000	Merged-chr6-130312055-26
NR1356--MA0482.1.Gata4	chr11	101627409	101627419	+	0.000	0.000	Merged-chr11-101627512-104
NR5638--MA0036.3.GATA2	chr4	145312626	145312636	-	0.000	0.000	Merged-chr4-145312696-44
NR2843--MA0766.1.GATA5	chr15	78495178	78495185	+	0.000	0.000	Merged-chr15-78495177-43
NR4290--MA0035.3.Gata1	chr2	72282907	72282917	-	0.000	0.000	Merged-chr2-72282934-17
NR2541--MA0036.3.GATA2	chr14	78687947	78687957	+	0.000	0.000	Merged-chr14-78687892-42
NR5487--MA1104.1.GATA6	chr4	89044204	89044216	-	0.000	0.000	Merged-chr4-89044155-38
NR1732--MA1104.1.GATA6	chr12	102350997	102351009	-	0.000	0.000	Merged-chr12-102350976-38
NR214--MA0766.1.GATA5	chr1	90677875	90677882	-	0.000	0.000	Merged-chr1-90677857-31
NR3288--MA0766.1.GATA5	chr16	92641313	92641320	+	0.000	0.000	Merged-chr16-92641253-41
NR4407--MA0037.3.GATA3	chr2	102812794	102812801	+	0.000	0.000	Merged-chr2-102812992-26
NR2910--MA0766.1.GATA5	chr15	96827789	96827796	+	0.000	0.000	Merged-chr15-96827730-24
NR2089--MA0037.3.GATA3	chr13	95697072	95697079	-	0.000	0.000	Merged-chr13-95697036-46
NR751--MA0482.1.Gata4	chr10	40713351	40713361	-	0.000	0.000	Merged-chr10-40713251-44
NR4497--MA0037.3.GATA3	chr2	127923473	127923480	-	0.000	0.000	Merged-chr2-127923410-36
NR4877--MA0037.3.GATA3	chr3	60788288	60788295	-	0.000	0.000	Merged-chr3-60788099-46
NR4702--MA0036.3.GATA2	chr2	163131099	163131109	+	0.000	0.000	Merged-chr2-163131105-39
NR4784--MA0035.3.Gata1	chr2	181497621	181497631	+	0.000	0.000	Merged-chr2-181497766-4
NR1357--MA1104.1.GATA6	chr11	101627407	101627419	-	0.000	0.000	Merged-chr11-101627512-104
NR7021--MA0482.1.Gata4	chr7	117394166	117394176	+	0.000	0.000	Merged-chr7-117394201-50
NR4410--MA0036.3.GATA2	chr2	102812792	102812802	-	0.000	0.000	Merged-chr2-102812992-26
NR5388--MA0482.1.Gata4	chr4	59281127	59281137	+	0.000	0.000	Merged-chr4-59281104-23
NR2092--MA0036.3.GATA2	chr13	95697071	95697081	+	0.000	0.000	Merged-chr13-95697036-46
NR6278--MA0037.3.GATA3	chr6	58832867	58832874	-	0.000	0.000	Merged-chr6-58832889-39
NR2844--MA0035.3.Gata1	chr15	78495176	78495186	-	0.000	0.000	Merged-chr15-78495177-43
NR6570--MA0766.1.GATA5	chr6	130102978	130102985	-	0.000	0.000	Merged-chr6-130103023-31
NR4880--MA0036.3.GATA2	chr3	60788287	60788297	+	0.000	0.000	Merged-chr3-60788099-46
NR7024--MA0035.3.Gata1	chr7	117394165	117394175	+	0.000	0.000	Merged-chr7-117394201-50
NR3499--MA1104.1.GATA6	chr17	56034600	56034612	+	0.000	0.000	Merged-chr17-56034700-41
NR212--MA0482.1.Gata4	chr1	90677875	90677885	+	0.000	0.000	Merged-chr1-90677857-31
NR5145--MA1104.1.GATA6	chr3	136742958	136742970	-	0.000	0.000	Merged-chr3-136742959-57
NR752--MA1104.1.GATA6	chr10	40713351	40713363	+	0.000	0.000	Merged-chr10-40713251-44
NR6281--MA0036.3.GATA2	chr6	58832866	58832876	+	0.000	0.000	Merged-chr6-58832889-39
NR714--MA0482.1.Gata4	chr10	26229622	26229632	+	0.000	0.000	Merged-chr10-26229708-29
NR3289--MA0035.3.Gata1	chr16	92641311	92641321	-	0.000	0.000	Merged-chr16-92641253-41
NR7022--MA1104.1.GATA6	chr7	117394164	117394176	-	0.000	0.000	Merged-chr7-117394201-50
NR5485--MA0037.3.GATA3	chr4	89044206	89044213	-	0.000	0.000	Merged-chr4-89044155-38
NR1730--MA0037.3.GATA3	chr12	102350999	102351006	-	0.000	0.000	Merged-chr12-102350976-38
NR5389--MA1104.1.GATA6	chr4	59281125	59281137	-	0.000	0.000	Merged-chr4-59281104-23
NR7274--MA0037.3.GATA3	chr8	75082611	75082618	+	0.000	0.000	Merged-chr8-75082480-28
NR2466--MA0766.1.GATA5	chr14	60072723	60072730	-	0.000	0.000	Merged-chr14-60072713-24
NR6934--MA0766.1.GATA5	chr7	90007381	90007388	+	0.000	0.000	Merged-chr7-90007418-46
NR5355--MA0037.3.GATA3	chr4	47319835	47319842	+	0.000	0.000	Merged-chr4-47319930-54
NR2469--MA0036.3.GATA2	chr14	60131691	60131701	+	0.000	0.000	Merged-chr14-60131750-51
NR2849--MA0036.3.GATA2	chr15	78835267	78835277	-	0.000	0.000	Merged-chr15-78835387-37
NR3178--MA1104.1.GATA6	chr16	58546297	58546309	+	0.000	0.000	Merged-chr16-58546287-56
NR6257--MA0035.3.Gata1	chr6	50387874	50387884	-	0.000	0.000	Merged-chr6-50387910-30
NR6571--MA0035.3.Gata1	chr6	130102977	130102987	+	0.000	0.000	Merged-chr6-130103023-31
NR1355--MA0037.3.GATA3	chr11	101627409	101627416	-	0.000	0.000	Merged-chr11-101627512-104
NR6226--MA0140.2.GATA1::TAL1	chr6	38810230	38810247	-	0.000	0.000	Merged-chr6-38810070-95
NR698--MA0036.3.GATA2	chr10	21975619	21975629	+	0.000	0.000	Merged-chr10-21975536-24
NR2101--MA0035.3.Gata1	chr13	98124618	98124628	+	0.000	0.000	Merged-chr13-98124541-43
NR715--MA1104.1.GATA6	chr10	26229620	26229632	-	0.000	0.000	Merged-chr10-26229708-29
NR7388--MA0037.3.GATA3	chr8	117548685	117548692	-	0.000	0.000	Merged-chr8-117548585-70
NR2922--MA0037.3.GATA3	chr15	101388145	101388152	-	0.000	0.000	Merged-chr15-101388154-52
NR3087--MA0482.1.Gata4	chr16	45942378	45942388	-	0.000	0.000	Merged-chr16-45942365-39
NR5621--MA0036.3.GATA2	chr4	134047865	134047875	-	0.000	0.000	Merged-chr4-134047792-28
NR7596--MA0140.2.GATA1::TAL1	chr9	48357408	48357425	-	0.000	0.000	Merged-chr9-48357343-17
NR1406--MA0140.2.GATA1::TAL1	chr11	110919281	110919298	-	0.000	0.000	Merged-chr11-110919203-38
NR750--MA0037.3.GATA3	chr10	40713354	40713361	+	0.000	0.000	Merged-chr10-40713251-44
NR7489--MA0140.2.GATA1::TAL1	chr9	14499422	14499439	+	0.000	0.000	Merged-chr9-14499189-81
NR2467--MA0035.3.Gata1	chr14	60072722	60072732	+	0.000	0.000	Merged-chr14-60072713-24
NR539--MA0036.3.GATA2	chr1	171643756	171643766	+	0.000	0.000	Merged-chr1-171643793-46
NR4922--MA0140.2.GATA1::TAL1	chr3	75930336	75930353	+	0.000	0.000	Merged-chr3-75930291-55
NR1735--MA0035.3.Gata1	chr12	102350998	102351008	+	0.000	0.000	Merged-chr12-102350976-38
NR6576--MA0036.3.GATA2	chr6	130312044	130312054	+	0.000	0.000	Merged-chr6-130312055-26
NR7383--MA0036.3.GATA2	chr8	111955417	111955427	+	0.000	0.000	Merged-chr8-111955328-48
NR3088--MA1104.1.GATA6	chr16	45942378	45942390	+	0.000	0.000	Merged-chr16-45942365-39
NR5387--MA0037.3.GATA3	chr4	59281127	59281134	-	0.000	0.000	Merged-chr4-59281104-23
NR7686--MA0140.2.GATA1::TAL1	chr9	78010955	78010972	-	0.000	0.000	Merged-chr9-78010803-82
NR5640--MA0035.3.Gata1	chr4	145312626	145312636	-	0.000	0.000	Merged-chr4-145312696-44
NR5390--MA0036.3.GATA2	chr4	59281126	59281136	+	0.000	0.000	Merged-chr4-59281104-23
NR2090--MA0482.1.Gata4	chr13	95697072	95697082	+	0.000	0.000	Merged-chr13-95697036-46
NR6637--MA0482.1.Gata4	chr6	140598741	140598751	+	0.000	0.000	Merged-chr6-140598794-45
NR3973--MA0036.3.GATA2	chr19	32465411	32465421	+	0.000	0.000	Merged-chr19-32465460-36
NR1270--MA0140.2.GATA1::TAL1	chr11	79132071	79132088	-	0.000	0.000	Merged-chr11-79132078-52
NR1847--MA1104.1.GATA6	chr12	118255859	118255871	+	0.000	0.000	Merged-chr12-118255780-45
NR1937--MA0036.3.GATA2	chr13	45850806	45850816	+	0.000	0.000	Merged-chr13-45850664-56
NR1205--MA0140.2.GATA1::TAL1	chr11	63148511	63148528	+	0.000	0.000	Merged-chr11-63148506-21
NR4038--MA0482.1.Gata4	chr2	11617067	11617077	+	0.000	0.000	Merged-chr2-11617013-39
NR700--MA0035.3.Gata1	chr10	21975619	21975629	+	0.000	0.000	Merged-chr10-21975536-24
NR3086--MA0037.3.GATA3	chr16	45942381	45942388	+	0.000	0.000	Merged-chr16-45942365-39
NR6638--MA1104.1.GATA6	chr6	140598739	140598751	-	0.000	0.000	Merged-chr6-140598794-45
NR2851--MA0140.2.GATA1::TAL1	chr15	78835258	78835275	-	0.000	0.000	Merged-chr15-78835387-37
