#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_dn.bed
NR10483--MA0684.1.RUNX3	chr9	78593272	78593281	+	0.000	0.000	Merged-chr9-78593326-11
NR599--MA0002.2.RUNX1	chr1	165691743	165691753	-	0.000	0.000	Merged-chr1-165691684-32
NR4181--MA0002.2.RUNX1	chr16	43697977	43697987	-	0.000	0.000	Merged-chr16-43697975-3
NR2772--MA0002.2.RUNX1	chr13	41346054	41346064	-	0.000	0.000	Merged-chr13-41345949-16
NR4--MA0511.2.RUNX2	chr1	6467288	6467296	-	0.000	0.000	Merged-chr1-6467226-38
NR2361--MA0511.2.RUNX2	chr12	92823631	92823639	+	0.000	0.000	Merged-chr12-92823421-39
NR8205--MA0002.2.RUNX1	chr5	140624007	140624017	-	0.000	0.000	Merged-chr5-140623883-3
NR3972--MA0002.2.RUNX1	chr15	99336093	99336103	-	0.000	0.000	Merged-chr15-99336095-27
NR4334--MA0684.1.RUNX3	chr16	84477818	84477827	+	0.000	0.000	Merged-chr16-84477844-43
NR6693--MA0511.2.RUNX2	chr3	108737883	108737891	-	0.000	0.000	Merged-chr3-108737869-29
NR2158--MA0002.2.RUNX1	chr12	25362963	25362973	+	0.000	0.000	Merged-chr12-25363030-6
NR8763--MA0002.2.RUNX1	chr6	127723184	127723194	-	0.000	0.000	Merged-chr6-127723234-26
NR9711--MA0002.2.RUNX1	chr7	142396753	142396763	+	0.000	0.000	Merged-chr7-142396800-18
NR2050--MA0002.2.RUNX1	chr11	116136518	116136528	-	0.000	0.000	Merged-chr11-116136465-12
NR9270--MA0002.2.RUNX1	chr7	72339570	72339580	-	0.000	0.000	Merged-chr7-72339570-17
NR2128--MA0684.1.RUNX3	chr12	13512612	13512621	+	0.000	0.000	Merged-chr12-13512538-15
NR474--MA0684.1.RUNX3	chr1	144276046	144276055	-	0.000	0.000	Merged-chr1-144275874-18
NR1976--MA0002.2.RUNX1	chr11	108088370	108088380	-	0.000	0.000	Merged-chr11-108088190-36
NR707--MA0511.2.RUNX2	chr1	181227026	181227034	+	0.000	0.000	Merged-chr1-181227002-33
NR2927--MA0511.2.RUNX2	chr13	85399092	85399100	-	0.000	0.000	Merged-chr13-85399027-23
NR8285--MA0002.2.RUNX1	chr5	151252478	151252488	-	0.000	0.000	Merged-chr5-151252284-65
NR8207--MA0684.1.RUNX3	chr5	140624014	140624023	+	0.000	0.000	Merged-chr5-140623883-3
NR2025--MA0684.1.RUNX3	chr11	113194938	113194947	+	0.000	0.000	Merged-chr11-113194847-27
NR9485--MA0002.2.RUNX1	chr7	112918451	112918461	-	0.000	0.000	Merged-chr7-112918407-20
NR9613--MA0002.2.RUNX1	chr7	128382345	128382355	+	0.000	0.000	Merged-chr7-128382170-51
NR8677--MA0684.1.RUNX3	chr6	114934410	114934419	+	0.000	0.000	Merged-chr6-114934394-6
NR1145--MA0002.2.RUNX1	chr10	76802235	76802245	+	0.000	0.000	Merged-chr10-76802342-40
NR2127--MA0002.2.RUNX1	chr12	13512612	13512622	-	0.000	0.000	Merged-chr12-13512538-15
NR1002--MA0002.2.RUNX1	chr10	42269537	42269547	-	0.000	0.000	Merged-chr10-42269495-58
NR4839--MA0684.1.RUNX3	chr17	86779459	86779468	+	0.000	0.000	Merged-chr17-86779381-46
NR4899--MA0511.2.RUNX2	chr18	14675979	14675987	+	0.000	0.000	Merged-chr18-14675814-20
NR9791--MA0002.2.RUNX1	chr8	22783633	22783643	-	0.000	0.000	Merged-chr8-22783714-26
NR5484--MA0684.1.RUNX3	chr19	57113350	57113359	+	0.000	0.000	Merged-chr19-57113185-31
NR3121--MA0511.2.RUNX2	chr13	113549212	113549220	-	0.000	0.000	Merged-chr13-113549207-25
NR7924--MA0684.1.RUNX3	chr5	100466876	100466885	+	0.000	0.000	Merged-chr5-100466890-43
NR3644--MA0511.2.RUNX2	chr15	34356866	34356874	+	0.000	0.000	Merged-chr15-34356866-8
NR1183--MA0511.2.RUNX2	chr10	81194417	81194425	-	0.000	0.000	Merged-chr10-81194350-49
NR8204--MA0511.2.RUNX2	chr5	140624014	140624022	+	0.000	0.000	Merged-chr5-140623883-3
NR10573--MA0002.2.RUNX1	chr9	94607589	94607599	-	0.000	0.000	Merged-chr9-94607543-65
NR1347--MA0002.2.RUNX1	chr10	111562798	111562808	-	0.000	0.000	Merged-chr10-111562842-26
NR5796--MA0002.2.RUNX1	chr2	71843427	71843437	+	0.000	0.000	Merged-chr2-71843530-15
NR3102--MA0002.2.RUNX1	chr13	110564085	110564095	-	0.000	0.000	Merged-chr13-110564159-46
NR10783--MA0002.2.RUNX1	chr9	120059519	120059529	+	0.000	0.000	Merged-chr9-120059540-6
NR10481--MA0511.2.RUNX2	chr9	78593272	78593280	+	0.000	0.000	Merged-chr9-78593326-11
NR7216--MA0002.2.RUNX1	chr4	98282437	98282447	+	0.000	0.000	Merged-chr4-98282479-46
NR5122--MA0002.2.RUNX1	chr18	80652995	80653005	-	0.000	0.000	Merged-chr18-80653014-8
NR6452--MA0002.2.RUNX1	chr3	37738620	37738630	-	0.000	0.000	Merged-chr3-37738517-40
NR904--MA0002.2.RUNX1	chr10	17512260	17512270	+	0.000	0.000	Merged-chr10-17512175-6
NR4900--MA0002.2.RUNX1	chr18	14675979	14675989	-	0.000	0.000	Merged-chr18-14675814-20
NR2996--MA0002.2.RUNX1	chr13	96555284	96555294	+	0.000	0.000	Merged-chr13-96555289-36
NR6--MA0684.1.RUNX3	chr1	6467287	6467296	-	0.000	0.000	Merged-chr1-6467226-38
NR9759--MA0002.2.RUNX1	chr8	11107277	11107287	-	0.000	0.000	Merged-chr8-11107220-18
NR5369--MA0511.2.RUNX2	chr19	37109990	37109998	-	0.000	0.000	Merged-chr19-37109967-3
NR3447--MA0002.2.RUNX1	chr14	77742008	77742018	-	0.000	0.000	Merged-chr14-77742060-11
NR877--MA0002.2.RUNX1	chr10	10307520	10307530	+	0.000	0.000	Merged-chr10-10307543-35
NR3208--MA0002.2.RUNX1	chr14	27268393	27268403	-	0.000	0.000	Merged-chr14-27268313-23
NR9161--MA0684.1.RUNX3	chr7	43430965	43430974	-	0.000	0.000	Merged-chr7-43430848-7
NR1222--MA0684.1.RUNX3	chr10	88346742	88346751	-	0.000	0.000	Merged-chr10-88346697-18
NR6131--MA0002.2.RUNX1	chr2	144646569	144646579	+	0.000	0.000	Merged-chr2-144646502-21
NR2362--MA0002.2.RUNX1	chr12	92823631	92823641	-	0.000	0.000	Merged-chr12-92823421-39
NR1188--MA0002.2.RUNX1	chr10	82697578	82697588	-	0.000	0.000	Merged-chr10-82697496-47
NR5057--MA0684.1.RUNX3	chr18	69196343	69196352	-	0.000	0.000	Merged-chr18-69196479-70
NR472--MA0511.2.RUNX2	chr1	144276047	144276055	-	0.000	0.000	Merged-chr1-144275874-18
NR9710--MA0002.2.RUNX1	chr7	142393439	142393449	+	0.000	0.000	Merged-chr7-142393362-24
NR2929--MA0684.1.RUNX3	chr13	85399091	85399100	-	0.000	0.000	Merged-chr13-85399027-23
NR9--MA0684.1.RUNX3	chr1	7095994	7096003	-	0.000	0.000	Merged-chr1-7096130-35
NR6795--MA0002.2.RUNX1	chr3	132791318	132791328	-	0.000	0.000	Merged-chr3-132791387-40
NR4244--MA0002.2.RUNX1	chr16	57176582	57176592	-	0.000	0.000	Merged-chr16-57176339-30
NR3642--MA0002.2.RUNX1	chr15	31264975	31264985	-	0.000	0.000	Merged-chr15-31264963-30
NR5811--MA0002.2.RUNX1	chr2	73547518	73547528	-	0.000	0.000	Merged-chr2-73547425-29
NR2023--MA0511.2.RUNX2	chr11	113194938	113194946	+	0.000	0.000	Merged-chr11-113194847-27
NR4160--MA0511.2.RUNX2	chr16	37099541	37099549	-	0.000	0.000	Merged-chr16-37099650-10
NR8175--MA0002.2.RUNX1	chr5	136459000	136459010	+	0.000	0.000	Merged-chr5-136458862-38
NR5370--MA0002.2.RUNX1	chr19	37109988	37109998	+	0.000	0.000	Merged-chr19-37109967-3
NR6560--MA0511.2.RUNX2	chr3	79504698	79504706	-	0.000	0.000	Merged-chr3-79504650-9
NR7714--MA0002.2.RUNX1	chr5	37259132	37259142	-	0.000	0.000	Merged-chr5-37259222-30
NR7922--MA0511.2.RUNX2	chr5	100466876	100466884	+	0.000	0.000	Merged-chr5-100466890-43
NR10740--MA0511.2.RUNX2	chr9	116366366	116366374	+	0.000	0.000	Merged-chr9-116366334-59
NR4161--MA0684.1.RUNX3	chr16	37099540	37099549	-	0.000	0.000	Merged-chr16-37099650-10
NR3836--MA0002.2.RUNX1	chr15	78518541	78518551	+	0.000	0.000	Merged-chr15-78518416-16
NR10741--MA0684.1.RUNX3	chr9	116366366	116366375	+	0.000	0.000	Merged-chr9-116366334-59
NR5604--MA0002.2.RUNX1	chr2	23041658	23041668	-	0.000	0.000	Merged-chr2-23041695-10
NR7645--MA0002.2.RUNX1	chr5	23626316	23626326	-	0.000	0.000	Merged-chr5-23626360-14
NR3122--MA0002.2.RUNX1	chr13	113549210	113549220	+	0.000	0.000	Merged-chr13-113549207-25
NR3645--MA0002.2.RUNX1	chr15	34356866	34356876	-	0.000	0.000	Merged-chr15-34356866-8
NR3549--MA0002.2.RUNX1	chr14	118834510	118834520	-	0.000	0.000	Merged-chr14-118834540-52
NR5272--MA0002.2.RUNX1	chr19	16790168	16790178	-	0.000	0.000	Merged-chr19-16790195-21
NR7563--MA0002.2.RUNX1	chr5	5420362	5420372	-	0.000	0.000	Merged-chr5-5420247-39
NR10482--MA0002.2.RUNX1	chr9	78593272	78593282	-	0.000	0.000	Merged-chr9-78593326-11
NR3717--MA0002.2.RUNX1	chr15	52899991	52900001	+	0.000	0.000	Merged-chr15-52899831-78
NR8843--MA0002.2.RUNX1	chr6	134710564	134710574	+	0.000	0.000	Merged-chr6-134710635-12
NR6130--MA0002.2.RUNX1	chr2	144637307	144637317	+	0.000	0.000	Merged-chr2-144637414-14
NR5055--MA0511.2.RUNX2	chr18	69196344	69196352	-	0.000	0.000	Merged-chr18-69196479-70
NR9315--MA0002.2.RUNX1	chr7	81863350	81863360	-	0.000	0.000	Merged-chr7-81863346-31
NR6970--MA0511.2.RUNX2	chr4	6476575	6476583	-	0.000	0.000	Merged-chr4-6476530-28
NR4333--MA0002.2.RUNX1	chr16	84477818	84477828	-	0.000	0.000	Merged-chr16-84477844-43
NR7--MA0511.2.RUNX2	chr1	7095995	7096003	-	0.000	0.000	Merged-chr1-7096130-35
NR9158--MA0002.2.RUNX1	chr7	43400070	43400080	+	0.000	0.000	Merged-chr7-43399918-26
NR4311--MA0684.1.RUNX3	chr16	76422747	76422756	+	0.000	0.000	Merged-chr16-76422823-13
NR708--MA0684.1.RUNX3	chr1	181227026	181227035	+	0.000	0.000	Merged-chr1-181227002-33
NR6907--MA0684.1.RUNX3	chr3	149394059	149394068	-	0.000	0.000	Merged-chr3-149393865-18
NR68--MA0002.2.RUNX1	chr1	39559239	39559249	-	0.000	0.000	Merged-chr1-39559167-24
NR473--MA0002.2.RUNX1	chr1	144276045	144276055	+	0.000	0.000	Merged-chr1-144275874-18
NR905--MA0684.1.RUNX3	chr10	17512261	17512270	-	0.000	0.000	Merged-chr10-17512175-6
NR4901--MA0684.1.RUNX3	chr18	14675979	14675988	+	0.000	0.000	Merged-chr18-14675814-20
NR600--MA0684.1.RUNX3	chr1	165691743	165691752	+	0.000	0.000	Merged-chr1-165691684-32
NR598--MA0511.2.RUNX2	chr1	165691743	165691751	+	0.000	0.000	Merged-chr1-165691684-32
NR2615--MA0684.1.RUNX3	chr13	8742951	8742960	+	0.000	0.000	Merged-chr13-8742974-25
NR8692--MA0002.2.RUNX1	chr6	119199211	119199221	+	0.000	0.000	Merged-chr6-119199024-52
NR3448--MA0684.1.RUNX3	chr14	77742008	77742017	+	0.000	0.000	Merged-chr14-77742060-11
NR878--MA0684.1.RUNX3	chr10	10307521	10307530	-	0.000	0.000	Merged-chr10-10307543-35
NR9709--MA0511.2.RUNX2	chr7	142393441	142393449	-	0.000	0.000	Merged-chr7-142393362-24
NR8859--MA0002.2.RUNX1	chr6	136493691	136493701	+	0.000	0.000	Merged-chr6-136493676-34
NR9159--MA0511.2.RUNX2	chr7	43430966	43430974	-	0.000	0.000	Merged-chr7-43430848-7
NR2789--MA0511.2.RUNX2	chr13	45455949	45455957	+	0.000	0.000	Merged-chr13-45455779-40
NR8206--MA0002.2.RUNX1	chr5	140624014	140624024	-	0.000	0.000	Merged-chr5-140623883-3
NR2024--MA0002.2.RUNX1	chr11	113194938	113194948	-	0.000	0.000	Merged-chr11-113194847-27
NR6906--MA0002.2.RUNX1	chr3	149394058	149394068	+	0.000	0.000	Merged-chr3-149393865-18
NR8676--MA0002.2.RUNX1	chr6	114934410	114934420	-	0.000	0.000	Merged-chr6-114934394-6
NR2289--MA0002.2.RUNX1	chr12	76085159	76085169	-	0.000	0.000	Merged-chr12-76085234-6
NR4838--MA0002.2.RUNX1	chr17	86779459	86779469	-	0.000	0.000	Merged-chr17-86779381-46
NR5483--MA0002.2.RUNX1	chr19	57113350	57113360	-	0.000	0.000	Merged-chr19-57113185-31
NR2363--MA0684.1.RUNX3	chr12	92823631	92823640	+	0.000	0.000	Merged-chr12-92823421-39
NR7923--MA0002.2.RUNX1	chr5	100466876	100466886	-	0.000	0.000	Merged-chr5-100466890-43
NR4332--MA0511.2.RUNX2	chr16	84477818	84477826	+	0.000	0.000	Merged-chr16-84477844-43
NR9250--MA0002.2.RUNX1	chr7	66104630	66104640	-	0.000	0.000	Merged-chr7-66104804-17
NR9612--MA0511.2.RUNX2	chr7	128382347	128382355	-	0.000	0.000	Merged-chr7-128382170-51
NR1131--MA0511.2.RUNX2	chr10	75146224	75146232	-	0.000	0.000	Merged-chr10-75146347-53
NR5--MA0002.2.RUNX1	chr1	6467286	6467296	+	0.000	0.000	Merged-chr1-6467226-38
NR7716--MA0002.2.RUNX1	chr5	38274103	38274113	-	0.000	0.000	Merged-chr5-38274062-24
NR7715--MA0684.1.RUNX3	chr5	37259132	37259141	+	0.000	0.000	Merged-chr5-37259222-30
NR10080--MA0002.2.RUNX1	chr8	117320884	117320894	+	0.000	0.000	Merged-chr8-117320786-24
NR9160--MA0002.2.RUNX1	chr7	43430964	43430974	+	0.000	0.000	Merged-chr7-43430848-7
NR1221--MA0002.2.RUNX1	chr10	88346741	88346751	+	0.000	0.000	Merged-chr10-88346697-18
NR7307--MA0002.2.RUNX1	chr4	116185319	116185329	+	0.000	0.000	Merged-chr4-116185296-27
NR1346--MA0511.2.RUNX2	chr10	111562798	111562806	+	0.000	0.000	Merged-chr10-111562842-26
