#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed
NR238--MA0768.1.LEF1	chr10	75294287	75294301	-	0.000	0.000	Merged-chr10-75294298-11
NR1600--MA0768.1.LEF1	chr5	97075786	97075800	-	0.000	0.000	Merged-chr5-97075788-14
NR928--MA0768.1.LEF1	chr17	69422857	69422871	-	0.000	0.000	Merged-chr17-69422874-19
NR1749--MA0768.1.LEF1	chr6	126995694	126995708	-	0.000	0.000	Merged-chr6-126995755-15
NR1897--MA0768.1.LEF1	chr7	130816456	130816470	-	0.000	0.000	Merged-chr7-130816442-11
NR1132--MA0768.1.LEF1	chr2	68882156	68882170	-	0.000	0.000	Merged-chr2-68882205-16
NR1392--MA0768.1.LEF1	chr3	148419654	148419668	-	0.000	0.000	Merged-chr3-148419698-33
NR1070--MA0768.1.LEF1	chr2	5003238	5003252	-	0.000	0.000	Merged-chr2-5003396-19
NR1948--MA0768.1.LEF1	chr8	57387856	57387870	+	0.000	0.000	Merged-chr8-57387843-7
NR2062--MA0768.1.LEF1	chr9	79756211	79756225	+	0.000	0.000	Merged-chr9-79756214-5
NR1644--MA0768.1.LEF1	chr5	137870834	137870848	+	0.000	0.000	Merged-chr5-137870793-17
NR1662--MA0768.1.LEF1	chr6	8712281	8712295	+	0.000	0.000	Merged-chr6-8712206-28
NR350--MA0768.1.LEF1	chr11	68465258	68465272	-	0.000	0.000	Merged-chr11-68465236-16
NR485--MA0768.1.LEF1	chr12	110939499	110939513	-	0.000	0.000	Merged-chr12-110939619-21
NR1807--MA0768.1.LEF1	chr7	31086476	31086490	+	0.000	0.000	Merged-chr7-31086534-15
NR1848--MA0768.1.LEF1	chr7	90004036	90004050	+	0.000	0.000	Merged-chr7-90004026-23
NR844--MA0768.1.LEF1	chr16	76323633	76323647	-	0.000	0.000	Merged-chr16-76323771-64
NR965--MA0768.1.LEF1	chr18	39049205	39049219	-	0.000	0.000	Merged-chr18-39049078-69
NR652--MA0768.1.LEF1	chr14	62627559	62627573	+	0.000	0.000	Merged-chr14-62627525-13
NR787--MA0768.1.LEF1	chr15	98623469	98623483	+	0.000	0.000	Merged-chr15-98623504-45
NR1912--MA0768.1.LEF1	chr7	140947310	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR1805--MA0768.1.LEF1	chr7	29900783	29900797	+	0.000	0.000	Merged-chr7-29900753-5
NR2040--MA0768.1.LEF1	chr9	56273653	56273667	+	0.000	0.000	Merged-chr9-56273762-19
NR703--MA0768.1.LEF1	chr14	121830282	121830296	-	0.000	0.000	Merged-chr14-121830164-49
NR1855--MA0768.1.LEF1	chr7	98797475	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR1085--MA0768.1.LEF1	chr2	17597779	17597793	+	0.000	0.000	Merged-chr2-17597899-18
NR1609--MA0768.1.LEF1	chr5	105010601	105010615	+	0.000	0.000	Merged-chr5-105010527-49
NR1770--MA0768.1.LEF1	chr6	142752584	142752598	+	0.000	0.000	Merged-chr6-142752635-30
NR641--MA0768.1.LEF1	chr14	54061806	54061820	-	0.000	0.000	Merged-chr14-54061633-25
