#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed
NR66206--MA0741.1.KLF16	chr8	95349079	95349089	-	0.000	0.000	Merged-chr8-95348986-27
NR60955--MA0599.1.KLF5	chr7	71379408	71379417	-	0.000	0.000	Merged-chr7-71379218-17
NR42454--MA0741.1.KLF16	chr3	103862687	103862697	+	0.000	0.000	Merged-chr3-103862515-1
NR62118--MA1107.1.KLF9	chr7	111847388	111847400	+	0.000	0.000	Merged-chr7-111847259-1
NR67339--MA1107.1.KLF9	chr8	124022256	124022268	-	0.000	0.000	Merged-chr8-124022219-1
NR6345--MA1107.1.KLF9	chr10	63381571	63381583	+	0.000	0.000	Merged-chr10-63381719-30
NR5805--MA0741.1.KLF16	chr10	42849025	42849035	-	0.000	0.000	Merged-chr10-42848913-29
NR5194--MA0599.1.KLF5	chr10	10307608	10307617	-	0.000	0.000	Merged-chr10-10307543-35
NR14608--MA1107.1.KLF9	chr12	76596419	76596431	-	0.000	0.000	Merged-chr12-76596548-12
NR42453--MA0493.1.Klf1	chr3	103862700	103862710	+	0.000	0.000	Merged-chr3-103862515-1
NR58217--MA0493.1.Klf1	chr6	140314166	140314176	+	0.000	0.000	Merged-chr6-140314075-23
NR46792--MA0599.1.KLF5	chr4	111435252	111435261	-	0.000	0.000	Merged-chr4-111435287-1
NR66210--MA0741.1.KLF16	chr8	95349083	95349093	-	0.000	0.000	Merged-chr8-95348986-27
NR9350--MA0742.1.Klf12	chr11	6680660	6680674	+	0.000	0.000	Merged-chr11-6680624-1
NR54411--MA0741.1.KLF16	chr5	150894465	150894475	-	0.000	0.000	Merged-chr5-150894547-1
NR66202--MA0741.1.KLF16	chr8	95349075	95349085	-	0.000	0.000	Merged-chr8-95348986-27
NR42455--MA1107.1.KLF9	chr3	103862686	103862698	+	0.000	0.000	Merged-chr3-103862515-1
NR46220--MA0742.1.Klf12	chr4	87669660	87669674	+	0.000	0.000	Merged-chr4-87669731-33
NR9351--MA0599.1.KLF5	chr11	6680674	6680683	+	0.000	0.000	Merged-chr11-6680624-1
NR57263--MA0039.3.KLF4	chr6	120264383	120264393	-	0.000	0.000	Merged-chr6-120264409-18
NR9349--MA0657.1.KLF13	chr11	6680659	6680676	+	0.000	0.000	Merged-chr11-6680624-1
NR5193--MA0742.1.Klf12	chr10	10307604	10307618	-	0.000	0.000	Merged-chr10-10307543-35
NR33883--MA0493.1.Klf1	chr19	40509069	40509079	-	0.000	0.000	Merged-chr19-40509084-1
NR41608--MA1107.1.KLF9	chr3	87488050	87488062	+	0.000	0.000	Merged-chr3-87488125-17
NR5803--MA0599.1.KLF5	chr10	42849028	42849037	-	0.000	0.000	Merged-chr10-42848913-29
NR41606--MA0741.1.KLF16	chr3	87488051	87488061	+	0.000	0.000	Merged-chr3-87488125-17
NR71427--MA1107.1.KLF9	chr9	121455038	121455050	-	0.000	0.000	Merged-chr9-121454962-55
NR54412--MA1107.1.KLF9	chr5	150894464	150894476	-	0.000	0.000	Merged-chr5-150894547-1
NR57262--MA0599.1.KLF5	chr6	120264385	120264394	-	0.000	0.000	Merged-chr6-120264409-18
NR40601--MA0599.1.KLF5	chr3	28244441	28244450	+	0.000	0.000	Merged-chr3-28244555-21
NR66205--MA0741.1.KLF16	chr8	95349078	95349088	-	0.000	0.000	Merged-chr8-95348986-27
NR67893--MA0599.1.KLF5	chr9	21167894	21167903	-	0.000	0.000	Merged-chr9-21167831-1
NR46793--MA0599.1.KLF5	chr4	111435259	111435268	-	0.000	0.000	Merged-chr4-111435287-1
NR13155--MA0741.1.KLF16	chr11	119352857	119352867	-	0.000	0.000	Merged-chr11-119352857-1
NR47332--MA0039.3.KLF4	chr4	126253893	126253903	-	0.000	0.000	Merged-chr4-126253924-28
NR13134--MA0741.1.KLF16	chr11	119023850	119023860	+	0.000	0.000	Merged-chr11-119023765-1
NR28479--MA0493.1.Klf1	chr17	30575638	30575648	-	0.000	0.000	Merged-chr17-30575700-2
NR57261--MA0742.1.Klf12	chr6	120264381	120264395	-	0.000	0.000	Merged-chr6-120264409-18
NR28480--MA0741.1.KLF16	chr17	30575637	30575647	-	0.000	0.000	Merged-chr17-30575700-2
NR41609--MA1107.1.KLF9	chr3	87488119	87488131	+	0.000	0.000	Merged-chr3-87488125-17
NR6342--MA0039.3.KLF4	chr10	63381573	63381583	+	0.000	0.000	Merged-chr10-63381719-30
NR42450--MA0599.1.KLF5	chr3	103862696	103862705	+	0.000	0.000	Merged-chr3-103862515-1
NR5804--MA0493.1.Klf1	chr10	42849028	42849038	-	0.000	0.000	Merged-chr10-42848913-29
NR9353--MA0741.1.KLF16	chr11	6680674	6680684	+	0.000	0.000	Merged-chr11-6680624-1
NR71428--MA1107.1.KLF9	chr9	121455040	121455052	-	0.000	0.000	Merged-chr9-121454962-55
NR54413--MA1107.1.KLF9	chr5	150894468	150894480	-	0.000	0.000	Merged-chr5-150894547-1
NR60956--MA0741.1.KLF16	chr7	71379407	71379417	-	0.000	0.000	Merged-chr7-71379218-17
NR46222--MA0039.3.KLF4	chr4	87669662	87669672	+	0.000	0.000	Merged-chr4-87669731-33
NR13132--MA0599.1.KLF5	chr11	119023850	119023859	+	0.000	0.000	Merged-chr11-119023765-1
NR5802--MA0740.1.KLF14	chr10	42849025	42849038	-	0.000	0.000	Merged-chr10-42848913-29
NR41607--MA1107.1.KLF9	chr3	87488048	87488060	+	0.000	0.000	Merged-chr3-87488125-17
NR41644--MA0599.1.KLF5	chr3	87960961	87960970	+	0.000	0.000	Merged-chr3-87960988-36
NR31788--MA0741.1.KLF16	chr18	61399028	61399038	+	0.000	0.000	Merged-chr18-61398839-2
NR35876--MA0741.1.KLF16	chr2	35259927	35259937	+	0.000	0.000	Merged-chr2-35259882-5
NR35875--MA0599.1.KLF5	chr2	35259927	35259936	+	0.000	0.000	Merged-chr2-35259882-5
NR46221--MA0599.1.KLF5	chr4	87669661	87669670	+	0.000	0.000	Merged-chr4-87669731-33
NR59736--MA0599.1.KLF5	chr7	28440986	28440995	+	0.000	0.000	Merged-chr7-28440989-32
NR41605--MA0741.1.KLF16	chr3	87488049	87488059	+	0.000	0.000	Merged-chr3-87488125-17
NR46794--MA0493.1.Klf1	chr4	111435252	111435262	-	0.000	0.000	Merged-chr4-111435287-1
NR57265--MA1107.1.KLF9	chr6	120264383	120264395	-	0.000	0.000	Merged-chr6-120264409-18
NR66204--MA0741.1.KLF16	chr8	95349077	95349087	-	0.000	0.000	Merged-chr8-95348986-27
NR58216--MA0039.3.KLF4	chr6	140314168	140314178	+	0.000	0.000	Merged-chr6-140314075-23
NR34760--MA0599.1.KLF5	chr2	5747699	5747708	-	0.000	0.000	Merged-chr2-5747765-15
NR66209--MA0741.1.KLF16	chr8	95349082	95349092	-	0.000	0.000	Merged-chr8-95348986-27
NR35742--MA1107.1.KLF9	chr2	32553886	32553898	-	0.000	0.000	Merged-chr2-32553962-47
NR60954--MA0740.1.KLF14	chr7	71379405	71379418	-	0.000	0.000	Merged-chr7-71379218-17
NR67337--MA0740.1.KLF14	chr8	124022255	124022268	-	0.000	0.000	Merged-chr8-124022219-1
NR42451--MA0599.1.KLF5	chr3	103862701	103862710	+	0.000	0.000	Merged-chr3-103862515-1
NR46796--MA1107.1.KLF9	chr4	111435257	111435269	-	0.000	0.000	Merged-chr4-111435287-1
NR28481--MA1107.1.KLF9	chr17	30575636	30575648	-	0.000	0.000	Merged-chr17-30575700-2
NR9348--MA0740.1.KLF14	chr11	6680660	6680673	+	0.000	0.000	Merged-chr11-6680624-1
NR57264--MA0493.1.Klf1	chr6	120264385	120264395	-	0.000	0.000	Merged-chr6-120264409-18
NR13133--MA0599.1.KLF5	chr11	119023873	119023882	+	0.000	0.000	Merged-chr11-119023765-1
NR41604--MA0599.1.KLF5	chr3	87488049	87488058	+	0.000	0.000	Merged-chr3-87488125-17
NR20658--MA0039.3.KLF4	chr14	62627490	62627500	-	0.000	0.000	Merged-chr14-62627525-13
NR66207--MA0741.1.KLF16	chr8	95349080	95349090	-	0.000	0.000	Merged-chr8-95348986-27
NR46795--MA0741.1.KLF16	chr4	111435258	111435268	-	0.000	0.000	Merged-chr4-111435287-1
NR41645--MA0493.1.Klf1	chr3	87960960	87960970	+	0.000	0.000	Merged-chr3-87960988-36
NR11240--MA1107.1.KLF9	chr11	78360909	78360921	-	0.000	0.000	Merged-chr11-78360769-1
NR14605--MA0599.1.KLF5	chr12	76596421	76596430	-	0.000	0.000	Merged-chr12-76596548-12
NR5807--MA1107.1.KLF9	chr10	42849026	42849038	-	0.000	0.000	Merged-chr10-42848913-29
NR5806--MA0741.1.KLF16	chr10	42849027	42849037	-	0.000	0.000	Merged-chr10-42848913-29
NR9352--MA0741.1.KLF16	chr11	6680661	6680671	+	0.000	0.000	Merged-chr11-6680624-1
NR33884--MA0741.1.KLF16	chr19	40509068	40509078	-	0.000	0.000	Merged-chr19-40509084-1
NR21620--MA1107.1.KLF9	chr14	105632214	105632226	-	0.000	0.000	Merged-chr14-105632232-2
NR67338--MA0741.1.KLF16	chr8	124022257	124022267	-	0.000	0.000	Merged-chr8-124022219-1
NR35761--MA0741.1.KLF16	chr2	32757750	32757760	-	0.000	0.000	Merged-chr2-32757735-1
NR5195--MA0493.1.Klf1	chr10	10307608	10307618	-	0.000	0.000	Merged-chr10-10307543-35
NR28477--MA0742.1.Klf12	chr17	30575634	30575648	-	0.000	0.000	Merged-chr17-30575700-2
NR41610--MA1107.1.KLF9	chr3	87488121	87488133	+	0.000	0.000	Merged-chr3-87488125-17
NR5586--MA0599.1.KLF5	chr10	36158426	36158435	+	0.000	0.000	Merged-chr10-36158337-60
NR14607--MA0741.1.KLF16	chr12	76596420	76596430	-	0.000	0.000	Merged-chr12-76596548-12
NR6344--MA1107.1.KLF9	chr10	63381567	63381579	+	0.000	0.000	Merged-chr10-63381719-30
