#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed
NR2194--MA0508.2.PRDM1	chr7	122932333	122932342	-	0.000	0.000	Merged-chr7-122932357-26
NR489--MA0508.2.PRDM1	chr12	54398191	54398200	-	0.000	0.000	Merged-chr12-54398333-42
NR1271--MA0508.2.PRDM1	chr2	68430727	68430736	-	0.000	0.000	Merged-chr2-68430660-54
NR902--MA0508.2.PRDM1	chr15	98623492	98623501	-	0.000	0.000	Merged-chr15-98623504-45
NR1818--MA0508.2.PRDM1	chr5	64488158	64488167	+	0.000	0.000	Merged-chr5-64487990-63
NR2258--MA0508.2.PRDM1	chr8	35628452	35628461	+	0.000	0.000	Merged-chr8-35628375-52
NR950--MA0508.2.PRDM1	chr16	49772880	49772889	-	0.000	0.000	Merged-chr16-49772867-33
NR1247--MA0508.2.PRDM1	chr2	48328422	48328431	+	0.000	0.000	Merged-chr2-48328415-44
NR703--MA0508.2.PRDM1	chr13	110824887	110824896	-	0.000	0.000	Merged-chr13-110825010-20
NR2490--MA0508.2.PRDM1	chrX	100504601	100504610	-	0.000	0.000	Merged-chrX-100504535-34
NR804--MA0508.2.PRDM1	chr14	99265969	99265978	+	0.000	0.000	Merged-chr14-99266048-28
NR1436--MA0508.2.PRDM1	chr3	52458862	52458871	-	0.000	0.000	Merged-chr3-52458640-68
NR1274--MA0508.2.PRDM1	chr2	69415311	69415320	-	0.000	0.000	Merged-chr2-69415236-25
NR982--MA0508.2.PRDM1	chr16	92654028	92654037	+	0.000	0.000	Merged-chr16-92654045-22
NR634--MA0508.2.PRDM1	chr13	60839605	60839614	-	0.000	0.000	Merged-chr13-60839603-42
NR1266--MA0508.2.PRDM1	chr2	65104805	65104814	-	0.000	0.000	Merged-chr2-65104683-25
NR899--MA0508.2.PRDM1	chr15	97837525	97837534	+	0.000	0.000	Merged-chr15-97837692-8
NR1123--MA0508.2.PRDM1	chr18	67255666	67255675	-	0.000	0.000	Merged-chr18-67255745-40
NR865--MA0508.2.PRDM1	chr15	66702897	66702906	+	0.000	0.000	Merged-chr15-66702981-58
NR714--MA0508.2.PRDM1	chr13	117211687	117211696	+	0.000	0.000	Merged-chr13-117211586-48
NR300--MA0508.2.PRDM1	chr10	94552159	94552168	+	0.000	0.000	Merged-chr10-94552139-57
NR2262--MA0508.2.PRDM1	chr8	36082795	36082804	+	0.000	0.000	Merged-chr8-36082616-47
NR164--MA0508.2.PRDM1	chr1	173451776	173451785	+	0.000	0.000	Merged-chr1-173451815-42
NR2403--MA0508.2.PRDM1	chr9	69034361	69034370	+	0.000	0.000	Merged-chr9-69034461-64
NR1229--MA0508.2.PRDM1	chr2	25170433	25170442	-	0.000	0.000	Merged-chr2-25170502-21
NR448--MA0508.2.PRDM1	chr12	3823805	3823814	-	0.000	0.000	Merged-chr12-3823687-29
NR2124--MA0508.2.PRDM1	chr7	66116180	66116189	-	0.000	0.000	Merged-chr7-66116161-49
NR244--MA0508.2.PRDM1	chr10	44821711	44821720	+	0.000	0.000	Merged-chr10-44821803-43
NR515--MA0508.2.PRDM1	chr12	90576320	90576329	-	0.000	0.000	Merged-chr12-90576423-51
NR114--MA0508.2.PRDM1	chr1	138559838	138559847	-	0.000	0.000	Merged-chr1-138559796-44
NR2068--MA0508.2.PRDM1	chr6	142823521	142823530	-	0.000	0.000	Merged-chr6-142823375-40
NR446--MA0508.2.PRDM1	chr11	121039431	121039440	-	0.000	0.000	Merged-chr11-121039238-62
NR329--MA0508.2.PRDM1	chr10	118561871	118561880	+	0.000	0.000	Merged-chr10-118561767-20
NR398--MA0508.2.PRDM1	chr11	78766568	78766577	-	0.000	0.000	Merged-chr11-78766561-26
NR1926--MA0508.2.PRDM1	chr6	35462700	35462709	+	0.000	0.000	Merged-chr6-35462751-23
NR1342--MA0508.2.PRDM1	chr2	128073135	128073144	+	0.000	0.000	Merged-chr2-128073179-40
NR933--MA0508.2.PRDM1	chr16	32190297	32190306	-	0.000	0.000	Merged-chr16-32190230-31
NR1552--MA0508.2.PRDM1	chr3	138420515	138420524	-	0.000	0.000	Merged-chr3-138420589-27
NR511--MA0508.2.PRDM1	chr12	84762574	84762583	+	0.000	0.000	Merged-chr12-84762785-51
NR1937--MA0508.2.PRDM1	chr6	50159897	50159906	-	0.000	0.000	Merged-chr6-50160084-30
NR572--MA0508.2.PRDM1	chr12	118296397	118296406	-	0.000	0.000	Merged-chr12-118296340-47
NR604--MA0508.2.PRDM1	chr13	19219698	19219707	+	0.000	0.000	Merged-chr13-19219739-41
NR1597--MA0508.2.PRDM1	chr4	6844285	6844294	+	0.000	0.000	Merged-chr4-6844197-28
NR814--MA0508.2.PRDM1	chr14	103850768	103850777	-	0.000	0.000	Merged-chr14-103850623-36
NR1066--MA0508.2.PRDM1	chr17	86187956	86187965	-	0.000	0.000	Merged-chr17-86187981-35
NR304--MA0508.2.PRDM1	chr10	98776467	98776476	+	0.000	0.000	Merged-chr10-98776574-38
NR413--MA0508.2.PRDM1	chr11	88131963	88131972	-	0.000	0.000	Merged-chr11-88132051-21
NR1058--MA0508.2.PRDM1	chr17	80174494	80174503	+	0.000	0.000	Merged-chr17-80174428-10
NR657--MA0508.2.PRDM1	chr13	81675480	81675489	-	0.000	0.000	Merged-chr13-81675595-44
NR2463--MA0508.2.PRDM1	chr9	123935546	123935555	+	0.000	0.000	Merged-chr9-123935599-31
NR2224--MA0508.2.PRDM1	chr7	140999490	140999499	-	0.000	0.000	Merged-chr7-140999347-54
NR466--MA0508.2.PRDM1	chr12	25254963	25254972	-	0.000	0.000	Merged-chr12-25254889-35
NR161--MA0508.2.PRDM1	chr1	172306395	172306404	+	0.000	0.000	Merged-chr1-172306276-26
NR328--MA0508.2.PRDM1	chr10	118550409	118550418	-	0.000	0.000	Merged-chr10-118550430-27
NR2277--MA0508.2.PRDM1	chr8	68218585	68218594	-	0.000	0.000	Merged-chr8-68218689-19
NR2017--MA0508.2.PRDM1	chr6	108717980	108717989	-	0.000	0.000	Merged-chr6-108717791-30
NR158--MA0508.2.PRDM1	chr1	170167939	170167948	-	0.000	0.000	Merged-chr1-170167960-28
NR1620--MA0508.2.PRDM1	chr4	40839316	40839325	+	0.000	0.000	Merged-chr4-40839433-53
NR376--MA0508.2.PRDM1	chr11	52265871	52265880	+	0.000	0.000	Merged-chr11-52265909-50
NR1471--MA0508.2.PRDM1	chr3	84715287	84715296	+	0.000	0.000	Merged-chr3-84715324-47
NR1742--MA0508.2.PRDM1	chr4	145319390	145319399	-	0.000	0.000	Merged-chr4-145319470-38
NR1171--MA0508.2.PRDM1	chr19	18591303	18591312	-	0.000	0.000	Merged-chr19-18591291-34
NR1705--MA0508.2.PRDM1	chr4	121002448	121002457	+	0.000	0.000	Merged-chr4-121002570-50
NR1251--MA0508.2.PRDM1	chr2	53088983	53088992	-	0.000	0.000	Merged-chr2-53088913-36
NR1360--MA0508.2.PRDM1	chr2	144188137	144188146	+	0.000	0.000	Merged-chr2-144188289-22
