#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed
NR1033--MA0690.1.TBX21	chr19	12026924	12026933	-	0.000	0.000	Merged-chr19-12026851-22
NR1699--MA0690.1.TBX21	chr6	56931795	56931804	-	0.000	0.000	Merged-chr6-56931757-12
NR632--MA0690.1.TBX21	chr13	117223430	117223439	+	0.000	0.000	Merged-chr13-117223399-24
NR1298--MA0690.1.TBX21	chr3	84630990	84630999	+	0.000	0.000	Merged-chr3-84630888-13
NR1482--MA0690.1.TBX21	chr4	133688510	133688519	-	0.000	0.000	Merged-chr4-133688584-12
NR23--MA0690.1.TBX21	chr1	51448904	51448913	-	0.000	0.000	Merged-chr1-51448946-41
NR624--MA0690.1.TBX21	chr13	112396815	112396824	+	0.000	0.000	Merged-chr13-112396740-45
NR210--MA0690.1.TBX21	chr10	26228357	26228366	+	0.000	0.000	Merged-chr10-26228346-20
NR1399--MA0690.1.TBX21	chr4	11095648	11095657	+	0.000	0.000	Merged-chr4-11095738-16
NR571--MA0690.1.TBX21	chr13	73737215	73737224	-	0.000	0.000	Merged-chr13-73737138-53
NR1527--MA0690.1.TBX21	chr5	24517982	24517991	-	0.000	0.000	Merged-chr5-24518156-18
NR441--MA0690.1.TBX21	chr12	21226478	21226487	+	0.000	0.000	Merged-chr12-21226464-17
NR15--MA0690.1.TBX21	chr1	38632616	38632625	-	0.000	0.000	Merged-chr1-38632713-8
NR1867--MA0690.1.TBX21	chr7	110824185	110824194	-	0.000	0.000	Merged-chr7-110824322-44
NR563--MA0690.1.TBX21	chr13	60895938	60895947	-	0.000	0.000	Merged-chr13-60895855-39
NR420--MA0690.1.TBX21	chr11	115338893	115338902	-	0.000	0.000	Merged-chr11-115338922-7
NR1466--MA0690.1.TBX21	chr4	116701079	116701088	-	0.000	0.000	Merged-chr4-116701085-12
NR433--MA0690.1.TBX21	chr12	12278402	12278411	+	0.000	0.000	Merged-chr12-12278395-37
NR1052--MA0690.1.TBX21	chr19	46613325	46613334	+	0.000	0.000	Merged-chr19-46613309-39
NR1989--MA0690.1.TBX21	chr8	114978103	114978112	-	0.000	0.000	Merged-chr8-114978024-47
NR890--MA0690.1.TBX21	chr17	29307275	29307284	-	0.000	0.000	Merged-chr17-29307236-11
NR1575--MA0690.1.TBX21	chr5	92373413	92373422	+	0.000	0.000	Merged-chr5-92373310-21
NR717--MA0690.1.TBX21	chr15	12606612	12606621	-	0.000	0.000	Merged-chr15-12606518-21
NR2000--MA0690.1.TBX21	chr8	121995346	121995355	+	0.000	0.000	Merged-chr8-121995236-25
NR412--MA0690.1.TBX21	chr11	111795777	111795786	-	0.000	0.000	Merged-chr11-111795733-12
NR664--MA0690.1.TBX21	chr14	59553395	59553404	+	0.000	0.000	Merged-chr14-59553394-22
NR1078--MA0690.1.TBX21	chr2	6462521	6462530	-	0.000	0.000	Merged-chr2-6462544-11
NR1458--MA0690.1.TBX21	chr4	107092468	107092477	-	0.000	0.000	Merged-chr4-107092472-5
NR263--MA0690.1.TBX21	chr10	88540315	88540324	-	0.000	0.000	Merged-chr10-88540211-41
NR372--MA0690.1.TBX21	chr11	83541052	83541061	+	0.000	0.000	Merged-chr11-83541106-19
NR89--MA0690.1.TBX21	chr1	144076926	144076935	+	0.000	0.000	Merged-chr1-144076867-17
NR2082--MA0690.1.TBX21	chr9	96896927	96896936	+	0.000	0.000	Merged-chr9-96896917-17
NR351--MA0690.1.TBX21	chr11	62762017	62762026	-	0.000	0.000	Merged-chr11-62762057-29
NR2114--MA0690.1.TBX21	chr9	118374902	118374911	+	0.000	0.000	Merged-chr9-118374902-24
NR1397--MA0690.1.TBX21	chr4	7751432	7751441	+	0.000	0.000	Merged-chr4-7751417-13
NR364--MA0690.1.TBX21	chr11	77111346	77111355	+	0.000	0.000	Merged-chr11-77111422-5
NR906--MA0690.1.TBX21	chr17	45703392	45703401	+	0.000	0.000	Merged-chr17-45703436-19
NR1049--MA0690.1.TBX21	chr19	42149693	42149702	+	0.000	0.000	Merged-chr19-42149753-11
NR1158--MA0690.1.TBX21	chr2	84384010	84384019	+	0.000	0.000	Merged-chr2-84383994-11
NR1015--MA0690.1.TBX21	chr18	89233851	89233860	+	0.000	0.000	Merged-chr18-89233824-45
NR26--MA0690.1.TBX21	chr1	54660903	54660912	-	0.000	0.000	Merged-chr1-54660876-41
NR290--MA0690.1.TBX21	chr10	119031129	119031138	-	0.000	0.000	Merged-chr10-119031155-35
NR117--MA0690.1.TBX21	chr1	164079467	164079476	-	0.000	0.000	Merged-chr1-164079439-12
NR39--MA0690.1.TBX21	chr1	74570562	74570571	-	0.000	0.000	Merged-chr1-74570528-25
NR574--MA0690.1.TBX21	chr13	76304086	76304095	+	0.000	0.000	Merged-chr13-76304055-1
NR606--MA0690.1.TBX21	chr13	101533205	101533214	+	0.000	0.000	Merged-chr13-101533206-46
NR553--MA0690.1.TBX21	chr13	52910434	52910443	+	0.000	0.000	Merged-chr13-52910365-17
NR199--MA0690.1.TBX21	chr10	19566028	19566037	-	0.000	0.000	Merged-chr10-19566068-15
NR2120--MA0690.1.TBX21	chr9	122233426	122233435	+	0.000	0.000	Merged-chr9-122233247-97
NR261--MA0690.1.TBX21	chr10	88428304	88428313	+	0.000	0.000	Merged-chr10-88428108-41
NR1661--MA0690.1.TBX21	chr6	8427608	8427617	+	0.000	0.000	Merged-chr6-8427752-11
NR306--MA0690.1.TBX21	chr10	127141095	127141104	-	0.000	0.000	Merged-chr10-127141144-2
NR287--MA0690.1.TBX21	chr10	117969955	117969964	+	0.000	0.000	Merged-chr10-117970017-9
NR1510--MA0690.1.TBX21	chr4	152446672	152446681	+	0.000	0.000	Merged-chr4-152446445-57
NR428--MA0690.1.TBX21	chr12	4065757	4065766	-	0.000	0.000	Merged-chr12-4065716-30
NR1762--MA0690.1.TBX21	chr6	129406197	129406206	-	0.000	0.000	Merged-chr6-129406250-15
NR123--MA0690.1.TBX21	chr1	165722650	165722659	+	0.000	0.000	Merged-chr1-165722797-48
NR2138--MA0690.1.TBX21	chrX	100476554	100476563	+	0.000	0.000	Merged-chrX-100476611-55
NR1916--MA0690.1.TBX21	chr7	143644106	143644115	+	0.000	0.000	Merged-chr7-143644190-29
NR2085--MA0690.1.TBX21	chr9	99560742	99560751	-	0.000	0.000	Merged-chr9-99560579-23
NR497--MA0690.1.TBX21	chr12	114299879	114299888	-	0.000	0.000	Merged-chr12-114300093-52
NR1340--MA0690.1.TBX21	chr3	127892093	127892102	+	0.000	0.000	Merged-chr3-127892051-37
NR638--MA0690.1.TBX21	chr14	25161887	25161896	-	0.000	0.000	Merged-chr14-25161984-35
NR1202--MA0690.1.TBX21	chr2	128156861	128156870	-	0.000	0.000	Merged-chr2-128156895-3
NR1672--MA0690.1.TBX21	chr6	38120867	38120876	+	0.000	0.000	Merged-chr6-38120881-30
NR1738--MA0690.1.TBX21	chr6	108780325	108780334	+	0.000	0.000	Merged-chr6-108780216-16
NR2048--MA0690.1.TBX21	chr9	69065838	69065847	-	0.000	0.000	Merged-chr9-69066025-13
NR2014--MA0690.1.TBX21	chr9	5623627	5623636	-	0.000	0.000	Merged-chr9-5623590-21
NR1760--MA0690.1.TBX21	chr6	128474307	128474316	+	0.000	0.000	Merged-chr6-128474299-11
NR1141--MA0690.1.TBX21	chr2	69917455	69917464	+	0.000	0.000	Merged-chr2-69917342-25
NR610--MA0690.1.TBX21	chr13	107534126	107534135	-	0.000	0.000	Merged-chr13-107534013-23
NR2096--MA0690.1.TBX21	chr9	106771539	106771548	-	0.000	0.000	Merged-chr9-106771707-15
NR2019--MA0690.1.TBX21	chr9	40449054	40449063	+	0.000	0.000	Merged-chr9-40448994-23
NR1255--MA0690.1.TBX21	chr2	173470010	173470019	+	0.000	0.000	Merged-chr2-173469901-51
NR1093--MA0690.1.TBX21	chr2	27730172	27730181	+	0.000	0.000	Merged-chr2-27730230-3
NR1016--MA0690.1.TBX21	chr18	89233891	89233900	-	0.000	0.000	Merged-chr18-89233824-45
NR1473--MA0690.1.TBX21	chr4	129571820	129571829	+	0.000	0.000	Merged-chr4-129571823-22
NR14--MA0690.1.TBX21	chr1	37478579	37478588	+	0.000	0.000	Merged-chr1-37478552-128
NR270--MA0690.1.TBX21	chr10	93985524	93985533	-	0.000	0.000	Merged-chr10-93985650-27
NR1749--MA0690.1.TBX21	chr6	122294101	122294110	+	0.000	0.000	Merged-chr6-122294065-56
NR716--MA0690.1.TBX21	chr15	12439467	12439476	+	0.000	0.000	Merged-chr15-12439548-12
NR1173--MA0690.1.TBX21	chr2	102812925	102812934	-	0.000	0.000	Merged-chr2-102812992-26
NR140--MA0690.1.TBX21	chr1	177457133	177457142	-	0.000	0.000	Merged-chr1-177456987-38
NR1077--MA0690.1.TBX21	chr2	6309730	6309739	+	0.000	0.000	Merged-chr2-6309619-42
NR424--MA0690.1.TBX21	chr11	119166039	119166048	+	0.000	0.000	Merged-chr11-119166198-51
NR75--MA0690.1.TBX21	chr1	131747196	131747205	-	0.000	0.000	Merged-chr1-131747235-22
NR804--MA0690.1.TBX21	chr16	8472120	8472129	-	0.000	0.000	Merged-chr16-8472129-3
NR41--MA0690.1.TBX21	chr1	78478125	78478134	-	0.000	0.000	Merged-chr1-78478073-15
NR913--MA0690.1.TBX21	chr17	48332687	48332696	-	0.000	0.000	Merged-chr17-48332786-43
NR1056--MA0690.1.TBX21	chr19	53035493	53035502	+	0.000	0.000	Merged-chr19-53035588-13
NR1959--MA0690.1.TBX21	chr8	71286280	71286289	+	0.000	0.000	Merged-chr8-71286337-41
NR1274--MA0690.1.TBX21	chr3	28244397	28244406	-	0.000	0.000	Merged-chr3-28244555-21
NR1449--MA0690.1.TBX21	chr4	101192564	101192573	-	0.000	0.000	Merged-chr4-101192584-17
NR621--MA0690.1.TBX21	chr13	112211243	112211252	-	0.000	0.000	Merged-chr13-112211274-7
NR33--MA0690.1.TBX21	chr1	60875405	60875414	+	0.000	0.000	Merged-chr1-60875356-55
NR905--MA0690.1.TBX21	chr17	44557301	44557310	+	0.000	0.000	Merged-chr17-44557338-45
NR1014--MA0690.1.TBX21	chr18	89126543	89126552	+	0.000	0.000	Merged-chr18-89126622-17
NR376--MA0690.1.TBX21	chr11	87935547	87935556	+	0.000	0.000	Merged-chr11-87935646-41
NR756--MA0690.1.TBX21	chr15	62390383	62390392	+	0.000	0.000	Merged-chr15-62390498-8
NR1136--MA0690.1.TBX21	chr2	66149192	66149201	+	0.000	0.000	Merged-chr2-66149107-69
NR1245--MA0690.1.TBX21	chr2	168429753	168429762	-	0.000	0.000	Merged-chr2-168429700-17
NR212--MA0690.1.TBX21	chr10	30537678	30537687	-	0.000	0.000	Merged-chr10-30537547-6
NR987--MA0690.1.TBX21	chr18	74789819	74789828	+	0.000	0.000	Merged-chr18-74789604-25
NR844--MA0690.1.TBX21	chr16	58709216	58709225	+	0.000	0.000	Merged-chr16-58709115-34
NR477--MA0690.1.TBX21	chr12	85632521	85632530	+	0.000	0.000	Merged-chr12-85632486-20
NR334--MA0690.1.TBX21	chr11	51638314	51638323	+	0.000	0.000	Merged-chr11-51638186-26
NR695--MA0690.1.TBX21	chr14	101477480	101477489	+	0.000	0.000	Merged-chr14-101477413-70
NR300--MA0690.1.TBX21	chr10	122726169	122726178	+	0.000	0.000	Merged-chr10-122726100-19
NR390--MA0690.1.TBX21	chr11	99125275	99125284	+	0.000	0.000	Merged-chr11-99125281-21
NR1107--MA0690.1.TBX21	chr2	36220130	36220139	+	0.000	0.000	Merged-chr2-36220233-13
NR1088--MA0690.1.TBX21	chr2	25148090	25148099	-	0.000	0.000	Merged-chr2-25148103-14
NR86--MA0690.1.TBX21	chr1	143466066	143466075	+	0.000	0.000	Merged-chr1-143466091-51
NR99--MA0690.1.TBX21	chr1	153645481	153645490	-	0.000	0.000	Merged-chr1-153645501-10
NR286--MA0690.1.TBX21	chr10	117095489	117095498	-	0.000	0.000	Merged-chr10-117095336-21
NR209--MA0690.1.TBX21	chr10	26228344	26228353	+	0.000	0.000	Merged-chr10-26228346-20
NR2092--MA0690.1.TBX21	chr9	105499677	105499686	-	0.000	0.000	Merged-chr9-105499679-15
NR427--MA0690.1.TBX21	chr11	121039438	121039447	-	0.000	0.000	Merged-chr11-121039238-62
NR231--MA0690.1.TBX21	chr10	45027275	45027284	+	0.000	0.000	Merged-chr10-45027140-22
NR278--MA0690.1.TBX21	chr10	98848455	98848464	-	0.000	0.000	Merged-chr10-98848437-17
NR406--MA0690.1.TBX21	chr11	107394122	107394131	-	0.000	0.000	Merged-chr11-107394036-56
NR658--MA0690.1.TBX21	chr14	54061509	54061518	-	0.000	0.000	Merged-chr14-54061633-25
NR1992--MA0690.1.TBX21	chr8	116645515	116645524	+	0.000	0.000	Merged-chr8-116645599-31
NR1610--MA0690.1.TBX21	chr5	120688652	120688661	+	0.000	0.000	Merged-chr5-120688663-27
NR1841--MA0690.1.TBX21	chr7	90355559	90355568	+	0.000	0.000	Merged-chr7-90355618-52
NR1950--MA0690.1.TBX21	chr8	57828566	57828575	+	0.000	0.000	Merged-chr8-57828491-18
NR1583--MA0690.1.TBX21	chr5	97001772	97001781	+	0.000	0.000	Merged-chr5-97001719-9
NR1310--MA0690.1.TBX21	chr3	95909423	95909432	-	0.000	0.000	Merged-chr3-95909537-31
NR228--MA0690.1.TBX21	chr10	44368894	44368903	-	0.000	0.000	Merged-chr10-44368737-26
NR1671--MA0690.1.TBX21	chr6	35256707	35256716	+	0.000	0.000	Merged-chr6-35256883-21
NR568--MA0690.1.TBX21	chr13	67378345	67378354	+	0.000	0.000	Merged-chr13-67378314-6
NR1392--MA0690.1.TBX21	chr3	157803467	157803476	-	0.000	0.000	Merged-chr3-157803404-34
NR289--MA0690.1.TBX21	chr10	118435720	118435729	+	0.000	0.000	Merged-chr10-118435600-33
NR970--MA0690.1.TBX21	chr18	54839459	54839468	-	0.000	0.000	Merged-chr18-54839471-21
NR2095--MA0690.1.TBX21	chr9	106430930	106430939	-	0.000	0.000	Merged-chr9-106430870-17
NR1764--MA0690.1.TBX21	chr6	130311915	130311924	+	0.000	0.000	Merged-chr6-130312055-26
NR1668--MA0690.1.TBX21	chr6	34497661	34497670	+	0.000	0.000	Merged-chr6-34497714-15
NR34--MA0690.1.TBX21	chr1	61050470	61050479	+	0.000	0.000	Merged-chr1-61050420-56
NR1092--MA0690.1.TBX21	chr2	26313059	26313068	+	0.000	0.000	Merged-chr2-26313010-11
NR1485--MA0690.1.TBX21	chr4	134059954	134059963	+	0.000	0.000	Merged-chr4-134060052-8
NR1756--MA0690.1.TBX21	chr6	127303008	127303017	-	0.000	0.000	Merged-chr6-127302896-25
NR1735--MA0690.1.TBX21	chr6	108310211	108310220	-	0.000	0.000	Merged-chr6-108310107-36
NR702--MA0690.1.TBX21	chr14	120313615	120313624	-	0.000	0.000	Merged-chr14-120313531-118
NR954--MA0690.1.TBX21	chr18	23828760	23828769	-	0.000	0.000	Merged-chr18-23828715-22
NR1552--MA0690.1.TBX21	chr5	65934052	65934061	+	0.000	0.000	Merged-chr5-65933959-11
NR1674--MA0690.1.TBX21	chr6	38669823	38669832	-	0.000	0.000	Merged-chr6-38669877-14
NR1326--MA0690.1.TBX21	chr3	115799524	115799533	-	0.000	0.000	Merged-chr3-115799463-50
NR925--MA0690.1.TBX21	chr17	65818002	65818011	-	0.000	0.000	Merged-chr17-65817855-23
NR1273--MA0690.1.TBX21	chr3	27322845	27322854	-	0.000	0.000	Merged-chr3-27322840-36
NR511--MA0690.1.TBX21	chr13	13559143	13559152	-	0.000	0.000	Merged-chr13-13559096-31
NR1828--MA0690.1.TBX21	chr7	73576508	73576517	-	0.000	0.000	Merged-chr7-73576506-24
NR1318--MA0690.1.TBX21	chr3	106967069	106967078	-	0.000	0.000	Merged-chr3-106967057-110
NR1299--MA0690.1.TBX21	chr3	84715349	84715358	-	0.000	0.000	Merged-chr3-84715324-47
NR484--MA0690.1.TBX21	chr12	94083567	94083576	+	0.000	0.000	Merged-chr12-94083592-14
NR341--MA0690.1.TBX21	chr11	53839792	53839801	-	0.000	0.000	Merged-chr11-53839665-72
NR1026--MA0690.1.TBX21	chr19	8926826	8926835	+	0.000	0.000	Merged-chr19-8926872-10
NR1549--MA0690.1.TBX21	chr5	65737461	65737470	+	0.000	0.000	Merged-chr5-65737481-18
NR450--MA0690.1.TBX21	chr12	35123699	35123708	+	0.000	0.000	Merged-chr12-35123715-16
NR830--MA0690.1.TBX21	chr16	49768771	49768780	+	0.000	0.000	Merged-chr16-49768771-12
NR625--MA0690.1.TBX21	chr13	112474466	112474475	+	0.000	0.000	Merged-chr13-112474497-27
NR211--MA0690.1.TBX21	chr10	28677793	28677802	+	0.000	0.000	Merged-chr10-28677765-32
NR1767--MA0690.1.TBX21	chr6	131276846	131276855	+	0.000	0.000	Merged-chr6-131276753-31
NR192--MA0690.1.TBX21	chr10	17566340	17566349	-	0.000	0.000	Merged-chr10-17566277-15
NR1148--MA0690.1.TBX21	chr2	75832953	75832962	+	0.000	0.000	Merged-chr2-75833051-1
NR1005--MA0690.1.TBX21	chr18	81422592	81422601	-	0.000	0.000	Merged-chr18-81422604-12
NR843--MA0690.1.TBX21	chr16	58546269	58546278	+	0.000	0.000	Merged-chr16-58546287-56
NR1528--MA0690.1.TBX21	chr5	24776979	24776988	-	0.000	0.000	Merged-chr5-24777004-40
NR224--MA0690.1.TBX21	chr10	41957431	41957440	+	0.000	0.000	Merged-chr10-41957566-13
NR1095--MA0690.1.TBX21	chr2	29753035	29753044	-	0.000	0.000	Merged-chr2-29753036-13
NR1889--MA0690.1.TBX21	chr7	125511522	125511531	+	0.000	0.000	Merged-chr7-125511628-40
NR442--MA0690.1.TBX21	chr12	21472715	21472724	+	0.000	0.000	Merged-chr12-21472738-21
NR1236--MA0690.1.TBX21	chr2	160657931	160657940	+	0.000	0.000	Merged-chr2-160657923-30
NR1106--MA0690.1.TBX21	chr2	35382295	35382304	+	0.000	0.000	Merged-chr2-35382187-12
NR1467--MA0690.1.TBX21	chr4	119127245	119127254	-	0.000	0.000	Merged-chr4-119127359-48
NR543--MA0690.1.TBX21	chr13	45649501	45649510	-	0.000	0.000	Merged-chr13-45649437-39
NR98--MA0690.1.TBX21	chr1	153085298	153085307	+	0.000	0.000	Merged-chr1-153085366-59
NR490--MA0690.1.TBX21	chr12	106008852	106008861	+	0.000	0.000	Merged-chr12-106008779-30
NR665--MA0690.1.TBX21	chr14	60736997	60737006	-	0.000	0.000	Merged-chr14-60736893-73
NR1079--MA0690.1.TBX21	chr2	9801707	9801716	+	0.000	0.000	Merged-chr2-9801686-39
NR360--MA0690.1.TBX21	chr11	72342371	72342380	+	0.000	0.000	Merged-chr11-72342522-29
NR1297--MA0690.1.TBX21	chr3	84093081	84093090	-	0.000	0.000	Merged-chr3-84093112-19
NR373--MA0690.1.TBX21	chr11	83746350	83746359	-	0.000	0.000	Merged-chr11-83746367-9
NR352--MA0690.1.TBX21	chr11	67522865	67522874	+	0.000	0.000	Merged-chr11-67522836-19
NR623--MA0690.1.TBX21	chr13	112396792	112396801	+	0.000	0.000	Merged-chr13-112396740-45
NR147--MA0690.1.TBX21	chr1	180810598	180810607	+	0.000	0.000	Merged-chr1-180810648-13
NR1037--MA0690.1.TBX21	chr19	20424282	20424291	+	0.000	0.000	Merged-chr19-20424322-22
NR1289--MA0690.1.TBX21	chr3	60111326	60111335	-	0.000	0.000	Merged-chr3-60111409-19
NR779--MA0690.1.TBX21	chr15	81819865	81819874	-	0.000	0.000	Merged-chr15-81819861-26
NR474--MA0690.1.TBX21	chr12	82268146	82268155	-	0.000	0.000	Merged-chr12-82268056-22
NR1159--MA0690.1.TBX21	chr2	84779615	84779624	-	0.000	0.000	Merged-chr2-84779489-49
NR126--MA0690.1.TBX21	chr1	167277191	167277200	+	0.000	0.000	Merged-chr1-167277158-16
NR378--MA0690.1.TBX21	chr11	89145572	89145581	+	0.000	0.000	Merged-chr11-89145462-12
NR344--MA0690.1.TBX21	chr11	55131274	55131283	-	0.000	0.000	Merged-chr11-55131266-10
NR248--MA0690.1.TBX21	chr10	77609813	77609822	+	0.000	0.000	Merged-chr10-77609801-14
NR519--MA0690.1.TBX21	chr13	22714295	22714304	-	0.000	0.000	Merged-chr13-22714452-30
NR291--MA0690.1.TBX21	chr10	119083643	119083652	+	0.000	0.000	Merged-chr10-119083697-27
NR227--MA0690.1.TBX21	chr10	43996518	43996527	-	0.000	0.000	Merged-chr10-43996389-38
NR1954--MA0690.1.TBX21	chr8	68218580	68218589	+	0.000	0.000	Merged-chr8-68218689-19
NR153--MA0690.1.TBX21	chr1	184534648	184534657	+	0.000	0.000	Merged-chr1-184534660-49
NR1824--MA0690.1.TBX21	chr7	66160265	66160274	-	0.000	0.000	Merged-chr7-66160187-16
NR437--MA0690.1.TBX21	chr12	16558322	16558331	-	0.000	0.000	Merged-chr12-16558216-24
NR1946--MA0690.1.TBX21	chr8	48425274	48425283	+	0.000	0.000	Merged-chr8-48425330-34
NR2081--MA0690.1.TBX21	chr9	96795474	96795483	-	0.000	0.000	Merged-chr9-96795589-33
NR288--MA0690.1.TBX21	chr10	117969969	117969978	+	0.000	0.000	Merged-chr10-117970017-9
NR1402--MA0690.1.TBX21	chr4	11684333	11684342	-	0.000	0.000	Merged-chr4-11684265-15
