#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed
NR8099--MA1421.1.TCF7L1	chr7	140947313	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR3827--MA0769.1.Tcf7	chr17	35766542	35766553	+	0.000	0.000	Merged-chr17-35766522-37
NR9144--MA0769.1.Tcf7	chrX	132288201	132288212	+	0.000	0.000	Merged-chrX-132288230-18
NR442--MA0769.1.Tcf7	chr1	143466098	143466109	+	0.000	0.000	Merged-chr1-143466091-51
NR1516--MA1421.1.TCF7L1	chr11	88132000	88132011	-	0.000	0.000	Merged-chr11-88132051-21
NR6583--MA1421.1.TCF7L1	chr5	28269931	28269942	-	0.000	0.000	Merged-chr5-28269924-54
NR7766--MA0769.1.Tcf7	chr7	65714383	65714394	+	0.000	0.000	Merged-chr7-65714407-39
NR8719--MA1421.1.TCF7L1	chr9	69023585	69023596	-	0.000	0.000	Merged-chr9-69023585-49
NR5595--MA1421.1.TCF7L1	chr3	84023024	84023035	-	0.000	0.000	Merged-chr3-84022944-34
NR5051--MA0523.1.TCF7L2	chr2	119547496	119547509	-	0.000	0.000	Merged-chr2-119547513-90
NR2813--MA1421.1.TCF7L1	chr14	62928379	62928390	-	0.000	0.000	Merged-chr14-62928345-50
NR2689--MA0769.1.Tcf7	chr14	36316957	36316968	-	0.000	0.000	Merged-chr14-36316941-55
NR3873--MA1421.1.TCF7L1	chr17	50148311	50148322	+	0.000	0.000	Merged-chr17-50148334-29
NR2765--MA1421.1.TCF7L1	chr14	54061809	54061820	-	0.000	0.000	Merged-chr14-54061633-25
NR3582--MA0769.1.Tcf7	chr16	58546298	58546309	+	0.000	0.000	Merged-chr16-58546287-56
NR5077--MA0769.1.Tcf7	chr2	125422355	125422366	+	0.000	0.000	Merged-chr2-125422559-12
NR2971--MA1421.1.TCF7L1	chr14	118124306	118124317	+	0.000	0.000	Merged-chr14-118124409-31
NR4798--MA0523.1.TCF7L2	chr2	65104747	65104760	-	0.000	0.000	Merged-chr2-65104683-25
NR1246--MA0523.1.TCF7L2	chr10	118419238	118419251	+	0.000	0.000	Merged-chr10-118419236-59
NR3544--MA0523.1.TCF7L2	chr16	50070627	50070640	+	0.000	0.000	Merged-chr16-50070751-51
NR6297--MA0769.1.Tcf7	chr4	101176525	101176536	+	0.000	0.000	Merged-chr4-101176356-14
NR4495--MA1421.1.TCF7L1	chr19	55768424	55768435	-	0.000	0.000	Merged-chr19-55768445-7
NR4574--MA0769.1.Tcf7	chr2	11617019	11617030	+	0.000	0.000	Merged-chr2-11617013-39
NR4579--MA0769.1.Tcf7	chr2	13560678	13560689	-	0.000	0.000	Merged-chr2-13560596-20
NR7315--MA0523.1.TCF7L2	chr6	88782957	88782970	-	0.000	0.000	Merged-chr6-88783083-54
NR8204--MA0523.1.TCF7L2	chr8	35628452	35628465	-	0.000	0.000	Merged-chr8-35628375-52
NR9008--MA0769.1.Tcf7	chr9	120082887	120082898	+	0.000	0.000	Merged-chr9-120082843-44
NR5476--MA0523.1.TCF7L2	chr3	52791015	52791028	-	0.000	0.000	Merged-chr3-52791161-46
NR3083--MA0523.1.TCF7L2	chr15	31440135	31440148	-	0.000	0.000	Merged-chr15-31440136-19
NR9007--MA0523.1.TCF7L2	chr9	120082887	120082900	+	0.000	0.000	Merged-chr9-120082843-44
NR9035--MA0769.1.Tcf7	chr9	123872233	123872244	+	0.000	0.000	Merged-chr9-123872293-49
NR7876--MA0769.1.Tcf7	chr7	98797478	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR6498--MA0523.1.TCF7L2	chr4	149658104	149658117	-	0.000	0.000	Merged-chr4-149658229-60
NR8291--MA1421.1.TCF7L1	chr8	72291253	72291264	+	0.000	0.000	Merged-chr8-72291225-23
NR6916--MA0523.1.TCF7L2	chr5	120685869	120685882	-	0.000	0.000	Merged-chr5-120685893-52
NR748--MA1421.1.TCF7L1	chr10	8197752	8197763	+	0.000	0.000	Merged-chr10-8197795-23
NR1795--MA0523.1.TCF7L2	chr12	41844193	41844206	+	0.000	0.000	Merged-chr12-41844052-32
NR8358--MA0523.1.TCF7L2	chr8	88771556	88771569	-	0.000	0.000	Merged-chr8-88771445-24
NR3207--MA1421.1.TCF7L1	chr15	73182578	73182589	+	0.000	0.000	Merged-chr15-73182706-35
NR9028--MA0523.1.TCF7L2	chr9	123462003	123462016	-	0.000	0.000	Merged-chr9-123461997-47
NR16--MA0523.1.TCF7L2	chr1	13559596	13559609	+	0.000	0.000	Merged-chr1-13559747-54
NR9030--MA1421.1.TCF7L1	chr9	123734309	123734320	-	0.000	0.000	Merged-chr9-123734197-54
NR6901--MA1421.1.TCF7L1	chr5	118465205	118465216	+	0.000	0.000	Merged-chr5-118465239-56
NR3159--MA1421.1.TCF7L1	chr15	58655206	58655217	-	0.000	0.000	Merged-chr15-58655104-54
NR1176--MA0523.1.TCF7L2	chr10	111031786	111031799	-	0.000	0.000	Merged-chr10-111031729-43
NR1168--MA0769.1.Tcf7	chr10	109115281	109115292	-	0.000	0.000	Merged-chr10-109115316-22
NR6493--MA0523.1.TCF7L2	chr4	149469681	149469694	-	0.000	0.000	Merged-chr4-149469788-41
NR8100--MA0523.1.TCF7L2	chr7	140947311	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR4578--MA0523.1.TCF7L2	chr2	13560676	13560689	-	0.000	0.000	Merged-chr2-13560596-20
NR4350--MA0523.1.TCF7L2	chr19	10698523	10698536	-	0.000	0.000	Merged-chr19-10698600-31
NR6958--MA0769.1.Tcf7	chr5	137857125	137857136	+	0.000	0.000	Merged-chr5-137857044-20
NR3676--MA0523.1.TCF7L2	chr16	92743981	92743994	+	0.000	0.000	Merged-chr16-92743989-33
NR3457--MA0523.1.TCF7L2	chr16	33053357	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR305--MA1421.1.TCF7L1	chr1	105565176	105565187	-	0.000	0.000	Merged-chr1-105565114-33
NR3663--MA0523.1.TCF7L2	chr16	91366677	91366690	+	0.000	0.000	Merged-chr16-91366873-55
NR2688--MA0523.1.TCF7L2	chr14	36316955	36316968	-	0.000	0.000	Merged-chr14-36316941-55
NR2940--MA1421.1.TCF7L1	chr14	103850721	103850732	-	0.000	0.000	Merged-chr14-103850623-36
NR1458--MA1421.1.TCF7L1	chr11	70113941	70113952	-	0.000	0.000	Merged-chr11-70113983-20
NR9143--MA0523.1.TCF7L2	chrX	132288201	132288214	+	0.000	0.000	Merged-chrX-132288230-18
NR8292--MA0523.1.TCF7L2	chr8	72291253	72291266	+	0.000	0.000	Merged-chr8-72291225-23
NR4285--MA0523.1.TCF7L2	chr18	80686384	80686397	+	0.000	0.000	Merged-chr18-80686265-50
NR9181--MA0769.1.Tcf7	chrX	164318701	164318712	-	0.000	0.000	Merged-chrX-164318746-35
NR9029--MA0769.1.Tcf7	chr9	123462005	123462016	-	0.000	0.000	Merged-chr9-123461997-47
NR1167--MA0523.1.TCF7L2	chr10	109115279	109115292	-	0.000	0.000	Merged-chr10-109115316-22
NR1007--MA1421.1.TCF7L1	chr10	76271523	76271534	+	0.000	0.000	Merged-chr10-76271555-43
NR3208--MA0523.1.TCF7L2	chr15	73182578	73182591	+	0.000	0.000	Merged-chr15-73182706-35
NR6570--MA0523.1.TCF7L2	chr5	22587657	22587670	-	0.000	0.000	Merged-chr5-22587622-39
NR8912--MA0523.1.TCF7L2	chr9	107334462	107334475	-	0.000	0.000	Merged-chr9-107334469-86
NR3284--MA0523.1.TCF7L2	chr15	93379572	93379585	-	0.000	0.000	Merged-chr15-93379459-27
NR637--MA0523.1.TCF7L2	chr1	180390379	180390392	-	0.000	0.000	Merged-chr1-180390562-55
NR6812--MA0769.1.Tcf7	chr5	100526271	100526282	-	0.000	0.000	Merged-chr5-100526478-48
NR5073--MA0769.1.Tcf7	chr2	124732681	124732692	+	0.000	0.000	Merged-chr2-124732800-44
NR5856--MA1421.1.TCF7L1	chr3	133078570	133078581	-	0.000	0.000	Merged-chr3-133078514-46
NR359--MA0769.1.Tcf7	chr1	127348987	127348998	-	0.000	0.000	Merged-chr1-127349004-28
NR3668--MA0769.1.Tcf7	chr16	91781056	91781067	-	0.000	0.000	Merged-chr16-91781071-63
NR3463--MA1421.1.TCF7L1	chr16	33691697	33691708	-	0.000	0.000	Merged-chr16-33691596-37
NR6385--MA0523.1.TCF7L2	chr4	121002521	121002534	-	0.000	0.000	Merged-chr4-121002570-50
NR5843--MA1421.1.TCF7L1	chr3	131057422	131057433	-	0.000	0.000	Merged-chr3-131057396-52
NR3001--MA0523.1.TCF7L2	chr14	122290588	122290601	+	0.000	0.000	Merged-chr14-122290582-19
NR2150--MA0523.1.TCF7L2	chr13	8458069	8458082	+	0.000	0.000	Merged-chr13-8458004-23
NR2941--MA0769.1.Tcf7	chr14	103850721	103850732	-	0.000	0.000	Merged-chr14-103850623-36
NR5857--MA0769.1.Tcf7	chr3	133078570	133078581	-	0.000	0.000	Merged-chr3-133078514-46
NR610--MA0769.1.Tcf7	chr1	175631972	175631983	+	0.000	0.000	Merged-chr1-175631822-65
NR7619--MA0523.1.TCF7L2	chr6	146081207	146081220	+	0.000	0.000	Merged-chr6-146081045-99
NR6865--MA1421.1.TCF7L1	chr5	107646069	107646080	-	0.000	0.000	Merged-chr5-107646170-26
NR782--MA0523.1.TCF7L2	chr10	19504574	19504587	+	0.000	0.000	Merged-chr10-19504569-39
NR8123--MA1421.1.TCF7L1	chr7	143644168	143644179	-	0.000	0.000	Merged-chr7-143644190-29
NR7850--MA0523.1.TCF7L2	chr7	89712126	89712139	-	0.000	0.000	Merged-chr7-89711964-5
NR8232--MA0523.1.TCF7L2	chr8	46869686	46869699	+	0.000	0.000	Merged-chr8-46869591-35
NR7874--MA1421.1.TCF7L1	chr7	98797478	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR6824--MA0523.1.TCF7L2	chr5	100875852	100875865	-	0.000	0.000	Merged-chr5-100875815-38
NR8916--MA0523.1.TCF7L2	chr9	108146579	108146592	-	0.000	0.000	Merged-chr9-108146589-26
NR6957--MA0523.1.TCF7L2	chr5	137857125	137857138	+	0.000	0.000	Merged-chr5-137857044-20
NR7975--MA0769.1.Tcf7	chr7	118276848	118276859	-	0.000	0.000	Merged-chr7-118276887-4
NR6811--MA0523.1.TCF7L2	chr5	100526269	100526282	-	0.000	0.000	Merged-chr5-100526478-48
NR638--MA0769.1.Tcf7	chr1	180390381	180390392	-	0.000	0.000	Merged-chr1-180390562-55
NR7993--MA0769.1.Tcf7	chr7	122932293	122932304	+	0.000	0.000	Merged-chr7-122932357-26
NR4208--MA0523.1.TCF7L2	chr18	66453475	66453488	-	0.000	0.000	Merged-chr18-66453430-39
NR1515--MA0523.1.TCF7L2	chr11	88103375	88103388	-	0.000	0.000	Merged-chr11-88103479-31
NR3669--MA1421.1.TCF7L1	chr16	91789973	91789984	+	0.000	0.000	Merged-chr16-91789935-50
NR8674--MA0523.1.TCF7L2	chr9	54613058	54613071	+	0.000	0.000	Merged-chr9-54612864-43
NR2209--MA1421.1.TCF7L1	chr13	30682118	30682129	+	0.000	0.000	Merged-chr13-30682181-38
NR3670--MA0769.1.Tcf7	chr16	91789973	91789984	+	0.000	0.000	Merged-chr16-91789935-50
NR482--MA0769.1.Tcf7	chr1	151083957	151083968	-	0.000	0.000	Merged-chr1-151084034-24
NR1907--MA0769.1.Tcf7	chr12	77113672	77113683	-	0.000	0.000	Merged-chr12-77113716-48
NR1177--MA1421.1.TCF7L1	chr10	111031857	111031868	-	0.000	0.000	Merged-chr10-111031729-43
NR3752--MA0523.1.TCF7L2	chr17	12727941	12727954	+	0.000	0.000	Merged-chr17-12727995-27
NR609--MA1421.1.TCF7L1	chr1	175631972	175631983	+	0.000	0.000	Merged-chr1-175631822-65
NR2814--MA0769.1.Tcf7	chr14	62928379	62928390	-	0.000	0.000	Merged-chr14-62928345-50
NR1328--MA1421.1.TCF7L1	chr11	11557375	11557386	+	0.000	0.000	Merged-chr11-11557510-103
NR8693--MA1421.1.TCF7L1	chr9	61427179	61427190	-	0.000	0.000	Merged-chr9-61427187-31
NR4686--MA1421.1.TCF7L1	chr2	44345135	44345146	+	0.000	0.000	Merged-chr2-44345197-78
NR6800--MA1421.1.TCF7L1	chr5	97983291	97983302	+	0.000	0.000	Merged-chr5-97983447-49
NR4299--MA1421.1.TCF7L1	chr18	82607534	82607545	+	0.000	0.000	Merged-chr18-82607647-23
NR3335--MA0523.1.TCF7L2	chr15	100668288	100668301	-	0.000	0.000	Merged-chr15-100668117-50
NR8433--MA0523.1.TCF7L2	chr8	115188726	115188739	-	0.000	0.000	Merged-chr8-115188643-43
NR3537--MA0523.1.TCF7L2	chr16	49772876	49772889	+	0.000	0.000	Merged-chr16-49772867-33
NR6680--MA0523.1.TCF7L2	chr5	64488158	64488171	-	0.000	0.000	Merged-chr5-64487990-63
NR3874--MA0769.1.Tcf7	chr17	50148311	50148322	+	0.000	0.000	Merged-chr17-50148334-29
NR7316--MA0769.1.Tcf7	chr6	88782959	88782970	-	0.000	0.000	Merged-chr6-88783083-54
NR2574--MA0769.1.Tcf7	chr13	117051689	117051700	+	0.000	0.000	Merged-chr13-117051602-40
NR2888--MA0523.1.TCF7L2	chr14	78687934	78687947	-	0.000	0.000	Merged-chr14-78687892-42
NR3664--MA0769.1.Tcf7	chr16	91366677	91366688	+	0.000	0.000	Merged-chr16-91366873-55
NR1256--MA0769.1.Tcf7	chr10	120193465	120193476	+	0.000	0.000	Merged-chr10-120193454-50
NR5844--MA0769.1.Tcf7	chr3	131057422	131057433	-	0.000	0.000	Merged-chr3-131057396-52
NR8205--MA0769.1.Tcf7	chr8	35628454	35628465	-	0.000	0.000	Merged-chr8-35628375-52
NR2643--MA0523.1.TCF7L2	chr14	20173902	20173915	+	0.000	0.000	Merged-chr14-20174041-54
NR2572--MA1421.1.TCF7L1	chr13	117051689	117051700	+	0.000	0.000	Merged-chr13-117051602-40
NR3884--MA0523.1.TCF7L2	chr17	56034617	56034630	-	0.000	0.000	Merged-chr17-56034700-41
NR6431--MA0523.1.TCF7L2	chr4	138089686	138089699	+	0.000	0.000	Merged-chr4-138089649-31
NR1245--MA1421.1.TCF7L1	chr10	118419238	118419249	+	0.000	0.000	Merged-chr10-118419236-59
NR4058--MA1421.1.TCF7L1	chr18	24116825	24116836	+	0.000	0.000	Merged-chr18-24116838-23
NR7765--MA1421.1.TCF7L1	chr7	65714383	65714394	+	0.000	0.000	Merged-chr7-65714407-39
NR441--MA0523.1.TCF7L2	chr1	143466098	143466111	+	0.000	0.000	Merged-chr1-143466091-51
NR7314--MA1421.1.TCF7L1	chr6	88782959	88782970	-	0.000	0.000	Merged-chr6-88783083-54
NR7520--MA1421.1.TCF7L1	chr6	129627626	129627637	-	0.000	0.000	Merged-chr6-129627649-22
NR4841--MA0769.1.Tcf7	chr2	72282907	72282918	+	0.000	0.000	Merged-chr2-72282934-17
NR6678--MA1421.1.TCF7L1	chr5	64488116	64488127	+	0.000	0.000	Merged-chr5-64487990-63
NR8999--MA0523.1.TCF7L2	chr9	119453609	119453622	-	0.000	0.000	Merged-chr9-119453486-15
NR3317--MA0523.1.TCF7L2	chr15	98623375	98623388	-	0.000	0.000	Merged-chr15-98623504-45
NR8720--MA0523.1.TCF7L2	chr9	69023583	69023596	-	0.000	0.000	Merged-chr9-69023585-49
NR8357--MA1421.1.TCF7L1	chr8	88771558	88771569	-	0.000	0.000	Merged-chr8-88771445-24
NR4421--MA0769.1.Tcf7	chr19	33081784	33081795	-	0.000	0.000	Merged-chr19-33081699-35
NR4645--MA0769.1.Tcf7	chr2	32715042	32715053	-	0.000	0.000	Merged-chr2-32715137-51
NR2508--MA1421.1.TCF7L1	chr13	107867139	107867150	+	0.000	0.000	Merged-chr13-107866970-30
NR1657--MA1421.1.TCF7L1	chr11	117848740	117848751	-	0.000	0.000	Merged-chr11-117848914-89
NR2573--MA0523.1.TCF7L2	chr13	117051689	117051702	+	0.000	0.000	Merged-chr13-117051602-40
NR6825--MA0769.1.Tcf7	chr5	100875854	100875865	-	0.000	0.000	Merged-chr5-100875815-38
NR4300--MA0523.1.TCF7L2	chr18	82607534	82607547	+	0.000	0.000	Merged-chr18-82607647-23
NR481--MA1421.1.TCF7L1	chr1	151083957	151083968	-	0.000	0.000	Merged-chr1-151084034-24
NR1533--MA0769.1.Tcf7	chr11	93995373	93995384	+	0.000	0.000	Merged-chr11-93995310-5
NR3675--MA1421.1.TCF7L1	chr16	92743981	92743992	+	0.000	0.000	Merged-chr16-92743989-33
NR1408--MA1421.1.TCF7L1	chr11	52318713	52318724	+	0.000	0.000	Merged-chr11-52318681-44
NR6432--MA0769.1.Tcf7	chr4	138089686	138089697	+	0.000	0.000	Merged-chr4-138089649-31
NR2687--MA1421.1.TCF7L1	chr14	36316957	36316968	-	0.000	0.000	Merged-chr14-36316941-55
NR6571--MA0769.1.Tcf7	chr5	22587659	22587670	-	0.000	0.000	Merged-chr5-22587622-39
NR306--MA0769.1.Tcf7	chr1	105565176	105565187	-	0.000	0.000	Merged-chr1-105565114-33
NR2767--MA0769.1.Tcf7	chr14	54061809	54061820	-	0.000	0.000	Merged-chr14-54061633-25
NR5089--MA0523.1.TCF7L2	chr2	129180195	129180208	-	0.000	0.000	Merged-chr2-129180074-1
NR9142--MA1421.1.TCF7L1	chrX	132288201	132288212	+	0.000	0.000	Merged-chrX-132288230-18
NR8335--MA1421.1.TCF7L1	chr8	83779701	83779712	-	0.000	0.000	Merged-chr8-83779707-23
NR6679--MA0769.1.Tcf7	chr5	64488116	64488127	+	0.000	0.000	Merged-chr5-64487990-63
NR9180--MA1421.1.TCF7L1	chrX	164318701	164318712	-	0.000	0.000	Merged-chrX-164318746-35
NR7515--MA1421.1.TCF7L1	chr6	129406118	129406129	-	0.000	0.000	Merged-chr6-129406250-15
NR1166--MA1421.1.TCF7L1	chr10	109115281	109115292	-	0.000	0.000	Merged-chr10-109115316-22
NR1912--MA0523.1.TCF7L2	chr12	79692291	79692304	-	0.000	0.000	Merged-chr12-79692424-46
NR2575--MA0769.1.Tcf7	chr13	117051697	117051708	+	0.000	0.000	Merged-chr13-117051602-40
NR244--MA0769.1.Tcf7	chr1	88450938	88450949	-	0.000	0.000	Merged-chr1-88450830-24
NR2766--MA0523.1.TCF7L2	chr14	54061807	54061820	-	0.000	0.000	Merged-chr14-54061633-25
NR8434--MA0769.1.Tcf7	chr8	115188728	115188739	-	0.000	0.000	Merged-chr8-115188643-43
NR636--MA1421.1.TCF7L1	chr1	180390381	180390392	-	0.000	0.000	Merged-chr1-180390562-55
NR3209--MA0769.1.Tcf7	chr15	73182578	73182589	+	0.000	0.000	Merged-chr15-73182706-35
NR358--MA0523.1.TCF7L2	chr1	127348985	127348998	-	0.000	0.000	Merged-chr1-127349004-28
NR8336--MA0769.1.Tcf7	chr8	83779701	83779712	-	0.000	0.000	Merged-chr8-83779707-23
NR5311--MA1421.1.TCF7L1	chr2	168429802	168429813	+	0.000	0.000	Merged-chr2-168429700-17
NR7618--MA1421.1.TCF7L1	chr6	146081207	146081218	+	0.000	0.000	Merged-chr6-146081045-99
NR781--MA1421.1.TCF7L1	chr10	19504574	19504585	+	0.000	0.000	Merged-chr10-19504569-39
NR8359--MA0769.1.Tcf7	chr8	88771558	88771569	-	0.000	0.000	Merged-chr8-88771445-24
NR1460--MA0769.1.Tcf7	chr11	70113941	70113952	-	0.000	0.000	Merged-chr11-70113983-20
NR2644--MA0769.1.Tcf7	chr14	20173902	20173913	+	0.000	0.000	Merged-chr14-20174041-54
NR6956--MA1421.1.TCF7L1	chr5	137857125	137857136	+	0.000	0.000	Merged-chr5-137857044-20
NR7281--MA1421.1.TCF7L1	chr6	82744605	82744616	+	0.000	0.000	Merged-chr6-82744737-54
NR6810--MA1421.1.TCF7L1	chr5	100526271	100526282	-	0.000	0.000	Merged-chr5-100526478-48
NR1590--MA0769.1.Tcf7	chr11	106416609	106416620	-	0.000	0.000	Merged-chr11-106416403-62
NR6569--MA1421.1.TCF7L1	chr5	22587659	22587670	-	0.000	0.000	Merged-chr5-22587622-39
NR3864--MA0769.1.Tcf7	chr17	48318939	48318950	+	0.000	0.000	Merged-chr17-48318964-29
NR4573--MA0523.1.TCF7L2	chr2	11617019	11617032	+	0.000	0.000	Merged-chr2-11617013-39
NR6252--MA0769.1.Tcf7	chr4	88010647	88010658	-	0.000	0.000	Merged-chr4-88010715-29
NR6270--MA0769.1.Tcf7	chr4	89302313	89302324	-	0.000	0.000	Merged-chr4-89302202-17
NR5639--MA0523.1.TCF7L2	chr3	95909552	95909565	-	0.000	0.000	Merged-chr3-95909537-31
NR829--MA1421.1.TCF7L1	chr10	28564338	28564349	-	0.000	0.000	Merged-chr10-28564478-17
NR3538--MA0769.1.Tcf7	chr16	49772876	49772887	+	0.000	0.000	Merged-chr16-49772867-33
NR4301--MA0769.1.Tcf7	chr18	82607534	82607545	+	0.000	0.000	Merged-chr18-82607647-23
NR5082--MA0769.1.Tcf7	chr2	127923295	127923306	-	0.000	0.000	Merged-chr2-127923410-36
NR8101--MA0769.1.Tcf7	chr7	140947313	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR3677--MA0769.1.Tcf7	chr16	92743981	92743992	+	0.000	0.000	Merged-chr16-92743989-33
NR3458--MA0769.1.Tcf7	chr16	33053359	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR5264--MA0523.1.TCF7L2	chr2	158719399	158719412	-	0.000	0.000	Merged-chr2-158719347-62
NR3991--MA1421.1.TCF7L1	chr17	86850838	86850849	+	0.000	0.000	Merged-chr17-86850931-27
NR1459--MA0523.1.TCF7L2	chr11	70113939	70113952	-	0.000	0.000	Merged-chr11-70113983-20
NR9031--MA0769.1.Tcf7	chr9	123734309	123734320	-	0.000	0.000	Merged-chr9-123734197-54
NR5081--MA1421.1.TCF7L1	chr2	127923295	127923306	-	0.000	0.000	Merged-chr2-127923410-36
NR8458--MA1421.1.TCF7L1	chr8	123203520	123203531	+	0.000	0.000	Merged-chr8-123203714-21
NR3142--MA0523.1.TCF7L2	chr15	52753837	52753850	+	0.000	0.000	Merged-chr15-52753697-52
NR7282--MA0523.1.TCF7L2	chr6	82744605	82744618	+	0.000	0.000	Merged-chr6-82744737-54
NR7523--MA0769.1.Tcf7	chr6	129917725	129917736	+	0.000	0.000	Merged-chr6-129917853-39
NR8432--MA1421.1.TCF7L1	chr8	115188728	115188739	-	0.000	0.000	Merged-chr8-115188643-43
