#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed
NR2218--MA0117.2.Mafb	chr11	79460874	79460885	+	0.000	0.000	Merged-chr11-79460952-43
NR6036--MA0659.1.MAFG	chr18	79303644	79303664	-	0.000	0.000	Merged-chr18-79303705-44
NR4993--MA0089.1.MAFG::NFE2L1	chr16	52143291	52143296	-	0.000	0.000	Merged-chr16-52143257-58
NR11705--MA0591.1.Bach1::Mafk	chr8	40584824	40584838	-	0.000	0.000	Merged-chr8-40584789-43
NR5456--MA0089.1.MAFG::NFE2L1	chr17	44556037	44556042	+	0.000	0.000	Merged-chr17-44556103-15
NR5636--MA0659.1.MAFG	chr17	86188060	86188080	-	0.000	0.000	Merged-chr17-86187981-35
NR956--MA0089.1.MAFG::NFE2L1	chr1	184751472	184751477	-	0.000	0.000	Merged-chr1-184751461-18
NR8557--MA0089.1.MAFG::NFE2L1	chr4	63939641	63939646	+	0.000	0.000	Merged-chr4-63939569-55
NR12513--MA0591.1.Bach1::Mafk	chr9	83564273	83564287	+	0.000	0.000	Merged-chr9-83564254-44
NR10624--MA0117.2.Mafb	chr6	140817082	140817093	+	0.000	0.000	Merged-chr6-140817043-66
NR37--MA0089.1.MAFG::NFE2L1	chr1	23321408	23321413	-	0.000	0.000	Merged-chr1-23321414-28
NR7337--MA0089.1.MAFG::NFE2L1	chr2	153326125	153326130	+	0.000	0.000	Merged-chr2-153325949-22
NR11735--MA0501.1.MAF::NFE2	chr8	64826687	64826701	-	0.000	0.000	Merged-chr8-64826546-37
NR7610--MA0659.1.MAFG	chr3	21917647	21917667	+	0.000	0.000	Merged-chr3-21917648-70
NR7492--MA0591.1.Bach1::Mafk	chr2	173647099	173647113	+	0.000	0.000	Merged-chr2-173647246-19
NR7109--MA0501.1.MAF::NFE2	chr2	125791849	125791863	+	0.000	0.000	Merged-chr2-125791694-59
NR540--MA0495.2.MAFF	chr1	138952343	138952363	-	0.000	0.000	Merged-chr1-138952405-35
NR9505--MA0501.1.MAF::NFE2	chr5	96879089	96879103	+	0.000	0.000	Merged-chr5-96879087-37
NR10437--MA0659.1.MAFG	chr6	121210700	121210720	+	0.000	0.000	Merged-chr6-121210795-40
NR5639--MA0496.2.MAFK	chr17	86188061	86188079	-	0.000	0.000	Merged-chr17-86187981-35
NR7609--MA0495.2.MAFF	chr3	21917647	21917667	-	0.000	0.000	Merged-chr3-21917648-70
NR4135--MA0117.2.Mafb	chr14	74918642	74918653	+	0.000	0.000	Merged-chr14-74918775-39
NR185--MA0089.1.MAFG::NFE2L1	chr1	61203263	61203268	-	0.000	0.000	Merged-chr1-61203375-24
NR5954--MA0089.1.MAFG::NFE2L1	chr18	67255730	67255735	-	0.000	0.000	Merged-chr18-67255745-40
NR12512--MA0495.2.MAFF	chr9	83564270	83564290	-	0.000	0.000	Merged-chr9-83564254-44
NR8960--MA0117.2.Mafb	chr4	144906688	144906699	-	0.000	0.000	Merged-chr4-144906777-28
NR9029--MA0089.1.MAFG::NFE2L1	chr4	148509460	148509465	+	0.000	0.000	Merged-chr4-148509676-49
NR8502--MA0495.2.MAFF	chr4	47314181	47314201	+	0.000	0.000	Merged-chr4-47314208-36
NR7108--MA0591.1.Bach1::Mafk	chr2	125791846	125791860	+	0.000	0.000	Merged-chr2-125791694-59
NR7446--MA0501.1.MAF::NFE2	chr2	168591526	168591540	-	0.000	0.000	Merged-chr2-168591388-1
NR7735--MA0089.1.MAFG::NFE2L1	chr3	78890009	78890014	+	0.000	0.000	Merged-chr3-78890015-28
NR3993--MA0089.1.MAFG::NFE2L1	chr14	46578307	46578312	+	0.000	0.000	Merged-chr14-46578431-37
NR7412--MA0496.2.MAFK	chr2	165453544	165453562	+	0.000	0.000	Merged-chr2-165453384-56
NR9503--MA0089.1.MAFG::NFE2L1	chr5	96879054	96879059	-	0.000	0.000	Merged-chr5-96879087-37
NR11549--MA0089.1.MAFG::NFE2L1	chr7	140324409	140324414	-	0.000	0.000	Merged-chr7-140324353-33
NR10580--MA0089.1.MAFG::NFE2L1	chr6	136902660	136902665	-	0.000	0.000	Merged-chr6-136902691-26
NR3438--MA0591.1.Bach1::Mafk	chr13	56476973	56476987	+	0.000	0.000	Merged-chr13-56477022-46
NR9585--MA0591.1.Bach1::Mafk	chr5	105675693	105675707	-	0.000	0.000	Merged-chr5-105675662-27
NR2609--MA0089.1.MAFG::NFE2L1	chr12	17511194	17511199	-	0.000	0.000	Merged-chr12-17511273-48
NR810--MA0501.1.MAF::NFE2	chr1	171921518	171921532	-	0.000	0.000	Merged-chr1-171921445-86
NR13008--MA0591.1.Bach1::Mafk	chrX	113075049	113075063	+	0.000	0.000	Merged-chrX-113075086-29
NR11123--MA0496.2.MAFK	chr7	84196448	84196466	-	0.000	0.000	Merged-chr7-84196453-50
NR13000--MA0089.1.MAFG::NFE2L1	chrX	106136097	106136102	-	0.000	0.000	Merged-chrX-106135909-80
NR7141--MA0501.1.MAF::NFE2	chr2	128465767	128465781	+	0.000	0.000	Merged-chr2-128465659-44
NR6813--MA0089.1.MAFG::NFE2L1	chr2	70844981	70844986	+	0.000	0.000	Merged-chr2-70845075-67
NR10250--MA0591.1.Bach1::Mafk	chr6	88718181	88718195	+	0.000	0.000	Merged-chr6-88718305-41
NR1755--MA0501.1.MAF::NFE2	chr10	120896066	120896080	+	0.000	0.000	Merged-chr10-120895921-55
NR290--MA0089.1.MAFG::NFE2L1	chr1	83006403	83006408	+	0.000	0.000	Merged-chr1-83006483-46
NR7116--MA0591.1.Bach1::Mafk	chr2	128117910	128117924	+	0.000	0.000	Merged-chr2-128117807-36
NR1073--MA0089.1.MAFG::NFE2L1	chr1	191259313	191259318	-	0.000	0.000	Merged-chr1-191259374-46
NR9460--MA0591.1.Bach1::Mafk	chr5	92348953	92348967	+	0.000	0.000	Merged-chr5-92348973-52
NR1375--MA0089.1.MAFG::NFE2L1	chr10	66956853	66956858	+	0.000	0.000	Merged-chr10-66956931-46
NR140--MA0591.1.Bach1::Mafk	chr1	58029745	58029759	+	0.000	0.000	Merged-chr1-58029750-23
NR10729--MA0089.1.MAFG::NFE2L1	chr6	145374573	145374578	-	0.000	0.000	Merged-chr6-145374595-4
NR4567--MA0117.2.Mafb	chr15	64173598	64173609	-	0.000	0.000	Merged-chr15-64173635-34
NR5190--MA0089.1.MAFG::NFE2L1	chr16	91562243	91562248	+	0.000	0.000	Merged-chr16-91562152-19
NR5202--MA0089.1.MAFG::NFE2L1	chr16	93153374	93153379	-	0.000	0.000	Merged-chr16-93153200-34
NR5635--MA0591.1.Bach1::Mafk	chr17	86188063	86188077	+	0.000	0.000	Merged-chr17-86187981-35
NR9058--MA0089.1.MAFG::NFE2L1	chr4	152038927	152038932	-	0.000	0.000	Merged-chr4-152038898-1
NR10715--MA0501.1.MAF::NFE2	chr6	144332479	144332493	-	0.000	0.000	Merged-chr6-144332292-25
NR7160--MA0089.1.MAFG::NFE2L1	chr2	132004839	132004844	+	0.000	0.000	Merged-chr2-132004928-41
NR876--MA0117.2.Mafb	chr1	177455720	177455731	-	0.000	0.000	Merged-chr1-177455545-12
NR5602--MA0089.1.MAFG::NFE2L1	chr17	80772610	80772615	+	0.000	0.000	Merged-chr17-80772766-52
NR1334--MA0117.2.Mafb	chr10	54013692	54013703	-	0.000	0.000	Merged-chr10-54013658-12
NR12754--MA0117.2.Mafb	chr9	116294473	116294484	+	0.000	0.000	Merged-chr9-116294411-62
NR9458--MA0089.1.MAFG::NFE2L1	chr5	92327483	92327488	-	0.000	0.000	Merged-chr5-92327493-24
NR543--MA0496.2.MAFK	chr1	138952344	138952362	-	0.000	0.000	Merged-chr1-138952405-35
NR11189--MA0089.1.MAFG::NFE2L1	chr7	101288099	101288104	+	0.000	0.000	Merged-chr7-101288112-19
NR6355--MA0089.1.MAFG::NFE2L1	chr19	53800694	53800699	-	0.000	0.000	Merged-chr19-53800770-48
NR9501--MA0495.2.MAFF	chr5	96879083	96879103	+	0.000	0.000	Merged-chr5-96879087-37
NR88--MA0495.2.MAFF	chr1	39196872	39196892	+	0.000	0.000	Merged-chr1-39196974-45
NR12515--MA0496.2.MAFK	chr9	83564271	83564289	+	0.000	0.000	Merged-chr9-83564254-44
NR8505--MA0496.2.MAFK	chr4	47314182	47314200	-	0.000	0.000	Merged-chr4-47314208-36
NR2449--MA0089.1.MAFG::NFE2L1	chr11	113174285	113174290	-	0.000	0.000	Merged-chr11-113174221-33
NR4887--MA0117.2.Mafb	chr16	24840221	24840232	+	0.000	0.000	Merged-chr16-24840158-23
NR2490--MA0496.2.MAFK	chr11	115460241	115460259	+	0.000	0.000	Merged-chr11-115460107-26
NR4350--MA0659.1.MAFG	chr15	4124870	4124890	-	0.000	0.000	Merged-chr15-4124842-36
NR11889--MA0089.1.MAFG::NFE2L1	chr8	91545812	91545817	-	0.000	0.000	Merged-chr8-91545805-43
NR264--MA0501.1.MAF::NFE2	chr1	74726840	74726854	-	0.000	0.000	Merged-chr1-74726770-27
NR7611--MA0659.1.MAFG	chr3	21917647	21917667	-	0.000	0.000	Merged-chr3-21917648-70
NR5658--MA0495.2.MAFF	chr17	88213760	88213780	+	0.000	0.000	Merged-chr17-88213709-19
NR11751--MA0117.2.Mafb	chr8	68674248	68674259	-	0.000	0.000	Merged-chr8-68674402-29
NR6199--MA0089.1.MAFG::NFE2L1	chr19	18555805	18555810	-	0.000	0.000	Merged-chr19-18555822-23
NR7596--MA0501.1.MAF::NFE2	chr3	18243873	18243887	+	0.000	0.000	Merged-chr3-18243680-52
NR10771--MA0496.2.MAFK	chr6	148436635	148436653	+	0.000	0.000	Merged-chr6-148436541-68
NR10438--MA0659.1.MAFG	chr6	121210700	121210720	-	0.000	0.000	Merged-chr6-121210795-40
NR2858--MA0089.1.MAFG::NFE2L1	chr12	91009109	91009114	-	0.000	0.000	Merged-chr12-91009085-35
NR10440--MA0496.2.MAFK	chr6	121210701	121210719	-	0.000	0.000	Merged-chr6-121210795-40
NR13009--MA0501.1.MAF::NFE2	chrX	113075052	113075066	+	0.000	0.000	Merged-chrX-113075086-29
NR3498--MA0089.1.MAFG::NFE2L1	chr13	73491112	73491117	-	0.000	0.000	Merged-chr13-73491277-13
NR12743--MA0117.2.Mafb	chr9	114621151	114621162	-	0.000	0.000	Merged-chr9-114621254-26
NR8503--MA0495.2.MAFF	chr4	47314181	47314201	-	0.000	0.000	Merged-chr4-47314208-36
NR1423--MA0089.1.MAFG::NFE2L1	chr10	75446552	75446557	-	0.000	0.000	Merged-chr10-75446685-44
NR6471--MA0089.1.MAFG::NFE2L1	chr2	8965006	8965011	+	0.000	0.000	Merged-chr2-8965212-53
NR3322--MA0501.1.MAF::NFE2	chr13	30732880	30732894	+	0.000	0.000	Merged-chr13-30733063-17
NR210--MA0496.2.MAFK	chr1	64486461	64486479	+	0.000	0.000	Merged-chr1-64486540-36
NR1579--MA0117.2.Mafb	chr10	93933049	93933060	-	0.000	0.000	Merged-chr10-93933103-29
NR9183--MA0117.2.Mafb	chr5	21368753	21368764	-	0.000	0.000	Merged-chr5-21368960-21
NR2678--MA0117.2.Mafb	chr12	36317334	36317345	-	0.000	0.000	Merged-chr12-36317326-46
NR11355--MA0501.1.MAF::NFE2	chr7	116484455	116484469	+	0.000	0.000	Merged-chr7-116484434-42
NR1581--MA0501.1.MAF::NFE2	chr10	94021247	94021261	-	0.000	0.000	Merged-chr10-94021256-59
NR1749--MA0089.1.MAFG::NFE2L1	chr10	119083571	119083576	-	0.000	0.000	Merged-chr10-119083697-27
NR6984--MA0089.1.MAFG::NFE2L1	chr2	115610676	115610681	+	0.000	0.000	Merged-chr2-115610633-33
NR8969--MA0089.1.MAFG::NFE2L1	chr4	145342070	145342075	+	0.000	0.000	Merged-chr4-145342099-62
NR11973--MA0501.1.MAF::NFE2	chr8	115227110	115227124	+	0.000	0.000	Merged-chr8-115227272-68
NR5633--MA0495.2.MAFF	chr17	86188060	86188080	+	0.000	0.000	Merged-chr17-86187981-35
NR32--MA0089.1.MAFG::NFE2L1	chr1	20766678	20766683	-	0.000	0.000	Merged-chr1-20766829-14
NR3039--MA0089.1.MAFG::NFE2L1	chr12	112702470	112702475	+	0.000	0.000	Merged-chr12-112702539-19
NR12255--MA0495.2.MAFF	chr9	35475547	35475567	+	0.000	0.000	Merged-chr9-35475679-27
NR6491--MA0089.1.MAFG::NFE2L1	chr2	14312634	14312639	+	0.000	0.000	Merged-chr2-14312633-23
NR12164--MA0089.1.MAFG::NFE2L1	chr9	5623575	5623580	-	0.000	0.000	Merged-chr9-5623590-21
NR7162--MA0501.1.MAF::NFE2	chr2	132004827	132004841	-	0.000	0.000	Merged-chr2-132004928-41
NR3363--MA0591.1.Bach1::Mafk	chr13	44507141	44507155	+	0.000	0.000	Merged-chr13-44507226-54
NR7445--MA0591.1.Bach1::Mafk	chr2	168591529	168591543	-	0.000	0.000	Merged-chr2-168591388-1
NR12170--MA0496.2.MAFK	chr9	7501376	7501394	+	0.000	0.000	Merged-chr9-7501482-49
NR12175--MA0089.1.MAFG::NFE2L1	chr9	11329085	11329090	+	0.000	0.000	Merged-chr9-11329095-28
NR2785--MA0089.1.MAFG::NFE2L1	chr12	76950450	76950455	+	0.000	0.000	Merged-chr12-76950525-26
NR9224--MA0089.1.MAFG::NFE2L1	chr5	34198822	34198827	+	0.000	0.000	Merged-chr5-34198802-20
NR10557--MA0117.2.Mafb	chr6	134274189	134274200	-	0.000	0.000	Merged-chr6-134274107-38
NR7612--MA0496.2.MAFK	chr3	21917648	21917666	+	0.000	0.000	Merged-chr3-21917648-70
NR6834--MA0591.1.Bach1::Mafk	chr2	75685656	75685670	+	0.000	0.000	Merged-chr2-75685689-38
NR12257--MA0501.1.MAF::NFE2	chr9	35475547	35475561	-	0.000	0.000	Merged-chr9-35475679-27
NR10251--MA0501.1.MAF::NFE2	chr6	88718184	88718198	+	0.000	0.000	Merged-chr6-88718305-41
NR10139--MA0089.1.MAFG::NFE2L1	chr6	61263660	61263665	-	0.000	0.000	Merged-chr6-61263601-18
NR7493--MA0591.1.Bach1::Mafk	chr2	173647099	173647113	-	0.000	0.000	Merged-chr2-173647246-19
NR10439--MA0496.2.MAFK	chr6	121210701	121210719	+	0.000	0.000	Merged-chr6-121210795-40
NR9739--MA0089.1.MAFG::NFE2L1	chr5	124907153	124907158	-	0.000	0.000	Merged-chr5-124907107-45
NR9502--MA0495.2.MAFF	chr5	96879083	96879103	-	0.000	0.000	Merged-chr5-96879087-37
NR89--MA0495.2.MAFF	chr1	39196872	39196892	-	0.000	0.000	Merged-chr1-39196974-45
NR5832--MA0495.2.MAFF	chr18	41888225	41888245	-	0.000	0.000	Merged-chr18-41888397-77
NR12325--MA0591.1.Bach1::Mafk	chr9	55410490	55410504	+	0.000	0.000	Merged-chr9-55410514-19
NR12516--MA0496.2.MAFK	chr9	83564271	83564289	-	0.000	0.000	Merged-chr9-83564254-44
NR10728--MA0089.1.MAFG::NFE2L1	chr6	145374520	145374525	-	0.000	0.000	Merged-chr6-145374595-4
NR8234--MA0501.1.MAF::NFE2	chr3	144232157	144232171	-	0.000	0.000	Merged-chr3-144232172-58
NR2390--MA0089.1.MAFG::NFE2L1	chr11	107668452	107668457	+	0.000	0.000	Merged-chr11-107668374-46
NR1676--MA0089.1.MAFG::NFE2L1	chr10	111214815	111214820	-	0.000	0.000	Merged-chr10-111214498-109
NR5895--MA0089.1.MAFG::NFE2L1	chr18	56413109	56413114	-	0.000	0.000	Merged-chr18-56413005-50
NR10070--MA0117.2.Mafb	chr6	49161926	49161937	+	0.000	0.000	Merged-chr6-49161850-8
NR11122--MA0496.2.MAFK	chr7	84196448	84196466	+	0.000	0.000	Merged-chr7-84196453-50
NR1385--MA0089.1.MAFG::NFE2L1	chr10	67840978	67840983	-	0.000	0.000	Merged-chr10-67841086-29
NR6256--MA0089.1.MAFG::NFE2L1	chr19	33429564	33429569	-	0.000	0.000	Merged-chr19-33429713-40
NR10431--MA0501.1.MAF::NFE2	chr6	119522087	119522101	+	0.000	0.000	Merged-chr6-119522115-45
NR8617--MA0089.1.MAFG::NFE2L1	chr4	89178228	89178233	-	0.000	0.000	Merged-chr4-89178152-23
NR12261--MA0501.1.MAF::NFE2	chr9	35475640	35475654	-	0.000	0.000	Merged-chr9-35475679-27
NR2491--MA0496.2.MAFK	chr11	115460241	115460259	-	0.000	0.000	Merged-chr11-115460107-26
NR4330--MA0501.1.MAF::NFE2	chr14	122747975	122747989	-	0.000	0.000	Merged-chr14-122748042-18
NR6934--MA0089.1.MAFG::NFE2L1	chr2	102701607	102701612	-	0.000	0.000	Merged-chr2-102701497-15
NR12326--MA0501.1.MAF::NFE2	chr9	55410493	55410507	+	0.000	0.000	Merged-chr9-55410514-19
NR4644--MA0496.2.MAFK	chr15	80149829	80149847	-	0.000	0.000	Merged-chr15-80149719-49
NR9675--MA0659.1.MAFG	chr5	118082149	118082169	+	0.000	0.000	Merged-chr5-118082270-75
NR9625--MA0591.1.Bach1::Mafk	chr5	112488583	112488597	-	0.000	0.000	Merged-chr5-112488536-19
NR11174--MA0117.2.Mafb	chr7	97626084	97626095	+	0.000	0.000	Merged-chr7-97625910-13
NR10968--MA0501.1.MAF::NFE2	chr7	49335179	49335193	+	0.000	0.000	Merged-chr7-49335315-27
NR7876--MA0089.1.MAFG::NFE2L1	chr3	101651484	101651489	-	0.000	0.000	Merged-chr3-101651434-38
NR11891--MA0501.1.MAF::NFE2	chr8	91545802	91545816	-	0.000	0.000	Merged-chr8-91545805-43
NR4322--MA0496.2.MAFK	chr14	122290558	122290576	+	0.000	0.000	Merged-chr14-122290582-19
NR10042--MA0089.1.MAFG::NFE2L1	chr6	38809566	38809571	+	0.000	0.000	Merged-chr6-38809579-1
NR9459--MA0495.2.MAFF	chr5	92348938	92348958	-	0.000	0.000	Merged-chr5-92348973-52
NR2277--MA0496.2.MAFK	chr11	87802194	87802212	+	0.000	0.000	Merged-chr11-87802102-29
NR10772--MA0496.2.MAFK	chr6	148436635	148436653	-	0.000	0.000	Merged-chr6-148436541-68
NR12258--MA0496.2.MAFK	chr9	35475548	35475566	+	0.000	0.000	Merged-chr9-35475679-27
NR542--MA0501.1.MAF::NFE2	chr1	138952349	138952363	+	0.000	0.000	Merged-chr1-138952405-35
NR10626--MA0501.1.MAF::NFE2	chr6	140817163	140817177	-	0.000	0.000	Merged-chr6-140817043-66
NR9783--MA0591.1.Bach1::Mafk	chr5	137870853	137870867	+	0.000	0.000	Merged-chr5-137870793-17
NR226--MA0591.1.Bach1::Mafk	chr1	69291466	69291480	-	0.000	0.000	Merged-chr1-69291557-40
NR9740--MA0591.1.Bach1::Mafk	chr5	124907146	124907160	-	0.000	0.000	Merged-chr5-124907107-45
NR7190--MA0089.1.MAFG::NFE2L1	chr2	135891302	135891307	+	0.000	0.000	Merged-chr2-135891354-60
NR11812--MA0501.1.MAF::NFE2	chr8	77292840	77292854	-	0.000	0.000	Merged-chr8-77292720-71
NR211--MA0496.2.MAFK	chr1	64486461	64486479	-	0.000	0.000	Merged-chr1-64486540-36
NR341--MA0089.1.MAFG::NFE2L1	chr1	91095389	91095394	-	0.000	0.000	Merged-chr1-91095433-53
NR10770--MA0591.1.Bach1::Mafk	chr6	148436637	148436651	+	0.000	0.000	Merged-chr6-148436541-68
NR10742--MA0089.1.MAFG::NFE2L1	chr6	146185759	146185764	-	0.000	0.000	Merged-chr6-146185680-43
NR8542--MA0117.2.Mafb	chr4	59790145	59790156	-	0.000	0.000	Merged-chr4-59790006-29
NR141--MA0501.1.MAF::NFE2	chr1	58029748	58029762	+	0.000	0.000	Merged-chr1-58029750-23
NR5054--MA0089.1.MAFG::NFE2L1	chr16	58709279	58709284	-	0.000	0.000	Merged-chr16-58709115-34
NR10479--MA0089.1.MAFG::NFE2L1	chr6	125483637	125483642	+	0.000	0.000	Merged-chr6-125483864-63
NR10432--MA0501.1.MAF::NFE2	chr6	119635736	119635750	-	0.000	0.000	Merged-chr6-119635924-52
NR11582--MA0089.1.MAFG::NFE2L1	chr7	143625360	143625365	+	0.000	0.000	Merged-chr7-143625204-46
NR2931--MA0089.1.MAFG::NFE2L1	chr12	100994817	100994822	-	0.000	0.000	Merged-chr12-100994584-90
NR8896--MA0591.1.Bach1::Mafk	chr4	135664671	135664685	-	0.000	0.000	Merged-chr4-135664760-27
NR5634--MA0495.2.MAFF	chr17	86188060	86188080	-	0.000	0.000	Merged-chr17-86187981-35
NR11480--MA0089.1.MAFG::NFE2L1	chr7	132772572	132772577	+	0.000	0.000	Merged-chr7-132772585-7
NR4136--MA0089.1.MAFG::NFE2L1	chr14	74918882	74918887	-	0.000	0.000	Merged-chr14-74918775-39
NR2857--MA0089.1.MAFG::NFE2L1	chr12	90781824	90781829	+	0.000	0.000	Merged-chr12-90781717-25
NR2494--MA0501.1.MAF::NFE2	chr11	115460294	115460308	+	0.000	0.000	Merged-chr11-115460107-26
NR9760--MA0089.1.MAFG::NFE2L1	chr5	135115443	135115448	-	0.000	0.000	Merged-chr5-135115482-49
NR5176--MA0089.1.MAFG::NFE2L1	chr16	89872268	89872273	+	0.000	0.000	Merged-chr16-89872318-26
NR11175--MA0591.1.Bach1::Mafk	chr7	97626067	97626081	+	0.000	0.000	Merged-chr7-97625910-13
NR10627--MA0496.2.MAFK	chr6	140817164	140817182	+	0.000	0.000	Merged-chr6-140817043-66
NR9461--MA0496.2.MAFK	chr5	92348939	92348957	-	0.000	0.000	Merged-chr5-92348973-52
NR12171--MA0496.2.MAFK	chr9	7501376	7501394	-	0.000	0.000	Merged-chr9-7501482-49
NR1935--MA0089.1.MAFG::NFE2L1	chr11	22814124	22814129	-	0.000	0.000	Merged-chr11-22814136-127
NR7613--MA0496.2.MAFK	chr3	21917648	21917666	-	0.000	0.000	Merged-chr3-21917648-70
NR8236--MA0501.1.MAF::NFE2	chr3	144432276	144432290	-	0.000	0.000	Merged-chr3-144432353-38
NR5274--MA0089.1.MAFG::NFE2L1	chr16	97402597	97402602	-	0.000	0.000	Merged-chr16-97402543-6
NR7259--MA0089.1.MAFG::NFE2L1	chr2	146265178	146265183	-	0.000	0.000	Merged-chr2-146265229-24
NR11121--MA0501.1.MAF::NFE2	chr7	84196453	84196467	+	0.000	0.000	Merged-chr7-84196453-50
NR3038--MA0089.1.MAFG::NFE2L1	chr12	112699369	112699374	+	0.000	0.000	Merged-chr12-112699364-12
NR7690--MA0501.1.MAF::NFE2	chr3	59222498	59222512	+	0.000	0.000	Merged-chr3-59222464-17
NR6472--MA0117.2.Mafb	chr2	8965118	8965129	+	0.000	0.000	Merged-chr2-8965212-53
NR10395--MA0089.1.MAFG::NFE2L1	chr6	114644708	114644713	-	0.000	0.000	Merged-chr6-114644613-24
NR1354--MA0117.2.Mafb	chr10	60287930	60287941	-	0.000	0.000	Merged-chr10-60287885-29
NR207--MA0117.2.Mafb	chr1	64486460	64486471	+	0.000	0.000	Merged-chr1-64486540-36
NR541--MA0591.1.Bach1::Mafk	chr1	138952346	138952360	+	0.000	0.000	Merged-chr1-138952405-35
NR9038--MA0089.1.MAFG::NFE2L1	chr4	149487998	149488003	-	0.000	0.000	Merged-chr4-149487937-22
NR11119--MA0495.2.MAFF	chr7	84196447	84196467	-	0.000	0.000	Merged-chr7-84196453-50
NR2492--MA0495.2.MAFF	chr11	115460288	115460308	+	0.000	0.000	Merged-chr11-115460107-26
NR11810--MA0089.1.MAFG::NFE2L1	chr8	76902051	76902056	-	0.000	0.000	Merged-chr8-76902143-41
NR8897--MA0501.1.MAF::NFE2	chr4	135664668	135664682	-	0.000	0.000	Merged-chr4-135664760-27
NR1386--MA0117.2.Mafb	chr10	67841235	67841246	+	0.000	0.000	Merged-chr10-67841086-29
NR10719--MA0591.1.Bach1::Mafk	chr6	144689199	144689213	-	0.000	0.000	Merged-chr6-144689209-25
NR10429--MA0089.1.MAFG::NFE2L1	chr6	119522086	119522091	+	0.000	0.000	Merged-chr6-119522115-45
NR10625--MA0495.2.MAFF	chr6	140817163	140817183	+	0.000	0.000	Merged-chr6-140817043-66
NR11120--MA0591.1.Bach1::Mafk	chr7	84196450	84196464	+	0.000	0.000	Merged-chr7-84196453-50
NR7161--MA0591.1.Bach1::Mafk	chr2	132004830	132004844	-	0.000	0.000	Merged-chr2-132004928-41
NR9555--MA0117.2.Mafb	chr5	100637138	100637149	+	0.000	0.000	Merged-chr5-100637307-83
NR4376--MA0089.1.MAFG::NFE2L1	chr15	10583678	10583683	+	0.000	0.000	Merged-chr15-10583571-15
NR4323--MA0496.2.MAFK	chr14	122290558	122290576	-	0.000	0.000	Merged-chr14-122290582-19
NR11744--MA0591.1.Bach1::Mafk	chr8	68212140	68212154	-	0.000	0.000	Merged-chr8-68212337-24
NR10323--MA0117.2.Mafb	chr6	100581278	100581289	+	0.000	0.000	Merged-chr6-100581320-61
NR7958--MA0117.2.Mafb	chr3	109444223	109444234	-	0.000	0.000	Merged-chr3-109444108-35
NR11454--MA0089.1.MAFG::NFE2L1	chr7	130893287	130893292	+	0.000	0.000	Merged-chr7-130893114-41
