#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed
NR3520--MA0769.1.Tcf7	chr2	70933333	70933344	+	0.000	0.000	Merged-chr2-70933304-29
NR846--MA0523.1.TCF7L2	chr10	128940662	128940675	-	0.000	0.000	Merged-chr10-128940717-41
NR2878--MA1421.1.TCF7L1	chr17	51879847	51879858	-	0.000	0.000	Merged-chr17-51879858-102
NR2663--MA0769.1.Tcf7	chr16	78573189	78573200	-	0.000	0.000	Merged-chr16-78573118-8
NR1591--MA0769.1.Tcf7	chr13	13582128	13582139	+	0.000	0.000	Merged-chr13-13582107-29
NR1448--MA0769.1.Tcf7	chr12	105538381	105538392	+	0.000	0.000	Merged-chr12-105538395-6
NR4825--MA0769.1.Tcf7	chr5	96825106	96825117	+	0.000	0.000	Merged-chr5-96825060-50
NR217--MA1421.1.TCF7L1	chr1	128794065	128794076	+	0.000	0.000	Merged-chr1-128794102-26
NR6013--MA1421.1.TCF7L1	chr8	117299279	117299290	-	0.000	0.000	Merged-chr8-117299202-13
NR5968--MA0523.1.TCF7L2	chr8	92333607	92333620	-	0.000	0.000	Merged-chr8-92333668-18
NR350--MA0769.1.Tcf7	chr1	164136961	164136972	+	0.000	0.000	Merged-chr1-164136892-1
NR5596--MA1421.1.TCF7L1	chr7	89712886	89712897	+	0.000	0.000	Merged-chr7-89712844-48
NR3055--MA0523.1.TCF7L2	chr18	56413150	56413163	+	0.000	0.000	Merged-chr18-56413005-50
NR4073--MA0769.1.Tcf7	chr3	115584912	115584923	-	0.000	0.000	Merged-chr3-115584831-13
NR1005--MA0769.1.Tcf7	chr11	74100880	74100891	-	0.000	0.000	Merged-chr11-74100988-13
NR2608--MA1421.1.TCF7L1	chr16	55769907	55769918	-	0.000	0.000	Merged-chr16-55769882-2
NR4185--MA0769.1.Tcf7	chr3	142533254	142533265	-	0.000	0.000	Merged-chr3-142533345-44
NR1589--MA1421.1.TCF7L1	chr13	13582128	13582139	+	0.000	0.000	Merged-chr13-13582107-29
NR2453--MA0769.1.Tcf7	chr15	94476042	94476053	+	0.000	0.000	Merged-chr15-94476156-15
NR122--MA0769.1.Tcf7	chr1	78591520	78591531	-	0.000	0.000	Merged-chr1-78591432-38
NR6410--MA0523.1.TCF7L2	chr9	107334462	107334475	-	0.000	0.000	Merged-chr9-107334469-86
NR2478--MA1421.1.TCF7L1	chr15	100301888	100301899	+	0.000	0.000	Merged-chr15-100301694-19
NR2565--MA0769.1.Tcf7	chr16	44735811	44735822	+	0.000	0.000	Merged-chr16-44735956-40
NR3887--MA1421.1.TCF7L1	chr3	9151705	9151716	-	0.000	0.000	Merged-chr3-9151770-9
NR3066--MA1421.1.TCF7L1	chr18	57249947	57249958	-	0.000	0.000	Merged-chr18-57249763-26
NR5568--MA0523.1.TCF7L2	chr7	79300946	79300959	+	0.000	0.000	Merged-chr7-79300921-71
NR6625--MA0523.1.TCF7L2	chrX	166185577	166185590	-	0.000	0.000	Merged-chrX-166185579-37
NR3682--MA0523.1.TCF7L2	chr2	132180715	132180728	+	0.000	0.000	Merged-chr2-132180846-32
NR4064--MA0523.1.TCF7L2	chr3	109421018	109421031	+	0.000	0.000	Merged-chr3-109421125-43
NR1729--MA0523.1.TCF7L2	chr13	84769227	84769240	-	0.000	0.000	Merged-chr13-84769190-19
NR2243--MA0769.1.Tcf7	chr15	5929701	5929712	-	0.000	0.000	Merged-chr15-5929612-10
NR1165--MA0523.1.TCF7L2	chr11	113005272	113005285	-	0.000	0.000	Merged-chr11-113005354-7
NR5980--MA0523.1.TCF7L2	chr8	94634367	94634380	+	0.000	0.000	Merged-chr8-94634294-63
NR1498--MA0769.1.Tcf7	chr12	112855156	112855167	-	0.000	0.000	Merged-chr12-112855098-63
NR1283--MA0769.1.Tcf7	chr12	41167989	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR3539--MA0769.1.Tcf7	chr2	78860080	78860091	+	0.000	0.000	Merged-chr2-78860154-39
NR4875--MA0769.1.Tcf7	chr5	105198108	105198119	+	0.000	0.000	Merged-chr5-105198197-37
NR5723--MA0523.1.TCF7L2	chr7	117404664	117404677	+	0.000	0.000	Merged-chr7-117404576-18
NR1211--MA1421.1.TCF7L1	chr11	121100824	121100835	+	0.000	0.000	Merged-chr11-121100966-23
NR4712--MA1421.1.TCF7L1	chr5	45790462	45790473	-	0.000	0.000	Merged-chr5-45790409-20
NR6539--MA0523.1.TCF7L2	chrX	71464351	71464364	-	0.000	0.000	Merged-chrX-71464449-26
NR2284--MA1421.1.TCF7L1	chr15	50098424	50098435	+	0.000	0.000	Merged-chr15-50098332-1
NR4893--MA0769.1.Tcf7	chr5	107840714	107840725	+	0.000	0.000	Merged-chr5-107840807-27
NR154--MA0769.1.Tcf7	chr1	87637227	87637238	-	0.000	0.000	Merged-chr1-87637275-111
NR1176--MA1421.1.TCF7L1	chr11	115589121	115589132	+	0.000	0.000	Merged-chr11-115589146-15
NR2995--MA0523.1.TCF7L2	chr18	14667173	14667186	-	0.000	0.000	Merged-chr18-14667256-44
NR803--MA0523.1.TCF7L2	chr10	119295888	119295901	+	0.000	0.000	Merged-chr10-119295975-18
NR6358--MA0523.1.TCF7L2	chr9	92217744	92217757	-	0.000	0.000	Merged-chr9-92217904-40
NR3583--MA0523.1.TCF7L2	chr2	93417128	93417141	-	0.000	0.000	Merged-chr2-93416936-19
NR4868--MA0523.1.TCF7L2	chr5	103917177	103917190	+	0.000	0.000	Merged-chr5-103917325-19
NR6057--MA0769.1.Tcf7	chr8	125080826	125080837	-	0.000	0.000	Merged-chr8-125080812-18
NR3132--MA0769.1.Tcf7	chr18	79297906	79297917	+	0.000	0.000	Merged-chr18-79298014-36
NR212--MA1421.1.TCF7L1	chr1	127796578	127796589	-	0.000	0.000	Merged-chr1-127796546-56
NR5553--MA1421.1.TCF7L1	chr7	75384768	75384779	-	0.000	0.000	Merged-chr7-75384885-29
NR3012--MA0523.1.TCF7L2	chr18	32598283	32598296	+	0.000	0.000	Merged-chr18-32598271-33
NR5494--MA0523.1.TCF7L2	chr7	37490471	37490484	-	0.000	0.000	Merged-chr7-37490614-68
NR4034--MA0523.1.TCF7L2	chr3	104796772	104796785	-	0.000	0.000	Merged-chr3-104796663-34
NR6055--MA1421.1.TCF7L1	chr8	125080826	125080837	-	0.000	0.000	Merged-chr8-125080812-18
NR6626--MA0769.1.Tcf7	chrX	166185579	166185590	-	0.000	0.000	Merged-chrX-166185579-37
NR24--MA1421.1.TCF7L1	chr1	34831577	34831588	+	0.000	0.000	Merged-chr1-34831505-37
NR5769--MA0769.1.Tcf7	chr7	126179029	126179040	+	0.000	0.000	Merged-chr7-126178972-42
NR26--MA0769.1.Tcf7	chr1	34831577	34831588	+	0.000	0.000	Merged-chr1-34831505-37
NR4771--MA1421.1.TCF7L1	chr5	74261230	74261241	-	0.000	0.000	Merged-chr5-74261391-1
NR3008--MA0523.1.TCF7L2	chr18	32543279	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR1629--MA0769.1.Tcf7	chr13	35129661	35129672	-	0.000	0.000	Merged-chr13-35129636-40
NR5675--MA0769.1.Tcf7	chr7	109265817	109265828	-	0.000	0.000	Merged-chr7-109265818-41
NR4021--MA0523.1.TCF7L2	chr3	101029429	101029442	+	0.000	0.000	Merged-chr3-101029545-28
NR44--MA0769.1.Tcf7	chr1	39954854	39954865	-	0.000	0.000	Merged-chr1-39954782-26
NR5403--MA1421.1.TCF7L1	chr6	145379548	145379559	-	0.000	0.000	Merged-chr6-145379467-36
NR4455--MA0523.1.TCF7L2	chr4	119809319	119809332	+	0.000	0.000	Merged-chr4-119809399-19
NR2195--MA0523.1.TCF7L2	chr14	118658091	118658104	+	0.000	0.000	Merged-chr14-118658326-68
NR3039--MA0769.1.Tcf7	chr18	49721702	49721713	-	0.000	0.000	Merged-chr18-49721855-41
NR2312--MA0523.1.TCF7L2	chr15	59010907	59010920	+	0.000	0.000	Merged-chr15-59010782-34
NR3385--MA0523.1.TCF7L2	chr2	17597779	17597792	+	0.000	0.000	Merged-chr2-17597899-18
NR1571--MA0769.1.Tcf7	chr13	5806400	5806411	+	0.000	0.000	Merged-chr13-5806398-17
NR3827--MA0769.1.Tcf7	chr2	172977460	172977471	-	0.000	0.000	Merged-chr2-172977593-131
NR4891--MA1421.1.TCF7L1	chr5	107840714	107840725	+	0.000	0.000	Merged-chr5-107840807-27
NR2350--MA0523.1.TCF7L2	chr15	67196442	67196455	+	0.000	0.000	Merged-chr15-67196543-23
NR5250--MA0769.1.Tcf7	chr6	100581189	100581200	-	0.000	0.000	Merged-chr6-100581320-61
NR4026--MA0769.1.Tcf7	chr3	101066269	101066280	+	0.000	0.000	Merged-chr3-101066330-34
NR776--MA0523.1.TCF7L2	chr10	117056130	117056143	+	0.000	0.000	Merged-chr10-117056166-30
NR3263--MA1421.1.TCF7L1	chr19	36478299	36478310	+	0.000	0.000	Merged-chr19-36478148-8
NR4619--MA0523.1.TCF7L2	chr4	150517642	150517655	-	0.000	0.000	Merged-chr4-150517532-35
NR5296--MA0523.1.TCF7L2	chr6	120934363	120934376	+	0.000	0.000	Merged-chr6-120934426-25
NR2527--MA0769.1.Tcf7	chr16	25587910	25587921	-	0.000	0.000	Merged-chr16-25587871-42
NR4922--MA1421.1.TCF7L1	chr5	122288603	122288614	+	0.000	0.000	Merged-chr5-122288620-47
NR557--MA0523.1.TCF7L2	chr10	44678981	44678994	+	0.000	0.000	Merged-chr10-44678956-9
NR5349--MA0769.1.Tcf7	chr6	134549900	134549911	-	0.000	0.000	Merged-chr6-134550072-18
NR1457--MA0523.1.TCF7L2	chr12	107051487	107051500	-	0.000	0.000	Merged-chr12-107051429-24
NR1495--MA0523.1.TCF7L2	chr12	112855081	112855094	-	0.000	0.000	Merged-chr12-112855098-63
NR6158--MA1421.1.TCF7L1	chr9	35498053	35498064	+	0.000	0.000	Merged-chr9-35498014-17
NR869--MA1421.1.TCF7L1	chr11	5411820	5411831	-	0.000	0.000	Merged-chr11-5411816-25
NR4049--MA0769.1.Tcf7	chr3	108124309	108124320	-	0.000	0.000	Merged-chr3-108124378-33
NR5170--MA0769.1.Tcf7	chr6	71638554	71638565	-	0.000	0.000	Merged-chr6-71638648-13
NR344--MA0769.1.Tcf7	chr1	161761746	161761757	+	0.000	0.000	Merged-chr1-161761657-43
NR4682--MA0523.1.TCF7L2	chr5	28382468	28382481	-	0.000	0.000	Merged-chr5-28382451-39
NR3644--MA0769.1.Tcf7	chr2	120502274	120502285	+	0.000	0.000	Merged-chr2-120502347-30
NR216--MA1421.1.TCF7L1	chr1	128794047	128794058	+	0.000	0.000	Merged-chr1-128794102-26
NR4622--MA0769.1.Tcf7	chr4	150583761	150583772	-	0.000	0.000	Merged-chr4-150583897-35
NR4425--MA0523.1.TCF7L2	chr4	107605761	107605774	-	0.000	0.000	Merged-chr4-107605713-1
NR3618--MA0523.1.TCF7L2	chr2	115610663	115610676	+	0.000	0.000	Merged-chr2-115610633-33
NR2899--MA0769.1.Tcf7	chr17	57098644	57098655	-	0.000	0.000	Merged-chr17-57098619-14
NR2563--MA1421.1.TCF7L1	chr16	44735811	44735822	+	0.000	0.000	Merged-chr16-44735956-40
NR2232--MA0769.1.Tcf7	chr14	122908311	122908322	-	0.000	0.000	Merged-chr14-122908322-32
NR2607--MA1421.1.TCF7L1	chr16	55769891	55769902	-	0.000	0.000	Merged-chr16-55769882-2
NR4303--MA1421.1.TCF7L1	chr4	41241025	41241036	+	0.000	0.000	Merged-chr4-41241074-39
NR3523--MA0523.1.TCF7L2	chr2	72282256	72282269	-	0.000	0.000	Merged-chr2-72282447-88
NR5054--MA0769.1.Tcf7	chr6	17498807	17498818	+	0.000	0.000	Merged-chr6-17498932-15
NR2997--MA1421.1.TCF7L1	chr18	19483683	19483694	-	0.000	0.000	Merged-chr18-19483716-13
NR1129--MA0769.1.Tcf7	chr11	107539141	107539152	+	0.000	0.000	Merged-chr11-107539158-14
NR4244--MA0523.1.TCF7L2	chr3	152430943	152430956	-	0.000	0.000	Merged-chr3-152430886-16
NR1909--MA0523.1.TCF7L2	chr13	119681296	119681309	-	0.000	0.000	Merged-chr13-119681376-28
NR4506--MA0769.1.Tcf7	chr4	131901421	131901432	-	0.000	0.000	Merged-chr4-131901332-16
NR3561--MA0523.1.TCF7L2	chr2	84582504	84582517	-	0.000	0.000	Merged-chr2-84582461-28
NR2344--MA1421.1.TCF7L1	chr15	65810845	65810856	-	0.000	0.000	Merged-chr15-65810890-18
NR6359--MA0769.1.Tcf7	chr9	92217746	92217757	-	0.000	0.000	Merged-chr9-92217904-40
NR1212--MA0523.1.TCF7L2	chr11	121100824	121100837	+	0.000	0.000	Merged-chr11-121100966-23
NR2285--MA0523.1.TCF7L2	chr15	50098424	50098437	+	0.000	0.000	Merged-chr15-50098332-1
NR2382--MA1421.1.TCF7L1	chr15	78683745	78683756	-	0.000	0.000	Merged-chr15-78683730-20
NR4025--MA0523.1.TCF7L2	chr3	101066269	101066282	+	0.000	0.000	Merged-chr3-101066330-34
NR3835--MA1421.1.TCF7L1	chr2	173452363	173452374	+	0.000	0.000	Merged-chr2-173452276-60
NR3667--MA1421.1.TCF7L1	chr2	129285386	129285397	-	0.000	0.000	Merged-chr2-129285453-11
NR3944--MA0523.1.TCF7L2	chr3	68967124	68967137	-	0.000	0.000	Merged-chr3-68967303-47
NR4231--MA0523.1.TCF7L2	chr3	148762785	148762798	+	0.000	0.000	Merged-chr3-148762804-58
NR5009--MA0523.1.TCF7L2	chr5	149427632	149427645	-	0.000	0.000	Merged-chr5-149427432-30
NR3685--MA0769.1.Tcf7	chr2	132669231	132669242	+	0.000	0.000	Merged-chr2-132669439-31
NR5511--MA0769.1.Tcf7	chr7	49421423	49421434	-	0.000	0.000	Merged-chr7-49421353-29
NR4869--MA0769.1.Tcf7	chr5	103917177	103917188	+	0.000	0.000	Merged-chr5-103917325-19
NR4930--MA1421.1.TCF7L1	chr5	124943852	124943863	-	0.000	0.000	Merged-chr5-124943788-2
NR5784--MA1421.1.TCF7L1	chr7	130816459	130816470	-	0.000	0.000	Merged-chr7-130816442-11
NR4426--MA0769.1.Tcf7	chr4	107605763	107605774	-	0.000	0.000	Merged-chr4-107605713-1
NR4676--MA1421.1.TCF7L1	chr5	22587659	22587670	-	0.000	0.000	Merged-chr5-22587622-39
NR5995--MA0769.1.Tcf7	chr8	111771941	111771952	-	0.000	0.000	Merged-chr8-111771953-9
NR5780--MA0769.1.Tcf7	chr7	127922800	127922811	-	0.000	0.000	Merged-chr7-127922827-35
NR3119--MA0523.1.TCF7L2	chr18	75374207	75374220	-	0.000	0.000	Merged-chr18-75374196-25
NR2365--MA1421.1.TCF7L1	chr15	73599652	73599663	-	0.000	0.000	Merged-chr15-73599756-21
NR5674--MA0523.1.TCF7L2	chr7	109265815	109265828	-	0.000	0.000	Merged-chr7-109265818-41
NR4289--MA1421.1.TCF7L1	chr4	11990124	11990135	+	0.000	0.000	Merged-chr4-11990097-18
NR1085--MA0769.1.Tcf7	chr11	97905703	97905714	-	0.000	0.000	Merged-chr11-97905718-19
NR6056--MA0523.1.TCF7L2	chr8	125080824	125080837	-	0.000	0.000	Merged-chr8-125080812-18
NR296--MA0769.1.Tcf7	chr1	153379981	153379992	-	0.000	0.000	Merged-chr1-153380015-29
NR5880--MA0523.1.TCF7L2	chr8	56443930	56443943	-	0.000	0.000	Merged-chr8-56443904-53
NR3914--MA0769.1.Tcf7	chr3	52791238	52791249	-	0.000	0.000	Merged-chr3-52791161-46
NR4216--MA0769.1.Tcf7	chr3	146192742	146192753	-	0.000	0.000	Merged-chr3-146192596-55
NR3363--MA0523.1.TCF7L2	chr2	6569286	6569299	+	0.000	0.000	Merged-chr2-6569390-16
NR211--MA1421.1.TCF7L1	chr1	127733077	127733088	+	0.000	0.000	Merged-chr1-127732945-24
NR4772--MA0523.1.TCF7L2	chr5	74261228	74261241	-	0.000	0.000	Merged-chr5-74261391-1
NR4648--MA0523.1.TCF7L2	chr5	8397616	8397629	-	0.000	0.000	Merged-chr5-8397712-7
NR3106--MA0523.1.TCF7L2	chr18	69547456	69547469	-	0.000	0.000	Merged-chr18-69547283-22
NR4276--MA1421.1.TCF7L1	chr4	7455298	7455309	+	0.000	0.000	Merged-chr4-7455242-36
NR2461--MA0523.1.TCF7L2	chr15	97780960	97780973	-	0.000	0.000	Merged-chr15-97780994-12
NR2390--MA1421.1.TCF7L1	chr15	80149783	80149794	-	0.000	0.000	Merged-chr15-80149719-49
NR856--MA0769.1.Tcf7	chr10	130340352	130340363	-	0.000	0.000	Merged-chr10-130340277-13
NR1654--MA0523.1.TCF7L2	chr13	46779976	46779989	-	0.000	0.000	Merged-chr13-46780080-38
NR4225--MA1421.1.TCF7L1	chr3	146765222	146765233	-	0.000	0.000	Merged-chr3-146765113-32
NR5221--MA0769.1.Tcf7	chr6	94534990	94535001	-	0.000	0.000	Merged-chr6-94534982-12
NR3022--MA1421.1.TCF7L1	chr18	38584853	38584864	-	0.000	0.000	Merged-chr18-38584729-14
NR2074--MA0523.1.TCF7L2	chr14	68078400	68078413	-	0.000	0.000	Merged-chr14-68078565-20
NR3816--MA0769.1.Tcf7	chr2	168575215	168575226	-	0.000	0.000	Merged-chr2-168575169-53
NR3131--MA0523.1.TCF7L2	chr18	79297906	79297919	+	0.000	0.000	Merged-chr18-79298014-36
NR5223--MA0523.1.TCF7L2	chr6	94681555	94681568	+	0.000	0.000	Merged-chr6-94681460-83
NR2280--MA0523.1.TCF7L2	chr15	39913587	39913600	-	0.000	0.000	Merged-chr15-39913439-55
NR1314--MA0769.1.Tcf7	chr12	59170104	59170115	-	0.000	0.000	Merged-chr12-59170039-43
NR809--MA1421.1.TCF7L1	chr10	120556296	120556307	+	0.000	0.000	Merged-chr10-120556279-62
NR316--MA0523.1.TCF7L2	chr1	156710949	156710962	-	0.000	0.000	Merged-chr1-156710970-33
NR2120--MA1421.1.TCF7L1	chr14	78448465	78448476	-	0.000	0.000	Merged-chr14-78448544-66
NR2722--MA1421.1.TCF7L1	chr16	95999482	95999493	+	0.000	0.000	Merged-chr16-95999409-48
NR4924--MA0769.1.Tcf7	chr5	122288603	122288614	+	0.000	0.000	Merged-chr5-122288620-47
NR1446--MA1421.1.TCF7L1	chr12	105538381	105538392	+	0.000	0.000	Merged-chr12-105538395-6
NR3948--MA0523.1.TCF7L2	chr3	79336242	79336255	+	0.000	0.000	Merged-chr3-79336264-23
NR1484--MA1421.1.TCF7L1	chr12	110939502	110939513	-	0.000	0.000	Merged-chr12-110939619-21
NR4837--MA0523.1.TCF7L2	chr5	98018288	98018301	+	0.000	0.000	Merged-chr5-98018284-53
NR2769--MA1421.1.TCF7L1	chr17	17792227	17792238	-	0.000	0.000	Merged-chr17-17792149-13
NR5141--MA0769.1.Tcf7	chr6	60940553	60940564	-	0.000	0.000	Merged-chr6-60940563-22
NR1097--MA1421.1.TCF7L1	chr11	99204072	99204083	+	0.000	0.000	Merged-chr11-99204111-44
NR5449--MA1421.1.TCF7L1	chr7	16196946	16196957	+	0.000	0.000	Merged-chr7-16196917-6
