#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed
NR8488--MA0089.1.MAFG::NFE2L1	chr2	152787725	152787730	-	0.000	0.000	Merged-chr2-152787799-43
NR14800--MA0089.1.MAFG::NFE2L1	chr9	123928248	123928253	+	0.000	0.000	Merged-chr9-123928219-7
NR2447--MA0495.2.MAFF	chr11	60935531	60935551	+	0.000	0.000	Merged-chr11-60935533-50
NR1368--MA0659.1.MAFG	chr10	19104809	19104829	+	0.000	0.000	Merged-chr10-19104955-55
NR10393--MA0117.2.Mafb	chr4	132946080	132946091	+	0.000	0.000	Merged-chr4-132946023-135
NR3338--MA0089.1.MAFG::NFE2L1	chr12	105001141	105001146	+	0.000	0.000	Merged-chr12-105001185-43
NR6130--MA0496.2.MAFK	chr17	5802393	5802411	+	0.000	0.000	Merged-chr17-5802429-65
NR1370--MA0496.2.MAFK	chr10	19104810	19104828	+	0.000	0.000	Merged-chr10-19104955-55
NR7644--MA0089.1.MAFG::NFE2L1	chr2	38536477	38536482	+	0.000	0.000	Merged-chr2-38536477-82
NR4716--MA0496.2.MAFK	chr14	71138226	71138244	+	0.000	0.000	Merged-chr14-71138006-34
NR2449--MA0117.2.Mafb	chr11	60935540	60935551	-	0.000	0.000	Merged-chr11-60935533-50
NR6061--MA0659.1.MAFG	chr16	94660247	94660267	+	0.000	0.000	Merged-chr16-94660460-20
NR6822--MA0117.2.Mafb	chr18	50016872	50016883	+	0.000	0.000	Merged-chr18-50017066-69
NR13999--MA0117.2.Mafb	chr8	124242452	124242463	-	0.000	0.000	Merged-chr8-124242348-54
NR2485--MA0117.2.Mafb	chr11	67563354	67563365	+	0.000	0.000	Merged-chr11-67563339-33
NR5650--MA0495.2.MAFF	chr16	33769914	33769934	+	0.000	0.000	Merged-chr16-33769896-51
NR706--MA0089.1.MAFG::NFE2L1	chr1	131003551	131003556	-	0.000	0.000	Merged-chr1-131003466-39
NR13604--MA0089.1.MAFG::NFE2L1	chr8	71587200	71587205	-	0.000	0.000	Merged-chr8-71587200-14
NR6711--MA0089.1.MAFG::NFE2L1	chr18	23828700	23828705	-	0.000	0.000	Merged-chr18-23828715-22
NR794--MA0089.1.MAFG::NFE2L1	chr1	144086355	144086360	-	0.000	0.000	Merged-chr1-144086303-34
NR1506--MA0495.2.MAFF	chr10	44434865	44434885	-	0.000	0.000	Merged-chr10-44434814-22
NR2536--MA0501.1.MAF::NFE2	chr11	75460527	75460541	-	0.000	0.000	Merged-chr11-75460430-27
NR7277--MA0089.1.MAFG::NFE2L1	chr19	24527539	24527544	-	0.000	0.000	Merged-chr19-24527365-48
NR4665--MA0089.1.MAFG::NFE2L1	chr14	64628233	64628238	+	0.000	0.000	Merged-chr14-64628307-21
NR1996--MA0659.1.MAFG	chr10	117975555	117975575	+	0.000	0.000	Merged-chr10-117975710-27
NR6064--MA0496.2.MAFK	chr16	94660248	94660266	+	0.000	0.000	Merged-chr16-94660460-20
NR2937--MA0591.1.Bach1::Mafk	chr12	33160628	33160642	+	0.000	0.000	Merged-chr12-33160530-65
NR11875--MA0501.1.MAF::NFE2	chr6	72659946	72659960	+	0.000	0.000	Merged-chr6-72660096-30
NR6993--MA0117.2.Mafb	chr18	73452488	73452499	+	0.000	0.000	Merged-chr18-73452682-34
NR13270--MA0117.2.Mafb	chr7	135605460	135605471	-	0.000	0.000	Merged-chr7-135605308-40
NR5102--MA0117.2.Mafb	chr15	34389262	34389273	+	0.000	0.000	Merged-chr15-34389092-27
NR13981--MA0591.1.Bach1::Mafk	chr8	120702288	120702302	-	0.000	0.000	Merged-chr8-120702084-56
NR14743--MA0501.1.MAF::NFE2	chr9	117910891	117910905	-	0.000	0.000	Merged-chr9-117910970-21
NR5208--MA0495.2.MAFF	chr15	58655206	58655226	-	0.000	0.000	Merged-chr15-58655104-54
NR2737--MA0117.2.Mafb	chr11	107407779	107407790	-	0.000	0.000	Merged-chr11-107407910-19
NR2725--MA0591.1.Bach1::Mafk	chr11	106416597	106416611	-	0.000	0.000	Merged-chr11-106416403-62
NR12268--MA0496.2.MAFK	chr6	127302957	127302975	-	0.000	0.000	Merged-chr6-127302896-25
NR1317--MA0501.1.MAF::NFE2	chr10	10224979	10224993	+	0.000	0.000	Merged-chr10-10224805-34
NR14238--MA0495.2.MAFF	chr9	43785161	43785181	-	0.000	0.000	Merged-chr9-43784994-20
NR2401--MA0501.1.MAF::NFE2	chr11	53803662	53803676	+	0.000	0.000	Merged-chr11-53803686-61
NR13048--MA0089.1.MAFG::NFE2L1	chr7	110965579	110965584	-	0.000	0.000	Merged-chr7-110965629-28
NR14694--MA0496.2.MAFK	chr9	114787912	114787930	-	0.000	0.000	Merged-chr9-114787935-34
NR1673--MA0089.1.MAFG::NFE2L1	chr10	75146211	75146216	-	0.000	0.000	Merged-chr10-75146347-53
NR3384--MA0591.1.Bach1::Mafk	chr12	110506249	110506263	+	0.000	0.000	Merged-chr12-110506270-12
NR511--MA0089.1.MAFG::NFE2L1	chr1	94056132	94056137	-	0.000	0.000	Merged-chr1-94056150-27
NR14742--MA0089.1.MAFG::NFE2L1	chr9	117910880	117910885	+	0.000	0.000	Merged-chr9-117910970-21
NR2938--MA0501.1.MAF::NFE2	chr12	33160631	33160645	+	0.000	0.000	Merged-chr12-33160530-65
NR10386--MA0591.1.Bach1::Mafk	chr4	130900053	130900067	-	0.000	0.000	Merged-chr4-130900085-53
NR739--MA0089.1.MAFG::NFE2L1	chr1	133690255	133690260	+	0.000	0.000	Merged-chr1-133690070-61
NR13926--MA0089.1.MAFG::NFE2L1	chr8	114815498	114815503	-	0.000	0.000	Merged-chr8-114815485-46
NR6124--MA0495.2.MAFF	chr17	5802392	5802412	-	0.000	0.000	Merged-chr17-5802429-65
NR3669--MA0089.1.MAFG::NFE2L1	chr13	32868434	32868439	+	0.000	0.000	Merged-chr13-32868285-30
NR12821--MA0501.1.MAF::NFE2	chr7	75483359	75483373	+	0.000	0.000	Merged-chr7-75483331-36
NR14149--MA0496.2.MAFK	chr9	21609995	21610013	+	0.000	0.000	Merged-chr9-21610100-42
NR13527--MA0117.2.Mafb	chr8	46782517	46782528	-	0.000	0.000	Merged-chr8-46782438-21
NR11258--MA0659.1.MAFG	chr5	115085170	115085190	-	0.000	0.000	Merged-chr5-115085067-14
NR2058--MA0089.1.MAFG::NFE2L1	chr10	122800518	122800523	+	0.000	0.000	Merged-chr10-122800507-74
NR12502--MA0089.1.MAFG::NFE2L1	chr6	146271409	146271414	-	0.000	0.000	Merged-chr6-146271470-40
NR1510--MA0659.1.MAFG	chr10	44434865	44434885	+	0.000	0.000	Merged-chr10-44434814-22
NR7406--MA0591.1.Bach1::Mafk	chr19	56647501	56647515	+	0.000	0.000	Merged-chr19-56647541-17
NR14185--MA0496.2.MAFK	chr9	33080492	33080510	+	0.000	0.000	Merged-chr9-33080507-34
NR9278--MA0089.1.MAFG::NFE2L1	chr3	104856376	104856381	+	0.000	0.000	Merged-chr3-104856352-37
NR7241--MA0496.2.MAFK	chr19	20424389	20424407	-	0.000	0.000	Merged-chr19-20424322-22
NR13602--MA0591.1.Bach1::Mafk	chr8	71587146	71587160	+	0.000	0.000	Merged-chr8-71587200-14
NR848--MA0089.1.MAFG::NFE2L1	chr1	153304318	153304323	-	0.000	0.000	Merged-chr1-153304263-23
NR8491--MA0501.1.MAF::NFE2	chr2	153215092	153215106	+	0.000	0.000	Merged-chr2-153215232-79
NR795--MA0591.1.Bach1::Mafk	chr1	144086348	144086362	-	0.000	0.000	Merged-chr1-144086303-34
NR12817--MA0089.1.MAFG::NFE2L1	chr7	74698146	74698151	+	0.000	0.000	Merged-chr7-74698017-54
NR6058--MA0495.2.MAFF	chr16	94660247	94660267	+	0.000	0.000	Merged-chr16-94660460-20
NR2721--MA0089.1.MAFG::NFE2L1	chr11	104664068	104664073	+	0.000	0.000	Merged-chr11-104664090-22
NR12798--MA0591.1.Bach1::Mafk	chr7	68350178	68350192	+	0.000	0.000	Merged-chr7-68350249-38
NR8434--MA0089.1.MAFG::NFE2L1	chr2	147030826	147030831	-	0.000	0.000	Merged-chr2-147030791-19
NR13353--MA0117.2.Mafb	chr7	143628821	143628832	+	0.000	0.000	Merged-chr7-143628758-62
NR8429--MA0591.1.Bach1::Mafk	chr2	146497724	146497738	-	0.000	0.000	Merged-chr2-146497617-49
NR14763--MA0496.2.MAFK	chr9	119334540	119334558	-	0.000	0.000	Merged-chr9-119334532-37
NR11413--MA0591.1.Bach1::Mafk	chr5	143287899	143287913	+	0.000	0.000	Merged-chr5-143287992-36
NR9376--MA0089.1.MAFG::NFE2L1	chr3	116630321	116630326	+	0.000	0.000	Merged-chr3-116630474-26
NR10988--MA0117.2.Mafb	chr5	74404336	74404347	-	0.000	0.000	Merged-chr5-74404312-40
NR2352--MA0501.1.MAF::NFE2	chr11	46474438	46474452	-	0.000	0.000	Merged-chr11-46474391-31
NR5653--MA0496.2.MAFK	chr16	33769915	33769933	+	0.000	0.000	Merged-chr16-33769896-51
NR1513--MA0496.2.MAFK	chr10	44434866	44434884	+	0.000	0.000	Merged-chr10-44434814-22
NR7793--MA0089.1.MAFG::NFE2L1	chr2	61712733	61712738	-	0.000	0.000	Merged-chr2-61712803-19
NR1701--MA0089.1.MAFG::NFE2L1	chr10	77630169	77630174	-	0.000	0.000	Merged-chr10-77630089-17
NR14799--MA0089.1.MAFG::NFE2L1	chr9	123923470	123923475	+	0.000	0.000	Merged-chr9-123923476-12
NR1899--MA0495.2.MAFF	chr10	98776481	98776501	-	0.000	0.000	Merged-chr10-98776574-38
NR2516--MA0117.2.Mafb	chr11	72961928	72961939	+	0.000	0.000	Merged-chr11-72961970-1
NR5859--MA0089.1.MAFG::NFE2L1	chr16	64757610	64757615	-	0.000	0.000	Merged-chr16-64757779-2
NR1894--MA0496.2.MAFK	chr10	96588456	96588474	-	0.000	0.000	Merged-chr10-96588454-52
NR1956--MA0591.1.Bach1::Mafk	chr10	111478830	111478844	+	0.000	0.000	Merged-chr10-111478939-8
NR4639--MA0089.1.MAFG::NFE2L1	chr14	60129741	60129746	+	0.000	0.000	Merged-chr14-60129717-50
NR5761--MA0591.1.Bach1::Mafk	chr16	49982464	49982478	-	0.000	0.000	Merged-chr16-49982447-38
NR7254--MA0501.1.MAF::NFE2	chr19	21785904	21785918	-	0.000	0.000	Merged-chr19-21785964-7
NR9761--MA0501.1.MAF::NFE2	chr4	6925026	6925040	-	0.000	0.000	Merged-chr4-6924913-49
NR2448--MA0495.2.MAFF	chr11	60935531	60935551	-	0.000	0.000	Merged-chr11-60935533-50
NR1369--MA0659.1.MAFG	chr10	19104809	19104829	-	0.000	0.000	Merged-chr10-19104955-55
NR7409--MA0496.2.MAFK	chr19	56647499	56647517	+	0.000	0.000	Merged-chr19-56647541-17
NR6131--MA0496.2.MAFK	chr17	5802393	5802411	-	0.000	0.000	Merged-chr17-5802429-65
NR1371--MA0496.2.MAFK	chr10	19104810	19104828	-	0.000	0.000	Merged-chr10-19104955-55
NR7456--MA0117.2.Mafb	chr2	3764466	3764477	-	0.000	0.000	Merged-chr2-3764311-29
NR4717--MA0496.2.MAFK	chr14	71138226	71138244	-	0.000	0.000	Merged-chr14-71138006-34
NR5442--MA0591.1.Bach1::Mafk	chr15	99725799	99725813	+	0.000	0.000	Merged-chr15-99725695-59
NR6062--MA0659.1.MAFG	chr16	94660247	94660267	-	0.000	0.000	Merged-chr16-94660460-20
NR3874--MA0591.1.Bach1::Mafk	chr13	63340115	63340129	-	0.000	0.000	Merged-chr13-63340215-26
NR796--MA0501.1.MAF::NFE2	chr1	144086345	144086359	-	0.000	0.000	Merged-chr1-144086303-34
NR11237--MA0089.1.MAFG::NFE2L1	chr5	112242535	112242540	+	0.000	0.000	Merged-chr5-112242517-49
NR7043--MA0089.1.MAFG::NFE2L1	chr18	79079970	79079975	+	0.000	0.000	Merged-chr18-79080001-30
NR265--MA0501.1.MAF::NFE2	chr1	61039451	61039465	-	0.000	0.000	Merged-chr1-61039499-28
NR14690--MA0495.2.MAFF	chr9	114787911	114787931	-	0.000	0.000	Merged-chr9-114787935-34
NR4255--MA0089.1.MAFG::NFE2L1	chr13	114887326	114887331	-	0.000	0.000	Merged-chr13-114887526-35
NR8143--MA0591.1.Bach1::Mafk	chr2	117447054	117447068	-	0.000	0.000	Merged-chr2-117447085-57
NR13983--MA0591.1.Bach1::Mafk	chr8	121568504	121568518	+	0.000	0.000	Merged-chr8-121568444-23
NR11259--MA0496.2.MAFK	chr5	115085171	115085189	-	0.000	0.000	Merged-chr5-115085067-14
NR1081--MA0496.2.MAFK	chr1	180403755	180403773	+	0.000	0.000	Merged-chr1-180403715-60
NR6714--MA0496.2.MAFK	chr18	23828828	23828846	-	0.000	0.000	Merged-chr18-23828715-22
NR56--MA0089.1.MAFG::NFE2L1	chr1	16228115	16228120	+	0.000	0.000	Merged-chr1-16228179-38
NR12842--MA0089.1.MAFG::NFE2L1	chr7	79249754	79249759	+	0.000	0.000	Merged-chr7-79249720-34
NR1892--MA0495.2.MAFF	chr10	96588455	96588475	+	0.000	0.000	Merged-chr10-96588454-52
NR1997--MA0659.1.MAFG	chr10	117975555	117975575	-	0.000	0.000	Merged-chr10-117975710-27
NR8272--MA0089.1.MAFG::NFE2L1	chr2	128318445	128318450	+	0.000	0.000	Merged-chr2-128318457-15
NR3041--MA0591.1.Bach1::Mafk	chr12	55027301	55027315	-	0.000	0.000	Merged-chr12-55027232-31
NR5029--MA0501.1.MAF::NFE2	chr15	6555769	6555783	+	0.000	0.000	Merged-chr15-6555772-24
NR6065--MA0496.2.MAFK	chr16	94660248	94660266	-	0.000	0.000	Merged-chr16-94660460-20
NR2450--MA0591.1.Bach1::Mafk	chr11	60935534	60935548	+	0.000	0.000	Merged-chr11-60935533-50
NR5962--MA0089.1.MAFG::NFE2L1	chr16	84800308	84800313	+	0.000	0.000	Merged-chr16-84800124-30
NR5471--MA0089.1.MAFG::NFE2L1	chr15	102234091	102234096	+	0.000	0.000	Merged-chr15-102234091-17
NR11517--MA0117.2.Mafb	chr6	8649424	8649435	+	0.000	0.000	Merged-chr6-8649574-3
NR14270--MA0495.2.MAFF	chr9	45247852	45247872	-	0.000	0.000	Merged-chr9-45247703-45
NR2837--MA0591.1.Bach1::Mafk	chr11	121039415	121039429	+	0.000	0.000	Merged-chr11-121039238-62
NR11937--MA0089.1.MAFG::NFE2L1	chr6	87038091	87038096	-	0.000	0.000	Merged-chr6-87038264-54
NR6126--MA0591.1.Bach1::Mafk	chr17	5802395	5802409	-	0.000	0.000	Merged-chr17-5802429-65
NR7619--MA0117.2.Mafb	chr2	34494335	34494346	-	0.000	0.000	Merged-chr2-34494375-14
NR11388--MA0591.1.Bach1::Mafk	chr5	140637021	140637035	-	0.000	0.000	Merged-chr5-140636895-23
NR8974--MA0089.1.MAFG::NFE2L1	chr3	59260918	59260923	+	0.000	0.000	Merged-chr3-59260932-51
NR1867--MA0089.1.MAFG::NFE2L1	chr10	94848656	94848661	+	0.000	0.000	Merged-chr10-94848627-43
NR12537--MA0591.1.Bach1::Mafk	chr7	3290321	3290335	-	0.000	0.000	Merged-chr7-3290343-35
NR14345--MA0089.1.MAFG::NFE2L1	chr9	61963452	61963457	-	0.000	0.000	Merged-chr9-61963614-17
NR4731--MA0501.1.MAF::NFE2	chr14	72778152	72778166	-	0.000	0.000	Merged-chr14-72778135-45
NR749--MA0591.1.Bach1::Mafk	chr1	136255312	136255326	-	0.000	0.000	Merged-chr1-136255292-47
NR705--MA0089.1.MAFG::NFE2L1	chr1	131003553	131003558	+	0.000	0.000	Merged-chr1-131003466-39
NR5797--MA0089.1.MAFG::NFE2L1	chr16	52468668	52468673	-	0.000	0.000	Merged-chr16-52468577-24
NR793--MA0089.1.MAFG::NFE2L1	chr1	144086333	144086338	+	0.000	0.000	Merged-chr1-144086303-34
NR6127--MA0659.1.MAFG	chr17	5802392	5802412	+	0.000	0.000	Merged-chr17-5802429-65
NR2200--MA0089.1.MAFG::NFE2L1	chr11	11763389	11763394	-	0.000	0.000	Merged-chr11-11763344-40
NR14240--MA0591.1.Bach1::Mafk	chr9	43785164	43785178	-	0.000	0.000	Merged-chr9-43784994-20
NR7253--MA0659.1.MAFG	chr19	21785904	21785924	+	0.000	0.000	Merged-chr19-21785964-7
NR11257--MA0495.2.MAFF	chr5	115085170	115085190	-	0.000	0.000	Merged-chr5-115085067-14
NR3040--MA0089.1.MAFG::NFE2L1	chr12	55027308	55027313	-	0.000	0.000	Merged-chr12-55027232-31
NR3865--MA0591.1.Bach1::Mafk	chr13	60897580	60897594	-	0.000	0.000	Merged-chr13-60897577-48
NR6712--MA0591.1.Bach1::Mafk	chr18	23828830	23828844	-	0.000	0.000	Merged-chr18-23828715-22
NR1512--MA0501.1.MAF::NFE2	chr10	44434871	44434885	+	0.000	0.000	Merged-chr10-44434814-22
NR1511--MA0659.1.MAFG	chr10	44434865	44434885	-	0.000	0.000	Merged-chr10-44434814-22
NR11147--MA0117.2.Mafb	chr5	103365681	103365692	-	0.000	0.000	Merged-chr5-103365833-17
NR7239--MA0591.1.Bach1::Mafk	chr19	20424391	20424405	-	0.000	0.000	Merged-chr19-20424322-22
NR15043--MA0496.2.MAFK	chrX	142792381	142792399	+	0.000	0.000	Merged-chrX-142792362-24
NR4995--MA0591.1.Bach1::Mafk	chr14	121830076	121830090	+	0.000	0.000	Merged-chr14-121830164-49
NR10435--MA0089.1.MAFG::NFE2L1	chr4	137603742	137603747	-	0.000	0.000	Merged-chr4-137603877-24
NR1505--MA0495.2.MAFF	chr10	44434865	44434885	+	0.000	0.000	Merged-chr10-44434814-22
NR6129--MA0501.1.MAF::NFE2	chr17	5802392	5802406	-	0.000	0.000	Merged-chr17-5802429-65
NR11743--MA0501.1.MAF::NFE2	chr6	54775914	54775928	-	0.000	0.000	Merged-chr6-54775842-27
NR6059--MA0495.2.MAFF	chr16	94660247	94660267	-	0.000	0.000	Merged-chr16-94660460-20
NR2738--MA0591.1.Bach1::Mafk	chr11	107407766	107407780	+	0.000	0.000	Merged-chr11-107407910-19
NR638--MA0089.1.MAFG::NFE2L1	chr1	120073728	120073733	-	0.000	0.000	Merged-chr1-120073802-51
NR5903--MA0089.1.MAFG::NFE2L1	chr16	75855710	75855715	+	0.000	0.000	Merged-chr16-75855662-51
NR12266--MA0591.1.Bach1::Mafk	chr6	127302959	127302973	+	0.000	0.000	Merged-chr6-127302896-25
NR11377--MA0089.1.MAFG::NFE2L1	chr5	139161770	139161775	-	0.000	0.000	Merged-chr5-139161823-20
NR1998--MA0591.1.Bach1::Mafk	chr10	118007269	118007283	+	0.000	0.000	Merged-chr10-118007304-63
NR5338--MA0089.1.MAFG::NFE2L1	chr15	80216733	80216738	-	0.000	0.000	Merged-chr15-80216610-25
NR1306--MA0089.1.MAFG::NFE2L1	chr10	8415554	8415559	-	0.000	0.000	Merged-chr10-8415419-33
NR10089--MA0117.2.Mafb	chr4	89212361	89212372	+	0.000	0.000	Merged-chr4-89212481-15
NR1507--MA0117.2.Mafb	chr10	44434874	44434885	-	0.000	0.000	Merged-chr10-44434814-22
NR5654--MA0496.2.MAFK	chr16	33769915	33769933	-	0.000	0.000	Merged-chr16-33769896-51
NR5209--MA0659.1.MAFG	chr15	58655206	58655226	+	0.000	0.000	Merged-chr15-58655104-54
NR10922--MA0089.1.MAFG::NFE2L1	chr5	62772116	62772121	+	0.000	0.000	Merged-chr5-62772215-28
NR1514--MA0496.2.MAFK	chr10	44434866	44434884	-	0.000	0.000	Merged-chr10-44434814-22
NR14689--MA0495.2.MAFF	chr9	114787911	114787931	+	0.000	0.000	Merged-chr9-114787935-34
NR14072--MA0089.1.MAFG::NFE2L1	chr8	128646936	128646941	+	0.000	0.000	Merged-chr8-128646767-27
NR1681--MA0089.1.MAFG::NFE2L1	chr10	75536262	75536267	+	0.000	0.000	Merged-chr10-75536310-39
NR1958--MA0591.1.Bach1::Mafk	chr10	111562752	111562766	-	0.000	0.000	Merged-chr10-111562842-26
NR5449--MA0089.1.MAFG::NFE2L1	chr15	100461237	100461242	+	0.000	0.000	Merged-chr15-100461368-57
NR11460--MA0089.1.MAFG::NFE2L1	chr5	148678739	148678744	+	0.000	0.000	Merged-chr5-148678733-37
NR2722--MA0089.1.MAFG::NFE2L1	chr11	104667853	104667858	-	0.000	0.000	Merged-chr11-104667644-45
NR7304--MA0659.1.MAFG	chr19	32935800	32935820	-	0.000	0.000	Merged-chr19-32935830-20
NR1315--MA0089.1.MAFG::NFE2L1	chr10	10224829	10224834	+	0.000	0.000	Merged-chr10-10224805-34
NR10946--MA0089.1.MAFG::NFE2L1	chr5	66096305	66096310	-	0.000	0.000	Merged-chr5-66096250-16
NR7408--MA0501.1.MAF::NFE2	chr19	56647504	56647518	+	0.000	0.000	Merged-chr19-56647541-17
NR12816--MA0089.1.MAFG::NFE2L1	chr7	74684201	74684206	+	0.000	0.000	Merged-chr7-74684112-21
NR5357--MA0591.1.Bach1::Mafk	chr15	83474198	83474212	+	0.000	0.000	Merged-chr15-83474258-63
NR5358--MA0501.1.MAF::NFE2	chr15	83474201	83474215	+	0.000	0.000	Merged-chr15-83474258-63
NR2720--MA0089.1.MAFG::NFE2L1	chr11	104631500	104631505	-	0.000	0.000	Merged-chr11-104631492-24
NR11207--MA0089.1.MAFG::NFE2L1	chr5	107649020	107649025	+	0.000	0.000	Merged-chr5-107649073-49
NR1515--MA0089.1.MAFG::NFE2L1	chr10	44700232	44700237	-	0.000	0.000	Merged-chr10-44700385-25
