#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed
NR386--MA0463.1.Bcl6	chr11	80666516	80666529	+	0.000	0.000	Merged-chr11-80666360-28
NR2149--MA0463.1.Bcl6	chr8	77367069	77367082	-	0.000	0.000	Merged-chr8-77367221-20
NR592--MA0731.1.BCL6B	chr13	84612705	84612721	+	0.000	0.000	Merged-chr13-84612634-1
NR343--MA0463.1.Bcl6	chr11	22936719	22936732	-	0.000	0.000	Merged-chr11-22936648-30
NR98--MA0463.1.Bcl6	chr1	118403981	118403994	-	0.000	0.000	Merged-chr1-118403887-21
NR97--MA0731.1.BCL6B	chr1	118403928	118403944	+	0.000	0.000	Merged-chr1-118403887-21
NR263--MA0463.1.Bcl6	chr10	75417577	75417590	-	0.000	0.000	Merged-chr10-75417748-37
NR1742--MA0463.1.Bcl6	chr5	124907074	124907087	+	0.000	0.000	Merged-chr5-124907107-45
NR953--MA0463.1.Bcl6	chr17	65740379	65740392	-	0.000	0.000	Merged-chr17-65740416-17
NR1541--MA0463.1.Bcl6	chr4	102210083	102210096	+	0.000	0.000	Merged-chr4-102210111-10
NR1774--MA0463.1.Bcl6	chr5	151416847	151416860	-	0.000	0.000	Merged-chr5-151416725-1
NR739--MA0463.1.Bcl6	chr14	118109843	118109856	-	0.000	0.000	Merged-chr14-118109992-14
NR1831--MA0731.1.BCL6B	chr6	70103457	70103473	-	0.000	0.000	Merged-chr6-70103466-27
NR2271--MA0731.1.BCL6B	chr9	89842701	89842717	+	0.000	0.000	Merged-chr9-89842601-13
NR2207--MA0463.1.Bcl6	chr8	127672146	127672159	-	0.000	0.000	Merged-chr8-127671980-1
NR2225--MA0463.1.Bcl6	chr9	32668470	32668483	+	0.000	0.000	Merged-chr9-32668373-11
NR467--MA0463.1.Bcl6	chr12	75496175	75496188	-	0.000	0.000	Merged-chr12-75496120-14
NR314--MA0731.1.BCL6B	chr10	117859939	117859955	-	0.000	0.000	Merged-chr10-117859986-12
NR293--MA0463.1.Bcl6	chr10	94378508	94378521	+	0.000	0.000	Merged-chr10-94378414-58
NR862--MA0463.1.Bcl6	chr16	50364128	50364141	-	0.000	0.000	Merged-chr16-50364238-69
NR616--MA0463.1.Bcl6	chr13	108045820	108045833	+	0.000	0.000	Merged-chr13-108045887-18
NR1688--MA0463.1.Bcl6	chr5	91960046	91960059	-	0.000	0.000	Merged-chr5-91960197-8
NR2186--MA0731.1.BCL6B	chr8	114986155	114986171	+	0.000	0.000	Merged-chr8-114986195-32
NR590--MA0463.1.Bcl6	chr13	81351846	81351859	-	0.000	0.000	Merged-chr13-81351650-43
NR438--MA0463.1.Bcl6	chr12	34249080	34249093	+	0.000	0.000	Merged-chr12-34249045-49
NR1800--MA0463.1.Bcl6	chr6	37564211	37564224	-	0.000	0.000	Merged-chr6-37564158-19
