#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed
NR3249--MA0523.1.TCF7L2	chr2	157746722	157746735	+	0.000	0.000	Merged-chr2-157746803-36
NR1927--MA0523.1.TCF7L2	chr15	9533555	9533568	+	0.000	0.000	Merged-chr15-9533546-44
NR5140--MA0769.1.Tcf7	chr8	56443932	56443943	-	0.000	0.000	Merged-chr8-56443904-53
NR4043--MA0523.1.TCF7L2	chr5	22587657	22587670	-	0.000	0.000	Merged-chr5-22587622-39
NR3685--MA1421.1.TCF7L1	chr3	152212099	152212110	-	0.000	0.000	Merged-chr3-152212044-45
NR3236--MA0523.1.TCF7L2	chr2	151944250	151944263	+	0.000	0.000	Merged-chr2-151944383-43
NR1914--MA0523.1.TCF7L2	chr14	122952205	122952218	-	0.000	0.000	Merged-chr14-122951933-82
NR33--MA1421.1.TCF7L1	chr1	39895714	39895725	-	0.000	0.000	Merged-chr1-39895697-26
NR2591--MA0523.1.TCF7L2	chr18	19524573	19524586	-	0.000	0.000	Merged-chr18-19524471-22
NR4683--MA0523.1.TCF7L2	chr6	144333302	144333315	+	0.000	0.000	Merged-chr6-144333219-22
NR217--MA1421.1.TCF7L1	chr1	128794047	128794058	+	0.000	0.000	Merged-chr1-128794102-26
NR4055--MA0769.1.Tcf7	chr5	28402978	28402989	-	0.000	0.000	Merged-chr5-28402904-51
NR5239--MA0769.1.Tcf7	chr8	115136851	115136862	-	0.000	0.000	Merged-chr8-115136921-34
NR3480--MA0523.1.TCF7L2	chr3	101066413	101066426	-	0.000	0.000	Merged-chr3-101066330-34
NR3055--MA0523.1.TCF7L2	chr2	85224477	85224490	+	0.000	0.000	Merged-chr2-85224623-28
NR1830--MA1421.1.TCF7L1	chr14	70962243	70962254	-	0.000	0.000	Merged-chr14-70962142-29
NR1999--MA0523.1.TCF7L2	chr15	59010890	59010903	-	0.000	0.000	Merged-chr15-59010782-34
NR2587--MA0523.1.TCF7L2	chr18	14667173	14667186	-	0.000	0.000	Merged-chr18-14667256-44
NR419--MA1421.1.TCF7L1	chr1	183987878	183987889	+	0.000	0.000	Merged-chr1-183987914-47
NR3425--MA0523.1.TCF7L2	chr3	83997231	83997244	+	0.000	0.000	Merged-chr3-83997240-19
NR382--MA0769.1.Tcf7	chr1	173432613	173432624	-	0.000	0.000	Merged-chr1-173432561-56
NR3463--MA0523.1.TCF7L2	chr3	96847830	96847843	-	0.000	0.000	Merged-chr3-96847710-69
NR420--MA0523.1.TCF7L2	chr1	183987878	183987891	+	0.000	0.000	Merged-chr1-183987914-47
NR2027--MA1421.1.TCF7L1	chr15	66998422	66998433	+	0.000	0.000	Merged-chr15-66998486-48
NR878--MA1421.1.TCF7L1	chr11	49722944	49722955	-	0.000	0.000	Merged-chr11-49723086-55
NR4228--MA0523.1.TCF7L2	chr5	111200340	111200353	-	0.000	0.000	Merged-chr5-111200479-33
NR3687--MA0769.1.Tcf7	chr3	152212099	152212110	-	0.000	0.000	Merged-chr3-152212044-45
NR1400--MA0769.1.Tcf7	chr12	116315552	116315563	-	0.000	0.000	Merged-chr12-116315725-53
NR1809--MA1421.1.TCF7L1	chr14	62928379	62928390	-	0.000	0.000	Merged-chr14-62928345-50
NR1727--MA0769.1.Tcf7	chr14	7913984	7913995	-	0.000	0.000	Merged-chr14-7914040-29
NR2029--MA0769.1.Tcf7	chr15	66998422	66998433	+	0.000	0.000	Merged-chr15-66998486-48
NR4578--MA1421.1.TCF7L1	chr6	120206759	120206770	+	0.000	0.000	Merged-chr6-120206801-39
NR549--MA0523.1.TCF7L2	chr10	42888502	42888515	-	0.000	0.000	Merged-chr10-42888420-50
NR5591--MA1421.1.TCF7L1	chr9	108164007	108164018	+	0.000	0.000	Merged-chr9-108163865-26
NR2001--MA1421.1.TCF7L1	chr15	59805127	59805138	-	0.000	0.000	Merged-chr15-59805045-21
NR3820--MA0523.1.TCF7L2	chr4	95448929	95448942	+	0.000	0.000	Merged-chr4-95449018-19
NR5540--MA1421.1.TCF7L1	chr9	92218022	92218033	+	0.000	0.000	Merged-chr9-92217904-40
NR880--MA0769.1.Tcf7	chr11	49722944	49722955	-	0.000	0.000	Merged-chr11-49723086-55
NR4698--MA1421.1.TCF7L1	chr6	146081207	146081218	+	0.000	0.000	Merged-chr6-146081045-99
NR3170--MA0523.1.TCF7L2	chr2	132669231	132669244	+	0.000	0.000	Merged-chr2-132669439-31
NR1320--MA0769.1.Tcf7	chr12	102581813	102581824	+	0.000	0.000	Merged-chr12-102581960-56
NR5138--MA0523.1.TCF7L2	chr8	56443930	56443943	-	0.000	0.000	Merged-chr8-56443904-53
NR3010--MA1421.1.TCF7L1	chr2	68882159	68882170	-	0.000	0.000	Merged-chr2-68882205-16
NR3809--MA0769.1.Tcf7	chr4	89169078	89169089	-	0.000	0.000	Merged-chr4-89169046-30
NR3179--MA0523.1.TCF7L2	chr2	135891373	135891386	-	0.000	0.000	Merged-chr2-135891354-60
NR5447--MA0769.1.Tcf7	chr9	72660365	72660376	-	0.000	0.000	Merged-chr9-72660303-37
NR4838--MA0523.1.TCF7L2	chr7	77133220	77133233	+	0.000	0.000	Merged-chr7-77133181-52
NR80--MA0769.1.Tcf7	chr1	67023522	67023533	+	0.000	0.000	Merged-chr1-67023383-28
NR2350--MA0523.1.TCF7L2	chr17	5748000	5748013	-	0.000	0.000	Merged-chr17-5748141-46
NR3057--MA0769.1.Tcf7	chr2	90562274	90562285	-	0.000	0.000	Merged-chr2-90562207-12
NR3591--MA0523.1.TCF7L2	chr3	133626742	133626755	-	0.000	0.000	Merged-chr3-133626779-42
NR2418--MA1421.1.TCF7L1	chr17	29552497	29552508	-	0.000	0.000	Merged-chr17-29552502-38
NR3845--MA0769.1.Tcf7	chr4	101217141	101217152	+	0.000	0.000	Merged-chr4-101217167-64
NR873--MA1421.1.TCF7L1	chr11	48927166	48927177	-	0.000	0.000	Merged-chr11-48927051-20
NR442--MA0769.1.Tcf7	chr1	191259394	191259405	+	0.000	0.000	Merged-chr1-191259374-46
NR4044--MA0769.1.Tcf7	chr5	22587659	22587670	-	0.000	0.000	Merged-chr5-22587622-39
NR3608--MA0769.1.Tcf7	chr3	136725840	136725851	-	0.000	0.000	Merged-chr3-136725981-1
NR2330--MA0769.1.Tcf7	chr16	95869617	95869628	+	0.000	0.000	Merged-chr16-95869616-44
NR2552--MA0523.1.TCF7L2	chr17	86187975	86187988	+	0.000	0.000	Merged-chr17-86187981-35
NR4604--MA0769.1.Tcf7	chr6	129239825	129239836	+	0.000	0.000	Merged-chr6-129239949-37
NR4272--MA1421.1.TCF7L1	chr5	124943852	124943863	-	0.000	0.000	Merged-chr5-124943788-2
NR5385--MA0769.1.Tcf7	chr9	46015107	46015118	-	0.000	0.000	Merged-chr9-46015200-37
NR5139--MA0769.1.Tcf7	chr8	56443917	56443928	-	0.000	0.000	Merged-chr8-56443904-53
NR4859--MA0523.1.TCF7L2	chr7	83852807	83852820	+	0.000	0.000	Merged-chr7-83852721-40
NR3662--MA0769.1.Tcf7	chr3	146192742	146192753	-	0.000	0.000	Merged-chr3-146192596-55
NR4737--MA1421.1.TCF7L1	chr7	16001894	16001905	+	0.000	0.000	Merged-chr7-16001989-41
NR1697--MA0523.1.TCF7L2	chr13	114076179	114076192	-	0.000	0.000	Merged-chr13-114076115-29
NR4506--MA0769.1.Tcf7	chr6	94681555	94681566	+	0.000	0.000	Merged-chr6-94681460-83
NR2329--MA0523.1.TCF7L2	chr16	95869617	95869630	+	0.000	0.000	Merged-chr16-95869616-44
NR358--MA0769.1.Tcf7	chr1	165986106	165986117	-	0.000	0.000	Merged-chr1-165985990-54
NR2595--MA0769.1.Tcf7	chr18	32543281	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR1926--MA0769.1.Tcf7	chr15	9528431	9528442	-	0.000	0.000	Merged-chr15-9528468-81
NR2559--MA1421.1.TCF7L1	chr17	88213664	88213675	+	0.000	0.000	Merged-chr17-88213709-19
NR1832--MA0769.1.Tcf7	chr14	70962243	70962254	-	0.000	0.000	Merged-chr14-70962142-29
NR2066--MA0523.1.TCF7L2	chr15	89282682	89282695	+	0.000	0.000	Merged-chr15-89282720-31
NR2331--MA1421.1.TCF7L1	chr16	95999482	95999493	+	0.000	0.000	Merged-chr16-95999409-48
NR2969--MA0523.1.TCF7L2	chr2	48322472	48322485	-	0.000	0.000	Merged-chr2-48322438-54
NR3439--MA0769.1.Tcf7	chr3	88521947	88521958	-	0.000	0.000	Merged-chr3-88522043-54
NR1465--MA0523.1.TCF7L2	chr13	30760531	30760544	-	0.000	0.000	Merged-chr13-30760784-79
NR4895--MA1421.1.TCF7L1	chr7	97067539	97067550	-	0.000	0.000	Merged-chr7-97067401-28
NR3229--MA1421.1.TCF7L1	chr2	150578761	150578772	-	0.000	0.000	Merged-chr2-150578789-44
NR2956--MA0523.1.TCF7L2	chr2	45172932	45172945	-	0.000	0.000	Merged-chr2-45172921-51
NR4579--MA0523.1.TCF7L2	chr6	120934363	120934376	+	0.000	0.000	Merged-chr6-120934426-25
NR4676--MA1421.1.TCF7L1	chr6	142917604	142917615	+	0.000	0.000	Merged-chr6-142917674-52
NR180--MA1421.1.TCF7L1	chr1	105565176	105565187	-	0.000	0.000	Merged-chr1-105565114-33
NR3372--MA0769.1.Tcf7	chr3	38280379	38280390	-	0.000	0.000	Merged-chr3-38280395-39
NR2341--MA0523.1.TCF7L2	chr16	97402539	97402552	-	0.000	0.000	Merged-chr16-97402543-6
NR4350--MA0769.1.Tcf7	chr6	17851329	17851340	+	0.000	0.000	Merged-chr6-17851443-16
NR1846--MA0769.1.Tcf7	chr14	79236623	79236634	-	0.000	0.000	Merged-chr14-79236608-48
NR5308--MA1421.1.TCF7L1	chr8	128474086	128474097	-	0.000	0.000	Merged-chr8-128474080-29
NR2146--MA1421.1.TCF7L1	chr16	4583907	4583918	-	0.000	0.000	Merged-chr16-4584045-35
NR973--MA0523.1.TCF7L2	chr11	84252631	84252644	-	0.000	0.000	Merged-chr11-84252620-21
NR1873--MA0523.1.TCF7L2	chr14	103017269	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR3843--MA1421.1.TCF7L1	chr4	101217141	101217152	+	0.000	0.000	Merged-chr4-101217167-64
NR3180--MA0769.1.Tcf7	chr2	135891375	135891386	-	0.000	0.000	Merged-chr2-135891354-60
NR4803--MA0523.1.TCF7L2	chr7	58798502	58798515	+	0.000	0.000	Merged-chr7-58798464-29
NR2856--MA0769.1.Tcf7	chr19	55792754	55792765	+	0.000	0.000	Merged-chr19-55792789-50
NR3795--MA1421.1.TCF7L1	chr4	71291707	71291718	-	0.000	0.000	Merged-chr4-71291736-94
NR546--MA1421.1.TCF7L1	chr10	39991286	39991297	-	0.000	0.000	Merged-chr10-39991173-41
NR3720--MA0523.1.TCF7L2	chr4	7455298	7455311	+	0.000	0.000	Merged-chr4-7455242-36
NR1805--MA0523.1.TCF7L2	chr14	61818508	61818521	-	0.000	0.000	Merged-chr14-61818597-46
NR3430--MA1421.1.TCF7L1	chr3	84595450	84595461	-	0.000	0.000	Merged-chr3-84595329-34
NR548--MA0769.1.Tcf7	chr10	41620211	41620222	+	0.000	0.000	Merged-chr10-41620205-22
NR3371--MA0523.1.TCF7L2	chr3	38280377	38280390	-	0.000	0.000	Merged-chr3-38280395-39
NR4187--MA0523.1.TCF7L2	chr5	98018288	98018301	+	0.000	0.000	Merged-chr5-98018284-53
NR2342--MA0769.1.Tcf7	chr16	97402541	97402552	-	0.000	0.000	Merged-chr16-97402543-6
NR4271--MA1421.1.TCF7L1	chr5	124907041	124907052	-	0.000	0.000	Merged-chr5-124907107-45
NR3331--MA1421.1.TCF7L1	chr2	181483763	181483774	-	0.000	0.000	Merged-chr2-181483913-67
NR4389--MA0523.1.TCF7L2	chr6	41113489	41113502	+	0.000	0.000	Merged-chr6-41113305-59
NR5446--MA0523.1.TCF7L2	chr9	72660363	72660376	-	0.000	0.000	Merged-chr9-72660303-37
NR1172--MA0769.1.Tcf7	chr12	41167989	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR5242--MA1421.1.TCF7L1	chr8	115771146	115771157	+	0.000	0.000	Merged-chr8-115771261-45
NR3231--MA0769.1.Tcf7	chr2	150578761	150578772	-	0.000	0.000	Merged-chr2-150578789-44
NR1016--MA1421.1.TCF7L1	chr11	100824191	100824202	-	0.000	0.000	Merged-chr11-100824336-61
NR5444--MA1421.1.TCF7L1	chr9	72660365	72660376	-	0.000	0.000	Merged-chr9-72660303-37
NR4684--MA0769.1.Tcf7	chr6	144333302	144333313	+	0.000	0.000	Merged-chr6-144333219-22
NR2751--MA1421.1.TCF7L1	chr18	82607534	82607545	+	0.000	0.000	Merged-chr18-82607647-23
NR259--MA0523.1.TCF7L2	chr1	138952397	138952410	+	0.000	0.000	Merged-chr1-138952405-35
NR356--MA1421.1.TCF7L1	chr1	165986106	165986117	-	0.000	0.000	Merged-chr1-165985990-54
NR2216--MA0523.1.TCF7L2	chr16	45261682	45261695	+	0.000	0.000	Merged-chr16-45261551-46
NR5153--MA0523.1.TCF7L2	chr8	68112387	68112400	-	0.000	0.000	Merged-chr8-68112424-37
NR4125--MA0769.1.Tcf7	chr5	75662511	75662522	-	0.000	0.000	Merged-chr5-75662405-46
NR5309--MA0769.1.Tcf7	chr8	128474086	128474097	-	0.000	0.000	Merged-chr8-128474080-29
NR2241--MA0523.1.TCF7L2	chr16	51878503	51878516	+	0.000	0.000	Merged-chr16-51878445-21
NR4273--MA0769.1.Tcf7	chr5	124943852	124943863	-	0.000	0.000	Merged-chr5-124943788-2
NR58--MA0523.1.TCF7L2	chr1	60416887	60416900	-	0.000	0.000	Merged-chr1-60416960-33
NR1399--MA0523.1.TCF7L2	chr12	116315550	116315563	-	0.000	0.000	Merged-chr12-116315725-53
NR3431--MA0523.1.TCF7L2	chr3	84595448	84595461	-	0.000	0.000	Merged-chr3-84595329-34
NR1171--MA0523.1.TCF7L2	chr12	41167987	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR3631--MA0769.1.Tcf7	chr3	142533254	142533265	-	0.000	0.000	Merged-chr3-142533345-44
NR220--MA0523.1.TCF7L2	chr1	130838419	130838432	-	0.000	0.000	Merged-chr1-130838519-27
NR4285--MA0523.1.TCF7L2	chr5	134333001	134333014	-	0.000	0.000	Merged-chr5-134333065-45
NR3478--MA0523.1.TCF7L2	chr3	101066269	101066282	+	0.000	0.000	Merged-chr3-101066330-34
NR1353--MA0769.1.Tcf7	chr12	110759264	110759275	-	0.000	0.000	Merged-chr12-110759192-38
NR4066--MA0523.1.TCF7L2	chr5	34466413	34466426	+	0.000	0.000	Merged-chr5-34466431-61
NR2658--MA0769.1.Tcf7	chr18	61614574	61614585	+	0.000	0.000	Merged-chr18-61614590-32
NR327--MA0769.1.Tcf7	chr1	156710951	156710962	-	0.000	0.000	Merged-chr1-156710970-33
NR797--MA0769.1.Tcf7	chr10	128940664	128940675	-	0.000	0.000	Merged-chr10-128940717-41
NR5386--MA0769.1.Tcf7	chr9	46015114	46015125	-	0.000	0.000	Merged-chr9-46015200-37
NR2000--MA0769.1.Tcf7	chr15	59010892	59010903	-	0.000	0.000	Merged-chr15-59010782-34
NR4546--MA1421.1.TCF7L1	chr6	108836142	108836153	-	0.000	0.000	Merged-chr6-108836247-72
NR5376--MA0523.1.TCF7L2	chr9	42208758	42208771	+	0.000	0.000	Merged-chr9-42208688-2
NR5750--MA0523.1.TCF7L2	chrX	159828200	159828213	+	0.000	0.000	Merged-chrX-159828290-35
NR4040--MA0523.1.TCF7L2	chr5	21354854	21354867	+	0.000	0.000	Merged-chr5-21354717-33
NR390--MA0769.1.Tcf7	chr1	175631972	175631983	+	0.000	0.000	Merged-chr1-175631822-65
NR4525--MA0769.1.Tcf7	chr6	100581189	100581200	-	0.000	0.000	Merged-chr6-100581320-61
NR2656--MA1421.1.TCF7L1	chr18	61614574	61614585	+	0.000	0.000	Merged-chr18-61614590-32
NR3471--MA0769.1.Tcf7	chr3	100475183	100475194	+	0.000	0.000	Merged-chr3-100475201-27
NR4505--MA0523.1.TCF7L2	chr6	94681555	94681568	+	0.000	0.000	Merged-chr6-94681460-83
NR2752--MA0523.1.TCF7L2	chr18	82607534	82607547	+	0.000	0.000	Merged-chr18-82607647-23
NR3063--MA1421.1.TCF7L1	chr2	91835182	91835193	-	0.000	0.000	Merged-chr2-91835374-51
NR3015--MA0769.1.Tcf7	chr2	72282907	72282918	+	0.000	0.000	Merged-chr2-72282934-17
NR357--MA0523.1.TCF7L2	chr1	165986104	165986117	-	0.000	0.000	Merged-chr1-165985990-54
NR1162--MA0523.1.TCF7L2	chr12	35770553	35770566	+	0.000	0.000	Merged-chr12-35770526-40
NR4988--MA1421.1.TCF7L1	chr7	123354475	123354486	+	0.000	0.000	Merged-chr7-123354508-1
NR4760--MA1421.1.TCF7L1	chr7	25835639	25835650	-	0.000	0.000	Merged-chr7-25835602-47
NR2055--MA0769.1.Tcf7	chr15	82914517	82914528	+	0.000	0.000	Merged-chr15-82914694-36
NR211--MA0523.1.TCF7L2	chr1	127796567	127796580	-	0.000	0.000	Merged-chr1-127796546-56
NR5384--MA0523.1.TCF7L2	chr9	46015112	46015125	-	0.000	0.000	Merged-chr9-46015200-37
NR5307--MA0769.1.Tcf7	chr8	128418695	128418706	-	0.000	0.000	Merged-chr8-128418642-30
NR441--MA1421.1.TCF7L1	chr1	191259394	191259405	+	0.000	0.000	Merged-chr1-191259374-46
NR1173--MA1421.1.TCF7L1	chr12	41168036	41168047	+	0.000	0.000	Merged-chr12-41167989-46
NR3576--MA0523.1.TCF7L2	chr3	131014085	131014098	+	0.000	0.000	Merged-chr3-131014308-74
NR2893--MA0769.1.Tcf7	chr2	8965234	8965245	+	0.000	0.000	Merged-chr2-8965212-53
NR2541--MA0523.1.TCF7L2	chr17	84420374	84420387	-	0.000	0.000	Merged-chr17-84420400-1
NR5357--MA0769.1.Tcf7	chr9	31254925	31254936	+	0.000	0.000	Merged-chr9-31254853-49
NR2553--MA0769.1.Tcf7	chr17	86187975	86187986	+	0.000	0.000	Merged-chr17-86187981-35
NR967--MA0523.1.TCF7L2	chr11	82195025	82195038	+	0.000	0.000	Merged-chr11-82195229-33
NR2419--MA0769.1.Tcf7	chr17	29552497	29552508	-	0.000	0.000	Merged-chr17-29552502-38
NR3235--MA1421.1.TCF7L1	chr2	151944250	151944261	+	0.000	0.000	Merged-chr2-151944383-43
NR1084--MA0523.1.TCF7L2	chr11	113173992	113174005	+	0.000	0.000	Merged-chr11-113174221-33
NR4682--MA1421.1.TCF7L1	chr6	144333302	144333313	+	0.000	0.000	Merged-chr6-144333219-22
NR5474--MA0523.1.TCF7L2	chr9	80318138	80318151	-	0.000	0.000	Merged-chr9-80318250-48
NR2352--MA0769.1.Tcf7	chr17	5748002	5748013	-	0.000	0.000	Merged-chr17-5748141-46
NR1139--MA1421.1.TCF7L1	chr12	17726669	17726680	-	0.000	0.000	Merged-chr12-17726607-38
NR1998--MA1421.1.TCF7L1	chr15	58750194	58750205	-	0.000	0.000	Merged-chr15-58750240-28
NR2697--MA0769.1.Tcf7	chr18	69548098	69548109	-	0.000	0.000	Merged-chr18-69547959-32
NR366--MA0769.1.Tcf7	chr1	170853678	170853689	+	0.000	0.000	Merged-chr1-170853758-47
NR592--MA0523.1.TCF7L2	chr10	68239250	68239263	-	0.000	0.000	Merged-chr10-68239369-73
NR4603--MA0523.1.TCF7L2	chr6	129239825	129239838	+	0.000	0.000	Merged-chr6-129239949-37
NR828--MA1421.1.TCF7L1	chr11	22164002	22164013	+	0.000	0.000	Merged-chr11-22164019-19
NR3159--MA0523.1.TCF7L2	chr2	128544644	128544657	+	0.000	0.000	Merged-chr2-128544786-45
NR5179--MA0769.1.Tcf7	chr8	79679108	79679119	+	0.000	0.000	Merged-chr8-79679083-33
NR5663--MA0523.1.TCF7L2	chr9	123960407	123960420	+	0.000	0.000	Merged-chr9-123960411-24
NR5412--MA0769.1.Tcf7	chr9	58271355	58271366	+	0.000	0.000	Merged-chr9-58271289-37
NR1169--MA0769.1.Tcf7	chr12	40536138	40536149	+	0.000	0.000	Merged-chr12-40536190-67
NR3146--MA0523.1.TCF7L2	chr2	124634579	124634592	+	0.000	0.000	Merged-chr2-124634585-20
NR5238--MA0523.1.TCF7L2	chr8	115136849	115136862	-	0.000	0.000	Merged-chr8-115136921-34
NR1488--MA0523.1.TCF7L2	chr13	45924789	45924802	+	0.000	0.000	Merged-chr13-45924771-59
NR3237--MA0769.1.Tcf7	chr2	151944250	151944261	+	0.000	0.000	Merged-chr2-151944383-43
NR5542--MA0769.1.Tcf7	chr9	92218022	92218033	+	0.000	0.000	Merged-chr9-92217904-40
NR141--MA0523.1.TCF7L2	chr1	88644680	88644693	-	0.000	0.000	Merged-chr1-88644619-31
NR2819--MA1421.1.TCF7L1	chr19	33429545	33429556	+	0.000	0.000	Merged-chr19-33429713-40
NR3479--MA0769.1.Tcf7	chr3	101066269	101066280	+	0.000	0.000	Merged-chr3-101066330-34
NR1424--MA0523.1.TCF7L2	chr13	8458069	8458082	+	0.000	0.000	Merged-chr13-8458004-23
NR3120--MA0523.1.TCF7L2	chr2	115610663	115610676	+	0.000	0.000	Merged-chr2-115610633-33
NR2351--MA0523.1.TCF7L2	chr17	5748008	5748021	-	0.000	0.000	Merged-chr17-5748141-46
NR3335--MA0523.1.TCF7L2	chr3	10151766	10151779	-	0.000	0.000	Merged-chr3-10151750-17
NR1075--MA0523.1.TCF7L2	chr11	111065058	111065071	+	0.000	0.000	Merged-chr11-111065000-37
NR421--MA0769.1.Tcf7	chr1	183987878	183987889	+	0.000	0.000	Merged-chr1-183987914-47
NR4390--MA0769.1.Tcf7	chr6	41113489	41113500	+	0.000	0.000	Merged-chr6-41113305-59
NR5356--MA1421.1.TCF7L1	chr9	31254925	31254936	+	0.000	0.000	Merged-chr9-31254853-49
NR1845--MA0523.1.TCF7L2	chr14	79236621	79236634	-	0.000	0.000	Merged-chr14-79236608-48
NR654--MA0769.1.Tcf7	chr10	89766144	89766155	-	0.000	0.000	Merged-chr10-89765992-47
NR5137--MA1421.1.TCF7L1	chr8	56443932	56443943	-	0.000	0.000	Merged-chr8-56443904-53
NR73--MA0523.1.TCF7L2	chr1	64486486	64486499	-	0.000	0.000	Merged-chr1-64486540-36
NR3178--MA1421.1.TCF7L1	chr2	135891375	135891386	-	0.000	0.000	Merged-chr2-135891354-60
NR5284--MA0523.1.TCF7L2	chr8	125649318	125649331	+	0.000	0.000	Merged-chr8-125649394-37
NR4837--MA1421.1.TCF7L1	chr7	75910519	75910530	-	0.000	0.000	Merged-chr7-75910458-70
NR5629--MA0523.1.TCF7L2	chr9	118285716	118285729	-	0.000	0.000	Merged-chr9-118285683-37
NR3165--MA1421.1.TCF7L1	chr2	131145730	131145741	+	0.000	0.000	Merged-chr2-131145703-8
NR326--MA0523.1.TCF7L2	chr1	156710949	156710962	-	0.000	0.000	Merged-chr1-156710970-33
NR2892--MA0523.1.TCF7L2	chr2	8965234	8965247	+	0.000	0.000	Merged-chr2-8965212-53
NR5154--MA0769.1.Tcf7	chr8	68112389	68112400	-	0.000	0.000	Merged-chr8-68112424-37
NR2321--MA0523.1.TCF7L2	chr16	94185592	94185605	+	0.000	0.000	Merged-chr16-94185634-42
NR1470--MA0523.1.TCF7L2	chr13	33003841	33003854	+	0.000	0.000	Merged-chr13-33003757-27
NR2923--MA0523.1.TCF7L2	chr2	26623143	26623156	+	0.000	0.000	Merged-chr2-26623162-26
NR2551--MA1421.1.TCF7L1	chr17	86187975	86187986	+	0.000	0.000	Merged-chr17-86187981-35
NR1744--MA1421.1.TCF7L1	chr14	21112814	21112825	-	0.000	0.000	Merged-chr14-21112934-51
NR243--MA0769.1.Tcf7	chr1	136600778	136600789	+	0.000	0.000	Merged-chr1-136600909-41
