#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed
NR1446--MA0690.1.TBX21	chr5	100651646	100651655	-	0.000	0.000	Merged-chr5-100651654-38
NR1011--MA0690.1.TBX21	chr2	51588219	51588228	-	0.000	0.000	Merged-chr2-51588305-7
NR591--MA0690.1.TBX21	chr14	73472648	73472657	-	0.000	0.000	Merged-chr14-73472602-8
NR862--MA0690.1.TBX21	chr18	39473505	39473514	-	0.000	0.000	Merged-chr18-39473569-19
NR1590--MA0690.1.TBX21	chr6	94636273	94636282	+	0.000	0.000	Merged-chr6-94636290-6
NR22--MA0690.1.TBX21	chr1	43767976	43767985	+	0.000	0.000	Merged-chr1-43767994-5
NR1874--MA0690.1.TBX21	chr8	81558766	81558775	+	0.000	0.000	Merged-chr8-81558760-48
NR1138--MA0690.1.TBX21	chr3	21598181	21598190	-	0.000	0.000	Merged-chr3-21598278-24
NR1213--MA0690.1.TBX21	chr3	126660887	126660896	-	0.000	0.000	Merged-chr3-126660767-126
NR1988--MA0690.1.TBX21	chr9	106233720	106233729	+	0.000	0.000	Merged-chr9-106233665-1
NR75--MA0690.1.TBX21	chr1	106688284	106688293	-	0.000	0.000	Merged-chr1-106688184-71
NR990--MA0690.1.TBX21	chr2	31303429	31303438	-	0.000	0.000	Merged-chr2-31303456-10
NR1959--MA0690.1.TBX21	chr9	75115457	75115466	-	0.000	0.000	Merged-chr9-75115492-20
NR1178--MA0690.1.TBX21	chr3	89906194	89906203	-	0.000	0.000	Merged-chr3-89906356-37
NR376--MA0690.1.TBX21	chr12	69102158	69102167	+	0.000	0.000	Merged-chr12-69102156-32
NR722--MA0690.1.TBX21	chr16	44497277	44497286	+	0.000	0.000	Merged-chr16-44497186-22
NR212--MA0690.1.TBX21	chr10	58480315	58480324	-	0.000	0.000	Merged-chr10-58480234-23
NR1096--MA0690.1.TBX21	chr2	153278540	153278549	+	0.000	0.000	Merged-chr2-153278581-35
NR586--MA0690.1.TBX21	chr14	68044936	68044945	-	0.000	0.000	Merged-chr14-68044800-35
NR714--MA0690.1.TBX21	chr16	33499339	33499348	+	0.000	0.000	Merged-chr16-33499243-20
NR979--MA0690.1.TBX21	chr2	25095323	25095332	+	0.000	0.000	Merged-chr2-25095278-14
NR1229--MA0690.1.TBX21	chr3	142533283	142533292	+	0.000	0.000	Merged-chr3-142533345-44
NR448--MA0690.1.TBX21	chr13	44507254	44507263	+	0.000	0.000	Merged-chr13-44507226-54
NR491--MA0690.1.TBX21	chr13	84791293	84791302	-	0.000	0.000	Merged-chr13-84791325-24
NR2015--MA0690.1.TBX21	chr9	118678469	118678478	-	0.000	0.000	Merged-chr9-118678587-68
NR78--MA0690.1.TBX21	chr1	120162063	120162072	+	0.000	0.000	Merged-chr1-120162199-15
NR658--MA0690.1.TBX21	chr15	50942759	50942768	+	0.000	0.000	Merged-chr15-50942797-12
NR889--MA0690.1.TBX21	chr18	73547774	73547783	+	0.000	0.000	Merged-chr18-73547712-20
NR196--MA0690.1.TBX21	chr10	40479339	40479348	+	0.000	0.000	Merged-chr10-40479489-48
NR1724--MA0690.1.TBX21	chr7	84624622	84624631	-	0.000	0.000	Merged-chr7-84624790-8
NR1161--MA0690.1.TBX21	chr3	65650797	65650806	+	0.000	0.000	Merged-chr3-65650597-39
NR459--MA0690.1.TBX21	chr13	51598327	51598336	+	0.000	0.000	Merged-chr13-51598262-24
NR1153--MA0690.1.TBX21	chr3	52784723	52784732	+	0.000	0.000	Merged-chr3-52784763-15
NR2039--MA0690.1.TBX21	chrX	93368368	93368377	-	0.000	0.000	Merged-chrX-93368471-14
NR1512--MA0690.1.TBX21	chr5	147564037	147564046	-	0.000	0.000	Merged-chr5-147564223-70
NR1634--MA0690.1.TBX21	chr6	127365547	127365556	+	0.000	0.000	Merged-chr6-127365482-29
NR1538--MA0690.1.TBX21	chr6	38066533	38066542	-	0.000	0.000	Merged-chr6-38066382-23
NR1594--MA0690.1.TBX21	chr6	99309571	99309580	+	0.000	0.000	Merged-chr6-99309583-50
NR1368--MA0690.1.TBX21	chr4	145319385	145319394	+	0.000	0.000	Merged-chr4-145319470-38
NR1639--MA0690.1.TBX21	chr6	134174875	134174884	+	0.000	0.000	Merged-chr6-134175051-22
NR1225--MA0690.1.TBX21	chr3	138876406	138876415	+	0.000	0.000	Merged-chr3-138876270-3
NR1714--MA0690.1.TBX21	chr7	79759970	79759979	+	0.000	0.000	Merged-chr7-79759916-34
NR933--MA0690.1.TBX21	chr19	24175380	24175389	-	0.000	0.000	Merged-chr19-24175252-8
NR1313--MA0690.1.TBX21	chr4	86722062	86722071	-	0.000	0.000	Merged-chr4-86721990-52
NR40--MA0690.1.TBX21	chr1	64085988	64085997	+	0.000	0.000	Merged-chr1-64086002-50
NR53--MA0690.1.TBX21	chr1	82443824	82443833	+	0.000	0.000	Merged-chr1-82443829-28
NR1273--MA0690.1.TBX21	chr4	21751858	21751867	+	0.000	0.000	Merged-chr4-21752041-18
NR872--MA0690.1.TBX21	chr18	56810051	56810060	-	0.000	0.000	Merged-chr18-56810000-44
NR1557--MA0690.1.TBX21	chr6	61225586	61225595	-	0.000	0.000	Merged-chr6-61225621-10
NR981--MA0690.1.TBX21	chr2	25828789	25828798	+	0.000	0.000	Merged-chr2-25828697-14
NR362--MA0690.1.TBX21	chr12	21468115	21468124	+	0.000	0.000	Merged-chr12-21468092-6
NR994--MA0690.1.TBX21	chr2	32181496	32181505	-	0.000	0.000	Merged-chr2-32181600-13
NR1265--MA0690.1.TBX21	chr4	8238762	8238771	+	0.000	0.000	Merged-chr4-8238741-41
NR1026--MA0690.1.TBX21	chr2	61571827	61571836	-	0.000	0.000	Merged-chr2-61571777-18
NR877--MA0690.1.TBX21	chr18	62151883	62151892	-	0.000	0.000	Merged-chr18-62151803-40
NR192--MA0690.1.TBX21	chr10	39517617	39517626	+	0.000	0.000	Merged-chr10-39517662-15
NR734--MA0690.1.TBX21	chr16	52292687	52292696	+	0.000	0.000	Merged-chr16-52292729-42
NR909--MA0690.1.TBX21	chr18	84911756	84911765	+	0.000	0.000	Merged-chr18-84911932-15
NR713--MA0690.1.TBX21	chr16	32229249	32229258	+	0.000	0.000	Merged-chr16-32229198-4
NR16--MA0690.1.TBX21	chr1	43110779	43110788	-	0.000	0.000	Merged-chr1-43110700-26
NR1074--MA0690.1.TBX21	chr2	120502266	120502275	+	0.000	0.000	Merged-chr2-120502347-30
NR978--MA0690.1.TBX21	chr2	22722054	22722063	+	0.000	0.000	Merged-chr2-22721936-56
NR98--MA0690.1.TBX21	chr1	133801808	133801817	-	0.000	0.000	Merged-chr1-133801920-3
NR1589--MA0690.1.TBX21	chr6	94509103	94509112	+	0.000	0.000	Merged-chr6-94509203-28
NR1207--MA0690.1.TBX21	chr3	117728549	117728558	-	0.000	0.000	Merged-chr3-117728445-14
NR787--MA0690.1.TBX21	chr17	30363576	30363585	-	0.000	0.000	Merged-chr17-30363504-27
NR373--MA0690.1.TBX21	chr12	41340482	41340491	+	0.000	0.000	Merged-chr12-41340383-18
NR439--MA0690.1.TBX21	chr13	30786401	30786410	-	0.000	0.000	Merged-chr13-30786250-58
NR819--MA0690.1.TBX21	chr17	70942883	70942892	+	0.000	0.000	Merged-chr17-70942808-10
NR928--MA0690.1.TBX21	chr19	16436038	16436047	+	0.000	0.000	Merged-chr19-16435881-71
NR113--MA0690.1.TBX21	chr1	151167946	151167955	-	0.000	0.000	Merged-chr1-151167792-22
NR105--MA0690.1.TBX21	chr1	137799073	137799082	-	0.000	0.000	Merged-chr1-137799060-11
NR1710--MA0690.1.TBX21	chr7	76047971	76047980	-	0.000	0.000	Merged-chr7-76048040-27
NR1723--MA0690.1.TBX21	chr7	84596947	84596956	+	0.000	0.000	Merged-chr7-84596846-5
NR1561--MA0690.1.TBX21	chr6	67129047	67129056	-	0.000	0.000	Merged-chr6-67129210-17
NR1941--MA0690.1.TBX21	chr9	44691793	44691802	+	0.000	0.000	Merged-chr9-44691735-2
NR1803--MA0690.1.TBX21	chr7	142967355	142967364	+	0.000	0.000	Merged-chr7-142967366-1
NR288--MA0690.1.TBX21	chr11	32139733	32139742	-	0.000	0.000	Merged-chr11-32139668-21
NR1816--MA0690.1.TBX21	chr8	11203511	11203520	+	0.000	0.000	Merged-chr8-11203491-10
NR397--MA0690.1.TBX21	chr12	91328801	91328810	-	0.000	0.000	Merged-chr12-91328902-3
