#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.1_dn.bed
NR3618--MA0140.2.GATA1::TAL1	chr19	44078411	44078428	+	0.000	0.000	Merged-chr19-44078434-18
NR4192--MA0140.2.GATA1::TAL1	chr2	163131101	163131118	+	0.000	0.000	Merged-chr2-163131105-39
NR792--MA0035.3.Gata1	chr10	68540789	68540799	+	0.000	0.000	Merged-chr10-68540864-1
NR6042--MA0140.2.GATA1::TAL1	chr7	78451915	78451932	-	0.000	0.000	Merged-chr7-78451897-56
NR7014--MA0036.3.GATA2	chr9	112174908	112174918	-	0.000	0.000	Merged-chr9-112174843-101
NR2895--MA0035.3.Gata1	chr16	92443693	92443703	+	0.000	0.000	Merged-chr16-92443749-37
NR6043--MA0037.3.GATA3	chr7	78583904	78583911	+	0.000	0.000	Merged-chr7-78583930-15
NR2651--MA0036.3.GATA2	chr15	96778480	96778490	+	0.000	0.000	Merged-chr15-96778537-47
NR5409--MA0140.2.GATA1::TAL1	chr5	149392270	149392287	-	0.000	0.000	Merged-chr5-149392157-30
NR790--MA1104.1.GATA6	chr10	68540788	68540800	-	0.000	0.000	Merged-chr10-68540864-1
NR3787--MA0037.3.GATA3	chr2	38927191	38927198	+	0.000	0.000	Merged-chr2-38927385-1
NR4665--MA0482.1.Gata4	chr3	145663520	145663530	-	0.000	0.000	Merged-chr3-145663343-1
NR3790--MA0036.3.GATA2	chr2	38927189	38927199	-	0.000	0.000	Merged-chr2-38927385-1
NR4190--MA0482.1.Gata4	chr2	163131100	163131110	+	0.000	0.000	Merged-chr2-163131105-39
NR5217--MA0482.1.Gata4	chr5	90742164	90742174	+	0.000	0.000	Merged-chr5-90742238-22
NR5218--MA1104.1.GATA6	chr5	90742162	90742174	-	0.000	0.000	Merged-chr5-90742238-22
NR6046--MA0036.3.GATA2	chr7	78583902	78583912	-	0.000	0.000	Merged-chr7-78583930-15
NR1721--MA1104.1.GATA6	chr12	117679066	117679078	-	0.000	0.000	Merged-chr12-117679056-43
NR5404--MA0482.1.Gata4	chr5	149392278	149392288	-	0.000	0.000	Merged-chr5-149392157-30
NR5405--MA1104.1.GATA6	chr5	149392278	149392290	+	0.000	0.000	Merged-chr5-149392157-30
NR2891--MA0482.1.Gata4	chr16	92443694	92443704	+	0.000	0.000	Merged-chr16-92443749-37
NR1173--MA0140.2.GATA1::TAL1	chr11	66906100	66906117	-	0.000	0.000	Merged-chr11-66906049-23
NR791--MA0036.3.GATA2	chr10	68540789	68540799	+	0.000	0.000	Merged-chr10-68540864-1
NR2892--MA1104.1.GATA6	chr16	92443692	92443704	-	0.000	0.000	Merged-chr16-92443749-37
NR5403--MA0037.3.GATA3	chr5	149392281	149392288	+	0.000	0.000	Merged-chr5-149392157-30
NR2890--MA0037.3.GATA3	chr16	92443694	92443701	-	0.000	0.000	Merged-chr16-92443749-37
NR3792--MA0035.3.Gata1	chr2	38927189	38927199	-	0.000	0.000	Merged-chr2-38927385-1
NR4666--MA0140.2.GATA1::TAL1	chr3	145663512	145663529	-	0.000	0.000	Merged-chr3-145663343-1
NR6047--MA0766.1.GATA5	chr7	78583904	78583911	+	0.000	0.000	Merged-chr7-78583930-15
NR5406--MA0036.3.GATA2	chr5	149392279	149392289	-	0.000	0.000	Merged-chr5-149392157-30
NR6048--MA0035.3.Gata1	chr7	78583902	78583912	-	0.000	0.000	Merged-chr7-78583930-15
NR4059--MA0140.2.GATA1::TAL1	chr2	124634793	124634810	-	0.000	0.000	Merged-chr2-124634585-20
NR5210--MA0140.2.GATA1::TAL1	chr5	86783451	86783468	-	0.000	0.000	Merged-chr5-86783243-43
NR2893--MA0036.3.GATA2	chr16	92443693	92443703	+	0.000	0.000	Merged-chr16-92443749-37
NR7015--MA0035.3.Gata1	chr9	112174908	112174918	-	0.000	0.000	Merged-chr9-112174843-101
