#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.1_dn.bed
NR215--MA0002.2.RUNX1	chr1	78537715	78537725	-	0.000	0.000	Merged-chr1-78537773-101
NR1214--MA0002.2.RUNX1	chr10	86794910	86794920	+	0.000	0.000	Merged-chr10-86794881-42
NR2980--MA0002.2.RUNX1	chr13	94177381	94177391	+	0.000	0.000	Merged-chr13-94177315-11
NR1057--MA0002.2.RUNX1	chr10	60162574	60162584	+	0.000	0.000	Merged-chr10-60162645-38
NR385--MA0002.2.RUNX1	chr1	128787116	128787126	+	0.000	0.000	Merged-chr1-128787255-73
NR213--MA0002.2.RUNX1	chr1	78537598	78537608	+	0.000	0.000	Merged-chr1-78537773-101
NR10597--MA0511.2.RUNX2	chr9	96545688	96545696	-	0.000	0.000	Merged-chr9-96545653-10
NR3448--MA0684.1.RUNX3	chr14	77742008	77742017	+	0.000	0.000	Merged-chr14-77742060-11
NR958--MA0684.1.RUNX3	chr10	26879361	26879370	-	0.000	0.000	Merged-chr10-26879299-36
NR4424--MA0002.2.RUNX1	chr16	95809281	95809291	-	0.000	0.000	Merged-chr16-95809247-50
NR6041--MA0511.2.RUNX2	chr2	127760722	127760730	+	0.000	0.000	Merged-chr2-127760760-14
NR7543--MA0002.2.RUNX1	chr4	154246713	154246723	-	0.000	0.000	Merged-chr4-154246608-23
NR4689--MA0002.2.RUNX1	chr17	52591977	52591987	+	0.000	0.000	Merged-chr17-52591988-50
NR2346--MA0511.2.RUNX2	chr12	90236208	90236216	-	0.000	0.000	Merged-chr12-90236268-16
NR214--MA0511.2.RUNX2	chr1	78537715	78537723	+	0.000	0.000	Merged-chr1-78537773-101
NR1462--MA0002.2.RUNX1	chr10	128259225	128259235	+	0.000	0.000	Merged-chr10-128259156-8
NR2347--MA0684.1.RUNX3	chr12	90236207	90236216	-	0.000	0.000	Merged-chr12-90236268-16
NR1060--MA0684.1.RUNX3	chr10	60162674	60162683	-	0.000	0.000	Merged-chr10-60162645-38
NR1215--MA0002.2.RUNX1	chr10	86795037	86795047	+	0.000	0.000	Merged-chr10-86794881-42
NR6427--MA0684.1.RUNX3	chr3	28402343	28402352	+	0.000	0.000	Merged-chr3-28402386-46
NR2973--MA0002.2.RUNX1	chr13	94144819	94144829	+	0.000	0.000	Merged-chr13-94144726-31
NR9355--MA0684.1.RUNX3	chr7	96818602	96818611	+	0.000	0.000	Merged-chr7-96818578-56
NR9301--MA0002.2.RUNX1	chr7	78583932	78583942	-	0.000	0.000	Merged-chr7-78583930-15
