#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed
NR21736--MA0493.1.Klf1	chr14	120313644	120313654	+	0.000	0.000	Merged-chr14-120313531-118
NR5641--MA0493.1.Klf1	chr10	42699280	42699290	+	0.000	0.000	Merged-chr10-42699170-35
NR62722--MA0742.1.Klf12	chr8	34529601	34529615	-	0.000	0.000	Merged-chr8-34529653-1
NR45753--MA0741.1.KLF16	chr4	101217267	101217277	-	0.000	0.000	Merged-chr4-101217167-64
NR19570--MA0599.1.KLF5	chr14	21112781	21112790	+	0.000	0.000	Merged-chr14-21112934-51
NR65124--MA1107.1.KLF9	chr8	122712181	122712193	-	0.000	0.000	Merged-chr8-122712057-14
NR22120--MA0741.1.KLF16	chr15	25696041	25696051	-	0.000	0.000	Merged-chr15-25696018-37
NR41165--MA1107.1.KLF9	chr3	84772123	84772135	-	0.000	0.000	Merged-chr3-84772067-31
NR70727--MA0599.1.KLF5	chrY	1116319	1116328	-	0.000	0.000	Merged-chrY-1116441-17
NR49865--MA0657.1.KLF13	chr5	75662514	75662531	-	0.000	0.000	Merged-chr5-75662405-46
NR13693--MA0493.1.Klf1	chr12	25247232	25247242	-	0.000	0.000	Merged-chr12-25247115-16
NR47380--MA0741.1.KLF16	chr4	139319888	139319898	+	0.000	0.000	Merged-chr4-139319909-27
NR22895--MA0741.1.KLF16	chr15	64382594	64382604	+	0.000	0.000	Merged-chr15-64382690-41
NR22088--MA0599.1.KLF5	chr15	12895613	12895622	-	0.000	0.000	Merged-chr15-12895648-51
NR33991--MA0493.1.Klf1	chr19	53760461	53760471	-	0.000	0.000	Merged-chr19-53760542-10
NR46409--MA0742.1.Klf12	chr4	120288020	120288034	+	0.000	0.000	Merged-chr4-120287807-68
NR34498--MA0039.3.KLF4	chr2	7254631	7254641	-	0.000	0.000	Merged-chr2-7254714-17
NR12663--MA0742.1.Klf12	chr11	113537055	113537069	+	0.000	0.000	Merged-chr11-113536889-33
NR49451--MA0599.1.KLF5	chr5	53605582	53605591	-	0.000	0.000	Merged-chr5-53605625-25
NR61472--MA1107.1.KLF9	chr7	130893300	130893312	+	0.000	0.000	Merged-chr7-130893114-41
NR20454--MA0493.1.Klf1	chr14	61056910	61056920	-	0.000	0.000	Merged-chr14-61056983-100
NR4461--MA0741.1.KLF16	chr1	189608919	189608929	-	0.000	0.000	Merged-chr1-189608778-45
NR49563--MA0599.1.KLF5	chr5	64990218	64990227	-	0.000	0.000	Merged-chr5-64990076-28
NR42484--MA0493.1.Klf1	chr3	122721570	122721580	-	0.000	0.000	Merged-chr3-122721694-22
NR37110--MA1107.1.KLF9	chr2	114153383	114153395	-	0.000	0.000	Merged-chr2-114153480-37
NR50219--MA0599.1.KLF5	chr5	92375005	92375014	-	0.000	0.000	Merged-chr5-92374946-3
NR37109--MA0741.1.KLF16	chr2	114153384	114153394	-	0.000	0.000	Merged-chr2-114153480-37
NR8201--MA0741.1.KLF16	chr10	117660139	117660149	-	0.000	0.000	Merged-chr10-117659981-30
NR45790--MA0740.1.KLF14	chr4	101419686	101419699	-	0.000	0.000	Merged-chr4-101419713-70
NR34991--MA1107.1.KLF9	chr2	27432661	27432673	+	0.000	0.000	Merged-chr2-27432813-10
NR25692--MA0039.3.KLF4	chr16	50070928	50070938	+	0.000	0.000	Merged-chr16-50070751-51
NR21003--MA0599.1.KLF5	chr14	78612518	78612527	-	0.000	0.000	Merged-chr14-78612334-35
NR21002--MA0740.1.KLF14	chr14	78612515	78612528	-	0.000	0.000	Merged-chr14-78612334-35
NR46410--MA0599.1.KLF5	chr4	120288021	120288030	+	0.000	0.000	Merged-chr4-120287807-68
NR29825--MA0599.1.KLF5	chr17	84056508	84056517	-	0.000	0.000	Merged-chr17-84056540-29
NR38791--MA1107.1.KLF9	chr2	158105824	158105836	-	0.000	0.000	Merged-chr2-158105775-9
NR28664--MA0742.1.Klf12	chr17	46880156	46880170	+	0.000	0.000	Merged-chr17-46880120-39
NR60212--MA0740.1.KLF14	chr7	100700067	100700080	-	0.000	0.000	Merged-chr7-100699955-31
NR53937--MA0741.1.KLF16	chr6	47621484	47621494	+	0.000	0.000	Merged-chr6-47621326-39
NR31438--MA0742.1.Klf12	chr18	67212684	67212698	+	0.000	0.000	Merged-chr18-67212775-57
NR65174--MA1107.1.KLF9	chr8	123163081	123163093	+	0.000	0.000	Merged-chr8-123163099-40
NR24076--MA0599.1.KLF5	chr15	94255266	94255275	+	0.000	0.000	Merged-chr15-94255177-46
NR19778--MA0741.1.KLF16	chr14	32716954	32716964	+	0.000	0.000	Merged-chr14-32716978-71
NR6133--MA0741.1.KLF16	chr10	68445693	68445703	-	0.000	0.000	Merged-chr10-68445900-93
NR68878--MA1107.1.KLF9	chr9	116243758	116243770	-	0.000	0.000	Merged-chr9-116243832-57
NR35890--MA0599.1.KLF5	chr2	60375320	60375329	-	0.000	0.000	Merged-chr2-60375404-17
NR66170--MA1107.1.KLF9	chr9	43242633	43242645	+	0.000	0.000	Merged-chr9-43242516-24
NR65501--MA1107.1.KLF9	chr8	128421100	128421112	-	0.000	0.000	Merged-chr8-128420826-46
NR57077--MA0039.3.KLF4	chr6	144332302	144332312	-	0.000	0.000	Merged-chr6-144332292-25
NR58727--MA1107.1.KLF9	chr7	35742599	35742611	-	0.000	0.000	Merged-chr7-35742502-39
NR53265--MA0741.1.KLF16	chr5	150840388	150840398	+	0.000	0.000	Merged-chr5-150840546-64
NR34759--MA1107.1.KLF9	chr2	19630761	19630773	+	0.000	0.000	Merged-chr2-19630844-34
NR56459--MA0599.1.KLF5	chr6	134348665	134348674	-	0.000	0.000	Merged-chr6-134348726-53
NR53534--MA0599.1.KLF5	chr6	22340138	22340147	-	0.000	0.000	Merged-chr6-22340067-27
NR45361--MA0599.1.KLF5	chr4	82755890	82755899	+	0.000	0.000	Merged-chr4-82755852-39
NR23421--MA0741.1.KLF16	chr15	80192527	80192537	+	0.000	0.000	Merged-chr15-80192413-58
NR64751--MA0039.3.KLF4	chr8	116645533	116645543	-	0.000	0.000	Merged-chr8-116645599-31
NR45543--MA0039.3.KLF4	chr4	89369357	89369367	+	0.000	0.000	Merged-chr4-89369224-21
NR10339--MA1107.1.KLF9	chr11	66961665	66961677	+	0.000	0.000	Merged-chr11-66961666-9
NR31737--MA0599.1.KLF5	chr18	75322373	75322382	+	0.000	0.000	Merged-chr18-75322404-42
NR8206--MA0741.1.KLF16	chr10	117660144	117660154	-	0.000	0.000	Merged-chr10-117659981-30
NR50040--MA0493.1.Klf1	chr5	86783215	86783225	+	0.000	0.000	Merged-chr5-86783243-43
NR60742--MA0493.1.Klf1	chr7	114356566	114356576	-	0.000	0.000	Merged-chr7-114356592-29
NR42422--MA0741.1.KLF16	chr3	121723440	121723450	-	0.000	0.000	Merged-chr3-121723396-86
NR53743--MA0039.3.KLF4	chr6	33683797	33683807	-	0.000	0.000	Merged-chr6-33683719-46
NR47998--MA0740.1.KLF14	chr4	150087349	150087362	-	0.000	0.000	Merged-chr4-150087480-81
NR490--MA0599.1.KLF5	chr1	39196991	39197000	-	0.000	0.000	Merged-chr1-39196974-45
NR29735--MA1107.1.KLF9	chr17	83158738	83158750	+	0.000	0.000	Merged-chr17-83158899-1
NR42423--MA0599.1.KLF5	chr3	121723458	121723467	-	0.000	0.000	Merged-chr3-121723396-86
NR14045--MA1107.1.KLF9	chr12	52383144	52383156	-	0.000	0.000	Merged-chr12-52383146-23
NR66527--MA0741.1.KLF16	chr9	56098022	56098032	+	0.000	0.000	Merged-chr9-56098023-21
NR56575--MA0493.1.Klf1	chr6	136684095	136684105	+	0.000	0.000	Merged-chr6-136683885-26
NR55826--MA0599.1.KLF5	chr6	120206733	120206742	+	0.000	0.000	Merged-chr6-120206801-39
NR53095--MA0493.1.Klf1	chr5	148709065	148709075	-	0.000	0.000	Merged-chr5-148709171-35
NR62721--MA0740.1.KLF14	chr8	34529602	34529615	-	0.000	0.000	Merged-chr8-34529653-1
NR49806--MA0599.1.KLF5	chr5	74260700	74260709	-	0.000	0.000	Merged-chr5-74260801-106
NR57665--MA0493.1.Klf1	chr7	4948750	4948760	-	0.000	0.000	Merged-chr7-4948568-26
NR28681--MA1107.1.KLF9	chr17	47171163	47171175	-	0.000	0.000	Merged-chr17-47171280-54
NR48925--MA0039.3.KLF4	chr5	28269731	28269741	-	0.000	0.000	Merged-chr5-28269924-54
NR64672--MA0493.1.Klf1	chr8	114888924	114888934	+	0.000	0.000	Merged-chr8-114888790-56
NR64798--MA0599.1.KLF5	chr8	117548648	117548657	-	0.000	0.000	Merged-chr8-117548585-70
NR57664--MA0039.3.KLF4	chr7	4948748	4948758	-	0.000	0.000	Merged-chr7-4948568-26
NR34134--MA0599.1.KLF5	chr19	57117014	57117023	+	0.000	0.000	Merged-chr19-57117009-44
NR4731--MA0039.3.KLF4	chr1	193421574	193421584	-	0.000	0.000	Merged-chr1-193421738-60
NR66511--MA1107.1.KLF9	chr9	55283730	55283742	+	0.000	0.000	Merged-chr9-55283833-16
NR46408--MA0740.1.KLF14	chr4	120288020	120288033	+	0.000	0.000	Merged-chr4-120287807-68
NR64671--MA0039.3.KLF4	chr8	114888926	114888936	+	0.000	0.000	Merged-chr8-114888790-56
NR8321--MA1107.1.KLF9	chr10	118766023	118766035	-	0.000	0.000	Merged-chr10-118766153-45
NR10053--MA1107.1.KLF9	chr11	58290579	58290591	+	0.000	0.000	Merged-chr11-58290425-28
NR55902--MA0741.1.KLF16	chr6	121110179	121110189	-	0.000	0.000	Merged-chr6-121110104-77
NR12901--MA0599.1.KLF5	chr11	116688047	116688056	-	0.000	0.000	Merged-chr11-116688042-60
NR30124--MA0599.1.KLF5	chr17	88597611	88597620	+	0.000	0.000	Merged-chr17-88597413-65
NR30105--MA1107.1.KLF9	chr17	88479191	88479203	-	0.000	0.000	Merged-chr17-88479234-18
NR61076--MA0493.1.Klf1	chr7	122932283	122932293	-	0.000	0.000	Merged-chr7-122932357-26
NR19750--MA1107.1.KLF9	chr14	31367788	31367800	-	0.000	0.000	Merged-chr14-31367995-29
NR55787--MA0741.1.KLF16	chr6	119522249	119522259	+	0.000	0.000	Merged-chr6-119522115-45
NR60591--MA0599.1.KLF5	chr7	110796448	110796457	-	0.000	0.000	Merged-chr7-110796429-1
NR12659--MA0493.1.Klf1	chr11	113508467	113508477	+	0.000	0.000	Merged-chr11-113508478-30
NR37850--MA0039.3.KLF4	chr2	132669327	132669337	+	0.000	0.000	Merged-chr2-132669439-31
NR163--MA1107.1.KLF9	chr1	20912781	20912793	-	0.000	0.000	Merged-chr1-20912686-65
NR21613--MA0493.1.Klf1	chr14	118682884	118682894	-	0.000	0.000	Merged-chr14-118682781-56
NR4460--MA0599.1.KLF5	chr1	189608920	189608929	-	0.000	0.000	Merged-chr1-189608778-45
NR28804--MA0599.1.KLF5	chr17	50025422	50025431	+	0.000	0.000	Merged-chr17-50025514-42
NR60739--MA0742.1.Klf12	chr7	114356562	114356576	-	0.000	0.000	Merged-chr7-114356592-29
NR49809--MA0741.1.KLF16	chr5	74260699	74260709	-	0.000	0.000	Merged-chr5-74260801-106
NR34989--MA0741.1.KLF16	chr2	27432626	27432636	+	0.000	0.000	Merged-chr2-27432813-10
NR31437--MA0740.1.KLF14	chr18	67212684	67212697	+	0.000	0.000	Merged-chr18-67212775-57
NR4120--MA0599.1.KLF5	chr1	184573177	184573186	+	0.000	0.000	Merged-chr1-184573445-38
NR6444--MA0741.1.KLF16	chr10	76962206	76962216	-	0.000	0.000	Merged-chr10-76962071-59
NR25660--MA0742.1.Klf12	chr16	48786426	48786440	-	0.000	0.000	Merged-chr16-48786510-43
NR158--MA0742.1.Klf12	chr1	20912779	20912793	-	0.000	0.000	Merged-chr1-20912686-65
NR6833--MA0742.1.Klf12	chr10	80658975	80658989	+	0.000	0.000	Merged-chr10-80658824-84
NR61646--MA0741.1.KLF16	chr7	135598566	135598576	+	0.000	0.000	Merged-chr7-135598633-32
NR38567--MA0741.1.KLF16	chr2	153292441	153292451	+	0.000	0.000	Merged-chr2-153292567-49
NR21738--MA0741.1.KLF16	chr14	120313650	120313660	+	0.000	0.000	Merged-chr14-120313531-118
NR27983--MA0599.1.KLF5	chr17	31058818	31058827	+	0.000	0.000	Merged-chr17-31058889-44
NR13695--MA1107.1.KLF9	chr12	25247230	25247242	-	0.000	0.000	Merged-chr12-25247115-16
NR19424--MA1107.1.KLF9	chr14	12243814	12243826	+	0.000	0.000	Merged-chr14-12243878-61
NR17016--MA1107.1.KLF9	chr13	52800950	52800962	+	0.000	0.000	Merged-chr13-52800951-49
NR33993--MA1107.1.KLF9	chr19	53760461	53760473	-	0.000	0.000	Merged-chr19-53760542-10
NR11226--MA0741.1.KLF16	chr11	85407804	85407814	+	0.000	0.000	Merged-chr11-85407928-27
NR44988--MA1107.1.KLF9	chr4	55342830	55342842	+	0.000	0.000	Merged-chr4-55342780-17
NR65118--MA1107.1.KLF9	chr8	122712169	122712181	-	0.000	0.000	Merged-chr8-122712057-14
NR12906--MA0493.1.Klf1	chr11	116688053	116688063	-	0.000	0.000	Merged-chr11-116688042-60
NR9895--MA0039.3.KLF4	chr11	54151115	54151125	+	0.000	0.000	Merged-chr11-54151267-37
NR61467--MA0599.1.KLF5	chr7	130812686	130812695	-	0.000	0.000	Merged-chr7-130812664-20
NR2074--MA1107.1.KLF9	chr1	128608443	128608455	-	0.000	0.000	Merged-chr1-128608288-19
NR52826--MA0493.1.Klf1	chr5	144358132	144358142	-	0.000	0.000	Merged-chr5-144358177-56
NR60774--MA0742.1.Klf12	chr7	115495322	115495336	+	0.000	0.000	Merged-chr7-115495056-66
NR620--MA0039.3.KLF4	chr1	43880615	43880625	-	0.000	0.000	Merged-chr1-43880599-41
NR51256--MA0741.1.KLF16	chr5	118082041	118082051	+	0.000	0.000	Merged-chr5-118082270-75
NR50104--MA1107.1.KLF9	chr5	89045089	89045101	+	0.000	0.000	Merged-chr5-89044916-44
NR37556--MA1107.1.KLF9	chr2	125791558	125791570	+	0.000	0.000	Merged-chr2-125791694-59
NR55334--MA1107.1.KLF9	chr6	108338391	108338403	-	0.000	0.000	Merged-chr6-108338556-41
NR22767--MA0599.1.KLF5	chr15	59805063	59805072	-	0.000	0.000	Merged-chr15-59805045-21
NR52834--MA0039.3.KLF4	chr5	144358276	144358286	-	0.000	0.000	Merged-chr5-144358177-56
NR68751--MA0493.1.Klf1	chr9	114613222	114613232	-	0.000	0.000	Merged-chr9-114613191-38
NR10332--MA0741.1.KLF16	chr11	66961630	66961640	+	0.000	0.000	Merged-chr11-66961666-9
NR45541--MA1107.1.KLF9	chr4	89359535	89359547	-	0.000	0.000	Merged-chr4-89359690-21
NR47035--MA0741.1.KLF16	chr4	134059106	134059116	-	0.000	0.000	Merged-chr4-134059039-2
NR34501--MA0039.3.KLF4	chr2	7270158	7270168	+	0.000	0.000	Merged-chr2-7270224-62
NR67423--MA0039.3.KLF4	chr9	80313810	80313820	-	0.000	0.000	Merged-chr9-80313733-27
NR49547--MA1107.1.KLF9	chr5	64651650	64651662	-	0.000	0.000	Merged-chr5-64651532-36
NR68750--MA0039.3.KLF4	chr9	114613220	114613230	-	0.000	0.000	Merged-chr9-114613191-38
NR55899--MA0493.1.Klf1	chr6	121110159	121110169	-	0.000	0.000	Merged-chr6-121110104-77
NR7183--MA0039.3.KLF4	chr10	84897310	84897320	+	0.000	0.000	Merged-chr10-84897526-62
NR47955--MA0599.1.KLF5	chr4	149664350	149664359	+	0.000	0.000	Merged-chr4-149664202-47
NR22445--MA0599.1.KLF5	chr15	38709603	38709612	+	0.000	0.000	Merged-chr15-38709565-1
NR18935--MA0741.1.KLF16	chr13	111634785	111634795	+	0.000	0.000	Merged-chr13-111634662-22
NR47635--MA0740.1.KLF14	chr4	144901710	144901723	+	0.000	0.000	Merged-chr4-144901724-37
NR35614--MA1107.1.KLF9	chr2	45172978	45172990	-	0.000	0.000	Merged-chr2-45172921-51
NR8204--MA0741.1.KLF16	chr10	117660142	117660152	-	0.000	0.000	Merged-chr10-117659981-30
NR8194--MA0742.1.Klf12	chr10	117651212	117651226	-	0.000	0.000	Merged-chr10-117651194-26
NR4730--MA0599.1.KLF5	chr1	193421576	193421585	-	0.000	0.000	Merged-chr1-193421738-60
NR69524--MA0599.1.KLF5	chrX	7865658	7865667	+	0.000	0.000	Merged-chrX-7865862-63
NR7627--MA1107.1.KLF9	chr10	98745686	98745698	+	0.000	0.000	Merged-chr10-98745748-77
NR45537--MA1107.1.KLF9	chr4	89359527	89359539	-	0.000	0.000	Merged-chr4-89359690-21
NR50700--MA1107.1.KLF9	chr5	107926655	107926667	+	0.000	0.000	Merged-chr5-107926816-56
NR13691--MA0742.1.Klf12	chr12	25247228	25247242	-	0.000	0.000	Merged-chr12-25247115-16
NR65168--MA1107.1.KLF9	chr8	123163069	123163081	+	0.000	0.000	Merged-chr8-123163099-40
NR9190--MA0599.1.KLF5	chr11	11519490	11519499	+	0.000	0.000	Merged-chr11-11519616-36
NR14035--MA0599.1.KLF5	chr12	52383132	52383141	-	0.000	0.000	Merged-chr12-52383146-23
NR61127--MA0493.1.Klf1	chr7	125186708	125186718	-	0.000	0.000	Merged-chr7-125186656-23
NR67419--MA0039.3.KLF4	chr9	80313761	80313771	-	0.000	0.000	Merged-chr9-80313733-27
NR877--MA0493.1.Klf1	chr1	60017018	60017028	+	0.000	0.000	Merged-chr1-60017133-4
NR46412--MA0741.1.KLF16	chr4	120288021	120288031	+	0.000	0.000	Merged-chr4-120287807-68
NR59947--MA0741.1.KLF16	chr7	92420558	92420568	-	0.000	0.000	Merged-chr7-92420666-38
NR8198--MA0741.1.KLF16	chr10	117651215	117651225	-	0.000	0.000	Merged-chr10-117651194-26
NR20861--MA0599.1.KLF5	chr14	74918656	74918665	+	0.000	0.000	Merged-chr14-74918775-39
NR4160--MA0039.3.KLF4	chr1	184908650	184908660	+	0.000	0.000	Merged-chr1-184908710-36
NR57243--MA0742.1.Klf12	chr6	146271367	146271381	+	0.000	0.000	Merged-chr6-146271470-40
NR12660--MA1107.1.KLF9	chr11	113508467	113508479	+	0.000	0.000	Merged-chr11-113508478-30
NR61468--MA0741.1.KLF16	chr7	130812673	130812683	-	0.000	0.000	Merged-chr7-130812664-20
NR52997--MA0493.1.Klf1	chr5	146974169	146974179	+	0.000	0.000	Merged-chr5-146974233-28
NR66506--MA0740.1.KLF14	chr9	55283730	55283743	+	0.000	0.000	Merged-chr9-55283833-16
NR12907--MA0741.1.KLF16	chr11	116688052	116688062	-	0.000	0.000	Merged-chr11-116688042-60
NR23222--MA0599.1.KLF5	chr15	77071686	77071695	-	0.000	0.000	Merged-chr15-77071598-27
NR157--MA0740.1.KLF14	chr1	20912780	20912793	-	0.000	0.000	Merged-chr1-20912686-65
NR42958--MA0493.1.Klf1	chr3	133758585	133758595	+	0.000	0.000	Merged-chr3-133758511-65
NR67036--MA0599.1.KLF5	chr9	69073446	69073455	-	0.000	0.000	Merged-chr9-69073494-25
NR54218--MA0740.1.KLF14	chr6	53709833	53709846	-	0.000	0.000	Merged-chr6-53709881-31
NR5643--MA0741.1.KLF16	chr10	42699281	42699291	+	0.000	0.000	Merged-chr10-42699170-35
NR42957--MA0039.3.KLF4	chr3	133758587	133758597	+	0.000	0.000	Merged-chr3-133758511-65
NR59946--MA0493.1.Klf1	chr7	92420559	92420569	-	0.000	0.000	Merged-chr7-92420666-38
NR23424--MA0741.1.KLF16	chr15	80192530	80192540	+	0.000	0.000	Merged-chr15-80192413-58
NR16846--MA0741.1.KLF16	chr13	45885052	45885062	+	0.000	0.000	Merged-chr13-45885080-29
NR25213--MA0741.1.KLF16	chr16	24160876	24160886	+	0.000	0.000	Merged-chr16-24160756-32
NR15574--MA0740.1.KLF14	chr12	109446607	109446620	+	0.000	0.000	Merged-chr12-109446341-43
NR28675--MA1107.1.KLF9	chr17	47171151	47171163	-	0.000	0.000	Merged-chr17-47171280-54
NR42425--MA0741.1.KLF16	chr3	121723457	121723467	-	0.000	0.000	Merged-chr3-121723396-86
NR69328--MA0599.1.KLF5	chr9	122398963	122398972	-	0.000	0.000	Merged-chr9-122399009-31
NR10048--MA0599.1.KLF5	chr11	58283331	58283340	-	0.000	0.000	Merged-chr11-58283237-2
NR21614--MA0741.1.KLF16	chr14	118682883	118682893	-	0.000	0.000	Merged-chr14-118682781-56
NR66507--MA0657.1.KLF13	chr9	55283729	55283746	+	0.000	0.000	Merged-chr9-55283833-16
NR21029--MA0493.1.Klf1	chr14	79236476	79236486	+	0.000	0.000	Merged-chr14-79236608-48
NR8320--MA0493.1.Klf1	chr10	118766025	118766035	-	0.000	0.000	Merged-chr10-118766153-45
NR31221--MA0599.1.KLF5	chr18	61481724	61481733	+	0.000	0.000	Merged-chr18-61481826-14
NR12666--MA0493.1.Klf1	chr11	113537055	113537065	+	0.000	0.000	Merged-chr11-113536889-33
NR10052--MA0493.1.Klf1	chr11	58290595	58290605	+	0.000	0.000	Merged-chr11-58290425-28
NR22119--MA0493.1.Klf1	chr15	25696042	25696052	-	0.000	0.000	Merged-chr15-25696018-37
NR34338--MA0493.1.Klf1	chr19	60182324	60182334	+	0.000	0.000	Merged-chr19-60182316-4
NR62741--MA1107.1.KLF9	chr8	34651916	34651928	-	0.000	0.000	Merged-chr8-34651925-47
NR10643--MA0741.1.KLF16	chr11	72963735	72963745	-	0.000	0.000	Merged-chr11-72963811-9
NR66169--MA0039.3.KLF4	chr9	43242635	43242645	+	0.000	0.000	Merged-chr9-43242516-24
NR55883--MA0599.1.KLF5	chr6	120934470	120934479	-	0.000	0.000	Merged-chr6-120934426-25
NR54219--MA0657.1.KLF13	chr6	53709830	53709847	-	0.000	0.000	Merged-chr6-53709881-31
NR16005--MA0493.1.Klf1	chr12	117553351	117553361	-	0.000	0.000	Merged-chr12-117553468-60
NR9624--MA0039.3.KLF4	chr11	46462213	46462223	-	0.000	0.000	Merged-chr11-46462115-37
NR49514--MA0599.1.KLF5	chr5	63943576	63943585	-	0.000	0.000	Merged-chr5-63943362-36
NR18230--MA0599.1.KLF5	chr13	98684443	98684452	+	0.000	0.000	Merged-chr13-98684546-11
NR20863--MA0741.1.KLF16	chr14	74918663	74918673	+	0.000	0.000	Merged-chr14-74918775-39
NR60213--MA0493.1.Klf1	chr7	100700070	100700080	-	0.000	0.000	Merged-chr7-100699955-31
NR31444--MA1107.1.KLF9	chr18	67212684	67212696	+	0.000	0.000	Merged-chr18-67212775-57
NR52833--MA0599.1.KLF5	chr5	144358278	144358287	-	0.000	0.000	Merged-chr5-144358177-56
NR55895--MA0742.1.Klf12	chr6	121110155	121110169	-	0.000	0.000	Merged-chr6-121110104-77
NR65120--MA1107.1.KLF9	chr8	122712173	122712185	-	0.000	0.000	Merged-chr8-122712057-14
NR62845--MA0493.1.Klf1	chr8	40963172	40963182	-	0.000	0.000	Merged-chr8-40963134-88
NR30126--MA1107.1.KLF9	chr17	88597598	88597610	+	0.000	0.000	Merged-chr17-88597413-65
NR5638--MA0599.1.KLF5	chr10	42699263	42699272	+	0.000	0.000	Merged-chr10-42699170-35
NR45632--MA0741.1.KLF16	chr4	95449024	95449034	-	0.000	0.000	Merged-chr4-95449018-19
NR61463--MA0740.1.KLF14	chr7	130812683	130812696	-	0.000	0.000	Merged-chr7-130812664-20
NR57803--MA0493.1.Klf1	chr7	16001851	16001861	-	0.000	0.000	Merged-chr7-16001989-41
NR53935--MA0740.1.KLF14	chr6	47621483	47621496	+	0.000	0.000	Merged-chr6-47621326-39
NR57238--MA0039.3.KLF4	chr6	146185691	146185701	-	0.000	0.000	Merged-chr6-146185680-43
NR21737--MA0493.1.Klf1	chr14	120313649	120313659	+	0.000	0.000	Merged-chr14-120313531-118
